molecula|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|SaasN|AATSC1c|n6HRing|MATS7i|ATSC1c|AATSC1are|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|WNSA4|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
17a_a22|0|0|0.0|1|0|0|1.866510299|-0.005149751|2|-0.054347074|-0.314134834|0.00220634|1|0.0027615779999999|-0.089641194|-0.076790454|-0.126659773|2|0.830653242|0.155547571|1|-0.072161482|0.345497724|0.0140462319999999|-49.30541729|-60.0620365|0.140522986|-0.030843667|-41.03828927|6.55749888|0.0|0.710958975|-1.758088991|-33.68866751|-21.07439877|0.485943988|-14.39939974|0.945313306|6343.687177000001|197.4916253|0.01931764|1689.6062539999998|784.2697099|13.19906822|1.0|0.0|1.0|1.0|-3.24|4.93|68.52|2.0|128.29|0.0|1.0|33.0|5.0|-6.39|0.0|1.0|-4.96|1.7899999999999998e-05|3.62|0.0|0.0|7.41e-10|3.23e-07|5.13|1.3971|-1408.300966|-1408.279257|731.19|1253.39|887.46|0.46268|0.71303|-1407.8711|0.0085|-0.06214|3.0156|-0.21338|0.02170866|-1407.935792|2268.0|82.0|7.0862|7.0862
14p_a23|1|1|0.0|2|0|0|3.3252287430000003|-0.005975594|2|0.041987653|-0.310730878|0.009895793|2|0.009266617|0.080581604|-0.0686282459999999|-0.131709531|2|0.708395022|0.099883916|1|-0.063033628|0.223758613|0.0221104079999999|-42.52653933|-54.50240143|0.076544251|-0.033660197|-36.77082544|10.06403753|84.65359899|0.751638299|-1.615689464|-28.69113861|-22.70933393|0.464933687|-15.32117727|0.868927227|6696.264498|167.5607773|0.0190667019999999|1450.229492|646.2584547|12.86362369|0.0|1.0|1.0|1.0|3.28|3.89|128.81|1.0|125.0|0.0|1.0|32.0|5.0|-6.62|0.0|0.0|-4.9|2.09e-06|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|3.29|3.5752|-1722.181612|-1722.152257|699.61|1191.08|346.79|0.6816|0.6816|-1721.933314|0.3802|-0.14774|7.4033|-0.2382|0.02935511|-1721.994023|9986.0|3.0|8.5302|8.5302
3_a20 (SB-525334)|0|0|-0.08980269|0|0|0|0.0|-0.005492814|2|0.001821898|-0.274640708|0.001924142|1|0.0033523629999999|0.002992397|-0.169090412|-0.277724429|2|0.818922083|0.087932573|1|-0.061128029|0.246005838|0.0123308269999999|-34.52869143|-51.80299691|0.1243352319999999|-0.029269046|-29.26136697|3.934338039|0.0|0.784910502|-1.375645142|-19.50382741|-16.53287135|0.457398769|-9.33873414|0.8429740729999999|4905.195832|121.495147|0.0117802769999999|989.9790502999998|520.6749407|6.654190521|1.0|1.0|1.0|1.0|2.82|4.69|67.35|1.0|104.59|0.0|1.0|26.0|4.0|-5.74|0.0|1.0|-4.73|1.42e-05|3.74|0.0|0.0|4.07e-09|1.4e-06|3.9|3.1728|-1086.585811|-1086.56485|605.71|1030.31|390.77|0.49443|0.70168|-1086.329436|0.1171|-0.13417|3.7291|-0.20131|0.02096048|-1086.383308|4.8164|162.0|6.7905|6.7905
17b_a6|0|0|0.0|0|1|1|0.0|-0.01272079|1|0.139594234|-0.6869226490000001|-0.00460563|1|-0.00194781|0.231025646|-0.10896749|-0.180339002|1|0.850080948|0.002947625|0|-0.095450984|0.318652397|0.03122461|-62.63196368|-71.65078895|0.246050902|-0.041494349|-47.0150166|13.44399246|557.7093661|0.7706671740000001|-2.074717455|-41.0971443|-27.2272998|0.4548818979999999|-17.86570631|0.834464855|5985.963521|150.48105900000002|0.019915748|1766.4758989999998|627.4287311|13.06809384|1.0|1.0|1.0|2.0|2.89|4.32|95.85|2.0|116.79|0.0|1.0|31.0|5.0|-5.89|0.0|0.0|-5.17|1.56e-06|4.09|0.0|0.0|9.77e-10|4e-07|4.04|2.9964|-1350.102764|-1350.078181|690.98|1168.62|413.78|0.69615|0.7016100000000001|-1349.830814|0.0033|-0.12545|5.3385|-0.18281|0.02458322|-1349.892156|7.3188|153.0|6.8153|6.8153
1h_a5|0|0|0.0|0|0|0|0.0|-0.001978474|2|-0.02598568|-0.085074391|0.008031558|1|0.007357977|-0.043247682|0.034752304|0.0578378779999999|2|0.71274658|0.070628165|0|-0.067599619|0.39793593|0.008798715|-35.25675213|-36.2462047|0.119359774|-0.027798699|-18.90429957|2.393400474|0.484419999|0.7450549759999999|-1.111947978|-18.38824808|-14.49848188|0.489507204|-7.561719827|0.958891501|4334.547353|132.96722079999998|0.01585373|778.3845404|409.0289917|8.268552715|1.0|0.0|1.0|1.0|2.07|4.51|54.46|0.0|95.45|0.0|1.0|24.0|3.0|-5.77|0.0|1.0|-4.45|5.5700000000000005e-05|3.43|0.0|0.0|3.87e-09|1.21e-06|3.17|4.3651|-990.6346565|-990.6032645|556.57|934.7|284.03|0.4112699999999999|0.57155|-990.472129|0.1754|-0.17797|2.2396|-0.21921|0.031392033|-990.523098|3.3752|28.0|7.5528|7.5528
15_a15|0|0|0.0|0|1|1|0.0|-0.006378587|3|-0.063032481|-0.395472407|0.001806571|0|0.003766915|-0.098862691|-0.173728081|-0.272482143|2|0.843715005|0.007958332|0|-0.061884697|0.7028760070000001|0.020649569|-41.11675625|-60.51136736|0.102793952|-0.031405332|-40.20430373|9.115534766|4.306196778|0.702544178|-1.821509261|-27.31834743|-20.86598874|0.435723718|-13.86355301|0.772181523|7039.747576999999|197.6323578|0.0202953539999999|1722.635223|830.7967967000001|13.48441779|1.0|1.0|0.0|1.0|4.34|6.69|59.51|2.0|138.24|0.0|1.0|34.0|4.0|-5.26|1.0|0.0|-6.1|4.77e-07|5.32|0.0|0.0|1.27e-09|5.7e-07|5.04|2582.0|-1450.7538470000002|-1450.725355|700.82|1265.55|480.19|0.67524|0.70572|-1450.398033|0.0066|-0.10964|1.6365|-0.1475|0.02849263|-1450.462493|2.9566|109.0|6.9626|6.9626
4a_a46|0|0|0.210988875|1|1|1|2.180332577|-0.001042349|2|-0.137420119|-0.051075084|0.012632881|1|0.0120924389999999|-0.216904465|-0.082000707|-0.129430244|2|0.679741138|-0.215877982|0|-0.05488948|0.264863483|0.00935578|-28.50561609|-35.24319509|0.076041983|-0.022129285|-18.30276019|2.523263761|55.05332552|0.742626378|-1.017947119|-14.80375017|-11.49234623|0.4289963579999999|-5.968291366|0.751302315|4481.754309|133.66119809999998|0.011380391|711.8625758999999|480.9500663|5.910149982|1.0|0.0|1.0|0.0|2.8|4.46|43.6|0.0|96.74|0.0|1.0|24.0|3.0|-5.87|0.0|1.0|-4.31|0.000117|3.34|0.0|0.0|1.53e-07|4.86e-05|3.4|4.5454|-994.237445|-994.2146342|560.87|967.0|272.77|0.6893600000000001|0.6893600000000001|-994.028172|0.1694|-0.19067|3.1825|-0.21988|0.022810825|-994.079365|3.7138|181.0|6.7423|6.7423
12k_a36|0|0|0.0|0|2|2|0.0|-0.0071232019999999|2|0.096315593|-0.413145744|0.002782748|1|0.003724542|0.163804836|-0.095253274|-0.1619981409999999|1|0.90500247|-0.09344781|0|-0.075717305|0.367754573|0.018067063|-49.87227128|-67.14870046|0.157229536|-0.037758075|-44.22843899|7.838185977999999|0.0|0.7806817009999999|-2.038936068|-32.84907515|-24.86988906|0.478908312|-16.38090333|0.919048073|6027.033337|144.457092|0.016847116|1720.258086|698.847203|11.0965905|1.0|0.0|1.0|2.0|0.0|2.42|69.2|1.0|133.84|0.0|1.0|31.0|4.0|-6.34|0.0|1.0|-4.55|2.6e-05|3.45|0.0|0.0|9.66e-08|3.94e-05|3.83|3.6631|-1310.3453949999998|-1310.312649|697.92|1186.08|338.46|0.5249199999999999|0.70031|-1310.072976|0.0908|-0.15053|5.7818|-0.20023|0.03274587|-1310.134752|7.3988|14.0|7.8539|7.8539
9a_a36|0|0|0.0|0|2|2|0.0|-0.007853595|2|0.095192109|-0.41624054|0.0034852859999999|1|0.00484375|0.160672128|-0.12019672|-0.202876718|1|0.839235677|-0.019008343|0|-0.073689118|0.204819754|0.0236784079999999|-45.04449811|-66.44342306|0.1734403769999999|-0.039929147|-40.61536816|8.847677483|0.0|0.7638345870000001|-1.956528182|-27.53468726|-24.40778806|0.453098452|-14.91993116|0.828482664|5693.562367|144.36259840000002|0.019513779|1565.759963|578.2841135|11.92833382|1.0|0.0|1.0|1.0|0.0|2.04|66.4|1.0|120.94|0.0|1.0|29.0|5.0|-6.74|0.0|1.0|-3.99|0.000197|2.66|0.0|0.0|5.26e-07|0.0002009999999999|3.38|3.8677|-1252.802159|-1252.77514|648.41|1092.66|320.56|0.68682|0.68682|-1252.578886|0.4811|-0.15925|5.7274|-0.20969|0.02701893|-1252.636005|7.4992|13.0|7.8861|7.8861
14w_a23|1|1|0.0|2|0|0|3.132012648|-0.006481882|2|0.045196333|-0.330575965|0.003379755|2|0.003906274|0.126238077|-0.073958723|-0.206574435|2|0.5788469970000001|0.059273664|1|-0.070714528|0.228641034|0.022440155|-46.76570273|-58.53311596|0.211928134|-0.035779855|-38.70975831|9.814393755|90.15900589|0.743451788|-1.681653166|-30.92760432|-23.66232347|0.4972095239999999|-15.648625699999998|0.988900044|6998.078982999999|169.6632599|0.020725002|1495.89956|597.2903597999999|13.70608418|0.0|1.0|1.0|1.0|3.35|5.14|105.02|2.0|120.2|0.0|1.0|32.0|6.0|-6.35|0.0|0.0|-5.27|2.09e-06|3.78|0.0|0.0|1.17e-08|5.23e-06|3.97|3.6632|-1828.385903|-1828.363862|676.92|1150.31|338.46|0.6219399999999999|0.6219399999999999|-1828.161957|0.3855|-0.14844|7.0157|-0.22824|0.02204118|-1828.222578|9.8981|2.0|8.6737|8.6737
