molecula|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GRAVp|TASA|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
12af_a36|0|0.0|0|7.412764017000001|2|2|1.29704271|0.0|-0.00989889|5.351858133|-0.081537769|2|0.091263447|0.0|-0.6038322939999999|-0.00233752|10.96037047|0.00146554|-0.000472698|0.154914099|-0.126068378|-0.505160213|1|0.813346624|-0.062279009|0.002492952|0.817582774|0|0.755275519|-0.082549457|-0.1054605669999999|-57.32748365|-73.23838519|15.22358698|0.244724481|169.9519197|-0.035153522|-50.86129548|10.57220682|127.6527374|0.6702409189999999|-2.003750775|-39.81177462|72.55107063|3013.98446|524.5103537|8.59579222|15.59375751|0.8141152220000001|6499.41155|229.0052411|-966.3646141|-236.4517911|2076.162883|0.0|0.0|0.0|1.0|3.0|4.98|-6.93|1.65|98.3|1.0|0.0|0.0|-3.54|5.0|-7.66|0.0|0.0|-3.64|0.000227|0.0997|0.0|0.0|1.1800000000000001e-07|5.18e-05|5.2352|3.2299|737.4|1246.55|236.83|0.70508|-1440.675702|-0.13364|-0.19246|0.02886569|9.4631|15.0|7.8239|7.8239
27c_a34|0|0.0|1|7.412764017000001|1|1|1.4335249819999998|1.996958431|-0.014036512|5.351858133|-0.1450543259999999|1|-0.08157574|0.0|-0.80008116|-0.008017781|10.95447877|-0.014364543|-0.004694534|-0.132026575|-0.128393271|-0.543350914|1|0.783333463|-0.0360159139999999|-0.0239323839999999|0.804740647|0|0.631065353|-0.114233896|-0.12597014|-76.84420762|-84.73908278|20.51361454|0.368934647|248.17931940000005|-0.042782312|-57.00328784|13.79934071|119.8660257|0.7381974290000001|-2.26746252|-51.69246989|97.35782216|2921.328444|424.51250080000005|8.808655321|15.31184469|0.738272657|6308.331369|176.1124482|-1026.059181|-320.4669239|2066.254135|1.0|1.0|1.0|1.0|2.0|3.55|-7.67|3.34|104.29|1.0|0.0|0.0|-4.75|5.0|-6.85|0.0|1.0|-4.45|3.52e-05|0.0151|0.0|0.0|2.13e-08|9.1e-06|4277.0|3.9186|709.72|1203.69|289.89|0.70336|-1426.246896|-0.1589|-0.19682|0.03913684|9.6148|0.8|6.0969|6.0969
12bf_a36|0|0.0|0|7.412764017000001|2|2|1.297043948|0.0|-0.00832865|5.351858133|-0.119979424|2|0.140577067|0.0|-0.4497470879999999|-0.006877664|10.96022305|-0.0206090089999999|-0.004358975|0.359635716|-0.098027247|-0.433281391|1|0.836170906|-0.0480253509999999|-0.033696875|0.632625562|0|0.6791406640000001|-0.090461753|-0.110255801|-58.26326838|-71.01192632|14.01562806|0.320859336|206.6543367|-0.037486972|-45.73631152|9.026978489|0.0|0.7054709690000001|-1.874348624|-37.52534442|72.27889645|2902.591295|437.4108773|7.546900716000001|14.37031118|0.904134124|6271.550446|189.6959033|-777.5172959|-264.6734075|1711.2011699999998|1.0|0.0|0.0|1.0|2.0|4.72|-7.12|3.0|69.2|1.0|0.0|0.0|-3.99|6.0|-6.8|1.0|0.0|-4.32|4.81e-05|0.0201|0.0|0.0|7.599999999999999e-08|3.17e-05|5.2319|3874.0|670.85|1120.94|236.98|0.69292|-1431.187555|-0.15677|-0.2139|0.03299488|7.5932|6.0|8.2218|8.2218
14b_a25|0|0.0|1|6.842683282|0|0|1.420015222|1.616664856|-0.004720915|4.727387819|-0.0166120069999999|2|0.001683506|1.929508048|-0.273813082|0.004725325|10.93106299|0.0009956189999999|0.004892038|0.0028569959999999|-0.043923908|-0.3691494039999999|2|0.7723870909999999|-0.085205646|0.001715854|0.632638761|1|0.859628015|-0.076156512|-0.084160084|-52.75064158|-58.29440389|11.08504021|0.140371985|97.23019209|-0.032728922|-40.37825712|7.678174472999999|57.85340824|0.772789587|-1.767361771|-36.53830946|63.83568179|3038.600508|595.4307570000001|8.690235527|17.06102567|0.963240883|6760.594953|157.3797801|-847.9433995999999|-377.9013888|1584.108407|1.0|1.0|1.0|1.0|1.0|3.51|-9.65|4.79|96.49|2.0|0.0|0.0|-5.6|5.0|-6.26|0.0|1.0|-5.23|5.86e-06|0.00261|0.0|0.0|2.23e-10|9.93e-08|5.4239|4069.0|716.14|1257.11|228.59|0.64983|-1444.266358|-0.16309|-0.22149|0.03876374|3.2784|22.0|7.6576|7.6576
47i_a18|0|0.0|0|7.03438793|1|1|1.251177255|0.0|-0.006882626|4.844187086|-0.066917145|0|-0.037689885|0.0|-0.440488042|-0.000919158|10.94702091|-0.040514277|0.000427479|-0.057689282|-0.106018078|-0.499939719|0|0.744472118|-0.064085904|-0.068524374|0.727767462|0|0.8030751740000001|-0.0780255879999999|-0.089609068|-54.34379065|-62.41153158|6.787641686000001|0.196924826|137.1555392|-0.035256027|-43.46880696|4.727502734|82.81385171|0.8608685909999999|-2.150617629|-37.84973202|61.13143233|2795.907966|559.3312455|9.573882864|18.67881257|0.951017454|6353.6617320000005|96.90318745|-1043.251367|-502.6804099|1739.959818|1.0|1.0|0.0|1.0|3.0|4.05|-8.98|2.8|85.29|3.0|1.0|0.0|-5.18|3.0|-6.36|0.0|1.0|-4.78|1.67e-05|0.00735|0.0|0.0|1.04e-09|4.6e-07|3.2321|3.2321|744.95|1297.7|383.61|0.69175|-1415.875678|-0.13237|-0.18299|0.02671774|3.5235|19.0|7.7212|7.7212
47c_a18|0|0.0|0|7.03438793|1|1|1.251176227|0.0|-0.007068829|4.844187086|-0.048726885|0|0.047739847|0.0|-0.537230966|0.0007979619999999|10.94702285|0.028947131|0.002674691|0.071793992|-0.212991596|-0.455055055|0|0.758269842|-0.027873485|0.050944273|0.7601847759999999|0|0.8128616409999999|-0.0715759629999999|-0.094000037|-57.54296759|-75.57063623|12.75381432|0.1871383589999999|150.4485025|-0.0321917939999999|-60.75445536|10.25333491|103.416376|0.7489981509999999|-2.350000928|-46.26124419|70.29678191|3228.879782|653.4941186000001|9.566965871|18.73268473|0.958059115|7527.530240999999|201.7910841|-1518.861384|-400.3604527|2522.390613|1.0|1.0|0.0|1.0|3.0|4.61|-9.18|2.87|97.76|3.0|2.0|1.0|-5.73|4.0|-6.61|0.0|0.0|-5.09|8.12e-06|0.00417|1.0|1.0|6.67e-10|3.42e-07|3.1096|3.1096|850.89|1505.09|398.71|0.6983199999999999|-1664.201034|-0.12841|-0.17331|0.03115159|3.8573|3.0|8.5229|8.5229
8b_a8|0|0.0|1|7.535296702|1|1|1.395658149|1.42474537|-0.013834266|5.4161004020000005|-0.182065125|1|0.019958073|0.0|-0.733216119|-0.0055544409999999|10.94650923|-0.03443232|-0.003593429|0.031896755|0.049587543|-0.5058761820000001|1|0.778853499|0.097555876|-0.0527918259999999|0.726912742|0|0.558354653|-0.130159955|-0.11627069|-79.74587194|-71.23625346|19.87542051|0.441645347|270.5854753|-0.047457424|-43.64473805|12.1771918|89.09854311|0.781454722|-2.325413799|-48.85837649|99.62129245|2863.095568|342.0904577|7.507665421|14.53652808|0.936224813|6471.7604200000005|133.8974321|-872.8947609999999|-344.8810688|1823.170337|0.0|0.0|1.0|1.0|2.0|3.52|-7.13|3.03|112.23|1.0|0.0|0.0|-4.77|5.0|-6.87|0.0|0.0|-4.43|3.69e-05|0.0153|0.0|0.0|7.33e-08|3.04e-05|4.5819|3.2992|640.35|1098.17|270.59|0.70195|-1406.829227|-0.13807|-0.19921|0.03204403|7.4497|5.08|5.2941|5.2941
5a_a50|1|0.0|2|7.927685046000001|1|1|1.3972442980000002|4.202707546|-0.00148647|5.82008293|-0.017108794|1|0.017227585|2.475383677|-0.06986407|0.012640587|10.93256969|-0.130929632|0.01228899|0.028229556|-0.102607753|-0.161169418|1|0.788709546|-0.132977171|-0.203436041|0.6759066159999999|1|0.969892876|-0.038932964|-0.065209836|-20.77548565|-34.7974024|5.435098605|0.030107124|16.06582337|-0.022747617|-18.56865899|2.900288114|60.04351409|0.66527517|-0.978147545|-11.08625592|26.21058426|2246.106104|517.556163|5.892775027000001|10.76914508|0.8275167520000001|4770.917486|178.61652859999998|-278.5298849|-176.38892919999998|784.5791628|1.0|0.0|1.0|1.0|0.0|3.5|-6.24|4.33|35.64|0.0|0.0|0.0|-3.89|2.0|-5.83|1.0|1.0|-4.5|3.14e-05|0.0102|0.0|0.0|5.7e-07|0.000186|5.6146|4.0159|582.98|976.41|220.82|0.6725399999999999|-1029.734933|-0.16659|-0.19146|0.02452028|5649.0|4.1|5.3872|5.3872
31_a47|1|0.0|1|6.842683282|0|0|1.304326813|1.441825189|-0.00869363|4.727387819|-0.171198936|2|-0.086842911|1.198626524|-0.417294247|-0.007525849|10.9497221|0.001073537|-0.006265667|-0.188419195|-0.035190699|-0.441642572|2|0.856640117|-0.1978980839999999|0.001622323|0.6463892179999999|1|0.696020038|-0.10715233|-0.1056956209999999|-66.4670426|-65.56344002|13.27533898|0.303979962|188.5600536|-0.037580665|-40.66927863|8.234748813|81.01707367|0.70664003|-1.691129939|-41.22978713|79.74238158|2689.159869|431.7441681|8.214180216|15.6194341|0.901520747|6019.5391740000005|181.972428|-650.7084581|-256.3593656|1484.511202|1.0|1.0|1.0|1.0|2.0|3.18|-7.62|4.24|98.72|1.0|0.0|0.0|-4.59|5.0|-6.78|0.0|1.0|-4.39|4.03e-05|0.0166|0.0|0.0|2.42e-08|9.95e-06|3.9744|3.6369|642.11|1079.4|311.96|0.69894|-1735.225703|-0.15143|-0.20463|0.03449081|8.6244|16.0|7.8|7.8
25_a47|1|0.0|1|6.86171134|0|0|1.30432753|1.234859637|-0.010144825|4.727387819|-0.1084905069999999|2|-0.055724653|1.087932079|-0.486951604|-0.003963349|10.94972207|0.002716049|-0.00269275|-0.120903298|-0.108691353|-0.545763902|2|0.8462332770000001|-0.077710529|0.004104478|0.622598899|1|0.786958319|-0.073339312|-0.08797211|-44.52300552|-53.40631957|12.27779881|0.213041681|129.3338553|-0.031278972|-32.42203672|7.453635586|51.5831002|0.6238742279999999|-1.407553754|-27.0291331|56.80080434|2704.5905190000003|477.748546|6.951055196|13.26689626|0.908616158|6236.813862|228.3393366|-518.7525876|-150.4037281|1369.668876|0.0|1.0|1.0|0.0|2.0|3.26|-8.01|4.95|84.73|2.0|0.0|0.0|-4.99|5.0|-6.3|0.0|1.0|-4.82|1.52e-05|0.00626|0.0|0.0|9.79e-09|4.02e-06|4.8002|3.9878|626.55|1062.81|258.29|0.68761|-1735.2218059999998|-0.16588|-0.22919|0.0285712999999999|5.1625|16.0|7.8|7.8
18_a47|1|0.0|0|6.605297921|0|0|1.414391819|0.0|-0.004337918|4.59511985|-0.06345679|3|-0.026357805|1.5913490630000002|-0.2342475789999999|0.0008454789999999|10.93838451|-0.016728205|0.0015586929999999|-0.056674151|-0.02470455|-0.322800033|3|0.792196273|-0.059779939|-0.027351545|0.630969651|1|0.777824025|-0.078937385|-0.084415066|-49.44908758|-52.88049505|9.234746417|0.222175975|139.1786571|-0.0303894239999999|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|-1.5194711930000002|-30.97660579|58.68383399|2800.3745940000003|487.2556678|7.018342267|12.35791568|0.7608026529999999|6261.441874|167.41554630000002|-596.2708299|-291.6032324|1299.011844|1.0|1.0|0.0|1.0|2.0|3.47|-10.36|6.0|79.38|2.0|0.0|0.0|-5.5|5.0|-5.87|0.0|1.0|-5.37|4.29e-06|0.00176|0.0|0.0|4.34e-11|1.78e-08|4.2668|4.2222|652.12|1130.76|290.58|0.63359|-1353.979194|-0.17349|-0.22313|0.04031146|5.3433|3.0|8.6|8.6
9a_a36|0|0.0|0|7.412764017000001|2|2|1.297044807|0.0|-0.007853595|5.351858133|-0.046964839|2|0.095192109|0.0|-0.41624054|0.0034852859999999|10.96066876|-0.06502499|0.00484375|0.160672128|-0.12019672|-0.398235589|1|0.7885597609999999|-0.019008343|-0.1177413269999999|0.79302567|0|0.826559623|-0.073689118|-0.10869601|-45.04449811|-66.44342306|14.47407729|0.1734403769999999|106.0201967|-0.039929147|-40.61536816|8.847677483|0.0|0.7638345870000001|-1.956528182|-27.53468726|59.5185754|2682.572663|505.25728260000005|7.546661564|13.79893984|0.828482664|5693.562367|144.36259840000002|-731.0766269999999|-322.5522826|1565.759963|1.0|0.0|0.0|1.0|1.0|4.69|-6.28|2.04|66.4|1.0|0.0|0.0|-3.71|5.0|-6.74|1.0|0.0|-3.99|0.000102|0.0391|0.0|0.0|5.26e-07|0.0002009999999999|3.8677|3.8677|648.41|1092.66|320.56|0.68682|-1252.578886|-0.15925|-0.20969|0.02701893|7.4992|13.0|7.8861|7.8861
19c_a38|0|0.0|0|7.412764017000001|2|2|1.297043851|0.0|-0.008177185|5.351858133|-0.04575843|2|0.02192428|0.0|-0.449745181|-0.004442319|10.95429182|-0.0431896509999999|-0.002443797|0.04814981|-0.09493054|-0.434836855|1|0.846765471|0.073931688|-0.071918235|0.6885713729999999|0|0.7591916240000001|-0.0918007669999999|-0.108301657|-57.79749770000001|-68.18641054|15.30924906|0.240808376|151.612258|-0.038224114|-42.92996714|9.638658988|4.848162625|0.7187071909999999|-1.949429829|-36.38913762|73.10674676|2967.98627|477.9848537|6.97753104|13.36189552|0.914989047|6618.350708|177.10114030000005|-772.7394084|-275.39483110000003|1707.726604|1.0|0.0|1.0|1.0|3.0|4.84|-6.92|2.42|105.02|1.0|0.0|0.0|-4.35|5.0|-7.13|0.0|0.0|-4.12|7.55e-05|0.0322|0.0|0.0|1.2099999999999998e-07|5.14e-05|5.8832|3.8322|652.09|1138.6|210.74|0.6279899999999999|-1424.1880119999998|-0.15612|-0.21303|0.03740877|3.2846|9.0|8.0348|8.0348
