molecula|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|RPCS|WNSA3|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
12ar_a36|1|0|0.0|0|7.412764017000001|2|1.297042582|0.0|-0.064363806|-0.007046017|0.000258844|0.040839506|-0.1073795209999999|10.95407427|1|1|0.002112069|0.145909555|-0.096853381|-0.4194638229999999|1|0.8371588959999999|-0.017348015|-0.064014394|0.8196353679999999|0|0.8365428659999999|-0.080760277|0.317338373|0.022389124|-54.80317647|-66.9989409|15.19305207|-0.0347392029999999|0.0|-37.18892821|82.17472548|0.4743067589999999|567.6702443|2404.999137|-15.99689556|0.294408813|8.770514183|16.68371115|6155.432771|199.7830951|33.4098581|1804.132337|0.0|0.0|1.0|0.0|4.86|0.0|0.17|-7.05|1.95|92.99|0.0|0.0|1.0|6.0|-3.92|32.0|5.0|-7.21|420.47|0.0|0.0|0.0001199999999999|0.000122|0.0515|2.33|0.0|8.95e-08|3.76e-05|-0.0566|5225.0|3.8489|-1364.511244|717.19|1211.1|0.5586|237.29|580.53|0.67174|-1364.235126|-0.21291|8.7322|25.0|7.6021|7.6021
12c_a36|1|0|0.0|0|7.412764017000001|2|1.29696741|0.0|-0.087096843|-0.007667703|-0.04162109|0.040899471|-0.0621599059999999|10.95982545|1|1|0.0010871589999999|0.146546059|-0.103922055|-0.4423430339999999|1|0.819222745|-0.033217921|-0.097861598|0.8065052890000001|0|0.840733512|-0.073370864|0.462597812|0.019582215|-47.12722334|-67.84435546|12.5779546|-0.038024893|6.546878962999999|-30.27053327|80.22754474|0.473610011|540.0159387|2365.641348|-15.68788659|0.24499026|6.772454418|12.86584957|6256.172329|157.3609748|32.34920911|1617.460455|0.0|0.0|1.0|0.0|4.74|0.0|0.14|-7.18|2.54|69.2|0.0|0.0|1.0|5.0|-4.44|30.0|4.0|-6.49|415.88|1.0|1.0|3.64e-05|2.55e-05|0.0106|3.31|0.0|6.65e-08|2.77e-05|-0.04992|3.8436|3.8436|-1692.540795|672.74|1137.55|0.3927|322.58|509.61|0.68913|-1692.312906|-0.2082699999999999|6.6973|9.0|8.0458|8.0458
9g_a24|1|0|0.0|1|7.273092596000001|0|1.427608366|1.7647373919999998|-0.318471716|-0.00106361|0.001126633|0.0279797979999999|0.070915465|10.96318169|2|2|0.013119312|-0.292600863|-0.0273623029999999|-0.079421802|2|0.7931626959999999|0.13372961|-0.045107345|0.657503038|0|0.8671367529999999|-0.064835725|0.383340003|0.01876163|-32.080056199999994|-32.49188065|9.283063574|-0.021297745|0.0|-15.87288497|49.25777584|0.427531635|429.0504306|1196.910121|-5.214049137|0.518073552|6.124370267000001|10.69818114|4355.725609|256.3375151|21.8662148|809.0499476|1.0|0.0|1.0|1.0|2.8|1.78|0.06|-6.43|2.93|72.28|0.0|0.0|1.0|3.0|-2.49|23.0|4.0|-7.17|302.33|1.0|0.0|0.00323|0.0008179999999999|247.0|1.37|0.0|3.720000000000001e-07|0.000113|-0.03585|5.2521|4.2802|-984.5891383|524.03|879.99|0.2444|236.07|400.47|0.64993|-984.447764|-0.21391|4.4131|68.0|7.1675|7.1675
1k_a5|1|0|0.0|0|6.605297921|0|1.427567903|0.0|-0.216088148|-0.0030192829999999|-0.064652321|0.026339869|-0.145151027|10.9489659|1|1|0.003708988|-0.220946861|0.019611905|-0.254495542|2|0.7824502320000001|-0.011552666|-0.022280685|0.558485747|0|0.7836926809999999|-0.078995018|0.425724957|0.010892351|-40.40908188|-38.00629774|5.571869083999999|-0.0301207529999999|0.498979532|-20.67084672|47.83775802|0.48165588|400.8898627|824.0133397999999|-7.881781385|0.275045542|6.710535795|12.9461019|4479.484358|140.69669409999997|21.25369168|786.3865923|1.0|0.0|1.0|1.0|2.71|2.02|0.0|-8.3|4.76|54.46|0.0|0.0|1.0|3.0|-3.97|24.0|4.0|-5.99|316.33|1.0|1.0|0.000106|4.970000000000001e-05|0.0157|3.16|0.0|4.99e-09|1.58e-06|-0.04516|4.7221|4.4063|-1050.548505|533.8|890.76|0.6242|262.56|398.63|0.5282|-1050.418953|-0.22504|2.3036|48.0|7.3188|7.3188
12a_a32|1|1|0.0|0|7.765993078999999|0|0.609420757|0.0|0.087371302|-0.009460484|-0.057200812|0.036711712|-0.031249617|10.31100269|3|3|-0.001662219|-0.024155151|-0.0852122769999999|-0.583507277|0|0.845443342|-0.018578911|-0.125149165|0.7507116140000001|1|0.788702323|-0.085324121|0.288267255|0.016535497|-53.20970382|-68.06885478|10.31184223|-0.0308471429999999|62.28768050000001|-33.18255791|81.41372467|0.456641145|491.8493928|3030.946307|-11.99645651|0.332293625|7.083688576|13.03685125|5656.0082|207.2244662|28.81034388|1325.275819|1.0|1.0|1.0|1.0|3.45|2.85|0.26|-7.65|4.19|140.04|0.0|1.0|1.0|7.0|-6.01|27.0|4.0|-6.32|397.52|0.0|1.0|9.78e-07|3.17e-05|0.0126|3.39|0.0|2.23e-08|8.86e-06|-0.05222|3576.0|3576.0|-1880.771042|667.68|1114.3|0.2908|346.71|548.66|0.7025600000000001|-1880.539078|-0.20049|4.2371|25.0|7.6021|7.6021
12f_a36|1|0|0.0|0|7.412764017000001|2|1.297042537|0.0|-0.066269699|-0.006773586|-0.032343041|0.039061728|0.012286423|10.95389399|1|1|0.0045625|0.182557897|-0.101854847|-0.438198895|1|0.821599443|-0.109793154|-0.1188384119999999|0.857993338|0|0.8435569079999999|-0.071035495|0.3416917479999999|0.01784834|-46.86832019|-66.16123807|11.77610852|-0.035813075|0.835268043|-30.92312428|76.51015325|0.464240353|556.5681681|2380.393255|-15.59012402|0.219698129|7.416874811|13.84366076|6000.985822|144.9540437|30.28188764|1695.785708|0.0|0.0|1.0|0.0|4.94|0.0|0.21|-7.36|2.45|69.2|0.0|0.0|1.0|6.0|-4.61|31.0|4.0|-6.33|409.49|1.0|0.0|2.48e-05|2.6600000000000003e-05|0.0109|3.47|0.0|4.38e-08|1.7899999999999998e-05|-0.05035|5.2106|3.6545|-1311.57896|699.88|1195.77|0.4374|237.95|545.55|0.70126|-1311.285102|-0.20046|7.8454|11.0|7.9586|7.9586
4l_a46|0|0|0.171853072|1|7.825245291|1|1.134637095|2.155247543|-0.058870177|-0.004736212|-0.075241716|0.049498645|-0.060895366|10.94631401|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|-0.3888343979999999|1|0.726535412|-0.001318857|-0.229089688|0.7936534740000001|0|0.892158627|-0.09094885|0.291762764|0.00657916|-51.45056667|-48.19533497|3.721888783|-0.030068681|0.0|-29.10603933|51.66342604|0.409308207|504.7020036|2087.583804|-9.6227739|0.116549199|5.80829255|9.833034117|4865.794981|65.93290984|19.25417715|981.9630347|1.0|1.0|1.0|1.0|3.92|3.19|0.36|-7.0|5.02|50.94|0.0|0.0|1.0|3.0|-5.28|26.0|3.0|-5.23|347.45|1.0|1.0|5.25e-06|7.78e-06|0.0027|4.49|0.0|9.980000000000001e-08|3.47e-05|-0.01784|5.4011|4.4542|-1092.745692|612.39|1057.06|0.2504|229.55|526.77|0.68584|-1092.484863|-0.20351|3.7624|98.0|7.0088|7.0088
14aa_a23|0|1|0.0|2|7.423568444|0|1.19796312|3.4143268310000003|0.066582026|-0.005050361|-0.026892547|0.046678487|-0.029037128|10.313217300000002|2|2|0.012103325|0.055934795|-0.074579388|-0.4506138879999999|2|0.75434493|0.055269665|-0.070471939|0.693959193|1|0.924108042|-0.052155763|0.204831806|0.018016316|-35.51947393|-51.83122853|12.26959478|-0.03159178|83.27171526|-24.18971469|61.21989213|0.4930525229999999|629.3423691|2263.821505|-14.65218978|0.203340553|8.000512184|15.78173785|6651.23042|138.4803717|27.00633206|1431.335599|0.0|1.0|1.0|1.0|3.63|3.68|0.12|-8.16|4.63|105.02|1.0|0.0|1.0|5.0|-6.23|32.0|4.0|-5.92|439.54|0.0|0.0|5.9e-07|2.81e-06|0.00123|4.31|0.0|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|3.5934|-1708.5626|715.57|1231.11|0.4157|345.03|588.45|0.6805899999999999|-1708.276011|-0.21573|8.3532|4.0|8451.0|8451.0
14c_a22|0|0|0.0|1|6.842683282|0|1.42291727|1.596256692|-0.134137693|-0.005236206|-0.018518519|0.038137255|-0.023927419|10.9464374|1|1|0.004362505|-0.047249795|-0.0917078119999999|-0.364626967|2|0.773044788|-0.096749121|0.010828071|0.639264982|1|0.866576459|-0.067475189|0.6160012029999999|0.024569649|-48.57709197|-57.64986681|17.68831053|-0.030217952|78.22334636|-34.9718749|75.5139152|0.462147828|623.8702703|2092.7515510000003|-15.66173379|0.33831271|8.626337592|16.03849168|6882.45|243.5598613|32.87756477|1742.5109329999998|1.0|1.0|1.0|1.0|3.49|2.85|0.08|-9.28|4.18|109.38|0.0|0.0|1.0|6.0|-4.86|34.0|6.0|-6.96|445.48|0.0|0.0|1.39e-05|2.4e-05|0.0107|2.9|0.0|5.269999999999997e-10|2.35e-07|-0.07399|5.7361|3.6741|-1460.602657|715.52|1241.55|0.5079|216.15|575.8|0.69113|-1460.324494|-0.22807|9.04|153.0|6.8153|6.8153
12l_a36|1|0|0.0|0|7.412764017000001|2|1.297044247|0.0|-0.0944961519999999|-0.0076430169999999|-0.008712073|0.039061728|-0.05158636|10.95423322|1|1|0.001194592|0.228884463|-0.098598933|-0.428857427|1|0.8174432229999999|-0.041707369|-0.079106537|0.8212311840000001|0|0.84381923|-0.079972189|0.3827446779999999|0.0220227089999999|-52.05361632|-70.17688229|14.33450402|-0.038052612|1.281955437|-33.88151556|83.76912404|0.4619814279999999|549.2389652|2385.788754|-16.12160667|0.262041641|7.471134223|13.88638723|6121.6555530000005|170.5619816|33.56329135|1711.727859|0.0|1.0|1.0|0.0|4.78|0.0|0.13|-6.66|1.76|92.99|0.0|0.0|1.0|5.0|-4.57|31.0|5.0|-6.68|406.44|0.0|0.0|2.72e-05|5.08e-05|0.0206|2.95|0.0|2.21e-07|8.97e-05|-0.0510399999999999|3.8619|3.8619|-1325.194654|686.83|1155.07|0.4524|321.05|530.75|0.6925|-1324.954011|-0.20973|7.2021|0.02|7699.0|7699.0
9a_a40|0|0|0.0|1|7.515889085|0|0.604993021|1.865740741|-0.028285975|-0.003680068|-0.020455825|0.0397333329999999|0.157704751|10.31197235|2|2|0.011966382|0.291102625|0.009844552|-0.449508498|0|0.690568477|-0.394662853|-0.2990540869999999|0.61091688|1|0.937600185|-0.060029933|0.002467659|0.011033601|-29.02567082|-35.24260989|5.334966331|-0.032156295|51.49564873|-14.03449109|39.45618424|0.493941591|453.3484005|336.39741360000005|-7.51786994|0.131523409|6.749223592000001|13.33684703|3991.317015|63.59419322|17.90285474|608.6970611|0.0|1.0|0.0|1.0|3.26|3.28|0.06|-6.4|4.43|58.43|0.0|0.0|1.0|2.0|-5.49|21.0|2.0|-4.85|291.37|1.0|1.0|3.24e-06|8.33e-06|0.00243|4.54|0.0|4.02e-07|0.000117|-0.06495|4.7066|3.3192|-1217.955997|515.96|847.69|0.4746|263.42|411.01|0.69958|-1217.825264|-0.20303|5.09|214.0|6.6696|6.6696
1a_a5|0|0|0.0|0|6.605297921|1|1.189701889|0.0|-0.271170445|-0.001785522|0.009305578|0.021346801|-0.132197351|10.9502215|0|0|0.00549829|-0.123867037|0.069867374|-0.179831877|2|0.7427901179999999|0.11504495|-0.008431181|0.808272639|0|0.833638233|-0.071887159|0.3602068089999999|0.008036994|-36.19957997|-38.07869556|4.047117885|-0.027665419|0.0|-18.22870183|46.38422909|0.455258786|419.7878208000001|902.6910106|-7.015226132|0.274345323|6.199179484|11.38004491|4005.068642|138.1496441|19.19815378|787.1243051|1.0|0.0|1.0|1.0|3.54|0.0|0.16|-7.15|1.42|37.81|0.0|0.0|1.0|3.0|-2.6|23.0|4.0|-6.58|298.34|1.0|0.0|0.00253|0.000365|109.0|2.17|0.0|7.13e-08|2.13e-05|-0.1040099999999999|4.6707|2.8332|-951.1394906|531.02|882.1|0.2109|265.45|386.8|0.54123|-951.178584|-0.2262699999999999|6.7017|107.0|6.9706|6.9706
12h_a30|0|0|0.0|0|7.412764017000001|2|0.604984682|0.0|0.046965756|-0.00737961|-0.06631353|0.043848238|0.001698966|10.31162898|1|1|0.002064369|-0.166613751|-0.0541804029999999|-0.4708582289999999|1|0.831176513|0.008644634|-0.1240820219999999|0.64876559|0|0.763568404|-0.083127678|0.353607682|0.017389133|-52.88851758|-63.03519645|11.06352871|-0.038417127|0.0|-33.64938551|73.14241438|0.468446216|485.8069155|2268.811589|-15.55093031|0.202025127|8.066818026|15.1759206|6252.192213|128.5349203|30.63031164|1500.88527|0.0|1.0|1.0|0.0|4.63|0.0|0.14|-6.9|3.18|81.65|0.0|0.0|1.0|5.0|-5.39|30.0|5.0|-6.02|416.47|0.0|0.0|4.12e-06|9.71e-06|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05347|5.0289|3.5101|-1675.011389|672.54|1132.06|0.1878|246.54|518.06|0.68543|-1674.777786|-0.2023599999999999|3.4138|9.0|8065.0|8065.0
15c_a10|0|0|0.0|1|7.535296702|2|1.343850105|2.154210861|-0.236118846|-0.002218445|0.040869377|0.034807692|-0.1036030219999999|10.92970798|1|1|0.012271987|-0.101214571|-0.226679901|-0.1742732839999999|2|0.7351096359999999|-0.03167553|0.022187689|0.733973277|1|0.904458517|-0.046967376|0.418835517|0.014703076|-32.5870313|-50.32840842|10.2013281|-0.019267867|136.2098503|-22.60962187|66.5866765|0.449308156|627.5338454|1817.047455|-9.275357237|0.471771585|8.639636218|15.6886947|6673.826433|327.3258326|25.30814911|1619.721543|1.0|1.0|1.0|1.0|3.85|4.09|0.37|-7.79|2.97|59.31|0.0|0.0|1.0|6.0|-3.85|34.0|6.0|-6.99|454.57|1.0|0.0|0.0001419999999999|2.68e-05|0.0122|2.94|0.0|1.6100000000000002e-08|7.3e-06|-0.04724|5.5913|3.6709|-1450.241475|762.21|1318.35|0.3939999999999999|221.75|595.63|0.70511|-1450.139335|-0.19463|4.8283|0.1|7.0|7.0
3h_a32|1|1|0.0|0|7.765993078999999|0|0.609420752|0.0|0.01077056|-0.005281944|-0.008243901|0.037731481|-0.003152613|10.31100268|3|3|0.003284804|0.025035542|-0.071193103|-0.531669815|0|0.7926338540000001|-0.169197453|-0.2|0.8030743229999999|1|0.87880263|-0.07183387|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|-0.027590124|0.0|-28.15732254|62.63332945|0.4089962629999999|550.2022886|2911.160989|-10.81473143|0.226505997|8.107034244|13.71739929|5187.525619|141.8112711|22.33200639|1071.936307|1.0|1.0|1.0|1.0|3.65|3.88|0.35|-8.47|6.24|110.94|0.0|0.0|1.0|7.0|-8.23|26.0|3.0|-4.29|382.55|0.0|1.0|5.8700000000000014e-09|7.140000000000001e-07|0.000273|6.12|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|3.5552|-1790.6908030000002|676.22|1127.45|0.2926|348.74|578.86|0.70257|-1790.440663|-0.20059|5.8749|7.0|8.1549|8.1549
1_a3|0|0|0.0|0|6.823286122000001|1|0.6195934120000001|0.0|0.079857077|-0.006053652|-0.073036903|0.034166667|0.038572075|10.33805862|0|0|-0.005006707|-0.007705076|0.05038525|-0.486774367|2|0.7905285390000001|-0.126299711|0.057919092|0.943582278|1|0.7762512779999999|-0.098872259|0.521474118|0.008036786|-45.44133321|-42.54530997|3.693677623|-0.034105115|0.0|-20.88467272|49.05980305|0.4490711529999999|356.76228530000003|1162.737831|-7.203984013|0.207914282|4.984064981|9.046658216|4510.611026|95.55665364|19.78900457|751.9821735|1.0|0.0|1.0|1.0|3.83|0.0|0.18|-5.77|1.85|77.1|0.0|0.0|2.0|2.0|-3.07|22.0|4.0|-6.87|306.38|0.0|0.0|0.0008529999999999|0.000503|154.0|1.83|0.0|1.69e-06|0.000518|-53.0|5.8805|3.8645|-1273.316428|496.09|845.2|0.1775|210.84|316.61|0.68912|-1273.1763970000002|-0.21886|3.4319|724.0|6.1403|6.1403
17d_a50|0|1|0.0|2|8.105609402|2|1.338814635|4.380250483|-0.152030219|-0.002166617|0.03538699|0.031990741|-0.136180713|10.94500663|2|2|0.01245647|0.009780681|-0.200725906|-0.2294807539999999|1|0.748516466|-0.1921395789999999|-0.2177003589999999|0.7276268779999999|1|0.929886823|-0.044172353|0.8020670809999999|0.0152123589999999|-30.63468215|-48.40178147|10.55016861|-0.025589979|86.38197811|-21.24595322|57.5414543|0.445708152|644.9008302|2950.99157|-12.30823045|0.24594297|6.996105516|12.62170017|6281.764548|170.5678813|23.53577933|1412.14676|1.0|1.0|1.0|1.0|4.07|3.68|0.35|-7.07|4.29|51.77|0.0|0.0|1.0|6.0|-4.5|32.0|4.0|-6.25|424.54|1.0|0.0|3.17e-05|1.31e-05|0.00557|3.72|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|4.0506|-1335.989008|727.15|1263.22|0.1819|306.09|579.45|0.66103|-1335.649722|-0.19967|7.9942|74.0|7.1308|7.1308
20a_a10|0|0|0.0|1|7.535296702|1|1.343837243|2.113798134|-0.0774974029999999|-0.0034618129999999|0.049376168|0.036415094|-0.010695558|10.9296614|1|1|0.008297595|-0.058994157|-0.049146504|-0.281099208|2|0.755429696|0.036092601|0.019448804|0.63495222|1|0.913681336|-0.066386563|0.591835899|0.013618456|-43.19189039|-47.37850712|8.860330345|-0.028008251|47.01787447|-28.10115947|58.1398225|0.452402751|594.4519837|2021.669282|-11.8557778|0.266548108|8.419180593|15.37476788|6729.996773999999|173.41938059999998|24.84485067|1291.932235|0.0|1.0|1.0|1.0|3.48|3.63|0.11|-9.44|5.77|76.62|0.0|0.0|1.0|4.0|-5.68|33.0|5.0|-5.82|429.47|0.0|1.0|2.07e-06|2.56e-06|0.0011|4.36|0.0|3.61e-10|1.55e-07|-0.06611|4.7841|3.8312|-1389.164302|696.63|1200.92|0.2738|259.16|524.02|0.6864600000000001|-1388.897416|-0.2274199999999999|3.2116|1.2|5.9208|5.9208
8c_a31|1|0|0.0|0|7.765993078999999|1|0.610137334|0.0|-0.012583838|-0.01275867|-0.104377029|0.03995098|-0.1903992189999999|10.31169969|2|2|-0.004832959|-0.178276512|-0.053983462|-0.513257014|0|0.847752299|0.006000201|-0.1759864119999999|0.87237334|0|0.626072761|-0.1170607269999999|0.280934088|0.029669107|-64.57121646|-70.64275621|16.3656112|-0.039640027|477.2277896000001|-35.61776956|82.77037329|0.47508938|345.3445134|1678.6836239999998|-12.06117028|0.27691747|6.820988495|12.99457133|4835.748065|152.7489054|30.23944586|1270.056726|1.0|1.0|1.0|1.0|3.51|2.9|0.29|-6.13|3.13|114.29|0.0|0.0|1.0|5.0|-4.42|24.0|5.0|-6.7|342.42|0.0|1.0|3.79e-05|0.000237|0.0811|2.38|0.0|7.45e-07|0.0002549999999999|-0.03222|3.8492|3.8492|-1426.166503|595.67|981.89|0.2597|322.11|475.72|0.7005|-1425.968408|-0.19207|5.1815|0.81|6.0915|6.0915
1l_a5|1|0|0.0|0|6.605297921|0|1.270375394|0.0|-0.244609612|-0.00183668|-0.0052651969999999|0.025672515|-0.019865028|10.94421389|1|1|0.007613233|-0.179824092|0.0271820189999999|-0.21108114|2|0.7656671279999999|-0.174469948|-0.091849662|0.71872376|0|0.890289002|-0.068685233|0.357062421|0.0078543119999999|-38.79937717|-38.27406105|4.43679678|-0.026512937|0.0|-21.91725365|45.64819758|0.47265823|502.9124512|903.1631908|-8.460199385|0.230593886|7.401206343999999|14.03493287|4665.793689|130.25942849999998|19.46541135|895.4089219|1.0|0.0|1.0|1.0|2.98|2.67|0.14|-8.83|5.32|54.46|0.0|0.0|1.0|4.0|-5.04|26.0|3.0|-5.4|340.42|1.0|1.0|9.06e-06|1.04e-05|0.00356|4.19|0.0|1.4800000000000003e-09|5.02e-07|-0.04149|4.6403|4.3664|-1069.261615|609.85|1033.47|0.4921|267.19|486.81|0.57392|-1069.047151|-0.21939|3.3694|32.0|7.4949|7.4949
12g_a40|0|0|0.0|1|7.515889085|0|0.604990688|1.687211672|0.037440516|-0.01011728|-0.129331216|0.036630824|0.075327376|10.31197254|2|2|-0.003205145|0.280045216|0.063401514|-0.512657141|0|0.769016155|0.020185301|-0.326139923|0.6941475490000001|1|0.8702014570000001|-0.0951493559999999|0.289122732|0.012706769|-49.94706785|-52.24208444|6.670206427999999|-0.0435406|0.0|-26.21888031|59.29860462|0.465725912|456.7977427|681.6778419|-11.99782981|0.147968773|7.692740528|14.39849078|5211.675486|77.67373972|26.82520454|858.4065454|0.0|1.0|0.0|0.0|3.24|3.2|0.0|-6.63|5.14|78.66|0.0|0.0|1.0|2.0|-6.46|23.0|3.0|-4.91|362.23|0.0|1.0|3.43e-07|1.62e-06|0.000586|5.07|0.0|2.37e-07|8.57e-05|-0.07424|4.0224|3.1577|-2173.044757|540.25|896.63|0.3539|308.23|429.31|0.6988|-2172.9382|-0.20615|2.7075|724.0|6.1403|6.1403
12ac_a36|1|0|0.0|0|7.412764017000001|2|1.297043188|0.0|-0.050997272|-0.007639626|-0.073735973|0.042560386|-0.046730704|10.95345846|1|1|0.0018565629999999|0.060445359|-0.098698552|-0.433636165|1|0.811459853|0.135371136|-0.020272679|0.770400825|0|0.779673368|-0.080202334|0.4712820929999999|0.021508835|-55.68500110000001|-72.4798052|14.93372351|-0.036062573|20.70356046|-38.66245764|86.51036063|0.44477577|541.3322795|2455.459827|-17.38437788|0.268353853|8.126831024|14.63702516|6378.288017|186.3198219|34.22211444|1882.216294|0.0|0.0|1.0|0.0|4.86|0.0|0.17|-6.89|2.09|86.27|0.0|0.0|1.0|6.0|-3.81|32.0|5.0|-7.21|423.47|0.0|0.0|0.000154|0.000112|0.0476|2.36|0.0|1.29e-07|5.4600000000000006e-05|-0.0527399999999999|3.8843|3.8594|-1385.606133|711.77|1200.61|0.3302|319.2|554.84|0.56357|-1385.3211789999998|-0.20949|5.4387|13.0|7.8861|7.8861
11g_a5|1|0|0.0|1|7.139660336|0|1.388236041|1.984996534|-0.204002571|-0.004593347|0.009272269|0.020943152|-0.137618073|10.94877951|2|2|0.006964153|-0.14133011|-0.137739838|-0.267507083|2|0.814159231|-0.075382189|-0.01453517|0.73551511|0|0.837943738|-0.067247149|0.396049407|0.023215707|-44.19305139|-50.16001519|15.25675|-0.025442296|0.0|-29.04250676|71.21847290000001|0.485790997|550.6745046|935.4227938|-10.98794595|0.456418686|9.342496899|18.16867625|5817.569415|299.94631180000005|30.75897687|1568.70782|1.0|1.0|1.0|1.0|3.17|2.34|0.08|-9.04|4.48|81.51|0.0|0.0|1.0|7.0|-4.12|31.0|5.0|-6.84|408.46|0.0|0.0|7.65e-05|4.88e-05|0.0199|2.75|0.0|9.229999999999999e-10|3.770000000000001e-07|-0.04322|4.5106|4.2083|-1330.189793|693.48|1180.25|0.4609|274.87|542.13|0.63081|-1329.927772|-0.2146199999999999|4314.0|0.03|7.5229|7.5229
19d_a38|1|0|0.0|0|7.412764017000001|2|1.297043205|0.0|0.013465335|-0.0120676969999999|-0.17467835|0.04572104|-0.0555594909999999|10.95446448|1|1|-0.00835812|0.041924146|-0.060668296|-0.529632789|1|0.853092207|0.111104525|-0.039361255|0.730686013|0|0.63167949|-0.116424545|0.3509455999999999|0.024158903|-74.84120843|-80.2776536|15.53007152|-0.04393982|115.6739235|-48.11018574|94.84426896|0.478151237|406.0626253|2995.494247|-18.15727844|0.250518301|7.056031803|13.52121974|6934.7619620000005|161.0407189|37.68716585|2035.106956|0.0|0.0|1.0|0.0|4.91|2.38|0.13|-6.41|1.65|124.32|0.0|0.0|1.0|6.0|-3.87|33.0|5.0|-7.84|444.46|0.0|0.0|0.000134|0.0002399999999999|107.0|1.65|0.0|3.94e-07|0.000175|-0.05091|5.3771|3.6586|-1500.898316|679.08|1171.77|0.3167|230.58|517.77|0.6957800000000001|-1500.621723|-0.20145|10.6621|11.0|7.9586|7.9586
18b_a25|0|0|0.0|1|6.842683282|0|1.194228955|1.824998189|-0.147813831|-0.003259453|0.0131826839999999|0.038137255|0.014055398|10.31286058|1|1|0.00598031|-0.032776381|-0.034703635|-0.303383008|2|0.7723870909999999|-0.026045966|0.001715854|0.6915652390000001|1|0.936253893|-0.063132226|0.348987182|0.01278627|-44.30110081|-55.18621997|8.972372556|-0.0305838929999999|0.0|-31.08693686|64.81723515|0.493622561|656.9874135|2327.4502850000003|-15.05981357|0.215220531|8.654596906|17.09119768|6973.180791|151.02439719999998|27.34692815|1476.7341199999998|1.0|1.0|1.0|1.0|3.58|3.56|0.07|-9.84|5.59|111.51|1.0|0.0|1.0|6.0|-6.54|34.0|4.0|-5.93|460.55|0.0|1.0|2.87e-07|1.95e-06|0.000899|4.48|0.0|1.4500000000000002e-10|6.690000000000001e-08|-0.07066|5.5437|3.6826|-1767.52411|728.12|1284.89|0.2658|223.65|612.24|0.54166|-1767.2232149999998|-0.22145|2752.0|51.0|7.2924|7.2924
4_a4|0|0|0.0|1|7.535296702|1|1.343865392|2.156628874|-0.183963421|-0.001234337|0.0159331539999999|0.036775068|-0.110597574|10.92992837|1|1|0.0112367389999999|-0.035166634|-0.048056862|-0.157959343|2|0.77276149|-0.168712277|-0.063012715|0.636572383|1|0.933276024|-0.049768752|0.456474074|0.008570112|-25.64211031|-35.41518716|4.4155367960000005|-0.0255766729999999|42.42341622|-13.21145879|40.86951119|0.398500394|480.8472306|1883.42405|-6.78950447|0.2062820269999999|5.326452915|8.855289118|4878.070704|106.2816773|16.60255217|713.9097433|1.0|0.0|1.0|1.0|3.15|3.09|0.19|-7.57|4.41|43.6|0.0|0.0|1.0|2.0|-4.12|25.0|3.0|-5.79|326.39|1.0|1.0|7.59e-05|2.69e-05|0.00877|3.52|0.0|2.71e-08|8.85e-06|-0.04865|5.382000000000001|4.0261|-1029.960398|566.84|960.45|0.1106|230.37|394.06|0.6010800000000001|-1029.763465|-0.21831|3.1195|78.0|7.1079|7.1079
