molecula|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|RPCS|WNSA3|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
19a_a22|0|0|0.0|1|6.842683282|0|1.422917238|1.572240489|-0.000989685|-0.009145283|-0.144269652|0.0389622639999999|-0.011513343|10.9464374|1|1|-0.001355145|-0.03516233|-0.035723406|-0.496053375|2|0.777600172|-0.155892259|0.0271939039999999|0.699744887|1|0.744354735|-0.090145161|0.51561501|0.024839714|-67.26339083|-69.91748544|18.53458775|-0.035138299|106.645364|-50.18975739|89.23486638|0.4347718229999999|555.4133255|2607.322873|-19.56380872|0.315293811|8.648671382|15.30120355|7095.27723|235.2620007|38.29242013|2144.375527|1.0|1.0|1.0|1.0|3.61|2.27|0.08|-8.76|3.41|128.68|0.0|0.0|1.0|7.0|-4.38|35.0|6.0|-7.67|463.49|0.0|0.0|4.16e-05|7.69e-05|0.0356|2.05|0.0|1.73e-09|8e-07|-0.06398|5.0397|3.5809|-1537.071348|740.07|1277.14|0.2218|246.01|567.03|0.66605|-1536.756515|-0.21478|6.5658|48.0|7.3188|7.3188
25_a12|0|0|0.0|0|0.0|0|1.404967476|0.0|0.00700113|-0.004103693|-0.045725323|0.038787879|-0.025245046|10.93676625|0|0|0.001783739|-0.141917694|-0.0542354559999999|-0.4288076329999999|2|0.638255008|-0.2430098439999999|-0.208172827|0.806844014|1|0.947937175|-0.054734834|0.120087607|0.004952762|-28.517955|-41.75851719|2.580489093|-0.03323193|0.0|-14.85843094|44.42528172|0.448858246|493.8944271000001|1907.027255|-9.021208163|0.082701363|5.34703037|9.70173342|4329.321091|43.08908189|18.87554002|773.8971409|1.0|0.0|1.0|1.0|2.81|3.43|0.05|-8.78|5.35|37.81|0.0|0.0|1.0|3.0|-5.28|24.0|2.0|-4.82|311.38|1.0|1.0|5.19e-06|5.63e-06|0.00175|4.76|0.0|1.6399999999999995e-09|5.12e-07|-0.05352|4.2653|3.4532|-974.6569575|560.14|945.73|0.4483|290.68|442.64|0.69029|-974.458128|-0.19655|2.2482|22.0|7.6576|7.6576
11d_a31|1|0|0.0|0|7.765993078999999|1|0.610136352|0.0|0.064475882|-0.017317263|-0.116385886|0.0388738739999999|-0.092360393|10.31169874|2|2|-0.006496772|0.026806221|-0.096447723|-0.574318121|0|0.822077662|-0.057505249|-0.13169885|0.78396996|0|0.585212816|-0.134031221|0.197166451|0.034417775|-82.05480081|-82.06512842|21.07078977|-0.040797245|91.25756269|-50.23449218|98.8237718|0.4816588089999999|358.2711594|2039.207676|-15.29068277|0.318229459|7.885647873|15.21323794|5420.356537|194.8221811|36.63453013|1685.188386|1.0|1.0|1.0|1.0|3.6|2.83|0.32|-6.23|4.03|125.57|0.0|0.0|1.0|7.0|-5.48|27.0|6.0|-6.4|385.44|0.0|1.0|3.33e-06|6.26e-05|0.0241|3.17|0.0|5.83e-07|0.000225|-0.03404|3.8009|3.8009|-1598.7152199999998|650.64|1077.69|0.2642|326.2|551.86|703.0|-1598.4848980000002|-0.19226|4.6622|0.03|7.5229|7.5229
3f_a32|1|1|0.0|0|7.773594467000001|0|0.6094207770000001|0.0|0.0067550119999999|-0.00611496|-0.0434359079999999|0.042380952|-0.113189563|10.31100273|3|3|0.002565215|-0.112493266|-0.074808287|-0.5487283829999999|0|0.820782305|-0.110248899|-0.1743238839999999|0.786074011|1|0.874026684|-0.073433055|0.3217719189999999|0.011897886|-41.40131823|-54.8993954|6.707989266|-0.030139709|0.0|-23.34192893|61.47296003|0.435176082|492.7734095|2130.756016|-9.580412233|0.21080172|6.153728636|10.89495051|4993.667711|118.8493262|21.53155987|904.3255145|1.0|1.0|1.0|1.0|3.9|3.31|0.28|-7.31|5.63|110.94|0.0|0.0|1.0|4.0|-6.89|24.0|3.0|-5.03|354.49|0.0|1.0|1.28e-07|3.96e-06|0.0014|4.83|0.0|4.89e-08|1.73e-05|-0.05315|3.5569|3.5569|-1712.0610190000002|604.9|1006.92|293.0|348.58|488.74|0.70255|-1711.863611|-0.2006099999999999|5.7161|9.0|8.0458|8.0458
18c_a22|0|0|0.0|1|6.842683282|0|1.194229067|1.804590026|-0.191807441|-0.003749104|0.013131848|0.038137255|0.009519672|10.31286086|1|1|0.005597023|-0.081550274|-0.078828791|-0.305378181|2|0.7669483559999999|-0.032031791|0.010828071|0.6922232890000001|1|0.931073539|-0.057956428|0.5003904610000001|0.019843706|-40.094865000000006|-52.84635017|13.72808419|-0.028825841|15.22791009|-27.73804808|67.73280290000001|0.4777430589999999|644.1264387|2574.178324|-13.79609783|0.317309976|7.332936064|14.04085897|7101.057047|219.5183688|29.21094233|1548.179944|1.0|1.0|1.0|1.0|3.56|3.3|0.08|-9.46|4.98|124.4|1.0|0.0|1.0|6.0|-5.8|34.0|5.0|-6.63|461.54|0.0|1.0|1.6e-06|7.98e-06|0.0036799999999999|3.5|0.0|3.4299999999999995e-10|1.58e-07|-0.07207|5655.0|3.7222|-1783.562578|707.08|1249.84|0.2996|219.25|583.88|0.60449|-1783.277296|-0.22365|1.0733|26.0|7585.0|7585.0
4_a27|0|0|0.0|2|6.823286122000001|0|1.4008954130000002|3.294369174|0.082486268|-0.006181204|-0.058641975|0.0456410259999999|0.13397347|10.93736915|1|1|0.010329671|-0.459570857|-0.2030237389999999|-0.480852615|2|0.7853766809999999|-0.07759915|-0.024800302|0.614205449|1|0.852604338|-0.057748369|0.3485918529999999|0.0201467639999999|-29.89961815|-40.79296366|10.43112657|-0.0281385239999999|58.27512057|-15.48073439|51.33640873|0.444169714|441.4418013|1213.060761|-7.543156957000001|0.317514326|6.01592535|10.82331334|4988.6278600000005|164.3952417|21.34684457|896.5674718|0.0|1.0|0.0|1.0|3.11|3.08|0.16|-6.22|2.8|65.6|0.0|0.0|1.0|2.0|-3.57|25.0|4.0|-6.51|331.37|1.0|1.0|0.000266|0.000102|0.0339|2.55|0.0|6.04e-07|0.0002|-0.0449899999999999|5.5485|4.1288|-1083.138303|555.75|946.77|0.2002|223.46|445.65|0.6089899999999999|-1082.963712|-0.21533|3.9202|4.0|8.3979|8.3979
1a_a18 (SB-431542)|1|0|0.0|0|7.423568444|1|1.430935835|0.0|0.043282217|-0.015636898|-0.175408303|0.035620155|-0.029658865|10.94959842|1|1|-0.008385698|0.164429684|-0.020716495|-0.567791164|1|0.7462411859999999|-0.08530265|-0.083341531|0.795744863|0|0.5940412860000001|-0.126408788|0.210046675|0.033020439|-74.98172333|-72.69619778|19.58668728|-0.0462988229999999|105.3125675|-44.47680367|87.15852628|0.472443977|352.3666367|1890.195809|-16.29019397|0.2468003389999999|7.52384981|14.26170773|5748.422847|146.3942108|36.46179023|1640.78056|1.0|1.0|1.0|1.0|3.25|2.35|0.05|-7.69|3.63|103.12|0.0|0.0|1.0|4.0|-4.52|29.0|5.0|-6.73|384.39|0.0|1.0|3.03e-05|5.660000000000001e-05|0.0218|2.7|0.0|2.03e-08|7.81e-06|-0.05971|3.8208|3295.0|-1292.588031|620.23|1048.7|0.5767|324.5|464.08|0.69868|-1292.358966|-193.0|8.8609|125.0|6.9031|6.9031
21a_a23|0|1|0.0|2|7.525639975|0|1.197963603|3.43622302|0.1049806919999999|-0.005708466|-0.038876045|0.042862319|-0.133417036|10.31321782|2|2|0.01180744|0.130024255|-0.074441567|-0.484404194|2|0.7367638240000001|0.1022509819999999|-0.137122549|0.6906097959999999|1|0.926538469|-0.051521215|0.224766417|0.011564247|-34.01266735|-54.35891011|7.634348008|-0.03458322|82.08958626|-22.45408125|61.73864319|0.492301762|611.67123|2272.736256|-15.07212993|0.157878617|7.950891003|15.66066298|6464.524241|104.2264415|27.11098744|1355.5493720000002|0.0|1.0|1.0|1.0|3.53|3.48|0.09|-7.78|4.33|105.02|1.0|0.0|1.0|5.0|-5.89|31.0|4.0|-6.07|425.51|0.0|0.0|1.3e-06|5.29e-06|0.00225|3.98|0.0|1.65e-08|7.03e-06|-0.07243|3.6993|3.6993|-1669.250866|701.01|1189.63|0.3692|335.16|558.61|0.60824|-1668.989671|-0.2226699999999999|7.9309|102.0|6.9914|6.9914
18_a47|1|1|0.0|0|6.605297921|0|1.414391819|0.0|-0.141396999|-0.004337918|-0.06345679|0.037919622|0.018164141|10.93838451|1|1|0.0015586929999999|-0.056674151|-0.02470455|-0.322800033|3|0.792196273|-0.059779939|-0.027351545|0.630969651|1|0.777824025|-0.078937385|0.454324931|0.014741763|-49.44908758|-52.88049505|9.234746417|-0.0303894239999999|3.684585007|-30.97660579|63.72933669|0.432077184|487.2556678|2184.962887|-11.9254166|0.267251553|7.018342267|12.35791568|6261.441874|167.41554630000002|25.98023687|1299.011844|1.0|0.0|1.0|1.0|3.47|2.5|0.08|-10.36|6.0|79.38|0.0|0.0|0.0|4.0|-5.5|31.0|5.0|-5.87|410.45|0.0|1.0|3.13e-06|4.29e-06|0.00176|4.13|0.0|4.34e-11|1.78e-08|-0.04964|4.2668|4.2222|-1354.221126|652.12|1130.76|0.4335|290.58|487.81|0.63359|-1353.979194|-0.22313|5.3433|3.0|8.6|8.6
8d_a12|1|1|0.0|0|6.580639137|1|1.283835213|0.0|0.057525383|-0.0076893469999999|-0.048642535|0.038347953|-0.065870394|10.94458983|1|1|0.001575111|0.0479437859999999|0.00930483|-0.484923957|1|0.751098108|-0.091036025|-0.080872311|0.8405406040000001|1|0.858710112|-0.077834742|0.266886187|0.011348654|-43.27410838|-57.57034769|6.309558958999999|-0.039118358|0.0|-24.05928792|64.53435462|0.465113852|477.4206699|1288.818257|-12.09177064|0.166136296|6.93584319|12.96695233|5255.11762|92.36749461|26.08195789|1173.6881050000002|1.0|1.0|1.0|1.0|4.06|2.23|0.1|-8.37|2.67|65.96|0.0|0.0|1.0|3.0|-4.58|27.0|4.0|-5.96|352.39|1.0|1.0|2.64e-05|2.43e-05|0.0085799999999999|3.51|0.0|4.23e-09|1.49e-06|-0.05488|4.2383|3.7397|-1138.296407|600.2|1007.85|0.2871|292.53|433.32|0.4997399999999999|-1138.086709|-0.20794|3.0277|25.0|7.6021|7.6021
