molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|nARing|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC7i|MATS1i|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|WNSA5|RPCS|FNSA2|PNSA4|DPSA3|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
12c_a30|0.0|0|0|0.0|0.0|2|0.045997203|-0.006900253|-0.030422458|0.042804233|0.0|0.019094532|10.31162888|1|-0.172653074|-0.051371057|0.8264832879999999|0.824373792|-0.1240820219999999|0.880943609|0.7463962120000001|0.39541773|0.01588025|-50.12643041|-62.99109515|10.36785909|-0.037411484|-41.12547305|0.0|-1.833162702|-24.42511853|60.4942895|-1196.830808|0.193871231|7.652098812999999|13.9883503|0.828040991|6403.739746|-781.3839879|30.29927658|-399.7292126|1484.664552|652.8825454|9.594458155|0.0|1.0|1.0|0.0|4.62|0.14|-7.22|4.47|2.0|0.0|1.0|4.0|-5.75|432.93|0.0|0.0|3.11|0.0005139999999999|4.49|0.0|6.03e-08|2.61e-05|3.5286|695.96|1168.62|351.37|0.2155|245.12|541.39|0.32037|0.68457|-2035.141497|0.1568|-0.1496299999999999|3.7377|-0.2038599999999999|0.03433522|7.9914|7.9914
9h_a40|0.0|0|0|0.0|0.0|0|0.014753178|-0.009041931|-0.126968715|0.039444444|0.814591837|0.133376308|10.31197223|2|0.270048551|0.048470175|0.778613709|0.740778143|-0.299768519|0.8022014000000001|0.7528137909999999|0.219852623|0.012390387|-46.04148264|-47.93581245|6.199629554|-0.041058441|-23.98506758|0.0|-1.437045429|-20.54391962|52.2411122|-719.0371868|0.136115065|6.922257828999999|13.366649|0.930966649|4322.734135|-359.7760137|23.78085181|-364.1454816|832.3298135|336.23227030000004|5.664631335|1.0|1.0|0.0|1.0|3.3|0.11|-6.51|4.59|1.0|0.0|1.0|3.0|-5.06|321.4|0.0|1.0|4.06|0.000716|4.51|0.0|3.09e-07|9.93e-05|3.3675|526.38|868.84|368.18|0.3851|292.61|410.18|0.64952|0.69809|-1293.033723|0.2721|-0.14047|2.1413|-0.20038|0.02291279|5.4001|5.4001
1b_a5|0.0|1|0|2.881451247|0.0|0|-0.250420203|-0.00279809|-0.061874543|0.0248765429999999|0.0|0.001241264|10.94890233|1|-0.220946861|0.019611905|0.567806811|0.759794937|-0.054153474|0.827319059|0.558485747|0.341795323|0.010803163|-39.38248661|-38.87394276|5.438378717999999|-0.031306145|-19.56938257|0.769931305|-1.158327367|-15.75970652|44.82086533|-583.1091414|0.267518749|6.11909445|11.64312636|0.90275317|4577.125071|-293.5407385|21.51550842|-234.0649914|796.0738116|357.34245360000006|9.680212283|1.0|0.0|1.0|1.0|2.75|0.0|-8.3|4.88|0.0|0.0|1.0|4.0|-5.99|316.33|0.0|1.0|3.38|0.0336|3.16|0.0|4.99e-09|1.58e-06|4.6481|536.59|892.61|266.74|0.3101|258.89|388.58|0.5153800000000001|0.43728|-1050.413506|87.0|-0.1892|2891.0|-0.23055|0.03246637|7.2291|7.2291
12l_a36|0.0|1|0|3.426092687|0.0|2|-0.0944961519999999|-0.0076430169999999|-0.008712073|0.039061728|0.0|-0.05158636|10.95423322|1|0.228884463|-0.098598933|0.8707354620000001|0.8174432229999999|-0.079106537|0.8772535459999999|0.8212311840000001|0.3827446779999999|0.0220227089999999|-52.05361632|-70.17688229|14.33450402|-0.038052612|-45.67788557|1.281955437|-1.940683231|-24.7683114|66.38812034|-1263.1838810000002|0.262041641|7.471134223|13.88638723|0.8586718990000001|6121.6555530000005|-822.2019402000001|33.56329135|-309.7725155|1711.727859|642.3830552000001|13.59224175|0.0|1.0|1.0|0.0|4.78|0.13|-6.66|2.75|1.0|0.0|1.0|5.0|-6.68|406.44|0.0|0.0|1.77|0.0111|2.95|0.0|2.21e-07|8.97e-05|3.8619|686.83|1155.07|321.05|0.4524|321.05|530.75|0.6925|0.6925|-1324.954011|0.4524|-0.15869|5392.0|-0.20973|0.03508404|7699.0|7699.0
9_a15|0.0|0|0|0.0|0.0|0|-0.217598467|-0.009923019|-0.042227775|0.04022792|0.0|0.05688176|10.95880687|0|0.140072812|-0.203104439|0.85357243|0.7059441040000001|0.010183805|0.742680335|0.8105478740000001|0.416635119|0.032464905|-41.10356167|-65.07462414|18.10574464|-0.028575549|-36.29225274|54.69975317|-1.400201879|-15.93664265|59.20930631|-780.8954896|0.48742253|5.485176331|10.00547485|0.8240935659999999|5375.400861|-435.5070329|31.09118831|-14.02896218|1523.4682269999998|532.0914339999999|20.06953345|1.0|1.0|0.0|1.0|3.16|0.19|-7.57|3.9|2.0|0.0|1.0|5.0|-5.52|366.41|0.0|1.0|3.69|0.00206|4.24|0.0|2.69e-08|9.86e-06|3.7487|588.55|1042.17|330.74|0.2693|285.37|507.33|0.6512399999999999|0.70552|-1223.463757|0.0115|-0.1565099999999999|1.4625|-0.1824|0.01773342|6.9706|6.9706
15_a47|0.0|1|1|2.9226792460000004|0.0|0|-0.164258919|-0.00516949|-0.072588375|0.042285714|1.56205245|0.086682657|10.9497222|1|-0.299654464|-0.007670908|0.644280611|0.830688568|0.081171071|0.897881853|0.614613723|0.429825305|0.016669157|-45.1562696|-48.36220049|8.917011222000001|-0.033307714|-25.87091101|0.0|-1.265693121|-17.81765281|54.07328082|-677.0708068|0.288369895|6.984778596|13.37174753|0.914412511|5075.773767000001|-362.1927541|25.03780079|-226.4191275|951.4364299|383.4213189|11.43190096|1.0|0.0|1.0|1.0|2.89|0.06|-8.49|4.69|2.0|0.0|1.0|4.0|-5.76|353.78|0.0|0.0|3.74|0.00455|3.8|0.0|3.22e-09|1.14e-06|4.0594|552.16|930.51|305.43|0.2828|286.26|419.75|0.67203|0.68008|-1527.265523|0.0759|-0.16762|2.2271|-0.2268|0.03425526|7.8|7.8
16_a31|0.0|1|0|3.096824452|0.0|1|0.152128735|-0.020181753|-0.186617888|0.042528736|0.0|-0.00795845|10.31170095|2|-0.0897217219999999|-0.053194463|0.951830892|0.8318419909999999|0.0980869569999999|0.8948140790000001|0.8944757390000001|0.29485045|0.0374314139999999|-66.9420327|-70.82239128|17.63615984|-0.050105055|-33.36862997|467.7901274|-1.653466811|-23.60746376|84.57819254|-779.0463041|0.26919564|5.521618837|9.649327262|0.747554032|4387.049328|-367.0549296|32.30339751|-217.4912527|1066.012118|280.39844320000003|13.04390063|1.0|0.0|1.0|1.0|3.2|0.14|-4.94|3.8|0.0|0.0|2.0|4.0|-6.48|300.34|0.0|0.0|2.33|0.0131|2.32|0.0|1.16e-05|0.00347|3.6596|503.18|818.1|338.79|0.2534|338.79|369.73|0.70108|0.70108|-1308.113026|0.2534|-0.15231|3.7419|-0.1842|0.03948619|7.0458|7.0458
18_a20|0.0|1|0|3.463603867|0.0|0|0.1160337319999999|-0.008841844|-0.12050413|0.0396875|1.983673343|-0.011236836|10.93301779|1|0.268927191|0.001996439|0.809917509|0.7602869659999999|-0.090732503|0.8162774979999999|0.778639593|0.356461863|0.0108136339999999|-61.73239771|-63.36348363|7.195302872999999|-0.035934845|-42.1615378|82.70867776|-1.904546783|-23.91074854|68.92770059|-1267.269673|0.1890889589999999|8.011174137000001|15.51556677|0.936740671|6206.896662|-843.230756|29.4862782|-413.7552685|1562.772745|712.1606951|8.954638548|1.0|1.0|1.0|1.0|3.48|0.08|-10.0|5.54|2.0|0.0|0.0|4.0|-6.13|419.48|0.0|0.0|3.78|0.00107|3.85|0.0|9.93e-11|4.17e-08|3.5355|703.24|1204.88|350.69|0.2991|207.41|531.11|0.31154|0.6953699999999999|-1352.073755|0.2011|-0.14685|5.3978|-0.20289|0.03787435|7.4685|7.4685
34_a20|0.0|0|0|0.0|0.0|0|0.0305860929999999|-0.0057643419999999|-0.104520106|0.0396875|1.991704333|-0.046356705|10.93244905|1|0.327535029|0.0346782989999999|0.7071284179999999|0.74801464|-0.090732503|0.80310139|0.690530489|0.408491116|0.0130295999999999|-57.31821177|-57.49912174|8.766605631000001|-0.032248904|-38.68669181|80.66541842|-1.709191893|-21.69778179|66.0848174|-1149.982435|0.223585914|7.940146766|14.7802149|0.8614536140000001|6211.26199|-773.7338361000001|27.94614651|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|3.43|0.08|-9.18|4.5|2.0|0.0|1.0|4.0|-6.28|419.48|0.0|0.0|3.63|0.00305|3.63|0.0|6.64e-10|2.780000000000001e-07|3.8699|711.19|1205.64|320.38|0.4388|229.04|544.93|0.38519|0.68845|-1352.041015|0.0766|-0.16103|3.8519|-0.21284|0.03558836|7.2147|7.2147
8b_a50|0.0|1|1|3.1324050960000003|0.0|1|-0.115740384|-0.0045301379999999|-0.009597908|0.035718954|1.98971238|-0.009441452|10.945024|2|-0.170496134|-0.065440141|0.753629415|0.809463375|-0.031953774|0.8836675340000001|0.71043578|0.267094693|0.021513107|-34.79187329|-37.39727879|10.30543157|-0.030360051|-17.91443197|0.0|-1.092961836|-14.54338619|45.09730487|-523.561903|0.328290204|5.292277178|9.26652151|0.75095166|4446.001554|-250.8020475|21.65129387|-164.5084115|779.4465792000001|339.5806858|11.63112165|1.0|0.0|1.0|1.0|3.21|0.06|-5.94|3.14|0.0|0.0|2.0|3.0|-6.32|299.33|0.0|1.0|2.51|108.0|2.55|0.0|1.16e-06|0.000347|4.1804|515.81|857.53|296.58|0.1717|273.96|353.17|0.5533|0.59283|-967.212701|121.0|-0.1724099999999999|3.8213|-0.20144|0.036701907|7.1675|7.1675
17a_a6|0.0|1|0|3.3685510360000004|0.0|1|0.101940358|-0.012704951|-0.0265090529999999|0.041767677|0.0|0.078798543|10.94948984|1|0.068338372|-0.10896749|0.850080948|0.7722228729999999|-0.106323149|0.8299950709999999|0.8013954109999999|0.350977745|0.031147305|-63.02857512|-71.75703418|20.43213226|-0.041567592|-47.07146289|554.1936506|-2.078379577|-27.26767299|83.46070738|-1363.383649|0.22806502|8.337470517|16.13665395|0.935437602|5996.580489|-894.3577948999999|35.323795000000004|-356.769966|1766.18975|627.4287311|12.99374518|1.0|1.0|1.0|1.0|3.52|0.12|-9.01|4.98|2.0|0.0|1.0|5.0|-5.89|409.44|0.0|0.0|3.59|0.000637|4.09|0.0|9.77e-10|4e-07|2.9753|696.96|1167.16|416.71|0.3933|350.03|574.02|0.69627|0.7024|-1349.830672|0.0101|-0.12425|4.1627|-0.18178|0.02379552|7.6198|7.6198
4S4k_a46|0.0|0|0|0.0|0.173180233|1|-0.050636784|-0.0049602|-0.088084767|0.0510113959999999|0.0|-0.1149361969999999|10.94631314|1|-0.158788415|0.008544799|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0.784722915|0.199356973|0.007749296|-47.49082053|-45.61628327|4.1078333030000005|-0.030477338|-24.18078772|0.0|-1.46291223|-16.15576699|51.59865384|-775.4768155|0.132090036|5.523352655|10.26616763|0.858684076|4719.2906570000005|-411.0733912|18.61456563|-390.0516264|893.4991504000001|519.5743695|3.807172093|1.0|0.0|1.0|1.0|3.8|0.33|-6.61|4.26|1.0|0.0|1.0|3.0|-5.46|333.43|0.0|1.0|3.79|5.0|4.05|0.0|2.48e-07|8.28e-05|4.0774|566.82|997.07|304.07|0.2623|234.58|487.43|0.5716|0.67893|-1053.202208|0.0654|-0.17396|2.2655|-0.1947|0.02628818|6.7055|6.7055
22_a20|0.0|0|0|0.0|0.0|0|-0.238401323|-0.00147607|0.023539095|0.0388043479999999|2.041494094|-0.066832578|10.93106272|1|0.155407313|-0.036258691|0.616352201|0.7478675859999999|-0.067650395|0.809440795|0.607038752|0.425968568|0.0122876139999999|-39.00017609|-44.14650378|8.001165067999999|-0.027118811|-28.7463017|54.71081293|-1.3559405430000002|-17.65860151|47.00134116|-882.9300756000001|0.22936173|7.408914181|14.17638345|0.913422548|5924.626340999999|-574.9260339|22.91425458|-352.4559681|1145.712729|664.4562602999999|8.759421782|1.0|1.0|1.0|1.0|3.36|0.08|-9.69|5.33|2.0|0.0|1.0|4.0|-5.58|401.46|0.0|0.0|4.24|0.000997|4.47|0.0|2.04e-10|8.199999999999999e-08|3.9732|694.15|1181.95|312.05|0.2636|223.03|563.43|0.38233|0.66063|-1275.598059|0.0015|-0.16176|4.8308|-0.21856|0.03226475|6.6364|6.6364
12s_a30|0.0|0|0|0.0|0.0|2|-0.00019297|-0.007621736|-0.095120438|0.04625323|0.0|-0.035768573|10.31162892|1|-0.1597740919999999|-0.0546637159999999|0.609043558|0.83236194|-0.080971844|0.889479916|0.591758164|0.404041243|0.019324097|-58.75255278|-67.11451776|12.51292194|-0.040189672|-43.45862792|0.0|-1.969293912|-26.02399668|71.26547471|-1275.175837|0.209518167|8.066744794|15.14544373|0.877516163|6639.7334200000005|-825.7139305|32.92168852|-376.1910929|1613.162737|616.2856203|11.26623|0.0|1.0|1.0|0.0|4.63|0.14|-7.16|4.67|2.0|0.0|1.0|6.0|-6.06|434.46|0.0|0.0|3.21|0.00141|4.07|0.0|6.900000000000002e-08|3e-05|3.5348|677.35|1140.1|350.75|0.2148|245.81|526.07|0.43338|0.68458|-1774.01033|0.1576|-0.14985|3.0335|-0.20495|0.03401064|8129.0|8129.0
16_a15|-3.726252327|0|0|0.0|0.0|0|0.072882981|-0.008593957|-0.463771194|0.035555556|0.0|-0.109386268|10.31928197|0|-0.006331105|-0.046871961|0.787100127|0.729432583|-0.018331526|0.77948108|0.72660548|0.7427725270000001|0.0070920509999999|-60.63825695|-69.38556779999999|4.848103252|-0.039472502|-47.4317527|17.68542055|-2.131515106|-26.98327637|65.48636021|-1457.096924|0.131539493|6.798937229|11.720499900000002|0.7238723509999999|6931.531554000001|-996.0668068|31.07023998|-503.7568532|1677.792959|728.353441|6.687758643|1.0|1.0|0.0|1.0|3.59|0.08|-9.21|3.37|2.0|0.0|1.0|6.0|-6.27|446.52|1.0|0.0|3.59|0.000442|3.88|0.0|6.1e-10|2.72e-07|4.1295|716.79|1229.58|300.24|0.3809|297.1|600.98|0.6541100000000001|0.66615|-1770.217907|0.1409|-0.16871|8.0361|-0.20953|0.06079704|7.6778|7.6778
11a_a5|0.0|1|0|2.9781886010000003|0.0|1|-0.165418719|-0.002894726|0.052217882|0.021060606|0.0|-0.1301505359999999|10.94877942|1|-0.081506|0.003975818|0.7505403709999999|0.73344478|-0.0489811909999999|0.773417838|0.7410766209999999|0.369563711|0.011860803|-46.13206353|-51.09940261|8.474559367000001|-0.026223112|-36.51058972|14.47576249|-1.573386716|-18.73644762|54.60662289|-1124.186857|0.259134725|9.740948724|18.25640338|0.874191508|5756.783268|-803.2329738|25.28995251|-344.1971057|1517.39715|835.912531|10.34763929|1.0|0.0|1.0|1.0|3.53|0.3|-9.93|6.38|2.0|0.0|1.0|4.0|-4.54|424.54|1.0|0.0|5.16|2.39e-05|6.13|0.0|1.18e-10|5.019999999999999e-08|4.0938|739.79|1272.7|302.86|0.5473|281.57|578.8|0.6735|0.65363|-1339.493223|0.1838|-0.16735|2.8611|-0.20429|0.03340977|7.0915|7.0915
19d_a38|0.0|1|0|3.314284769|0.0|2|0.013465335|-0.0120676969999999|-0.17467835|0.04572104|0.0|-0.0555594909999999|10.95446448|1|0.041924146|-0.060668296|0.7581164340000001|0.853092207|-0.039361255|0.908591797|0.730686013|0.3509455999999999|0.024158903|-74.84120843|-80.2776536|15.53007152|-0.04393982|-51.60489663|115.6739235|-2.372750256|-28.24584108|90.37127996|-1525.275418|0.250518301|7.056031803|13.52121974|0.916264002|6934.7619620000005|-980.493036|37.68716585|-320.7487188|2035.106956|686.8472757999999|14.56661536|0.0|0.0|1.0|0.0|4.91|0.13|-6.41|2.34|1.0|0.0|1.0|5.0|-7.84|444.46|0.0|0.0|1.94|0.0594|1.65|0.0|3.94e-07|0.000175|3.6586|679.08|1171.77|338.89|0.3167|230.58|517.77|0.3356699999999999|0.6957800000000001|-1500.621723|0.0699|-0.15054|7.9959|-0.20145|0.04735828|7.9586|7.9586
16_a3|0.0|0|0|0.0|0.0|0|0.183636734|-0.010031024|-0.186717242|0.045993266|1.614080058|-0.013328983|10.31163046|1|0.069124437|0.0032314229999999|0.659478546|0.767641592|-0.031683873|0.838125715|0.640070307|0.252612735|0.012203576|-53.7971544|-49.45999101|6.027544549|-0.041233465|-24.42909382|82.16042286|-1.401937796|-20.36587865|59.82469895|-692.4398741|0.1703181989999999|5.780331402000001|11.22152755|0.941329444|4733.033232|-342.00731349999995|24.54661368|-325.670405|834.5848652000001|328.71459869999995|7.107249553|1.0|1.0|1.0|1.0|3.13|0.0|-7.16|4.74|0.0|0.0|1.0|4.0|-5.89|322.36|0.0|0.0|3.5|0.0033799999999999|3.35|0.0|6.97e-08|2.25e-05|3.2208|520.28|856.09|384.94|0.3866|384.94|368.22|0.6944100000000001|0.6944100000000001|-1371.250459|0.3866|-0.13195|2.8688|-0.2029|0.02847445|7.3768|7.3768
8_a1 (SB-202620)|0.0|1|0|3.296085365|0.0|0|0.106916453|-0.013785521|-0.226277123|0.037578348|0.0|-0.1402198369999999|10.94957568|1|-0.095271547|-0.019835038|0.674381582|0.743088715|0.063001656|0.805476065|0.658433571|0.174628594|0.015526845|-66.76765693|-59.72618401|8.809217494|-0.041081545|-33.88588996|64.70432539|-1.684343335|-23.30777912|75.57687443|-955.6189441|0.225760413|7.432247389|13.67402758|0.839824062|5170.286136|-542.1742393|30.104091200000003|-311.18185800000003|1234.267739|433.2550452|11.1459518|1.0|0.0|1.0|0.0|2.74|0.0|-8.02|4.86|2.0|0.0|1.0|5.0|-5.94|359.35|0.0|0.0|3.7|0.0041|3.6|0.0|9.53e-09|3.42e-06|3.4052|586.27|977.87|364.11|0.5339|364.11|460.4|0.7026600000000001|0.7026600000000001|-1222.9606720000002|0.5339|-0.13683|3.4563|-0.2105199999999999|0.16177304|6.3979|6.3979
6_a47|0.0|0|0|0.0|0.0|0|0.011739916|-0.008723045|-0.1738997619999999|0.042276423|1.291219116|0.051455447|10.93671042|0|-0.302730533|-0.020576777|0.701994505|0.786041178|0.062425042|0.84654143|0.672308592|0.446564415|0.009820713|-43.43026699|-52.41283988|5.323543706000001|-0.036834143|-28.411587800000003|0.0|-1.547034008|-19.96679614|48.75381069|-838.6054381|0.205609194|6.480620646|10.90843226|0.6832388209999999|5766.962611999999|-454.5854048000001|25.13472712|-319.1626428|1055.658539|469.7495559|8.348196185|1.0|0.0|1.0|1.0|2.82|0.05|-9.06|5.24|2.0|0.0|1.0|4.0|-5.02|379.81|1.0|0.0|4.59|0.000362|5.06|0.0|8.71e-10|3.310000000000001e-07|3.7196|576.56|990.85|333.32|0.2536|224.66|422.9|0.30468|0.69305|-1608.50108|0.2119|-0.1544|3.2606|-0.20794|0.03288085|7.9|7.9
19h_a38|0.0|1|0|3.2723542610000003|0.0|2|-0.088176988|-0.007781653|-0.082283951|0.042622739|0.0|-0.043452674|10.96083376|1|0.303981987|-0.101303149|0.724208473|0.819222745|-0.121374121|0.8741648479999999|0.698414933|0.3263113569999999|0.021234963|-48.43313101|-64.79649453|12.51014765|-0.03959525|-38.17354026|0.0|-1.979762478|-23.32673803|60.94327866|-1166.336902|0.24620669|6.820483788|12.98143834|0.903301693|6253.901215|-687.1237247|30.94580137|-299.0343596|1547.290068|595.8790650000001|11.90478646|1.0|1.0|1.0|1.0|4.8|0.14|-6.86|3.13|1.0|0.0|1.0|4.0|-6.77|401.44|0.0|0.0|2.66|29.0|2.78|0.0|1.4e-07|5.610000000000001e-05|3.5358|626.65|1092.17|350.65|0.2355|331.65|452.01|0.68472|0.69012|-1331.941646|88.0|-0.1467099999999999|6.9749|-0.20379|0.03396934|8.0348|8.0348
12j_a36|0.0|1|0|3.502198129|0.0|2|-0.084183025|-0.007086381|-0.0446165029999999|0.039061728|0.0|0.039869055|10.33556498|1|0.161289379|-0.07550872|0.906423012|0.820041835|-0.089459459|0.87043328|0.855081905|0.362692602|0.018160631|-46.2113679|-69.66341599|11.99396966|-0.037113558|-46.00836307|2.098786266|-2.004132137|-24.51120192|58.20533756|-1323.6049039999998|0.224187058|7.483427579|13.78874575|0.8425708820000001|6352.018345|-874.1588982999999|31.59421634|-364.314663|1706.0876829999995|725.9470896|10.92807939|0.0|1.0|1.0|1.0|4.86|0.17|-7.05|3.33|1.0|0.0|1.0|4.0|-6.64|427.52|0.0|0.0|2.33|0.0061|3.19|0.0|8.95e-08|3.83e-05|3.7807|694.28|1198.96|327.94|0.4981|238.1|536.01|0.37116|0.69967|-1670.184251|98.0|-0.15495|6.4451|-0.20593|0.02793415|8.0|8.0
19j_a38|0.0|1|0|3.235947106|0.0|2|-0.089207643|-0.007976154|-0.04575843|0.04391253|0.0|0.003554228|10.95429182|1|0.23209815|-0.09493054|0.7163622890000001|0.846765471|-0.060360554|0.908721232|0.6885713729999999|0.625966089|0.0250587|-57.80349365|-73.92901683|17.15233756|-0.038119963|-50.60340201|29.18585028|-1.944118135|-26.09259418|74.95583121|-1330.722303|0.285630155|7.506210369|12.69084117|0.6907121629999999|6704.612831|-910.8612362|36.5253298|-293.4664598|1862.79182|640.025745|16.123318700000002|0.0|1.0|1.0|1.0|4.81|0.13|-6.92|3.17|1.0|0.0|1.0|5.0|-7.13|426.45|0.0|0.0|2.44|19.0|2.5|0.0|1.2099999999999998e-07|5.14e-05|3.6886|686.26|1163.3|336.13|354.0|205.41|533.97|0.30419|0.69435|-1424.183388|0.2625|-0.15182|10.8124|-0.21629|0.03678378|8.1146|8.1146
1e_a5|0.0|1|0|2.953259375|0.0|0|-0.260066152|-0.001975193|-0.009075016|0.027873016|0.0|-0.1197834419999999|10.94440038|1|-0.133677441|0.034752304|0.71274658|0.771487328|-0.075239398|0.834250802|0.6977404359999999|0.373935381|0.008587563|-35.30075748|-36.22202792|4.461204261000001|-0.0278901329999999|-18.81719677|0.0|-1.115605324|-14.48881117|39.76196174|-579.5524467|0.2526063739999999|6.41473183|12.39753333|0.932665879|4342.827698|-301.0751483|19.38578369|-257.0399733|775.4313476|409.0289917|8.161620868|1.0|0.0|1.0|1.0|2.83|0.05|-8.41|4.99|0.0|0.0|1.0|3.0|-5.77|312.37|0.0|1.0|3.44|0.0174|3.43|0.0|3.87e-09|1.21e-06|4.4292|560.58|935.47|279.92|0.5156|261.24|427.87|0.56258|0.51802|-990.471803|0.1355|-0.18105|1916.0|-0.22291|0.0313740589999999|6719.0|6719.0
9o_a24|0.0|1|0|2.9340792330000003|0.0|1|-0.064667223|-0.007052095|-0.044044637|0.028472222|0.0|-0.097596429|10.94506726|1|-0.145366976|0.00177843|0.738419215|0.785672769|-0.000453155|0.846075714|0.7086274779999999|0.6253256110000001|0.018492771|-51.29122728|-51.14964436|10.7072496|-0.032911684|-29.61546471|44.8382925|-1.678495905|-19.05574986|61.99847688|-971.8432428|0.331953623|6.080741586|11.83284872|0.945954873|6697.297449000001|-562.6938294|28.52459128|-194.5965258|1454.754155|663.2688909|15.09096602|0.0|1.0|1.0|1.0|3.96|0.04|-7.91|3.75|1.0|0.0|1.0|5.0|-6.83|421.45|0.0|0.0|3.01|0.0137|2.88|0.0|1.24e-08|5.23e-06|4.2643|611.03|1126.94|290.75|0.1409|210.85|432.84|0.41688|0.65292|-1387.887227|0.0288|-0.17826|4.3816|-0.22353|0.0533144|6.3507|6.3507
28_a34|0.0|0|0|0.0|0.0|1|0.000561166|-0.016942875|-0.206909349|0.04515873|0.0|-0.15803127|10.9595763|1|-0.33032879|-0.189821204|0.8318609690000001|0.798057295|-0.078146961|0.8582665429999999|0.7829667309999999|0.316156689|0.03768308|-66.89539627|-72.11491331|19.29162755|-0.048190604|-36.91879876|88.32197602|-1.831242935|-24.6708914|86.18702382|-937.4938731|0.270129894|5.613534285|10.28760365|0.832642882|4803.256974|-479.9443839|33.80175623|-235.3612529|1284.466737|344.69029950000004|13.87891455|1.0|1.0|1.0|1.0|3.02|0.12|-4.78|1.99|0.0|0.0|2.0|5.0|-7.04|322.32|0.0|0.0|1.84|172.0|1.72|0.0|1.66e-05|0.00535|4.2857|544.24|896.02|289.3|0.2043|289.3|417.28|0.69263|0.69263|-1100.6525880000002|0.2043|-0.17802|6.4596|-0.21698|0.03680411|5.4179|5.4179
12bf_a36|0.0|1|0|3.31325137|0.0|2|-0.024689509|-0.00832865|-0.119979424|0.044197531|0.0|-0.096665166|10.96022305|1|0.359635716|-0.098027247|0.653741315|0.836170906|-0.033696875|0.892249657|0.632625562|0.356652646|0.0217611939999999|-58.26326838|-71.01192632|14.01562806|-0.037486972|-45.73631152|0.0|-1.874348624|-24.14405495|72.27889645|-1207.2027480000002|0.294529031|7.546900716000001|14.37031118|0.904134124|6271.550446|-777.5172959|34.22402339|-264.6734075|1711.2011699999998|593.6088758|15.27267945|0.0|0.0|1.0|0.0|4.72|0.14|-7.12|3.55|1.0|0.0|1.0|6.0|-6.8|417.41|0.0|1.0|2.44|0.0424|2.88|0.0|7.599999999999999e-08|3.17e-05|3874.0|670.85|1120.94|320.04|0.4518|236.98|517.66|0.40663|0.69292|-1431.187555|0.4006|-0.15677|5.4787|-0.2139|0.03299488|8.2218|8.2218
17_a12|0.0|0|0|0.0|0.0|1|0.132275232|-0.00864055|-0.058347964|0.035816993|0.0|-0.072956553|10.31157659|1|-0.3748198379999999|-0.113649923|0.918713011|0.8198617429999999|-0.11976662|0.87653892|0.859088647|0.318309599|0.011226177|-36.25249721|-50.13411606|5.849860887999999|-0.035198739|-26.12444199|0.0|-1.443148294|-18.34174978|42.10235809|-752.0117408|0.213298781|5.669161963|10.61752641|0.8728564259999999|4866.339908|-391.8666299|23.31475957|-298.7949107|955.9051425|431.5987143|7.842053909|1.0|1.0|0.0|1.0|4.13|0.17|-7.16|4.51|0.0|0.0|1.0|4.0|-6.07|333.41|0.0|1.0|3.14|0.0103|3.19|0.0|6.97e-08|2.32e-05|3.7723|560.09|933.62|328.67|0.2213|281.69|419.49|0.39539|0.62783|-1366.638303|148.0|-0.15459|2128.0|-0.21781|0.02800938|7.7959|7.7959
