molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|nARing|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC7i|MATS1i|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|WNSA5|RPCS|FNSA2|PNSA4|DPSA3|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
1o_a5|0.0|1|0|2.923171926|0.0|0|-0.266637757|-0.002633927|0.033105871|0.025987654|0.0|-0.102739602|10.94518594|1|-0.05876042|0.038275248|0.670787375|0.78144982|-0.016408975|0.85693939|0.650008224|0.447318682|0.01325562|-42.63505279|-39.1638643|7.122612351|-0.028770932|-21.04383087|1.01402588|-1.093295425|-15.45942012|49.75766514|-587.4579645|0.300086449|7.522366517000001|14.20898333|0.8888980340000001|4572.818263|-315.657463|22.08761368|-214.8381946|839.3293197999999|393.5487205|10.95092849|1.0|1.0|1.0|1.0|2.81|0.0|-8.11|4.48|0.0|0.0|1.0|4.0|-6.3|323.35|0.0|0.0|2.95|0.0269|2.78|0.0|7.85e-09|2.54e-06|4.1692|561.04|938.37|297.38|0.3966|275.45|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|-0.23973|0.04126499|7.4559|7.4559
4_a4|0.0|0|0|0.0|0.0|1|-0.183963421|-0.001234337|0.0159331539999999|0.036775068|2.183056868|-0.110597574|10.92992837|1|-0.035166634|-0.048056862|0.646069495|0.77276149|-0.063012715|0.8306695270000001|0.636572383|0.456474074|0.008570112|-25.64211031|-35.41518716|4.4155367960000005|-0.0255766729999999|-18.24679326|42.42341622|-1.099796957|-13.17774406|30.05764711|-566.6429946000001|0.2062820269999999|5.326452915|8.855289118|0.66251148|4878.070704|-291.9486922|16.60255217|-302.661743|713.9097433|462.1867149|5.454324025|1.0|0.0|1.0|1.0|3.15|0.19|-7.57|4.52|1.0|0.0|1.0|3.0|-5.79|326.39|0.0|1.0|3.64|0.0248|3.52|0.0|2.71e-08|8.85e-06|4.0261|566.84|960.45|307.95|0.1106|230.37|394.06|0.55032|0.6010800000000001|-1029.763465|67.0|-0.1696599999999999|2.6814|-0.21831|0.02323788|7.1079|7.1079
13_a47|0.0|1|1|2.920663104|0.0|0|-0.174238791|-0.0049262279999999|-0.0777650159999999|0.036632997|1.5940801480000002|0.003874205|10.9452934|1|-0.108780879|-0.0101047869999999|0.6427334020000001|0.794037882|0.065869272|0.8582665429999999|0.626280497|0.244975411|0.017736598|-41.79730418|-45.39284663|9.13564442|-0.032468557|-23.38063458|0.0|-1.23380515|-16.72368034|50.9329486|-635.4998528|0.311738758|7.038683428|13.33103985|0.8939678120000001|4542.479565|-327.3288841|24.29844849|-193.936606|923.3410426|359.12161539999994|11.99338291|1.0|0.0|1.0|1.0|2.9|0.06|-7.9|4.06|0.0|0.0|1.0|4.0|-6.0|319.34|0.0|1.0|3.19|0.0185|3.17|0.0|1.26e-08|4.04e-06|4.0302|542.62|895.21|307.63|0.3382|307.63|404.73|0.67466|0.67466|-1067.665127|0.3382|-166.0|3.5455|-0.22065|0.03639189|7.8|7.8
9s_a24|0.0|1|0|2.9568988810000003|0.0|1|-0.222173285|-0.003599664|-0.00570386|0.023585859|0.0|-0.060407836|10.96129902|1|-0.0897306019999999|-0.204128966|0.799076569|0.773544454|0.0256742079999999|0.8327425070000001|0.748077475|0.483170382|0.016792118|-30.93968263|-39.48555839|10.42725806|-0.019465646|-24.51900941|0.695462853|-0.953816666|-12.08741583|41.36694069|-592.2833757999999|0.554839231|9.124394347|17.24354813|0.889829339|5767.9102490000005|-367.7851412|27.15292246|68.10609672|1330.4932|604.8829955|21.71205366|1.0|1.0|1.0|1.0|3.43|0.04|-8.11|3.15|1.0|0.0|1.0|4.0|-7.2|393.44|0.0|0.0|2.63|171.0|2.11|0.0|7.73e-09|3.04e-06|2.6707|654.28|1121.42|464.24|0.5112|403.51|521.4|0.69475|0.6907300000000001|-1270.738032|0.0839|-0.10865|4.6141|-0.14462|0.03640642|7.4949|7.4949
1c_a5|0.0|1|0|2.955525321|0.0|0|-0.268536978|-0.001983746|-0.006491037|0.0248765429999999|0.0|-0.228971551|10.9433337|1|-0.133677441|0.034752304|0.71274658|0.7595197290000001|-0.109439124|0.821309592|0.6977404359999999|0.436308619|0.008349498|-34.82350689|-35.99212225|4.27195187|-0.0281385329999999|-18.41507338|0.0|-1.12554131|-14.3968489|39.09545876|-575.8739559999999|0.246972732|6.063350238|11.580409800000002|0.909902834|4387.398857|-294.64117410000006|19.11862892|-258.918642|764.7451566000001|409.0289917|7.869633359|1.0|0.0|1.0|1.0|2.78|0.05|-8.41|4.99|0.0|0.0|1.0|3.0|-5.77|312.37|0.0|1.0|3.43|0.0174|3.43|0.0|3.87e-09|1.21e-06|4.5088|556.84|929.31|274.99|271.0|254.15|410.52|0.4444899999999999|0.53838|-990.467026|0.1076|-0.18719|1.7105|-0.22684|0.029157178|5.4|5.4
12be_a36|0.0|1|0|3.466734143|0.0|2|-0.148313814|-0.009368126|-0.0419484829999999|0.043854875|0.0|-0.08981965|10.95957887|1|0.19405344|-0.176729938|0.884226781|0.812921349|0.00734728|0.858971809|0.8350231859999999|0.330453338|0.033763464|-54.15309606|-75.59805505|23.42501577|-0.031937334|-52.44976141|0.0|-1.852365352|-22.15805062|77.57811183|-1285.166936|0.433925602|8.773114043|16.14074295|0.839796323|6592.168374|-891.645944|39.14335412|-91.68453892|2270.314539|766.4854363|24.02799032|0.0|0.0|1.0|1.0|4.96|0.21|-6.79|2.83|1.0|0.0|1.0|6.0|-7.13|441.49|0.0|0.0|1.75|0.0342|2.62|1.0|1.6100000000000005e-07|7.11e-05|3.3487|739.48|1256.67|370.25|0.7034|237.59|594.44|0.40844|0.70465|-1461.68274|0.0018|-0.13781|7.7861|-0.18969|0.03245204|7.3565|7.3565
3c_a12|0.0|0|0|0.0|0.0|1|0.06235058|-0.009252756|-0.058516436|0.039605735|0.0|-0.008931246|10.3117069|1|-0.267255164|-0.116098308|0.923855679|0.826033688|-0.10295082|0.888353608|0.859899236|0.242114395|0.013219706|-36.28720467|-50.25579322|6.688634392000001|-0.033980537|-25.42738988|0.0|-1.291260406|-17.19277136|42.97583906|-653.3253118|0.2944757839999999|6.231995392999999|10.88288188|0.746291708|4629.005722|-330.5560685|24.36878988|-207.9738085|926.0140155|380.2468615|10.90754815|1.0|1.0|0.0|1.0|3.94|0.12|-6.78|4.01|0.0|0.0|1.0|4.0|-6.18|319.38|0.0|0.0|2.76|0.0194|2.91|0.0|1.67e-07|5.3200000000000006e-05|3.5862|544.65|894.36|345.72|0.4687|311.14|399.38|0.43415|0.68067|-1327.351991|0.1193|-0.14572|1.6035|-0.22035|0.02665687|7699.0|7699.0
25_a47|0.0|0|1|0.0|0.0|0|0.037667531|-0.010144825|-0.1084905069999999|0.043695652|1.087932079|-0.035030495|10.94972207|1|-0.120903298|-0.108691353|0.6553889970000001|0.8462332770000001|0.004104478|0.906449648|0.622598899|0.574771479|0.020224271|-44.52300552|-53.40631957|12.27779881|-0.031278972|-32.42203672|51.5831002|-1.407553754|-18.98891362|56.80080434|-854.5011131000001|0.376125772|6.951055196|13.26689626|0.908616158|6236.813862|-518.7525876|30.43708613|-150.4037281|1369.668876|513.2159236|17.76440561|1.0|1.0|0.0|1.0|3.26|0.1|-8.01|3.29|2.0|0.0|1.0|5.0|-6.3|410.83|0.0|0.0|3.62|0.00417|3.53|0.0|9.79e-09|4.02e-06|3.9878|626.55|1062.81|310.91|287.0|258.29|491.7|0.53663|0.68761|-1735.2218059999998|0.0702|-0.16588|3.8832|-0.22919|0.0285712999999999|7.8|7.8
8a_a31|0.0|1|0|3.28085223|0.0|1|-0.039027368|-0.015034136|-0.158899731|0.043817204|0.0|-0.135144546|10.31170053|2|-0.258538098|-0.054025775|0.938325481|0.837862749|-0.030149254|0.895174844|0.883113019|0.272259026|0.0375544779999999|-60.46233433|-67.46619355|18.56711239|-0.0416959379999999|-33.35560699|465.4559302|-1.501053781|-20.61467025|79.02944672|-742.1281291|0.333562641|5.83708559|10.63792161|0.822471411|4538.505909|-366.9116769|30.93264504|-164.57484340000002|1113.575221|324.7430642|14.85788369|1.0|0.0|1.0|1.0|3.34|0.2|-5.33|4.16|0.0|0.0|2.0|5.0|-7.11|314.36|0.0|0.0|2.13|0.0846|1.56|0.0|4.62e-06|0.00145|3.8097|538.75|872.11|325.45|0.2604|325.45|396.15|0.7027100000000001|0.7027100000000001|-1347.3959220000002|0.2604|-0.1587599999999999|3.7141|-0.18869|0.03432763|6.1024|6.1024
15c_a22|0.0|0|0|0.0|0.0|0|-0.134137693|-0.005236206|-0.018518519|0.038137255|1.568396937|-0.023927419|10.9464374|1|-0.047249795|-0.0917078119999999|0.667111824|0.773044788|0.010828071|0.8353837409999999|0.639264982|0.615901609|0.024561528|-48.58045253|-57.66130245|17.68362419|-0.0302219629999999|-41.51455167|78.22334636|-1.60176404|-21.75898206|66.26407672|-1153.226049|0.338224886|8.626398368|16.03890406|0.859281634|6882.442370999999|-830.2910335|32.87972244|-232.9472639|1742.625289|731.8178649|17.86058304|1.0|1.0|1.0|1.0|3.49|0.08|-9.28|3.9|1.0|0.0|1.0|6.0|-6.96|445.48|0.0|0.0|2.98|0.00618|2.9|0.0|5.269999999999997e-10|2.35e-07|3674.0|715.42|1241.07|337.46|0.5082|216.15|575.8|0.30831|0.69113|-1460.324493|0.0694|-0.15408|7.382000000000001|-0.22807|0.03150096|6.1325|6.1325
