molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|GATS1pe|nFaHRing|RASA|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
5e_a40|0|0|0|0.0|1|1|1.661964758|-0.091305805|-0.004925115|0|0.7768055559999999|-0.162528785|0.009890343|0.158430496|0.029272031|2|2|-0.184667138|0.005996234|0.010397494|-0.391074665|0|0.8092726020000001|0.5087199929999999|1|0.864422751|0.019851304|-36.56222854|9.440323938|170.7311133|0.135577249|-0.035889706|-20.29110082|51.7148695|0.8223594679999999|-1.076691165|-17.38723451|-17.06741495|46.00255248|0.47779156|-512.0224486000001|512.5703164|0.177640532|6.533857846|12.51197289|4158.984115|84.47727896|-243.4932098|622.6260756|264.9899736|6.144645946|1.0|0.0|1.0|3.03|14.0|-4.65|3.74|75.5|2.37|79.16|-4.78|20.0|3.0|-5.66|0.0|1.0|3.33|-4.25|1.66e-05|0.00505|0.0169|3.51|0.0|0.0|2.23e-05|0.00678|-0.07231|4.99|3.7138|333.85|0.5262|333.85|390.33|0.69675|-0.14786|7.87|0.01659566|-1637.162552|25.0|7.6021
12bd_a36|1|0|0|0.0|0|2|0.0|-0.051990612|-0.006695407|2|0.0|-0.4017244129999999|0.003676818|-0.030990165|-0.0288761339999999|1|1|0.042808724|-0.101854847|-0.169994208|-0.436345273|1|0.78699829|0.857993338|0|0.832478093|0.0177487689999999|-46.92083391|11.7156452|83.92365468|0.167521907|-0.035521445|-43.33557909|0.0|0.78244124|-1.989200921|-30.9716039|-23.44707102|58.63647911|0.475272043|-1313.035977|2403.371086|0.21755876|8.050812711|15.34283166|5957.939097|143.6066496|-866.7115819|1678.127264|729.1873176|10.14142465|1.0|0.0|0.0|4.95|17.0|-7.34|2.5|69.2|2.45|133.68|-4.54|31.0|4.0|-6.38|0.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|0.0102|3.41|0.0|0.0|4.55e-08|1.86e-05|-0.05236|3.79|3544.0|349.84|0.4467|319.66|568.94|0.69411|-0.1459|5.7533|0.03110617|-1311.352257|17.0|7.7696
14a_a25|0|0|0|0.0|1|0|1.667057351|-0.092005241|-0.004483962|2|1.975771616|-0.255585831|0.006085806|-0.046802062|-0.019985937|1|1|0.085350921|-0.0469914379999999|-0.077269115|-0.365062041|2|0.7385460309999999|0.653818362|1|0.850426305|0.012870836|-45.72658614|8.449104086|107.22698590000002|0.149573695|-0.033365179|-36.28756839|58.18995584|0.8067529940000001|-1.76835447|-30.017374100000005|-21.90268583|54.17569023|0.492236681|-1160.842349|2142.5112510000004|0.193247006|7.39139255|14.55676745|6315.975408|126.8576588|-762.0389362000001|1438.906775|712.1606951|8.689513304|1.0|1.0|1.0|3.43|27.0|-9.59|4.92|72.7|2.47|126.26|-5.39|32.0|4.0|-5.91|0.0|1.0|3.81|-5.29|4.03e-06|0.0016899999999999|0.00215|4.16|0.0|0.0|2.58e-10|1.08e-07|-0.05083|5.79|3.9479|314.05|0.3529|231.18|548.29|0.42461|-0.16347|3.0824|0.03250632|-1352.086073|207.0|6684.0
14u_a23|0|1|1|0.0|2|0|3.357982471|-0.066969083|-0.007017844|2|0.743634137|-0.385981432|0.010561248|-0.026062012|-0.0569153009999999|2|2|0.091604179|-0.110069159|-0.199540201|-0.4086345999999999|2|0.787538583|0.71381683|1|0.909754912|0.0254134689999999|-36.90928915|16.97420126|43.06242147|0.090245088|-0.033908155|-38.57404134|50.47632596|0.702868983|-1.729315897|-24.65250654|-22.64798452|53.88349042|0.47648509|-1155.04721|2430.634114|0.297131017|7.392527755|14.12094979|6913.009783|198.4601847|-771.4808267999999|1643.332169|683.7405759|15.75112771|0.0|0.0|1.0|3.59|26.0|-7.51|4.03|114.25|2.72|126.78|-5.63|32.0|5.0|-6.47|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|0.0042299999999999|3.55|0.0|0.0|3.11e-08|1.3699999999999998e-05|-0.0618299999999999|3.23|3.1819|389.66|0.2253|306.82|549.0|0.4523|-0.1543|5.9743|0.0237199999999999|-1744.2405670000005|6.0|8.2449
14b_a25|0|0|0|0.0|1|0|1.616664856|-0.091382738|-0.004720915|2|1.929508048|-0.273813082|0.004725325|-0.012989126|0.0009956189999999|1|1|0.0028569959999999|-0.043923908|-0.074541111|-0.3691494039999999|2|0.7723870909999999|0.632638761|1|0.859628015|0.016003559|-52.75064158|11.08504021|112.49583529999998|0.140371985|-0.032728922|-40.37825712|57.85340824|0.772789587|-1.767361771|-36.53830946|-22.67004596|63.83568179|0.490638154|-1224.182482|2118.281186|0.227210413|8.690235527|17.06102567|6760.594953|157.3797801|-847.9433995999999|1584.108407|760.3735147000001|10.90684621|1.0|1.0|1.0|3.51|27.0|-9.65|4.79|96.49|1.8|130.97|-5.6|34.0|5.0|-6.26|0.0|1.0|3.63|-5.23|2.49e-06|0.0011099999999999|0.00261|3.88|0.0|0.0|2.23e-10|9.93e-08|-0.0584|5.61|4069.0|304.7|0.3614|228.59|603.27|0.34735|-0.16309|2.7037|0.03876374|-1444.330251|22.0|7.6576
22_a20|0|0|0|0.0|1|0|1.915285809|-0.238401323|-0.00147607|2|2.041494094|-0.079707783|0.009265667|-0.066832578|-0.038668966|1|1|0.155407313|-0.036258691|-0.060582944|-0.177976478|2|0.7478675859999999|0.607038752|1|0.946515026|0.0122876139999999|-39.00017609|8.001165067999999|9.022387025|0.053484974|-0.027118811|-28.7463017|54.71081293|0.77063827|-1.3559405430000002|-25.39523478|-17.65860151|47.00134116|0.477376285|-882.9300756000001|2396.806062|0.22936173|7.408914181|14.17638345|5924.626340999999|149.350479|-574.9260339|1145.712729|664.4562602999999|8.759421782|1.0|1.0|1.0|3.36|27.0|-9.69|5.39|67.39|2.61|121.62|-5.6|31.0|4.0|-5.58|0.0|1.0|4.24|-5.53|2.48e-06|0.000997|0.0012|4.47|0.0|0.0|2.04e-10|8.199999999999999e-08|-0.0568|4.07|3.9732|312.05|0.2636|223.03|563.43|0.38233|-0.16176|4.8308|0.03226475|-1275.657902|231.0|6.6364
1n_a5|1|0|0|0.0|0|0|0.0|-0.1387762669999999|-0.007315978|2|0.0|-0.3365350029999999|0.004367323|-0.150600424|-0.047910067|1|1|0.004115733|-0.00966135|-0.015850084|-0.393928416|2|0.77828693|0.656280207|0|0.785210014|0.023129277|-47.1725036|13.27640087|63.58796786|0.214789986|-0.030493391|-27.00168194|55.29041202|0.627751746|-1.311215832|-27.07741706|-17.50346525|60.44890447|0.483868192|-752.6490056|889.4388375|0.372248254|7.881746117|15.27080096|5101.31614|213.67365440000003|-432.02691110000006|1198.959638|467.1194103|16.53002342|1.0|1.0|1.0|2.88|23.0|-8.07|3.99|80.76|1.72|101.77|-4.27|27.0|5.0|-6.41|0.0|1.0|3.14|-4.18|5.41e-05|0.0193|0.0234|2.91|0.0|0.0|8.43e-09|3.01e-06|-0.06186|4.19|4.3838|282.82|0.3789|282.82|481.06|0.44786|-0.17092|0.6234|0.03956123|-1179.073189|27.0|7.5686
19l_a38|1|0|0|0.0|0|2|0.0|-0.086107169|-0.007360265|2|0.0|-0.426895387|-0.001197042|-0.02967593|-0.032264281|1|1|0.217841852|-0.091460175|-0.191751024|-0.4224000739999999|1|0.839953955|0.700181525|0|0.799611189|0.0219046379999999|-51.6277901|14.19254029|133.9992534|0.200388811|-0.037359603|-42.34617024|19.55998015|0.7374102309999999|-2.017418574|-33.45088372|-24.20618316|65.82033039|0.430111845|-1307.13389|2934.313773|0.262589769|6.568874137999999|11.52660233|6705.993411|170.13821069999997|-846.9234048000001|1772.6006989999998|696.3887025|13.69020024|1.0|0.0|1.0|4.94|17.0|-7.28|3.09|81.23|2.75|135.78|-4.94|32.0|4.0|-6.39|0.0|1.0|3.22|-4.72|1.15e-05|0.0049|0.00807|3.55|0.0|0.0|5.27e-08|2.25e-05|-0.0603299999999999|4.08|3354.0|369.66|0.2883|337.75|502.31|0.69413|-0.13977|6.5627|0.02856649|-1409.37001|14.0|7.8633
6_a1|0|0|0|0.0|1|1|2.325221088|-0.092471477|-0.005477033|1|0.0|-0.230035376|0.005054086|-0.00983397|-0.0538497079999999|1|1|-0.180874123|-0.230322048|-0.3632559589999999|-0.353456514|1|0.798346291|0.741035199|0|0.8782596159999999|0.021009352|-27.63847818|10.15161645|64.63457366|0.121740384|-0.0238222729999999|-18.076387|95.13138767|0.576759436|-0.929068634|-13.35477777|-11.51080589|37.79009463|0.4218263379999999|-448.9214297|1383.161829|0.423240564|5.555887839|9.609375529|4061.042516|204.5077752|-216.916644|778.3512535|359.9965854|12.20110458|1.0|1.0|0.0|2.94|17.0|-6.02|3.57|39.94|1.75|86.31|-3.12|22.0|3.0|-6.21|0.0|1.0|2.82|-3.68|0.0007599999999999|221.0|0.0613|2.63|0.0|0.0|9.51e-07|0.000277|-0.02214|2.81|4.0635|305.12|0.3399|305.12|405.23|0.69818|-0.16784|5.8386|0.027384499|-935.378591|5.1|5.2924
14_a4|0|0|0|0.0|1|1|1.947126795|-0.2248919089999999|-0.001935612|1|0.0|-0.069682036|0.009588001|-0.08389836|0.117232935|1|1|-0.031578333|-0.016862096|-0.039321879|-0.199315317|1|0.77505994|0.500893739|0|0.8510382459999999|0.013047382|-29.91067393|5.933038407000001|12.12963775|0.148961754|-0.03015272|-14.69670456|85.72299913|0.768457211|-0.995039765|-13.60128622|-13.71135194|35.84371234|0.40126838|-452.4746139|1378.961008|0.231542789|5.304461808|8.859498364|3944.638539|105.2894945|-205.7538638|588.8091192|280.2639278|7.175500282000001|1.0|0.0|0.0|3.14|17.0|-5.71|4.09|30.71|2.82|80.09|-3.4|21.0|3.0|-5.8|0.0|1.0|3.2|-3.97|0.000396|0.11|0.0295|3.09|0.0|0.0|1.95e-06|0.000539|-0.03639|3.22|4.2312|293.02|0.1864|274.1|353.16|0.53298|-0.17381|2.3797|0.020300099|-918.896242|1.32|5.8794
