molecula|Oscillator Force (max. Transition)|Class [Log S (SILICOS-IT)]|FPSA5|PNSA3|pIC50|JGI4|PAINS|WPSA3|MATS8i|CYP3A4 inhibitor|DPSA5|AATSC1pe|Total Energy (gas phase) (Hartree)|pIC50
20b_a10|0.2782|1.0|0.0171045989999999|-60.68950774|5.9586|0.035818182|0.0|5.323735696|-0.042013549|1.0|67.46831286|0.002637529|-1465.587932|5.9586
4f_a49|0.2368|1.0|0.020905063|-55.88123394|7.3979|0.038839506|0.0|4.89045046|-0.064058097|0.0|60.18871783|0.001714014|-1179.201105|7.3979
16b_a32|0.2849|1.0|0.017136832|-56.84546999|7.7696|0.041958333|0.0|6.490611388|-0.018753196|1.0|80.37824892|-0.00180101|-2315.951437|7.7696
12ab_a36|0.4451|1.0|0.024384271|-54.63243106|7.9586|0.039951691|0.0|11.46782191|-0.032623802|0.0|82.3666474|0.002112069|-1364.468283|7.9586
19e_a38|0.3948|1.0|0.020114756|-56.34606212|8.0083|0.04508642|0.0|9.619015829|-0.104569193|1.0|82.37885703|0.000347207|-1409.547647|8.0083
14a_a25|0.3529|1.0|0.01323706|-45.72658614|6684.0|0.038167849|0.0|5.546443318|-0.046802062|1.0|63.96772039|0.006158124|-1352.265931|6684.0
19a_a38|0.2668|1.0|0.020873781|-51.36166266|8.0106|0.043848238|0.0|7.910363161|-0.122385526|1.0|77.20795279999999|-0.000673716|-1332.1529369999998|8.0106
12j_a30|0.2163|1.0|0.01349128|-47.76354083|8058.0|0.043848238|0.0|6.520746879|0.0074730759999999|0.0|69.55167701|0.005965451|-1615.064152|8058.0
17d_a50|0.1819|1.0|0.013178555|-30.63468215|7.1308|0.031990741|0.0|7.31681784|-0.136180713|1.0|57.5414543|0.01245647|-1335.962757|7.1308
4c_a49|0.2411|1.0|0.0173567219999999|-56.5385923|6.5935|0.03583878|0.0|5.014223225|-0.102999091|1.0|66.77901229|0.00202792|-1332.607539|6.5935
3c_a49|0.4321|1.0|0.021783913|-41.0524769|7.0605|0.036335697|0.0|4.8479546860000005|-0.05815918|1.0|54.85343388|0.006470561|-1198.634822|7.0605
12aa_a36|0.4446|1.0|0.023386634|-72.94175494|8.0458|0.042560386|0.0|11.04423694|0.010538281|0.0|96.18613736|-0.004569485|-1401.617177|8.0458
7_a1|0.2961|2.0|0.029820838|-40.16416679|6.3372|0.035718954|0.0|8.342261787|-0.07233584|1.0|61.72628137|0.004950534|-1009.48087|6.3372
46_a18|0.4249|1.0|0.013181412|-49.54738918|6.7305|0.03531746|0.0|4.5299444310000005|-0.0669031009999999|1.0|63.70285871|0.003512954|-1532.968527|6.7305
12c_a31|0.2625|1.0|0.023556702|-66.41224264|6.4202|0.040982906|0.0|12.30215386|-0.094991098|1.0|97.28775086|-0.000813398|-1618.112841|6.4202
11d_a31|0.2642|1.0|0.027374162|-82.05480081|7.5229|0.0388738739999999|0.0|12.89967697|-0.092360393|1.0|98.8237718|-0.006496772|-1598.671315|7.5229
9_a3|0.2069|1.0|0.008976383|-44.74600478|4.96|0.034166667|0.0|1.6312253680000002|0.065373003|1.0|43.50933802|-0.003863265|-1256.0634710000002|4.96
12b_a50|0.2425|2.0|0.027586169|-22.92589265|5.3242|0.034845679|0.0|5.43117764|-0.101728189|1.0|47.12729492|0.011790103|-1006.641541|5.3242
12at_a36|0.4765|1.0|0.027424543|-58.66704838|7.1079|0.039952719|0.0|14.1532755|-0.076129505|0.0|95.60375457|0.000906224|-1460.797444|7.1079
4S4k_a46|0.2623|1.0|0.007182108|-47.49082053|6.7055|0.0510113959999999|0.0|2.177526049|-0.1149361969999999|1.0|49.42345536|0.006050983|-1053.415665|6.7055
12s_a36|0.4501|1.0|0.018222417|-46.58030248|8.0458|0.042804233|0.0|8.106112169|0.0056370119999999|0.0|76.34126108|0.003962098|-1272.236664|8.0458
21_a10|0.2574|1.0|0.022638817|-64.32920271|5.3188|0.035818182|0.0|9.430154402|-0.023060773|0.0|75.80259699|0.002099681|-1485.461532|5.3188
4e_a46|0.4814|1.0|0.0125621839999999|-63.39469142|6.8125|0.041636905|0.0|6.145520557|-0.058626723|1.0|73.87174786|0.002688298|-1884.564974|6.8125
8j_a46|0.1728|1.0|0.008843828|-29.38737046|5.9108|0.043903904|0.0|2.5024620580000003|-0.174853546|1.0|41.80044861|0.0108603019999999|-1414.50743|5.9108
15a_a50|0.1767|1.0|0.018747341|-46.91098865|7.3872|0.035694444|0.0|6.450390922|-0.15010386|1.0|61.78266878|0.005828749|-1199.784983|7.3872
12t_a36|0.4297|1.0|0.01547607|-48.97252784|8.0969|0.041767677|0.0|7.820109571000001|-0.030990165|0.0|77.32343502|0.0045625|-1311.552739|8.0969
20_a4|0.2364|2.0|0.024334176|-29.16642156|6.1898|0.039635417|0.0|5.313236547|-0.1473674569999999|1.0|46.45917085|0.012025268|-934.2266312|6.1898
8b_a8|0.2618|1.0|0.022425382|-79.74587194|5.2941|0.040054466|0.0|12.1771918|-0.0422693659999999|0.0|84.97574547|-0.003593429|-1407.052256|5.2941
9_a27|0.1982|1.0|0.014524299|-40.3551562|8699.0|0.042847222|0.0|5.20756849|-0.051160217|1.0|53.0685473|0.00651856|-1083.118736|8699.0
2_a4|0.1315|2.0|0.011054731|-49.45826819|7.5086|0.037777778|0.0|1.123639184|0.090707854|0.0|48.93681624|-0.0016168089999999|-819.8996124|7.5086
18_a47|0.4335|0.0|0.017318402|-49.44908758|8.6|0.037919622|0.0|5.784962137000001|0.018164141|1.0|63.72933669|0.0015586929999999|-1354.180815|8.6
1_a15|0.2464|0.0|0.0280791829999999|-44.01415991|7.3565|0.0381893|0.0|10.95802135|-0.068297833|1.0|90.40184737|0.003816011|-1510.117336|7.3565
9r_a24|0.3398|1.0|0.02357068|-41.49802275|7.9586|0.024179894|0.0|6.992734796000001|0.064425793|1.0|70.79264457|0.008722018|-1294.451958|7.9586
47u_a18|0.5849|1.0|0.021142007|-62.99873374|5.7055|0.035393939|0.0|10.0557163|0.031337464|0.0|79.06741651|0.00082284|-1510.153552|5.7055
15a_a22|312.0|1.0|0.0216014629999999|-41.92018177|6.8447|0.038167849|0.0|9.799599501|-0.057308195|1.0|70.12529157|0.005757758|-1368.321775|6.8447
13g_a6|0.8442|0.0|0.017929016|-51.67543048|6.9245|0.043020833|0.0|8.550546653|0.073394284|1.0|76.50577593|-0.000644109|-1386.573241|6.9245
2_a3|0.1824|1.0|0.019143348|-49.07072207|5.4|0.034166667|0.0|2.628543258|0.09933632|1.0|53.05538527|-0.0045709459999999|-1272.114086|5.4
18b_a30|0.3576|1.0|0.0184861069999999|-52.09100293|7.6003|0.041767677|0.0|8.698138813|0.016709918|0.0|75.30642440000001|0.0036417359999999|-1667.995173|7.6003
14a_a5|0.5853|1.0|0.024411136|-54.69145586|6.9508|0.027375887|0.0|7.942029745|-0.086229994|1.0|69.71575554|0.003668464|-1390.546425|6.9508
IN1233_a59|0.2623|0.0|0.0134658889999999|-61.73167061|7.4685|0.0396875|0.0|4.79704394|-0.011236836|1.0|72.32484741|-0.004071701|-1352.326849|7.4685
12k_a36|0.3116|1.0|0.016847116|-49.87227128|7.8539|0.039061728|0.0|7.838185977999999|0.003690005|0.0|78.24529096|0.003724542|-1310.312649|7.8539
4R4k_a46|0.2896|1.0|0.007248925|-47.73036108|7.0132|0.0510113959999999|0.0|2.232103603|-0.1149361969999999|1.0|49.58292992|0.006050983|-1053.413412|7.0132
17_a3|0.4062|1.0|0.012803096|-50.20132919|7.6383|0.047430556|0.0|2.672377884|-0.041723219|1.0|55.39769571|-0.006696449|-1731.72355|7.6383
12ba_a36|0.7436|1.0|0.023797439|-56.0578808|7.6778|0.040566449|0.0|11.16896162|0.003750685|0.0|89.06670390000001|-0.000621302|-1417.426327|7.6778
34_a20|0.4388|1.0|0.01491516|-57.31821177|7.2147|0.0396875|0.0|5.898367836|-0.046356705|1.0|67.53437417|0.003149352|-1352.2836220000002|7.2147
