molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
32_a47|0.0|0|1|1|0.0|0.0|6.842683282|1|1.998170616|-0.1746026239999999|-0.003573735|0.000921003|3|1.6507707980000002|-0.2037028839999999|-0.026022099|10.95005715|1|0.002350172|-0.157688306|0.6636125860000001|0.810444864|-0.0094137619999999|-0.078006445|0.858292442|0.851627782|-0.05770007|-0.0726950079999999|-41.57905445|13.90468487|-0.026060474|-37.74862456|44.50423685|0.64116122|-1.381205148|-18.77935151|55.48373932|0.44289006|-995.3056298|2255.632049|-13.53252578|0.35883878|15.53902041|0.794977846|-717.2238666000001|29.28959351|0.022735861|-203.4434306|682.9868225|16.38361254|1.0|0.0|1.0|3.35|0.26|-8.82|4.18|5.07|67.66|125.17|0.0|1.0|5.0|-4.81|31.0|5.0|-6.34|0.0|1.0|3.94|-5.05|1.5399999999999998e-05|0.00674|8.89e-06|3.7|0.0|0.0|6.55e-07|-0.05682|4.9046|2.97|3.6829|-1778.127634|-1778.0970140000002|692.49|1184.76|336.65|0.2969|252.79|548.86|0.68986|0.2839|-0.1509599999999999|-0.20778|0.03062031|6.3139|7.0
14a_a10|0.0|0|0|0|0.0|0.0|7.535296702|2|2.156210368|-0.2090476269999999|-0.002047597|0.0437538159999999|3|2.070512208|-0.147427016|-0.045759336|10.92970798|1|0.012272222|-0.344811314|0.76857495|0.7348225290000001|-0.011977878|-0.007680215|0.770129205|0.911549451|-0.044416218|-0.070610745|-32.23041637|9.840503082|-0.018970051|-37.18086445|134.15514270000003|0.542015878|-1.270993412|-13.76552695|42.07091945|0.469029865|-922.2903058|1774.8853399999998|-9.988888957|0.457984122|18.88856367|0.8833450959999999|-669.2555601|25.39690722|0.0219172279999999|-60.97724212|1003.968547|15.9041322|0.0|1.0|1.0|3.98|0.39|-8.18|4.16|3.36|59.31|146.76|0.0|1.0|7.0|-4.21|35.0|6.0|-6.82|0.0|0.0|3.43|-4.8|6.159999999999999e-05|0.0288|1.58e-05|3.29|0.0|0.0|3.07e-06|-46.0|5.5808|2.25|3802.0|-1489.655581|-1489.803158|800.01|1380.89|326.1|0.2835|222.16|645.26|0.7047100000000001|0.0005|0.2422099999999999|0.19621|-0.14757681|4.8004|7.1308
12g_a31|0.0|1|0|0|3.42813681|0.0|7.765993078999999|1|0.0|0.0716209459999999|-0.01500347|-0.1044685569999999|0|0.0|-0.7501734859999999|-0.0733026079999999|10.31169877|2|-0.0054114869999999|-0.081426376|0.837044054|0.819234772|-0.076150332|-0.1386819869999999|0.8639814490000001|0.58271093|-0.1284353869999999|-0.131126805|-78.87508829|19.01411466|-0.039059048|-49.45404266|548.1594997999999|0.6886488690000001|-1.835775276|-23.98704875|97.88920296|0.470244801|-1127.391291|1859.940155|-14.73099143|0.311351131|15.28679013|0.887664343|-692.3565973|34.8320455|0.02515117|-231.70711040000003|524.0230338|15.44590447|1.0|1.0|1.0|3.61|0.32|-6.45|5.19|3.44|131.36|103.26|0.0|1.0|7.0|-4.92|27.0|5.0|-6.86|0.0|1.0|2.9|-3.79|1.19e-05|0.00457|0.0001629999999999|2.52|0.0|0.0|0.000136|-0.03324|3.8349|4.17|3.8349|-1578.846191|-1578.800869|664.44|1090.41|323.3|265.0|323.3|542.78|0.70068|265.0|-0.15917|-0.19241|0.04532186|2.4038|6.9586
12a_a50|0.0|0|1|1|0.0|0.0|7.927685046000001|1|4.075037557|-0.199881787|-0.002936355|-0.0016330379999999|1|2.112397566|-0.126263256|0.014596049|10.94501645|2|0.011790103|-0.291865836|0.699597776|0.795582575|-0.030758487|-0.2018898489999999|0.862192416|0.904119689|-0.05075501|-0.0663902|-25.57033815|10.58650394|-0.02383238|-16.85074424|69.83817338|0.575218972|-0.929462803|-12.00673599|36.15684209|0.469674946|-468.2627037|1462.827156|-6.048985111|0.4247810279999999|9.648744341|0.885635975|-235.9104193|20.873331|0.027455156|-75.79052945|388.171611|13.83188822|1.0|0.0|1.0|3.3|0.11|-5.49|2.59|3.42|48.53|94.69|0.0|2.0|2.0|-3.16|24.0|3.0|-6.44|0.0|1.0|2.55|-3.84|0.000685|215.0|0.000144|2.5|0.0|0.0|0.00101|-0.03366|4.0783|2.47|4.0783|-1006.659456|-1006.632973|545.54|908.22|304.01|0.1807|304.01|394.52|0.65267|0.1807|-0.16806|-0.20172|0.02648238|7.9123|7.1249
8f_a12|0.0|0|1|1|0.0|0.0|6.580639137|1|0.0|0.110310585|-0.008295703|-0.062406088|2|2.177023629|-0.3981937339999999|0.028505422|10.31134658|1|-0.00094279|-0.125424286|0.902669729|0.7475224290000001|-0.13747286|-0.042014638|0.80546986|0.869823177|-0.072634742|-0.098932601|-41.27611074|7.550959323|-0.03822396|-31.9483307|0.0|0.8381234340000001|-1.6818542230000002|-21.72151161|48.82707007|0.460344828|-955.746511|1448.568734|-12.34367323|0.161876566|13.00131176|0.853035146|-543.1216218999999|25.9168408|0.012030968|-384.290491|524.0516742|6.836832748|1.0|1.0|1.0|4.09|0.1|-8.42|4.99|3.41|78.41|115.66|0.0|1.0|3.0|-5.7|27.0|4.0|-5.47|0.0|1.0|3.82|-5.24|1.99e-06|0.000735|5.72e-06|4.34|0.0|0.0|1.4e-06|-0.06179|4.1744|4.19|3.6536|-1481.146454|-1481.115891|606.97|1020.81|339.35|312.0|297.01|441.97|0.65098|0.2466|-0.15061|-0.2124|0.03056355|1.4701|6.1898
13d_a5 (GW788388)|0.0|1|0|0|2.945204608|0.0|6.605297921|1|0.0|-0.0959854909999999|-0.005668173|-0.009710199|3|0.0|-0.33442223|-0.086484275|10.94530363|1|0.003668464|-0.016337128|0.7333482170000001|0.78479342|0.024905619|0.047169811|0.834800344|0.774103723|-0.086824482|-0.0844793|-57.42492153|9.637686167|-0.0291837579999999|-36.95444874|44.69922692|0.669182121|-1.605106706|-19.30187193|67.0626077|0.488398052|-1061.602956|1377.863026|-12.76608229|0.330817879|15.788837|0.954644629|-702.1345259999999|28.84397435|0.022041749|-223.7910275|723.0631751|14.57821204|0.0|1.0|1.0|3.21|0.2|-8.84|4.56|4.11|92.79|121.68|0.0|1.0|6.0|-4.35|32.0|5.0|-6.94|0.0|1.0|3.11|-4.35|4.429999999999999e-05|0.0189|4.5e-05|2.75|0.0|0.0|6.16e-07|-0.05542|4.6091|3.81|4.1706|-1390.589662|-1390.548362|707.09|1206.73|297.28|0.5251|269.0|532.01|0.48848|0.1549|-0.17299|-0.22841|0.04130059|3355.0|7.7447
4c_a49|0.0|0|0|0|0.0|0.0|7.535296702|1|2.102052126|-0.048954892|-0.0057600559999999|-0.044371138|2|1.78683516|-0.339843311|-0.102999091|10.92777281|1|0.00202792|-0.001647802|0.7745214140000001|0.7796063109999999|-0.052237757|0.010868461|0.826523164|0.76159824|-0.087753156|-0.086290519|-56.5385923|7.782541015|-0.029809452|-35.82016427|59.70585149|0.724053828|-1.639519861|-19.20596967|64.32113331|0.473304159|-1056.328332|1683.872161|-12.37423857|0.275946172|16.089682800000002|0.898629005|-680.5831211|26.5256103|0.0173567219999999|-288.71184960000005|707.2397315000001|11.182784300000002|1.0|1.0|1.0|3.49|0.25|-7.97|3.55|3.19|98.72|120.43|0.0|1.0|7.0|-3.5|31.0|5.0|-7.53|0.0|1.0|2.6|-3.58|0.000314|0.13|0.000265|1.81|0.0|0.0|4.4e-06|-0.0623299999999999|5.74|3.04|3.8067|-1332.647233|-1332.607539|705.55|1199.04|325.7|0.2411|216.0|533.87|0.67789|0.0821|-0.15925|-0.22158|0.03969431|4.9358|6.5935
6e_a31|0.0|1|0|0|3.402951625|0.0|7.773594467000001|1|0.0|0.06650322|-0.016012184|-0.178758575|0|0.0|-0.784597028|-0.008757878|10.31165994|2|-0.008439437|-0.004825446|0.838789705|0.78240875|-0.071378445|-0.072882794|0.841537966|0.623340994|-0.122985602|-0.130898441|-74.99224589|19.89514173|-0.046541668|-48.66969791|99.0823033|0.7604979040000001|-2.0943750530000003|-28.37945369|94.88738762|0.4782688439999999|-1277.075416|2188.417358|-17.30478148|0.239502096|14.40145519|0.916695963|-778.7151665|37.31693873|0.022744048|-317.6847132|536.6368656000001|13.86851128|1.0|1.0|1.0|3.55|0.1|-7.33|5.19|4.0|131.36|109.69|0.0|1.0|4.0|-5.63|29.0|5.0|-6.5|0.0|1.0|3.27|-4.66|2.34e-06|0.000947|2.18e-05|3.2|0.0|0.0|1.89e-05|-0.05426|3.3083|4.31|3.3083|-1652.669408|-1652.63264|634.34|1077.48|374.76|0.5103|374.76|490.75|0.70391|0.5103|-0.13418|-0.18844|0.03676794|8.3583|6.4318
1a_a18 (SB-431542)|0.0|1|0|0|3.3674017380000003|0.0|7.423568444|1|0.0|0.043282217|-0.015636898|-0.175408303|1|0.0|-0.766207981|-0.029658865|10.94959842|1|-0.008385698|-0.033765606|0.838928085|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.5940412860000001|-0.126408788|-0.122555709|-74.98172333|19.58668728|-0.0462988229999999|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|-27.46300805|94.56841061|0.472443977|-1235.8353619999998|1890.195809|-16.29019397|0.2468003389999999|14.26170773|0.895533283|-733.0587287000001|36.46179023|0.02438148|-300.3801761|513.4628663999999|14.4623285|1.0|1.0|1.0|3.25|0.05|-7.69|4.04|3.63|103.12|106.85|0.0|1.0|4.0|-4.52|29.0|5.0|-6.73|0.0|1.0|2.85|-4.25|3.03e-05|0.0116|5.660000000000001e-05|2.7|0.0|0.0|7.81e-06|-0.05971|3.8208|4.57|3295.0|-1292.588031|-1292.553086|620.23|1048.7|376.27|0.5767|324.5|464.08|0.69868|0.3347|-0.13329|-193.0|0.03494548|8.8609|6.9031
20a_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.113798134|-0.0774974029999999|-0.0034618129999999|0.049376168|2|1.896409603|-0.197323337|-0.010695558|10.9296614|1|0.008297595|-0.081587712|0.661219642|0.755429696|0.036092601|0.019448804|0.817646497|0.913681336|-0.066386563|-0.072821454|-43.19189039|8.860330345|-0.028008251|-30.82502228|47.01787447|0.733451892|-1.456429076|-18.22250274|52.05222074|0.452402751|-947.5701424|2021.669282|-11.8557778|0.266548108|15.37476788|0.826159649|-616.5004457|24.84485067|0.016540298|-303.7731758|719.5272609|10.76131538|1.0|1.0|1.0|3.48|0.11|-9.44|5.06|5.77|76.62|126.35|0.0|1.0|4.0|-5.68|33.0|5.0|-5.82|0.0|1.0|4.27|-5.59|2.07e-06|0.000888|2.56e-06|4.36|0.0|0.0|1.55e-07|-0.06611|4.7841|3.98|3.8312|-1389.164302|-1389.1321289999998|696.63|1200.92|323.62|0.2738|259.16|524.02|0.6864600000000001|107.0|-0.1613099999999999|-0.2274199999999999|0.03217287|3.2116|5.9208
3a_a12|0.0|0|0|0|0.0|0.0|0.0|1|0.0|0.13714555|-0.007671441|-0.042445446|2|0.0|-0.322200517|-0.062973953|10.95455336|0|-0.001011111|-0.1213636769999999|0.943290857|0.7038021990000001|-0.021522321|-0.032466697|0.759068438|0.871985494|-0.07121814|-0.090803706|-34.84701355|4.615711776|-0.034924502|-21.73969523|0.0|0.781050096|-1.362055589|-17.08854808|39.46272532|0.462077145|-666.453375|1050.730179|-8.361421244|0.2189499039999999|11.01449587|0.859002624|-326.0954285|21.87893986|0.015909241|-275.0354486|381.0058252|7.784386645|1.0|1.0|1.0|3.84|0.05|-7.5|3.43|2.49|37.28|97.52|0.0|1.0|3.0|-3.6|23.0|3.0|-5.88|0.0|1.0|2.98|-4.06|0.00025|0.0745|8.8e-05|3.15|0.0|0.0|9.33e-06|-0.06829|4.2336|3.33|3.7304|-951.3711872|-951.3480023|528.84|875.71|332.36|0.3201|292.86|383.08|0.66895|128.0|-0.15328|-0.22157|0.023184956|1.9332|6.7122
8c_a31|0.0|1|0|0|3.435435563|0.0|7.765993078999999|1|0.0|-0.012583838|-0.01275867|-0.104377029|0|0.0|-0.574140137|-0.1903992189999999|10.31169969|2|-0.004832959|-0.09039853|0.922486359|0.847752299|0.006000201|-0.1759864119999999|0.896193695|0.626072761|-0.1170607269999999|-0.128067781|-64.57121646|16.3656112|-0.039640027|-38.96685783|477.2277896000001|0.72308253|-1.66488115|-21.86561502|80.93682766|0.47508938|-918.3558307|1678.6836239999998|-12.06117028|0.27691747|12.99457133|0.90508624|-506.5691518|30.23944586|0.021986076|-246.1066271|423.1367008|12.12761708|1.0|1.0|1.0|3.51|0.29|-6.13|4.89|3.13|114.29|93.45|0.0|1.0|5.0|-4.42|24.0|5.0|-6.7|0.0|1.0|2.83|-3.63|3.79e-05|13.0|0.000237|2.38|0.0|0.0|0.0002549999999999|-0.03222|3.8492|1.83|3.8492|-1426.166503|-1426.129055|595.67|981.89|322.11|0.2597|322.11|475.72|0.7005|0.2597|-0.15985|-0.19207|0.03744829|5.1815|6.0915
18_a4|0.0|0|0|0|0.0|0.0|7.535296702|1|1.904090136|-0.181683336|-0.004533883|-0.164169913|1|0.0|-0.181355303|-0.200683549|10.94611841|1|0.00042|0.015390457|0.624748358|0.793041267|0.102914528|-0.105846349|0.8547339420000001|0.7755960390000001|-0.094231531|-0.085817825|-46.48874223|8.729352711|-0.03479101|-20.88721799|0.0|0.769438308|-1.287267373|-17.16400317|55.21809494|0.405586004|-635.0681172000001|1573.744396|-8.467791078|0.2305616919999999|10.31843368|0.682329162|-313.3082699|22.30718562|0.0175331289999999|-265.85258480000005|337.0066459|8.649897756|0.0|0.0|0.0|3.32|0.11|-5.53|3.46|3.43|50.94|86.22|0.0|2.0|3.0|-2.95|23.0|4.0|-6.58|0.0|1.0|2.78|-3.51|0.00113|349.0|0.000312|2.24|0.0|0.0|0.0009109999999999|-0.03538|4.5152|3.02|4.2045|-1033.480025|-1033.454769|523.81|870.74|294.88|0.2083|274.59|404.27|0.57777|0.1|-0.17345|-0.20883|0.02525528|3498.0|5.5817
15a_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.141907675|-0.214195114|-0.00244937|0.022297552|2|2.038992189|-0.144512841|-0.060539141|10.92966696|1|0.01192767|-0.285973309|0.7408341359999999|0.77630271|-0.0232534929999999|-0.1074837719999999|0.820233357|0.915137224|-0.0458501609999999|-0.076864276|-29.50952422|10.10411407|-0.025155581|-31.83957238|122.7715002|0.676473201|-1.3835569680000002|-16.19032994|39.61363829|0.407638879|-890.4681466|2413.560937|-10.42022369|0.323526799|11.33516398|0.68815941|-573.1123029|23.93343877|0.017883602|-227.1590805|697.5493042|11.51002664|0.0|1.0|1.0|3.5|0.29|-7.79|3.95|4.05|56.07|118.92|0.0|1.0|6.0|-3.97|30.0|5.0|-6.52|0.0|1.0|3.33|-4.4|0.000108|0.0432|3.94e-05|3.12|0.0|0.0|6.51e-06|-0.04742|5.7646|2.4|3.7639|-1278.452284|-1278.4225210000002|687.57|1179.28|329.41|0.3558|215.08|563.27|0.68863|0.1583|-0.1559299999999999|-0.20335|0.02976259|6.1108|7.6198
5g_a40|0.0|0|0|0|0.0|0.0|8.149890544|1|1.534673091|0.0094595959999999|-0.016033575|-0.190406197|0|0.64025463|-0.5611751220000001|0.122088541|10.31198315|2|-0.012008571|0.137067086|0.795454476|0.818555255|0.006643696|-0.1312278909999999|0.882781953|0.67772744|-0.153687065|-0.14338431|-72.93994279|11.83520323|-0.049288357|-32.29667648|0.0|0.745349319|-1.577227413|-23.39227384|84.77514603|0.488538966|-748.5527627|593.8133184|-11.10198254|0.254650681|12.10939827|0.955183157|-355.2634413|31.38430965|0.025660198|-232.8857705|266.8102663|12.1783403|0.0|0.0|0.0|3.13|0.21|-2.89|2.69|2.5|115.96|78.2|0.0|3.0|3.0|-4.24|21.0|5.0|-6.6|0.0|1.0|2.01|-3.37|5.78e-05|0.0174|0.000426|2.17|0.0|0.0|391.0|-0.0540299999999999|3.48|4.02|3.48|-1328.055803|-1328.015099|489.04|800.98|356.27|261.0|356.27|367.19|0.6563|261.0|-0.14505|-0.19908|0.04070345|6.7957|6.9101
12p_a30|0.0|0|0|0|0.0|0.0|7.412764017000001|2|0.0|0.038440292|-0.0063403159999999|-0.031328052|2|0.0|-0.3550576729999999|0.000321545|10.31162861|1|0.005965451|-0.09353607|0.8414737059999999|0.7867133140000001|-0.051402518|-0.2210072669999999|0.8371763179999999|0.843381594|-0.074356395|-0.094870978|-47.54197452|9.659715461|-0.0364888379999999|-38.78387161|0.0|0.8199554720000001|-1.897419563|-23.33022469|57.20168999|0.469983155|-1213.171684|2326.5244390000003|-14.91687369|0.180044528|13.94763694|0.886732486|-775.6774321|28.4530386|0.0130197619999999|-409.146112|686.039456|8.3245726|1.0|1.0|0.0|4.76|0.17|-7.01|4.35|2.93|81.65|132.24|0.0|1.0|5.0|-5.66|30.0|4.0|-5.81|0.0|1.0|2.91|-5.15|2.21e-06|0.0009119999999999|7.05e-06|4.23|0.0|0.0|4.02e-05|-0.05169|5.1922|4.14|3.4955|-1615.094336|-1615.0623480000002|685.08|1167.16|354.69|0.1768|238.79|526.91|0.68561|0.1527|-0.14823|-0.19992|0.03198743|4.6103|7.7721
15a_a50|0.0|0|1|1|0.0|0.0|7.934155233999999|1|4.126145086|-0.113976703|-0.004429392|-0.06317118|1|2.020652006|-0.234757789|-0.15010386|10.94500663|2|0.005828749|-0.209259615|0.797917311|0.821868651|-0.051676609|-0.207610131|0.8749408470000001|0.837789896|-0.0783960279999999|-0.084501726|-46.91098865|10.77967103|-0.029316925|-30.25705388|0.0|0.705410595|-1.436529349|-17.54280159|57.69065967|0.4476230879999999|-859.5972780999999|1754.903963|-10.49734522|0.294589405|14.65582885|0.8103580690000001|-514.369916|24.86892274|0.018747341|-245.8291419|569.5267957000001|11.21812301|0.0|1.0|1.0|3.7|0.23|-6.09|3.23|3.57|68.76|110.43|0.0|1.0|5.0|-3.6|28.0|4.0|-6.78|0.0|1.0|2.76|-3.92|0.000251|0.0933|0.0001189999999999|2.51|0.0|0.0|0.0003|-0.03255|4.0408|2.66|4.0408|-1199.818129|-1199.784983|644.4|1091.64|306.83|0.1767|306.83|519.38|0.66132|0.1767|-0.16693|-0.19948|0.03314629|9.0948|7.3872
17e_a50|0.0|0|1|1|0.0|0.0|7.934155233999999|2|4.3906140030000005|-0.153175103|-0.0020746479999999|0.038322942|2|2.2384546640000003|-0.141076059|-0.086639125|10.94500663|2|0.012372059|-0.310566368|0.7596299459999999|0.7409645029999999|-0.1710526319999999|-0.202197068|0.7791604190000001|0.930108205|-0.046347299|-0.073011385|-32.24487658|8.950665784|-0.02665495|-35.33972521|86.98647608|0.803671114|-1.67926185|-18.5444588|41.19554236|0.489797496|-1168.300905|1981.934841|-12.90180444|0.196328886|16.70124474|0.960006062|-812.8136797000001|23.07468625|0.010255676|-422.5418889|904.3172644|7.135108233|0.0|1.0|1.0|4.18|0.37|-7.33|4.23|4.68|51.77|138.0|0.0|1.0|6.0|-4.87|33.0|4.0|-6.08|0.0|0.0|4.03|-5.18|1.34e-05|0.00589|6.58e-06|4.08|0.0|0.0|2.03e-05|-0.03156|4.2373|3.8|4.0298|-1375.295877|-1375.268259|757.34|1312.91|307.67|0.1809|292.6|602.89|0.66478|0.1785|-0.16649|-0.19805|0.02761851|8.8326|6.8097
12g_a36|0.0|1|0|0|3.5202147110000004|0.0|7.412764017000001|2|0.0|-0.063344124|-0.006495469|-0.039008054|2|0.0|-0.409214521|0.078155467|10.95259306|1|0.005035022|-0.163978382|0.901715152|0.8026482070000001|-0.19532883|-0.088251318|0.847239339|0.854238488|-0.069292341|-0.097067302|-47.63457647|12.19441007|-0.034549379|-45.87193951|5.097410387|0.779745318|-2.038413337|-23.75074918|59.82898654|0.473274545|-1401.294202|2476.712654|-16.3273005|0.2202546819999999|13.83075477|0.898522257|-963.3107298|30.45962398|0.015152386|-384.6182564|799.5563855|10.41641087|1.0|1.0|1.0|5.06|0.24|-7.38|3.85|3.01|69.2|138.33|0.0|1.0|6.0|-4.95|32.0|4.0|-6.19|0.0|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|1.39e-05|3.8|0.0|0.0|1.7800000000000002e-05|-0.0505199999999999|5.2092|4.21|3714.0|-1350.887005|-1350.861445|724.32|1241.66|333.83|0.4393|238.01|657.02|0.70097|45.0|-0.15236|-0.20288|0.0255597|7.8537|7.8539
20b_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.103422978|0.048567614|-0.007463406|-0.073703704|2|1.854149459|-0.447804373|-0.042013549|10.92966143|1|0.002637529|0.031942481|0.725009545|0.761071345|0.052265135|-0.022843761|0.817426568|0.75259177|-0.094975935|-0.088479815|-60.68950774|8.331370518|-0.033783202|-36.12803002|91.02309592|0.7616213270000001|-1.85807612|-21.58742537|69.02087825|0.454087415|-1187.308396|2257.777328|-13.79433873|0.238378673|13.838742600000002|0.8317951020000001|-758.6886304|28.34404003|0.0171045989999999|-334.3514234|769.1246171|10.92981783|1.0|1.0|1.0|3.54|0.11|-8.93|4.23|5.0|95.92|129.73|0.0|1.0|5.0|-5.22|34.0|5.0|-6.53|0.0|1.0|3.66|-5.09|6.05e-06|0.00271|8.13e-06|3.52|0.0|0.0|5.26e-07|-0.0578399999999999|5.9354|4.88|3.9013|-1465.62724|-1465.587932|687.84|1218.74|317.8|0.2782|208.89|482.93|669.0|0.1382|-0.16388|-0.2217199999999999|0.03930765|7.7954|5.9586
15b_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.145379897|-0.197213588|-0.002413027|0.024214591|2|2.0455289690000003|-0.149607679|-0.082365722|10.92966694|1|0.011928706|-0.27395395|0.744213612|0.791078367|-0.058258414|-0.104250125|0.83320417|0.921918974|-0.046334564|-0.07358373|-31.76194123|10.94939968|-0.024105015|-34.57687319|118.6253241|0.670236374|-1.398090862|-16.52377848|42.7113409|0.414077981|-958.3791518|2603.829652|-11.32690674|0.329763626|11.42472965|0.706711759|-656.9605906|24.65365821|0.017637846|-233.3911134|766.4127559|12.09059037|0.0|1.0|1.0|3.61|0.32|-8.18|4.34|4.44|56.07|123.73|0.0|1.0|7.0|-4.35|31.0|5.0|-6.34|0.0|0.0|3.66|-4.64|4.46e-05|0.0185|2.28e-05|3.49|0.0|0.0|2.73e-06|-0.04734|5.7620000000000005|2.74|3.7625|-1317.766641|-1317.736865|721.17|1231.3|329.52|0.3575|215.17|587.53|0.68906|0.1595|-0.15579|-0.20313|0.02977516|6.1384|7.0706
13_a15|0.0|0|0|0|0.0|0.0|0.0|1|0.0|-0.139434143|-0.006348913|-0.031457366|3|0.0|-0.393632585|-0.031047852|10.95980212|0|0.003766915|-0.272482143|0.843715005|0.729838386|0.008210506|0.009456191|0.7784213259999999|0.8854875790000001|-0.068526782|-0.098053528|-43.2365883|10.21906987|-0.033811561|-39.03420883|0.0|0.755283433|-1.961070565|-21.33321476|53.45565817|0.482317225|-1237.326456|3581.589629|-13.46007201|0.244716567|10.07307988|0.931684902|-780.6841766|28.24531009|0.01672103|-322.1392954|830.7967967000001|10.55004024|1.0|1.0|0.0|4.13|0.07|-8.9|4.33|6.69|59.51|138.24|0.0|1.0|6.0|-6.32|34.0|4.0|-5.26|1.0|0.0|4.61|-6.1|4.77e-07|0.000214|7.970000000000001e-07|5.32|0.0|0.0|5.7e-07|-0.03946|3942.0|5.04|2.5721|-1450.756042|-1450.727602|674.36|1231.11|482.03|208.0|314.52|549.33|0.70626|0.0003|-0.11283|-0.15229|0.02844037|6.0429|8.2218
28_a34|0.0|0|0|0|0.0|0.0|7.423568444|1|1.767685185|0.000561166|-0.016942875|-0.206909349|1|0.0|-0.6946578940000001|-0.15803127|10.9595763|1|-0.007544188|-0.311884247|0.8318609690000001|0.798057295|0.092890802|-0.078146961|0.8582665429999999|0.545935562|-0.1306693569999999|-0.140864841|-66.89539627|19.29162755|-0.048190604|-36.91879876|88.32197602|0.7298701059999999|-1.831242935|-24.6708914|86.18702382|0.454339954|-937.4938731|1689.357471|-12.63011537|0.270129894|10.28760365|0.832642882|-479.9443839|33.80175623|0.0271102189999999|-235.3612529|344.69029950000004|13.87891455|0.0|1.0|1.0|3.02|0.12|-4.78|1.99|2.07|92.26|85.92|0.0|2.0|3.0|-3.27|24.0|5.0|-7.04|0.0|1.0|1.84|-3.25|0.000533|172.0|0.000565|1.72|0.0|0.0|0.00535|-0.03896|4.2857|4.11|4.2857|-1100.797628|-1100.760824|544.24|896.02|289.3|0.2043|289.3|417.28|0.69263|0.2043|-0.17802|-0.21698|0.03680411|8.5886|5.4179
12ak_a36|0.0|1|0|0|3.501132553|0.0|7.412764017000001|2|0.0|-0.052930979|-0.006465433|-0.0407717229999999|2|0.0|-0.407322296|-0.116440196|10.95268014|1|0.005035022|-0.163978382|0.901715152|0.815627016|0.051506104|-0.0265703679999999|0.860939187|0.848705143|-0.069176342|-0.091761476|-49.87483724|14.3700664|-0.032660864|-47.69888026|25.9007405|0.737439195|-1.926990997|-23.5478668|64.24490364|0.423822657|-1389.324141|2735.7986920000003|-16.97756755|0.262560805|13.86156772|0.735576751|-1001.676485|31.93194362|0.018055095|-342.3783571000001|799.5563855|13.01738243|1.0|1.0|1.0|5.05|0.24|-7.38|3.85|3.01|69.2|138.33|0.0|1.0|6.0|-4.95|32.0|4.0|-6.19|0.0|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|1.39e-05|3.8|0.0|0.0|1.7800000000000002e-05|-0.04929|3.8734|4.21|3.6895|-1350.900117|-1350.865407|730.3|1247.89|336.05|0.4514|320.09|584.05|0.7034699999999999|0.0001|-0.15275|-0.20204|0.03471045|8.5394|7.3372
