molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
24_a20|0.0|0|0|0|0.0|0.0|6.842683282|0|1.959359883|-0.217098257|-0.001547029|0.029711934|2|2.041494094|-0.083539572|-0.060940703|10.93106245|1|0.008780074|-0.060582944|0.616352201|0.74131936|0.070857143|-0.07179846|0.802353442|0.952027295|-0.061437722|-0.067869875|-38.76683848|8.085691548|-0.02714795|-27.02262995|406.1522673|0.771032243|-1.357397496|-17.13019562|46.85253003|0.457794721|-856.5097809|1961.887639|-10.80905198|0.228967757|12.63879297|0.844319927|-540.4525990000001|22.21722343|0.013436544|-342.0394805|664.4562602999999|8.478379683|1.0|1.0|1.0|3.4|0.08|-9.32|4.76|4.78|80.28|119.42|0.0|1.0|4.0|-4.89|31.0|5.0|-6.26|0.0|1.0|3.63|-4.93|1.29e-05|0.00519|1.17e-05|3.52|0.0|0.0|1.94e-07|-0.06748|5.3396|3.74|3.5876|-1291.896802|-1291.867578|685.66|1169.35|345.59|0.2495|232.2|551.25|0.44916|0.0108|-0.15687|-0.22435|0.02922392|4.3906|6.4976
4q_a46|0.0|0|0|0|0.0|0.09591943|7.832410927000001|1|2.151582577|-0.2520920439999999|-0.001250008|0.004704245|2|0.0|-0.066250447|-0.155661124|10.96363644|1|0.012222698|-0.187559576|0.716317772|0.807871283|-0.15266708|-0.121752717|0.848935944|0.913550004|-0.052170875|-0.070035423|-29.12008262|8.099124333999999|-0.021010627|-21.81959712|72.14599138|0.61955726|-1.050531344|-11.72744747|37.21920695|0.487775649|-586.3723734|1491.412605|-6.545879136|0.38044274|11.78798551|0.952269544|-327.2939568|18.92875482|0.018430997|-133.46593529999998|554.3688216|10.28758193|1.0|1.0|1.0|3.95|0.38|-6.94|4.09|4.09|52.83|102.63|0.0|1.0|4.0|-3.41|26.0|4.0|-6.54|0.0|0.0|3.15|-3.89|0.000389|135.0|0.000129|2.65|0.0|0.0|3.97e-05|-0.03042|4.5296|2.57|4.5296|-1108.751283|-1108.729426|606.7333|1043.05|273.72|0.1432|273.72|510.13|0.69002|0.1432|-0.1903|-0.2207199999999999|0.02185677|3.2968|6129.0
8d_a8|0.0|1|0|0|3.190160226|0.0|7.05012252|0|1.41693287|-0.12349902|-0.0111144189999999|-0.155313194|1|0.0|-0.633521883|-0.077977198|10.94649761|1|-0.001038264|0.025642021|0.76211539|0.757805416|0.0780635059999999|-0.179357354|0.804372443|0.6932924890000001|-0.1072746469999999|-0.103150936|-69.95878302|18.28507531|-0.03820405|-43.86958028|92.49576602|0.675359878|-2.063018716|-24.91463687|88.24385833|0.483207744|-1345.390391|2093.380666|-16.2479927|0.324640122|14.52777156|0.935013517|-877.3916055999999|36.89090464|0.029166961|-228.7206541|682.0472537|19.02113117|0.0|1.0|1.0|3.61|0.12|-7.62|3.93|3.32|112.23|121.1|0.0|1.0|6.0|-4.91|32.0|5.0|-6.87|0.0|0.0|3.0|-4.47|1.24e-05|0.00533|3.4200000000000005e-05|2.89|0.0|0.0|1.03e-05|-0.0600299999999999|4.6765|6.22|3.2963|-1447.595474|-1447.559429|690.78|1185.65|376.13|0.3|265.12|572.21|0.70165|0.1879|-0.13754|-0.19757|0.03604461|7.5674|4.7303
11_a47|0.0|0|0|0|0.0|0.0|0.0|0|0.0|0.035230036|-0.007767503|-0.156077888|3|1.311097861|-0.427212659|0.081235787|10.93671007|0|-0.00580273|-0.079543257|0.702719047|0.715054643|-0.058523885|0.07716247|0.770028429|0.796863393|-0.08164597|-0.096486559|-50.01659041|5.184267117|-0.035945973|-36.20974614|1.882633323|0.816608795|-1.833244617|-22.02062158|55.20085753|0.4686568239999999|-1123.0517|2201.328597|-13.48990542|0.183391205|11.22841564|0.8820228529999999|-687.9851765999999|26.96593732|0.0128657439999999|-387.9111844|670.2339441|7.881596968999999|1.0|0.0|1.0|3.28|0.04|-10.55|5.58|6.68|70.93|124.7|0.0|0.0|4.0|-6.29|32.0|5.0|-5.28|1.0|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|9.32e-07|5.06|0.0|0.0|1.19e-08|-0.05094|3.7253|4.84|3.7253|-1396.184699|-1396.145101|654.49|1146.42|332.82|0.2321|332.82|549.52|0.6915399999999999|0.2321|-0.1546|-0.20554|0.03959805|4.6111|7.4
4a_a49|0.0|0|0|0|0.0|0.0|7.535296702|1|2.085628989|-0.076526919|-0.006602016|-0.074495823|2|1.713107022|-0.3631108529999999|-0.053787795|10.92777282|1|0.000660956|-0.060391347|0.7541604690000001|0.803344301|0.0063958109999999|0.032396301|0.856023531|0.7570436159999999|-0.094228246|-0.087863033|-57.79201133|10.51443916|-0.0292876779999999|-33.05061877|60.11195021|0.650301539|-1.4936715669999998|-17.96270092|68.30645049|0.4716382|-916.0977468|1647.61849|-11.01687292|0.349698461|15.01791558|0.8926425020000001|-561.8605190000001|27.62211044|0.023624093|-184.3656985|620.5697596|14.48911428|0.0|1.0|1.0|3.35|0.22|-7.36|3.4|2.83|92.93|114.08|0.0|1.0|6.0|-3.28|30.0|5.0|-7.52|0.0|1.0|2.42|-3.52|0.000528|211.0|0.000305|1.71|0.0|0.0|1.74e-05|-0.06461|4.7259|3.34|3.7876|-1313.19945|-1313.158118|660.19|1128.22|327.34|0.1935|262.35|504.63|0.68042|0.0789|-0.1585099999999999|-0.2231199999999999|0.04133192|4.8706|7.4949
19h_a38|0.0|1|0|0|3.2723542610000003|0.0|7.412764017000001|2|0.0|-0.088176988|-0.007781653|-0.082283951|2|0.0|-0.420209249|-0.043452674|10.96083376|1|-0.000673716|-0.217394466|0.724208473|0.819222745|-0.054149342|-0.121374121|0.8741648479999999|0.7746288020000001|-0.082211319|-0.109986804|-48.43313101|12.51014765|-0.03959525|-38.17354026|0.0|0.75379331|-1.979762478|-23.32673803|60.94327866|0.47459722|-1166.336902|1839.424968|-13.74247449|0.24620669|12.98143834|0.903301693|-687.1237247|30.94580137|0.020207411|-299.0343596|595.8790650000001|11.90478646|1.0|1.0|1.0|4.8|0.14|-6.86|3.13|2.55|81.23|125.69|0.0|1.0|5.0|-4.14|30.0|4.0|-6.77|0.0|1.0|2.66|-4.17|7.209999999999999e-05|29.0|6.77e-05|2.78|0.0|0.0|5.610000000000001e-05|-0.05708|3.7384|3.41|3.5358|-1332.187847|-1332.1538779999998|626.65|1092.17|350.65|0.2355|331.65|452.01|0.69012|88.0|-0.1467099999999999|-0.20379|0.03396934|9.0777|8.0348
2_a1|0.0|0|0|0|0.0|0.0|7.535296702|1|2.233384354|-0.049975995|-0.004621682|-0.014296455|1|0.0|-0.175623923|-0.0619710709999999|10.9520472|1|0.003205156|-0.326716897|0.571324013|0.795932678|0.079586368|0.1766333219999999|0.8571146190000001|0.808210065|-0.0622285999999999|-0.077270452|-28.32386891|5.135384136|-0.026492726|-16.00805425|84.54541681|0.6944040029999999|-0.927245426|-12.05838656|33.45925305|0.39830426|-422.0435297|1378.496713|-5.488475744|0.305595997|8.779158091000001|0.6619695520000001|-192.096651|17.36508791|0.017741989|-176.9692239|299.6692382|8.075415099999999|1.0|0.0|1.0|2.91|0.18|-6.18|4.0|4.12|30.71|79.77|0.0|1.0|2.0|-3.06|21.0|3.0|-6.04|0.0|1.0|3.21|-3.78|0.000871|243.0|0.000167|2.76|0.0|0.0|0.000185|-0.02966|4.0877|3.31|4.0877|-920.2093796|-920.184721|489.42|807.98|303.31|0.2991|303.31|355.79|0.7007899999999999|0.2991|-0.1686|-0.19826|0.024658671|5.2754|5.2366
9g_a40|0.0|0|0|0|0.0|0.0|7.515889085|0|1.849105962|-0.058811055|-0.0054957819999999|-0.0220464379999999|0|0.895670535|-0.225327061|0.139758613|10.31197177|2|0.0115573539999999|-0.062672355|0.694156166|0.764275277|-0.384131901|-0.242405063|0.821935848|0.90454157|-0.063539055|-0.079033043|-33.47455057|11.25704374|-0.031197254|-21.93596333|64.08637519|0.740240206|-1.185495647|-16.43578193|44.73159432|0.476386801|-624.5597134|349.4421673|-8.658932892000001|0.259759794|15.62271835|0.909806709|-329.0394499|22.20330888|0.018087202|-253.1335385|384.6422631|9.528957565|0.0|0.0|1.0|2.8|0.06|-6.43|2.91|2.93|72.28|87.53|0.0|1.0|3.0|-2.49|23.0|4.0|-7.17|0.0|0.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|1.37|0.0|0.0|0.000113|-0.0624|3.0778|3.83|3.0778|-1332.487689|-1332.476347|559.04|923.42|402.84|0.3563|402.84|469.6|0.70233|0.3563|-0.12765|-0.19005|0.01134289|5063.0|5.45
6b_a31|0.0|1|0|0|3.404988662|0.0|7.773594467000001|1|0.0|0.052690797|-0.016070861|-0.178758575|0|0.0|-0.787472195|-0.032090772|10.31169819|2|-0.008439437|-0.004825446|0.838789705|0.78240875|-0.068433069|-0.084489161|0.841537966|0.627853074|-0.12081047|-0.1284626569999999|-73.70779766|20.12924648|-0.045675611|-47.81835367|101.4993391|0.7459204140000001|-2.055402513|-27.86719323|93.83704414|0.4807018779999999|-1254.023695|2063.736075|-17.0020813|0.254079586|14.46878435|0.925676135|-765.0936586|37.35947255|0.024142162|-300.0775025|536.6368656000001|14.72939894|1.0|1.0|1.0|3.55|0.1|-7.33|5.19|4.0|131.36|109.69|0.0|1.0|4.0|-5.63|29.0|5.0|-6.5|0.0|1.0|3.3|-4.66|2.34e-06|0.000947|2.18e-05|3.2|0.0|0.0|1.89e-05|-0.05835|3.2949|4.61|3.2949|-1652.671944|-1652.635711|637.06|1077.19|376.29|0.4967|376.29|492.36|0.7013199999999999|0.4967|-0.13345|-0.1918|0.03623358|8.8379|7.2676
15_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.124460476|-0.166303336|-0.0027892409999999|0.035396617|2|1.981569297|-0.142251304|-0.055918786|10.92966702|1|0.009514122|-0.136323668|0.682616223|0.808676284|-0.079744227|-0.105662909|0.863438637|0.915526801|-0.059234364|-0.074144604|-35.30133759|11.09373722|-0.025240716|-26.33385303|108.7226878|0.646412648|-1.186313662|-15.04246823|46.39507481|0.434181679|-706.9960069|2288.954984|-8.964715924|0.353587352|11.23924661|0.767351752|-421.3416484|23.27068984|0.020932674|-174.5122907|563.875765|12.47504566|1.0|1.0|1.0|3.29|0.23|-8.3|4.91|4.72|52.83|111.21|0.0|1.0|5.0|-4.48|28.0|4.0|-6.07|0.0|1.0|3.83|-4.81|3.32e-05|13.0|1.56e-05|3.68|0.0|0.0|1.96e-06|-0.05243|5.7922|3.12|3.7997|-1604.08794|-1604.057542|641.98|1086.19|326.3|0.4553|214.05|484.05|0.68543|0.1647|-0.1574|-0.20983|0.03039798|6.1563|7.4815
