molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nARing|BCUTs-1|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|AATSC1pe|MATS1i|MATS1c|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
16b_a32|-3.3094926630000003|1|1|3.2902303|0.0|0|0|0.2980105389999999|5.733341277|-0.3723824429999999|0|-0.012739425|-0.423467596|-0.008277865|-0.0657820279999999|-0.00180101|-0.1202046419999999|-0.586122949|0|0.056127969|-0.098450203|0.907055332|0.6762731040000001|1|-0.088716278|-0.1083060409999999|0.015808858|-69.39772428|10.12961779|53.96132589|0.253462496|162.40756509999997|6.490611388|-1.624590613|80.37824892|-22.14820988|0.414997448|3037.795494|478.3482386|-14.19159402|0.252363732|6.466656381|11.05406524|0.709394251|6612.089615999999|-667.0049190000001|29.62431176|2.0|3.71|2.48|0.28|-7.6|5.4|4.88|165.49|0.41|1.0|0.0|1.0|1.0|6.0|-6.72|0.0|-4.55|5.19e-07|0.000225|0.0123|3.14|0.0|0.0|2.54e-08|1.1e-05|-0.05946|3.6211|-2315.990437|-2315.951437|676.92|1137.73|342.39|0.2849|0.70233|0.70233|-2315.757928|0.2849|-0.14995|4.4055|-0.2094099999999999|0.03900066|7.0093|17.0|7.7696
12aa_a36|0.0|1|0|3.4172704080000003|0.0|0|2|1.297043479|5.351858133|-0.135770278|2|0.03597264|-0.672129428|-0.006653538|-0.013898809|-0.004569485|-0.052743904|-0.53315493|1|0.156337925|-0.023185884|0.888163057|0.849217847|0|-0.1066659309999999|-0.117270578|0.023617545|-80.19356964|16.1504726|132.3194611|0.3110547589999999|212.7097172|11.04423694|-2.228140982|96.18613736|-28.21625599|0.44829258|2928.7759760000004|471.12395210000005|-19.29522587|0.2686642589999999|8.05947774|14.60824604|0.812554922|6438.603019|-1041.942197|38.58180913|3.0|4.83|0.0|0.13|-6.14|1.92|0.98|112.29|1.28|1.0|0.0|0.0|1.0|5.0|-7.79|0.0|-3.45|0.000304|129.0|152.0|1.55|0.0|0.0|7.19e-07|0.000305|-0.05111|3.8899|-1401.662677|-1401.617177|701.99|1183.76|318.73|0.4446|0.6931|0.6931|-1401.389257|0.4446|-0.15718|3.5904|-0.20829|0.04550032|4.7433|9.0|8.0458
12a_a30|0.0|0|0|0.0|0.0|0|2|0.604984824|5.351858133|-0.02919335|2|-0.096804291|-0.3557214489999999|0.005050384|-0.094932667|0.005458948|-0.053309522|-0.454270252|1|-0.031179517|-0.171895425|0.842671963|0.7961424690000001|0|-0.07699057|-0.097138462|0.016292604|-60.22802588|10.10177981|85.47365107|0.163785284|101.5505506|6.263330101|-1.845630786|69.45678454|-23.35372432|0.469799116|2722.217443|518.4718832|-14.47983299|0.194809798|7.362386058999999|13.88603128|0.88607758|5936.682602000001|-709.5118166|29.00398472|1.0|4.65|0.0|0.14|-6.64|3.84|2.62|81.65|2.82|2.0|0.0|0.0|1.0|4.0|-5.98|0.0|-4.85|5.23e-06|0.00208|0.0056|3.87|0.0|0.0|2.3100000000000002e-07|9.21e-05|-0.05184|3.4885|-1575.7783980000002|-1575.745502|668.81|1122.01|355.41|0.1866|0.35338|0.68599|-1575.538241|0.1511|-0.1481|4.1875|-0.19994|0.03289568|4.7368|11.0|7.9469
16a_a10|0.0|0|0|0.0|0.0|1|1|1.325756911|5.4161004020000005|0.023926176|2|-0.085711535|-0.152205915|0.011207938|-0.0048530629999999|0.011558506|-0.162508526|-0.1948324069999999|2|-0.068377262|-0.008879187|0.813036304|0.72613292|1|-0.052574986|-0.076950669|0.013872737|-53.28817038|9.606840334|77.68598956|0.083851314|58.06685151|6.652715932|-1.615964058|63.53441386|-18.049219|0.4629532229999999|2862.681038|634.4309626|-12.4990447|0.272940681|8.531706024|15.88633689|0.862035195|6366.0631060000005|-774.9407716|24.82496066|0.0|4.11|4.46|0.3|-8.5|4.73|5.19|56.07|2.47|3.0|0.0|0.0|1.0|5.0|-5.91|1.0|-5.17|6e-06|0.00264|0.00297|4.33|0.0|0.0|3.18e-09|1.4e-06|-0.04647|3.8718|-1395.158387|-1395.13019|760.0|1310.44|320.22|0.3843|332.0|0.6852199999999999|-1394.797092|0.0841|-0.1605|3.8323|-0.20697|0.02819643|4.6574|47.0|7.3279
4o_a46|0.0|0|0|0.0|0.160026534|1|1|1.13463699|5.587248657999999|0.042766097|1|-0.2363624889999999|-0.032014955|0.010870588|-0.06855792|0.010144781|-0.018058762|-0.096073163|1|-0.121466731|-0.09492635|0.8176134690000001|0.6418406720000001|0|-0.0648126359999999|-0.06570509|0.00972341|-36.03345669|5.332434441|5.821925821000001|0.049267382|27.01882145|2.9243708|-1.051281434|42.00638612|-12.01115223|0.460981009|2195.436986|521.3931342|-6.587059484|0.248979351|5.527567399|10.25486577|0.855222204|4966.476822|-316.1788552|15.99310518|0.0|3.73|3.12|0.32|-7.26|4.77|4.94|54.5|2.72|1.0|0.0|0.0|1.0|3.0|-5.51|1.0|-4.87|1.23e-05|0.00422|0.0045899999999999|4.06|0.0|0.0|5.5e-08|1.88e-05|-0.04627|4.3255|-1070.456878|-1070.428722|581.59|1022.29|286.64|0.1598|0.6843|0.6843|-1070.223416|0.1598|-0.18282|3.4494|-0.22909|0.02815574|4.8244|162.0|6.7905
1n_a5|0.0|1|0|2.91912867|0.0|0|0|1.427557749|4.59511985|-0.0533837329999999|2|0.002508727|-0.3365350029999999|0.004367323|-0.047910067|0.004754079|-0.00966135|-0.393928416|2|-0.013686011|-0.087019366|0.8402078140000001|0.656280207|0|-0.082180848|-0.081950989|0.023129277|-47.04056285|13.27640087|63.58796786|0.214789986|123.2912732|7.620766672|-1.311215832|63.57058627|-17.50346525|0.483868192|2437.279452|450.71720610000006|-10.04713747|0.372248254|7.881746117|15.27080096|0.937489579|5101.31614|-432.02691110000006|27.88278228|1.0|2.88|2.67|0.05|-8.07|4.41|3.99|80.76|1.72|1.0|0.0|0.0|1.0|5.0|-6.41|0.0|-4.18|5.41e-05|0.0193|0.0234|2.91|0.0|0.0|8.43e-09|3.01e-06|-0.06186|4.3838|-1179.209088|-1179.169527|607.15|1017.23|282.82|0.3789|0.44786|0.44786|-1179.018429|0.3789|-0.17092|0.6234|-0.23278|0.03956123|0.7104|27.0|7.5686
17c_a50|0.0|0|1|0.0|0.0|2|2|1.347835869|5.82008293|0.024219848|2|0.021572081|-0.1766179239999999|0.01130519|-0.120904775|0.012222674|-0.233451925|-0.2256811219999999|1|-0.139943634|-0.212611846|0.816442883|0.728169863|1|-0.051905615|-0.073693343|0.021675174|-50.69922125|14.91199042|133.46240020000002|0.10280106|70.72462009999998|10.25908547|-1.32648017|66.7258111|-14.96042594|0.49503436|2951.495914|617.2509739|-10.29240792|0.430249571|8.310163601000001|16.45688922|0.98033276|6438.380804|-627.8368834|26.25785813|0.0|4.12|3.61|0.35|-6.79|3.59|3.53|61.0|1.91|1.0|0.0|0.0|1.0|5.0|-6.96|1.0|-4.43|0.000158|0.0698|0.0165|2.86|0.0|0.0|1.6100000000000005e-07|7.08e-05|-0.03121|4.0432|-1411.187392|-1411.157813|746.5|1289.05|306.65|0.1814|0.63122|0.66213|-1410.838844|0.1801|-0.16697|6.3989|-0.19818|0.02957871|8.5146|69.0|7.1612
3_a27|0.0|0|0|0.0|0.0|2|0|1.402697639|4.59511985|-0.096132106|2|-0.172132163|-0.27868256|0.009082086|0.024154412|0.00955169|-0.1984716939999999|-0.479874452|2|0.136381755|0.038685745|0.8759548629999999|0.610158103|1|-0.06145119|-0.086153958|0.019234305|-44.61323499|9.960129259|10.71226495|0.137884078|71.40072181|5.157668895|-1.292309364|54.32114618|-16.72996312|0.44566003|2294.213272|446.4308003|-8.663302268999999|0.266146248|6.457886343999999|11.64968556|0.803947133|4960.583812|-346.53209080000005|22.79740761|0.0|3.03|3.11|0.05|-5.89|2.8|2.94|65.6|2.18|0.0|0.0|0.0|2.0|4.0|-6.41|1.0|-3.99|0.0002|0.0658|0.0339|2.67|0.0|0.0|1.29e-06|0.000423|-0.05512|3962.0|-1081.905135|-1081.88481|547.92|931.06|312.93|0.2305|0.34864|0.6734600000000001|-1081.744053|0.2208|-0.16457|2.7811|-0.21969|0.02032437|4.1551|4.0|8.3979
5g_a40|0.0|0|0|0.0|0.0|1|1|0.604913142|6.167516491000001|-0.190406197|0|-0.0602779129999999|-0.5611751220000001|-0.012794054|-0.091116241|-0.012008571|0.07917206|-0.4748772539999999|0|0.006643696|-0.1312278909999999|0.882781953|0.7733200179999999|1|-0.153687065|-0.14338431|0.024937196|-68.05025116|11.83520323|216.425542|0.32227256|152.9506864|5.616992201|-1.577227413|80.22859145|-23.39227384|0.488538966|2054.810452|321.64971460000004|-11.10198254|0.254650681|6.193485364|12.10939827|0.955183157|4358.890754999999|-355.2634413|31.38430965|2.0|3.13|1.96|0.21|-2.89|2.69|2.5|115.96|0.74|0.0|1.0|0.0|3.0|5.0|-6.6|0.0|-3.37|5.78e-05|0.0174|128.0|2.17|0.0|0.0|0.0013|391.0|-0.0540299999999999|3.48|-1328.055803|-1328.015099|489.04|800.98|356.27|261.0|0.6563|0.6563|-1327.9345529999998|261.0|-0.14505|4.9132|-0.19908|0.04070345|6.7957|123.0|6.9101
3f_a32|0.0|1|1|3.553167045|0.0|0|0|0.6094207770000001|5.733341277|-0.0434359079999999|0|-0.062954205|-0.275173181|0.001276735|-0.110286539|0.002565215|-0.074808287|-0.5487283829999999|0|-0.110248899|-0.1743238839999999|0.871865543|0.786074011|1|-0.073433055|-0.097374443|0.011897886|-54.8993954|6.707989266|47.97543149|0.125973316|71.02334697|3.78194259|-1.265867765|61.47296003|-16.99267001|0.435176082|2273.466801|492.7734095|-9.580412233|0.21080172|6.153728636|10.89495051|0.770463268|4993.667711|-402.3773138|21.53155987|1.0|3.9|3.31|0.28|-7.31|7.18|5.63|110.94|2.18|2.0|0.0|0.0|1.0|3.0|-5.03|0.0|-5.4|1.28e-07|4.53e-05|0.0014|4.83|0.0|0.0|4.89e-08|1.73e-05|-0.05315|3.5569|-1712.0610190000002|-1712.034952|604.9|1006.92|348.58|293.0|0.70255|0.70255|-1711.863611|293.0|-0.1474599999999999|3.4678|-0.2006099999999999|0.02606687|5.7161|9.0|8.0458
