molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nARing|BCUTs-1|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|AATSC1pe|MATS1i|MATS1c|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
19_a20|0.0|1|0|3.423603867|0.0|0|0|1.4009239059999998|4.727387819|-0.130949446|3|0.103271147|-0.539158264|-0.006620594|-0.063133522|-0.004654742|-0.049177437|-0.5838248970000001|3|-0.143992458|-0.105118869|0.8193003000000001|0.7741509329999999|1|-0.091725453|-0.099685049|0.013643765|-65.49811346|8.964643162|339.8339889|0.245547466|161.33709|5.890223441|-1.993700989|75.98477124|-25.1915821|0.483310517|2849.084477|495.7134289|-16.55214209|0.203929412|7.950138729|15.38668579|0.935398401|6325.747732|-860.7113887|31.64490997|2.0|3.49|2.49|0.08|-9.63|4.97|4.08|110.44|1.33|1.0|0.0|0.0|1.0|5.0|-6.8|0.0|-4.57|1.29e-05|0.00541|0.0112|2.91|0.0|0.0|2.34e-10|9.86e-08|-0.06767|3.3616|-1368.413151|-1368.378274|687.79|1190.68|368.83|0.2998|0.6987399999999999|0.6987399999999999|-1368.129074|0.2998|-0.13903|4.2507|-0.2067|0.03487615|6.3327|2.6|5585.0
7c_a8|0.0|1|0|3.17138259|0.0|1|0|1.400027586|4.844187086|-0.025233184|1|0.0493777859999999|-0.382994379|0.00325576|-0.118915929|0.004301963|-0.047874|-0.328286221|1|0.0092411059999999|-0.196826366|0.795846675|0.6881348629999999|0|-0.080277893|-0.089778346|0.0306012339999999|-56.2991566|19.18974586|49.43944876|0.151076042|94.73836511|12.03370912|-1.6160102369999998|76.40286308|-21.11218373|0.492823119|2716.5013510000003|532.3522286|-13.23925183|0.373097855|7.700542366|15.18314943|0.971698707|6013.168519|-635.4840877|33.67700028|1.0|3.44|3.1|0.09|-7.76|4.22|3.78|92.93|1.82|1.0|0.0|0.0|1.0|5.0|-6.34|0.0|-4.67|1e-05|0.00399|0.00851|3.37|0.0|0.0|1.73e-08|6.91e-06|-0.07472|3.1406|-1331.8206369999998|-1331.793312|662.05|1116.53|394.78|275.0|0.62361|0.70321|-1331.567632|0.1779|-0.1318599999999999|12.0073|-0.20658|0.02732536|15.7056|18.59|4.7307
A8301_a51|0.0|0|0|0.0|0.0|1|0|1.197963627|4.727387819|-0.028789626|2|0.078523314|-0.242873103|0.00740124|-0.1227504419999999|0.007083041|-0.0357324579999999|-0.4354420879999999|2|-0.013846396|-0.21474885|0.750630149|0.7234449559999999|1|-0.055295165|-0.0780376929999999|0.008152073|-50.67621589|5.293803823|36.55933899|0.065260105|42.37868986|3.437697042|-1.6387915469999998|56.90163721|-21.28401067|0.4799553379999999|2799.106729|607.0025787000001|-13.82143785|0.145040365|6.890532887999999|13.24988678|0.922911768|6401.6494600000005|-691.0718926|24.89475504|1.0|3.49|3.5|0.04|-9.38|5.5|5.52|87.72|3.35|2.0|1.0|0.0|1.0|3.0|-5.31|0.0|-5.93|2.5e-07|0.000105|0.000495|5.02|0.0|0.0|4.12e-10|1.74e-07||||||||||||||||||12.0|7.9208
11_a15|0.0|0|0|0.0|0.0|0|1|1.435688956|0.0|-0.029665252|3|-0.036023137|-0.402711212|0.001806571|0.023543401|0.003766915|-0.173728081|-0.363940085|2|0.0234789439999999|0.0432314409999999|0.76664841|0.796300317|0|-0.064429158|-0.0974577669999999|0.018519054|-66.78526188|12.69062406|143.8088883|0.105461874|72.27026771|8.696553172|-1.949155337|79.1792768|-23.02940065|0.470042906|3022.859488|613.0036107000001|-15.7814467|0.260684316|6.233494755|11.76226306|0.8869452090000001|7002.915718000001|-915.3239085|31.14961732|1.0|4.1|4.25|0.07|-8.9|4.33|6.69|59.51|2.52|2.0|0.0|0.0|1.0|4.0|-5.26|0.0|-6.1|4.77e-07|0.000214|0.000357|5.32|0.0|0.0|1.27e-09|5.7e-07|-0.03877|2.9595|-1450.740771|-1450.705737|739.57|1284.85|418.94|0.2657|0.58935|0.70577|-1450.39211|0.0011|-0.12134|812.0|-0.16011|0.03503399|1.3581|739.0|6.1314
12ao_a36|0.0|1|0|3.477902101|0.0|0|2|1.297043885|5.351858133|-0.065314765|2|0.0895536619999999|-0.410729809|0.002782748|-0.033032344|0.003724542|-0.095253274|-0.435820128|1|0.040831815|-0.05785124|0.8800240009999999|0.856135378|0|-0.077866573|-0.1019516769999999|0.017784426|-67.45579866|11.76697353|85.17634667|0.167417241|110.7707502|7.785557064|-2.039033535|78.51108393|-24.98362913|0.462968912|2794.663089|550.8740683|-16.53028876|0.217901822|8.769931502999999|16.33039817|0.8620895909999999|5943.227395|-892.6355932|31.9443643|2.0|4.87|0.0|0.12|-7.01|3.62|2.42|69.2|2.38|1.0|0.0|0.0|1.0|4.0|-6.34|1.0|-4.55|2.6e-05|0.0106|0.0115|3.45|0.0|0.0|9.66e-08|3.94e-05|-0.05455|3.4743|-1310.361099|-1310.328652|701.9|1190.17|356.86|0.6249|0.4962|0.7045|-1310.077853|0.0033|-0.14207|5.4691|-0.19662|0.03244719|7.447999999999999|0.03|7.5229
15a_a10|0.0|0|0|0.0|0.0|1|1|1.34383719|5.4161004020000005|0.022297552|2|-0.125297206|-0.144512841|0.011418154|-0.062038567|0.01192767|-0.179723568|-0.188634555|2|-0.0232534929999999|-0.1074837719999999|0.820233357|0.713078124|1|-0.0458501609999999|-0.076864276|0.0156991769999999|-49.47045259|10.10411407|42.41151044|0.084862776|54.61835033|6.503087289|-1.3835569680000002|60.98047923|-16.19032994|0.407638879|2656.305166|588.9895149|-10.42022369|0.323526799|6.71451044|11.33516398|0.68815941|5929.563906|-573.1123029|23.93343877|0.0|3.5|3.58|0.29|-7.79|3.95|4.05|56.07|1.93|1.0|0.0|0.0|1.0|5.0|-6.52|1.0|-4.4|0.000108|0.0432|0.0157|3.12|0.0|0.0|1.63e-08|6.51e-06|-0.04742|3.7639|-1278.452284|-1278.4225210000002|687.57|1179.28|329.41|0.3558|0.47484|0.68863|-1278.141052|0.1583|-0.1559299999999999|4.7512|-0.20335|0.02976259|6.1108|24.0|7.6198
12be_a36|0.0|1|0|3.466734143|0.0|0|2|1.297042758|5.351858133|-0.0419484829999999|2|0.118420241|-0.580823835|0.000482522|0.00430921|0.002872872|-0.176729938|-0.3825349939999999|1|0.132962547|0.00734728|0.858971809|0.8350231859999999|0|-0.0780531429999999|-0.108962668|0.033763464|-75.59805505|23.42501577|63.31681179|0.201984123|140.1361326|16.25222352|-1.852365352|99.62604537|-22.15805062|0.4564615729999999|3039.9167260000004|553.6616295|-15.37320593|0.433925602|8.773114043|16.14074295|0.839796323|6592.168374|-891.645944|39.14335412|2.0|4.96|0.0|0.21|-6.79|2.83|1.9|87.66|1.42|1.0|0.0|0.0|1.0|6.0|-7.13|0.0|-4.15|7.75e-05|0.0342|0.0315|2.62|1.0|0.0|1.6100000000000005e-07|7.11e-05|-0.0518799999999999|3.3487|-1462.0007349999998|-1461.968283|739.48|1256.67|370.25|0.7034|0.40844|0.70465|-1461.68274|0.0018|-0.13781|7.7861|-0.18969|0.03245204|10.3044|44.0|7.3565
21_a34|0.0|0|0|0.0|0.0|1|2|1.425532331|5.860786223|-0.091664226|1|-0.125881566|-0.7020096440000001|-0.001643445|-0.009996155|0.00130996|-0.254686357|-0.514364527|1|0.116926272|-0.015568862|0.796991578|0.660871869|0|-0.09533089|-0.117789944|0.034163186|-79.03896823|22.9240533|168.9671187|0.323609157|217.1470086|15.38241267|-2.120218984|95.12565978|-27.89610644|0.4688149339999999|3115.110331|453.8692584|-18.7187412|0.271739906|7.253455092999999|13.65523159|0.882583047|7048.305909000001|-954.6558014|38.30514214|0.0|3.43|3.52|0.12|-7.68|3.64|3.23|86.55|1.72|1.0|1.0|0.0|1.0|6.0|-6.83|0.0|-4.71|3.14e-05|0.0138|0.0085|3.02|0.0|0.0|2.07e-08|9.06e-06|-0.07534|3091.0|-1483.3359380000002|-1483.305698|698.17|1182.6|401.11|0.2174|0.6893199999999999|0.69292|-1483.057743|0.0002|-0.13338|5.3432|-0.20872|0.03023936|7.9399|3.36|5.4737
28_a34|0.0|0|0|0.0|0.0|1|1|1.454781307|5.351858133|-0.206909349|1|-0.201047053|-0.6946578940000001|-0.012039484|-0.0500053959999999|-0.007544188|-0.189821204|-0.5437894289999999|1|0.092890802|-0.078146961|0.8582665429999999|0.7829667309999999|0|-0.1306693569999999|-0.140864841|0.03768308|-72.11491331|19.29162755|144.3404619|0.4540644379999999|232.4555747|9.876233397|-1.831242935|85.99382787|-24.6708914|0.454339954|2252.098123|279.4884473|-12.63011537|0.270129894|5.613534285|10.28760365|0.832642882|4803.256974|-479.9443839|33.80175623|1.0|3.02|2.55|0.12|-4.78|1.99|2.07|92.26|0.88|0.0|0.0|0.0|2.0|5.0|-7.04|0.0|-3.25|0.000533|172.0|182.0|1.72|0.0|0.0|1.66e-05|0.00535|-0.03896|4.2857|-1100.797628|-1100.760824|544.24|896.02|289.3|0.2043|0.69263|0.69263|-1100.6525880000002|0.2043|-0.17802|6.4596|-0.21698|0.03680411|8.5886|3.82|5.4179
3l_a32|0.0|1|1|3.672194822|0.0|0|1|0.609420748|5.733341277|0.0043645509999999|0|-0.039331295|-0.270019992|0.0016954029999999|-0.107818594|0.002942329|-0.04980249|-0.524711546|0|-0.136589369|-0.184582641|0.7973741999999999|0.776480242|1|-0.069304303|-0.088417589|0.012244965|-51.41835077|7.120934925|61.72183119|0.114441512|66.55229892|4.141107366|-1.326263838|58.10243176|-16.76685351|0.453630671|2453.759435|514.9875423000001|-9.750593329|0.211763281|6.414825717|11.74082324|0.8302637909999999|5429.531532999999|-448.5272931|21.27134288|1.0|3.58|3.54|0.35|-7.5|7.34|6.17|110.94|2.64|2.0|0.0|0.0|1.0|3.0|-4.71|0.0|-6.01|2.52e-08|9.59e-06|0.0003689999999999|5.51|0.0|0.0|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|-1789.475625|-1789.4501510000002|629.26|1062.47|351.04|0.2876|0.70282|0.70282|-1789.242839|0.2876|-0.14664|3.3955|-0.19962|0.02547484|5.7721|12.0|7.9208
1l_a5|0.0|1|0|2.964063799|0.0|0|0|1.270375394|4.59511985|-0.0052651969999999|2|-0.111303801|-0.089997343|0.008244856|-0.05139414|0.007613233|0.0271820189999999|-0.21108114|2|-0.174469948|-0.091849662|0.818803517|0.71872376|0|-0.068685233|-0.067755283|0.0078543119999999|-38.27406105|4.43679678|167.86839980000002|0.109710998|61.974288|2.506287665|-1.219595099|45.64819758|-14.9768065|0.47265823|2227.730859|502.9124512|-8.460199385|0.230593886|7.401206343999999|14.03493287|0.896303416|4665.793689|-389.1691717|19.46541135|1.0|2.98|2.67|0.14|-8.83|5.56|5.32|54.46|2.57|1.0|0.0|0.0|1.0|3.0|-5.4|1.0|-4.98|9.06e-06|0.00308|0.00356|4.19|0.0|0.0|1.4800000000000003e-09|5.02e-07|-0.04149|4.3664|-1069.261615|-1069.229786|609.85|1033.47|283.95|0.4921|0.45892|0.57392|-1069.047151|187.0|-0.1779|2.1987|-0.21939|0.03182983|3.3694|32.0|7.4949
15_a47|0.0|1|1|2.9226792460000004|0.0|0|0|1.304329657|4.59511985|-0.072588375|2|-0.130885389|-0.21194909|-0.0026314909999999|0.0506476009999999|-0.002377481|-0.007670908|-0.332654104|2|-0.131424138|0.081171071|0.897881853|0.614613723|1|-0.084413593|-0.0904066519999999|0.016669157|-48.36220049|8.917011222000001|61.0548099|0.208246323|111.3994409|4.770072524|-1.265693121|59.79410145|-17.81765281|0.477646539|2327.320914|423.5412927|-9.531388265|0.288369895|6.984778596|13.37174753|0.914412511|5075.773767000001|-362.1927541|25.03780079|2.0|2.89|2.1|0.06|-8.49|4.69|5.28|66.49|2.83|2.0|0.0|0.0|1.0|4.0|-5.76|0.0|-4.85|1.29e-05|0.00455|0.00499|3.8|0.0|0.0|3.22e-09|1.14e-06|-0.0591799999999999|4.0594|-1527.4104|-1527.376145|552.16|930.51|305.43|0.2828|0.67203|0.68008|-1527.265523|0.0759|-0.16762|2.2271|-0.2268|0.03425526|3.7709|16.0|7.8
8f_a12|0.0|0|1|0.0|0.0|0|1|0.609895166|4.59511985|-0.062406088|2|-0.013400998|-0.3981937339999999|-0.002596875|-0.024023866|-0.00094279|-0.070713228|-0.560548116|1|-0.13747286|-0.042014638|0.80546986|0.8409290840000001|1|-0.072634742|-0.098932601|0.013287637|-56.220383|7.550959323|83.13642146|0.130176823|73.97552223|4.290980116|-1.6818542230000002|63.05721575|-21.72151161|0.460344828|2541.921472|494.2940092|-12.34367323|0.161876566|7.016225129|13.00131176|0.853035146|5481.952981|-543.1216218999999|25.9168408|1.0|4.09|3.26|0.1|-8.42|4.99|3.41|78.41|3.1|2.0|0.0|0.0|1.0|4.0|-5.47|1.0|-5.24|1.99e-06|0.000735|0.00211|4.34|0.0|0.0|3.79e-09|1.4e-06|-0.06179|3.6536|-1481.146454|-1481.115891|606.97|1020.81|339.35|312.0|0.59107|0.65098|-1480.955408|0.2466|-0.15061|0.9092|-0.2124|0.03056355|1.4701|646.0|6.1898
32_a47|0.0|0|1|0.0|0.0|1|1|1.216307925|4.727387819|0.000921003|3|-0.013510009|-0.2037028839999999|0.001861676|-0.044598914|0.002350172|-0.077485193|-0.2749014|2|-0.0094137619999999|-0.078006445|0.858292442|0.634406338|1|-0.05770007|-0.0726950079999999|0.019295804|-52.38450683|13.90468487|28.55112477|0.148372218|106.9180086|10.01980854|-1.381205148|68.76811937|-18.77935151|0.44289006|2808.210157|613.6886524|-13.53252578|0.35883878|8.656942728999999|15.53902041|0.794977846|6235.398576|-717.2238666000001|29.28959351|2.0|3.35|3.67|0.26|-8.82|4.18|5.07|67.66|3.11|2.0|0.0|0.0|1.0|5.0|-6.34|0.0|-5.05|1.5399999999999998e-05|0.00674|0.0038799999999999|3.7|0.0|0.0|1.5e-09|6.55e-07|-0.05682|3.6829|-1778.127634|-1778.0970140000002|692.49|1184.76|336.65|0.2969|0.48011|0.68986|-1777.843462|0.2839|-0.1509599999999999|4.8234|-0.20778|0.03062031|6.3139|0.1|7.0
11f_a5|0.0|1|0|2.967866825|0.0|0|1|1.370797007|4.59511985|0.022233547|3|-0.083432989|-0.227966183|0.00722997|-0.0080939669999999|0.008309782|-0.128153787|-0.230681941|2|-0.008110526|-0.016518403|0.800575032|0.750555185|0|-0.068361657|-0.074612137|0.0221464629999999|-51.92819555|15.41338844|70.39517801|0.152643862|106.23633909999998|10.72733576|-1.268406334|73.05195434|-15.48735657|0.463183664|2853.401015|589.7388387999999|-10.77881574|0.489052404|9.683662007|18.03905985|0.8628345190000001|5969.213977|-614.3924972|30.31104695|1.0|3.35|2.87|0.24|-8.67|4.61|3.53|76.16|1.03|1.0|0.0|0.0|1.0|6.0|-6.99|1.0|-4.26|0.000112|0.0477|0.0234|2.7|0.0|0.0|2.12e-09|9.06e-07|-0.03862|4.1356|-1391.7602960000002|-1391.722248|729.96|1239.35|299.8|0.5834|0.6593600000000001|0.64937|-1391.444853|0.1834|-0.1691|2.1313|-0.20772|0.03804804|2.9697|12.0|7.9208
1i_a5|0.0|1|0|2.843224727|-4.358943904|0|0|1.219028472|4.59511985|-0.31059482|2|0.018196138|-0.279280326|-0.0012491689999999|-0.003198529|-0.000700145|0.001493879|-0.403861432|2|-0.058385936|-0.00496377|0.8436458929999999|0.513260607|0|-0.091178745|-0.084018635|0.008291428|-46.82694838|4.621144795|201.1526326|0.112394438|62.64191946|2.575548983|-1.428316788|57.78921354|-19.90145306|0.4697279689999999|2482.831286|494.6981114|-11.09187646|0.240540403|7.314842247|13.79450888|0.8858245220000001|5432.586961|-443.6750585|26.20475553|1.0|2.83|2.04|0.05|-8.88|5.48|6.37|54.46|2.73|2.0|0.0|0.0|1.0|6.0|-5.73|0.0|-4.97|1.6100000000000002e-05|0.00589|0.00396|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|-0.05729|4.3799|-1288.356212|-1288.322373|569.42|957.58|283.08|0.7585|0.4571199999999999|0.50107|-1288.210207|0.0207|-0.17945|2.6336|-0.23674|0.03383899|2.8939|24.0|7.6198
47r_a18|0.0|0|0|0.0|0.0|0|1|0.403924645|4.844187086|-0.216996268|0|0.041686585|-0.40455848|-0.005176133|-0.030106257|-0.0001597829999999|-0.233665901|-0.360670551|0|0.017110504|-0.048143486|0.8075001|0.7554975009999999|0|-0.083915825|-0.087091542|0.0155038689999999|-65.12700692|11.59378448|13.30156885|0.230421778|172.30927739999998|8.669825595|-2.090197013|81.99788849|-23.68254797|0.49394971|3389.050097|575.4901675|-17.70979622|0.311925149|9.819988422|19.40516312|0.976088187|7727.455993|-1168.846551|34.41856352|2.0|4.55|0.0|0.22|-7.46|0.43|3.76|111.03|2.23|3.0|1.0|0.0|1.0|4.0|-6.12|0.0|-5.64|2.26e-07|0.0001139999999999|0.00117|4.59|0.0|1.0|3.48e-08|1.76e-05|-0.0522799999999999|3.1705|-1964.841529|-1964.813473|790.57|1387.23|391.06|0.6007|0.69545|0.69545|-1964.443758|0.6007|-0.13021|2.3873|-0.18249|0.02805567|3.2001|231.0|6.6364
12n_a30|0.0|0|0|0.0|0.0|0|2|0.604984682|5.351858133|-0.064217094|2|-0.1144447669999999|-0.387485343|0.001139238|-0.087019298|0.002064369|-0.0541804029999999|-0.464204099|1|-0.015189554|-0.149451598|0.870930234|0.64876559|0|-0.083120674|-0.10528124|0.017064818|-66.48079820000001|10.77573511|85.87072848|0.221849786|140.0890685|6.804436105|-1.895062322|76.16725916|-24.42151771|0.4701566479999999|2848.910641|491.3700419|-15.42118984|0.200596792|7.385790169|13.93957316|0.887350282|6353.890039|-755.6383024|30.54968688|1.0|4.66|0.0|0.14|-6.9|4.25|3.18|81.65|3.2|2.0|0.0|0.0|1.0|5.0|-6.02|0.0|-5.01|4.12e-06|0.00171|0.00405|3.97|0.0|0.0|1.26e-07|5.260000000000001e-05|-0.05076|3.4859|-1675.011418|-1674.978015|669.57|1131.65|355.67|0.1826|0.27009|0.6854|-1674.777231|0.1489|-148.0|5.3143|-0.19876|0.0334036|6.32|0.01|7983.0
4S4k_a46|0.0|0|0|0.0|0.173180233|1|1|1.134637098|5.587248657999999|-0.088084767|1|-0.104665424|-0.252970193|0.006550513|-0.1032662209999999|0.006050983|0.008544799|-0.3860697829999999|1|-0.003017362|-0.141706595|0.787615341|0.784722915|0|-0.089589915|-0.0860536609999999|0.007749296|-45.61628327|4.1078333030000005|172.7607401|0.1082655419999999|57.39060501|2.177526049|-1.46291223|49.42345536|-16.15576699|0.461984953|2105.538282|472.7005375|-8.564028983|0.132090036|5.523352655|10.26616763|0.858684076|4719.2906570000005|-411.0733912|18.61456563|1.0|3.8|3.03|0.33|-6.61|4.26|4.77|50.94|2.84|1.0|0.0|0.0|1.0|3.0|-5.46|1.0|-4.83|1.5e-05|5.0|0.0049299999999999|4.05|0.0|0.0|2.48e-07|8.28e-05|-0.02074|4.0774|-1053.441953|-1053.415665|566.82|997.07|304.07|0.2623|0.5716|0.67893|-1053.202208|0.0654|-0.17396|2.2655|-0.1947|0.02628818|2.5693|197.0|6.7055
7_a27|0.0|0|0|0.0|0.0|2|0|1.40247849|4.727387819|-0.050197188|2|-0.133453335|-0.288487667|0.010291744|-0.056500475|0.010596392|-0.19575909|-0.500327496|2|0.147753647|-0.08694032|0.8546689820000001|0.62067794|1|-0.060745542|-0.084531496|0.015099075|-47.44936449|8.475438874|10.66993367|0.14888586|83.57286704|4.757447929|-1.352503929|55.55559276|-16.87088515|0.466714317|2334.058688|477.7488532|-9.469994277|0.236435287|6.446345598|12.087978|0.875167537|5082.120742|-426.1497425|22.09489892|0.0|3.24|3.41|0.2|-6.61|3.32|3.05|65.6|2.88|0.0|0.0|0.0|1.0|4.0|-6.26|1.0|-4.28|8.66e-05|0.0299|18.0|3.02|0.0|0.0|2.43e-07|8.4e-05|-0.04887|4.1205|-1122.455548|-1122.433757|606.74|1016.96|300.9|0.4179|0.61278|0.61278|-1122.249324|0.4179|-0.16734|4.2487|-0.2162099999999999|0.02179141|6.3813|1.0|9.0
4R4k_a46|0.0|0|0|0.0|0.173180233|1|1|1.134637098|5.587248657999999|-0.088084767|1|-0.104665424|-0.252970193|0.006550513|-0.1032662209999999|0.006050983|0.008544799|-0.3860697829999999|1|-0.003017362|-0.141706595|0.787615341|0.784722915|0|-0.089699228|-0.085931818|0.007883196|-45.72566346|4.194771739|173.3171354|0.109374836|58.20005971|2.232103603|-1.4608409080000002|49.58292992|-16.19450581|0.465590034|2105.035168|473.9155694|-8.617349646000001|0.133318901|5.522208638|10.33328154|0.871222588|4711.736397|-413.632783|18.68565706|1.0|3.8|3.12|0.33|-6.61|4.26|4.77|50.94|2.84|1.0|0.0|0.0|1.0|3.0|-5.46|1.0|-4.83|1.5e-05|5.0|0.0049299999999999|4.05|0.0|0.0|2.48e-07|8.28e-05|-0.02045|4.1392|-1053.439174|-1053.413412|565.94|994.13|299.53|0.2896|0.54119|0.68404|-1053.202129|0.1008|-0.17484|1.8559|-0.19529|0.0257622|1.9753|97.0|7.0132
14a_a25|0.0|0|0|0.0|0.0|1|0|1.420015394|4.727387819|-0.05112778|2|0.051906412|-0.255585831|0.006085806|-0.019985937|0.006158124|-0.0469914379999999|-0.365062041|2|-0.085643386|-0.035531959|0.792935475|0.653818362|1|-0.069657015|-0.084207356|0.012870836|-55.27820709|8.449104086|107.22698590000002|0.149573695|98.18816423|5.546443318|-1.76835447|63.96772039|-21.90268583|0.492236681|2844.993903|558.2652611000001|-14.37809314|0.193247006|7.39139255|14.55676745|0.969421506|6315.975408|-762.0389362000001|27.14918443|1.0|3.43|3.06|0.08|-9.59|4.44|4.92|72.7|2.47|2.0|0.0|0.0|1.0|4.0|-5.91|0.0|-5.29|4.03e-06|0.0016899999999999|0.00215|4.16|0.0|0.0|2.58e-10|1.08e-07|-0.05083|3.9479|-1352.298438|-1352.265931|689.55|1202.13|314.05|0.3529|0.42461|0.6714|-1352.024616|0.1756|-0.16347|3.0824|-0.2143|0.03250632|4.1656|207.0|6684.0
2_a20 (SB-505124)|0.0|1|0|3.485765306|-0.09011519|0|1|1.183764955|5.351858133|-0.076310057|1|0.013612077|-0.498602014|0.001622309|-0.137383329|0.003789399|-0.150708132|-0.520284161|1|0.082053195|-0.19681999|0.765632979|0.790275077|0|-0.083565835|-0.117328885|0.02856542|-64.55966745|15.71798823|122.8758934|0.230563934|126.8667205|8.648749117000001|-1.759933279|70.87109323|-21.05206547|0.475937029|2195.369524|423.3785776|-11.58380004|0.1680806939999999|5.952040367|11.3574908|0.908167636|4762.83693|-532.854802|25.30541763|1.0|3.4|3.1|0.3|-7.22|5.16|4.47|60.03|2.06|1.0|0.0|0.0|1.0|4.0|-5.31|1.0|-4.91|5.72e-06|0.0019199999999999|0.0040799999999999|4.27|0.0|0.0|6.070000000000002e-08|2.03e-05|-0.03717|3.6404|-1089.371784|-1089.358727|593.8|995.68|340.58|0.3267|0.69947|0.69947|-1089.147716|0.3267|-0.14928|2.5584|-0.18645|0.01305739|3.9392|169.0|6.7721
7a_a8|0.0|1|0|3.1730222510000003|0.0|1|1|1.4000287219999998|5.4161004020000005|-0.0407248439999999|1|-0.017706371|-0.482688615|0.000736369|-0.019054799|0.002028046|-0.019499132|-0.412963751|1|0.033708575|-0.032562221|0.831914523|0.681200974|0|-0.102174163|-0.101880506|0.035405618|-59.83546383|20.79408196|145.3710976|0.281589625|165.38046830000002|12.2125771|-1.833849114|75.4573633|-25.04740346|0.477611327|2715.360649|421.9297638000001|-14.71059634|0.266115601|7.699041907000001|14.73814865|0.914283468|5907.9340090000005|-632.5556427|34.12990316|1.0|3.34|3.06|0.05|-7.27|3.96|3.49|92.93|2.01|1.0|0.0|0.0|1.0|5.0|-6.33|0.0|-4.64|1.36e-05|0.00522|0.00874|3.24|0.0|0.0|5.3600000000000004e-08|2.05e-05|-0.07616|3.0704|-1291.313963|-1291.287017|605.72|1031.61|403.8|315.0|0.61257|0.70367|-1291.10235|0.1575|-0.12889|9.9646|-0.20505|0.0269461|12.8748|24.73|4.6068
7_a47|0.0|0|0|0.0|0.0|0|0|1.304326965|0.0|-0.143650735|2|-0.128433676|-0.3939082339999999|-0.0091074509999999|-0.0781924059999999|-0.00794321|-0.021071408|-0.46105149|2|-0.04402021|-0.124285418|0.8755534909999999|0.671549194|1|-0.081264417|-0.095957591|0.008915606|-54.113260200000006|5.027768049|103.5602725|0.152677268|86.09912617|2.8353037860000003|-1.631279045|61.47335819|-20.44278719|0.405265781|2491.885862|477.8297898|-11.52827882|0.1830206469999999|6.485224033|10.90440708|0.681423344|5958.904826|-518.7725468|25.02240371|2.0|2.96|3.14|0.09|-9.45|5.63|6.52|58.04|3.69|2.0|0.0|0.0|1.0|4.0|-4.8|0.0|-6.06|3.41e-07|0.000134|0.000345|5.49|0.0|0.0|3.52e-10|1.3900000000000001e-07|-0.05297|3.7203|-1647.996662|-1647.963177|604.84|1043.33|333.26|0.2144|0.69314|0.69314|-1647.7863539999998|0.2144|-0.1544|3406.0|-0.2073699999999999|0.03348545|4.4255|25.0|7.6
25d_a34|0.0|0|0|0.0|0.0|1|1|1.433689841|5.351858133|-0.089654563|1|-0.163072107|-0.8576484190000001|-0.005017781|0.00670464|-0.001685762|-0.211368416|-0.605891389|1|0.14554928|0.011919831|0.799694715|0.778903495|0|-0.100582621|-0.124111479|0.0292772039999999|-82.09024497|19.36462983|174.9700398|0.325717647|215.4372954|12.8082206|-2.358118108|95.24066462|-29.42857839|0.478308897|2939.671168|445.9861716|-19.46475234|0.2227964039999999|6.933980884|13.29135354|0.916843118|6513.063805|-1031.631874|37.86469665|2.0|3.58|3.76|0.12|-8.08|3.05|3.95|90.3|2.26|1.0|0.0|0.0|1.0|5.0|-6.74|0.0|-4.48|2.44e-05|0.0104|0.0141|3.05|0.0|0.0|8.26e-09|3.53e-06|-0.03521|4.2732|-1426.496796|-1426.468726|706.21|1198.19|290.15|0.2106|0.6764600000000001|0.6764600000000001|-1426.243341|0.2106|-0.1771299999999999|6.1995|-0.21234|0.02807001|8.0068|0.95|6.0223
