molecula|SddssS|NaaNH|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1s|n6HRing|MATS7i|AATSC1are|AATSC8d|n5aRing|n5aHRing|MATS1i|MATS1c|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|WNSA4|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
25_a47|0.0|0|0.0|6.86171134|0|1.30432753|1.234859637|-0.1084905069999999|2|-0.055724653|-0.003963349|0.002716049|1|1|-0.108691353|-0.545763902|2|0.8462332770000001|0.004104478|0.906449648|0.622598899|1|-0.08797211|0.020224271|-44.52300552|-53.40631957|12.27779881|11.20142696|129.3338553|-0.031278972|7.453635586|51.5831002|0.6238742279999999|-1.407553754|-18.98891362|56.80080434|2704.5905190000003|-854.5011131000001|1514.111398|-11.52783528|6236.813862|228.3393366|-518.7525876|-150.4037281|1369.668876|17.76440561|0.0|1.0|1.0|1.0|2.0|3.26|3.27|21.0|3.29|4.95|3.08|2.0|109.7|0.0|5.0|-4.99|-6.3|410.83|0.0|3.62|1.01e-05|0.00417|0.00626|3.53|0.0|0.0|9.79e-09|4.02e-06|4.78|3.9878|-1735.414386|-1735.385814|626.55|310.91|287.0|258.29|491.7|-1735.2218059999998|0.0702|3.8832|-0.22919|0.0285712999999999|-1735.279715|5.1625|16.0|7.8|7.8
LY580276_a4|0.0|0|0.0|7.535296702|1|1.344599701|2.067497166|-0.020236527|1|0.0295482979999999|0.010217376|0.011772853|1|1|-0.019747846|-0.191806286|1|0.7921620090000001|0.019144144|0.847526918|0.518109998|0|-0.071023484|0.008729943|-27.6229776|-34.22831819|4.207217677|11.22286434|63.36073061|-0.028035586|2.027582675|82.46094409|0.8478469959999999|-1.065352257|-13.51117823|31.83019528|1948.220005|-513.4247728|1511.5340210000002|-6.511436537000001|4098.640927|73.32703409|-247.4345884|-335.2755182|605.5630025|4.0060099860000005|1.0|1.0|0.0|1.0|0.0|3.01|3.04|17.0|4.49|4.43|3.13|0.0|84.74|0.0|2.0|-3.67|-5.71|293.34|0.0|3.69|0.000213|0.0624|0.0181|3.35|0.0|0.0|2.75e-07|8.08e-05|3.64|4.4918|-959.4958788|-959.4723321|519.23|276.03|0.1905|234.01|402.99|-959.356125|0.1842|2.5355|-0.2099599999999999|0.023546627|-959.404416|3.2891|175.0|6757.0|6757.0
21b_a23|0.0|0|0.0|7.525639975|0|1.197963051|3.351726269|-0.008526338|2|0.057405955|0.01055698|-0.0490623259999999|2|2|-0.069382957|-0.481470603|2|0.7717839409999999|-0.078097375|0.8339434929999999|0.668547062|1|-0.083105261|0.014481931|-41.81114831|-58.25915868|10.15224639|41.6766724|48.56114386|-0.034219814|7.117014296|86.65837165|0.812334718|-1.745210489|-23.98906534|51.9633947|3074.083057|-1223.442332|2531.041828|-16.81701905|6919.229053|131.5587155|-857.6679716|-437.9110924|1506.081551|9.421307298|0.0|0.0|1.0|1.0|1.0|3.59|3.42|26.0|3.92|4.2|2.6|2.0|129.97|0.0|5.0|-6.1|-6.42|450.52|0.0|3.57|8.02e-07|0.000361|0.00273|3.7|0.0|0.0|1.43e-08|6.45e-06|3.57|3.6237|-1761.498874|-1761.4722969999998|735.65|342.15|0.2607|309.79|611.6|-1761.230923|0.2333|9.5312|-0.23434|0.02657688|-1761.294175|13.2567|85.0|7.0691|7.0691
17_a4|0.0|0|-4.533317957|7.535296702|1|1.219995452|1.690442177|-0.319716072|1|-0.01849014|0.001892883|-0.094767116|1|1|-0.0179434139999999|-0.392770755|1|0.772721853|-0.12969185|0.8347553529999999|0.484393047|0|-0.08932566|0.01061251|-45.75108579|-46.06264282|5.472562628|17.08736223|57.34712812|-0.042181562|2.822041259|0.0|0.861696586|-1.5185362180000002|-21.75180355|51.22364842|2351.601697|-783.0649279|1658.726841|-11.21677197|5322.773303|71.31904507|-403.8037909|-373.0328031|908.7478594|6.61489113|1.0|0.0|0.0|0.0|0.0|3.31|2.94|17.0|4.59|6.26|3.66|1.0|85.09|0.0|3.0|-4.36|-5.56|345.29|1.0|4.29|4.39e-05|0.0152|0.00532|4.01|0.0|0.0|2.74e-07|9.44e-05|4.44|4.3363|-1255.994721|-1255.968357|527.39|285.92|0.2045|285.92|413.28|-1255.881628|0.2045|4.8197|-0.21745|0.02636403|-1255.932407|6.3221|877.0|6057.0|6057.0
12a_a32|0.0|1|0.0|7.765993078999999|0|0.609420757|0.0|-0.057200812|0|-0.0134169989999999|-0.003484915|-0.074344282|3|3|-0.0852122769999999|-0.583507277|0|0.845443342|-0.125149165|0.8966299409999999|0.7507116140000001|1|-0.109151429|0.016535497|-53.20970382|-68.06885478|10.31184223|111.9735444|131.7691491|-0.0308471429999999|6.430656017|62.28768050000001|0.667706375|-1.4189685719999998|-19.23685026|63.52154605|2572.916338|-884.8951120999999|3030.946307|-11.99645651|5656.0082|207.2244662|-551.8369996|-209.1696096|1325.275819|13.34486989|1.0|1.0|1.0|1.0|2.0|3.45|2.85|19.0|6.49|4.19|1.1|1.0|110.47|1.0|7.0|-6.01|-6.32|397.52|1.0|3.6|9.78e-07|0.000389|0.0126|3.39|0.0|0.0|2.23e-08|8.86e-06|4.63|3576.0|-1880.771042|-1880.734215|667.68|346.71|0.2908|346.71|548.66|-1880.539078|0.2908|3.0517|-0.20049|0.03682626|-1880.600043|4.2371|25.0|7.6021|7.6021
6b_a40|0.0|0|0.0|8.421342866|1|0.604892326|1.710647518|-0.069975812|0|-0.137534783|-0.003851208|-0.226457281|2|2|-0.018582337|-0.630957955|0|0.842573207|-0.307881994|0.90571269|0.6462648870000001|1|-0.118488624|0.014588568|-72.13527644|-79.36130196|9.771129787|176.8246355|165.1465831|-0.049599889|6.544506614|34.43877986|0.878140798|-2.132795227|-33.22101012|81.90640622|3214.047452|-1428.503435|4049.386572|-22.2507658|8482.600495|81.61884754|-956.7829293|-506.5422338|1626.736212|7.929311055|1.0|0.0|1.0|1.0|1.0|4.02|3.36|14.0|5.67|4.38|2.61|2.0|130.16|1.0|5.0|-8.41|-5.85|511.42|1.0|4.21|3.86e-09|1.98e-06|0.000335|5.03|1.0|1.0|6.21e-06|0.00318|8.98|3.1026|-3290.775349|-3290.745084|687.2|399.62|0.4962|399.62|552.01|-3290.583786|0.4962|8193.0|-0.21904|0.03026498|-3290.648012|11.3203|0.03|7.5229|7.5229
21_a12|0.0|0|0.0|6.605297921|1|0.609915045|0.0|-0.058516436|3|-0.213225401|-0.003879878|-0.0546514309999999|1|1|-0.116098308|-0.522951134|2|0.835359152|-0.099516604|0.89838263|0.859899236|0|-0.100098765|0.012230115|-34.60932333|-50.37198585|6.154473157000001|75.46830038|76.35009799|-0.036878492|3.097071518|0.0|0.770818357|-1.401382713|-18.55810005|40.76379649|2185.835701|-705.2078018999999|1080.052791|-9.338859985|4652.242111|115.3294396|-354.8766794|-272.5639702|914.8819508|8.736422872|1.0|1.0|1.0|1.0|1.0|4.05|2.81|17.0|4.01|2.25|1.82|0.0|98.16|0.0|3.0|-3.82|-6.45|319.38|0.0|2.68|0.00015|48.0|0.0551|2.53|0.0|0.0|1.67e-07|5.3200000000000006e-05|2.56|3.9971|-1327.479547|-1327.451966|539.67|310.18|0.3665|264.64|397.31|-1327.347724|0.1668|2327.0|-0.22253|0.02758166|-1327.397348|3.2551|22.0|7.6576|7.6576
28_a20|0.0|0|0.0|6.842683282|0|1.417203216|1.837209467|-0.114439513|3|0.091462964|0.002234763|-0.039965901|1|1|-0.016955137|-0.447096101|3|0.755701837|-0.06654421|0.812553182|0.690655217|1|-0.091179288|0.014682607|-57.59898971|-60.85602167|9.799649234|318.7453661|145.66665480000003|-0.035068957|6.540604536|88.39175809|0.773641727|-1.823585765|-23.40616218|67.39863895|2865.917291|-1217.120433|2449.815677|-15.62203369|6348.941881000001|151.0788711|-812.3457521|-365.2747728|1573.2352460000002|11.12858789|0.0|1.0|1.0|1.0|1.0|3.45|2.86|27.0|3.93|4.01|1.73|1.0|122.8|0.0|5.0|-4.42|-6.96|420.47|0.0|3.04|3.77e-05|0.0159|0.0156|2.68|0.0|0.0|1.57e-09|6.590000000000001e-07|4.64|3.5798|-1368.363151|-1368.32781|704.42|346.35|0.2354|258.81|531.85|-1368.085242|0.0153|3.5284|-0.21814|0.03534166|-1368.146882|4.7428|255.0|6.5935|6.5935
25_a12|0.0|0|0.0|0.0|0|1.404967476|0.0|-0.045725323|2|-0.089297664|0.000864238|-0.11195017|0|0|-0.0542354559999999|-0.4288076329999999|2|0.638255008|-0.208172827|0.688743998|0.806844014|1|-0.080147596|0.004952762|-28.517955|-41.75851719|2.580489093|37.96125329|27.12578432|-0.03323193|1.3444869730000002|0.0|0.917298637|-1.362509125|-17.31450713|31.09844409|2067.69985|-709.8947922|1907.027255|-9.021208163|4329.321091|43.08908189|-369.8695347|-434.8420476|773.8971409|2.666764531|1.0|1.0|0.0|1.0|1.0|2.81|3.43|22.0|4.7|5.35|3.2|1.0|99.48|0.0|3.0|-5.28|-4.82|311.38|0.0|4.29|5.19e-06|0.00162|0.00175|4.76|0.0|0.0|1.6399999999999995e-09|5.12e-07|4.73|3.4532|-974.6569575|-974.6328337|560.14|359.04|0.4483|290.68|442.64|-974.458128|0.1897|1.2494|-0.19655|0.024123749|-974.508059|2.2482|22.0|7.6576|7.6576
6_a4|0.0|0|0.0|7.535296702|1|1.271761557|2.170234316|0.010164572|2|0.042096749|0.011457667|-0.208689928|1|1|-0.046166422|-0.1738111839999999|2|0.76089528|-0.340860215|0.810030118|0.664247086|1|-0.0670158929999999|0.0077624059999999|-29.18838891|-37.33240845|4.324187697|14.1731579|30.33467048|-0.024618083|2.408866521|45.93422613|0.814470803|-1.206286076|-13.71394596|33.5125766|2342.371538|-671.9833521|1968.0178670000005|-7.639600225|5256.215815|103.3523757|-374.340411|-350.36323230000005|825.0551765|4.937800786|0.0|1.0|1.0|1.0|0.0|3.38|3.45|21.0|5.1|5.23|3.09|2.0|109.7|0.0|3.0|-4.91|-5.42|354.45|0.0|4.23|1.24e-05|0.0043799999999999|0.00274|4.28|0.0|0.0|1.04e-08|3.67e-06|4.11|4.0354|-1108.585859|-1108.563418|613.83|307.24|0.1235|254.51|453.87|-1108.338577|0.0772|2.8026|-0.2182599999999999|0.02244097|-1108.392115|3.2192|1.3|5.8861|5.8861
