molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
13d_a6|0.0|0|0|3.447870607|0.0|1|1|1.424214188|0.0|-0.045686501|-0.010665225|5.351858133|0.041728395|0.077158715|-0.607917822|-0.003346018|-0.042531782|-0.10528143|1|-0.174259072|-0.49314765|1|0.845481322|0.786837131|-0.027209556|0.7995080809999999|0.78862121|-0.092581323|-0.110731261|0.19992155|-63.04181168|-75.40072983|20.96853949|156.67194009999997|0.21137879|143.9350986|14.27820079|-42.92734103|88.02705449|84.01035117|0.4128711229999999|536.999346|-1432.613867|0.230567155|9.086171078|0.703203572|6185.117192000001|157.0011174|-975.5161277|35.13035671|0.018542644|-366.9322097|1861.908905|692.8471883999999|12.62632467|1.0|2.0|3.64|5.38|4.57|1.5|2.0|0.0|121.6|0.0|1.0|6.0|32.0|5.0|-5.88|423.47|0.0|3.74|-5.27|1.11e-06|5.42e-06|0.00229|0.0|3.96e-10|-0.05252|4.85|-1389.403308|-1389.374844|341.57|255.64|598.06|0.7007399999999999|-1389.125098|-0.14894|11.0994|-0.20146|-1389.188211|14.0012|0.36|6.4437
12c_a31|0.0|0|0|3.387641566|0.0|1|1|0.6101358029999999|0.0|0.046986783|-0.013026643|5.733341277|0.040982906|-0.030192572|-0.690412101|-0.003618466|-0.094991098|-0.056866055|2|-0.223856622|-0.54466023|0|0.8083148840000001|0.842823186|0.066071056|0.770283733|0.665463503|-0.104643824|-0.129736755|0.343619017|-66.41224264|-82.33748068|19.38414321|153.400467|0.334536497|212.313715|12.30215386|-42.14855504|97.28775086|85.79638585|0.448512808|422.3366652|-1152.7247289999998|0.3182913|8.091269314|0.813278739|5676.394271|202.0036947|-731.5771879|33.81868912|0.023556702|-230.6429907|1690.934456|583.9691392000001|14.95027019|1.0|2.0|3.69|5.64|3.7|1.08|2.0|0.0|108.16|0.0|1.0|8.0|28.0|5.0|-6.53|398.48|0.0|3.32|-4.16|5.85e-06|6.94e-05|0.0277|0.0|5.79e-08|-0.0338399999999999|3.8328|-1618.1530810000002|-1618.112841|323.48|323.48|578.69|0.7007399999999999|-1617.888981|-0.15904|1.6786|-0.19288|-1617.951882|2.2908|0.38|6.4202
12au_a36|-3.3109381210000004|0|0|3.422314661|0.0|2|2|0.2992539489999999|0.0|0.074839187|-0.009897048|5.351858133|0.044036281|0.075815782|-0.613616984|-0.006862238|-0.023640632|-0.03802163|1|-0.261631709|-0.515924985|1|0.8183043390000001|0.825565083|-0.021932444|0.750657639|0.698996981|-0.090166553|-0.110305773|0.284342092|-64.86748076|-79.35600767|15.51748637|102.3999102|0.301003019|216.5471227|11.16356587|-46.66686194|95.91776213|80.38496714|0.492871181|502.8713191000001|-1587.1201529999998|0.283941389|8.963940512999999|0.97188557|7239.100414|204.2726719|-1141.803508|38.21494522|0.023021031|-310.873098|2216.466823|805.2286932|16.56175445|0.0|3.0|5.0|1.28|2.15|0.84|1.0|0.0|142.02|0.0|1.0|7.0|34.0|6.0|-8.03|474.54|0.0|1.18|-3.72|0.0001409999999999|0.0001889999999999|0.0897|0.0|1.36e-07|-0.0570899999999999|5.1307|-1876.207937|-1876.156196|334.15|241.65|618.65|0.70395|-1875.89525|-0.15162|6.1367|-0.2087099999999999|-1875.960827|8.0814|47.0|7.3279
16i_a32|0.0|1|1|3.352437091|0.0|0|0|0.6094207429999999|0.0|0.175604846|-0.0146198339999999|5.733341277|0.0439583329999999|-0.056414399|-0.7748511779999999|-0.003511776|-0.104899053|0.006037736|3|-0.211019184|-0.700853898|0|0.801401734|0.836966894|0.134577711|0.761506727|0.801494708|-0.0857355019999999|-0.114771536|0.5368697929999999|-56.03343427|-75.01027196|14.59730623|90.08098301|0.198505292|129.7354415|9.540239197|-36.62130242|88.80827938|70.6307405|0.455596751|523.8261846|-1200.164351|0.281035887|6.848009314|0.836873682|6355.471589|183.6742715|-784.3813651|33.38593207|0.021112022|-286.2130831|1669.296604|636.0251562999999|13.79800742|1.0|2.0|3.75|6.25|4.85|1.34|3.0|0.0|116.75|1.0|1.0|8.0|29.0|5.0|-5.93|427.54|0.0|3.96|-5.09|9.25e-08|8.18e-06|0.0035|0.0|4.01e-08|-0.05044|3.6176|-1995.307733|-1995.279632|342.72|342.72|573.38|0.70222|-1995.055356|-0.14976|3353.0|-0.2002|-1995.11813|4.0568|6.0|8.2596
3t_a32|0.0|1|1|3.4477303|0.0|0|0|0.609420752|0.0|0.028840888|-0.006089333|5.733341277|0.03995614|0.028527045|-0.304466646|9.83e-05|0.012069208|-0.086478322|3|-0.122301673|-0.496165036|0|0.710773544|0.822076702|0.0466380209999999|0.687253845|0.828676243|-0.080203824|-0.0974995|0.217914628|-50.65701113|-61.58101978|8.995863948|97.01046154|0.171323757|108.2086749|5.681818647999999|-31.99514268|72.43498782|59.65287508|0.481726305|523.3947687|-800.5532571|0.315525518|8.107111779|0.929482453|5525.861115|199.2870037|-505.632194|24.88485469|0.017184783|-233.0294362|1169.58817|582.0730423|10.85396804|1.0|1.0|3.58|7.65|5.42|1.74|2.0|0.0|112.48|0.0|1.0|7.0|27.0|4.0|-5.81|396.53|0.0|4.46|-4.93|3.28e-07|1.16e-05|0.00462|0.0|9.86e-09|-0.05507|3.5487|-1864.708995|-1864.678788|349.38|349.38|575.45|0.70286|-1864.472646|-0.14739|1.2641|-0.20246|-1864.534478|2.7003|9.0|8.0458
12ak_a36|0.0|0|0|3.501132553|0.0|2|2|1.270373882|0.0|-0.052930979|-0.006465433|5.351858133|0.041728395|0.12041792|-0.407322296|0.0042553209999999|-0.116440196|-0.015708652|1|-0.163978382|-0.439326642|1|0.901715152|0.815627016|0.051506104|0.860667615|0.848705143|-0.069176342|-0.091761476|0.537460657|-49.87483724|-66.15829243|14.3700664|113.186508|0.151294857|109.0807368|10.36054668|-35.95881638|79.17567486|64.24490364|0.423822657|611.9003905000001|-1389.324141|0.262560805|7.98672125|0.735576751|6240.396899|189.3013851|-1001.676485|31.93194362|0.018055095|-342.3783571000001|1883.984673|799.5563855|13.01738243|1.0|2.0|5.05|3.85|3.01|2.66|2.0|0.0|138.33|0.0|1.0|6.0|32.0|4.0|-6.19|423.51|1.0|2.66|-4.86|1.13e-05|1.39e-05|0.00589|0.0|4.2e-08|-0.04929|3.8734|-1350.900117|-1350.865407|336.05|320.09|584.05|0.7034699999999999|-1350.57563|-0.15275|6.3682|-0.20204|-1350.637958|8.5394|46.0|7.3372
4_a38 (LY-2157299)|0.0|0|0|0.0|0.0|1|1|1.343847059|2.0959524330000003|0.050460026|-0.00638266|5.4161004020000005|0.041252955|-0.0501467259999999|-0.325515636|0.002865697|-0.159241692|-0.020954339|1|0.0481706809999999|-0.463575124|2|0.702976795|0.8099394329999999|-0.041794304|0.6848692759999999|0.754313773|-0.092570349|-0.089446059|0.459041332|-52.90108631|-51.11565158|7.104736984|260.7739337|0.2456862269999999|140.40206619999998|4.060137052|-30.23133173|58.99645489|60.00582329|0.487041509|431.0669496|-868.9660769|0.213882939|6.54753874|0.949475478|5566.495502000001|122.2274724|-496.5871888|23.51893991|0.01379043|-327.0140711|1105.390176|542.7276591|7.880803302999999|0.0|1.0|3.27|3.69|3.51|1.84|1.0|0.0|108.18|0.0|1.0|3.0|28.0|4.0|-6.86|369.42|0.0|2.81|-3.99|0.0001409999999999|0.000102|0.0375|0.0|7.45e-08|-0.06|4.65|-1198.683473|-1198.64695|327.69|266.68|449.44|0.68|-1198.442536|-0.16|5.9043|-0.22|-1198.49738|7.6529|69.0|7.1586
6f_a40|0.0|0|0|0.0|0.0|1|2|0.604893424|1.750582483|0.134099184|-0.01691341|6.401917197|0.038309179|-0.122783873|-0.8287570679999999|-0.009302776|0.075227997|-0.190617284|2|0.092206207|-0.628934821|0|0.7710013309999999|0.836826225|-0.032826285|0.742681934|0.655786513|-0.134203859|-0.130571562|0.363785804|-86.21963207|-83.88605319|10.2782635|207.7174501|0.344213487|221.1408856|6.6032981820000005|-55.39203581|92.77827871|96.49789556|0.410805404|421.31181889999993|-1509.948957|0.137191276|6.993991456|0.69723213|7328.308886|88.13890599|-970.0707913999998|38.88975659|0.013841059|-466.1748926|1750.039046|593.503189|8.892225517|1.0|2.0|4.05|3.66|2.66|1.1|1.0|3.0|124.54|1.0|3.0|5.0|30.0|5.0|-6.9|457.55|0.0|2.61|-4.64|1.13e-07|2.3e-05|0.0105|1.0|0.0002109999999999|-0.08982|3.5741|-2426.972609|-2426.924155|482.43|346.89|507.64|0.69911|-2426.725129|-0.1131799999999999|6.2384|-203.0|-2426.787111|8.7269|42.0|7.3768
8e_a12|0.0|1|1|0.0|0.0|1|1|1.283834633|1.873617728|0.050021617|-0.006350143|4.727387819|0.037430556|0.0661362779999999|-0.330207456|0.005196034|-0.087658302|-0.0309579439999999|1|-0.136145064|-0.448676455|1|0.83954453|0.761892879|-0.036433876|0.797199175|0.939627917|-0.05202522|-0.087795345|0.001151979|-29.79080011|-50.273571200000006|8.884082475|51.38557748|0.060372083|34.57040021|5.0872236|-17.05887601|61.4656313|38.67488258|0.45384745|538.051884|-854.6507103|0.2887421289999999|6.446557205|0.830990262|5490.975165|165.34017769999997|-489.392042|25.03342862|0.019545275|-241.94192880000003|1201.604574|561.9859171|11.19206011|1.0|1.0|4.11|3.34|2.68|3.05|2.0|0.0|117.04|0.0|1.0|3.0|28.0|4.0|-6.03|366.42|1.0|3.12|-4.69|4.25e-05|2.03e-05|0.00744|0.0|1.19e-08|-0.05739|5.247999999999999|-1177.619013|-1177.593205|375.21|236.25|481.04|0.6954899999999999|-1177.380602|-0.13599|1.0295|-0.19338|-1177.436953|1.9327|588.0|6.2306
2_a47|0.0|0|0|0.0|0.0|0|0|1.381899691|0.0|-0.002024001|-0.008527649|0.0|0.027058824|-0.004557357|-0.3581612489999999|-0.007479445|0.107297513|-0.013580367|0|-0.0274111779999999|-0.444853768|2|0.916092248|0.671819147|0.115527282|0.875463345|0.847324011|-0.083455669|-0.095655954|0.482748996|-41.57671973|-47.65477123|4.240150185|99.5619537|0.152675989|76.06154148|2.112397382|-20.71307621|55.81329383|45.81686991|0.433425706|422.1277419|-714.8215685|0.215021885|5.308758149|0.764993595|4559.060763|107.1215986|-356.116445|23.34938746|0.016376351|-283.9460863|910.626111|392.6099255|8.158522603|1.0|2.0|2.58|3.7|4.75|2.39|1.0|0.0|96.54|0.0|1.0|3.0|24.0|3.0|-5.0|313.35|1.0|3.58|-5.11|3.46e-06|7.75e-06|0.00243|0.0|1.51e-08|-0.05285|3.7181|-1010.540464|-1010.505024|333.46|333.46|371.19|0.69102|-1010.364507|-0.15446|2.1266|-0.20731|-1010.412694|3.1004|631.0|6.2
