molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|SaasN|AATSC1c|SRW07|AATSC1s|SaaaC|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|DPSA2|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
12h_a30|0.0|0|7.412764017000001|2|2|0.0|-0.00737961|5.351858133|-0.06631353|0.0|-0.391119352|-0.072247675|1|0.002064369|-0.0541804029999999|-0.120380857|1|0.669561738|0.831176513|0.008644634|-0.1240820219999999|0.888213143|0.64876559|0|-0.09907575|0.353607682|-63.03519645|11.06352871|89.66095835|150.42542849999998|-0.038417127|-40.10503079|7.038974807000001|0.0|0.7979748729999999|-1.882439244|-33.64938551|73.14241438|-24.44221903|0.468446216|2848.98238|-1197.668733|2268.811589|-15.55093031|8.066818026|15.1759206|0.881277172|6252.192213|128.5349203|30.63031164|1500.88527|10.10721793|0.0|1.0|1.0|0.0|4.63|0.0|-6.9|3.18|2.0|127.24|1.0|5.0|-6.02|416.47|2.92|-5.01|4.12e-06|3.97|0.0|0.0|1.26e-07|5.260000000000001e-05|5.0289|4.07|3.5101|-1675.011389|672.54|1132.06|353.22|518.06|0.68543|-1674.777786|155.0|-0.2023599999999999|3.4138|9.0|8065.0|8065.0
14t_a23|0.0|1|7.423568444|0|0|3.410065804|-0.005383494|5.351858133|-0.024472753|0.758345646|-0.290708696|-0.093434862|2|0.01180744|-0.074441567|-0.136106024|2|0.725800261|0.7629258809999999|0.113493155|-0.152771194|0.820002545|0.6906097959999999|1|-0.079253435|0.361071229|-51.65035498|11.36130649|36.6149406|51.51331913|-0.033286443|-33.66111722|7.404291213|42.20767549|0.799945841|-1.6643221380000002|-23.52629623|61.0040156|-21.69314909|0.465981891|2878.4071670000003|-1084.657455|2286.063655|-14.13766923|7.55064865|14.13931199|0.872595673|6523.656379|130.3775455|27.11827225|1355.9136119999998|9.353660614|0.0|1.0|1.0|1.0|3.52|3.49|-7.78|4.33|2.0|125.25|1.0|5.0|-6.1|425.51|3.78|-5.25|1.43e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|3.9855|3.79|3.2060000000000004|-1669.240512|692.08|1184.43|386.72|534.86|0.68886|-1668.980578|0.0003|-0.22291|8.3062|4.0|8.3979|8.3979
12ar_a36|0.0|0|7.412764017000001|2|2|0.0|-0.007046017|5.351858133|0.000258844|0.0|-0.40866901|-0.036002609|1|0.002112069|-0.096853381|-0.169341326|1|0.86559137|0.8371588959999999|-0.017348015|-0.064014394|0.89459881|0.8196353679999999|0|-0.098732471|0.317338373|-66.9989409|15.19305207|86.85924228|110.9204982|-0.0347392029999999|-45.46486105|10.30986449|0.0|0.705591187|-1.875916952|-37.18892821|82.17472548|-23.57370143|0.4743067589999999|2902.67985|-1272.979877|2404.999137|-15.99689556|8.770514183|16.68371115|0.902250063|6155.432771|199.7830951|33.4098581|1804.132337|15.17578458|0.0|0.0|1.0|0.0|4.86|0.0|-7.05|1.95|1.0|133.27|1.0|6.0|-7.21|420.47|1.8|-3.91|0.0001199999999999|2.33|0.0|0.0|8.95e-08|3.76e-05|5225.0|3.23|3.8489|-1364.511244|717.19|1211.1|322.13|580.53|0.67174|-1364.235126|0.2372|-0.21291|8.7322|25.0|7.6021|7.6021
26_a47|0.0|1|6.86171134|0|0|1.06819297|-0.012090143|4.727387819|-0.200192886|0.956774672|-0.544056455|0.0081426509999999|1|-0.008325552|-0.035472095|-0.079370393|2|0.6850994429999999|0.845040087|-0.11288313|0.0120097289999999|0.910081385|0.651797437|1|-0.101679756|0.549740398|-59.08415114|12.13564316|9.608109253|168.2587945|-0.038735145|-34.3326642|7.0517889060000005|60.07342336|0.717639177|-1.626876095|-33.13315474|73.39007585|-22.50824805|0.474969855|2625.572598|-945.3464183|1341.904566|-13.07911017|6.945070057000001|13.22794532|0.90465254|5994.406615|164.0744453|31.36429668|1317.300461|14.3059247|1.0|1.0|0.0|1.0|3.13|2.66|-7.22|4.68|1.0|104.8|1.0|4.0|-6.51|396.81|3.18|-4.56|1.3699999999999998e-05|3.12|0.0|0.0|5.97e-08|2.37e-05|4.7963|4.37|3992.0|-1696.096597|592.84|1006.59|310.58|443.78|0.68707|-1695.9387359999998|77.0|-0.22921|4.8242|13.0|7.9|7.9
24_a47|0.0|1|6.86171134|0|0|1.225600378|-0.010774404|4.727387819|-0.1160443999999999|1.081401467|-0.484848181|0.071506228|1|-0.004514441|-0.111494046|-0.2494728939999999|2|0.662080166|0.812650394|-0.005097239|0.113432542|0.875198713|0.627160379|1|-0.090995097|0.214985826|-51.21152885|12.11301576|41.72753688|121.5922303|-0.032498249|-28.82156035|6.81713713|47.170683|0.611603578|-1.364926459|-24.03877652|69.27912772|-18.28983173|0.479188295|2642.775318|-768.1729327|1239.381181|-10.29341441|7.024694045|13.48797266|0.920079732|6022.202634|218.5873217|29.90471672|1255.998102|18.06759887|1.0|1.0|0.0|1.0|3.14|3.12|-7.63|4.64|1.0|104.73|1.0|5.0|-6.48|396.81|3.31|-4.52|2.46e-05|3.16|0.0|0.0|2.32e-08|9.22e-06|3.9675|4.46|3.9675|-1696.105723|578.94|1002.04|312.5|450.98|0.6835|-1695.93106|0.2618|-0.2285|3.6008|3.0|8.5|8.5
9_a47|0.0|0|0.0|0|0|0.0|-0.008501246|0.0|-0.1789147139999999|1.323246814|-0.382556052|0.045804989|0|-0.007880155|-0.021556658|-0.045757939|2|0.7033922579999999|0.792070785|0.046690958|0.075092937|0.853035126|0.689770023|1|-0.0969292319999999|0.492394184|-50.70744657|4.991260197|107.3271659|101.9336202|-0.036925422|-26.52703503|2.611122094|0.0|0.790651977|-1.550867715|-23.08946904|58.96976407|-19.3171225|0.482896681|2292.652212|-811.319145|1333.091472|-10.10553715|5.653392499|10.93281031|0.93384951|5212.504394|109.5180831|24.43189048|1026.1394|8.262317504|1.0|0.0|1.0|1.0|2.87|2.78|-8.47|5.61|1.0|101.46|1.0|3.0|-5.26|345.37|4.09|-5.2|4.29e-06|4.43|0.0|0.0|3.4000000000000003e-09|1.17e-06|5.7429|4.06|3.7183|-1149.090086|566.1|959.59|333.44|406.35|0.69084|-1148.896866|0.2208|-0.20488|3.4815|25.0|7.6|7.6
15a_a10|0.0|0|7.535296702|1|1|2.141907675|-0.00244937|5.4161004020000005|0.022297552|2.038992189|-0.144512841|-0.062038567|1|0.01192767|-0.179723568|-0.285973309|2|0.7408341359999999|0.77630271|-0.0232534929999999|-0.1074837719999999|0.820233357|0.713078124|1|-0.076864276|0.754451037|-49.47045259|10.10411407|42.41151044|54.61835033|-0.025155581|-31.83957238|6.503087289|122.7715002|0.676473201|-1.3835569680000002|-18.99256188|60.98047923|-16.19032994|0.407638879|2656.305166|-890.4681466|2413.560937|-10.42022369|6.71451044|11.33516398|0.68815941|5929.563906|208.2243923|23.93343877|1316.339132|11.51002664|1.0|1.0|1.0|1.0|3.5|3.58|-7.79|4.05|1.0|118.92|1.0|6.0|-6.52|399.49|3.33|-4.4|0.000108|3.12|0.0|0.0|1.63e-08|6.51e-06|5.7646|2.4|3.7639|-1278.452284|687.57|1179.28|329.41|563.27|0.68863|-1278.141052|0.1583|-0.20335|6.1108|24.0|7.6198|7.6198
18a_a25|0.0|0|6.842683282|0|0|1.875390684|-0.0029953159999999|4.727387819|-0.019008377|2.050257213|-0.170732995|-0.019985937|1|0.007325341|-0.037072518|-0.06333068|2|0.761417363|0.7385460309999999|-0.039007784|-0.035531959|0.792935475|0.7291583840000001|1|-0.078181889|0.341320954|-51.83514755|6.317215793|75.74077952|45.33086513|-0.03097773|-34.36707071|4.188358905|0.0|0.817072039|-1.641819678|-24.58404782|59.45091020000001|-20.53845469|0.493301255|2857.88027|-1088.538099|2331.966135|-13.61714122|7.39539242|14.59524518|0.973559258|6523.923911999999|121.2825364|25.136651|1332.242503|7.615762647|1.0|1.0|1.0|1.0|3.5|3.43|-9.78|5.72|2.0|133.85|1.0|6.0|-5.58|435.54|4.53|-5.77|4.65e-07|4.76|0.0|0.0|1.67e-10|7.28e-08|5.4965|4.51|3.1711|-1675.274716|694.17|1229.09|390.98|556.26|0.5274399999999999|-1674.982248|0.0027|-0.21323|4.3839|94.0|7.0269|7.0269
19f_a38|0.0|0|7.412764017000001|2|2|0.0|-0.007831113|5.351858133|-0.084341564|0.0|-0.4228801179999999|-0.054832432|1|-0.000673716|-0.101303149|-0.217394466|1|0.724208473|0.819222745|-0.075025988|-0.094149094|0.8741648479999999|0.698414933|0|-0.111307609|0.488059925|-71.10679028|13.4639011|125.7493111|159.14822980000002|-0.037844587|-45.42524686|8.601162122|12.14075726|0.734437553|-1.892229356|-34.81887413|84.35196967|-24.1763087|0.453960261|2776.145209|-1208.815435|2846.860803|-15.44458393|6.164440995|11.28936331|0.8313685409999999|6115.273372|169.6496169|32.91812709|1645.906354|13.24517938|1.0|1.0|1.0|1.0|4.82|2.48|-6.86|2.55|1.0|125.69|1.0|5.0|-6.77|401.44|2.67|-4.17|7.209999999999999e-05|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|5.3197|3.41|3.4422|-1332.190216|653.22|1105.62|360.19|495.68|0.7056100000000001|-1331.945195|0.0019|-0.20104|7.1655|73.0|7.1397|7.1397
16_a47|0.0|1|6.605297921|0|0|0.0|-0.0056780519999999|4.59511985|-0.1246612469999999|1.491023983|-0.23280014|0.0506476009999999|1|-0.004153659|-0.02006804|-0.0574194159999999|2|0.591929006|0.812131575|-0.113476605|0.081171071|0.87782381|0.57616624|1|-0.092995116|0.421094692|-48.19609034|9.676588112|63.13219447|159.6978638|-0.034261359|-24.97833451|5.0150344780000005|0.0|0.697929921|-1.301931629|-25.03540372|60.36423869|-17.75645434|0.473257697|2315.178558|-674.7452647999999|833.8646097|-9.202544293|6.855429069|13.01476838|0.898461533|4952.972679|156.55227280000005|25.44160067|966.7808252999998|12.16814835|1.0|0.0|1.0|1.0|2.93|1.95|-8.17|5.19|0.0|91.55|1.0|3.0|-6.04|337.33|3.52|-4.42|4.56e-05|3.27|0.0|0.0|6.8099999999999994e-09|2.3e-06|4.4393|2.95|4.0806|-1167.046301|534.69|894.43|303.84|395.28|0.6743899999999999|-1166.901251|0.0909|-0.22568|3.8601|1.0|9.0|9.0
3j_a32|0.0|1|8.234564993|0|1|0.0|-0.006580847|6.3044488020000005|-0.017889768|2.248764828|-0.269814716|-0.052622352|3|0.001173363|-0.052818794|-0.097980957|0|0.812195122|0.824282683|-0.020129489|-0.084553991|0.8884057059999999|0.7557114|1|-0.095013178|0.27811778|-50.46105839|7.315176208|47.55031019|71.64373163|-0.030815085|-26.79963418|3.885056172|0.0|0.7487739999999999|-1.140158136|-19.82606536|58.58770587|-16.36574867|0.4482615029999999|2282.569698|-605.5327007000001|1778.1826620000002|-8.691773249|5.900829539|10.69497519|0.812452828|4866.613493|133.42496409999998|21.85672669|808.6988876|8.126647477|1.0|1.0|1.0|1.0|3.27|3.0|-6.69|4.93|1.0|95.74|1.0|3.0|-5.6|338.45|4.09|-4.8|1.21e-06|3.89|0.0|0.0|2.03e-07|6.86e-05|3.4982|3.02|3.4982|-1671.507439|564.55|934.19|354.42|405.19|0.7028|-1671.351322|0.3005|-0.19859|5.9266|8.0|8.0969|8.0969
14d_a23|0.0|1|7.423568444|0|0|3.405551724|-0.005343003|5.351858133|-0.026530366|0.758207139|-0.288522152|-0.054430189|2|0.01180744|-0.074441567|-0.136106024|2|0.725800261|0.772008792|0.006563565|-0.088996384|0.829764975|0.6906097959999999|1|-0.078282292|0.213597535|-51.58357156|12.25371621|39.26987634|51.59888942|-0.032878563|-33.99063559|8.074501042|83.40396369|0.790346608|-1.6439281280000002|-23.33262837|61.49227899|-21.66510006|0.454495683|2878.955374|-1083.255003|2261.37838|-14.27606695|7.832720777|14.358677900000002|0.833166062|6459.554383|138.1496441|27.41215037|1370.607518|9.908707432|0.0|1.0|1.0|1.0|3.52|3.62|-7.78|4.33|2.0|125.25|1.0|5.0|-6.1|425.51|3.8|-5.25|1.43e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|3688.0|3.79|8.1555|-1669.24571|696.21|1186.17|3688.0|554.84|8.1555|-1668.983743|336.18|-0.22152|8.1555|4.0|8.4001|8.4001
18_a47|0.0|1|6.605297921|0|0|0.0|-0.004337918|4.59511985|-0.06345679|1.5913490630000002|-0.2342475789999999|-0.016728205|1|0.0015586929999999|-0.02470455|-0.053119347|3|0.646771311|0.792196273|-0.059779939|-0.027351545|0.851462739|0.630969651|1|-0.084415066|0.454324931|-52.88049505|9.234746417|70.55642796|139.1786571|-0.0303894239999999|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|-1.5194711930000002|-30.97660579|63.72933669|-19.03697822|0.432077184|2800.3745940000003|-951.8489108|2184.962887|-11.9254166|7.018342267|12.35791568|0.7608026529999999|6261.441874|167.41554630000002|25.98023687|1299.011844|10.84884165|1.0|0.0|1.0|1.0|3.47|2.5|-10.36|6.0|2.0|119.78|0.0|4.0|-5.87|410.45|4.16|-5.37|3.13e-06|4.13|0.0|0.0|4.34e-11|1.78e-08|4.2668|3.32|4.2222|-1354.221126|652.12|1130.76|293.65|487.81|0.63359|-1353.979194|0.0516|-0.22313|5.3433|3.0|8.6|8.6
8a_a50|0.0|1|7.860570786|1|1|2.03117465|-0.00439531|5.777652323|-0.021959577|1.99158738|-0.188998337|-0.058014797|2|0.007801731|-0.065546446|-0.11385159|1|0.75162266|0.804535572|-0.188882361|-0.095292123|0.8718949979999999|0.7135713840000001|1|-0.08230347|0.278028663|-41.48493288|9.480859015|133.8183888|70.12485884|-0.031655181|-20.91041439|4.778811898|0.0|0.751415713|-1.234552044|-17.58335405|50.06249379|-15.95574341|0.46183401|2206.356773|-622.2739931|1503.563342|-8.042467074|5.754657432|10.69309012|0.858162757|4638.284496|125.2985144|21.23424244|828.1354551|8.577560914|1.0|0.0|1.0|1.0|3.34|2.01|-6.32|3.71|0.0|94.75|1.0|2.0|-6.12|313.36|2.87|-4.13|0.000138|2.95|0.0|0.0|4.82e-07|0.000151|5.622000000000001|2.69|4.1738|-1006.671867|548.47|912.7|297.06|396.63|0.60625|-1006.508913|0.1217|-0.20051|5.5319|47.0|7.3279|7.3279
21_a4|0.0|0|7.535296702|1|1|2.026698554|-0.003068098|5.4161004020000005|-0.014982235|0.0|-0.131928225|-0.104638158|1|0.012094249|-0.063064908|-0.099702401|1|0.6952936|0.777866961|0.090847781|-0.174578783|0.833191212|0.674434042|0|-0.076470465|0.239652988|-38.7880598|10.23237244|63.37635587|34.4171635|-0.028676424|-19.67444009|5.190159022|66.03320922|0.7231676229999999|-1.147056976|-14.70482428|47.69702403|-14.54552243|0.401240904|2045.488184|-581.8208971|1584.866567|-7.377915035|5.961506745|9.956436217|0.670120767|4277.396118|140.4174905|20.11362507|804.5450027|8.908964226|1.0|1.0|1.0|1.0|3.37|2.92|-5.94|3.85|0.0|91.59|2.0|3.0|-5.76|303.36|3.23|-4.19|0.000133|3.36|0.0|0.0|1.16e-06|0.000352|5.1623|3.31|4.0245|-973.5683008|549.71|916.76|308.08|446.0|0.66476|-973.400097|0.1457|-0.19588|2.9409|121.0|6.9172|6.9172
47u_a18|0.0|0|7.03438793|1|1|0.0|-0.010219187|4.844187086|-0.0872206669999999|0.0|-0.633589579|-0.033209663|0|0.00082284|-0.126628013|-0.1904128389999999|0|0.664796402|0.7517870059999999|-0.0112778039999999|-0.053126304|0.7960273840000001|0.646724968|0|-0.092271172|0.33777918|-64.32800179|14.42377665|86.37253771|180.5187465|-0.0344062|-44.84707106|10.0557163|77.59162925|0.721837463|-2.029965788|-43.92035521|79.06741651|-23.98671253|0.483819806|2965.254516|-1415.216039|1415.590236|-16.72263667|9.18142206|17.78724206|0.937307962|6837.350959|193.9244919|33.23007431|1960.574384|14.73941472|0.0|1.0|1.0|0.0|3.98|0.0|-8.2|3.02|3.0|133.53|1.0|8.0|-6.31|455.51|2.6|-4.98|2.05e-06|3.9|0.0|0.0|6.34e-09|2.89e-06|3.1186|9.34|3.1186|-1510.182477|738.53|1282.66|397.57|646.45|0.69143|-1509.771642|0.5849|-0.19109|5.8058|1.97|5.7055|5.7055
5b_a49|0.0|0|7.853604813|2|2|2.119588967|-0.007610481|5.777652323|0.006327273|1.926253727|-0.418576471|0.059834711|1|0.006696215|-0.13632743|-0.230763367|2|0.6981815290000001|0.7843021|-0.006962617|0.099724518|0.839963111|0.666573331|1|-0.076494119|0.615864196|-44.96093486|11.94347454|170.0796998|119.3565117|-0.026008|-26.42668087|7.020013952999999|69.07083505|0.608694741|-1.300400018|-24.11745318|59.85065205|-15.28671785|0.475192312|2764.188493|-764.3358925|1956.050085|-8.985071494|6.270195553|11.94760614|0.905459892|6225.302624|229.9974239|25.1139312|1255.69656|14.88971719|1.0|1.0|1.0|1.0|3.34|2.9|-7.24|2.87|1.0|122.26|1.0|3.0|-7.24|396.44|2.58|-3.93|0.000496|2.08|0.0|0.0|5.79e-08|2.3e-05|5.1653|3.92|3.9209|-1292.139616|633.92|1093.32|316.21|451.32|0.65269|-1291.873941|0.0747|-0.20701|6.1996|28.0|7.5528|7.5528
3g_a32|0.0|1|7.78113851|0|0|0.0|-0.006258272|5.733341277|-0.072619634|2.2144733530000003|-0.2816222539999999|-0.125170068|3|0.002565215|-0.074808287|-0.133675401|0|0.833981748|0.755211939|-0.1015732219999999|-0.1719626169999999|0.802214256|0.786074011|1|-0.098311343|0.273439311|-54.47722347|6.647498326|42.56199385|62.23099889|-0.030429702|-30.18744099|3.683575459|0.0|0.8007401590000001|-1.278047464|-21.55960626|60.55421302|-16.86199774|0.447358137|2271.746759|-708.2039051|1886.244271|-9.343731735|5.917878616|10.70834299|0.809490137|5058.622432|110.4157723|21.05801434|884.4366022|6.076989555|0.0|1.0|1.0|1.0|3.43|3.44|-7.29|5.42|2.0|102.55|1.0|3.0|-4.9|354.49|4.61|-5.59|8.12e-08|5.02|0.0|0.0|5.08e-08|1.8e-05|3.5456|4.13|3.5456|-1712.060085|593.24|998.86|349.68|495.4|0.70275|-1711.865318|0.2859|-0.20065|5.5816|14.0|7.8539|7.8539
25_a12|0.0|0|0.0|0|0|0.0|-0.004103693|0.0|-0.045725323|2.050456822|-0.180562493|-0.11195017|0|0.001783739|-0.0542354559999999|-0.0861945369999999|2|0.8472746290000001|0.638255008|-0.2430098439999999|-0.208172827|0.688743998|0.806844014|1|-0.080147596|0.120087607|-41.75851719|2.580489093|37.96125329|27.12578432|-0.03323193|-21.75703145|1.3444869730000002|0.0|0.917298637|-1.362509125|-14.85843094|44.42528172|-17.31450713|0.448858246|2067.69985|-709.8947922|1907.027255|-9.021208163|5.34703037|9.70173342|0.814415245|4329.321091|43.08908189|18.87554002|773.8971409|2.666764531|1.0|0.0|1.0|1.0|2.81|3.43|-8.78|5.35|1.0|99.48|1.0|3.0|-4.82|311.38|4.29|-5.25|5.19e-06|4.76|0.0|0.0|1.6399999999999995e-09|5.12e-07|4.2653|4.73|3.4532|-974.6569575|560.14|945.73|359.04|442.64|0.69029|-974.458128|0.1897|-0.19655|2.2482|22.0|7.6576|7.6576
19g_a38|0.0|0|7.412764017000001|2|2|0.0|-0.008497058|5.351858133|-0.117921811|0.0|-0.458841138|-0.046735135|1|-0.004358975|-0.098027247|-0.250781298|1|0.653741315|0.836170906|-0.063110203|-0.076414544|0.892249657|0.632625562|0|-0.114243258|0.5322242429999999|-72.29378538|14.52522351|137.56612280000002|177.181631|-0.038842708|-45.74791999|9.191644336|18.41027014|0.719941993|-1.942135378|-34.56416368|86.78105144|-24.57988703|0.455443492|2897.384301|-1228.994351|2506.378649|-15.5542928|6.327835378|11.62016299|0.836356715|6631.17356|177.2223055|34.14148263|1707.074131|14.48726605|1.0|1.0|1.0|1.0|4.82|2.52|-7.12|3.11|1.0|125.65|1.0|5.0|-6.81|419.43|2.97|-4.33|5.68e-05|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|5.2766|3.66|3.6887|-1431.419426|638.82|1104.29|336.12|475.84|0.69982|-1431.186566|0.0962|-0.20748|6.1765|42.0|7.3778|7.3778
7l_a46|0.0|0|7.727094485|1|1|2.1525548|-0.00090473|5.533389489|0.017668261|0.0|-0.038903382|0.050638298|1|0.0125870169999999|-0.087877164|-0.143129469|2|0.659888413|0.7746144629999999|-0.1237456669999999|0.076724694|0.825629852|0.6539666829999999|0|-0.06289606|0.253138137|-30.34397256|5.5935102720000005|8.13531199|44.79605077|-0.022013621|-14.63933792|2.698568452|51.39110437|0.67467081|-0.880544835|-13.17144326|38.22273917|-10.620390400000002|0.46327253|1920.310099|-424.8156159|1246.417766|-5.1237682730000005|5.273701985|9.825660656|0.863142947|4046.614178|156.9538706|15.74158869|629.6635476|7.878766604|1.0|0.0|1.0|1.0|3.04|2.64|-6.29|3.59|0.0|86.96|1.0|2.0|-6.22|290.36|2.86|-3.72|0.000668|2.61|0.0|0.0|5.19e-07|0.000151|4.5464|2.42|4.5464|-915.6081232|517.29|879.87|272.71|414.82|0.68834|-915.446686|0.2024|-0.2231699999999999|3.9009|1.94|5.7122|5.7122
9o_a24|0.0|0|6.605297921|1|1|0.0|-0.007052095|4.59511985|-0.044044637|0.0|-0.387865233|-0.000236595|1|0.002019902|0.00177843|0.00294424|2|0.738419215|0.785672769|-0.0062180169999999|-0.000453155|0.846075714|0.7086274779999999|0|-0.08834189|0.6253256110000001|-51.14964436|10.7072496|32.50178358|133.0106596|-0.032911684|-29.61546471|6.1994599720000005|44.8382925|0.668046377|-1.678495905|-29.69744072|66.24061038|-19.05574986|0.4861134689999999|2892.333138|-971.8432428|1906.512273|-11.03321234|6.080741586|11.83284872|0.945954873|6697.297449000001|192.1999837|28.52459128|1454.754155|15.09096602|0.0|1.0|1.0|1.0|3.96|2.84|-7.91|4.36|1.0|120.73|1.0|6.0|-6.83|421.45|3.01|-4.4|3.2500000000000004e-05|2.88|0.0|0.0|1.24e-08|5.23e-06|5.8802|4.41|4.2643|-1388.147972|611.03|1126.94|290.75|432.84|0.65292|-1387.887227|0.0288|-0.22353|5.9089|446.0|6.3507|6.3507
16c_a32|0.0|1|7.765993078999999|0|0|0.0|-0.01639019|5.733341277|-0.087497559|2.077479142|-0.770338913|-0.036931818|3|-0.00369116|-0.1260956869999999|-0.229450999|0|0.809370315|0.8607827790000001|0.0482801729999999|-0.061904762|0.915639476|0.764217655|1|-0.119988297|0.367322508|-71.59058881|15.38819548|102.2022233|135.41296|-0.038178095|-42.71426897|9.181311842|37.0285246|0.6846367059999999|-1.679836163|-31.62645048|86.97970500000001|-22.77882371|0.463897164|2649.168528|-1002.268243|3143.196853|-13.59090376|6.313526111|11.77670717|0.8653137670000001|5979.891916|188.1603823|33.27140293|1463.941729|15.38911619|0.0|1.0|1.0|1.0|3.5|3.08|-6.99|4.21|1.0|107.14|1.0|7.0|-6.44|399.49|3.41|-4.41|9.17e-07|3.23|0.0|0.0|1.0300000000000001e-07|4.13e-05|3.6264|4.12|3.6264|-1916.6792|639.66|1069.28|341.89|508.43|0.70198|-1916.478107|0.2955|-0.20047|5.3459|5.0|8.3468|8.3468
12_a4|-3.2834578760000004|0|7.535296702|1|1|2.070952433|-0.0021497879999999|5.4161004020000005|-0.271149771|1.587386096|-0.113938738|0.028152112|1|0.009024784|-0.051501982|-0.085553511|2|0.5687812560000001|0.8157155359999999|-0.036425699|0.04172421|0.8749408470000001|0.531333552|1|-0.074699711|0.636722126|-44.33087544|6.936764267999999|15.80191019|115.5823166|-0.025916226|-26.30835499|4.116653575|7.519189887|0.717772573|-1.269895089|-24.74343259|53.59101661|-15.38009964|0.470780296|2927.48584|-753.6248824|1962.933988|-9.127388465|6.223583758999999|11.7599245|0.889574393|6390.233612|167.4891205|21.42753878|1049.9494|9.260141177|0.0|1.0|1.0|1.0|3.41|2.94|-7.84|4.98|1.0|113.02|1.0|4.0|-6.84|404.48|3.3|-4.33|6.57e-05|2.72|0.0|0.0|1.45e-08|5.85e-06|4.8592|6.12|3.8083|-1617.861623|640.67|1101.33|325.57|503.28|0.68825|-1617.57796|0.0464|-0.2312199999999999|10.1971|9.29|5032.0|5032.0
16e_a32|0.0|1|7.765993078999999|0|0|0.0|-0.0154404319999999|5.733341277|-0.06951854|2.080236877|-0.772021601|-0.01320745|3|-0.002310082|-0.123297852|-0.219947482|0|0.804503712|0.86370575|0.096017785|-0.022651598|0.91471624|0.7619492790000001|1|-0.117338144|0.504569498|-75.36830928|15.50894749|105.4021155|134.6906051|-0.037448344|-48.41036206|9.961663868|39.27920316|0.702226562|-1.760072163|-35.94239328|90.34923861|-24.05371573|0.458956284|2710.157931|-1130.524639|3376.1299740000004|-15.45011555|6.573687662|12.15001203|0.848279482|6142.277629|191.2650034|34.2534974|1609.914378|14.98092934|0.0|1.0|1.0|1.0|3.64|3.36|-7.38|4.6|3.0|111.95|1.0|8.0|-6.15|413.52|3.77|-4.75|2.58e-07|3.76|0.0|0.0|4.18e-08|1.73e-05|3.6214|4.59|3.6214|-1955.993572|677.82|1130.95|342.37|552.79|0.7022|-1955.766505|0.2858|-0.2005|3.9389|7.0|8.1367|8.1367
9_a1|0.0|0|6.86171134|0|0|0.0|-0.00614716|4.727387819|-0.1075163359999999|0.0|-0.282769361|0.016589221|1|-0.0018191779999999|-0.044035724|-0.093062585|1|0.582499378|0.737794643|-0.053460262|0.02778394|0.7964939409999999|0.572272366|0|-0.085722429|0.166794384|-49.42275468|6.495805626|63.73880199|141.093898|-0.031896718|-28.49439431|3.745117974|0.0|0.7816897429999999|-1.371558857|-26.88743664|57.60218193|-18.38986221|0.452572261|2387.143654|-790.7640749|1739.0376789999998|-10.60256533|7.61577077|13.91191974|0.826725116|5063.330971|125.865476|23.52578164|1011.608611|8.17942725|1.0|1.0|1.0|1.0|2.78|2.66|-8.98|5.57|2.0|102.84|1.0|4.0|-5.81|357.38|4.12|-4.79|2.07e-05|3.76|0.0|0.0|1.04e-09|3.7100000000000003e-07|3343.0|5.6|3343.0|-1187.226314|600.6|1007.04|370.88|487.19|0.70296|-1187.011122|0.5409|-0.21015|6.4447|6.0|5.2218|5.2218
