molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|SaasN|AATSC1c|SRW07|AATSC1s|SaaaC|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|DPSA2|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
9r_a24|0.0|0|6.605297921|0|0|0.0|-0.004640179|4.59511985|0.013567512|0.0|-0.264490176|-0.043274854|1|0.008722018|-0.179075526|-0.2920573039999999|3|0.786430472|0.7958149290000001|-0.120617935|-0.083458647|0.841805128|0.7526889940000001|0|-0.082022572|0.32720212|-54.99020696|10.4302588|71.31566881|106.1180928|-0.025821921|-36.86695997|6.992734796000001|89.36724924|0.6152148279999999|-1.394383716|-27.82142546|70.79264457|-17.31173182|0.473403843|2644.462265|-934.8335183|958.7578093|-11.60626518|9.672636984|18.36822555|0.898988412|5501.824326|257.9706516|28.13932796|1519.52371|15.80243761|1.0|1.0|1.0|1.0|3.53|3.04|-8.66|3.93|2.0|116.9|1.0|8.0|-6.83|400.48|2.98|-4.06|9.58e-05|2.69|0.0|0.0|2.21e-09|8.84e-07|4.4722|1.82|4.2877|-1294.486221|713.25|1199.71|289.16|616.11|0.6204|-1294.201456|0.0029|-0.21074|3.0322|11.0|7.9586|7.9586
6e_a40|0.0|0|8.421342866|1|2|1.75595616|-0.0148450439999999|6.401917197|-0.074872854|0.744550501|-0.69771706|-0.205140551|2|-0.002992481|-0.020200684|-0.037027769|0|0.685858263|0.8361555479999999|-0.011405885|-0.289988439|0.8988141140000001|0.648802794|1|-0.1164147119999999|0.376602018|-76.50178121|10.43262695|185.1473293|166.7812216|-0.04873174|-50.27304895|6.85578763|35.33106374|0.866991176|-2.095464821|-46.34235117|84.95203628|-32.02400144|0.441911406|3075.060648|-1377.032062|3854.417113|-21.04453212|6.972949117000001|12.49434084|0.791830204|7585.605268000001|87.40658058|36.93694043|1588.2884390000002|8.450255075|0.0|1.0|0.0|1.0|3.98|3.16|-4.63|3.72|2.0|125.15|2.0|5.0|-6.09|476.98|3.68|-5.58|1.74e-08|4.4|1.0|0.0|2.35e-05|0.0112|2.9549|8.35|2.9549|-2831.191706|671.95|1149.77|419.59|537.07|0.67187|-2830.986514|0.3625|-0.2164|11.5248|18.0|7.7447|7.7447
3l_a32|0.0|1|7.773594467000001|0|1|0.0|-0.0054004|5.733341277|0.0043645509999999|2.259257465|-0.270019992|-0.107818594|3|0.002942329|-0.04980249|-0.087213805|0|0.820540279|0.751853889|-0.136589369|-0.184582641|0.7973741999999999|0.776480242|1|-0.088417589|0.270668623|-51.41835077|7.120934925|61.72183119|66.55229892|-0.028831823|-29.90181954|4.141107366|0.0|0.788236719|-1.326263838|-23.43792428|58.10243176|-16.76685351|0.453630671|2453.759435|-771.2752615|2415.340446|-9.750593329|6.414825717|11.74082324|0.8302637909999999|5429.531532999999|123.148785|21.27134288|978.4817724|6.6840809960000005|0.0|1.0|1.0|1.0|3.58|3.54|-7.5|6.17|2.0|110.16|1.0|3.0|-4.71|380.53|5.04|-6.01|2.52e-08|5.51|0.0|0.0|3.16e-08|1.2e-05|3.5319|4.21|3.5319|-1789.475625|629.26|1062.47|351.04|468.81|0.70282|-1789.242839|0.2876|-0.19962|5.7721|12.0|7.9208|7.9208
8b_a12|0.0|0|0.0|1|1|0.0|-0.012630509|0.0|-0.1676879319999999|0.0|-0.618894925|-0.1090955359999999|0|-0.007926474|0.003898807|0.006468729|1|0.89481633|0.7407532059999999|-0.010950243|-0.183648492|0.792160599|0.856390139|0|-0.116554734|0.4384536329999999|-67.44287685|6.513753986|319.0086845|149.9096134|-0.045608374|-39.02494133|3.769098814|76.80174559999999|0.888936354|-2.097985204|-35.28434152|72.85978933|-26.39069094|0.480938153|2388.888334|-1213.971783|1437.536303|-15.27062922|6.373278096|12.27845608|0.926552694|5217.318476|64.26553043|29.68794201|1365.645333|5.416912474|1.0|1.0|1.0|1.0|4.11|2.57|-7.45|1.9|1.0|110.58|1.0|4.0|-6.51|355.39|2.51|-4.01|7.890000000000001e-05|2.76|0.0|0.0|3.56e-08|1.26e-05|4.2263|5.11|3.7446|-1159.405202|611.93|1020.47|331.1|460.08|0.57773|-1159.188228|127.0|-0.21184|6.1286|263.0|6.58|6.58
8b_a32|0.0|1|7.765993078999999|0|0|0.0|-0.009362305|5.733341277|-0.057200812|2.123714284|-0.458752924|-0.0684566009999999|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.788133615|0.845443342|0.060636167|-0.1152380009999999|0.8966299409999999|0.7507116140000001|1|-0.108971309|0.253018806|-68.4085006|10.49093175|102.4297669|132.9495116|-0.03079624|-42.94454179|6.585851946|68.21751748|0.669149204|-1.4166270230000002|-33.50038167|81.73293254|-19.33283713|0.458155153|2573.703546|-889.3105078|2275.886421|-12.13650094|8.10555784|14.95918599|0.845546757|5619.400983|207.6969342|28.89166873|1329.016762|13.32443194|1.0|1.0|1.0|1.0|3.46|3.04|-7.65|4.19|1.0|110.47|1.0|7.0|-6.44|397.52|3.61|-4.39|1.47e-06|3.22|0.0|0.0|2.23e-08|8.86e-06|3.5442|4.22|3.5442|-1880.77142|671.54|1114.24|349.82|558.16|0.70285|-1880.539698|0.2943|-0.20121|1.2797|12.0|7.9208|7.9208
15b_a50|0.0|1|7.934155233999999|1|1|4.112770601|-0.0045393|5.82008293|-0.05484142|2.018777006|-0.22696498|-0.124047802|2|0.005203263|-0.131737048|-0.2185722769999999|1|0.79846758|0.8259784720000001|0.000882622|-0.216393362|0.8833003970000001|0.764606364|1|-0.080700307|0.447220762|-46.13641893|11.48191704|274.85729960000003|102.3838797|-0.028069672|-26.37622116|6.564219549|0.0|0.639017342|-1.291204916|-26.98929785|60.03646705|-16.04745006|0.478989976|2441.264256|-738.1827030000001|1692.3273379999998|-9.174337796|6.89125222|13.22671714|0.919348867|5205.2135960000005|206.3740238|25.11269883|1155.184146|13.90004811|1.0|1.0|1.0|1.0|3.56|2.11|-5.72|3.26|1.0|105.46|2.0|5.0|-6.98|357.41|2.37|-3.6|0.000654|2.11|0.0|0.0|1.92e-06|0.000687|4.0561|2.08|4.0561|-1160.4989460000002|613.37|1035.3|305.67|475.99|0.65917|-1160.275856|0.1796|-0.20071|9.3788|79.0|7.1024|7.1024
13_a1|0.0|0|7.423568444|1|1|0.0|-0.012199718|5.351858133|-0.144782061|0.0|-0.597786194|-0.084271845|1|-0.005924486|-0.07665159|-0.120034915|1|0.87703849|0.76714213|-0.051729721|-0.150485437|0.825117597|0.833702788|0|-0.10668313|0.207843387|-62.04288975|19.62059449|148.7311076|186.4137189|-0.040302516|-36.08180773|11.41059871|528.3795274|0.7082629840000001|-1.813613202|-37.76773325|77.55889436|-23.43842502|0.477212829|2555.623166|-1054.729126|1786.445642|-13.63090514|7.493979856|14.33466671|0.912824292|5456.353212|169.6632599|33.09282789|1489.177255|15.51600461|1.0|1.0|1.0|1.0|3.35|2.83|-7.94|3.87|1.0|104.88|1.0|4.0|-6.48|371.39|3.23|-4.34|5.16e-05|2.94|0.0|0.0|1.14e-08|4.24e-06|4.0783|3.17|3.4483|-1238.395767|613.52|1035.04|359.55|472.52|0.69782|-1238.174491|0.3535|-0.18883|3.9446|0.26|6585.0|6585.0
6a_a31|0.0|0|7.703007682000001|1|1|0.0|-0.01694403|5.6869753560000005|-0.181987023|0.0|-0.779425376|-0.026103465|2|-0.010591881|0.0006473469999999|0.001117583|0|0.848282918|0.784022685|-0.07385392|-0.0436046509999999|0.848080284|0.803505125|0|-0.126430958|0.259133072|-74.23718620000001|20.08876284|157.9971748|251.216265|-0.045153913|-43.59027182|11.79563339|98.49408082|0.6927462990000001|-1.896464366|-45.56491046|92.52963742|-26.51328079|0.478330896|2713.694431|-1113.557793|1671.917893|-15.56795422|7.516549303|14.408653400000002|0.916923952|5908.282843|180.411907|38.27271371|1607.453976|18.29245122|1.0|1.0|1.0|1.0|3.42|2.51|-6.96|3.69|1.0|104.73|1.0|4.0|-6.69|390.42|2.96|-4.34|6.09e-06|2.8|0.0|0.0|1.11e-07|4.3200000000000007e-05|3.5428|4.03|3.5428|-1613.34153|607.79|1028.95|349.96|447.66|0.70416|-1613.1416|0.6404|-0.19843|11.2387|1.1|5.9586|5.9586
12a_a50|0.0|1|7.927685046000001|1|1|4.075037557|-0.002936355|5.82008293|-0.0016330379999999|2.112397566|-0.126263256|-0.122912558|2|0.011790103|-0.168032508|-0.291865836|1|0.699597776|0.795582575|-0.030758487|-0.2018898489999999|0.862192416|0.660148928|1|-0.0663902|0.29507467|-33.44733598|10.58650394|7.457998037999999|48.30443297|-0.02383238|-16.85074424|5.333473207|69.83817338|0.575218972|-0.929462803|-12.88231829|47.2792242|-12.00673599|0.469674946|2223.666558|-468.2627037|1462.827156|-6.048985111|5.116970861|9.648744341|0.885635975|4665.239724|214.004382|20.873331|814.0599092|13.83188822|1.0|0.0|1.0|1.0|3.3|2.21|-5.49|3.42|0.0|94.69|2.0|2.0|-6.44|313.36|2.55|-3.84|0.000685|2.5|0.0|0.0|3.22e-06|0.00101|4.0783|2.47|4.0783|-1006.659456|545.54|908.22|304.01|394.52|0.65267|-1006.498352|0.1807|-0.20172|7.9123|75.0|7.1249|7.1249
5_a47|0.0|0|0.0|0|0|0.0|-0.009295857|0.0|-0.188550227|1.284688504|-0.390426|0.045246333|0|-0.011237954|-0.019811664|-0.0428873159999999|2|0.7063295709999999|0.795032176|0.065981732|0.0743193|0.861595935|0.675164258|1|-0.1001981959999999|0.526509524|-52.90420509|5.246458665|104.9032216|101.3974575|-0.038537768|-27.93318665|2.770107005|0.0|0.781571204|-1.502972943|-24.46654029|62.14504725|-20.34777119|0.4736061789999999|2368.870941|-793.5630764|1349.003107|-10.74353333|5.861037845|11.13432113|0.8997183470000001|5501.708422|115.3294396|26.03444329|1015.343288|9.240842159|1.0|0.0|1.0|1.0|2.67|2.79|-8.68|5.96|2.0|101.51|1.0|3.0|-5.19|365.79|4.29|-5.5|2.25e-06|4.7|0.0|0.0|2.07e-09|7.590000000000001e-07|3.7083|4.37|3.7083|-1569.369195|561.61|951.68|334.35|401.16|0.69291|-1569.20723|0.2108|-0.20954|3.8816|0.02|7.7|7.7
