molecula|SddssS|n9FaHRing|SaaNH|SssssC|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|RASA|PBF|FPSA3|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|pIC50|pIC50
7a_a8|0.0|0|3.1730222510000003|0.0|7.535296702|1|1|-0.11821781|-0.010269971|5.4161004020000005|-0.0407248439999999|1|0.0|-0.482688615|0.000736369|0.004607684|10.94671402|1|-0.019499132|-0.032195997|-0.412963751|0.7168594159999999|0.764224152|0.033708575|0.831914523|0.718410375|0.238462711|0.035405618|-60.00793116|-59.83546383|0.281589625|165.38046830000002|-0.042647654|-35.14198015|12.2125771|-35.24327197|75.4573633|-25.04740346|80.80201312|0.477611327|421.9297638000001|-1077.038349|-14.71059634|0.266115601|7.699041907000001|14.73814865|0.914283468|5907.9340090000005|156.2924154|-632.5556427|34.12990316|0.0265990589999999|-274.7254012|1467.585836|488.0169522|0.0|1.0|1.0|1.0|3.06|0.05|23.0|3.96|92.93|2.01|1.0|105.83|0.0|29.0|-6.33|382.37|0.0|1.0|3.15|-4.64|2.29e-05|0.00874|3.24|0.0|2.05e-05|5.2|3.0704|-1291.313963|-1291.287017|1031.61|403.8|270.66|494.48|0.61257|0.70367|-1291.10235|9.9646|4.6068|4.6068
7g_a8|0.0|0|3.095238804|0.0|7.535296702|1|1|-0.092384028|-0.01002363|5.4161004020000005|-0.067360394|0|0.0|-0.481134236|-0.00087806|-0.027838247|10.9431888|1|0.021974492|0.046246982|-0.418049442|0.627990269|0.7363841520000001|0.098510683|0.79995525|0.699376143|0.306360885|0.031841955|-64.55562181|-67.26263865|0.300623857|180.1699331|-0.045912914|-40.31185423|11.43714084|-38.68948451|78.41805331|-27.51653399|83.63914665|0.470618047|419.1502102|-1210.7274960000002|-16.4912131|0.193261535|7.588498875|14.3346384|0.8889952590000001|6293.364606|115.825531|-725.6133762000001|34.10836993|0.018613449|-367.6690814|1500.768277|509.2753308|0.0|1.0|0.0|1.0|3.32|0.04|23.0|4.94|80.04|3.4|2.0|108.0|0.0|30.0|-5.63|399.37|0.0|1.0|4.14|-5.44|3.59e-06|0.00143|4.38|0.0|4.92e-06|6.26|3.7874|-1374.493069|-1374.4533210000002|1053.9|327.36|327.36|507.78|0.62073|0.62073|-1374.291597|10.1546|4.6772|4.6772
9_a27|0.0|0|2.627701427|0.0|6.842683282|0|0|0.164227115|-0.0073742819999999|4.727387819|-0.050617284|2|1.233610009|-0.331842668|0.00611794|-0.051160217|10.93740461|1|-0.101933162|-0.171520296|-0.541535578|0.677253824|0.8214321609999999|0.017503266|0.8806964490000001|0.7988644709999999|0.36853691|0.019589991|-40.3551562|-45.58003501|0.2011355289999999|103.702486|-0.033677898|-23.50038785|5.20756849|-20.80651808|53.0685473|-17.36382286|50.45546414|0.466349763|411.8826346|-729.2805601|-8.952528705|0.210719846|5.03925321|9.442988795|0.873886547|4962.727436|108.6440173|-376.0062056|21.99956856|0.014524299|-298.297086|923.9818797|424.8821143|0.0|1.0|1.0|1.0|2.62|0.16|21.0|3.85|76.46|2.66|0.0|97.46|0.0|25.0|-6.33|331.37|1.0|1.0|2.99|-4.08|8.28e-05|0.0274|2.8|0.0|2.88e-05|4.67|4.1673|-1083.143348|-1083.118736|945.35|297.52|223.71|425.08|0.35593|0.59444|-1082.965434|2.7456|8699.0|8699.0
1n_a5|0.0|0|2.91912867|0.0|6.605297921|0|0|-0.1387762669999999|-0.007315978|4.59511985|-0.0533837329999999|2|0.0|-0.3365350029999999|0.004367323|-0.150600424|10.94528897|1|-0.00966135|-0.015850084|-0.393928416|0.6805709409999999|0.77828693|-0.013686011|0.8402078140000001|0.785210014|0.428980979|0.023129277|-47.1725036|-47.04056285|0.214789986|123.2912732|-0.030493391|-27.00168194|7.620766672|-27.07741706|63.57058627|-17.50346525|60.44890447|0.483868192|450.71720610000006|-752.6490056|-10.04713747|0.372248254|7.881746117|15.27080096|0.937489579|5101.31614|213.67365440000003|-432.02691110000006|27.88278228|0.028797525|-146.6611704|1198.959638|467.1194103|1.0|1.0|1.0|1.0|2.67|0.05|23.0|4.41|80.76|1.72|1.0|101.77|0.0|27.0|-6.41|356.38|0.0|1.0|3.14|-4.18|6.56e-05|0.0234|2.91|0.0|3.01e-06|4.19|4.3838|-1179.209088|-1179.169527|1017.23|282.82|282.82|481.06|0.44786|0.44786|-1179.018429|0.6234|7.5686|7.5686
14x_a23|0.0|1|0.0|0.0|7.423568444|0|0|0.0944818319999999|-0.0065692219999999|5.351858133|-0.111315218|2|0.6753138120000001|-0.335030301|0.003379755|-0.075184011|10.31321817|2|-0.073958723|-0.206574435|-0.443633823|0.5788469970000001|0.802520527|-0.035031888|0.8668730109999999|0.7768288609999999|0.229141189|0.022095943|-46.97594633|-55.83053941|0.223171139|147.90081730000003|-0.034056109|-37.00022522|9.704599953|-31.13207597|70.40248829|-22.56979253|61.61945314|0.468120981|514.8229467|-1060.780249|-14.95753786|0.277788677|7.777802167999999|14.62325432|0.880126802|6989.569075|184.0971574|-703.0042792|31.25095356|0.0219879679999999|-294.5294492|1468.794817|597.2903597999999|0.0|1.0|0.0|1.0|3.42|0.05|26.0|4.2|105.02|3.78|2.0|120.2|0.0|32.0|-6.35|447.46|0.0|0.0|4.06|-5.27|5.41e-06|0.00242|3.78|0.0|5.23e-06|3.97|3.6941|-1828.393372|-1828.371718|1149.42|335.63|305.07|537.48|0.6757|0.62836|-1828.168422|5.7933|8.4949|8.4949
12ae_a36|-3.3501500230000003|0|3.412870974|0.0|7.412764017000001|2|2|0.069118289|-0.009867085|5.351858133|-0.351827031|2|0.0|-0.611759277|-0.006862238|-0.083959343|10.31810353|1|-0.15024383|-0.261631709|-0.513686975|0.8183043390000001|0.831101086|-0.0931249669999999|0.8837136859999999|0.7162413209999999|0.439268891|0.023873046|-63.96145017|-78.71102033|0.2837586789999999|211.4077529|-0.036430555|-58.64180087|13.25108213|-47.65297933|97.76153993|-27.14173115|81.74750345|0.465246185|533.6188092|-1574.220407|-20.22131065|0.315002436|8.676756505|16.22570287|0.870019385|7331.209763|234.6851816|-1172.836017|39.62310606|0.025570256|-275.6561988|2298.140152|805.2286932|0.0|0.0|0.0|3.0|0.0|0.17|17.0|1.28|123.75|0.84|1.0|142.02|0.0|34.0|-8.03|474.54|0.0|0.0|1.18|-3.72|0.0001889999999999|0.0897|1.64|0.0|6.45e-05|6.24|3.8664|-1876.203168|-1876.152311|1281.69|320.67|236.84|615.71|0.40141|0.68591|-1875.897072|6.7458|7.8239|7.8239
1_a1 (SKF-104365)|0.0|0|0.0|0.0|7.535296702|1|1|0.011230812|-0.006055958|5.4161004020000005|-0.01959813|1|0.0|-0.218014497|0.000663414|-0.10236005|10.33812228|1|-0.123703409|-0.300426726|-0.505981356|0.57031697|0.7926983559999999|-0.015406451|0.857919181|0.8131557509999999|0.2405471019999999|0.0133681239999999|-31.45099608|-37.55389489|0.186844249|86.42113499|-0.029524467|-17.369816|2.859900586|-14.547040099999998|46.32985169|-13.65596178|37.63415922|0.416807085|376.1092109|-450.6467387|-6.316296726|0.290255081|5.2735884010000005|9.042613965|0.71469847|4225.4765640000005|134.2517831|-208.4377919|19.24066156|0.018973797|-194.0267797|634.9418316000001|297.2783688|1.0|1.0|1.0|0.0|2.68|0.12|17.0|3.93|56.01|2.52|0.0|81.72|0.0|21.0|-6.01|297.35|1.0|1.0|3.27|-4.02|9.65e-05|0.0287|2.96|0.0|0.000295|3.45|3.8901|-1279.084677|-1279.060907|809.96|318.72|318.72|358.09|0.70081|0.70081|-1278.971649|4.5773|5.7959|5.7959
12p_a36|0.0|0|3.392386149|0.0|7.412764017000001|2|2|-0.0494658159999999|-0.008017607|5.351858133|-0.084341564|2|0.0|-0.432950771|-0.002526241|-0.084846674|10.96052769|1|-0.101303149|-0.217394466|-0.440709431|0.724208473|0.828371596|-0.035871448|0.8839272779999999|0.748438833|0.315548061|0.020202133|-51.98017377|-68.22905781|0.251561167|158.3666517|-0.039016808|-42.95260501|8.006403882999999|-32.72335782|80.40682298|-24.56246081|64.698131|0.475504684|471.1687161|-1228.123041|-15.4629378|0.240873847|7.546742977|14.3885803|0.906594718|5922.775161|151.63860559999998|-773.1468902|32.35623052|0.019344052|-326.2581567|1617.811526|595.8790650000001|0.0|0.0|0.0|2.0|0.0|0.14|17.0|3.13|69.2|2.4|1.0|123.71|0.0|30.0|-6.76|399.42|1.0|0.0|2.15|-4.16|6.96e-05|0.0278|2.78|0.0|5.58e-05|3.41|3.8372|-1332.182868|-1332.148901|1113.05|323.11|232.12|506.89|0.30159|0.66559|-1331.947748|4.8805|8.0458|8.0458
12y_a30|0.0|0|0.0|0.0|7.412764017000001|2|2|0.048343649|-0.005996863|5.351858133|-0.037335306|2|0.0|-0.353814891|0.00604028|0.061944378|10.31162818|1|-0.053700437|-0.0922059569999999|-0.4579359229999999|0.842068099|0.768409873|-0.05346283|0.8146529229999999|0.8489185109999999|0.374181804|0.0149823289999999|-47.598277|-61.25585229|0.151081489|101.4221952|-0.034840345|-41.1215369|6.751850651|-31.95309886|69.55490151|-23.38859815|57.65603256|0.445723724|569.8856940000001|-1286.372898|-15.70095045|0.179891855|8.067590558|14.55517927|0.804154433|6301.067405|120.7628216|-863.552275|28.51891948|0.012362508|-429.782246|1568.540572|754.3941655|0.0|1.0|0.0|1.0|0.0|0.21|17.0|4.87|81.65|3.25|2.0|137.21|0.0|31.0|-5.64|426.54|0.0|0.0|3.19|-5.46|3.48e-06|0.00148|4.6|0.0|1.76e-05|4.45|3.4718|-1654.41361|-1654.382468|1227.82|357.11|238.56|585.59|0.30617|0.6864399999999999|-1654.125015|4.7043|7.6576|7.6576
12bh_a36|0.0|0|3.50075137|0.0|7.412764017000001|2|2|-0.052761366|-0.006687484|5.351858133|-0.047482048|2|0.0|-0.401249012|0.003676818|0.075747971|10.94728093|1|-0.101854847|-0.169994208|-0.43574839|0.902377067|0.78699829|-0.211972014|0.833398429|0.833491953|0.317612728|0.017627098|-47.04367494|-66.28126709|0.166508047|110.81353529999998|-0.035569289|-44.11115058|7.807212275|-31.30825225|76.46867897|-23.6718811|58.77476595|0.482052584|554.7010591|-1325.625342|-15.75398235|0.216705778|7.545637217999999|14.56834609|0.930697921|5957.443236|144.22085800000002|-882.2230117|30.2209316|0.015307571|-377.0728785|1692.3721690000002|729.1873176|0.0|0.0|0.0|2.0|0.0|0.21|17.0|3.76|69.2|2.45|1.0|133.68|0.0|31.0|-6.38|409.49|1.0|1.0|2.42|-4.6|2.5e-05|0.0102|3.41|0.0|1.86e-05|3.79|3.6255|-1311.589612|-1311.558898|1208.61|341.97|319.46|575.23|0.69377|0.7039|-1311.293683|5.8338|7.8539|7.8539
