molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC7i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|RNCS|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|FPSA1|GeomDiameter|PPSA1|WNSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
3t_a32|0.0|1|1|1|3.4477303|0.0|0|7.765993078999999|0.0|-0.006089333|5.733341277|-0.0338714389999999|0|2.141978747|9.83e-05|10.31100267|3|0.049606573|0|0.822076702|0.0466380209999999|-0.146047869|0.870628579|0.687253845|0.828676243|-0.080203824|-0.0974995|0.217914628|-50.65701113|-61.58101978|97.01046154|-0.026967947|-38.89478416|5.681818647999999|-1.267493496|-31.99514268|72.43498782|-17.03304802|0.481726305|2530.60497|2241.507646|0.315525518|15.64252992|199.2870037|-505.632194|10.85396804|1.0|1.0|1.0|1.0|3.58|3.41|-8.01|7.65|5.42|128.01|2.0|0.0|0.0|1.0|-6.48|4.0|0.0|-4.93|3.28e-07|1.16e-05|0.00462|4.09|0.0|9.86e-09|3.91e-06|3.5487|5.5|3.5487|-1864.708995|677.16|1129.24|575.45|0.70286|0.70286|0.2906|1.2641|-0.20246|0.03020622|8.0458|8.0458
8d_a8|0.0|1|0|0|3.190160226|0.0|1|7.05012252|1.41693287|-0.0111144189999999|4.844187086|-0.155313194|1|0.0|-0.00267541|10.94649761|1|0.111668404|1|0.757805416|0.0780635059999999|-0.179357354|0.804372443|0.734212688|0.6932924890000001|-0.1072746469999999|-0.103150936|0.377028311|-69.95878302|-67.26951954|57.93693239|-0.03820405|-43.86958028|11.92454747|-2.063018716|-45.62337399|86.29065071|-24.91463687|0.483207744|2863.968296|2093.380666|0.324640122|14.52777156|211.7129122|-877.3916055999999|19.02113117|0.0|0.0|1.0|1.0|3.61|2.92|-7.62|3.93|3.32|112.23|1.0|0.0|0.0|1.0|-4.91|5.0|0.0|-4.47|1.24e-05|3.4200000000000005e-05|0.0147|2.89|0.0|2.38e-08|1.03e-05|4.6765|6.22|3.2963|-1447.595474|690.78|1185.65|572.21|0.62361|0.70165|0.1879|6.0111|-0.19757|0.03604461|4.7303|4.7303
12d_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|0.0|-0.006335328|5.351858133|-0.033312179|2|0.0|0.005613018|10.31162861|1|-0.162129948|1|0.8017873000000001|-0.0430927579999999|-0.130412856|0.8532172109999999|0.7991060659999999|0.843009925|-0.073829724|-0.094239701|0.366319099|-47.69710881|-60.88281322|85.1932288|-0.036246039|-39.33285959|6.497247279|-1.884794029|-30.81433963|69.55534551|-23.41646662|0.4572733479999999|2784.836855|2323.480646|0.185610786|13.92427286|119.91237920000002|-786.6571918999999|8.672532296|1.0|0.0|1.0|1.0|4.75|0.0|-7.01|4.35|2.93|81.65|2.0|0.0|0.0|1.0|-5.66|4.0|0.0|-5.15|2.21e-06|7.05e-06|0.00291|4.23|0.0|9.75e-08|4.02e-05|3.4821|4.14|3.4821|-1615.095823|695.57|1176.22|545.94|0.68608|0.68608|149.0|4434.0|-0.1991|0.03187624|7.9508|7.9508
12bd_a36|0.0|1|0|0|3.497517322|0.0|0|7.412764017000001|0.0|-0.006695407|5.351858133|-0.045630197|2|0.0|0.003676818|10.94639828|1|0.042808724|1|0.78699829|-0.011529973|-0.047786573|0.833398429|0.857993338|0.832478093|-0.071083327|-0.099460046|0.279020022|-46.92083391|-65.65179884|83.92365468|-0.035521445|-43.33557909|7.733288012999999|-1.989200921|-30.9716039|75.7932235|-23.44707102|0.475272043|2772.776922|2403.371086|0.21755876|15.34283166|143.6066496|-866.7115819|10.14142465|1.0|0.0|0.0|1.0|4.95|0.0|-7.34|3.76|2.5|69.2|1.0|0.0|0.0|1.0|-4.54|4.0|0.0|-4.6|2.8600000000000004e-05|2.5e-05|0.0102|3.41|0.0|4.55e-08|1.86e-05|3.8786|3.79|3544.0|-1311.591775|706.26|1200.23|568.94|0.69411|0.7044100000000001|0.0058|5.7533|-0.19826|0.03110617|7.7696|7.7696
8b_a32|0.0|1|1|1|3.419952523|0.0|0|7.765993078999999|0.0|-0.009362305|5.733341277|-0.057200812|0|2.123714284|-0.003484915|10.31100269|3|-0.014634534|0|0.845443342|0.060636167|-0.1152380009999999|0.8966299409999999|0.7507116140000001|0.788218098|-0.0850068559999999|-0.108971309|0.253018806|-53.36442734|-68.4085006|102.4297669|-0.03079624|-42.94454179|6.585851946|-1.4166270230000002|-33.50038167|81.73293254|-19.33283713|0.458155153|2573.703546|2275.886421|0.330850796|14.95918599|207.6969342|-558.2790432999999|13.32443194|1.0|1.0|1.0|1.0|3.46|3.04|-7.65|6.49|4.19|140.04|1.0|0.0|1.0|1.0|-5.83|4.0|1.0|-4.39|1.47e-06|4.06e-05|0.0161|3.22|0.0|2.23e-08|8.86e-06|3.5442|4.22|3.5442|-1880.77142|671.54|1114.24|558.16|0.70285|0.70285|0.2943|846.0|-0.20121|0.03602276|7.9208|7.9208
3d_a32|0.0|1|1|1|3.503398526|0.0|0|7.765993078999999|0.0|-0.006420365|5.733341277|-0.034290847|0|2.230648962|0.000655875|10.31100276|3|-0.1131110759999999|0|0.8444218509999999|-0.069007775|-0.100251236|0.90169022|0.77923808|0.892845502|-0.06869526|-0.093187219|0.2214902789999999|-37.19367587|-50.45435743|62.43434632|-0.02867299|-27.31750365|4.22710649|-1.118246623|-20.13777259|59.15151032|-15.52441767|0.427813496|2213.978384|1855.167124|0.2794597139999999|10.75032687|151.30787800000002|-327.8100438|8.697152881000001|1.0|1.0|1.0|1.0|3.34|3.11|-7.29|6.97|5.07|110.94|1.0|0.0|0.0|1.0|-6.55|3.0|0.0|-5.13|2.81e-07|7.36e-06|0.00251|4.5|0.0|5.13e-08|1.75e-05|3.5105|3.42|3.5105|-1672.758552|569.29|959.11|465.41|0.7035100000000001|0.7035100000000001|0.5031|3.2094|-0.19671|0.02457348|8.0915|8.0915
47t_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|0.0|-0.0128248239999999|4.844187086|-0.161517185|0|0.0|-0.006573438|10.94702032|0|0.027313444|0|0.750103977|0.005590928|-0.074774521|0.796935152|0.688453085|0.67203319|-0.119202068|-0.103295568|0.240001773|-79.78154029|-69.13537385|280.622476|-0.040580402|-46.27207168|6.301435212|-2.272502492|-53.39751484|80.00407742|-27.16032544|0.49779009|2872.533415|1326.524873|0.195468477|17.48280476|130.8263901|-1017.985577|10.86870356|0.0|0.0|0.0|1.0|3.86|0.0|-7.51|2.6|2.93|110.56|2.0|1.0|0.0|1.0|-5.58|4.0|0.0|-4.77|2.65e-06|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|3.09e-08|1.36e-05|3.1164|9.4|3.1164|-1470.873743|703.76|1218.95|601.36|0.6895100000000001|0.6895100000000001|0.5502|7.7656|-0.19514|0.03767603|6.1068|6.1068
9d_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|1.839557351|-0.003961493|5.4161004020000005|-0.022152094|0|0.89023715|0.011823978|10.3119722|2|0.259969752|0|0.7572844040000001|-0.3969541689999999|-0.223631751|0.8221990920000001|0.55759121|0.941627612|-0.060319196|-0.071656839|0.002088915|-31.08478865|-36.92750973|108.1468558|-0.031613312|-19.03015798|2.854868966|-1.074852592|-16.01918037|41.42218692|-16.29154841|0.467275972|2109.570685|336.6614768|0.133579429|15.06105494|68.83858806|-285.4523697|4.49467719|1.0|0.0|1.0|0.0|3.25|3.63|-7.0|5.2|5.09|58.43|1.0|0.0|0.0|1.0|-6.13|2.0|0.0|-5.65|7.37e-07|2.23e-06|0.000727|5.16|0.0|1.01e-07|3.3e-05|4.6073|4.7|3.3464|-1677.551678|542.19|892.69|446.84|0.4557199999999999|0.69986|0.4025|6.2032|-0.20781|0.01113991|6.9706|6.9706
8_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|2.126514848|-0.001277205|5.4161004020000005|0.03148225|2|1.987684188|0.010647563|10.9295757|1|-0.1193184819999999|2|0.813333185|-0.07377839|0.097165358|0.879500982|0.576540652|0.925132446|-0.05397993|-0.065595042|0.546157592|-27.90231822|-33.90618946|11.02158946|-0.024598141|-17.52616744|2.772101712|-0.983925625|-14.42275611|41.57817329|-12.71482105|0.428884426|2297.5526170000003|1737.932042|0.273845898|9.972991122|141.55141369999998|-262.8925116|7.671983829|1.0|1.0|1.0|1.0|2.99|3.19|-7.78|4.63|4.76|43.6|1.0|0.0|0.0|1.0|-4.35|3.0|0.0|-4.84|4.49e-05|1.46e-05|0.00506|3.74|0.0|1.65e-08|5.72e-06|5.3544|3.29|3.9863|-1450.239105|561.6|949.09|391.01|0.30471|0.57675|0.0642|4.5781|-0.22685|0.0252645|7.2676|7.2676
14a_a5|0.0|1|0|0|2.948727373|0.0|0|6.605297921|0.0|-0.0053665219999999|4.59511985|-0.005002101|3|0.0|0.002956745|10.9488747|1|-0.213526163|2|0.79661948|0.144729708|0.047169811|0.847379958|0.71006207|0.7909255559999999|-0.080875277|-0.078681402|0.4398855029999999|-54.69145586|-53.20786056|134.62273080000003|-0.0271808479999999|-35.98151967|7.942029745|-1.494946644|-36.98479273|69.71575554|-18.38089729|0.470085022|2836.468636|1315.573182|0.370216665|15.89694877|250.3569601|-683.6488737000001|16.50789498|0.0|1.0|1.0|1.0|3.24|2.41|-8.84|4.56|4.38|92.79|1.0|0.0|0.0|1.0|-4.15|5.0|0.0|-4.22|7.15e-05|6.02e-05|0.0256|2.55|0.0|1.45e-09|6.16e-07|4.1501|4.3|4.1501|-1390.592722|692.8|1195.01|508.64|0.65789|0.65789|0.5853|2.7115|-0.2183699999999999|0.04629687|6.9508|6.9508
