molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC7i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|RNCS|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|FPSA1|GeomDiameter|PPSA1|WNSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
15a_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|1.646649187|-0.0050042229999999|4.727387819|-0.052476637|2|1.614660505|0.005288335|10.9464374|1|0.036467904|2|0.7392451729999999|-0.09744639|-0.027029438|0.794858486|0.655865336|0.86664032|-0.061755825|-0.081705465|0.410151945|-41.92018177|-55.4621036|96.58317516|-0.031425179|-37.6479704|9.799599501|-1.634109304|-28.45564196|70.12529157|-21.33157831|0.444668211|2884.815511|2169.226845|0.297264929|14.6895113|201.7850124|-752.9594081|14.66318798|1.0|1.0|1.0|1.0|3.42|2.86|-9.21|3.87|4.31|85.59|1.0|0.0|0.0|1.0|-4.65|5.0|0.0|-4.68|2.25e-05|2.1e-05|0.00881|3.18|0.0|6.1e-10|2.56e-07|5.0577|4.98|3.6496|-1368.35331|696.57|1189.31|541.27|0.41078|0.69076|0.0955|5.2588|-0.21285|0.03153544|6.8447|6.8447
17c_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|4.349159921|-0.002676029|5.82008293|0.024219848|2|2.193763306|0.01130519|10.94500663|2|0.034485992|1|0.774994313|-0.139943634|-0.212611846|0.816442883|0.728169863|0.89719894|-0.051905615|-0.073693343|0.446454378|-35.70979598|-50.69922125|133.46240020000002|-0.021745577|-34.87982686|10.25908547|-1.32648017|-24.567468100000003|66.7258111|-14.96042594|0.49503436|2951.495914|2014.72331|0.430249571|16.45688922|296.00120400000003|-627.8368834|16.02658985|0.0|1.0|1.0|1.0|4.12|3.61|-6.79|3.59|3.53|61.0|1.0|0.0|0.0|1.0|-3.8|5.0|0.0|-4.43|0.000158|3.75e-05|0.0165|2.86|0.0|1.6100000000000005e-07|7.08e-05|4.2397|2.74|4.0432|-1411.187392|746.5|1289.05|596.23|0.63122|0.66213|0.1801|6.3989|-0.19818|0.02957871|7.1612|7.1612
12_a47|0.0|1|1|1|2.903215905|0.0|0|6.605297921|0.0|-0.005522244|4.59511985|-0.078935336|2|1.555521837|-0.0047488359999999|10.95005729|1|0.003417588|2|0.8288334490000001|0.055943216|0.050943962|0.90246604|0.618808977|0.7840710409999999|-0.084846808|-0.091853238|0.266995634|-44.18983348|-47.83891561|63.89392714|-0.034116917|-24.91541818|4.886454935|-1.1940921|-23.01490672|61.09751253|-17.76874008|0.4792593739999999|2266.78114|702.3796319|0.319276179|13.52358352|166.28511369999998|-323.9004363|13.25859692|1.0|1.0|0.0|1.0|2.73|1.67|-8.11|4.19|4.98|66.49|0.0|0.0|0.0|1.0|-4.51|4.0|0.0|-4.56|3.11e-05|2.77e-05|0.00943|3.43|0.0|7.69e-09|2.61e-06|4.2907|3.01|3.9538|-1488.101254|537.79|886.46|400.09|0.66387|0.68557|0.2241|2.1019|-0.2256|0.03721125|8.2|8.2
8b_a12|0.0|0|0|0|0.0|0.0|0|0.0|0.0|-0.012630509|0.0|-0.1676879319999999|2|0.0|-0.010117477|10.95438057|0|0.047425677|1|0.7407532059999999|-0.010950243|-0.183648492|0.792160599|0.856390139|0.740926309|-0.1053827859999999|-0.116554734|0.4384536329999999|-60.97837482|-67.44287685|319.0086845|-0.045608374|-39.02494133|3.769098814|-2.097985204|-35.28434152|72.85978933|-26.39069094|0.480938153|2388.888334|1437.536303|0.111063646|12.27845608|64.26553043|-702.4489440000001|5.416912474|0.0|1.0|1.0|1.0|4.11|2.57|-7.45|3.11|1.9|80.37|1.0|0.0|0.0|1.0|-4.1|4.0|0.0|-4.01|7.890000000000001e-05|9.74e-05|0.0346|2.76|0.0|3.56e-08|1.26e-05|4.2263|5.11|3.7446|-1159.405202|611.93|1020.47|460.08|0.53425|0.57773|127.0|4.2554|-0.21184|0.03936706|6.58|6.58
12b_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|0.0|-0.007353271|5.351858133|-0.06631353|2|0.0|0.001139238|10.31162898|1|-0.165287712|1|0.824373792|-0.009146339|-0.1240820219999999|0.880943609|0.64876559|0.764737577|-0.08354129|-0.09915679|0.383979687|-53.05077947|-62.96700664|86.84905288|-0.038448551|-39.98560202|6.99318589|-1.883979001|-33.68855323|73.02913136|-24.41577808|0.4676268939999999|2849.095245|2347.979099|0.201479318|13.88809428|127.9443353|-759.7264385|10.06212472|1.0|0.0|1.0|1.0|4.63|0.0|-6.9|4.25|3.18|81.65|2.0|0.0|0.0|1.0|-5.39|5.0|0.0|-5.01|4.12e-06|9.71e-06|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|5.0567|4.07|3.5207|-1675.0107779999998|673.18|1130.68|516.78|0.3159099999999999|0.68496|0.1525|3.7327|-0.20289|0.03351603|8.1543|8.1543
12r_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|0.0|-0.007553813|5.351858133|-0.093024002|2|0.0|-0.002544958|10.31162892|1|-0.247439715|1|0.83236194|-0.007140234|-0.105767484|0.889479916|0.591758164|0.72072745|-0.090229387|-0.109990462|0.451652492|-58.32042638|-71.0931422|90.4724548|-0.040404659|-45.9515743|7.995393191000001|-1.979828309|-37.69583567|82.06195604|-26.11584816|0.464481911|2976.944611|2433.580273|0.209934663|13.94386247|135.6928105|-827.1283373|10.96881384|1.0|0.0|1.0|1.0|4.66|0.0|-7.16|4.67|3.74|81.65|2.0|0.0|0.0|1.0|-5.49|6.0|0.0|-5.17|3.24e-06|6.71e-06|0.00291|4.07|0.0|6.900000000000002e-08|3e-05|5067.0|4.32|3.5111|-1774.236548|679.64|1141.54|516.03|0.32409|0.68476|0.1522|5.2021|-0.20138|0.03388131|7.5317|7.5317
12g_a36|0.0|1|0|0|3.5202147110000004|0.0|0|7.412764017000001|0.0|-0.006495469|5.351858133|-0.039008054|2|0.0|0.0042553209999999|10.95259306|1|0.130052038|1|0.8026482070000001|-0.19532883|-0.088251318|0.847239339|0.860667615|0.854238488|-0.069292341|-0.097067302|0.374686587|-47.63457647|-66.72829531|24.29006276|-0.034549379|-45.87193951|8.382969151000001|-2.038413337|-32.74608471|77.14470618|-23.75074918|0.473274545|2829.45056|2476.712654|0.2202546819999999|13.83075477|151.41267150000002|-963.3107298|10.41641087|1.0|0.0|1.0|1.0|5.06|0.0|-7.38|3.85|3.01|69.2|2.0|0.0|0.0|1.0|-4.95|4.0|0.0|-4.86|1.13e-05|1.39e-05|0.00589|3.8|0.0|4.2e-08|1.7800000000000002e-05|5.2092|4.21|3714.0|-1350.887005|724.32|1241.66|657.02|0.38165|0.70097|45.0|5.912000000000001|-0.20288|0.0255597|7.8539|7.8539
7_a47|0.0|0|0|0|0.0|0.0|0|0.0|0.0|-0.008206422|0.0|-0.143650735|2|1.303301032|-0.0091074509999999|10.93671034|0|-0.262805289|2|0.817389583|-0.04402021|-0.124285418|0.8755534909999999|0.671549194|0.8473227320000001|-0.081264417|-0.095957591|0.427432212|-45.82735481|-54.113260200000006|103.5602725|-0.036250645|-30.51603217|2.8353037860000003|-1.631279045|-25.84337052|61.47335819|-20.44278719|0.405265781|2491.885862|1968.695833|0.1830206469999999|10.90440708|103.2106353|-518.7725468|7.36009799|1.0|1.0|0.0|1.0|2.96|3.14|-9.45|5.63|6.52|58.04|2.0|0.0|0.0|1.0|-6.47|4.0|1.0|-6.06|3.41e-07|8.75e-07|0.000345|5.49|0.0|3.52e-10|1.3900000000000001e-07|3.7203|5.08|3.7203|-1647.996662|604.84|1043.33|455.81|0.69314|0.69314|0.2144|3406.0|-0.2073699999999999|0.03348545|7.6|7.6
11b_a31|0.0|1|0|0|3.248213341|0.0|0|7.765993078999999|0.0|-0.01950528|5.733341277|-0.172248605|0|0.0|-0.014385937|10.31169957|2|-0.129901143|0|0.834596039|0.067031897|-0.074254978|0.889561759|0.7943850720000001|0.545458754|-0.143839236|-0.148709304|0.26165445|-80.0942166|-82.80602396|286.7721447|-0.044612791|-46.10900197|11.70737909|-1.784511651|-44.59898223|100.3071755|-24.84180719|0.473305522|2410.572158|1756.711832|0.330276165|12.96936635|183.9081702|-553.3080237|17.50115151|1.0|0.0|1.0|1.0|3.41|2.29|-5.45|4.67|3.25|125.57|1.0|0.0|0.0|2.0|-4.74|6.0|0.0|-3.75|1.82e-05|0.000178|0.0637|2.46|0.0|3.59e-06|0.00128|3.8437|4.07|3.8437|-1520.085181|589.56|969.71|479.66|0.70073|0.70073|0.2634|3.2104|-0.1951|0.04215313|6.2757|6.2757
8c_a32|0.0|1|1|1|3.46252244|0.0|0|7.765993078999999|0.0|-0.0093793719999999|5.733341277|-0.04699673|0|2.143746338|-0.003484915|10.31100269|3|-0.047650724|0|0.845443342|-0.024032462|-0.11492754|0.8966299409999999|0.7507116140000001|0.801747512|-0.076876481|-0.097480366|0.263222951|-46.47597924|-58.93213925|126.6561213|-0.027548799|-35.6276568|5.935643221|-1.267244762|-28.09723623|74.36515033|-16.654735000000002|0.447542891|2571.62241|3038.837633|0.399315117|12.81496717|241.4075262|-463.1595384|15.43301109|1.0|1.0|1.0|1.0|3.46|2.82|-7.65|6.49|4.19|140.04|1.0|0.0|1.0|1.0|-5.82|4.0|1.0|-4.39|1.5e-06|4.11e-05|0.0164|3.21|0.0|2.23e-08|8.86e-06|3.5673|4.28|3.5673|-1880.764533|646.97|1090.0|516.78|0.70135|0.70135|0.3272|8.4922|-0.18873|0.03115673|7.4318|7.4318
12x_a36|0.0|1|0|0|3.494913155|0.0|0|7.412764017000001|0.0|-0.007008724|5.351858133|-0.046532211|2|0.0|0.00285431|10.33556641|1|0.038200407|1|0.828393514|0.056034339|-0.041914045|0.8792981679999999|0.855081905|0.836402835|-0.0737521679999999|-0.104368092|0.3403819629999999|-49.60929169|-70.20305027|81.81168174|-0.036722107|-47.22198284|7.974776509|-1.982993755|-33.36962015|81.1499815|-24.70107324|0.458792701|2884.428214|2391.802689|0.223146459|16.20591229|150.09915149999998|-897.2176739|10.94693123|1.0|0.0|1.0|1.0|4.87|0.0|-7.05|3.33|2.61|94.5|1.0|0.0|0.0|1.0|-4.85|4.0|0.0|-4.51|1.4300000000000002e-05|3.09e-05|0.0132|3.19|0.0|8.95e-08|3.83e-05|3.8776|3.37|3.7364|-1670.452834|719.63|1209.23|569.01|0.6853600000000001|0.68112|0.0199|5.6653|-0.2048199999999999|0.03331471|8.1549|8.1549
2_a27|0.0|0|0|0|0.0|0.0|2|6.605297921|3.250529415|-0.0065894809999999|4.59511985|-0.0609613559999999|2|1.267636369|0.009338889|10.93783218|1|-0.337316432|2|0.796022385|0.137868605|0.027777778|0.8585302370000001|0.60904903|0.8468699609999999|-0.058444848|-0.081513931|0.408120957|-29.42169804|-41.03489597|9.194894069|-0.029261411|-20.65736087|5.020172886|-1.141195033|-14.81116546|52.43208086|-14.73047548|0.4424192289999999|2210.487938|1270.627585|0.331537817|9.527176544|166.89932209999998|-289.2030522|11.39718489|0.0|0.0|1.0|0.0|2.9|3.06|-5.84|2.43|2.49|65.6|0.0|0.0|0.0|2.0|-3.19|4.0|0.0|-3.7|0.000644|0.0002009999999999|0.0638|2.18|0.0|1.45e-06|0.0004599999999999|4.1624|4.32|4.1624|-1043.821085|538.57|906.48|420.7|0.55857|0.55857|0.3217|4.7049|-0.21702|0.02268519|7.8861|7.8861
7f_a8|0.0|1|0|0|2.961566988|0.0|1|7.05012252|1.2793830309999998|-0.005338193|4.844187086|-0.073219554|0|0.0|0.00112124|10.94343485|1|0.09329746|0|0.7051689170000001|-0.048917705|0.041366689|0.7677336090000001|0.507325475|0.770229267|-0.091890536|-0.08790841|0.3155671539999999|-52.28313554|-50.01741803|53.09327646|-0.040738044|-28.45850692|4.471132824|-1.670259798|-29.74763659|55.85651025|-23.17880348|0.4513917389999999|2534.956113|1854.738581|0.119077775|14.04331892|67.75191165|-540.7116315000001|5.839092213|1.0|0.0|1.0|0.0|3.14|3.23|-8.46|5.52|5.49|61.58|2.0|0.0|0.0|1.0|-5.68|4.0|0.0|-5.5|2.09e-06|3.16e-06|0.00118|4.66|0.0|3.5e-09|1.31e-06|3.8187|6.81|3.4810000000000003|-1285.196168|584.99|991.61|495.55|0.7024199999999999|0.6987399999999999|0.1502|8.7098|-0.21998|0.02809022|4.4479|4.4479
2_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0.0|-0.008422099|4.727387819|-0.09743592|2|2.058239271|-0.006049098|10.31162302|1|-0.18746945|2|0.769486995|-0.192034735|0.065162907|0.8401405609999999|0.841871246|0.750206578|-0.104577702|-0.09392632|0.4551292289999999|-49.07072207|-44.07280196|228.178656|-0.033150466|-20.68016573|2.628543258|-1.127115845|-23.02532673|53.05538527|-15.55510657|0.458202525|2056.399995|1314.679398|0.272015731|9.016533738|127.637231|-248.1619888|8.982583312000001|1.0|1.0|1.0|1.0|2.97|2.22|-6.89|4.34|4.01|92.93|0.0|0.0|0.0|1.0|-4.75|3.0|0.0|-4.27|1.7800000000000002e-05|5.33e-05|0.0162|3.13|0.0|1.3e-07|3.9500000000000005e-05|5.4397|1.97|3.3354|-1272.143337|503.34|841.85|340.69|0.37284|0.69543|0.0962|4.0121|-0.21028|0.02925101|5.4|5.4
18c_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|0.0|-0.0109670669999999|5.351858133|-0.118776867|2|0.0|-0.003436924|10.31163825|1|0.0211588229999999|1|0.8303425640000001|0.034468997|-0.058608635|0.885516463|0.802578397|0.717052026|-0.105618255|-0.1115683|0.42531141|-71.31647561|-75.33411705|384.391404|-0.042101245|-50.86775696|8.826997739|-2.2313660090000003|-48.15493021|87.76550537|-28.4279687|0.448899917|3002.59061|3094.729399|0.214007997|13.8741593|144.5043388|-1017.355139|12.43138832|1.0|0.0|0.0|1.0|4.85|0.0|-6.19|3.04|1.72|124.74|1.0|0.0|0.0|1.0|-5.01|5.0|0.0|-4.3|9.68e-06|5e-05|0.0221|2.74|0.0|6.520000000000001e-07|0.000288|3.4848|4.54|3.4848|-1744.500825|711.56|1209.11|543.46|0.69123|0.69123|0.3879|6.6462|-198.0|0.04503016|7.9208|7.9208
4_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0.0|-0.008561428|4.727387819|-0.161259999|1|1.882124381|-0.008407895|10.31162267|1|-0.208888686|1|0.721302096|-0.028924747|0.041477445|0.785381728|0.628171026|0.74053397|-0.110345083|-0.098695428|0.5842630360000001|-52.4583525|-46.9200748|235.6982345|-0.039478171|-22.30593113|1.809595554|-1.381735991|-24.93884341|51.71950126|-18.76802992|0.415852758|2142.972568|1548.626215|0.133023729|8.648209506|63.23984222|-312.2830359|4.799426464|1.0|1.0|0.0|1.0|2.94|2.6|-7.53|5.3|5.17|80.04|1.0|0.0|0.0|1.0|-5.69|3.0|0.0|-5.09|2.02e-06|8.22e-06|0.00264|4.3|0.0|2.950000000000001e-08|9.48e-06|5.9341|3.53|3.4771|-1355.332318|504.29|858.45|338.33|0.3809|0.6896|119.0|2.3542|-0.20826|0.02921941|5.9|5.9
4e_a46|-3.742323661|0|0|0|0.0|0.092094405|1|7.825245291|2.12386814|-0.005995748|5.587248657999999|-0.370202917|2|0.0|-0.001404912|10.31928077|1|-0.135489528|2|0.77019676|0.075271624|-0.076733489|0.8146060740000001|0.69063113|0.753715041|-0.0835371459999999|-0.084780904|0.68427144|-63.39469142|-64.33855433|105.0139519|-0.030951758|-48.825259|6.145520557|-1.949960781|-48.10898007|73.87174786|-23.48867857|0.4753010039999999|3411.457836|3129.575458|0.204892146|15.06943449|155.48860530000002|-1122.980957|9.533193534|1.0|0.0|0.0|1.0|4.5|2.68|-8.81|3.05|5.93|124.17|2.0|0.0|0.0|1.0|-6.08|6.0|1.0|-5.41|8.29e-07|3.92e-06|0.00191|3.78|0.0|1.56e-09|7.64e-07|4.2446|8.03|4.1773|-1884.613031|757.1|1343.97|655.69|0.5745600000000001|0.56481|0.3109|1.9941|-0.21005|0.04805633|6.8125|6.8125
11_a27|0.0|1|0|0|2.680511093|0.0|0|7.535296702|0.0|-0.0067474069999999|5.4161004020000005|-0.003527607|2|1.3706083080000002|0.004538653|10.93910312|0|-0.1299181459999999|2|0.814843016|-0.0357410779999999|-0.043616687|0.8629676709999999|0.7146215429999999|0.7645505|-0.079921166|-0.094820973|0.349764196|-42.27430065|-50.15555389|143.3238715|-0.034296948|-26.52978026|4.524597532|-1.611956546|-22.36099135|56.8702158|-18.14137056|0.4528656239999999|2339.465471|1646.903525|0.1911041289999999|9.562117063|101.0845293|-451.0062644|6.714661907000001|1.0|0.0|0.0|1.0|3.95|0.0|-6.09|2.72|1.67|61.88|0.0|0.0|0.0|1.0|-3.68|4.0|0.0|-4.02|0.000207|9.45e-05|0.0326|2.73|0.0|8.2e-07|0.000283|3.3426|4.54|2.4836|-1122.456105|571.4|974.29|415.32|0.6125|0.59222|0.0793|3.1278|-0.16205|0.0226944|8301.0|8301.0
12an_a36|0.0|1|0|0|3.489959714|0.0|0|7.412764017000001|0.0|-0.0070293469999999|5.351858133|-0.046532211|2|0.0|0.00285431|10.33556631|1|0.170355752|1|0.8344566859999999|-0.009636347|-0.055405405|0.885733922|0.855081905|0.836440154|-0.073519599|-0.105145528|0.270501913|-49.67568778|-71.0446809|82.43567331|-0.036995649|-48.0034364|7.903608682000001|-1.997765039|-33.56484523|81.70091433|-24.99720254|0.44576647|2881.978785|2399.367452|0.216487385|15.82907093|146.2760938|-912.0652916|10.65623343|1.0|0.0|1.0|1.0|4.85|0.0|-7.05|3.33|2.61|94.5|1.0|0.0|0.0|1.0|-4.85|4.0|0.0|-4.51|1.4300000000000002e-05|3.09e-05|0.0132|3.19|0.0|8.95e-08|3.83e-05|5.1771|3.37|3.7872|-1670.452238|718.98|1215.98|571.76|0.44822|0.69094|0.0644|4.3963|-0.21035|0.0345115999999999|7.3979|7.3979
15b_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|2.145379897|-0.002413027|5.4161004020000005|0.024214591|2|2.0455289690000003|0.011484257|10.92966694|1|-0.175869992|2|0.791078367|-0.058258414|-0.104250125|0.83320417|0.7199249390000001|0.921918974|-0.046334564|-0.07358373|0.697099355|-31.76194123|-50.44100799|43.96642219|-0.024105015|-34.57687319|7.505718446|-1.398090862|-21.77253505|62.53159836|-16.52377848|0.414077981|2716.468606|2603.829652|0.329763626|11.42472965|226.0501037|-656.9605906|12.09059037|0.0|1.0|1.0|1.0|3.61|3.89|-8.18|4.34|4.44|56.07|1.0|0.0|0.0|1.0|-4.35|5.0|0.0|-4.64|4.46e-05|2.28e-05|0.00943|3.49|0.0|6.609999999999999e-09|2.73e-06|5.7620000000000005|2.74|3.7625|-1317.766641|721.17|1231.3|587.53|0.46711|0.68906|0.1595|4.7752|-0.20313|0.02977516|7.0706|7.0706
12k_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|0.0|-0.007818038|5.351858133|-0.029595542|2|0.0|0.0043261129999999|10.31162844|1|-0.240110949|1|0.830875659|0.001281277|-0.067714819|0.883029843|0.7933543279999999|0.815083558|-0.079026221|-0.098188266|0.340031035|-52.35426525|-65.04897323|106.8195439|-0.035199567|-43.09444587|10.61148425|-1.865577056|-34.68429919|80.03127603|-23.31944323|0.47195436|2920.279667|2277.687222|0.291863802|15.93977881|193.3575303|-818.7944715|14.9823028|1.0|0.0|1.0|1.0|4.72|0.0|-6.74|3.89|2.63|90.88|2.0|0.0|0.0|1.0|-5.44|5.0|0.0|-4.93|3.59e-06|1.19e-05|0.0050799999999999|3.84|0.0|1.84e-07|7.87e-05|5.1958|3.58|3.4715|-1690.302721|710.82|1200.31|564.62|0.39318|0.6864899999999999|0.1512|4.9516|-0.19798|0.03357755|7.6144|7.6144
3_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|2.147369615|-0.001141383|5.4161004020000005|0.03287721|2|2.180369373|0.011825591|10.92992985|1|-0.129930078|2|0.773786787|-0.0862461019999999|0.0904255319999999|0.8367373309999999|0.623172012|0.919804716|-0.052578183|-0.06572153|0.462670692|-25.5405205|-31.92506825|12.23442244|-0.024645574|-15.5080075|2.493716402|-0.985822953|-12.40663231|39.38579676|-11.97190059|0.430553837|2159.04913|1602.411021|0.280312336|8.486341272999999|136.1652785|-232.6201124|7.460728516|1.0|1.0|0.0|1.0|2.99|2.86|-7.19|4.02|4.11|43.6|0.0|0.0|0.0|1.0|-3.7|3.0|0.0|-4.26|0.000198|5.520000000000001e-05|0.0173|3.12|0.0|6.49e-08|2.03e-05|4.9088|2.66|4.0639|-990.6395508|535.44|905.23|350.36|0.58445|0.58615|0.0871|2681.0|-0.21969|0.024645265|6983.0|6983.0
9g_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|1.849105962|-0.0054957819999999|5.4161004020000005|-0.0220464379999999|0|0.895670535|0.011921308|10.31197177|2|0.133954053|0|0.764275277|-0.384131901|-0.242405063|0.821935848|0.665414608|0.90454157|-0.063539055|-0.079033043|0.002717414|-33.47455057|-41.63731423|65.74631496|-0.031197254|-21.93596333|5.930596229|-1.185495647|-17.63553984|51.16627179|-16.43578193|0.476386801|2169.234651|349.4421673|0.259759794|15.62271835|136.8503571|-329.0394499|9.528957565|0.0|1.0|0.0|1.0|2.8|1.78|-6.43|2.91|2.93|72.28|0.0|0.0|0.0|1.0|-2.49|4.0|0.0|-3.09|0.00323|0.0008179999999999|247.0|1.37|0.0|3.720000000000001e-07|0.000113|3.0778|3.83|3.0778|-1332.487689|559.04|923.42|469.6|0.70233|0.70233|0.3563|3.4787|-0.19005|0.01134289|5.45|5.45
14b_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|3.2475997860000003|-0.006248709|5.351858133|-0.071396109|2|0.716540473|0.007671236|10.31321824|2|0.121308009|2|0.793551289|-0.00399443|-0.077808321|0.857184548|0.5935522360000001|0.8462596590000001|-0.063267638|-0.082441268|0.228282196|-41.01458464|-53.44429544|40.76245006|-0.03508139|-34.64639496|8.596171261|-1.64882535|-26.58857202|64.97993029|-22.74225338|0.450973737|2943.803333|2280.830615|0.225640295|14.26820636|146.2760938|-692.9278992000001|11.53563485|0.0|0.0|1.0|1.0|3.42|3.44|-7.67|3.78|4.58|105.02|2.0|1.0|0.0|1.0|-5.58|5.0|0.0|-5.11|2.66e-06|7.73e-06|0.00332|3.68|0.0|2.14e-08|9.18e-06|3706.0|3.72|3706.0|-1729.161608|673.05|1142.37|525.66|0.58097|0.58097|0.3603|6.8752|-0.2286699999999999|0.02188578|8.3536|8.3536
12a_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|1.784989449|-0.00431394|5.4161004020000005|-0.012791297|0|0.8332127109999999|0.01039129|10.31197265|2|0.298197213|0|0.718281767|0.023863832|-0.375724138|0.7867243829999999|0.525051106|0.940879765|-0.064340227|-0.074840643|0.000279043|-32.81611621|-38.17175304|107.5277007|-0.033799|-19.46913691|3.060902482|-1.047769006|-16.73754566|43.65970865|-17.23885621|0.476055146|2185.594734|600.1247016|0.14863036|14.43505064|75.8074911|-272.5679167|5.487955617999999|1.0|0.0|1.0|0.0|3.2|3.39|-7.21|5.33|5.43|58.43|1.0|0.0|0.0|1.0|-6.41|2.0|0.0|-5.95|3.86e-07|1.13e-06|0.00039|5.43|0.0|6.15e-08|2.13e-05|3.0966|5.01|3.0966|-2097.826771|530.55|875.15|429.21|0.6998800000000001|0.6998800000000001|0.3701|2491.0|-0.2091|0.0104658999999999|5.7501|5.7501
19f_a38|0.0|1|0|0|3.3320764830000003|0.0|0|7.412764017000001|0.0|-0.007831113|5.351858133|-0.084341564|2|0.0|-0.002526241|10.96083376|1|-0.017421394|1|0.819222745|-0.075025988|-0.094149094|0.8741648479999999|0.698414933|0.750875987|-0.085318318|-0.111307609|0.488059925|-54.50401599|-71.10679028|125.7493111|-0.037844587|-45.42524686|8.601162122|-1.892229356|-34.81887413|84.35196967|-24.1763087|0.453960261|2776.145209|2846.860803|0.265562447|11.28936331|169.6496169|-772.2291966|13.24517938|1.0|1.0|1.0|1.0|4.82|2.48|-6.86|3.13|2.55|81.23|1.0|0.0|0.0|1.0|-4.14|4.0|0.0|-4.17|7.209999999999999e-05|6.77e-05|0.0272|2.78|0.0|1.4e-07|5.610000000000001e-05|5.3197|3.41|3.4422|-1332.190216|653.22|1105.62|495.68|0.38086|0.7056100000000001|0.0019|5.3152|-0.20104|0.02936908|7.1397|7.1397
14b_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|4.240438135|-0.003935732|5.82008293|0.0228205129999999|2|2.115127752|0.010215823|10.94501788|2|-0.106938404|1|0.7887047979999999|0.030057537|-0.076752616|0.831689551|0.71456262|0.904076348|-0.050362464|-0.076674952|0.7031402240000001|-33.02344264|-50.27694576|25.31245624|-0.025558317|-32.9673668|9.64109526|-1.533499045|-21.65397937|64.58491917|-16.75898192|0.445384689|2967.872393|2984.248708|0.362718946|11.45638132|237.8403928|-659.347336|14.30797341|1.0|1.0|1.0|1.0|4.64|3.64|-6.86|3.72|4.81|66.99|2.0|0.0|0.0|1.0|-4.6|5.0|0.0|-4.78|2.51e-05|1.6800000000000002e-05|0.0074099999999999|3.51|0.0|1.3900000000000001e-07|6.12e-05|5.2834|3.05|4.0775|-1431.068494|718.64|1253.87|533.25|0.55594|0.64303|0.1373|5.3711|-0.1936|0.03081037|5.1818|5.1818
8d_a32|0.0|1|1|1|3.474433107|0.0|0|7.765993078999999|0.0|-0.010604502|5.733341277|-0.089662873|0|2.146260246|-0.006974711|10.31100269|3|0.113030335|0|0.825978584|-0.054095278|-0.11492754|0.875986707|0.789198712|0.7107041559999999|-0.109612139|-0.109968322|0.261692269|-68.88621406|-69.11005922|321.2496412|-0.03346862|-43.43251025|6.291941176|-1.539556512|-43.2918338|81.54594837|-21.03349629|0.47012654|2556.198518|2371.595484|0.2914328639999999|15.29958432|183.1522214|-608.0551435|12.43588915|1.0|0.0|1.0|1.0|3.5|2.84|-7.26|6.42|4.32|154.03|1.0|0.0|1.0|1.0|-6.08|4.0|1.0|-4.36|8.41e-07|4.36e-05|0.0173|3.17|0.0|5.51e-08|2.19e-05|3.5588|4.26|3.5588|-1880.773727|671.71|111.16|540.98|0.7026100000000001|0.7026100000000001|0.3018|1.0269|-0.20115|0.04065536|8.0809|8.0809
