molecula|SddssS|NaaNH|n9FaRing|SaaNH|SRW09|nAHRing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|GATS1pe|nFaHRing|FPSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12c_a31|0.0|1|0|3.387641566|7.765993078999999|1|0.0|0.046986783|-0.013026643|5.733341277|-0.055520387|0|-0.030192572|0.0|-0.003618466|-0.094991098|10.311698300000002|-0.056866055|2|-0.000813398|-0.138799714|-0.54466023|0|0.8083148840000001|0.066071056|-0.098452311|0.770283733|0|0.030543026|-66.41224264|-82.33748068|153.400467|0.334536497|-0.036326291|-52.25551342|-1.816314565|-42.14855504|-23.05449459|0.448512808|422.3366652|-1152.7247289999998|0.3182913|8.091269314|0.813278739|5676.394271|202.0036947|-731.5771879|33.81868912|0.023556702|-230.6429907|1690.934456|583.9691392000001|14.95027019|1.0|1.0|1.0|0.35|-7.24|5.64|3.7|117.37|1.08|2.0|0.0|1.0|8.0|-5.23|5.0|-6.53|0.0|1.0|3.32|0.00233|3.1|0.0|5.79e-08|2.31e-05|-0.0338399999999999|3.8328|4.6|679.71|323.48|0.2625|323.48|578.69|0.7007399999999999|-1617.888981|-0.15904|1.6786|-1617.951882|2.2908|0.38|6.4202|6.4202
12h_a40|0.0|0|0|0.0|7.515889085|0|1.760542171|0.104392974|-0.008044548|5.4161004020000005|-0.107711573|0|0.208938531|0.803557099|-0.000134504|0.189869851|10.31197256|-0.21893421|2|-0.002126898|0.127299624|-0.556229094|0|0.809398262|0.116873629|-0.335801908|0.6948809659999999|1|0.0117142839999999|-50.45378559|-48.34705035|208.6717565|0.160518251|-0.038796498|-25.56004046|-1.280284432|-26.67382585|-20.51086984|0.4958138139999999|443.8158546|-676.8587047999999|0.155991416|7.989299324|0.983394285|5087.343024|82.46928995|-357.8405665|24.30173133|0.012453938|-363.7398044|801.957134|350.9435025|6.584127851|1.0|1.0|1.0|0.0|-6.84|4.59|5.02|84.45|3.76|2.0|0.0|1.0|2.0|-6.25|2.0|-5.13|0.0|1.0|4.22|0.0002009999999999|4.75|0.0|1.44e-07|5.2e-05|-0.07512|4.1508|4.14|548.82|469.0|0.3985|298.7|435.95|0.7041|-2153.072091|-0.1092|2.5573|-2153.123274|3.5425|823.0|6.0846|6.0846
12l_a30|0.0|0|0|0.0|7.412764017000001|2|0.0|0.157020295|-0.015371073|5.351858133|-0.274237737|2|-0.102468864|0.0|-0.00695299|0.154540315|10.31162828|-0.02588969|1|-0.004395528|-0.077457998|-0.640870513|1|0.613786308|-0.045411075|-0.0395239879999999|0.593245722|0|0.0154211289999999|-63.31694493|-76.82494797|103.5499036|0.165720595|-0.045581702|-53.74781658|-2.415830189|-44.29742723|-31.88960104|0.462727396|583.6736326|-1690.148855|0.178184921|9.258542907|0.861252543|7576.362669|124.6606826|-1182.451965|38.8038646|0.016896687|-450.2927313999999|2056.604824|696.6414817000001|11.82116027|1.0|1.0|0.0|0.17|-7.18|4.43|4.78|90.88|2.82|2.0|0.0|1.0|7.0|-6.7|8.0|-5.66|0.0|0.0|3.42|9.63e-05|5.05|0.0|6.61e-08|3.19e-05|-0.0545299999999999|5.0454|5.52|729.17|351.78|0.2294|245.74|574.72|0.68488|-1987.782294|-0.14944|2.5031|-1987.848331|2.9851|61.0|7.2154|7.2154
12k_a36|0.0|1|0|3.483171769|7.412764017000001|2|0.0|-0.076124222|-0.0071232019999999|5.351858133|-0.063399056|2|0.096315593|0.0|0.002782748|0.003690005|10.94908765|-0.058284869|1|0.003724542|-0.095253274|-0.4373676689999999|1|0.90500247|-0.09344781|-0.102077284|0.856135378|0|0.018067063|-49.87227128|-67.14870046|46.79001927|0.157229536|-0.037758075|-44.22843899|-2.038936068|-32.84907515|-24.86988906|0.478908312|555.1026569|-1342.974009|0.219318299|7.241602627000001|0.919048073|6027.033337|144.457092|-884.5687799000001|31.85663123|0.016847116|-369.7499256|1720.258086|698.847203|11.0965905|1.0|1.0|0.0|0.12|-7.01|3.62|2.42|69.2|2.38|1.0|0.0|1.0|6.0|-4.58|4.0|-6.34|0.0|0.0|2.37|0.0106|3.45|0.0|9.66e-08|3.94e-05|-0.0497|5053.0|3.83|697.92|338.46|0.3116|245.37|530.51|0.70031|-1310.072976|-0.15053|5.7818|-1310.134752|7.3988|14.0|7.8539|7.8539
12t_a30|0.0|0|0|0.0|7.412764017000001|2|0.0|0.073057637|-0.007755575|5.351858133|-0.097216874|2|-0.0596036729999999|0.0|-0.002544958|-0.0682882559999999|10.31162892|-0.04950715|1|-0.001131023|-0.0546637159999999|-0.464720444|1|0.609043558|-0.003937967|-0.080971844|0.591758164|0|0.018862708|-58.89093185|-65.79920855|88.42093081|0.303586418|-0.037159417|-42.80050261|-1.82081145|-38.30686627|-24.17113783|0.445760296|452.99711|-1184.385754|0.254294117|7.957774504|0.804273481|6617.834146|165.4110479|-770.409047|32.41376848|0.020029588|-319.6492937|1588.274656|616.2856203|13.02867425|1.0|1.0|0.0|0.14|-7.16|4.67|3.74|81.65|3.58|2.0|0.0|1.0|5.0|-5.49|6.0|-6.06|0.0|0.0|3.21|0.00141|4.07|0.0|6.900000000000002e-08|3e-05|-0.05542|5.0693|4.32|677.85|349.67|0.2094|244.58|527.87|0.6842600000000001|-1774.0165149999998|-0.15029|2.6784|-1774.077985|3.2145|9.0|8.0496|8.0496
7l_a46|0.0|0|0|0.0|7.727094485|1|2.1525548|-0.2644255789999999|-0.00090473|5.533389489|0.017668261|2|-0.203375108|0.0|0.013150047|-0.074511843|10.9642261|0.050638298|1|0.0125870169999999|-0.087877164|-0.1082221709999999|2|0.659888413|-0.1237456669999999|0.076724694|0.6539666829999999|0|0.011594057|-27.30136533|-30.34397256|8.13531199|0.092851886|-0.022013621|-14.63933792|-0.880544835|-13.17144326|-10.620390400000002|0.46327253|437.65027010000006|-424.8156159|0.32532919|5.273701985|0.863142947|4046.614178|156.9538706|-204.9507309|15.74158869|0.016330867|-168.5385796|629.6635476|375.721552|7.878766604|1.0|1.0|1.0|0.28|-6.29|3.59|3.59|43.6|1.89|0.0|0.0|1.0|2.0|-3.18|3.0|-6.22|0.0|1.0|2.86|0.1939999999999999|2.61|0.0|5.19e-07|0.000151|-0.03324|4.5464|2.42|517.29|272.71|0.2024|272.71|414.82|0.68834|-915.446686|-0.18993|3.3119|-915.493986|3.9009|1.94|5.7122|5.7122
14n_a23|0.0|0|1|0.0|7.423568444|0|3.3716621960000004|0.009802461|-0.0068536419999999|5.351858133|-0.027380305|2|0.079559363|0.747533142|0.010561248|-0.049694913|10.3132176|-0.059870135|2|0.010508236|-0.110069159|-0.404569286|2|0.756252127|0.219354173|-0.099694124|0.71381683|1|0.027028617|-39.82324087|-55.70499288|97.93357279|0.10672565|-0.032325501|-37.64460956|-1.648600566|-26.91195666|-21.84509525|0.469606631|603.6615822000001|-1114.099858|0.313179459|8.662092555|0.885393105|6740.54932|211.642042|-752.8921912999999|31.80611809|0.0242495529999999|-252.5011125|1622.112023|683.7405759|16.3874892|0.0|1.0|1.0|0.09|-7.51|3.42|4.03|114.25|2.72|2.0|0.0|1.0|6.0|-5.63|5.0|-6.47|0.0|0.0|3.48|0.0010199999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|-0.06951|3.4217|3.23|710.48|362.35|0.4229|362.35|575.71|0.6955|-1744.1828670000002|-0.1382|5.2196|-1744.244532|7.2975|1.0|9.2441|9.2441
47d_a18|0.0|0|0|0.0|7.03438793|1|0.0|-0.017398129|-0.006087337|4.844187086|-0.041876322|0|0.069914568|0.0|0.003376831|-0.07722825|10.94702255|0.016324953|0|0.005144085|-0.272202025|-0.417659275|0|0.7640994990000001|-0.002494715|0.027971797|0.741366815|0|0.015270278|-52.14267013|-71.20388424|64.92967228|0.163000873|-0.028722356|-58.06490563|-2.182899066|-42.52098397|-23.42233034|0.481311892|682.5509007|-1780.097106|0.30185619|9.940531282|0.927940864|7780.945962999999|246.1558296|-1451.622641|33.54943497|0.018506261|-323.1621908|2549.757058|1255.618298|15.0913716|1.0|1.0|1.0|0.32|-8.83|2.81|3.21|88.97|2.6|3.0|1.0|1.0|12.0|-5.74|4.0|-6.57|0.0|0.0|2.56|0.000968|4.16|1.0|1.4800000000000003e-09|7.790000000000001e-07|-0.04561|3.1079|8.08|875.6|398.94|0.5820000000000001|398.94|817.06|0.69905|-1703.545539|-0.12844|3.7605|-1703.622959|4.2225|8.0|8.0969|8.0969
6b_a31|0.0|1|0|3.404988662|7.773594467000001|1|0.0|0.052690797|-0.016070861|5.733341277|-0.178758575|0|0.11647286|0.0|-0.011483229|-0.032090772|10.31169819|-0.053655833|2|-0.008439437|-0.002840672|-0.57983695|0|0.838789705|-0.068433069|-0.084489161|0.795570315|0|0.032992761|-73.70779766|-78.37648097|159.79549319999998|0.372146926|-0.045675611|-47.81835367|-2.055402513|-44.96993859|-27.86719323|0.4807018779999999|383.0600707|-1254.023695|0.254079586|7.513612533|0.925676135|6099.567787|155.0167518|-765.0936586|37.35947255|0.024142162|-300.0775025|1681.1762649999998|536.6368656000001|14.72939894|1.0|1.0|1.0|0.1|-7.33|5.19|4.0|131.36|1.36|1.0|0.0|1.0|4.0|-5.63|5.0|-6.5|0.0|1.0|3.3|0.000947|3.2|0.0|4.67e-08|1.89e-05|-0.05835|3.2949|4.61|637.06|376.29|0.4967|376.29|492.36|0.7013199999999999|-1652.44739|-0.13345|5.9085|-1652.505041|8.8379|54.0|7.2676|7.2676
1k_a5|0.0|1|0|2.9020229360000003|6.605297921|0|0.0|-0.216088148|-0.0030192829999999|4.59511985|-0.064652321|2|-0.095857885|0.0|0.003886035|-0.145151027|10.9489659|-0.011848312|1|0.003708988|0.019611905|-0.254495542|2|0.567806811|-0.011552666|-0.022280685|0.558485747|0|0.010892351|-40.40908188|-38.00629774|165.11680719999998|0.216307319|-0.0301207529999999|-19.44172742|-1.114467843|-20.67084672|-15.40795854|0.48165588|400.8898627|-570.0944662|0.275045542|6.710535795|0.929220303|4479.484358|140.69669409999997|-291.6259112|21.25369168|0.019219352|-230.14624|786.3865923|357.34245360000006|9.83146028|1.0|1.0|1.0|0.0|-8.3|4.88|4.76|54.46|2.29|0.0|0.0|1.0|3.0|-3.97|4.0|-5.99|0.0|1.0|3.42|0.0336|3.16|0.0|4.99e-09|1.58e-06|-0.04516|4.7221|3.1|533.8|281.38|0.6242|262.56|398.63|0.5282|-1050.418953|-0.1798799999999999|1.5911|-1050.468159|2.3036|48.0|7.3188|7.3188
