molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|nAHRing|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8d|GATS1pe|nFaHRing|FPSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
8e_a12|0.0|0|1|1|0.0|1|1.873617728|4.727387819|-0.049397555|2|0.0661362779999999|2.197856963|-0.330207456|10.94458094|-0.0309579439999999|1|1|0.005744805|0.112673977|-0.136145064|0.83954453|0.761892879|-0.051240735|0.797199175|1|0.0155147339999999|-50.273571200000006|8.884082475|0.060372083|-28.78776717|5.0872236|0.0|0.7112578709999999|-17.05887601|61.4656313|-17.80522313|0.45384745|2548.979738|538.051884|-854.6507103|2112.908299|0.2887421289999999|6.446557205|11.80358346|5490.975165|165.34017769999997|-489.392042|25.03342862|0.019545275|-241.94192880000003|1201.604574|11.19206011|1.0|1.0|1.0|1.0|4.11|21.0|3.34|3.05|2.0|0.0|117.04|0.0|3.0|366.42|0.0|1.0|0.0156|2.03e-05|3.53|1.19e-08|4.34e-06|-0.05739|5.247999999999999|3.45|3.3044|-1177.619013|-1177.593205|612.59|1048.44|375.21|236.25|481.04|0.38889|-1177.380602|0.2252|1.0295|-0.19338|0.02580783|-1177.436953|6.2306|6.2306
12t_a36|0.0|1|0|0|0.0|2|0.0|5.351858133|-0.034194893|2|0.035510516|0.0|-0.404180985|10.95395385|-0.0288761339999999|1|1|0.0045625|0.059266516|-0.169994208|0.902377067|0.829598864|-0.050788309|0.857993338|0|0.017627553|-67.01551397|11.7409283|0.166244358|-44.63604995|7.820109571000001|0.417511887|0.78316808|-32.61842026|77.32343502|-23.93411213|0.48189543|2771.211293|555.3275093999999|-1340.3102789999998|2320.375227|0.21683192|7.960344391|15.36435856|5936.009091|144.422087|-892.7209991000001|30.56063281|0.01547607|-377.2113003|1711.395437|10.30792105|1.0|0.0|0.0|2.0|4.94|17.0|3.62|2.45|1.0|0.0|133.52|0.0|6.0|409.49|0.0|1.0|0.0102|2.6600000000000003e-05|3.47|4.38e-08|1.7899999999999998e-05|-0.05302|3.8844|3.87|3.6694|-1311.585049|-1311.552739|713.6|1208.04|337.89|319.18|562.72|0.69297|-1311.287803|0.0155|5.9081|-0.2039|0.03230976|-1311.349439|8.0969|8.0969
12f_a30|0.0|0|0|0|-4.734662095|2|0.0|5.351858133|-0.274237737|2|0.1468972409999999|0.0|-0.874676289|10.31162828|-0.046588557|1|1|-0.004395528|0.4304505939999999|-0.226973911|0.613786308|0.8246767140000001|-0.071123509|0.593245722|0|0.01570263|-76.85198573|11.07796031|0.164253554|-54.21787616|7.815328055|1.45550709|0.815175332|-45.01820228|89.21786458|-31.90082427|0.472521727|3305.792133|589.6060704|-1690.743686|2712.844784|0.184824668|8.366190175|15.86072943|7634.176316|130.3909181|-1192.793275|39.1336968|0.01752821|-444.7025522|2074.08593|12.36587885|1.0|0.0|0.0|1.0|4.73|17.0|4.43|2.82|2.0|0.0|133.96|0.0|7.0|482.48|0.0|0.0|9.63e-05|1.2e-06|5.05|6.61e-08|3.19e-05|-0.05464|5.0587|5.52|3.5298|-1988.032639|-1987.998635|729.87|1225.63|351.25|245.09|574.31|0.32483|-1987.782125|0.1596|3.6633|-0.20422|0.03400408|-1987.848015|7.7144|7.7144
9h_a24|0.0|1|0|0|0.0|0|1.726213624|5.209486153|2.01e-05|2|0.078066659|0.0|-0.105982525|10.96661419|-0.002471577|2|2|0.012380829|0.144624936|-0.047269812|0.687815726|0.78742035|-0.004960317|0.656172477|0|0.018457687|-32.48899638|8.724425117000001|0.1162247219999999|-15.35662744|4.123788393|1.773520599|0.572371258|-13.48059881|47.51520531|-12.42226332|0.477589721|2062.34011|417.7355164|-422.3569529|768.1954692|0.427628742|5.805547147|11.11300329|4170.098082|202.1279819|-199.6361567|21.70315707|0.031789952|-68.41568372|737.9073405|15.02620893|1.0|0.0|1.0|1.0|2.84|22.0|2.42|1.07|0.0|0.0|82.17|0.0|3.0|288.31|0.0|1.0|423.0|0.000575|1.7|8.95e-07|0.000258|-0.0435399999999999|5.1739|1.16|4.3437|-945.2642633|-945.2337612|506.68|831.92|285.43|239.63|363.48|0.54606|-945.153352|0.0073|5.6654|-0.22593|0.0305020989999999|-945.200628|7.1135|7.1135
12ah_a36|0.0|1|0|0|0.0|2|0.0|5.351858133|-0.043678703|2|0.078459408|0.0|-0.41302559|10.95983779|-0.050147748|1|1|0.0010871589999999|0.133939811|-0.177407665|0.8941919290000001|0.835013502|-0.0861053359999999|0.8065052890000001|0|0.0184777819999999|-68.45222166|11.93961081|0.171594725|-44.23111357|7.714903458999999|0.0|0.768906425|-31.66734951|80.02464883|-24.6427998|0.468162246|2786.56479|535.2826672|-1232.13999|2334.380591|0.231093575|8.26712637|15.54445187|6015.129321|149.3235124|-796.1600443|32.04915319|0.017909528|-347.5133554|1602.457659|11.57242717|1.0|0.0|0.0|2.0|4.73|17.0|3.35|2.51|1.0|0.0|128.76|0.0|5.0|415.88|0.0|1.0|0.0151|2.55e-05|3.31|6.65e-08|2.77e-05|-0.05637|5.2259|3.79|3.7792|-1692.545871|-1692.512868|682.21|1148.39|328.07|237.25|532.36|0.40051|-1692.3109559999998|0.0485|5.4979|-0.2107099999999999|0.03300341|-1692.369929|7.9586|7.9586
4a_a49|0.0|0|0|0|0.0|1|2.085628989|5.4161004020000005|-0.074495823|2|-0.080255074|1.713107022|-0.3631108529999999|10.92777282|0.018857363|1|1|0.000660956|-0.130491035|-0.060391347|0.7541604690000001|0.803344301|0.032396301|0.731643066|1|0.017143497|-53.88810275|10.51443916|0.242956384|-33.05061877|6.448709504|60.11195021|0.650301539|-35.44496163|68.37721704|-17.96270092|0.4716382|2675.628678|464.3095353|-916.0977468|1647.61849|0.349698461|7.934892916|15.01791558|5950.370212|214.47685|-561.8605190000001|27.62211044|0.023624093|-184.3656985|1408.727632|14.48911428|0.0|1.0|1.0|2.0|3.35|21.0|3.4|1.25|1.0|0.0|114.08|0.0|6.0|399.45|0.0|0.0|211.0|0.000305|1.71|4.35e-08|1.74e-05|-0.06461|4.7259|3.34|3.7876|-1313.19945|-1313.158118|660.19|1128.22|327.34|262.35|504.63|0.35731|-1312.924353|0.0789|3.9716|-0.2231199999999999|0.04133192|-1312.98289|7.4949|7.4949
3a_a49|0.0|0|0|0|0.0|1|2.09865947|5.4161004020000005|-0.072328354|2|-0.044367345|1.819785|-0.337858497|10.92976559|0.00497674|1|1|0.000521532|-0.074886415|0.003978478|0.775818577|0.8145214209999999|0.008391259|0.7476073409999999|1|0.016205613|-51.82200998|9.491036042|0.27109473|-30.35026007|5.558553447|59.40691577|0.689774813|-32.39206742|64.2037853|-17.97906469|0.474653816|2599.121578|426.893216|-880.9741697000001|1793.526571|0.310225187|6.566343333|12.49907878|5792.106924000001|181.6875706|-515.9544212000001|26.06512204|0.021141449|-222.2883651|1277.19098|12.38177532|0.0|1.0|1.0|2.0|3.25|21.0|2.77|1.04|1.0|0.0|112.14|0.0|5.0|384.43|0.0|0.0|0.3379999999999999|0.000503|1.38|6.52e-08|2.51e-05|-0.05732|5.1647|3.16|3874.0|-1254.012043|-1253.973708|635.89|1082.21|320.04|240.06|449.68|0.53794|-1253.756918|0.0793|3801.0|-0.2171|0.03833529|-1253.8126619999998|7.1938|7.1938
15_a31|0.0|1|0|0|0.0|1|0.0|5.733341277|-0.134784483|0|-0.0302581979999999|0.0|-0.775463115|10.31169996|-0.074455342|2|2|-0.007631228|-0.052339921|-0.272545088|0.8314086070000001|0.8022000659999999|-0.116356616|0.782925607|0|0.038524836|-70.00513464|20.47825449|0.4328912239999999|-37.21191643|10.88541717|514.6215199|0.641533577|-32.83191294|88.05886218|-22.10688462|0.466164359|2351.566145|301.452236|-840.0616157|1675.977147|0.358466423|6.148947296|11.51842782|5087.628096|190.5463457|-446.5429972|34.45943505|0.03396368|-150.46712390000002|1309.458532|18.05372755|0.0|1.0|1.0|2.0|3.31|16.0|4.12|0.41|0.0|0.0|90.47|0.0|4.0|342.37|0.0|0.0|18.0|0.000272|2.18|2.19e-06|0.000749|-0.04192|4569.0|3.9|4569.0|-1460.900291|-1460.861851|556.68|925.93|271.36|271.36|452.98|0.5241899999999999|-1460.736142|348.0|5.5793|-0.19394|0.03843988|-1460.790873|5.9586|5.9586
8_a47|0.0|0|0|0|0.0|0|0.0|5.476463552|-0.099564745|2|-0.087101663|1.335354131|-0.391797226|10.93671024|-0.14203855|0|0|-0.007648516|-0.177626636|-0.003223628|0.686795267|0.7847248109999999|-0.223459904|0.659210804|1|0.008687692|-53.11155658|5.043798869|0.150243126|-30.83488674|2.928269795|0.0|0.819702033|-25.60148752|60.62152862|-20.78278301|0.414302597|2621.772106|493.3419136|-956.0080185|2217.264922|0.180297967|6.492934319|11.08581716|6219.278078|104.6752861|-555.0279614|25.35407034|0.012935553|-371.2177396|1166.287236|7.509972037000001|1.0|1.0|1.0|2.0|3.02|22.0|5.67|3.9|2.0|0.0|113.97|0.0|4.0|405.85|1.0|0.0|0.000104|6.490000000000001e-07|5.61|5.62e-10|2.28e-07|-0.05495|3.6696|4.91|3.6696|-1686.068471|-1686.0356350000002|621.06|1071.62|337.87|337.87|433.38|0.6877800000000001|-1685.8518170000002|0.2249|3585.0|-0.2085199999999999|0.03283575|-1685.908004|7.3|7.3
4R4k_a46|0.0|0|0|0|0.173180233|1|2.145043462|5.587248657999999|-0.088084767|1|-0.104665424|0.0|-0.252970193|10.94631314|-0.1032662209999999|1|1|0.006050983|-0.158788415|0.012963356|0.78837943|0.7477594870000001|-0.141706595|0.784722915|0|0.007883196|-45.72566346|4.194771739|0.109374836|-24.33134018|2.232103603|0.0|0.866681099|-25.39807111|49.58292992|-16.19450581|0.465590034|2105.035168|473.9155694|-777.3362788|1767.850427|0.133318901|5.522208638|10.33328154|4711.736397|70.94107067|-413.632783|18.68565706|0.007248925|-390.2334878|896.9115391|3.857266463|1.0|1.0|1.0|1.0|3.8|17.0|4.26|2.84|1.0|0.0|100.96|0.0|2.0|333.43|0.0|1.0|5.0|1.4800000000000002e-05|4.05|2.48e-07|8.28e-05|-0.02045|5.2965|4.52|4.1392|-1053.439174|-1053.413412|565.94|994.13|299.53|234.09|490.83|0.54119|-1053.202129|0.1008|1.8559|-0.19529|0.0257622|-1053.254911|7.0132|7.0132
