molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|PNSA2|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
13a_a6|0.0|1|3.417162147|0.0|7.412764017000001|1.430639975|0.0|-0.042110772|5.351858133|-0.0265090529999999|1|0.041767677|0.031837397|0.0|-0.602500119|-0.00460563|10.95129557|1|-0.00194781|-0.10896749|-0.180339002|-0.488098052|1|0.850080948|-0.091892803|0.8013954109999999|-0.094081761|-0.113446379|0.22670695|0.031866842|-74.18628740000001|20.83876732|154.9639272|-0.040840697|-48.51283287|13.62714959|0.759912392|-2.042034827|-40.23198232|87.37044493|-26.70706346|82.36189896|-1335.353173|8.038453162|0.8764206290000001|157.0011174|-873.2309916000002|35.14492428|0.02016134|1757.246214|1.0|1.0|2.0|3.53|0.12|23.0|-9.01|4.98|2.0|0.0|0.0|5.0|-5.51|409.44|0.0|3.52|3.11e-06|1.02e-05|0.00417|3.8|0.0|9.77e-10|4e-07|5.9934|3651.0|-1350.085889|1166.79|0.5352|206.87|571.9|0.70072|-1349.834826|0.2697|-0.14969|7.7145|-0.19987|9.2157|46.0|7.3372|7.3372
2_a33|0.0|1|3.396444161|0.0|7.765993078999999|0.609420748|0.0|0.047294725|5.733341277|-0.064926835|0|0.039958333|-0.049900189|2.112255684|-0.476784502|-0.002514803|10.31100266|3|-0.000810928|-0.083752249|-0.148024156|-0.593915758|0|0.787714775|-0.096644295|0.753434785|-0.0804186|-0.104047115|0.411881091|0.018451635|-63.57699532|11.27469555|103.5201191|-0.031851158|-38.84811555|6.889294995|0.702597735|-1.56070672|-30.02592687|75.44970552|-19.46234551|60.41371259|-953.6549298|6.152818143999999|0.8867875909999999|181.7248125|-582.7217333|27.70055258|0.019430318|1357.327077|0.0|1.0|2.0|3.57|0.3|19.0|-7.67|6.7|2.0|0.0|1.0|7.0|-6.35|411.54|1.0|3.98|4.44e-07|1.6800000000000002e-05|0.0069|3.72|0.0|2.13e-08|8.78e-06|3.6281|3.6281|-1920.079174|1128.98|0.2911|341.74|525.38|0.70205|-1919.830424|0.2911|-0.15012|4.2519|-0.19979|5539.0|6.0|8.2596|8.2596
40_a47|0.0|0|0.0|0.0|6.823286122000001|1.420389717|1.715145925|-0.246203395|4.727387819|-0.0934645509999999|3|0.041396825|-0.056839794|1.566109469|-0.179798097|0.002212256|10.98214138|1|0.003634698|-0.147591116|-0.338113214|-0.2636225|3|0.63155995|0.090270598|0.607650682|-0.060416547|-0.083237511|0.237173658|0.02047837|-44.90375373|11.04737121|54.11003524|-0.027052191|-24.22401965|5.959674083|0.573656733|-1.082087641|-17.58259718|60.97203959|-14.59371996|43.64000551|-583.7487984|7.042383142|0.843174422|229.9974239|-314.91225539999994|25.43981292|0.029785575|1017.592517|1.0|1.0|1.0|3.07|0.11|21.0|-7.08|2.96|0.0|0.0|0.0|3.0|-3.26|334.35|0.0|2.72|0.000546|0.000192|0.0643|2.19|0.0|8.339999999999999e-08|2.79e-05|4.0176|3.7236|-1123.174467|947.27|271.0|308.6|444.47|0.68492|-1122.9968210000002|0.2612|-0.15231|4.7542|-0.20317|6.5995|4.0|8.4|8.4
21c _a23|0.0|0|0.0|0.0|7.525639975|1.197962776|3.311482916|0.178300778|5.4161004020000005|-0.135572353|2|0.043130342|0.0645437059999999|0.731360766|-0.576752175|0.003456487|10.3132171|2|0.0035741379999999|-0.0201427689999999|-0.036896213|-0.596546056|2|0.7641222459999999|-0.060079444|0.7301130229999999|-0.08365474|-0.098699133|0.2571258939999999|0.014036138|-70.15570019|9.976937758|323.3651097|-0.040210758|-49.86692499|7.09164338|0.834557275|-2.171380929|-42.26586935|79.71722579|-28.58195193|69.43902929|-1543.4254039999998|8.945789862|0.881854988|117.597286|-1097.07235|34.24804117|0.013451712|1849.394223|0.0|1.0|2.0|3.68|0.08|26.0|-7.33|3.1|1.0|1.0|1.0|6.0|-5.63|468.53|1.0|3.0|2.35e-06|1.92e-05|9.0|2.86|0.0|4.69e-08|2.2e-05|3.6649|3.6649|-1837.964768|1275.12|0.3329999999999999|338.3|587.02|0.5885699999999999|-1837.67081|0.3329999999999999|-0.15089|6.0226|-0.22981|8.3979|67.0|7.1752|7.1752
5_a47|0.0|0|0.0|0.0|0.0|1.304329328|0.0|0.019688132|0.0|-0.188550227|2|0.037492877|0.003858593|1.284688504|-0.390426|-0.012670377|10.9367109|0|-0.011237954|-0.019811664|-0.0428873159999999|-0.454659897|2|0.7063295709999999|0.0743193|0.675164258|-0.087763105|-0.1001981959999999|0.526509524|0.009936558|-52.90420509|5.246458665|104.9032216|-0.038537768|-27.93318665|2.770107005|0.781571204|-1.502972943|-24.46654029|62.14504725|-20.34777119|51.58499074|-793.5630764|5.861037845|0.8997183470000001|115.3294396|-418.9977997|26.03444329|0.017501741|1015.343288|1.0|1.0|2.0|2.67|0.0|22.0|-8.68|4.73|2.0|0.0|0.0|3.0|-5.65|365.79|1.0|4.29|2.25e-06|3.18e-06|0.00116|4.7|0.0|2.07e-09|7.590000000000001e-07|3.7083|3.7083|-1569.369195|951.68|0.2108|334.35|401.16|0.69291|-1569.20723|0.2108|-0.15419|2.9121|-0.20954|3.8816|0.02|7.7|7.7
12k_a36|0.0|1|3.483171769|0.0|7.412764017000001|1.297043952|0.0|-0.076124222|5.351858133|-0.063399056|2|0.039061728|0.096315593|0.0|-0.413145744|0.002782748|10.94908765|1|0.003724542|-0.095253274|-0.1619981409999999|-0.4373676689999999|1|0.90500247|-0.102077284|0.856135378|-0.075717305|-0.101946803|0.367754573|0.018067063|-67.14870046|11.90012613|46.79001927|-0.037758075|-44.22843899|7.838185977999999|0.7806817009999999|-2.038936068|-32.84907515|78.24529096|-24.86988906|61.7723974|-1342.974009|7.241602627000001|0.919048073|144.457092|-884.5687799000001|31.85663123|0.016847116|1720.258086|0.0|0.0|2.0|4.89|0.12|17.0|-7.01|3.62|1.0|0.0|0.0|6.0|-4.58|407.47|0.0|2.37|2.6e-05|2.82e-05|0.0115|3.45|0.0|9.66e-08|3.94e-05|5053.0|3.6631|-1310.3453949999998|1186.08|0.3116|245.37|530.51|0.70031|-1310.072976|0.0908|-0.15053|5.7818|-0.20023|7.3988|14.0|7.8539|7.8539
18_a34|0.0|0|0.0|0.0|7.423568444|1.4547811819999998|1.801574074|-0.063113846|5.351858133|-0.101546926|1|0.040527066|-0.100548575|0.0|-0.677741618|-0.001615187|10.9595763|1|0.002183342|-0.3102088839999999|-0.478810922|-0.493450778|1|0.759292258|-0.224951558|0.713979177|-0.090328365|-0.129784908|0.295523326|0.040845819|-71.65163761|22.55015528|66.6880793|-0.0422555509999999|-39.55742812|12.44948722|0.695849945|-1.816988713|-27.53138148|86.77082535|-23.32844015|72.41862911|-1003.122927|6.282442545|0.789096743|167.9151283|-553.8039936|33.52510165|0.027385869|1441.579371|1.0|1.0|0.0|3.28|0.21|17.0|-5.65|3.13|1.0|0.0|0.0|5.0|-4.32|351.36|0.0|2.89|4.77e-05|7.829999999999999e-05|0.0275|3.07|0.0|2.22e-06|0.000781|4.4335|4.1234|-1199.288654|991.93|0.3525|279.66|483.87|0.60488|-1199.101028|0.0303|-0.17549|5.0935|-0.21474|6.7806|2.43|5.6144|5.6144
12q_a30|0.0|0|0.0|-4.76444841|7.412764017000001|0.60498366|0.0|0.144208934|5.351858133|-0.27228842|2|0.0438779959999999|-0.016509571|0.0|-0.873376576|-0.00695299|10.31162828|1|-0.004395528|-0.077457998|-0.226973911|-0.636798458|1|0.613786308|-0.032887649|0.593245722|-0.087348134|-0.115589613|0.596557166|0.014790072|-78.7683329|10.07866809|82.72757145|-0.045799658|-53.67653794|6.868090132000001|0.820640722|-2.427381881|-40.56199584|90.06607753|-31.21009417|69.60189582|-1654.134991|7.346842839|0.900207238|122.2240555|-1127.2072970000002|38.03137394|0.016579022|2015.662819|0.0|0.0|1.0|4.73|0.17|17.0|-7.18|4.43|2.0|0.0|0.0|7.0|-6.7|482.48|0.0|3.42|1.99e-07|1.2e-06|0.000579|5.05|0.0|6.61e-08|3.19e-05|5.0573|3.4834|-1988.033527|1214.92|0.1817|245.16|537.96|0.68516|-1987.781386|0.1515|-0.14792|5.5755|-0.19897|6.821000000000001|36.0|7.4449|7.4449
1a_a18 (SB-431542)|0.0|1|3.3674017380000003|0.0|7.423568444|1.430935835|0.0|0.043282217|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.011639964|10.94959842|1|-0.008385698|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|-0.083341531|0.795744863|-0.126408788|-0.122555709|0.210046675|0.033020439|-72.69619778|19.58668728|160.410387|-0.0462988229999999|-43.12110169|11.61820782|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|-27.46300805|94.56841061|-1235.8353619999998|7.52384981|0.895533283|146.3942108|-733.0587287000001|36.46179023|0.02438148|1640.78056|1.0|1.0|2.0|3.25|0.05|23.0|-7.69|4.04|1.0|0.0|0.0|4.0|-4.52|384.39|0.0|2.85|3.03e-05|5.660000000000001e-05|0.0218|2.7|0.0|2.03e-08|7.81e-06|3.8208|3295.0|-1292.588031|1048.7|0.5767|324.5|464.08|0.69868|-1292.358966|0.3347|-0.13329|5.9926|-193.0|8.8609|125.0|6.9031|6.9031
9_a4|0.0|0|0.0|0.0|7.535296702|1.300485838|2.130445484|-0.211556011|5.4161004020000005|0.016639331|2|0.040449735|-0.019160308|2.137757657|-0.064266379|0.010709527|10.92992723|1|0.009731833|-0.0475186259999999|-0.076824065|-0.172904817|2|0.625717993|-0.072130166|0.58669472|-0.052625548|-0.069566741|0.472497372|0.009037784|-37.85762102|4.918284148|13.6577411|-0.025885299|-20.60179129|2.676487872|0.792890434|-1.113067849|-15.58475436|43.71760622|-14.08655666|33.55665428|-605.7219363|5.744374392999999|0.777625327|112.7072422|-329.6286606|17.76608225|0.010768243|763.9415367|0.0|1.0|0.0|3.18|0.19|21.0|-8.16|5.14|2.0|0.0|0.0|2.0|-4.76|360.84|0.0|4.17|1.73e-05|7.06e-06|0.00255|4.14|0.0|6.9e-09|2.49e-06|4.7284|4.0137|-1489.554198|999.93|0.1217|262.21|430.12|0.6464|-1489.36688|0.0584|-0.16948|4.4343|-0.22204|5.4739|48.0|7.3188|7.3188
3o_a32|0.0|1|3.644417045|0.0|7.773594467000001|0.609420753|0.0|-0.022603806|5.733341277|-0.014299905|1|0.035643275|-0.064818511|2.240993002|-0.306416317|-0.001411347|10.3110027|3|0.000243592|-0.061774721|-0.11221537|-0.483580522|0|0.90022001|-0.154436834|0.840991936|-0.073742105|-0.095457829|0.252703854|0.012519666|-55.03672286|7.218280399|62.67187821|-0.031819276|-31.73171751|4.161738248|0.7850948190000001|-1.4318674340000002|-24.51306152|62.56936516|-18.34557429|49.73468603|-825.5508427999999|6.392329273|0.835165165|123.9047338|-475.9757626|23.36733582|0.0130649069999999|1051.530112|1.0|1.0|2.0|3.47|0.32|19.0|-7.27|6.39|1.0|0.0|0.0|3.0|-5.72|381.52|0.0|3.74|1.89e-06|1.87e-05|0.00714|3.46|0.0|5.35e-08|2.04e-05|3.5333|3.5333|-1805.504508|1049.14|0.2851|350.9|464.85|0.70216|-1805.277864|0.2851|-0.14652|3.2729|-0.20065|5.8476|0.24|6.6198|6.6198
14b_a23|0.0|0|0.0|0.0|7.423568444|1.197963628|3.2475997860000003|0.065240838|5.351858133|-0.071396109|2|0.043538647|0.0519489729999999|0.716540473|-0.318684138|0.007671236|10.31321824|2|0.0075222369999999|-0.073945564|-0.17267308|-0.4557487779999999|2|0.616699629|-0.077808321|0.5935522360000001|-0.063267638|-0.082441268|0.228282196|0.020454632|-53.44429544|13.26014776|40.76245006|-0.03508139|-34.64639496|8.596171261|0.774359705|-1.64882535|-26.58857202|64.97993029|-22.74225338|54.274732400000005|-1068.885909|7.833620016|0.821406493|146.2760938|-692.9278992000001|29.36910744|0.01779446|1380.34805|0.0|1.0|1.0|3.42|0.05|26.0|-7.67|3.78|2.0|1.0|0.0|5.0|-5.58|429.47|0.0|3.78|2.66e-06|7.73e-06|0.00332|3.68|0.0|2.14e-08|9.18e-06|3706.0|3706.0|-1729.161608|1142.37|0.3603|334.55|525.66|0.58097|-1728.9300010000002|0.3603|-0.15064|6.8752|-0.2286699999999999|9.7544|4.0|8.3536|8.3536
47j_a18|0.0|0|0.0|0.0|7.03438793|1.251176464|0.0|0.070097424|4.844187086|-0.068902246|0|0.033563218|-0.048528478|0.0|-0.569931053|0.00031105|10.94702285|0|0.002317206|-0.218974385|-0.331885553|-0.48833504|0|0.783538352|0.005740124|0.757001264|-0.073041469|-0.094744194|0.476575952|0.015967126|-73.69868165|12.42035127|95.57657747|-0.033837212|-57.32800549|9.661420661|0.764425062|-2.368604851|-44.19607713|86.31641604|-26.32095773|69.23713027|-1842.467041|9.597380968|0.928170101|183.246715|-1433.2001369999998|34.43235841|0.016220875|2410.265089|1.0|1.0|3.0|4.54|0.28|18.0|-8.79|2.43|3.0|2.0|1.0|11.0|-5.83|499.6|0.0|2.39|1.49e-06|7.32e-06|0.00366|4.07|1.0|1.63e-09|8.159999999999999e-07|3.1054|3.1054|-1625.445572|1459.55|0.5439|399.25|776.31|0.6983600000000001|-1624.9784550000002|0.5439|-0.1285|4.1619|-0.17273|5.2118|35.0|7.4559|7.4559
16f_a32|0.0|1|3.354832924|0.0|7.765993078999999|0.609420741|0.0|0.1767304639999999|5.733341277|-0.054907428|0|0.039958333|0.008658653|2.082564316|-0.77158995|-0.003511776|10.31100265|3|-0.001202032|-0.120440534|-0.211019184|-0.697693907|0|0.801401734|-0.000510986|0.761506727|-0.08168632|-0.111152081|0.522247991|0.024434011|-76.92280867|16.90955989|89.03402347|-0.035568666|-53.23443736|11.7022626|0.69473708|-1.778433296|-39.12230215|92.82839829|-24.61529877|73.4405859|-1230.764939|8.79158776|0.625108901|211.2572338|-851.7509977|35.43109972|0.022983292|1771.554986|1.0|1.0|2.0|3.76|0.3|19.0|-7.77|6.42|3.0|0.0|1.0|9.0|-6.95|427.54|1.0|4.05|1.12e-07|1.07e-05|0.00457|4.11|0.0|1.7e-08|7.26e-06|3.6272|3.6272|-1995.307736|1191.55|0.2931|341.82|603.12|0.70204|-1995.054457|0.2931|-0.15003|3.6641|-0.2|4.2764|9.0|8041.0|8041.0
7_a3|0.0|0|0.0|0.0|6.823286122000001|0.60501656|0.0|0.198126776|4.727387819|-0.106234254|2|0.03757716|-0.047419994|1.989724777|-0.327648836|-0.007540435|10.3116226|1|-0.006696449|0.020589494|0.036673175|-0.592753801|2|0.881253042|0.0507482109999999|0.773152968|-0.1034274319999999|-0.096448591|0.5999725029999999|0.009708941|-47.72824381|4.804535747|230.9407974|-0.036877402|-23.61864737|2.377557323|0.7992146109999999|-1.253831681|-25.32764885|55.15105143|-18.2490344|55.98630667|-620.4671695000001|5.198046584|0.663120542|99.36002106|-307.0424158|22.83370969|0.0149999089999999|776.3461295|1.0|1.0|1.0|3.02|0.0|21.0|-7.48|4.96|1.0|0.0|0.0|2.0|-5.44|338.81|0.0|3.63|3.67e-06|1.34e-05|0.00455|3.79|0.0|3.28e-08|1.11e-05|5.8849|3.4435|-1731.7341420000002|883.88|0.1926|210.68|362.61|0.69224|-1731.602893|0.1262|-0.14816|3.1299|-0.21219|3.9813|1023.0|5.9901|5.9901
3p_a32|0.0|1|3.456037415|0.0|8.02059915|0.609420752|0.0|0.007752757|6.008813185|-0.028895521|0|0.036666667|-0.050639647|2.1365141480000003|-0.419292538|-0.000971341|10.31100269|3|0.000920756|-0.146606489|-0.26891009|-0.53666614|0|0.737842269|-0.120768771|0.6956696440000001|-0.070907174|-0.098773656|0.366898545|0.021264377|-58.13283248|12.5150622|40.28175307|-0.029183126|-34.21384146|7.365688817|0.6199678829999999|-1.28405753|-24.56127372|73.07639870000001|-17.1756096|54.24719019|-755.7268222|6.243062200000001|0.713035367|223.6663527|-444.779939|27.70403125|0.025390655|1218.977375|0.0|1.0|1.0|3.38|0.26|19.0|-6.79|6.06|1.0|0.0|0.0|4.0|-5.11|395.5|0.0|3.23|7.78e-06|5.629999999999999e-05|0.0222|2.7|0.0|1.62e-07|6.4e-05|3.6436|3.6436|-1879.554272|1057.58|0.3083|340.28|471.04|0.7017100000000001|-1879.350471|0.3083|-0.15055|4.3094|-0.20018|5.4496|26.0|7585.0|7585.0
14n_a23|0.0|0|0.0|0.0|7.423568444|1.197963531|3.3716621960000004|0.009802461|5.351858133|-0.027380305|2|0.045165485|0.079559363|0.747533142|-0.376950283|0.010561248|10.3132176|2|0.010508236|-0.110069159|-0.199540201|-0.404569286|2|0.756252127|-0.099694124|0.71381683|-0.058928845|-0.082430028|0.209387766|0.027028617|-55.70499288|18.26553926|97.93357279|-0.032325501|-37.64460956|12.34358104|0.6868205409999999|-1.648600566|-26.91195666|72.09248208|-21.84509525|58.08878013|-1114.099858|8.662092555|0.885393105|211.642042|-752.8921912999999|31.80611809|0.0242495529999999|1622.112023|0.0|1.0|1.0|3.53|0.09|26.0|-7.51|3.42|2.0|1.0|0.0|6.0|-5.63|441.51|0.0|3.48|2.32e-06|9.57e-06|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|3.4217|3.4217|-1744.450916|1209.95|0.4229|362.35|575.71|0.6955|-1744.1828670000002|0.4229|-0.1382|5.2196|-0.2077099999999999|7.2975|1.0|9.2441|9.2441
6f_a40|0.0|0|0.0|0.0|8.421342866|0.604893424|1.750582483|0.134099184|6.401917197|-0.156988665|0|0.038309179|-0.122783873|0.737582436|-0.8287570679999999|-0.009302776|10.30179966|2|-0.008368734|0.048543494|0.092206207|-0.628934821|0|0.7710013309999999|-0.268802228|0.742681934|-0.134203859|-0.130571562|0.363785804|0.015998475|-83.88605319|10.2782635|207.7174501|-0.052228625|-53.89282175|6.6032981820000005|0.8628087240000001|-2.350288117|-55.39203581|92.77827871|-33.55442128|96.49789556|-1509.948957|6.993991456|0.69723213|88.13890599|-970.0707913999998|38.88975659|0.013841059|1750.039046|0.0|1.0|2.0|4.05|0.21|14.0|-3.67|3.66|1.0|3.0|1.0|5.0|-6.95|457.55|1.0|2.61|1.13e-07|2.3e-05|0.0105|3.09|1.0|0.0002109999999999|0.0967|3.5741|2.57|-2426.972609|1139.55|0.2362|346.89|507.64|0.69911|-2426.725129|0.0158|-0.1131799999999999|6.2384|-203.0|8.7269|42.0|7.3768|7.3768
8d_a8|0.0|1|3.190160226|0.0|7.05012252|1.395657339|1.41693287|-0.12349902|4.844187086|-0.155313194|1|0.042323232|0.071729931|0.0|-0.633521883|-0.00267541|10.94649761|1|-0.001038264|0.016471091|0.025642021|-0.4385133129999999|1|0.76211539|-0.179357354|0.734212688|-0.1072746469999999|-0.103150936|0.377028311|0.028038295|-67.26951954|18.28507531|57.93693239|-0.03820405|-43.86958028|11.92454747|0.675359878|-2.063018716|-45.62337399|86.29065071|-24.91463687|88.24385833|-1345.390391|7.507839835|0.935013517|211.7129122|-877.3916055999999|36.89090464|0.029166961|1992.108851|0.0|1.0|2.0|3.61|0.12|23.0|-7.62|3.93|1.0|0.0|0.0|6.0|-4.91|430.46|0.0|3.0|1.24e-05|3.4200000000000005e-05|0.0147|2.89|0.0|2.38e-08|1.03e-05|4.6765|3.2963|-1447.595474|1185.65|0.3|265.12|572.21|0.70165|-1447.2928029999998|0.1879|-0.13754|6.0111|-0.19757|7.5674|18.61|4.7303|4.7303
10_a1|0.0|1|3.261363142|0.0|6.86171134|1.435871163|0.0|0.0883621719999999|4.727387819|-0.23385288|1|0.037578348|0.049971022|0.0|-0.621976404|-0.012672753|10.94957578|1|-0.0106277489999999|-0.019835038|-0.042643966|-0.623957903|1|0.674381582|0.017498337|0.658433571|-0.116648443|-0.10949971|0.126889306|0.014751098|-61.93104798|8.34295348|212.8090837|-0.045402319|-35.02707638|4.718623023|0.8340962559999999|-1.861495069|-37.31383317|70.6564636|-25.67872721|74.31719486|-1052.827816|7.376231317999999|0.850732895|93.83214542|-595.4602985|30.78628757|0.015427326|1262.237791|1.0|0.0|2.0|3.0|0.0|23.0|-8.02|4.86|2.0|0.0|0.0|4.0|-4.98|359.35|0.0|3.7|1.04e-05|1.87e-05|0.00673|3.64|0.0|9.53e-09|3.42e-06|3.4067|3.4067|-1223.159954|979.35|0.6754|363.94|464.77|0.70345|-1222.969096|0.6754|-0.13576|5.3861|-0.20378|7807.0|1.5|5.8239|5.8239
18c_a22|0.0|0|0.0|0.0|6.842683282|1.194229067|1.804590026|-0.191807441|4.727387819|0.013131848|2|0.038137255|-0.044828537|1.642882533|-0.213698903|0.005449965|10.31286086|1|0.005597023|-0.078828791|-0.143402172|-0.305378181|2|0.7290394929999999|0.010828071|0.6922232890000001|-0.057956428|-0.076388478|0.5003904610000001|0.019843706|-52.84635017|13.72808419|30.63947336|-0.028825841|-36.55965924|9.49723261|0.682690024|-1.52776956|-27.73804808|67.73280290000001|-19.94201893|53.82294919|-1056.927003|7.332936064|0.914766316|219.5183688|-731.1931848999999|29.21094233|0.0215181079999999|1548.179944|1.0|1.0|1.0|3.56|0.08|27.0|-9.46|5.36|1.0|1.0|0.0|6.0|-5.8|461.54|0.0|3.72|1.6e-06|7.98e-06|0.0036799999999999|3.5|0.0|3.4299999999999995e-10|1.58e-07|5655.0|3.7222|-1783.562578|1249.84|0.2996|219.25|583.88|0.60449|-1783.277296|0.0817|-0.15158|1.2938|-0.22365|1.0733|26.0|7585.0|7585.0
14c_a22|0.0|0|0.0|0.0|6.842683282|1.42291727|1.596256692|-0.134137693|4.727387819|-0.018518519|2|0.038137255|-0.026986769|1.568396937|-0.298463715|0.003784292|10.9464374|1|0.004362505|-0.0917078119999999|-0.160566657|-0.364626967|2|0.667111824|0.010828071|0.639264982|-0.067475189|-0.080077573|0.6160012029999999|0.024569649|-57.64986681|17.68831053|36.22825261|-0.030217952|-41.50359456|12.73426132|0.66168729|-1.60155147|-34.9718749|75.5139152|-21.75466672|66.26540251|-1152.997336|8.626337592|0.8592469290000001|243.5598613|-830.0718911|32.87756477|0.024813755|1742.5109329999998|1.0|1.0|1.0|3.49|0.08|27.0|-9.28|3.9|1.0|0.0|0.0|6.0|-4.86|445.48|0.0|2.98|1.39e-05|2.4e-05|0.0107|2.9|0.0|5.269999999999997e-10|2.35e-07|5.7361|3.6741|-1460.602657|1241.55|0.5079|216.15|575.8|0.69113|-1460.324494|0.0694|-0.15408|7.3824|-0.22807|9.04|153.0|6.8153|6.8153
14ac_a23|0.0|0|0.0|-9.994971573|7.423568444|1.1979507740000002|2.7104403130000003|0.0763230759999999|5.351858133|-0.4422550999999999|2|0.048351548|0.016532702|0.544211741|-0.66443411|-0.0066006519999999|10.3132169|2|-0.004445662|-0.069765112|-0.287952039|-0.562985112|2|0.5562570379999999|0.054652466|0.537271445|-0.0883661019999999|-0.097100967|0.300389872|0.016832361|-73.32014595|12.70997824|57.45545019|-0.043970249|-55.36344264|9.597200637|0.8077820920000001|-2.330423202|-50.3831402|87.75911516|-33.20157553|79.43449928|-1759.6835030000002|8.122941134|0.95751094|145.1421706|-1328.722623|41.10214358|0.019122137|2178.41361|0.0|1.0|1.0|3.69|0.12|26.0|-9.03|5.52|2.0|1.0|0.0|7.0|-7.31|547.48|1.0|5.43|4.92e-08|2.24e-07|0.000123|5.35|0.0|9.25e-10|5.06e-07|4.0014|3.6325|-2304.001319|1285.58|0.3209|309.85|627.76|0.69962|-2303.749331|0.2391|-0.15055|6.3004|-0.23868|8.6341|4.0|8.3851|8.3851
21_a47|0.0|0|0.0|0.0|6.86171134|1.408713027|1.2247108|0.072733799|4.727387819|-0.13650463|2|0.037801932|-0.034419528|1.028199909|-0.511216716|-0.006808306|10.95058272|1|-0.004332497|-0.1049885469999999|-0.277479519|-0.5406500129999999|2|0.612295986|0.0927058819999999|0.591185263|-0.082614966|-0.095249919|0.3188717339999999|0.022739546|-53.76411184|12.83540744|34.75044485|-0.033866638|-30.34731959|7.244985517000001|0.6448452960000001|-1.5239986980000002|-26.32173133|70.10126935|-19.11612865|59.46768095|-860.2257893999999|7.071346534|0.862591353|200.4681737|-485.55711339999993|29.64451905|0.028943339|1334.003357|1.0|1.0|2.0|3.29|0.1|21.0|-7.7|2.94|1.0|0.0|0.0|6.0|-4.44|394.38|0.0|3.43|3.6e-05|4.84e-05|0.0191|3.0|0.0|1.98e-08|7.8e-06|3917.0|3917.0|-1375.061089|1014.33|0.2249|316.53|441.93|0.68296|-1374.858663|0.2249|-0.16158|3.6767|-0.2249699999999999|4.9172|5.0|8.3|8.3
6a_a40|0.0|0|0.0|0.0|8.421342866|0.604893625|1.78213955|0.117890918|6.401917197|-0.077397672|0|0.035707071|-0.146542353|0.775942224|-0.68730803|-0.001347823|10.30179985|2|-0.001171195|-0.021759541|-0.040435852|-0.620787469|0|0.682273668|-0.340539542|0.657059571|-0.109047987|-0.117413572|0.360858579|0.016399125|-73.33687786|10.24294396|185.06174|-0.049149867|-45.80643937|6.397774285|0.8678518190000001|-2.113444291|-42.542782200000005|81.37714586|-30.69915817|78.35465194|-1320.063801|6.945713476|0.708845065|82.54016015|-824.5159087000001|35.37373259|0.012872604|1521.070502|0.0|1.0|1.0|3.99|0.21|14.0|-4.05|4.38|2.0|2.0|1.0|5.0|-7.11|442.53|1.0|3.17|7.85e-08|1.03e-05|0.00457|3.77|1.0|8.950000000000001e-05|0.0396|2.9836|2.9836|-2371.579899|1103.4|0.4015|415.55|497.78|0.6782699999999999|-2371.3827|0.4015|-0.11995|6.9379|-0.21255|9.3893|0.04|7.3979|7.3979
