molecula|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RPSA|TPSA_x|WNSA5|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|DPSA1|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12ar_a36|1|0|0.0|0|7.412764017000001|2|1.297042582|0.0|-0.007046017|0.000258844|2|0.040839506|0.0|-0.40866901|0.000939229|-0.1073795209999999|10.95407427|-0.036002609|1|1|0.002112069|0.145909555|-0.169341326|-0.4194638229999999|1|0.8371588959999999|-0.017348015|-0.064014394|0.8196353679999999|0.8365428659999999|-0.080760277|-0.098732471|0.317338373|0.022389124|-54.80317647|-66.9989409|0.163457134|110.9204982|-45.46486105|0.0|-1.875916952|-37.18892821|-23.57370143|69.99622854|0.4743067589999999|2902.67985|567.6702443|-1272.979877|2404.999137|0.294408813|16.68371115|-279.0245523|708.5476357999999|0.0|1.0|0.0|2.0|0.17|-7.05|3.14|0.0|133.27|0.0|-3.92|32.0|-7.21|420.47|0.0|0.0|-3.91|0.0001199999999999|0.0503|0.000122|2.33|0.0|0.0|3.76e-05|-0.0566|5225.0|3.23|-1364.467971|717.19|322.13|0.5586|0.41433|0.67174|-1364.235126|-0.15631|-1364.2977050000002|8.7322|25.0|7.6021
20b_a10|0|0|0.0|1|7.535296702|1|1.343837209|2.103422978|-0.007463406|-0.073703704|2|0.035818182|1.854149459|-0.447804373|0.001965496|-0.042013549|10.92966143|-0.013623188|1|1|0.002637529|-0.049452599|0.031942481|-0.450145946|2|0.761071345|0.052265135|-0.022843761|0.6980623109999999|0.75259177|-0.094975935|-0.088479815|0.6741049840000001|0.013038163|-60.68950774|-56.53849503|0.24740823|158.09355980000004|-36.12803002|91.02309592|-1.85807612|-38.78052212|-21.58742537|69.02087825|0.454087415|3085.433676|480.905232|-1187.308396|2257.777328|0.238378673|13.838742600000002|-334.3514234|769.1246171|1.0|1.0|1.0|1.0|0.11|-8.93|4.23|0.0|129.73|0.0|-5.22|34.0|-6.53|447.49|0.0|1.0|-5.09|6.05e-06|0.00271|8.13e-06|3.52|0.0|0.0|5.26e-07|-0.0578399999999999|5.9354|4.88|-1465.587932|687.84|317.8|0.2782|0.3246|669.0|-1465.333983|-0.16388|-1465.395231|7.7954|1.1|5.9586
18a_a25|0|0|0.0|1|6.842683282|0|1.194229606|1.875390684|-0.0029953159999999|-0.019008377|2|0.038167849|2.050257213|-0.170732995|0.007643634|-0.018419483|10.31286118|-0.019985937|1|1|0.007325341|0.106305991|-0.06333068|-0.2936794219999999|2|0.7385460309999999|-0.039007784|-0.035531959|0.7291583840000001|0.931628386|-0.055926422|-0.078181889|0.341320954|0.0095281269999999|-37.07961488|-51.83514755|0.068371614|45.33086513|-34.36707071|0.0|-1.641819678|-24.58404782|-20.53845469|43.39683067|0.493301255|2857.88027|617.676232|-1088.538099|2331.966135|0.182927961|14.59524518|-420.4420243|759.4953883|1.0|1.0|1.0|1.0|0.08|-9.78|5.89|1.0|133.85|0.0|-6.33|32.0|-5.58|435.54|0.0|1.0|-5.77|4.65e-07|0.000202|1.71e-06|4.76|0.0|0.0|7.28e-08|-0.05591|5.4965|4.51|-1675.2501519999998|694.17|390.98|0.3234|0.2834|0.5274399999999999|-1674.982248|-0.15732|-1675.04368|4.3839|94.0|7.0269
14g_a23|0|1|-4.794439428|2|7.423568444|0|1.197957711|3.0793867980000003|-0.014609495|-0.301504331|2|0.0422736629999999|0.653317181|-0.803522236|-0.002390707|-0.031968899|10.3132174|-0.030586527|2|2|-0.0004039459999999|0.179219801|-0.2952674819999999|-0.648987099|2|0.796412133|0.010202051|-0.044895912|0.575188253|0.907334473|-0.072819606|-0.096288005|0.297855753|0.018341721|-51.82254036|-68.52397802|0.092665527|65.94601775|-48.76552945|1.5679977319999998|-2.118336119|-36.87984398|-29.55936307|64.87554405|0.461846955|3400.464046|645.7104105000001|-1507.527516|2531.8503170000004|0.219684185|16.32997765|-398.9771038|676.4530574|1.0|0.0|1.0|1.0|0.09|-7.95|3.97|1.0|126.97|0.0|-6.89|35.0|-5.94|495.48|0.0|0.0|-6.0|1.29e-07|6.38e-05|1e-06|4.76|0.0|0.0|5.57e-06|-0.08011|3.7042|5.17|-2042.161409|730.13|334.71|0.3478|0.56658|0.56658|-2041.934312|-0.1519|-2042.000034|10245.0|0.01|8.0
3_a27|0|0|0.0|2|6.605297921|0|1.402697639|3.127072625|-0.00648099|-0.096132106|2|0.040512821|1.177265999|-0.27868256|0.009082086|0.042659548|10.93782973|0.024154412|1|1|0.00955169|-0.296039263|-0.341338963|-0.479874452|2|0.810053853|0.136381755|0.038685745|0.610158103|0.862115922|-0.06145119|-0.086153958|0.397733752|0.019234305|-31.82136336|-44.61323499|0.137884078|71.40072181|-23.10213938|57.97805043|-1.292309364|-16.47810502|-16.72996312|41.78149261|0.44566003|2294.213272|446.4308003|-669.1985248999999|1043.697725|0.266146248|11.64968556|-242.1936891|401.7540197|1.0|0.0|1.0|0.0|0.05|-5.89|2.8|0.0|97.71|0.0|-3.7|25.0|-6.41|329.36|1.0|1.0|-3.99|0.0002|0.0658|0.000103|2.67|0.0|0.0|0.000423|-0.05512|5.5045|4.92|-1081.88481|547.92|312.93|0.2305|0.34864|0.6734600000000001|-1081.744053|-0.16457|-1081.794829|4.1551|4.0|8.3979
20_a31|1|1|0.0|0|7.765993078999999|0|0.609420757|0.0|-0.009722467|-0.057200812|0|0.03995614|2.114008068|-0.476400874|-0.003484915|-0.020082435|10.31100269|-0.078213611|3|3|-0.001662219|-0.023477148|-0.1534110109999999|-0.594513619|0|0.8602874540000001|0.028036914|-0.131662689|0.7507116140000001|0.7954270659999999|-0.085849869|-0.110195543|0.246878555|0.019334605|-53.79798102|-69.0542431|0.2045729339999999|128.1960117|-43.27297051|75.10345696|-1.542737604|-33.71260536|-21.01650877|65.91404723|0.464597945|2576.1287230000003|498.4558574|-966.7594033|1758.762093|0.289292958|15.48343758|-264.0799235|557.1050635|1.0|1.0|1.0|2.0|0.26|-7.65|6.49|0.0|110.47|1.0|-5.91|27.0|-6.39|397.52|0.0|1.0|-4.44|1.24e-06|0.000493|3.66e-05|3.29|0.0|0.0|8.86e-06|-0.06065|3.5381|4.78|-1880.734655|666.67|350.43|0.2011|0.7036600000000001|0.7036600000000001|-1880.538664|-0.1483|-1880.599777|4.9218|8.0|8.0862
9h_a24|1|0|0.0|1|7.153833802|0|1.428198245|1.726213624|-0.002864393|2.01e-05|2|0.023854167|0.0|-0.105982525|0.013595277|-0.209618231|10.96661419|-0.002471577|2|2|0.012380829|0.144624936|-0.047269812|-0.207206943|2|0.78742035|0.183289617|-0.004960317|0.656172477|0.883775278|-0.060337884|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|0.1162247219999999|54.93613103|-15.35662744|1.773520599|-0.8935525440000001|-13.48059881|-12.42226332|37.24443236|0.477589721|2062.34011|417.7355164|-422.3569529|768.1954692|0.427628742|11.11300329|-68.41568372|295.8603625|0.0|1.0|1.0|1.0|0.0|-6.05|2.42|0.0|82.17|0.0|-2.83|22.0|-6.85|288.31|1.0|1.0|-3.24|0.00147|423.0|0.000575|1.7|0.0|0.0|0.000258|-0.0435399999999999|5.1739|1.16|-945.2337612|506.68|285.43|0.3844|0.54606|0.61928|-945.153352|-0.18239|-945.200628|7.7741|77.0|7.1135
12r_a30|0|0|0.0|0|7.412764017000001|2|0.604984545|0.0|-0.007553813|-0.093024002|2|0.043383838|0.0|-0.400352091|-0.002544958|-0.0682882559999999|10.31162892|-0.0646674999999999|1|1|-0.001131023|-0.247439715|-0.145315868|-0.44083509|1|0.83236194|-0.007140234|-0.105767484|0.591758164|0.72072745|-0.090229387|-0.109990462|0.451652492|0.019137908|-58.32042638|-71.0931422|0.27927255|180.5098625|-45.9515743|0.0|-1.979828309|-37.69583567|-26.11584816|70.6903535|0.464481911|2976.944611|465.8474777|-1279.67656|2433.580273|0.209934663|13.94386247|-374.9717191|616.2856203|1.0|1.0|0.0|1.0|0.14|-7.16|4.67|0.0|127.19|0.0|-5.49|31.0|-6.06|434.46|0.0|0.0|-5.17|3.24e-06|0.00141|6.71e-06|4.07|0.0|0.0|3e-05|-0.05244|5067.0|4.32|-1774.2026670000002|679.64|353.12|0.1908|0.32409|0.68476|-1774.009422|-0.14894|-1774.070699|6.5511|29.0|7.5317
3b_a12|0|0|0.0|0|0.0|1|1.283824445|0.0|-0.007916598|-0.043495794|2|0.0375|0.0|-0.332497127|-0.004028952|-0.065558712|10.9540388|-0.003968827|0|0|-0.003019113|-0.19952566|-0.116772665|-0.547002361|1|0.768772928|-0.008328578|-0.007397776|0.802482465|0.903204699|-0.064393592|-0.088443201|0.073824142|0.0103611969999999|-33.57216667|-46.11064215|0.096795301|50.46508298|-24.04018959|0.0|-1.326648015|-17.50314491|-17.73486237|38.97406803|0.390744506|2186.64676|470.8937285|-691.6596323|1935.211747|0.2311778089999999|10.88757628|-280.3056362|406.0361621|1.0|0.0|1.0|1.0|0.05|-8.1|4.05|0.0|102.53|0.0|-4.26|24.0|-5.65|332.79|1.0|1.0|-4.64|5.539999999999999e-05|0.0184|2.28e-05|3.78|0.0|0.0|2.63e-06|-0.07091|4.2092|3.96|-1410.947421|548.05|328.51|0.5013|0.53738|0.6654800000000001|-1410.826913|-0.15229|-1410.8759220000002|8.5678|49.0|7.3098
8c_a31|1|0|0.0|0|7.765993078999999|1|0.610137334|0.0|-0.01275867|-0.104377029|0|0.03995098|0.0|-0.574140137|-0.0080009219999999|-0.1903992189999999|10.31169969|-0.1029580369999999|2|2|-0.004832959|-0.178276512|-0.09039853|-0.513257014|0|0.847752299|0.006000201|-0.1759864119999999|0.87237334|0.626072761|-0.1170607269999999|-0.128067781|0.280934088|0.029669107|-64.57121646|-70.64275621|0.3739272389999999|206.2599245|-38.96685783|477.2277896000001|-1.66488115|-35.61776956|-21.86561502|80.93682766|0.47508938|2251.08563|345.3445134|-918.3558307|1678.6836239999998|0.27691747|12.99457133|-246.1066271|423.1367008|1.0|1.0|1.0|2.0|0.29|-6.13|4.89|0.0|93.45|0.0|-4.42|24.0|-6.7|342.42|0.0|1.0|-3.63|3.79e-05|13.0|0.000237|2.38|0.0|0.0|0.0002549999999999|-0.03222|3.8492|1.83|-1426.129055|595.67|322.11|0.2597|0.7005|0.7005|-1425.968408|-0.15985|-1426.024361|5.1815|0.81|6.0915
