molecula|SddssS|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|WNSA4|FPSA1|GeomRadius|GRAV|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
4d_a49|0.0|0.0|1|7.535296702|1|1|1.343847746|5.4161004020000005|-0.058204482|2|0.036555556|1.76904838|-0.343596561|0.000607064|10.92777282|0.013451218|1|0.001356445|0.000511959|0.000850823|-0.417231241|2|0.7745859279999999|0.783870915|-0.008564167|0.834151595|0.749565191|1|-0.085966608|0.013625199|85.21839288|152.3727245|-0.0281044679999999|-32.61868996|57.16412513|0.654728051|-1.461432343|-34.12740785|-17.31186002|63.79609555|0.470013152|-900.2167208999999|-10.66380249|0.3452719489999999|7.998287218|5915.214567|0.022019681|1374.947536|641.1445234|13.56373757|1.0|1.0|1.0|2.0|3.38|0.22|3.16|2.8|98.72|1.25|1.0|115.63|0.0|1.0|6.0|-3.13|30.0|5.0|-7.7|0.0|-3.35|0.000743|296.0|0.0004509999999999|0.18|2.64e-08|1.05e-05|-1293.333712|-1293.29417|0.2549|215.82|495.7|0.6782100000000001|0.0879|4.3005|0.0395418|5.5765|18.0|7.7447
5b_a40|0.0|0.0|1|8.149890544|0|1|0.604912077|6.167516491000001|0.064329005|0|0.044946237|0.7222376540000001|-0.163148971|0.008515162|10.31198309|0.020344828|2|0.006372485|0.007986879|0.013573521|-0.389789991|0|0.537115914|0.817071232|-0.400500595|0.88618123|0.503365018|1|-0.091267779|0.019116586|169.18694230000003|59.56617021|-0.036507111|-22.96968039|49.25022097|0.829018186|-1.095213344|-19.38687321|-18.31454812|48.2348504|0.477304896|-549.4364437|-9.187872156|0.1709818139999999|6.521443259|4813.179854|0.012549086|662.7555978999999|285.9136384|6.2955085660000005|0.0|1.0|0.0|0.0|3.13|0.21|4.93|4.39|75.5|2.89|1.0|84.17|0.0|2.0|3.0|-5.43|21.0|3.0|-5.42|0.0|-4.84|3.69e-06|0.00125|1.44e-05|0.00488|5.65e-06|0.00191|-2096.782087|-2096.767375|0.3005|311.84|411.1|0.59928|0.3005|7.2947|0.01471235|9.3069|64.0|7.1938
5a_a50|0.0|0.0|2|7.927685046000001|1|1|1.3972442980000002|5.82008293|-0.017108794|1|0.038040936|2.475383677|-0.06986407|0.012640587|10.93256969|-0.130929632|2|0.01228899|-0.102607753|-0.168135655|-0.161169418|1|0.699970832|0.788709546|-0.132977171|0.847812674|0.6759066159999999|1|-0.065209836|0.010185297|6.819160781|16.06582337|-0.022747617|-18.56865899|60.04351409|0.66527517|-0.978147545|-11.08625592|-12.13862875|26.21058426|0.4528093929999999|-521.9610361|-6.477439183|0.33472483|5.892775027000001|4770.917486|0.017576522|784.5791628|462.1867149|9.379218813|0.0|1.0|1.0|0.0|3.5|0.14|3.66|4.33|35.64|2.62|0.0|101.86|0.0|1.0|2.0|-3.89|25.0|2.0|-5.83|1.0|-4.5|0.000129|42.0|3.14e-05|0.0102|5.7e-07|0.000186|-1029.930364|-1029.905844|0.2735|220.82|455.34|0.6725399999999999|0.1156|3.9843|0.02452028|5649.0|4.1|5.3872
20_a4|0.0|0.0|1|7.535296702|1|1|1.399905568|5.4161004020000005|-0.00123671|1|0.039635417|0.0|-0.124135414|0.012265062|10.9459449|-0.059498265|1|0.012025268|-0.064248765|-0.103098674|-0.211751813|1|0.691307598|0.7797803109999999|0.246357638|0.8404413829999999|0.665774148|0|-0.072188305|0.022933651|63.27373076|39.3981702|-0.0273144939999999|-16.72448692|68.49419443|0.6435852470000001|-1.010636274|-14.03867522|-13.14728679|40.20507689|0.421704107|-486.4496111|-6.32818424|0.356414753|5.543543957000001|4085.683488|0.024334176|755.8433223999999|338.71903330000004|11.71277006|1.0|1.0|1.0|0.0|3.23|0.11|3.2|3.54|39.94|2.09|0.0|86.62|0.0|2.0|3.0|-3.46|22.0|3.0|-5.96|1.0|-3.87|0.000346|0.1|0.000134|0.0388|2.79e-06|0.000806|-934.2489802|-934.2266312|0.2364|239.45|402.27|0.66028|0.1415|4.0681|0.022349042|5.5779|646.0|6.1898
13d_a5 (GW788388)|0.0|0.0|0|6.605297921|1|1|1.236844097|4.59511985|-0.009710199|3|0.027375887|0.0|-0.33442223|0.002956745|10.94530363|0.024793388|1|0.003668464|-0.010147323|-0.016337128|-0.3706975529999999|2|0.7333482170000001|0.78479342|0.024905619|0.834800344|0.71006207|0|-0.0844793|0.014571846|151.3669372|149.40573999999998|-0.0291837579999999|-36.95444874|44.69922692|0.669182121|-1.605106706|-37.98032007|-19.30187193|67.0626077|0.488398052|-1061.602956|-12.76608229|0.330817879|8.077599766|6122.792779|0.022041749|1586.418589|723.0631751|14.57821204|1.0|1.0|1.0|2.0|3.21|0.2|4.56|4.11|92.79|1.37|1.0|121.68|0.0|1.0|6.0|-4.35|32.0|5.0|-6.94|0.0|-4.35|4.429999999999999e-05|0.0189|4.5e-05|0.0192|1.45e-09|6.16e-07|-1390.589662|-1390.548362|0.5251|269.0|532.01|0.48848|0.1549|2.4867|0.04130059|3355.0|18.0|7.7447
13a_a6|0.0|0.0|0|7.412764017000001|1|1|1.430639975|5.351858133|-0.0265090529999999|1|0.041767677|0.0|-0.602500119|-0.00460563|10.95129557|-0.0525259259999999|1|-0.00194781|-0.10896749|-0.180339002|-0.488098052|1|0.850080948|0.7722228729999999|0.090839165|0.8299950709999999|0.8013954109999999|0|-0.113446379|0.031866842|154.9639272|147.4582473|-0.040840697|-48.51283287|554.4922449|0.759912392|-2.042034827|-40.23198232|-26.70706346|82.36189896|0.467070451|-1335.353173|-17.46461983|0.240087608|8.038453162|6019.922535|0.02016134|1757.246214|627.4287311|13.18415753|1.0|1.0|1.0|2.0|3.53|0.12|4.98|4.32|95.85|1.29|2.0|116.79|0.0|1.0|5.0|-5.51|31.0|5.0|-6.1|0.0|-4.99|3.11e-06|0.0012699999999999|1.02e-05|0.00417|9.77e-10|4e-07|-1350.085889|-1350.057702|0.5352|206.87|571.9|0.70072|0.2697|7.7145|0.02818646|9.2157|46.0|7.3372
14i_a23|0.0|0.0|2|7.423568444|0|0|1.197963212|5.351858133|-0.130330047|2|0.0432555559999999|0.7151570629999999|-0.558153376|0.002243702|10.31321758|-0.026731172|2|0.002496501|-0.017918675|-0.033435987|-0.569707595|2|0.77007911|0.8025091329999999|0.158023239|0.864206467|0.7333675390000001|1|-0.096562208|0.0214262489999999|324.811841|151.83084580000002|-0.039760909|-45.14777443|93.48624142|0.7780956840000001|-2.027806362|-41.59306642|-27.18760085|75.47917433|0.478050606|-1386.567643|-18.59026006|0.221904316|8.107659819|7030.347905|0.019276934|1782.001457|693.3423458|13.18112713|0.0|1.0|1.0|2.0|3.56|0.04|2.57|3.12|148.11|2.28|1.0|128.38|1.0|1.0|6.0|-5.21|33.0|5.0|-7.33|0.0|-4.39|6.11e-06|0.00278|4.03e-05|0.0183|1.11e-07|5.03e-05|-1798.64228|-1798.608335|0.3639|335.72|580.74|0.55606|0.3639|5.9563|0.03394466|8.3755|3.0|8.4622
3n_a32|0.0|0.0|0|7.773594467000001|1|1|0.609420754|5.733341277|-0.01504795|1|0.035643275|2.22272854|-0.295303659|0.000609539|10.3110027|-0.0711168609999999|3|0.002379137|-0.086764744|-0.153506065|-0.435658951|0|0.810658423|0.816774665|-0.018016496|0.868826775|0.762657782|1|-0.092745182|0.01889769|121.6040686|91.96452611|-0.027401986|-30.65624207|0.0|0.648933114|-1.205687365|-24.62805609|-15.75418035|53.70155314|0.456693072|-693.1839353999999|-9.057526067|0.351066886|6.369579712999999|5553.014016|0.0210408339999999|1068.190111|522.1674161999999|12.0969734|0.0|1.0|1.0|1.0|3.51|0.32|6.71|5.01|120.17|1.58|2.0|106.44|0.0|1.0|3.0|-5.96|26.0|4.0|-5.98|0.0|-4.91|1.11e-06|0.000424|1.23e-05|0.0047|1.1e-07|4.19e-05|-1825.378576|-1825.349557|0.2839|349.65|464.67|0.7028399999999999|0.2839|3.5849|0.02901944|6.2667|21.0|7.6778
1l_a5|0.0|0.0|0|6.605297921|0|0|1.270375394|4.59511985|-0.0052651969999999|2|0.025672515|0.0|-0.089997343|0.008244856|10.94421389|-0.05139414|1|0.007613233|0.0271820189999999|0.043915678|-0.21108114|2|0.7245669790000001|0.7656671279999999|-0.174469948|0.818803517|0.71872376|0|-0.067755283|0.0078543119999999|167.86839980000002|61.974288|-0.026512937|-21.62050954|0.0|0.769406114|-1.219595099|-21.91725365|-14.9768065|43.23617395|0.47265823|-688.9330988|-8.460199385|0.230593886|7.401206343999999|4665.793689|0.013054186|895.4089219|518.5792364|7.374136537999999|1.0|0.0|1.0|1.0|2.98|0.14|5.56|5.32|54.46|2.57|1.0|105.07|0.0|1.0|4.0|-5.04|26.0|3.0|-5.4|1.0|-4.98|9.06e-06|0.00308|1.04e-05|0.00356|1.4800000000000003e-09|5.02e-07|-1069.261615|-1069.229786|0.4921|267.19|486.81|0.57392|187.0|2.1987|0.03182983|3.3694|32.0|7.4949
13_a47|0.0|0.0|0|6.605297921|0|0|1.417757826|4.59511985|-0.0777650159999999|2|0.036632997|1.5940801480000002|-0.20197533|-0.00105415|10.9452934|0.038682232|1|-0.000211465|-0.0101047869999999|-0.0233277889999999|-0.316563793|2|0.6427334020000001|0.794037882|0.030290722|0.8582665429999999|0.626280497|1|-0.088128939|0.017736598|63.12660940000001|112.453046|-0.032468557|-23.38063458|0.0|0.688261242|-1.23380515|-21.52866736|-16.72368034|50.9329486|0.472007922|-635.4998528|-8.613918003|0.311738758|7.038683428|4542.479565|0.023284817|923.3410426|359.12161539999994|11.99338291|1.0|0.0|1.0|2.0|2.9|0.06|4.06|4.63|66.49|2.34|0.0|91.59|0.0|1.0|3.0|-4.24|24.0|4.0|-6.0|1.0|-4.27|5.79e-05|0.0185|5.41e-05|0.0173|1.26e-08|4.04e-06|-1067.820961|-1067.78457|0.3382|307.63|404.73|0.67466|0.3382|3.5455|0.03639189|4.8308|16.0|7.8
