molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
10_a47|0.0|0|0|0.0|0.0|0.0|1.381868067|-0.003570214|-0.008013899|0.0|2|-0.169242585|1.329777427|-0.384667159|-0.008120645|0.0814897|10.93671036|0.007193585|0|-0.0065562469999999|-0.349569106|-0.021926603|-0.45272733|2|0.754096463|0.011239977|0.6913602740000001|1|0.841070966|-0.076311525|0.417511484|-50.08559665|0.158929034|84.97451737|-0.035388634|0.0|0.801882632|-1.592488524|-21.81529334|0.411647394|2355.515804|449.6950454|1567.859561|-10.11660331|0.198117368|6.277122171|0.699661037|-455.247149|0.014051737|1061.820157|7.51303623|1.0|0.0|1.0|2.0|3.02|2.97|5.12|5.92|58.04|3.21|0.0|106.43|0.0|3.0|-5.75|-5.08|359.4|1.0|-5.5|0.00114|4.8|0.0|1.4199999999999999e-09|5.7693|3.7236|-1188.405988|-1188.3744|997.16|332.97|426.55|0.53909|0.69212|-1188.1907199999998|0.2175|-0.15445|1.9281|-0.20309|-1188.244739|13.0|7.9|7.9
8_a27|0.0|1|0|2.599100867|0.0|6.605297921|1.406757715|0.188762686|-0.008444078|4.59511985|2|-0.14212377|1.21499748|-0.329319041|0.0040883959999999|0.093450172|10.93783465|0.067074515|1|0.004801929|-0.24946295|-0.106814855|-0.535352745|2|0.8000360390000001|0.11158995|0.64927069|1|0.776384028|-0.078709803|0.3608031339999999|-43.96130162|0.223615972|106.5457267|-0.035880862|61.18801154|0.751701834|-1.291711016|-17.86879446|0.479730655|2132.9321670000004|369.9216992|989.0070768|-8.145716531|0.248298166|5.016799703|0.92208134|-293.2457951|0.019394143|818.753121|9.240677197|0.0|0.0|0.0|1.0|2.79|2.28|2.98|2.48|76.46|2.19|0.0|87.68|0.0|2.0|-3.23|-6.73|303.32|1.0|-3.52|0.0907|2.0|0.0|5.2e-07|4.1276|4.1276|-1004.515654|-1004.489001|848.58|300.38|374.88|0.64893|0.64893|-1004.385302|0.2336|-0.16958|3.0415|-0.21973|-1004.432889|6.0|8.2218|8.2218
12c_a31|0.0|1|0|3.387641566|0.0|7.765993078999999|0.6101358029999999|0.046986783|-0.013026643|5.733341277|0|-0.030192572|0.0|-0.690412101|-0.003618466|-0.094991098|10.311698300000002|-0.056866055|2|-0.000813398|-0.048694677|-0.138799714|-0.54466023|0|0.842823186|-0.098452311|0.770283733|0|0.665463503|-0.104643824|0.343619017|-82.33748068|0.334536497|212.313715|-0.036326291|553.8695417|0.6817087|-1.816314565|-42.14855504|0.448512808|2592.4503010000003|422.3366652|1894.297124|-14.63154376|0.3182913|8.091269314|0.813278739|-731.5771879|0.023556702|1690.934456|14.95027019|1.0|1.0|1.0|2.0|3.69|3.1|5.64|3.7|117.37|1.08|0.0|108.16|0.0|8.0|-5.23|-6.53|398.48|1.0|-4.16|0.0277|3.1|0.0|5.79e-08|3.8328|3.8328|-1618.1530810000002|-1618.112841|1138.89|323.48|578.69|0.7007399999999999|0.7007399999999999|-1617.888981|0.2625|-0.15904|1.6786|-0.19288|-1617.951882|0.38|6.4202|6.4202
IN1233_a59|0.0|1|0|3.463603867|0.0|6.842683282|1.400923654|0.1160337319999999|-0.008841844|4.727387819|2|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|-0.054458882|1|-0.004071701|0.268927191|0.001996439|-0.597167441|2|0.74801464|-0.090732503|0.778639593|1|0.7613246490000001|-0.092761756|0.356444983|-63.36348363|0.238675351|158.8351574|-0.035929742|83.1557517|0.810795898|-1.904276352|-41.08157616|0.483639625|2809.840422|506.6510632|1822.396842|-15.91227368|0.1892041019999999|8.011984402000001|0.936631949|-843.3505049|0.0134658889999999|1562.994677|8.961363774|1.0|1.0|1.0|2.0|3.48|2.76|5.54|4.69|97.55|2.06|0.0|125.07|0.0|5.0|-5.59|-6.13|419.48|1.0|-5.16|0.0029|3.85|0.0|9.93e-11|5.2194|3.5355|-1352.351584|-1352.326849|1204.16|350.69|531.14|0.51285|0.6953699999999999|-1352.073755|0.2011|-0.14684|5.4004|-0.20289|-1352.135303|34.0|7.4685|7.4685
15_a10|0.0|0|0|0.0|0.0|7.535296702|1.277647202|-0.166303336|-0.0027892409999999|5.4161004020000005|2|-0.0729795729999999|1.981569297|-0.142251304|0.009882584|-0.055918786|10.92966702|-0.05940848|1|0.009514122|-0.1157120169999999|-0.085979341|-0.208590561|2|0.808676284|-0.105662909|0.635064845|1|0.915526801|-0.059234364|0.710970489|-44.18725043|0.084473199|50.34268476|-0.025240716|108.7226878|0.646412648|-1.186313662|-21.03820054|0.434181679|2549.580207|545.6177511|2288.954984|-8.964715924|0.353587352|6.35937164|0.767351752|-421.3416484|0.020932674|1093.722422|12.47504566|1.0|1.0|1.0|0.0|3.29|3.31|4.91|4.72|52.83|2.53|1.0|111.21|0.0|5.0|-4.48|-6.07|390.87|1.0|-4.81|0.0061|3.68|0.0|5.01e-09|5.7922|3.7997|-1604.08794|-1604.057542|1086.19|326.3|484.05|0.41458|0.68543|-1603.851644|0.1647|-0.1574|4.5192|-0.20983|-1603.907391|33.0|7.4815|7.4815
9_a10|0.0|0|0|0.0|0.0|7.535296702|1.377786667|-0.096384071|-0.004530817|5.4161004020000005|2|-0.048732912|1.754798254|-0.285441469|0.007316125|-0.1189611519999999|10.92721632|-0.1048161059999999|1|0.007847998|-0.079150788|-0.1475423119999999|-0.362724972|2|0.791322552|-0.169389445|0.692424727|1|0.8694452140000001|-0.057690053|0.6816795959999999|-59.80726117|0.130554786|92.56988349|-0.028592687|59.95939417|0.73129178|-1.686968561|-29.00379197|0.45291714|2904.874289|616.4802143999999|2284.568215|-14.37503199|0.26870822|8.765421221|0.827876677|-848.1268877|0.015893979|1635.660698|11.26962754|1.0|1.0|1.0|1.0|4.0|3.2|3.69|3.68|75.94|1.81|0.0|130.71|0.0|7.0|-4.23|-6.87|438.52|0.0|-4.44|16.0|2.97|0.0|1.17e-08|5.5668|3.7309|-1410.041793|-1410.005954|1278.57|332.32|631.5|0.2242|0.68962|-1409.69933|0.0041|-0.15045|2.9927|-0.21163|-1409.764013|193.0|6.7144|6.7144
13f_a6|0.0|1|0|3.440154557|0.0|6.842683282|1.429020649|-0.088329567|-0.006930367|4.727387819|2|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|10.95053349|-0.049928822|1|-0.001446486|0.079490516|-0.126749697|-0.466314952|2|0.77199166|-0.088948538|0.790249345|1|0.863222493|-0.073352505|0.176745407|-62.41821579999999|0.136777507|91.85971442|-0.032802223|0.0|0.720711855|-1.672913351|-33.08535238|0.401838426|2869.925064|579.7398537|3253.287533|-14.79531062|0.279288145|9.050440345|0.6717890999999999|-754.5608419|0.0196449239999999|1558.914115|13.19352214|1.0|1.0|1.0|2.0|3.56|2.21|5.01|4.53|103.17|0.92|0.0|123.82|0.0|5.0|-5.11|-6.52|417.47|1.0|-4.78|0.00688|3.27|0.0|6.59e-11|4.8413|3139.0|-1347.301285|-1347.266914|1202.78|394.98|568.41|0.49643|0.70541|-1347.018087|0.0048|-0.12805|10.8469|-0.2059099999999999|-1347.0794119999998|42.0|7.3768|7.3768
47o_a18|0.0|0|0|0.0|0.0|7.03438793|1.251177005|0.052875948|-0.006476544|4.844187086|0|-0.006238734|0.0|-0.4339284229999999|-0.00046896|0.011121222|10.94702017|-0.038296569|0|0.000787517|-0.009467295|-0.103458566|-0.490807196|0|0.7435044540000001|-0.066242713|0.733228144|0|0.806872998|-0.077288013|0.261785105|-64.2280736|0.193127002|140.2610102|-0.034545459|82.54478365|0.872753077|-2.210909375|-40.76618466|0.493146875|2857.120021|586.0020642999999|1393.529823|-18.22128055|0.127246923|9.808930716|0.972958142|-1166.161955|0.008265369|1839.812293|6.002832126|1.0|0.0|1.0|3.0|4.17|0.0|3.69|3.0|85.29|2.94|1.0|139.63|0.0|9.0|-5.66|-6.12|454.56|1.0|-5.08|0.00381|4.16|0.0|4.26e-10|3.22|3.22|-1455.574672|-1455.547304|1352.29|385.04|706.49|0.69248|0.69248|-1455.162559|0.5065|-0.13203|2.2316|-0.18223|-1455.231246|47.0|7.3279|7.3279
12w_a36|0.0|1|0|3.3131307480000003|-4.750262163|7.412764017000001|1.24014105|0.081390556|-0.015825416|5.351858133|2|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|10.96020797|-0.010726574|1|-0.007897954|0.115646674|-0.1187503719999999|-0.604676196|1|0.828393514|-0.016393443|0.624142499|0|0.828363244|-0.086826396|0.532980165|-79.88912835|0.171636756|123.23411609999998|-0.041210062|0.780959767|0.70536279|-2.225343322|-44.76031023|0.4672300679999999|3230.870697|594.7596206000001|2602.5207|-21.24440511|0.29463721|8.365472166|0.8769828040000001|-1147.197876|0.0273396629999999|2265.1925920000003|19.62970663|1.0|1.0|0.0|2.0|4.82|0.0|3.31|4.04|78.43|2.04|0.0|130.43|0.0|7.0|-5.2|-6.4|465.43|0.0|-5.07|4.0|3.86|0.0|7.24e-08|3.8881|3.8881|-1645.202839|-1645.169951|1198.72|318.88|552.55|0.69466|0.69466|-1644.953222|0.4508|-0.15708|5043.0|-0.21034|-1645.017691|23.0|7.6383|7.6383
24_a47|0.0|0|1|0.0|0.0|6.86171134|1.304328602|0.0453435129999999|-0.010774404|4.727387819|2|0.0251322929999999|1.081401467|-0.484848181|-0.0060410169999999|-0.063708635|10.95005721|0.071506228|1|-0.004514441|0.056234624|-0.111494046|-0.540463145|2|0.812650394|0.113432542|0.627160379|1|0.7839491009999999|-0.075894947|0.214985826|-51.21152885|0.216050899|121.5922303|-0.032498249|47.170683|0.611603578|-1.364926459|-24.03877652|0.479188295|2642.775318|441.2021442|1239.381181|-10.29341441|0.388396422|7.024694045|0.920079732|-432.3234052|0.032103375|1255.998102|18.06759887|0.0|1.0|1.0|2.0|3.14|3.12|2.78|4.64|84.73|2.86|0.0|104.73|0.0|5.0|-4.61|-6.48|396.81|1.0|-4.52|0.0121|3.16|0.0|2.32e-08|3.9675|3.9675|-1696.105723|-1696.071577|1002.04|312.5|450.98|0.6835|0.6835|-1695.93106|0.2618|-0.16333|2.6517|-0.2285|-1695.98597|3.0|8.5|8.5
16_a15|-3.726252327|0|0|0.0|0.0|0.0|0.300207157|0.072882981|-0.008593957|0.0|2|-0.003882928|0.0|-0.4898555739999999|-0.009769916|-0.109386268|10.31928197|-0.011969556|0|-0.00379317|-0.006331105|-0.046871961|-0.528097878|2|0.729432583|-0.018331526|0.72660548|0|0.723597405|-0.08870471|0.7427725270000001|-69.38556779999999|0.276402595|188.9479321|-0.039472502|17.68542055|0.868460507|-2.131515106|-41.45211893|0.419910645|3173.773379|494.6488764|3014.308422|-18.44568161|0.131539493|6.798937229|0.7238723509999999|-996.0668068|0.009783192|1677.792959|6.687758643|1.0|1.0|1.0|2.0|3.59|2.93|3.37|6.02|115.58|1.72|0.0|124.45|0.0|6.0|-6.0|-6.27|446.52|1.0|-5.21|0.00274|3.88|0.0|6.1e-10|4.1731|4.1295|-1770.509465|-1770.448668|1229.58|300.24|600.98|0.6541100000000001|0.66615|-1770.217907|0.1409|-0.16871|8.0361|-0.20953|-1770.281427|21.0|7.6778|7.6778
12_a4|-3.2834578760000004|0|0|0.0|0.0|7.535296702|0.295190368|-0.1494133309999999|-0.0021497879999999|5.4161004020000005|2|-0.0334644329999999|1.587386096|-0.113938738|0.005795666|-0.093414896|10.31168324|0.028152112|1|0.009024784|-0.055590089|-0.051501982|-0.220286906|2|0.8157155359999999|0.04172421|0.531333552|1|0.805238097|-0.070256284|0.636722126|-44.33087544|0.194761903|115.5823166|-0.025916226|7.519189887|0.717772573|-1.269895089|-24.74343259|0.470780296|2927.48584|477.8721263000001|1962.933988|-9.127388465|0.282227427|6.223583758999999|0.889574393|-447.2420348|0.015603795|1049.9494|9.260141177|1.0|1.0|1.0|0.0|3.41|2.94|3.69|4.98|86.12|2.17|0.0|113.02|0.0|4.0|-4.18|-6.84|404.48|1.0|-4.33|0.0188|2.72|0.0|1.45e-08|4.8592|3.8083|-1617.861623|-1617.826064|1101.33|325.57|503.28|0.63967|0.68825|-1617.57796|0.0464|-0.16224|7.8701|-0.2312199999999999|-1617.634733|9.29|5032.0|5032.0
12c_a5|0.0|1|0|2.977832018|0.0|6.605297921|1.236775191|-0.212798523|-0.002685954|4.59511985|3|-0.086795626|0.0|-0.16115723|0.0054189009999999|-0.096073591|10.9455378|0.0072946769999999|1|0.00586291|-0.1386392109999999|-0.01261147|-0.223631474|2|0.797601178|0.014673577|0.782051277|0|0.841092921|-0.070873852|0.450827114|-43.47195613|0.158907079|104.5338363|-0.022421317|13.26856229|0.583585895|-1.25559373|-30.6699685|0.4609383929999999|2697.345008|553.2961182|2045.184304|-9.702606135|0.416414105|7.293547043999999|0.855075538|-543.3459436|0.024214085|1415.330929|15.92875034|0.0|0.0|1.0|2.0|3.27|2.78|5.03|4.32|75.72|1.57|0.0|121.26|0.0|6.0|-4.09|-6.79|411.5|0.0|-4.33|0.0191|2.84|0.0|4.93e-10|4.6671|4.0116|-1316.542713|-1316.5202869999998|1200.02|309.06|519.21|0.52074|0.6893600000000001|-1316.244961|105.0|-0.16563|3.0135|-0.21128|-1316.305277|47.0|7.3279|7.3279
14i_a23|0.0|0|1|0.0|0.0|7.423568444|1.197963212|0.142566578|-0.010148243|5.351858133|2|0.040408197|0.7151570629999999|-0.558153376|0.002243702|-0.018541856|10.31321758|-0.026731172|2|0.002496501|0.075401108|-0.017918675|-0.569707595|2|0.8025091329999999|-0.04255066|0.7333675390000001|1|0.777952733|-0.0889593869999999|0.266320368|-66.02703063|0.222047267|151.83084580000002|-0.039760909|93.48624142|0.7780956840000001|-2.027806362|-41.59306642|0.478050606|3097.406945|531.9462982|2447.1741030000003|-18.59026006|0.221904316|8.107659819|0.915894552|-948.103263|0.019276934|1782.001457|13.18112713|0.0|1.0|0.0|2.0|3.56|2.64|2.57|3.12|148.11|2.28|1.0|128.38|1.0|6.0|-5.21|-7.33|454.51|0.0|-4.39|0.0183|2.46|0.0|1.11e-07|3.6931|3.6931|-1798.64228|-1798.608335|1224.02|335.72|580.74|0.55606|0.55606|-1798.371346|0.3639|-0.1509599999999999|5.9563|-0.23121|-1798.434186|3.0|8.4622|8.4622
27_a47|0.0|0|1|0.0|0.0|6.842683282|1.216250059|-0.160399235|-0.003631596|4.727387819|3|-0.067535989|1.807806182|-0.207000956|0.001861676|0.0427469459999999|10.95005714|0.013336016|1|0.002350172|-0.137440913|-0.077485193|-0.280944221|2|0.804224077|0.023325573|0.634406338|1|0.846469886|-0.0630454209999999|0.337815064|-50.87821306|0.153530114|98.27436776|-0.028494622|3.180329084|0.700732763|-1.510214943|-25.8313393|0.475450742|2804.020752|541.8239522999999|2181.236691|-11.67498331|0.299267237|7.083168776|0.906398657|-618.7741154|0.018969968|1379.535965|12.14264461|1.0|0.0|1.0|2.0|3.37|3.52|4.18|5.07|67.66|3.11|0.0|125.17|0.0|5.0|-4.81|-6.34|436.91|1.0|-5.05|0.0038799999999999|3.7|0.0|1.5e-09|4.9358|3.8125|-1778.1049670000002|-1778.078632|1165.54|325.21|517.82|0.40976|0.69381|-1777.830739|0.1839|-0.1578|4.0365|-0.21594|-1777.891054|2512.0|5.6|5.6
16_a4|0.0|0|0|0.0|0.0|7.535296702|1.398650725|-0.219944434|-0.00228637|5.4161004020000005|1|0.007101649|0.0|-0.089168424|0.0067511459999999|-0.148022089|10.94592242|0.019290123|1|0.006466406|0.020218035|-0.018051608|-0.214481956|1|0.774455255|0.0293772029999999|0.482473457|0|0.7898461090000001|-0.073335635|0.292255386|-39.44800181|0.210153891|103.5057102|-0.033372358|74.430775|0.832461695|-1.201404885|-17.789707500000002|0.455802506|2101.6948030000003|389.0176968|1522.164774|-8.095443438|0.167538305|5.548106463|0.837568182|-291.4359638|0.0115138339999999|710.807513|5.67083266|1.0|0.0|0.0|0.0|3.26|3.08|4.49|4.96|30.71|3.44|0.0|85.02|0.0|2.0|-3.92|-5.64|309.31|1.0|-4.43|0.0114|3.59|0.0|4.33e-07|4511.0|4.2257|-1057.494456|-1057.478071|856.55|293.41|407.99|0.51149|0.54061|-1057.3808390000002|0.1006|-0.17375|1863.0|-0.2134|-1057.429593|343.0|6.4647|6.4647
14y_a23|0.0|0|1|0.0|0.0|7.423568444|1.197960595|0.0600764409999999|-0.005875443|5.351858133|2|0.041892637|0.731397292|-0.2996475999999999|0.009174505|-0.051539811|10.31321795|-0.031435038|2|0.007229683|0.07646106|-0.069023218|-0.4598871539999999|2|0.802520527|-0.049318182|0.64069202|1|0.925252932|-0.057809342|0.2271539169999999|-55.74067298|0.074747068|51.68445972|-0.034303507|82.29531392|0.78322549|-1.612264842|-27.63946733|0.486730407|3096.562257|639.7735629|2336.815247|-16.40099384|0.21677451|8.213390641|0.948293868|-770.8467102999999|0.016527|1423.362076|11.42772654|0.0|1.0|1.0|1.0|3.41|3.49|4.64|5.32|105.02|3.99|1.0|130.3|0.0|5.0|-6.77|-5.8|480.37|0.0|-6.13|0.000354|4.83|0.0|2.6899999999999996e-09|3.6413|3.6413|-2549.104894|-2549.091817|1217.48|340.49|585.2|0.61338|0.61338|-2548.8917260000003|444.0|-0.14942|4.8799|-0.2331599999999999|-2548.953933|4.0|8.4225|8.4225
15b_a50|0.0|0|1|0.0|0.0|7.934155233999999|1.353059441|-0.144363623|-0.0045393|5.82008293|1|-0.103807905|2.018777006|-0.22696498|0.004641091|-0.06083723|10.94501702|-0.124047802|2|0.005203263|-0.17223348|-0.131737048|-0.310946931|1|0.8259784720000001|-0.216393362|0.764606364|1|0.8209134840000001|-0.082576068|0.447220762|-46.13641893|0.179086516|102.3838797|-0.028069672|0.0|0.639017342|-1.291204916|-26.98929785|0.478989976|2441.264256|469.3167805|1692.3273379999998|-9.174337796|0.3609826579999999|6.89125222|0.919348867|-422.0195386|0.024313507|1155.184146|13.90004811|1.0|1.0|1.0|1.0|3.56|2.11|2.71|3.26|68.76|1.66|0.0|105.46|0.0|5.0|-3.18|-6.98|357.41|1.0|-3.6|0.0891|2.11|0.0|1.92e-06|4.0561|4.0561|-1160.4989460000002|-1160.463663|1035.3|305.67|475.99|0.65917|0.65917|-1160.275856|0.1796|-0.16737|6.9054|-0.20071|-1160.330621|79.0|7.1024|7.1024
17a_a6|0.0|1|0|3.3685510360000004|0.0|7.412764017000001|1.424257628|0.101940358|-0.012704951|5.351858133|1|0.04129257|0.0|-0.686067347|-0.00460563|0.078798543|10.94948984|-0.060774312|1|-0.00194781|0.068338372|-0.10896749|-0.5624663560000001|1|0.7722228729999999|-0.106323149|0.8013954109999999|0|0.753082653|-0.096082495|0.350977745|-71.75703418|0.2469173469999999|161.9738174|-0.041567592|554.1936506|0.77193498|-2.078379577|-41.34573382|0.483320982|2816.084228|494.010135|2217.333474|-17.887155899999996|0.22806502|8.337470517|0.935437602|-894.3577948999999|0.019808023|1766.18975|12.99374518|1.0|1.0|1.0|2.0|3.52|2.88|4.98|4.32|95.85|1.7|0.0|116.79|0.0|5.0|-5.81|-5.89|409.44|1.0|-5.17|0.00274|4.09|0.0|9.77e-10|3.5421|2.9753|-1350.102634|-1350.078838|1167.16|416.71|574.02|0.69627|0.7024|-1349.830672|0.0101|-0.12425|4.1627|-0.18178|-1349.892285|24.0|7.6198|7.6198
14p_a23|0.0|0|1|0.0|0.0|7.423568444|1.197963748|0.044380583|-0.005975594|5.351858133|2|0.041987653|0.733042138|-0.310730878|0.009895793|-0.060144819|10.31321773|-0.053921569|2|0.009266617|0.080581604|-0.0686282459999999|-0.4510651779999999|2|0.799506006|-0.090287278|0.669357479|1|0.923455749|-0.063033628|0.223758613|-54.50240143|0.076544251|51.64167457|-0.033660197|84.65359899|0.751638299|-1.615689464|-28.69113861|0.464933687|3010.721939|623.0226425|2170.5738260000003|-15.32117727|0.248361701|9.014073839|0.868927227|-735.4165088|0.0190667019999999|1450.229492|12.86362369|0.0|1.0|1.0|1.0|3.48|3.28|3.4|3.89|128.81|2.39|1.0|125.0|0.0|5.0|-5.68|-6.62|436.49|0.0|-4.9|0.00554|3.3|0.0|3.39e-08|3.5752|3.5752|-1722.181612|-1722.152257|1191.08|346.79|573.24|0.6816|0.6816|-1721.933314|0.3802|-0.14774|7.4033|-0.2382|-1721.994023|3.0|8.5302|8.5302
14b_a50|0.0|0|1|0.0|0.0|7.934155233999999|1.267593742|-0.092558007|-0.003935732|5.82008293|2|-0.068176984|2.115127752|-0.255822608|0.010215823|0.037777505|10.94501788|-0.041169251|2|0.011249462|-0.106938404|-0.1786649189999999|-0.306633966|1|0.7887047979999999|-0.076752616|0.71456262|1|0.904076348|-0.050362464|0.7031402240000001|-50.27694576|0.095923652|62.89861413|-0.025558317|192.8987555|0.637281054|-1.533499045|-21.65397937|0.445384689|2967.872393|592.81677|2984.248708|-10.98912227|0.362718946|6.3538844910000005|0.8030515570000001|-659.347336|0.021820402|1577.857852|14.30797341|1.0|1.0|1.0|0.0|4.64|3.64|3.72|4.81|66.99|2.32|0.0|128.39|0.0|7.0|-4.6|-6.5|441.52|0.0|-4.78|0.0074099999999999|3.51|0.0|1.3900000000000001e-07|5.2834|4.0775|-1431.068494|-1431.037684|1253.87|304.07|533.25|0.55594|0.64303|-1430.72987|0.1373|-0.16874|5.3711|-0.1936|-1430.7933859999998|6.58|5.1818|5.1818
18_a31|0.0|1|0|3.281949877|0.0|7.401841579|0.610137226|0.0690370959999999|-0.013634202|5.351858133|0|-0.051184519|0.0|-0.640807491|-0.009923585|-0.001973566|10.31169929|-0.096301845|2|-0.007811355|-0.084218532|-0.065041042|-0.604728055|0|0.8595579409999999|-0.1647054359999999|0.838968212|0|0.72588713|-0.11789212|0.258135789|-75.99442464|0.27411287|160.8952371|-0.040279446|0.0|0.7774768320000001|-1.81257508|-40.61741697|0.4492048839999999|2241.561812|426.0718665|1935.374782|-13.87749294|0.222523168|7.076684189|0.8155571290000001|-624.4871824|0.01673486|1368.42913|9.822812434|1.0|1.0|1.0|3.0|3.41|2.85|4.9|3.48|119.14|0.75|0.0|99.32|0.0|7.0|-4.62|-6.72|356.44|1.0|-3.62|86.0|2.47|0.0|2.9e-07|5.0092|3.9105|-1465.528656|-1465.4803960000002|1041.21|317.05|541.33|0.51842|0.70058|-1465.300904|0.2457|-0.16212|3.0607|-0.19914|-1465.359325|0.13|6.8861|6.8861
28_a34|0.0|0|0|0.0|0.0|7.423568444|1.454781307|0.000561166|-0.016942875|5.351858133|1|-0.201047053|0.0|-0.6946578940000001|-0.012039484|-0.15803127|10.9595763|-0.0500053959999999|1|-0.007544188|-0.33032879|-0.189821204|-0.5437894289999999|1|0.798057295|-0.078146961|0.7829667309999999|0|0.545935562|-0.1306693569999999|0.316156689|-72.11491331|0.4540644379999999|232.4555747|-0.048190604|88.32197602|0.7298701059999999|-1.831242935|-34.24669822|0.454339954|2252.098123|279.4884473|1689.357471|-12.63011537|0.270129894|5.613534285|0.832642882|-479.9443839|0.0271102189999999|1284.466737|13.87891455|0.0|1.0|1.0|1.0|3.02|2.55|1.99|2.07|92.26|0.88|0.0|85.92|0.0|3.0|-3.27|-7.04|322.32|1.0|-3.25|182.0|1.72|0.0|1.66e-05|4.2857|4.2857|-1100.797628|-1100.760824|896.02|289.3|417.28|0.69263|0.69263|-1100.6525880000002|0.2043|-0.17802|6.4596|-0.21698|-1100.704833|3.82|5.4179|5.4179
41_a47|0.0|0|1|0.0|0.0|6.842683282|1.420292383|-0.225923786|-0.004083905|4.727387819|3|-0.080388467|1.601942802|-0.187859623|0.003530307|0.024881402|10.98214139|0.075316535|1|0.0047106|-0.178132441|-0.1430639269999999|-0.276217719|3|0.8417952740000001|0.123676975|0.609110565|1|0.823168463|-0.061101947|0.245948366|-50.81597048|0.1768315369999999|99.86584673|-0.02929561|0.0|0.653147815|-1.259711209|-19.48810377|0.447046066|2374.594252|464.8854878|1073.170368|-9.34366093|0.346852185|7.168742909|0.8084689140000001|-401.77742|0.023067788|1089.222944|13.02756406|1.0|1.0|1.0|1.0|3.18|3.18|3.34|4.52|68.52|1.75|0.0|99.09|0.0|4.0|-3.57|-6.66|348.38|1.0|-3.9|0.0436|2.49|0.0|3.36e-08|4.0167|3.7144|-1162.492089|-1162.462261|995.43|333.8|471.9|0.6779|0.68638|-1162.288187|0.2504|-0.15208|4.9162|-0.2026099999999999|-1162.342476|0.01|8.0|8.0
17d_a50|0.0|0|1|0.0|0.0|8.105609402|1.338814635|-0.152030219|-0.002166617|6.042632834|1|0.006071856|2.234730384|-0.140830095|0.012079|-0.136180713|10.94500663|-0.125540541|2|0.01245647|0.009780681|-0.200725906|-0.2294807539999999|1|0.748516466|-0.2177003589999999|0.7276268779999999|1|0.929886823|-0.044172353|0.8020670809999999|-48.40178147|0.070113177|48.62532158|-0.025589979|86.38197811|0.75405703|-1.535398758|-21.24595322|0.445708152|2824.70142|644.9008302|2950.99157|-12.30823045|0.24594297|6.996105516|0.8041037459999999|-738.4938272999999|0.013178555|1412.14676|9.139672835|0.0|1.0|1.0|0.0|4.07|3.68|4.0|4.29|51.77|2.71|0.0|133.19|0.0|6.0|-4.5|-6.25|424.54|0.0|-4.88|0.00557|3.72|0.0|8.55e-08|4.0506|4.0506|-1335.989008|-1335.962757|1263.22|306.09|579.45|0.66103|0.66103|-1335.649722|0.1819|-0.16716|5.6557|-0.19967|-1335.713194|74.0|7.1308|7.1308
