molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
25d_a34|0.0|0|0|0.0|0.0|7.412764017000001|1.433689841|0.128783829|-0.015046463|5.351858133|1|-0.163072107|0.0|-0.8576484190000001|-0.005017781|-0.1266965|10.95957635|0.00670464|1|-0.001685762|-0.263924686|-0.211368416|-0.605891389|1|0.7498681140000001|0.011919831|0.778903495|0|0.674282353|-0.100582621|0.631894475|-82.09024497|0.325717647|215.4372954|-0.044492794|69.64131956|0.7772035959999999|-2.358118108|-44.00298587|0.478308897|2939.671168|445.9861716|2564.887803|-19.46475234|0.2227964039999999|6.933980884|0.916843118|-1031.631874|0.019881997|2006.828923|13.15041965|1.0|1.0|1.0|2.0|3.58|3.76|3.05|3.95|90.3|2.26|0.0|119.81|0.0|7.0|-4.61|-6.74|427.46|1.0|-4.48|0.0141|3.05|0.0|8.26e-09|4.2732|4.2732|-1426.496796|-1426.468726|1198.19|290.15|554.05|0.6764600000000001|0.6764600000000001|-1426.243341|0.2106|-0.1771299999999999|6.1995|-0.21234|-1426.307095|0.95|6.0223|6.0223
2_a4|0.0|0|0|0.0|0.0|6.605297921|1.189716144|-0.072708147|-0.00708265|4.59511985|1|0.08246129|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0.076479666|0|-0.0016168089999999|0.127695325|0.147657684|-0.3881618|1|0.802438682|0.1355918559999999|0.912872667|0|0.742518847|-0.117395215|0.442778552|-44.27948986|0.257481153|108.4760726|-0.0379537729999999|0.0|0.843107708|-1.366335816|-20.83662681|0.3961813179999999|1623.668791|312.82106489999995|910.3327882|-6.736463618999999|0.156892292|4.710383035|0.656126301|-242.5126903|0.011054731|682.7518749|4.657326379|0.0|0.0|0.0|2.0|3.33|0.0|2.12|0.83|45.15|1.63|0.0|79.59|0.0|2.0|-2.18|-6.69|253.3|0.0|-2.77|434.0|1.62|0.0|1.4800000000000002e-05|5.8961|3.2230000000000003|-819.9326497000001|-819.8996124|764.77|384.69|333.36|0.4682|0.6885600000000001|-819.771754|0.0008|-0.14614|1.7717|-0.16226|-819.8174190000001|31.0|7.5086|7.5086
12s_a36|0.0|1|0|3.486136149|0.0|7.412764017000001|1.297044029|-0.057853364|-0.007059109|5.351858133|2|0.037454164|0.0|-0.4023692|0.002951176|0.0056370119999999|10.95352614|-0.050363149|1|0.003962098|0.063448144|-0.104118159|-0.434472457|1|0.8060798779999999|-0.086791463|0.856274847|0|0.8303378090000001|-0.07216709|0.4314309979999999|-64.57958827|0.169662191|109.5085883|-0.035868226|10.23927133|0.754198383|-1.901015959|-30.06529118|0.4604765839999999|2710.355028|535.942162|2294.468358|-14.94294208|0.245801617|7.545963801|0.853487672|-791.9759303|0.018222417|1626.909053|11.76167282|1.0|0.0|0.0|2.0|4.85|0.0|3.24|2.19|69.2|2.24|0.0|128.72|0.0|5.0|-4.16|-6.55|395.46|0.0|-4.3|0.02|3.04|0.0|1.08e-07|3.8751|3.7604|-1272.270833|-1272.236664|1150.67|329.71|523.72|0.6843600000000001|0.6928|-1272.00109|0.0002|-0.15559|6.6068|-0.20467|-1272.061111|9.0|8.0458|8.0458
3_a20 (SB-525334)|0.0|1|0|3.502142227|-0.08980269|6.880384082000001|1.183765089|-0.048050965|-0.005492814|4.727387819|2|0.001821898|1.728260385|-0.274640708|0.001924142|-0.175513234|10.95053359|-0.119584218|1|0.0033523629999999|0.002992397|-0.169090412|-0.500412918|2|0.7186587|-0.17447922|0.7835436240000001|1|0.8756647679999999|-0.061128029|0.246005838|-51.80299691|0.1243352319999999|70.23182172|-0.029269046|0.0|0.784910502|-1.375645142|-19.50382741|0.457398769|2243.481559|494.6267525|1782.992456|-9.33873414|0.215089498|5.943823875|0.8429740729999999|-438.9205046|0.0117802769999999|989.9790502999998|6.654190521|1.0|1.0|1.0|1.0|3.37|2.82|5.2|4.69|67.35|1.69|0.0|104.59|0.0|3.0|-4.85|-5.74|343.42|1.0|-4.73|0.00647|3.74|0.0|4.07e-09|4.9821|3.1728|-1086.585811|-1086.56485|1030.31|390.77|498.74|0.49443|0.70168|-1086.329436|0.1171|-0.13417|3.7291|-0.20131|-1086.383308|162.0|6.7905|6.7905
9o_a24|0.0|1|0|2.9340792330000003|0.0|6.605297921|1.294229152|-0.064667223|-0.007052095|4.59511985|3|-0.087807028|0.0|-0.387865233|0.0012214139999999|-0.097596429|10.94506726|-0.000236595|1|0.002019902|-0.145366976|0.00177843|-0.38043264|2|0.785672769|-0.000453155|0.7086274779999999|0|0.770273808|-0.088586421|0.6253256110000001|-51.14964436|0.229726192|133.0106596|-0.032911684|44.8382925|0.668046377|-1.678495905|-29.69744072|0.4861134689999999|2892.333138|445.9858336|1906.512273|-11.03321234|0.331953623|6.080741586|0.945954873|-562.6938294|0.026064002|1454.754155|15.09096602|1.0|1.0|1.0|2.0|3.96|2.84|3.75|4.36|92.79|1.23|0.0|120.73|0.0|6.0|-4.49|-6.83|421.45|0.0|-4.4|0.0167|2.88|0.0|1.24e-08|5.8802|4.2643|-1388.147972|-1388.094657|1126.94|290.75|432.84|0.41688|0.65292|-1387.887227|0.0288|-0.17826|4.3816|-0.22353|-1387.945865|446.0|6.3507|6.3507
AKLKII_a46|0.0|1|0|2.917217813|0.0|6.605297921|1.4316666480000002|-0.206312209|-0.003417504|4.59511985|3|-0.008897473|1.744747103|-0.129865138|0.006821053|0.156485495|10.96959256|0.036226415|1|0.006731579|-0.015805561|-0.037291767|-0.270506095|3|0.758995484|0.064690027|0.687139108|1|0.837641394|-0.071827497|0.271156366|-42.37969553|0.162358606|76.99187522|-0.033194303|0.0|0.7721395329999999|-1.161800612|-16.15213359|0.47999819|2000.353437|397.2168972|792.7439217|-7.464534402999999|0.2278604669999999|5.83938898|0.92307023|-261.2587041|0.015584114|713.5187596|7.390123534|1.0|0.0|1.0|1.0|2.81|1.6|3.9|3.39|67.35|1.18|0.0|85.32|0.0|2.0|-3.24|-6.5|287.32|1.0|-3.58|0.0764|2.19|0.0|6.18e-08||||||||||||||||181.0|6.7423|6.7423
12g_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.6049842529999999|0.096186205|-0.010447128|5.351858133|2|-0.037395048|0.0|-0.574592016|0.001371944|0.007330206|10.31162838|-0.049719762|1|0.0026474159999999|-0.067792064|-0.084317059|-0.539112991|1|0.826316772|-0.0885760969999999|0.770326886|0|0.783662781|-0.086195758|0.487608738|-70.11305057|0.216337219|146.623137|-0.040568357|237.7754135|0.7743107290000001|-2.068986201|-39.593913|0.459011202|3058.2873170000003|531.1295763|2482.668258|-18.63502363|0.225689271|8.694447089|0.8484671109999999|-950.3862054|0.019453222|1810.9797|13.18447384|1.0|1.0|0.0|1.0|4.67|0.0|3.4|2.48|114.67|2.06|1.0|133.52|0.0|6.0|-6.0|-6.22|439.49|0.0|-5.01|0.00427|3.89|0.0|3.7600000000000003e-07|5.0703|3.5592|-1743.214798|-1743.174676|1206.02|348.35|577.31|0.26238|0.68366|-1742.965961|0.1613|-0.15077|3875.0|-0.2083699999999999|-1743.029147|9.0|8.0334|8.0334
19h_a38|0.0|1|0|3.2723542610000003|0.0|7.412764017000001|1.297044177|-0.088176988|-0.007781653|5.351858133|2|0.14165187|0.0|-0.420209249|-0.002526241|-0.043452674|10.96083376|-0.070688288|1|-0.000673716|0.303981987|-0.101303149|-0.420225236|1|0.819222745|-0.121374121|0.698414933|0|0.7746288020000001|-0.082211319|0.3263113569999999|-64.79649453|0.225371198|132.7728693|-0.03959525|0.0|0.75379331|-1.979762478|-28.533396600000003|0.47459722|2774.611523|456.3568442|1839.424968|-13.74247449|0.24620669|6.820483788|0.903301693|-687.1237247|0.020207411|1547.290068|11.90478646|1.0|1.0|1.0|3.0|4.8|2.43|3.13|2.55|81.23|2.4|0.0|125.69|0.0|5.0|-4.14|-6.77|401.44|1.0|-4.17|0.0272|2.78|0.0|1.4e-07|3.7384|3.5358|-1332.187847|-1332.1538779999998|1092.17|350.65|452.01|0.68472|0.69012|-1331.941646|88.0|-0.1467099999999999|6.9749|-0.20379|-1331.999352|9.0|8.0348|8.0348
12a_a5|0.0|1|0|2.981252568|0.0|7.139660336|1.338814635|-0.256282289|-0.00166971|5.209486153|2|-0.0036987359999999|0.0|-0.09350376|0.00873078|-0.114419442|10.94553751|-0.032601907|1|0.008649556|-0.006024869|-0.057691345|-0.175245466|2|0.779533861|-0.063558439|0.741588813|0|0.894590896|-0.058605038|0.337539208|-41.59124655|0.105409104|64.77671525|-0.026030816|0.0|0.746785093|-1.353602454|-22.13179066|0.457755771|2524.410428|549.7500455|899.5599904|-9.830359239|0.253214907|8.741980056000001|0.844187448|-511.1786804|0.014342828|1113.8745800000002|8.814051518|0.0|1.0|1.0|1.0|3.06|2.96|5.12|4.26|57.7|2.17|0.0|119.38|0.0|5.0|-4.27|-6.23|381.47|0.0|-4.59|0.00977|3.38|0.0|1.4800000000000003e-09|4.6865|4.1610000000000005|-1202.02622|-1201.990542|1140.24|297.97|508.81|0.50831|0.67169|-1201.750315|0.0296|-0.17152|2.5642|-0.21228|-1201.8082029999998|19.0|7.7212|7.7212
11d_a5|0.0|1|0|2.9590700880000003|0.0|6.605297921|1.388848584|-0.245058546|-0.003373937|4.59511985|2|-0.125546291|0.0|-0.185566552|0.008307337|-0.138265707|10.94877952|0.01948342|1|0.008809179|-0.202307745|-0.12451554|-0.22897714|2|0.783891527|0.036918829|0.755793189|0|0.87090286|-0.063028408|0.359644732|-53.84338206|0.12909714|82.02685783|-0.029333375|0.0|0.712305422|-1.525335513|-25.44574968|0.49396568|2540.78984|553.3617954|900.3825317|-11.84243331|0.287694578|8.920296087|0.976150552|-615.8065323|0.018119737|1360.625438|11.51307533|1.0|1.0|1.0|1.0|3.13|3.37|4.41|4.14|66.93|1.42|0.0|114.29|0.0|7.0|-4.14|-6.47|385.46|1.0|-4.29|0.0198|3.07|0.0|2.31e-09|4.4175|4107.0|-1239.127458|-1239.093739|1154.67|301.89|594.45|0.66686|0.6533399999999999|-1238.855022|0.2068|-0.16762|2.8731|-0.20529|-1238.914819|15.0|7.8239|7.8239
