molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RPSA|TPSA_x|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
8h_a8|0.0|1|0|0|0.0|1.3918396709999998|1.241306689|0.038482973|-0.010324979|-0.249095464|0|0.046205674|0.008138299|0.0|-0.485274006|-0.007796225|-0.085125857|10.94341368|1|-0.007036544|0.254819201|-0.53822084|0.578166105|0.6971223040000001|0.111824921|0.010682683|0.56916135|0|0.602405134|-0.122706004|-0.11302328|0.0111998669999999|-72.14530885|6.58499063|0.397594866|233.7669182|0.918315905|-2.147442322|70.94463092|0.451435543|2623.688756|354.18563860000006|-1262.594204|2019.780061|-16.87148841|7.453557203|13.58738632|5956.417906000001|-742.3454901|31.2477685|-491.8998117|485.8626377000001|0.0|0.0|0.0|2.0|2.73|0.0|23.0|4.72|80.88|105.27|0.0|1.0|4.0|29.0|4.0|-5.98|391.37|0.0|0.0|4.01|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.0|0.0|1.13e-08|4801.0|7.71|3.7327|-1361.618499|608.39|1029.51|0.3011|258.25|-1361.455676|272.0|-0.15475|3.4779|0.03330037|-1361.5113789999998|4.9359|4.9359
9_a1|0.0|1|0|0|0.0|1.432397289|0.0|0.020428974|-0.00614716|-0.1075163359999999|1|0.037578348|-0.110185988|0.0|-0.282769361|-0.00314411|-0.079063236|10.94877277|1|-0.0018191779999999|-0.093062585|-0.483335578|0.582499378|0.737794643|-0.053460262|0.02778394|0.572272366|0|0.755276458|-0.080888063|-0.085722429|0.011266799|-46.63553015|6.495805626|0.244723542|141.093898|0.7816897429999999|-1.371558857|57.60218193|0.452572261|2387.143654|435.4501351|-790.7640749|1739.0376789999998|-10.60256533|7.61577077|13.91191974|5063.330971|-455.910309|23.52578164|-324.81308110000003|472.9447227|1.0|1.0|1.0|1.0|2.66|0.05|23.0|5.57|58.64|102.84|0.0|1.0|4.0|27.0|4.0|-5.81|357.38|0.0|0.0|4.12|-4.79|2.07e-05|0.00739|1.62e-05|0.0|0.0|1.04e-09|3343.0|5.6|3343.0|-1187.193365|600.6|1007.04|0.5409|370.88|-1187.011122|0.5409|-0.13413|4.1623|0.03294951|-1187.065335|5.2218|5.2218
3b_a12|0.0|0|0|0|0.0|1.283824445|0.0|0.156777705|-0.007916598|-0.043495794|2|0.0375|-0.1215705419999999|0.0|-0.332497127|-0.004028952|-0.065558712|10.9540388|0|-0.003019113|-0.116772665|-0.547002361|0.914614654|0.768772928|-0.008328578|-0.007397776|0.802482465|0|0.903204699|-0.064393592|-0.088443201|0.0103611969999999|-33.57216667|5.401901357000001|0.096795301|50.46508298|0.7688221909999999|-1.326648015|54.77629766|0.390744506|2186.64676|470.8937285|-691.6596323|1935.211747|-9.246226764|6.6333156660000006|10.88757628|4665.346939|-360.6028438|23.06757345|-280.3056362|406.0361621|1.0|1.0|0.0|1.0|2.98|0.05|18.0|3.14|37.28|102.53|0.0|1.0|3.0|24.0|3.0|-5.65|332.79|0.0|1.0|3.59|-4.64|5.539999999999999e-05|0.0184|2.28e-05|0.0|0.0|7.91e-09|4.2092|3.96|3.7741|-1410.947421|548.05|915.37|0.5013|294.55|-1410.826913|0.2418|-0.15229|5.9551|0.02444371|-1410.8759220000002|7.3098|7.3098
16j_a32|0.0|1|1|1|-0.082980188|0.609420735|0.0|0.175152442|-0.0139074189999999|-0.086195934|0|0.046788618|-0.0667943999999999|2.076106145|-0.778815477|-0.002456725|-0.135618491|10.31100263|3|-0.00030659|-0.202656848|-0.704356423|0.79965447|0.798237393|0.168000908|0.032797932|0.762429418|1|0.8259884120000001|-0.07651119|-0.106897203|0.023266265|-54.71915795|16.63953228|0.174011588|124.4493461|0.699790508|-1.817252458|91.93816239|0.442735754|2830.682695|590.7291534|-1299.659886|3448.428146|-17.53752467|7.357962381|13.20372234|6507.757122|-929.4888072999998|35.04175088|-285.7717513|701.9321161|1.0|1.0|1.0|2.0|3.38|0.33|19.0|5.24|149.27|121.3|1.0|1.0|8.0|30.0|5.0|-5.73|441.57|1.0|0.0|4.25|-5.41|3.56e-08|1.57e-05|3.89e-06|0.0|0.0|1.7e-08|3629.0|5.5|3629.0|-2034.593521|729.78|1225.27|0.2907|341.65|-2034.344833|0.2907|-0.15012|3.4656|0.0283671|-2034.408854|8.0315|8.0315
7_a1|0.0|0|0|0|0.0|1.348826331|2.307091837|-0.055291895|-0.010040172|0.001018628|1|0.035718954|-0.048878707|0.0|-0.421687222|0.0021597079999999|-0.07233584|10.9513015|1|0.004950534|-0.391298966|-0.441054548|0.7795049279999999|0.801577133|-0.048198584|-0.042175602|0.729621031|0|0.710959153|-0.083362936|-0.098295453|0.035937867|-40.16416679|17.31482297|0.289040847|139.2595474|0.603382856|-1.179545431|61.72628137|0.452829665|2150.215999|342.53930230000003|-568.3036318|1466.924404|-7.205474633|5.07667644|9.278054953|4519.238270000001|-273.8080361|24.78585294|-99.61948195|351.4191817|0.0|0.0|1.0|0.0|2.83|0.22|17.0|3.29|49.17|85.88|0.0|2.0|2.0|23.0|4.0|-6.4|305.33|0.0|1.0|2.72|-3.71|0.000696|213.0|0.000195|0.0|0.0|2.29e-06|4.0504|2.76|4.0504|-1009.48087|515.2|864.85|0.2961|306.1|-1009.350293|0.2961|-0.16734|4575.0|0.02860499|-1009.398029|6.3372|6.3372
2_a4|0.0|0|0|0|0.0|1.189716144|0.0|-0.072708147|-0.00708265|-0.103346554|1|0.037777778|0.08246129|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0|-0.0016168089999999|0.228655117|-0.3881618|0.930871261|0.802438682|0.11821091|0.1355918559999999|0.912872667|0|0.742518847|-0.117395215|-0.105102755|0.006330673|-49.45826819|2.667094277|0.257481153|108.4760726|0.843107708|-1.366335816|48.93681624|0.3961813179999999|1623.668791|312.82106489999995|-575.6333682|910.3327882|-6.736463618999999|4.710383035|7.800989232999999|3396.86527|-242.5126903|18.96532986|-289.1005902|284.26458360000004|0.0|0.0|1.0|2.0|0.0|0.27|12.0|0.83|45.15|79.59|0.0|2.0|2.0|19.0|4.0|-6.69|253.3|0.0|1.0|1.24|-2.77|0.0066|1.67|0.00171|0.0|0.0|1.4800000000000002e-05|5.8961|2.46|3.2230000000000003|-819.8996124|458.73|764.77|0.1315|210.28|-819.771754|0.0008|-0.14614|1.7717|0.033037353|-819.8174190000001|7.5086|7.5086
47g_a18|0.0|0|0|0|0.0|1.251175676|0.0|-0.005500039|-0.005817448|-0.034211867|0|0.031179487|-0.048472184|0.0|-0.477030713|0.0036509859999999|0.033759227|10.94702253|0|0.00531392|-0.3927204379999999|-0.4138670829999999|0.765824398|0.750610215|-0.009917608|-0.014370598|0.745431271|0|0.834424154|-0.065225536|-0.08547236|0.013404131|-55.35188184|11.37505183|0.165575846|140.5114492|0.731870777|-2.307753726|86.33162323|0.4913566339999999|3367.0578530000003|708.1114197|-1958.412588|2268.439188|-21.03738872|10.33698377|20.32265524|7870.887027|-1661.953709|33.87214455|-393.5416883|1347.416568|1.0|0.0|1.0|2.0|0.0|0.34|18.0|3.6|88.97|164.47|1.0|1.0|13.0|40.0|4.0|-6.4|541.68|0.0|0.0|2.83|-5.52|7.76e-07|0.000421|3.01e-06|1.0|1.0|6.04e-10|3.0965|8.13|3.0965|-1743.346243|905.71|1604.37|0.5955|400.4|-1742.7686640000002|0.5955|-0.12789|4966.0|0.02960182|-1742.847918|8.0458|8.0458
5e_a40|0.0|0|0|0|0.0|0.604912776|1.661964758|-0.091305805|-0.004925115|0.0601021459999999|0|0.044526749|-0.106497535|0.7768055559999999|-0.162528785|0.009890343|0.158430496|10.31198323|2|0.008306061|0.010397494|-0.391074665|0.535506399|0.8092726020000001|-0.402340487|0.0451110059999999|0.5087199929999999|1|0.864422751|-0.076883794|-0.089724264|0.019851304|-36.56222854|9.440323938|0.135577249|64.47400829|0.8223594679999999|-1.076691165|48.81318333|0.47779156|1986.384601|411.0778166|-512.0224486000001|512.5703164|-8.116440327000001|6.533857846|12.51197289|4158.984115|-243.4932098|20.75420252|-306.597267|264.9899736|1.0|1.0|0.0|0.0|2.73|0.21|14.0|3.74|75.5|79.16|0.0|2.0|3.0|20.0|3.0|-5.66|303.77|0.0|1.0|3.33|-4.25|1.66e-05|0.00505|5.56e-05|0.0|0.0|2.23e-05|3.7138|4.99|3.7138|-1637.180703|493.19|802.38|0.5262|333.85|-1637.115238|0.5262|-0.14786|7.87|0.01659566|-1637.162552|7.6021|7.6021
3b_a32|0.0|1|1|1|0.0|0.609420808|0.0|0.046791596|-0.007388108|-0.064476472|0|0.042528736|-0.0411430079999999|2.21541916|-0.265971895|-0.001282231|-0.1113575119999999|10.31100281|3|0.00020567|-0.151445075|-0.536470812|0.833920105|0.800396027|0.094335058|0.167519182|0.7725667079999999|1|0.8407393809999999|-0.073068133|-0.100355499|0.014636992|-35.8437493|7.180211702|0.159260619|78.12568166|0.764128338|-1.103910485|56.82775081|0.460751087|2092.213643|412.4267349|-541.5259561|1084.520517|-8.049905042|5.765940603|10.69254007|4448.251276|-265.6468664|21.47528975|-259.1375886|323.0421997|1.0|1.0|1.0|1.0|2.57|0.13|19.0|4.43|110.94|88.24|0.0|1.0|2.0|21.0|3.0|-5.57|312.41|0.0|0.0|3.68|-4.65|1.86e-06|0.0005809999999999|2.23e-05|0.0|0.0|3.19e-07|3.5545|2.45|3.5545|-1594.095192|524.46|857.0|0.2905|348.81|-1594.0008779999998|0.2905|-0.1474099999999999|3.5719|0.02589511|-1594.049677|8.2366|8.2366
4e_a46|-3.742323661|0|0|0|0.092094405|0.300205548|2.12386814|0.1369980459999999|-0.005995748|-0.370202917|2|0.041636905|-0.08224348|0.0|-0.4017151029999999|-0.001404912|-0.058626723|10.31928077|1|0.002688298|-0.049530834|-0.514537262|0.738134189|0.77019676|0.075271624|-0.076733489|0.69063113|0|0.753715041|-0.0835371459999999|-0.084780904|0.010671173|-63.39469142|8.098142567|0.246284959|186.9007941|0.7951078540000001|-1.949960781|73.87174786|0.4753010039999999|3411.457836|571.9794684|-1479.78675|3129.575458|-17.82509456|7.906917146|15.06943449|7615.063066|-1122.980957|29.54149986|-447.9030518999999|942.2127953|1.0|0.0|1.0|2.0|2.68|0.27|23.0|5.93|124.17|137.28|0.0|1.0|5.0|35.0|6.0|-6.6|488.6|1.0|0.0|3.5|-5.41|8.29e-07|0.000405|3.92e-06|0.0|0.0|1.56e-09|4.2446|8.03|4.1773|-1884.564974|757.1|1343.97|0.4814|292.1|-1884.255802|0.3109|-0.17112|1.9941|0.04805633|-1884.324182|6.8125|6.8125
