molecula|SddssS|n9FaHRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA5|PBF|PNSA3|PPSA3|RPSA|TPSA_x|WNSA5|RPCS|FNSA1|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|FPSA1|GeomRadius|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
12y_a30|0.0|0|0.0|0|7.412764017000001|2|2|0.604984019|0.048343649|-0.037335306|2|0.044197531|-0.089502772|0.00604028|10.31162818|-0.058184644|1|1|0.006346396|-0.153680104|-0.053700437|-0.4579359229999999|1|0.842068099|0.768409873|-0.095969764|0.8146529229999999|0.803183654|0.8489185109999999|-0.091248521|0.374181804|-47.598277|10.05775555|0.151081489|101.4221952|-41.1215369|0.0|0.820108145|57.65603256|0.445723724|2847.362782|2411.415644|0.179891855|8.067590558|120.7628216|-863.552275|28.51891948|0.012362508|-429.782246|754.3941655|8.299049218|1.0|0.0|0.0|4.86|0.0|17.0|-7.38|3.23|81.65|3.25|2.0|0.0|137.21|0.0|1.0|5.0|-6.04|4.0|0.0|0.0|-5.46|3.48e-06|0.00148|4.6|0.0|0.0|4.12e-08|-0.05065|5.1973|3.4718|-1654.41361|728.75|357.11|238.56|585.59|0.30617|0.6864399999999999|-1654.125015|4.7043|-0.19815|0.0311422|-1654.190369|5.1209|7.6576
4S4l_a46|0.0|0|0.0|1|7.825245291|1|1|1.134637095|-0.058870177|-0.075241716|1|0.049498645|-0.067419714|0.0066560469999999|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.229089688|0.762625193|0.7936534740000001|0.894782107|-0.084663086|0.213675946|-49.45536962|3.888872426|0.105217893|57.30330315|-25.11158939|0.0|0.877939134|53.34424204|0.469439238|2166.052483|1744.8220399999998|0.1220608659999999|5.668394116|66.47624804|-452.0086091|18.5362581|0.006420439|-411.6630752|579.2365607|3.496670823|1.0|1.0|1.0|3.92|3.19|17.0|-7.0|5.02|50.94|3.06|1.0|0.0|105.77|0.0|1.0|3.0|-5.28|3.0|1.0|1.0|-5.11|7.78e-06|0.0027|4.49|0.0|0.0|9.980000000000001e-08|-0.02015|5.2929|4.1414|-1092.753999|583.76|299.38|234.25|500.66|0.57885|0.6763600000000001|-1092.489558|2.5083|-0.19647|0.02696794|-1092.543641|2.8473|6.5834
12f_a40|0.0|0|0.0|1|7.515889085|0|0|0.604990261|-0.03356339|-0.015621373|0|0.040501792|0.070099257|0.008525796|10.31197207|-0.172869148|2|2|0.006841832|0.115814835|-0.033224348|-0.397377446|0|0.679527138|0.777316288|-0.271493213|0.841769186|0.605644757|0.909993912|-0.082198664|3.43e-05|-37.02024147|11.90644165|0.090006088|49.72883796|-25.09213464|61.55859085|0.7314440520000001|48.92668311|0.490421149|2383.68369|628.5604981|0.268555948|8.404802652999999|148.3785764|-351.2898849|24.83590915|0.0201199619999999|-255.7481174|384.1423925|11.1163852|1.0|0.0|0.0|3.24|3.61|20.0|-7.32|5.44|67.66|3.99|2.0|0.0|98.25|0.0|1.0|3.0|-6.58|3.0|0.0|1.0|-5.99|1.02e-06|0.0003819999999999|5.4|0.0|0.0|4.81e-08|-0.07761|4.3313|2.8374|-2212.359379|572.63|436.97|286.25|487.85|0.6679999999999999|0.7029|-2212.222254|3.2818|-0.19526|0.01077929|-2212.275094|4.8562|6.4202
4q_a46|0.0|0|0.0|1|7.832410927000001|1|1|1.131262631|-0.2520920439999999|0.004704245|2|0.0462962959999999|-0.012611536|0.012173202|10.96363644|-0.081623022|1|1|0.012222698|-0.019471024|-0.1214838219999999|-0.125840557|2|0.716317772|0.807871283|-0.121752717|0.848935944|0.703627625|0.913550004|-0.070035423|0.258420996|-29.12008262|8.099124333999999|0.086449996|48.25357162|-21.81959712|72.14599138|0.61955726|37.21920695|0.487775649|2234.596293|1491.412605|0.38044274|6.038093227999999|212.350744|-327.2939568|18.92875482|0.018430997|-133.46593529999998|554.3688216|10.28758193|1.0|1.0|1.0|3.95|3.16|17.0|-6.94|4.09|52.83|1.75|0.0|0.0|102.63|0.0|1.0|4.0|-3.41|4.0|1.0|0.0|-3.89|0.000129|0.0449|2.65|0.0|0.0|1.14e-07|-0.03042|4.5296|4.5296|-1108.751283|606.7333|273.72|273.72|510.13|0.69002|0.69002|-1108.511662|2.7026|-0.2207199999999999|0.02185677|-1108.566571|3.2968|6129.0
2_a1|0.0|0|0.0|1|7.535296702|1|1|1.348828131|-0.049975995|-0.014296455|1|0.0409444439999999|-0.1056298369999999|0.001576763|10.9520472|0.101798469|1|1|0.003205156|-0.237981258|-0.145015842|-0.422863867|1|0.571324013|0.795932678|0.1766333219999999|0.8571146190000001|0.5574897879999999|0.808210065|-0.077270452|0.220315042|-28.32386891|5.135384136|0.191789935|87.29479691|-16.00805425|84.54541681|0.6944040029999999|33.45925305|0.39830426|1884.85038|1378.496713|0.305595997|5.2823820260000005|139.0945801|-192.096651|17.36508791|0.017741989|-176.9692239|299.6692382|8.075415099999999|1.0|1.0|1.0|2.91|2.69|17.0|-6.18|4.12|30.71|2.49|0.0|0.0|79.77|0.0|1.0|2.0|-3.06|3.0|1.0|1.0|-3.78|0.000167|0.0466|2.76|0.0|0.0|6.64e-07|-0.02966|4.0877|4.0877|-920.2093796|489.42|303.31|303.31|355.79|0.7007899999999999|0.7007899999999999|-920.078239|3.5853|-0.19826|0.024658671|-920.123726|5.2754|5.2366
17g_a50|0.0|1|0.0|2|7.934155233999999|2|2|1.320916184|-0.185924266|0.052557574|2|0.029160757|-0.05611228|0.012079|10.94501702|-0.1155555559999999|2|2|0.01245647|-0.090386911|-0.200725906|-0.213708251|1|0.754575205|0.738521694|-0.2126789369999999|0.7787714459999999|0.7276268779999999|0.920663175|-0.0706879109999999|0.442201795|-32.14758511|9.710172008|0.079336825|52.94662161|-31.48270383|85.51402581|0.749948388|41.85775712|0.467997084|2821.3922|1975.996014|0.250051612|8.130878433|166.8756987|-692.6194843|23.06474408|0.013645282|-333.6136209|829.3813984|9.106383854|0.0|1.0|1.0|4.04|3.66|20.0|-6.96|4.37|51.77|2.71|2.0|0.0|133.03|0.0|1.0|6.0|-4.46|4.0|1.0|0.0|-4.86|1.39e-05|0.0059|3.68|0.0|0.0|1.1e-07|-0.0323|4.0458|4.0458|-1335.976491|725.92|306.45|306.45|559.45|0.6623600000000001|0.6623600000000001|-1335.631756|7.0584|-0.19929|0.02957267|-1335.693266|9.1706|6.6091
7b_a8|0.0|0|3.213855584|1|7.535296702|1|1|1.395658671|-0.119760914|-0.038810124|1|0.040873016|-0.024156447|0.002074537|10.9465091|-0.0254956129999999|1|1|0.003191529|-0.039357491|-0.021509048|-0.415894017|1|0.710658316|0.7812177770000001|-0.040994467|0.8453887859999999|0.677544268|0.7223476129999999|-0.1000685009999999|0.282366236|-60.75943432|19.86678613|0.277652387|166.30684230000003|-35.90168309|75.93423425|0.753935657|80.62622045|0.4787988|2776.185773|1780.952171|0.246064343|7.698000901|147.3863936|-682.1319788|32.83731114|0.022982731|-304.2022276|545.9267515|13.76608164|0.0|0.0|1.0|3.49|3.37|23.0|-7.65|3.8|92.93|2.23|2.0|0.0|110.8|0.0|1.0|3.0|-5.25|5.0|0.0|1.0|-4.94|1.14e-05|0.00454|3.61|0.0|0.0|2.25e-08|-0.06833|4.5945|3.26|-1330.622441|621.4|380.32|269.85|506.21|0.44725|0.7025100000000001|-1330.392289|9.9463|-0.20472|0.0273745|-1330.448193|12.7344|4.8687
14x_a23|0.0|1|0.0|2|7.423568444|0|0|1.197963189|0.0944818319999999|-0.111315218|2|0.04314059|0.05740118|0.003379755|10.31321817|-0.0229244|2|2|0.003906274|0.160327487|-0.073958723|-0.443633823|2|0.5788469970000001|0.802520527|-0.035965909|0.8668730109999999|0.558482531|0.7768288609999999|-0.084244058|0.229141189|-46.97594633|14.64350681|0.223171139|147.90081730000003|-37.00022522|87.28077098|0.722211323|61.61945314|0.468120981|3071.48868|2382.851643|0.277788677|7.777802167999999|184.0971574|-703.0042792|31.25095356|0.0219879679999999|-294.5294492|597.2903597999999|14.57194888|0.0|0.0|0.0|3.42|3.42|26.0|-7.93|5.14|105.02|3.78|2.0|1.0|120.2|0.0|1.0|5.0|-5.68|6.0|0.0|0.0|-5.27|5.41e-06|0.00242|3.78|0.0|0.0|1.17e-08|-0.08216|4.0641|3.6941|-1828.393372|675.21|335.63|305.07|537.48|0.6757|0.62836|-1828.168422|5.7933|-0.23475|0.02165405|-1828.228912|8.1916|8.4949
6b_a40|0.0|0|0.0|1|8.421342866|1|2|0.604892326|0.135693438|-0.069975812|0|0.039863946|-0.137534783|-0.003851208|10.30179924|-0.226457281|2|2|-0.004728928|-0.248560671|-0.018582337|-0.630957955|0|0.691778838|0.842573207|-0.307881994|0.90571269|0.6462648870000001|0.753431574|-0.118488624|0.417254814|-72.13527644|9.771129787|0.246568426|165.1465831|-53.15460718|34.43877986|0.878140798|81.90640622|0.442509019|3214.047452|4049.386572|0.1218592019999999|6.976123351|81.61884754|-956.7829293|37.83107469|0.011838681|-506.5422338|618.8882797|7.929311055|1.0|0.0|1.0|4.02|3.36|14.0|-5.21|4.38|173.43|2.61|2.0|2.0|130.16|1.0|2.0|5.0|-8.41|5.0|0.0|1.0|-6.18|6.55e-07|0.000335|5.03|1.0|1.0|6.21e-06|-0.09533|3.1026|3.1026|-3290.775349|687.2|399.62|399.62|552.01|0.69429|0.69429|-3290.583786|8193.0|-0.21904|0.03026498|-3290.648012|11.3203|7.5229
12aq_a36|0.0|0|3.427017327|0|7.412764017000001|2|2|1.297043497|0.0332421529999999|-0.135770278|2|0.041728395|0.076517478|-0.006653538|10.95447882|-0.028591187|1|1|-0.004569485|0.131910912|-0.052743904|-0.5356623070000001|1|0.892815402|0.839953955|-0.047695595|0.89459881|0.849217847|0.681470612|-0.122078233|0.162384515|-73.0277723|14.29132551|0.318529388|212.8220574|-54.49698711|112.415579|0.7619767479999999|87.31909781|0.426481765|2932.54604|2906.024504|0.238023252|8.596645087999999|159.03272990000002|-1035.442755|37.66374367|0.020701483|-350.0740123|689.2886595|13.83147784|0.0|0.0|0.0|4.83|0.0|17.0|-6.14|0.98|112.29|1.28|1.0|0.0|131.85|0.0|1.0|6.0|-3.52|5.0|0.0|0.0|-3.45|0.000359|152.0|1.55|0.0|0.0|7.19e-07|-0.06059|3.9049|3.3759|-1401.669694|703.04|367.26|317.51|534.96|0.6933199999999999|0.7058300000000001|-1401.391057|6.7649|-0.19967|0.03228003|-1401.452487|8671.0|7.2596
