molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|JGI4|MATS7i|SaaaC|ATSC1c|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA3|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
4R4l_a46|0.0|0|0.171853072|1|7.825245291|1|1|2.155247543|-0.058870177|5.587248657999999|0.049498645|-0.067419714|0.0|-0.255755434|-0.161358058|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|0.7940662409999999|0.726535412|-0.001318857|-0.229089688|0.7936534740000001|0|-0.090505744|0.007084496|-45.96797819|177.33836430000002|0.103346328|56.0891211|-24.94818681|0.0|0.8782984840000001|-26.65896664|49.44228224|-16.223992300000003|52.96512128|2165.83681|-827.4236073|-449.0673625|18.4720714|0.006401537|-410.6276419|942.0756413|1.0|1.0|1.0|1.0|-7.0|5.02|50.94|1.0|0.0|105.77|0.0|1.0|3.0|26.0|3.0|347.45|1.0|1.0|-5.11|5.25e-06|7.78e-06|0.0|0.0|9.980000000000001e-08|-0.0212699999999999|4.6497|4.1152|1038.78|301.29|0.1678|0.40548|0.67823|-1092.4898449999998|-0.19602|0.02589231|2.3035|6.8633
8f_a12|0.0|0|0.0|0|6.580639137|1|1|0.0|0.110310585|4.59511985|0.038347953|-0.013400998|2.177023629|-0.3981937339999999|-0.024023866|-0.00094279|-0.023769395|-0.070713228|-0.125424286|-0.560548116|0.902669729|0.7475224290000001|-0.13747286|-0.042014638|0.8409290840000001|1|-0.072634742|0.013287637|-56.220383|83.13642146|0.130176823|73.97552223|-31.9483307|0.0|0.8381234340000001|-23.45595611|63.05721575|-21.72151161|48.82707007|2541.921472|-955.746511|-543.1216218999999|25.9168408|0.012030968|-384.290491|1140.340995|1.0|1.0|1.0|1.0|-8.42|3.41|78.41|2.0|0.0|115.66|0.0|1.0|3.0|27.0|4.0|369.44|1.0|1.0|-5.24|1.99e-06|5.72e-06|0.0|0.0|3.79e-09|-0.06179|4.1744|3.6536|1020.81|339.35|312.0|0.59107|0.65098|-1480.955408|-0.2124|0.03056355|1.4701|6.1898
17a_a10|0.0|0|0.0|1|7.535296702|2|2|2.118111229|-0.218519541|5.4161004020000005|0.036545455|-0.082914437|1.863045777|-0.2946568739999999|0.031632653|0.01029375|-0.132166258|-0.225935253|-0.360142554|-0.275154041|0.7019075779999999|0.76281504|0.029106767|0.054069767|0.673253555|1|-0.055423599|0.020088947|-58.46202420000001|51.96456548|0.146175016|103.34686|-41.33310046|87.61514901|0.564726042|-27.70403316|76.48633670000001|-16.70343549|53.38795048|3154.628148|-1052.3164359999998|-743.9958084|29.57794442|0.0254938|-91.52361858|1863.410498|0.0|1.0|1.0|0.0|-7.32|2.5|76.38|1.0|0.0|142.16|0.0|1.0|6.0|35.0|6.0|468.55|1.0|0.0|-4.32|0.00021|4.74e-05|0.0|0.0|4.74e-08|-0.04641|5.5285|3.9887|1326.24|310.84|0.2142|0.32889|0.67671|-1524.187115|-0.21203|0.03725238|5.3803|7.3098
9b_a36|0.0|1|0.0|0|7.412764017000001|2|2|0.0|-0.053019801|5.351858133|0.040166667|0.082806042|0.0|-0.308862918|-0.06502499|0.005458948|0.146828453|-0.053309522|-0.094526372|-0.4060950789999999|0.8421237309999999|0.7885597609999999|-0.034830997|-0.1177413269999999|0.7961424690000001|0|-0.074181597|0.017007854|-61.73294817|67.12293326|0.154620539|97.10089515|-38.76797062|0.0|0.78242217|-29.25555061|71.70079424|-22.67740953|57.26650122|2715.020034|-1111.193067|-697.8234711|28.98359786|0.015872498|-354.7193098|1420.196295|1.0|0.0|0.0|1.0|-6.64|2.76|82.47|1.0|0.0|126.17|0.0|1.0|5.0|29.0|4.0|398.48|0.0|0.0|-4.43|2.49e-05|3.71e-05|0.0|0.0|2.3100000000000002e-07|-0.05146|3.8535|3.8535|1127.85|321.74|0.5392|0.69763|0.69763|-1575.557248|-0.20979|0.02803905|8.4288|7.6778
16d_a32|0.0|1|0.0|0|7.765993078999999|0|0|0.0|0.170838661|5.733341277|0.0421759259999999|0.0115077539999999|2.07416189|-0.7589895790000001|-0.0517549079999999|-0.005427254|0.021406827|-0.128753933|-0.239509216|-0.68301199|0.816581223|0.8575664540000001|0.107238939|-0.0847953219999999|0.7689748270000001|1|-0.091212351|0.032003415|-67.07571683|115.2070109|0.244506926|142.7146582|-39.15098916|48.61700321|0.615749698|-31.07481011|86.50964771|-21.26791022|71.91900971|2588.214866|-871.9843187999999|-508.962859|34.53986301|0.0332953229999999|-135.1223777|1416.134383|1.0|0.0|1.0|2.0|-6.59|3.82|149.27|1.0|0.0|102.33|1.0|1.0|6.0|26.0|5.0|385.46|0.0|1.0|-4.18|2.22e-06|6.659999999999999e-05|0.0|0.0|2.55e-07|-0.05068|3.6271|3.6271|1023.44|341.83|0.2915|0.70217|0.70217|-1877.185022|-0.20077|0.02818209|3.8853|8.1135
17g_a50|0.0|0|0.0|2|7.934155233999999|2|2|4.377239517|-0.185924266|5.82008293|0.029160757|-0.05611228|2.236579664|-0.13328325|-0.1155555559999999|0.01245647|-0.090386911|-0.200725906|-0.323333765|-0.213708251|0.754575205|0.738521694|-0.10642733|-0.2126789369999999|0.7276268779999999|1|-0.048170917|0.014550016|-47.17463902|10.60268439|0.079336825|52.94662161|-31.48270383|85.51402581|0.749948388|-21.45417373|56.28102287|-17.29736764|41.85775712|2821.3922|-1037.842058|-692.6194843|23.06474408|0.013645282|-333.6136209|1383.884645|0.0|1.0|1.0|0.0|-6.96|4.37|51.77|2.0|0.0|133.03|0.0|1.0|6.0|32.0|4.0|424.54|1.0|0.0|-4.86|3.4899999999999995e-05|1.39e-05|0.0|0.0|1.1e-07|-0.0323|4.0458|4.0458|1259.05|306.45|0.1795|0.6623600000000001|0.6623600000000001|-1335.631756|-0.19929|0.02957267|9.1706|6.6091
32_a47|0.0|0|0.0|1|6.842683282|1|1|1.998170616|-0.1746026239999999|4.727387819|0.035568182|-0.013510009|1.6507707980000002|-0.2037028839999999|-0.044598914|0.002350172|-0.0274939029999999|-0.077485193|-0.157688306|-0.2749014|0.6636125860000001|0.810444864|-0.0094137619999999|-0.078006445|0.634406338|1|-0.05770007|0.019295804|-52.38450683|28.55112477|0.148372218|106.9180086|-37.74862456|44.50423685|0.64116122|-29.9621436|68.76811937|-18.77935151|55.48373932|2808.210157|-995.3056298|-717.2238666000001|29.28959351|0.022735861|-203.4434306|1552.348456|1.0|1.0|1.0|2.0|-8.82|5.07|67.66|2.0|0.0|125.17|0.0|1.0|5.0|31.0|5.0|436.91|0.0|1.0|-5.05|1.5399999999999998e-05|8.89e-06|0.0|0.0|1.5e-09|-0.05682|4.9046|3.6829|1184.76|336.65|0.2969|0.48011|0.68986|-1777.843462|-0.20778|0.03062031|6.3139|7.0
37_a18|0.0|0|0.0|0|7.03438793|2|2|0.0|-0.0013530679999999|4.844187086|0.036746032|-0.018268775|0.0|-0.385273662|-0.011713125|0.003512954|-0.0276034839999999|-0.1483628609999999|-0.224171123|-0.44541772|0.7100921609999999|0.725028151|0.020848396|-0.020149364|0.699483099|0|-0.068500679|0.009098426|-54.7389628|12.63119843|0.168216253|123.0060763|-40.02719655|60.1335413|0.7648766029999999|-36.62790634|65.15554136|-20.92960342|56.74339533|3055.795406|-1423.213033|-1040.70711|27.36337253|0.0142451319999999|-387.3755475|1860.709332|0.0|1.0|1.0|2.0|-8.82|3.3|76.5|2.0|1.0|151.14|0.0|1.0|7.0|36.0|3.0|480.6|1.0|0.0|-5.47|2.08e-06|3.35e-06|0.0|0.0|1.51e-09|-0.04925|3.2127|3.2127|1395.35|385.91|499.0|0.69305|0.69305|-1532.553949|-0.18119|0.02274574|3.0375|7.4559
12i_a36|0.0|1|-4.787087299|0|7.412764017000001|2|2|0.0|0.043792895|5.351858133|0.0438779959999999|0.048138468|0.0|-0.929568494|-0.009876543|-0.007897954|0.135587069|-0.1187503719999999|-0.3344729369999999|-0.608318386|0.647732719|0.820041835|0.141564781|-0.01509434|0.624142499|0|-0.0850745409999999|0.01973953|-75.66036485|108.3973956|0.169035768|108.9148111|-48.75024044|0.52902639|0.7691298590000001|-35.3196406|90.11282843|-29.42347522|67.53484704|3231.030388|-1588.867662|-1023.755049|38.2555363|0.022430221|-346.8168661|2065.79896|1.0|0.0|0.0|2.0|-7.14|4.04|78.43|2.0|0.0|130.43|0.0|1.0|7.0|34.0|8.0|465.43|0.0|0.0|-5.07|6.26e-06|8.6e-06|0.0|0.0|7.24e-08|-0.05065|5.2297|3.7496|1172.5|330.66|0.5402|0.34255|0.70134|-1644.954647|-0.20475|0.03165678|6.6124|7.9208
5e_a40|0.0|0|0.0|1|8.149890544|0|1|1.661964758|-0.091305805|6.167516491000001|0.044526749|-0.106497535|0.7768055559999999|-0.162528785|0.029272031|0.008306061|-0.184667138|0.005996234|0.010397494|-0.391074665|0.535506399|0.8092726020000001|-0.402340487|0.0451110059999999|0.5087199929999999|1|-0.076883794|0.019851304|-42.66853738|170.7311133|0.135577249|64.47400829|-20.29110082|51.7148695|0.8223594679999999|-17.38723451|48.81318333|-17.06741495|46.00255248|1986.384601|-512.0224486000001|-243.4932098|20.75420252|0.012921086|-306.597267|622.6260756|1.0|0.0|0.0|0.0|-4.65|3.74|75.5|1.0|1.0|79.16|0.0|2.0|3.0|20.0|3.0|303.77|1.0|1.0|-4.25|1.66e-05|5.56e-05|0.0|0.0|2.23e-05|-0.07231|3.7138|3.7138|802.38|333.85|0.5262|0.69675|0.69675|-1637.115238|-0.2201699999999999|0.01659566|10282.0|7.6021
