molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|MATS1c|GATS1are|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GRAV|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
12be_a36|1|0|0|3.466734143|0.0|7.412764017000001|2|1.297042758|0.0|-0.148313814|-0.009368126|5.351858133|-0.0419484829999999|2|0.043854875|0.118420241|0.0|0.000482522|-0.08981965|10.95957887|0.00430921|1|1|0.002872872|-0.176729938|-0.3825349939999999|0.884226781|0.132962547|0.858971809|0|0.798015877|-0.0780531429999999|0.033763464|-54.15309606|23.42501577|63.31681179|0.201984123|-0.031937334|-52.44976141|0.0|0.5660743979999999|-37.57129686|99.62604537|-22.15805062|77.57811183|0.4564615729999999|3039.9167260000004|2552.721046|-15.37320593|6592.168374|0.034632557|-91.68453892|2270.314539|766.4854363|24.02799032|1.0|2.0|0.21|-6.79|2.83|1.9|87.66|1.0|0.0|7.0|-4.11|33.0|-7.13|0.0|1.75|7.75e-05|0.0342|2.62|1.6100000000000005e-07|7.11e-05|5.2184|2.68|3.3487|739.48|1256.67|594.44|0.40844|-1461.68274|0.03245204|10.3044|44.0|7.3565
12aj_a36|1|0|0|3.482902101|0.0|7.412764017000001|2|1.29704406|0.0|-0.056210607|-0.00706023|5.351858133|-0.045035034|2|0.043848238|0.064171987|0.0|0.002951176|-0.103202936|10.95354213|-0.042227364|1|1|0.003962098|-0.104118159|-0.43462267|0.90414347|0.091113865|0.8632656809999999|0|0.8269863129999999|-0.073002742|0.018305468|-46.79363201|11.73352271|82.34300699|0.173013687|-0.0368515929999999|-42.23511741|0.0|0.77492734|-29.99399664|76.5855549|-23.62130319|58.52715472|0.47532973|2710.647462|2275.825451|-15.14089115|5763.333098|0.016684569|-352.4483722|1615.543812|662.0530478999999|10.69455126|0.0|2.0|0.17|-6.97|3.24|2.19|69.2|1.0|0.0|5.0|-4.16|30.0|-6.55|1.0|2.14|6.929999999999999e-05|0.0274|3.04|1.08e-07|4.270000000000001e-05|5.2301|3.48|3.6017|682.84|1157.64|539.55|0.4112|-1271.9998859999998|0.03225532|7.8393|17.0|7.7696
3f_a32|1|1|1|3.553167045|0.0|7.773594467000001|0|0.6094207770000001|0.0|0.0067550119999999|-0.00611496|5.733341277|-0.0434359079999999|0|0.042380952|-0.062954205|2.227330929|0.001276735|-0.113189563|10.31100273|-0.110286539|3|3|0.002565215|-0.074808287|-0.5487283829999999|0.833981748|-0.110248899|0.871865543|1|0.874026684|-0.073433055|0.011897886|-41.40131823|6.707989266|47.97543149|0.125973316|-0.030139709|-30.95210106|0.0|0.78919828|-23.34192893|61.47296003|-16.99267001|48.1093075|0.435176082|2273.466801|2130.756016|-9.580412233|4993.667711|0.011659458|-326.0981041|904.3255145|475.3634141|6.573564628|1.0|1.0|0.28|-7.31|7.18|5.63|110.94|2.0|0.0|4.0|-6.89|24.0|-5.03|0.0|4.63|1.28e-07|4.53e-05|4.83|4.89e-08|1.73e-05|3.5569|3.92|3.5569|604.9|1006.92|488.74|0.70255|-1711.863611|0.02606687|5.7161|9.0|8.0458
4R4l_a46|0|0|0|0.0|0.171853072|7.825245291|1|1.134637095|2.155247543|-0.058870177|-0.004736212|5.587248657999999|-0.075241716|1|0.049498645|-0.067419714|0.0|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|0.0071939419999999|-0.3888343979999999|0.7940662409999999|-0.001318857|0.762625193|0|0.896653672|-0.090505744|0.007084496|-49.12015477|3.844966512|177.33836430000002|0.103346328|-0.02989332|-24.94818681|0.0|0.8782984840000001|-26.65896664|49.44228224|-16.223992300000003|52.96512128|0.4568839389999999|2165.83681|1766.0974600000002|-8.805242402000001|4923.057044|0.006401537|-410.6276419|942.0756413|579.2365607|3.474304058|1.0|1.0|0.36|-7.0|4.64|5.02|50.94|1.0|0.0|3.0|-5.28|26.0|-5.23|1.0|4.09|5.25e-06|0.00182|4.49|9.980000000000001e-08|3.47e-05|4.6497|4.99|4.1152|584.44|1038.78|498.78|0.40548|-1092.4898449999998|0.02589231|2.3035|137.0|6.8633
10_a1|1|0|0|3.261363142|0.0|6.86171134|0|1.435871163|0.0|0.0883621719999999|-0.014135827|4.727387819|-0.23385288|1|0.037578348|0.049971022|0.0|-0.012672753|-0.020225596|10.94957578|0.010430299|1|1|-0.0106277489999999|-0.019835038|-0.623957903|0.674381582|-0.0369911079999999|0.783467165|0|0.669963758|-0.116648443|0.014751098|-65.97424138|8.34295348|212.8090837|0.330036242|-0.045402319|-35.02707638|64.49041745|0.8340962559999999|-37.31383317|70.6564636|-25.67872721|74.31719486|0.459673515|2432.447088|1768.2330920000002|-14.52342192|5192.858899|0.015427326|-377.9175542|1262.237791|433.2550452|8.725415617000001|0.0|2.0|0.0|-8.02|4.86|5.06|78.87|2.0|0.0|4.0|-4.98|27.0|-5.91|0.0|3.7|1.04e-05|0.00372|3.64|9.53e-09|3.42e-06|3.4067|5.81|3.4067|585.51|979.35|464.77|0.70345|-1222.969096|0.03426532|7807.0|1.5|5.8239
17b_a50|0|1|1|0.0|0.0|7.934155233999999|1|1.348984601|4.35392516|-0.145258626|-0.002181823|5.82008293|0.013050204|1|0.032052154|0.035558152|2.206759705|0.012409091|-0.152660972|10.94500663|-0.15040528|2|2|0.012686493|-0.2252068689999999|-0.237489143|0.7715057479999999|-0.1585336269999999|0.799772151|1|0.931849183|-0.047785496|0.0128994089999999|-33.25475672|8.976922737999999|9.9094658|0.068150817|-0.02681014|-36.59177249|86.9549829|0.803386523|-23.14256283|59.65808461|-18.65764227|42.23167946|0.4835366239999999|2765.537065|1948.148592|-12.98417734|6059.076348|0.010169967|-422.2639022|1439.872076|862.3868512|7.077456382|1.0|0.0|0.35|-7.54|4.18|4.92|51.77|3.0|0.0|8.0|-4.75|32.0|-6.09|1.0|3.87|1.7899999999999998e-05|0.00763|3.96|2.87e-08|1.22e-05|4.2447|3.77|4.0418|752.09|1300.3|647.75|0.6269899999999999|-1336.833957|0.02640483|8.4096|122.0|6.9136
12b_a50|0|1|1|0.0|0.0|7.927685046000001|1|1.397986833|4.058595679|-0.19841119|-0.002929899|5.82008293|-0.0016330379999999|1|0.034845679|-0.08032584|2.112397566|0.01164808|-0.101728189|10.94501743|-0.115659308|2|2|0.011790103|-0.168032508|-0.246831987|0.699597776|0.009081884|0.8718949979999999|1|0.925916085|-0.045602469|0.0214891|-22.92589265|10.80329197|8.07905572|0.074083915|-0.0237482779999999|-16.72031641|86.49656508|0.5731907470000001|-11.52561607|47.12729492|-11.93905701|33.72918462|0.430791247|2224.116359|1446.231761|-6.002164865|4672.843578|0.027586169|-73.59089223|812.3355548|388.171611|13.86849326|1.0|0.0|0.11|-5.49|2.59|3.42|48.53|0.0|0.0|2.0|-3.16|24.0|-6.44|1.0|2.59|0.000685|215.0|2.5|3.22e-06|0.00101|4.7089|2.47|3.9305|539.15|909.8|401.64|0.6016199999999999|-1006.501585|0.02307802|5.6617|4.74|5.3242
12c_a5|1|0|0|2.977832018|0.0|6.605297921|1|1.236775191|0.0|-0.212798523|-0.002685954|4.59511985|0.020594766|3|0.0252713179999999|-0.086795626|0.0|0.0054189009999999|-0.096073591|10.9455378|0.0072946769999999|1|1|0.00586291|-0.01261147|-0.223631474|0.808899433|0.05430631|0.8446264459999999|0|0.841092921|-0.070873852|0.016374249|-46.62294305|10.77147171|143.44655559999998|0.158907079|-0.022421317|-28.59715492|13.26856229|0.583585895|-30.6699685|59.40070647|-14.74941369|57.39441476|0.4609383929999999|2697.345008|2045.184304|-9.702606135|5877.765289|0.024214085|-109.9706106|1415.330929|735.3048881|15.92875034|1.0|2.0|0.24|-9.31|5.03|4.32|75.72|1.0|0.0|6.0|-4.09|31.0|-6.79|0.0|3.31|8.159999999999999e-05|0.0336|2.84|4.93e-10|2.03e-07|4.6671|2.06|4.0116|694.24|1200.02|519.21|0.52074|-1316.244961|0.02242648|3.5993|47.0|7.3279
17a_a10|0|0|0|0.0|0.0|7.535296702|2|1.3438501040000002|2.118111229|-0.218519541|-0.004333189|5.4161004020000005|0.021150127|3|0.036545455|-0.082914437|1.863045777|0.009206558|-0.093735748|10.92970797|0.031632653|1|1|0.01029375|-0.225935253|-0.275154041|0.7019075779999999|0.029106767|0.8044827790000001|1|0.8538249840000001|-0.055423599|0.020088947|-39.18491085|14.20303963|51.96456548|0.146175016|-0.023625536|-41.33310046|87.61514901|0.564726042|-27.70403316|76.48633670000001|-16.70343549|53.38795048|0.4918223679999999|3154.628148|1855.293376|-11.80945728|7078.918870999999|0.0254938|-91.52361858|1863.410498|911.2106544|18.02431251|1.0|0.0|0.33|-7.32|3.31|2.5|76.38|1.0|0.0|6.0|-3.68|35.0|-7.43|1.0|2.64|0.00021|0.0986|2.43|4.74e-08|2.22e-05|5.5285|3.95|3.9887|767.6|1326.24|603.73|0.32889|-1524.187115|0.03725238|5.3803|49.0|7.3098
IN1166_a11|1|0|0|3.433539068|0.0|6.842683282|0|1.429020445|0.0|-0.089778965|-0.006882528|4.727387819|-0.008507023|2|0.044021739|0.018376555|1.643912856|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|1|-0.001446486|-0.126749697|-0.462344944|0.841211811|0.102257199|0.827254552|1|0.863273559|-0.073965061|0.0200246639999999|-51.07061499|13.82641888|112.0066065|0.136726441|-0.031642539|-42.74230509|20.83871871|0.694302821|-35.26269962|76.76995134|-21.84820685|64.89703387|0.463497159|2865.055175|2953.475057|-15.08551944|6310.825439|0.021531291|-268.3203251|1604.859603|676.2770877|14.86669859|1.0|2.0|0.08|-10.18|5.01|4.53|103.17|1.0|0.0|5.0|-5.11|32.0|-6.52|0.0|3.31|7.74e-06|0.00323|3.27|6.59e-11|2.75e-08|4.9857|3.36|3.2827|704.48|1198.36|554.63|0.4358399999999999|-1347.012407|0.04189898|4.3481|12.0|7.9318
11_a1|1|0|0|3.3361517380000003|0.0|7.423568444|1|1.430935838|0.0|0.033732316|-0.018080197|5.351858133|-0.196819043|1|0.035620155|0.08043435|0.0|-0.0127744789999999|-0.05257082|10.94957487|-0.044235537|1|1|-0.009578125|-0.07452948|-0.563650254|0.823460272|-0.069193862|0.8086124090000001|0|0.5955245029999999|-0.131972845|0.034974992|-77.81495049|20.62225192|274.39137789999995|0.404475497|-0.048723884|-43.84323456|84.40380304|0.751878145|-45.88191258|89.80732824|-28.7289904|98.43720241|0.47723847|2697.640232|1885.148133|-16.93943154|5798.645137|0.02620284|-297.0290662|1681.223993|495.0560271000001|15.44994131|1.0|2.0|0.05|-7.47|4.28|4.23|97.33|1.0|0.0|4.0|-5.07|29.0|-6.27|0.0|3.22|8.48e-06|0.00327|3.35|3.35e-08|1.29e-05|3.7383|5.26|3.1924|614.86|1036.18|471.76|0.68162|-1312.241032|0.03413353|7.1743|0.17|6.7696
16_a20|1|0|0|3.485659565|0.0|6.842683282|0|1.401259527|0.0|-0.014660441|-0.004705049|4.727387819|0.00695144|2|0.0388043479999999|0.126359252|2.013871268|8.23e-05|-0.061975089|10.93301779|-0.062750442|1|1|0.001157852|-0.070208458|-0.458484451|0.7582110409999999|-0.085041518|0.809440795|1|0.915005572|-0.066137353|0.011604018|-43.51359744|7.634605066000001|69.28224942|0.084994428|-0.029561375|-33.67420774|3.46788153|0.780108103|-28.6288015|60.02453683|-19.44924762|51.14820251|0.464473378|2722.728332|2161.751186|-12.79619894|5896.394536|0.013439632|-368.5817657|1246.573875|664.4562602999999|8.84230625|1.0|1.0|0.08|-10.52|6.38|5.46|78.25|2.0|0.0|4.0|-6.06|31.0|-5.42|0.0|4.37|8.68e-07|0.000349|4.69|3.0500000000000005e-11|1.22e-08|5.9837|4.45|3.5704|686.59|1174.61|554.41|0.32553|-1275.636924|0.03385502|6.5609|26.0|7585.0
4a_a49|0|0|0|0.0|0.0|7.535296702|1|1.343847746|2.085628989|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|2|0.036555556|-0.080255074|1.713107022|-1.8100000000000003e-05|-0.053787795|10.92777282|0.018857363|1|1|0.000660956|-0.037142108|-0.403194204|0.7541604690000001|0.0063958109999999|0.856023531|1|0.7570436159999999|-0.094228246|0.017143497|-57.79201133|10.51443916|313.22432680000003|0.242956384|-0.0292876779999999|-33.05061877|60.11195021|0.650301539|-35.44496163|68.37721704|-17.96270092|68.30645049|0.4716382|2675.628678|1647.61849|-11.01687292|5950.370212|0.023624093|-184.3656985|1408.727632|620.5697596|14.48911428|1.0|2.0|0.22|-7.36|3.4|2.83|92.93|1.0|0.0|6.0|-3.28|30.0|-7.52|0.0|2.42|0.000528|211.0|1.71|4.35e-08|1.74e-05|4.7259|3.34|3.7876|660.19|1128.22|504.63|0.35731|-1312.924353|0.04133192|4.8706|32.0|7.4949
