molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|MATS1c|GATS1are|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GRAV|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
12y_a30|0|0|0|0.0|0.0|7.412764017000001|2|0.604984019|0.0|0.048343649|-0.005996863|5.351858133|-0.037335306|2|0.044197531|-0.089502772|0.0|0.00604028|0.061944378|10.31162818|-0.058184644|1|1|0.006346396|-0.053700437|-0.4579359229999999|0.842068099|-0.05346283|0.8146529229999999|0|0.8489185109999999|-0.070903795|0.0149823289999999|-47.598277|10.05775555|85.17057711|0.151081489|-0.034840345|-41.1215369|0.0|0.820108145|-31.95309886|69.55490151|-23.38859815|57.65603256|0.445723724|2847.362782|2411.415644|-15.70095045|6301.067405|0.012362508|-429.782246|1568.540572|754.3941655|8.299049218|0.0|1.0|0.21|-7.38|4.87|3.23|81.65|2.0|0.0|5.0|-6.04|31.0|-5.64|0.0|3.19|9.14e-07|0.00039|4.6|4.12e-08|1.76e-05|5.1973|4.45|3.4718|728.75|1227.82|585.59|0.30617|-1654.125015|0.0311422|5.1209|22.0|7.6576
47u_a18|0|0|0|0.0|0.0|7.03438793|1|1.251177393|0.0|0.039883149|-0.010219187|4.844187086|-0.0872206669999999|0|0.035393939|0.008108241|0.0|-0.000829573|0.031337464|10.94702032|-0.033209663|0|0|0.00082284|-0.126628013|-0.539738821|0.664796402|-0.0112778039999999|0.7960273840000001|0|0.741066474|-0.090364489|0.02068926|-62.99873374|14.42377665|86.37253771|0.258933526|-0.0344062|-44.84707106|77.59162925|0.721837463|-43.92035521|79.06741651|-23.98671253|77.42251040000001|0.483819806|2965.254516|1415.590236|-16.72263667|6837.350959|0.021142007|-309.31352410000005|1960.574384|818.9389171|14.73941472|0.0|2.0|0.19|-8.2|3.15|3.02|99.56|3.0|1.0|8.0|-5.69|34.0|-6.31|0.0|2.6|2.05e-06|0.000932|3.9|6.34e-09|2.89e-06|3.1186|9.34|3.1186|738.53|1282.66|646.45|0.69143|-1509.771642|0.02892505|5.8058|1.97|5.7055
14s_a23|0|1|1|0.0|0.0|7.423568444|0|1.197958333|3.336763335|0.020458621|-0.005854379|5.351858133|-0.022580082|2|0.045277778|0.049317519|0.740898446|0.010682694|-0.044305947|10.31321812|-0.064006338|2|2|0.009263715|-0.071484865|-0.457212212|0.722187957|0.096014944|0.846632079|1|0.92763624|-0.055037441|0.019970955|-35.30692476|12.81151517|30.34480575|0.07236376|-0.034255504|-33.12848261|82.55990607|0.7748161659999999|-22.64965286|62.75905983|-21.9751589|48.11843993|0.470919749|2954.0751370000003|2316.634024|-14.09722664|6938.271179|0.017330177|-352.5931977|1333.003252|633.3278634|11.11743642|1.0|1.0|0.05|-7.99|4.0|4.67|105.02|2.0|1.0|5.0|-6.13|31.0|-6.03|0.0|4.01|7.49e-07|0.000334|4.21|1.02e-08|4.55e-06|3.6828|4.1|3.6828|668.66|1164.32|528.82|0.60323|-2089.2914530000003|0.02112956|6.4428|3.0|8.5482
19_a31|1|0|0|3.2411335510000003|0.0|7.401841579|0|0.61013725|0.0|0.062492295|-0.01001901|5.351858133|-0.086654127|0|0.0427124179999999|-0.044625452|0.0|-0.005956522|-0.040386271|10.31169935|-0.081641954|2|2|-0.0038998559999999|-0.081398052|-0.615878515|0.656654981|0.019858798|0.902130276|0|0.7312647940000001|-0.0909201569999999|0.014675044|-53.25742146|8.596058678|75.32978176|0.268735206|-0.036060715|-38.88650245|67.42915967|0.776211804|-31.1960848|75.31824576|-21.12293613|61.85348014|0.446100738|2265.6917350000003|1992.2502|-12.37297805|4917.329034|0.0152483439999999|-323.5878356|1197.365442|460.3754405|8.931875058|1.0|2.0|0.28|-7.39|5.8|4.33|98.91|1.0|0.0|7.0|-4.67|25.0|-6.41|0.0|3.47|2.14e-05|0.0076799999999999|2.93|4.08e-08|1.46e-05|5.0344|5.24|3.9477|625.93|1028.58|537.66|0.5385300000000001|-1489.323855|0.03702801|2.4209|1.8|5.7447
13_a1|1|0|0|3.409865599|0.0|7.423568444|1|1.430073963|0.0|-0.046530797|-0.012199718|5.351858133|-0.144782061|1|0.036382114|0.1129747169999999|0.0|-0.008672236|-0.0594321759999999|10.94989555|-0.084271845|1|1|-0.005924486|-0.07665159|-0.485427571|0.87703849|-0.051729721|0.825117597|0|0.6794604670000001|-0.111667908|0.033737733|-64.94184903|19.62059449|148.7311076|0.320539533|-0.040302516|-36.08180773|528.3795274|0.7082629840000001|-37.76773325|77.55889436|-23.43842502|84.56244352|0.477212829|2555.623166|1786.445642|-13.63090514|5456.353212|0.026679865|-242.2358135|1489.177255|505.2124255|15.51600461|1.0|2.0|0.09|-7.94|4.75|3.87|80.26|1.0|0.0|4.0|-4.29|28.0|-6.48|0.0|3.23|5.16e-05|0.0192|2.94|1.14e-08|4.24e-06|4.0783|3.17|3.4483|613.52|1035.04|472.52|0.65363|-1238.174491|0.0284695999999999|3.9446|0.26|6585.0
12bh_a36|1|0|0|3.50075137|0.0|7.412764017000001|2|1.297043258|0.0|-0.052761366|-0.006687484|5.351858133|-0.047482048|2|0.044197531|0.001012669|0.0|0.003676818|0.075747971|10.94728093|-0.035747988|1|1|0.0045625|-0.101854847|-0.43574839|0.902377067|-0.211972014|0.833398429|0|0.833491953|-0.070687668|0.017627098|-47.04367494|11.73109101|83.08294358|0.166508047|-0.035569289|-44.11115058|0.0|0.783294222|-31.30825225|76.46867897|-23.6718811|58.77476595|0.482052584|2773.193279|2437.805332|-15.75398235|5957.443236|0.015307571|-377.0728785|1692.3721690000002|729.1873176|10.18741188|0.0|2.0|0.21|-7.34|3.76|2.5|69.2|1.0|0.0|5.0|-4.54|31.0|-6.38|1.0|2.42|2.8600000000000004e-05|0.0117|3.41|4.55e-08|1.86e-05|3.8811|3.79|3.6255|715.94|1208.61|575.23|0.69377|-1311.293683|0.03071385|7.7975|14.0|7.8539
12ad_a36|1|0|0|3.428443248|0.0|7.412764017000001|2|1.297042846|0.0|-0.040810025|-0.01083262|5.351858133|-0.073048351|2|0.040787037|0.046496301|0.0|-0.001148437|-0.0072527669999999|10.95445455|0.010723827|1|1|0.000906224|-0.136151085|-0.478461478|0.817851296|0.1563642469999999|0.8846605|0|0.760267769|-0.082404548|0.030769062|-58.34300549|21.78471426|94.12528108|0.239732231|-0.0365657189999999|-54.02363038|81.68309557|0.656407461|-41.30726219|96.81391944|-25.88878839|80.12771975|0.477102332|3041.082692|2474.175727|-18.32944602|6569.653402|0.028968808|-221.4751857|2208.646667|735.3783268|20.51012207|0.0|2.0|0.17|-6.62|2.7|1.67|95.5|1.0|0.0|7.0|-4.18|33.0|-7.18|0.0|1.76|6.579999999999999e-05|0.0289|2.53|2.42e-07|0.000106|5733.0|4.5|3.8512|737.53|1236.64|588.2|0.27316|-1460.5468529999998|0.03648828|6.8996|17.0|7.7696
12u_a36|1|0|0|3.508898495|0.0|7.412764017000001|2|1.270259304|0.0|-0.054501792|-0.006461999|5.351858133|-0.0407717229999999|2|0.042560386|0.033763276|0.0|0.0042553209999999|-0.063855309|10.95266014|-0.010669561|1|1|0.005035022|-0.099596099|-0.438988314|0.901715152|0.080270195|0.855176759|0|0.842227829|-0.07260571|0.017639065|-50.53295452|12.27663887|86.1184622|0.157772171|-0.03452119|-46.98143813|5.944854912|0.77938748|-35.17050511|78.06218646|-24.02645378|62.80959338|0.486156325|2831.106839|2455.7556010000003|-16.72220679|6127.402572|0.015171583|-388.9026034|1818.813889|799.5563855|10.55929252|1.0|2.0|0.24|-7.38|3.85|3.01|69.2|2.0|0.0|6.0|-4.95|32.0|-6.19|1.0|2.66|1.13e-05|0.0047799999999999|3.8|4.2e-08|1.7800000000000002e-05|3.8847|4.21|3675.0|739.12|1254.5|590.18|0.69258|-1350.575382|0.03260752|7.8877|16.0|7.7959
1i_a5|1|0|0|2.843224727|-4.358943904|6.605297921|0|1.219028472|0.0|-0.145964178|-0.006494891|4.59511985|-0.31059482|2|0.0253888889999999|0.018196138|0.0|-0.0012491689999999|-0.174016111|10.94550053|-0.003198529|1|1|-0.000700145|0.001493879|-0.403861432|0.525406088|-0.058385936|0.8436458929999999|0|0.8876055620000001|-0.091178745|0.008291428|-50.81756452|4.621144795|201.1526326|0.112394438|-0.03570792|-26.09853285|0.213644964|0.759459597|-28.32266298|57.78921354|-19.90145306|55.43870932|0.4697279689999999|2482.831286|942.1618767|-11.09187646|5432.586961|0.0196689|-289.21443910000005|1048.190221|403.396385|10.96226516|1.0|1.0|0.05|-8.88|5.48|6.37|54.46|2.0|0.0|4.0|-4.79|27.0|-5.73|0.0|4.12|1.6100000000000002e-05|0.00589|3.95|1.3300000000000002e-09|4.86e-07|4.7243|3.58|4.3799|569.42|957.58|443.05|0.4571199999999999|-1288.210207|0.03383899|2.8939|24.0|7.6198
14ae_a23|0|1|1|0.0|0.0|7.423568444|0|1.1979624290000002|3.338149829|-0.033049777|-0.007539122|5.351858133|-0.029948314|2|0.042903564|0.026913008|0.7338690390000001|0.008996289|-0.0174992419999999|10.31321689|0.0289586779999999|2|2|0.009675528|-0.143336826|-0.363230717|0.7763406840000001|0.107765697|0.8356326820000001|1|0.872362051|-0.065169397|0.03467374|-46.69131269|24.84237243|111.4422142|0.127637949|-0.0269140239999999|-44.69687612|110.5716332|0.53040766|-33.45249142|87.09501229|-19.28284095|71.53368511|0.479058976|3212.850883|2575.36078|-13.81539807|7308.981869|0.034488074|-43.57178809|1999.511567|770.8206617000001|24.70935041|1.0|1.0|0.12|-7.6|3.48|4.03|123.48|2.0|1.0|7.0|-5.8|34.0|-6.68|0.0|3.44|1.6e-06|0.000753|3.52|2.49e-08|1.17e-05|3.6036|2.99|3.6036|751.57|1285.52|627.57|0.58144|-1858.675325|0.01449323|9.5944|2.0|8.6038
16_a3|0|0|0|0.0|0.0|6.823286122000001|0|0.605020428|0.0|0.183636734|-0.010031024|4.727387819|-0.186717242|2|0.045993266|0.027762972|1.614080058|-0.010377537|-0.013328983|10.31163046|-0.018884246|1|1|-0.008409607|0.0032314229999999|-0.614173961|0.659478546|-0.142670655|0.838125715|1|0.6974791290000001|-0.108919585|0.012203576|-53.7971544|6.027544549|248.6415425|0.302520871|-0.041233465|-24.42909382|82.16042286|0.8296818009999999|-26.57128935|56.56724056|-20.36587865|59.82469895|0.484889078|2184.788331|1290.305313|-10.05903863|4733.033232|0.0143895839999999|-325.670405|834.5848652000001|328.71459869999995|7.107249553|1.0|1.0|0.0|-7.16|4.74|4.57|92.93|0.0|0.0|2.0|-4.98|23.0|-5.89|0.0|3.5|1.05e-05|0.0033799999999999|3.35|6.97e-08|2.25e-05|3.2208|3.19|3.2208|520.28|856.09|368.22|0.6944100000000001|-1371.250459|0.02847445|3613.0|42.0|7.3768
3b_a32|1|1|1|3.3653429710000005|0.0|7.758333467000001|0|0.609420808|0.0|0.046791596|-0.007388108|5.733341277|-0.064476472|0|0.042528736|-0.0411430079999999|2.21541916|-0.001282231|-0.1113575119999999|10.31100281|0.10614163|3|3|0.00020567|-0.0791178979999999|-0.536470812|0.833920105|0.094335058|0.866250192|1|0.8407393809999999|-0.073068133|0.014636992|-35.8437493|7.180211702|74.63320519|0.159260619|-0.033451833|-24.14971513|0.0|0.764128338|-17.58323784|56.82775081|-16.40987746|43.023961|0.460751087|2092.213643|1084.520517|-8.049905042|4448.251276|0.0154889019999999|-259.1375886|708.6845618|323.0421997|7.59811844|1.0|1.0|0.13|-6.5|6.25|4.43|110.94|1.0|0.0|2.0|-5.73|21.0|-5.57|0.0|3.68|1.86e-06|0.0005809999999999|3.71|3.19e-07|9.97e-05|3.5545|2.45|3.5545|524.46|857.0|396.83|0.70257|-1594.0008779999998|0.02589511|5.7777|6.0|8.2366
12c_a30|0|0|0|0.0|0.0|7.412764017000001|2|0.604984133|0.0|0.045997203|-0.006900253|5.351858133|-0.030422458|2|0.042804233|-0.0983590219999999|0.0|0.00372838|0.019094532|10.31162888|-0.072247675|1|1|0.003603419|-0.051371057|-0.468696709|0.8264832879999999|-0.031986012|0.880943609|0|0.8439327120000001|-0.076777688|0.01588025|-50.12643041|10.36785909|82.07537640000001|0.156067288|-0.037411484|-41.12547305|0.0|0.8061287690000001|-32.72642202|72.5855533|-24.42511853|60.4942895|0.452966315|2860.640481|2456.062146|-15.946612|6403.739746|0.014695647|-399.7292126|1484.664552|652.8825454|9.594458155|0.0|1.0|0.14|-7.22|4.47|3.27|81.65|2.0|0.0|5.0|-5.93|30.0|-5.75|0.0|3.11|1.19e-06|0.0005139999999999|4.49|6.03e-08|2.61e-05|5.0582|4.45|3.5286|695.96|1168.62|541.39|0.32037|-2035.141497|0.03433522|4.7893|0.01|7.9914
12bf_a36|1|0|0|3.31325137|0.0|7.412764017000001|2|1.297043948|0.0|-0.024689509|-0.00832865|5.351858133|-0.119979424|2|0.044197531|0.140577067|0.0|-0.006877664|-0.096665166|10.96022305|-0.0206090089999999|1|1|-0.004358975|-0.098027247|-0.433281391|0.653741315|-0.0480253509999999|0.892249657|0|0.6791406640000001|-0.090461753|0.0217611939999999|-58.26326838|14.01562806|87.14111344|0.320859336|-0.037486972|-45.73631152|0.0|0.7054709690000001|-37.52534442|86.28460578|-24.14405495|72.27889645|0.474826911|2902.591295|2522.341812|-15.55034592|6271.550446|0.02371294|-264.6734075|1711.2011699999998|593.6088758|15.27267945|0.0|2.0|0.14|-7.12|3.55|3.0|69.2|1.0|0.0|5.0|-3.99|31.0|-6.8|1.0|2.44|0.000102|0.0424|2.88|7.599999999999999e-08|3.17e-05|5.2319|3.66|3874.0|670.85|1120.94|517.66|0.40663|-1431.187555|0.03299488|7.5932|6.0|8.2218
19e_a38|1|0|0|3.376977671|0.0|7.412764017000001|2|1.297043576|0.0|-0.082311936|-0.007550899|5.351858133|-0.10490608|2|0.04508642|0.021678225|0.0|-0.001197042|-0.104569193|10.94917392|-0.038386106|1|1|0.000347207|-0.091460175|-0.436305701|0.723755855|0.04818471|0.89459881|0|0.776562593|-0.083623427|0.02118651|-56.34606212|14.27562164|118.734325|0.223437407|-0.03783113|-46.37503972|16.39385667|0.749190974|-37.96637911|82.37885703|-25.49088538|70.62168376|0.4655978389999999|2920.436229|3426.997928|-17.17594064|6531.762734|0.020114756|-335.8133169|1837.325672|696.3887025|13.55346651|1.0|3.0|0.12|-7.28|4.03|3.09|81.23|2.0|0.0|6.0|-4.94|32.0|-6.39|0.0|3.3|1.15e-05|0.0049|3.55|5.27e-08|2.25e-05|5.2322|4.08|3.8587|685.34|1183.12|532.67|0.41961|-1409.315831|0.03483011|8.0952|0.01|8.0083
21_a47|0|1|1|0.0|0.0|6.86171134|0|1.408713027|1.2247108|0.072733799|-0.010650348|4.727387819|-0.13650463|2|0.037801932|-0.034419528|1.028199909|-0.006808306|-0.004063946|10.95058272|0.057225853|1|1|-0.004332497|-0.1049885469999999|-0.5406500129999999|0.612295986|-0.080213904|0.8856299320000001|1|0.70582155|-0.082614966|0.022739546|-46.63227351|12.83540744|34.75044485|0.29417845|-0.033866638|-30.34731959|47.95893876|0.6448452960000001|-26.32173133|70.10126935|-19.11612865|59.46768095|0.463113582|2691.697803|1402.202743|-10.79015808|6103.311635|0.028943339|-163.5167523|1334.003357|482.9384172|16.33715751|1.0|2.0|0.1|-7.7|2.94|4.93|84.73|1.0|0.0|6.0|-4.44|29.0|-6.58|0.0|3.43|3.6e-05|0.0142|3.0|1.98e-08|7.8e-06|3917.0|4.43|3917.0|583.37|1014.33|441.93|0.68296|-1374.858663|0.03299607|4.9172|5.0|8.3
8j_a46|0|0|0|0.0|0.214753401|7.727094485|1|1.160371125|2.1279894180000003|-0.13040237|-0.0017688329999999|5.533389489|-0.008523199|2|0.043903904|-0.129276363|0.0|0.011852046|-0.174853546|10.96391738|-0.053618988|1|1|0.0108603019999999|-0.084266433|-0.229679821|0.645146311|-0.223292257|0.837678812|0|0.934648421|-0.054707287|0.008672342|-29.38737046|4.658562801|7.723448142|0.065351579|-0.02566383|-19.90219786|64.83187221|0.822112519|-15.7861518|41.80044861|-13.78596018|34.04593326|0.427798746|2121.846387|1888.679875|-7.405468973|4759.107832|0.008843828|-346.061389|721.0646647000001|453.1959065|4.750680627|1.0|0.0|0.32|-7.26|4.71|4.55|43.6|1.0|1.0|2.0|-4.59|24.0|-5.55|1.0|3.82|2.59e-05|0.00878|3.97|5.46e-08|1.85e-05|4.9636|3.78|4.4107|576.48|978.4|493.89|0.50703|-1414.349865|0.02408052|6.4463|1228.0|5.9108
5a_a49|0|0|0|0.0|0.0|7.853604813|2|1.343848751|2.111324504|0.079751437|-0.009147269|5.777652323|0.007039248|2|0.034466231|-0.072902329|1.878067786|0.007647515|-0.046327135|10.92976459|0.076610236|1|1|0.008623164|-0.158356406|-0.51958118|0.66494289|0.001251171|0.855876084|1|0.800090055|-0.072109357|0.028578361|-42.1802818|16.71687776|124.92862240000002|0.199909945|-0.027311576|-26.93578408|54.35929907|0.6069287529999999|-24.67330519|61.89135559|-15.97587337|58.89715956|0.490453006|2797.737637|1887.422375|-9.345067946|6294.404170000001|0.0270848489999999|-125.09569170000002|1289.801795|592.5885712|15.84324998|1.0|0.0|0.22|-6.92|3.3|3.68|73.14|1.0|0.0|3.0|-3.84|30.0|-6.84|1.0|2.93|0.000146|0.0578|2.65|1.1900000000000001e-07|4.72e-05|5.2443|4.14|3.9219|625.06|1082.25|443.78|0.31953|-1311.743648|0.03478454|7.0102|43.0|7.3665
6_a1|0|0|0|0.0|0.0|7.535296702|1|1.3488280769999998|2.325221088|-0.092471477|-0.005477033|5.4161004020000005|0.021203156|1|0.039635417|-0.114683042|0.0|0.005054086|-0.00983397|10.95180041|-0.0538497079999999|1|1|0.006851583|-0.230322048|-0.353456514|0.781885145|0.13761072|0.8524898329999999|0|0.8782596159999999|-0.057199415|0.021009352|-27.63847818|10.15161645|64.63457366|0.121740384|-0.0238222729999999|-18.076387|95.13138767|0.576759436|-13.35477777|49.61122373|-11.51080589|37.79009463|0.4218263379999999|1956.144556|1383.161829|-5.56196523|4061.042516|0.025250885|-74.17956941|778.3512535|359.9965854|12.20110458|1.0|0.0|0.22|-6.02|3.61|3.57|39.94|0.0|0.0|3.0|-3.12|22.0|-6.21|1.0|2.82|0.0007599999999999|221.0|2.63|9.51e-07|0.000277|4.0635|2.81|4.0635|527.41|875.29|405.23|0.69818|-935.330989|0.027384499|8.0033|5.1|5.2924
19i_a38|1|0|0|3.169368622|0.0|7.412764017000001|2|1.297043925|0.0|-0.125335237|-0.008447598|5.351858133|-0.115864198|2|0.043197531|0.08414367|0.0|-0.006877664|-0.074033381|10.96052467|-0.053762162|1|1|-0.004358975|-0.098027247|-0.430016467|0.653741315|-0.040954326|0.892249657|0|0.747158407|-0.08347616|0.022576308|-51.15830416|13.83587388|137.7658863|0.252841593|-0.040770109|-42.53502816|10.71501217|0.7419238420000001|-31.35232957|82.98550237|-24.98593175|64.99417804|0.444551315|2896.470706|2335.0953870000003|-15.31261014|6744.7785650000005|0.022159015|-296.5257022|1683.860952|593.6088758|13.5801364|1.0|3.0|0.14|-7.12|3.55|3.11|81.23|1.0|0.0|5.0|-4.25|31.0|-6.81|0.0|3.04|5.68e-05|0.0238|2.88|7.599999999999999e-08|3.19e-05|5.7041|3.66|3.6129|641.31|1101.03|457.26|0.4342|-1431.181148|0.03110827|8.6365|13.0|7.9031
6_a4|0|0|0|0.0|0.0|7.535296702|1|1.271761557|2.170234316|-0.19701009|-0.001221193|5.4161004020000005|0.010164572|2|0.035283951|0.042096749|2.186806868|0.011457667|0.0032928379999999|10.92992785|-0.208689928|1|1|0.01098094|-0.046166422|-0.1738111839999999|0.664591856|-0.169533683|0.810030118|1|0.945545838|-0.052396457|0.0077624059999999|-29.18838891|4.324187697|14.1731579|0.054454162|-0.024618083|-20.7966895|45.93422613|0.814470803|-16.25991695|42.27020924|-13.71394596|33.5125766|0.423084148|2342.371538|1968.0178670000005|-7.639600225|5256.215815|0.008863911|-350.36323230000005|825.0551765|578.2065561000001|4.937800786|1.0|0.0|0.26|-7.99|5.1|5.23|43.6|2.0|0.0|3.0|-4.91|27.0|-5.42|1.0|4.23|1.24e-05|0.0043799999999999|4.28|1.04e-08|3.67e-06|4.8714|4.11|4.0354|613.83|1057.7|453.87|0.60542|-1108.338577|0.02244097|3.2192|1.3|5.8861
13l_a6|1|0|0|3.433158672|0.0|7.412764017000001|1|1.4242139390000002|0.0|0.03093879|-0.0143011819999999|5.351858133|-0.132667824|1|0.0408037829999999|0.090187973|0.0|-0.009326562|-0.037558466|10.95129637|-0.086595185|1|1|-0.006280295|-0.045794891|-0.564860904|0.8694295409999999|-0.058931734|0.84018367|0|0.643098986|-0.118071236|0.030012523|-82.24617981|20.90615311|182.8275745|0.3569010139999999|-0.0451862259999999|-61.3913735|118.3485042|0.793671137|-57.29112645|100.8610837|-31.47586631|103.1523329|0.4257335779999999|2967.923804|3127.831037|-21.92549054|6462.086665999999|0.018273048|-409.1314702|2220.880201|741.5222707|12.72865798|1.0|3.0|0.16|-8.89|4.55|3.8|115.15|1.0|0.0|7.0|-5.49|33.0|-6.59|0.0|3.07|3.26e-06|0.00144|3.39|1.29e-09|5.7e-07|3.6675|5.41|3.5499|735.52|1249.13|578.91|0.7002|-1465.560303|0.03092407|8.9893|385.0|6.4145
12am_a36|1|0|0|3.340519946|-4.723487246|7.412764017000001|2|1.240140551|0.0|0.088482802|-0.015884751|5.351858133|-0.297354748|2|0.044036281|0.122824831|0.0|-0.011700732|-0.050505733|10.9602097|-0.037654321|1|1|-0.007897954|-0.1187503719999999|-0.6080522279999999|0.647732719|-0.0147665219999999|0.885733922|0|0.814986544|-0.091472759|0.017590648|-63.19394154|12.15249658|128.69607109999998|0.185013456|-0.045928425|-56.3667958|1.038361162|0.788334835|-43.65752487|95.53118838|-31.72964526|75.34643812|0.484558903|3230.6292780000003|2603.072527|-21.92042059|7238.033439|0.020179019|-398.3921535|2173.44302|672.4630346|13.94067198|0.0|2.0|0.17|-7.14|3.31|4.04|78.43|2.0|0.0|7.0|-5.2|34.0|-6.4|0.0|2.65|6.26e-06|0.00291|3.86|7.24e-08|3.37e-05|5.2317|4.86|3.8606|714.21|1206.77|562.14|0.40752|-1644.952145|0.03550681|8.0872|0.06|7.2218
8_a1 (SB-202620)|1|0|0|3.296085365|0.0|6.86171134|0|1.4323973840000002|0.0|0.106916453|-0.013785521|4.727387819|-0.226277123|1|0.037578348|-0.0443137679999999|0.0|-0.012672753|-0.1402198369999999|10.94957568|0.037553634|1|1|-0.0106277489999999|-0.019835038|-0.612004804|0.674381582|-0.042789124|0.805476065|0|0.648967503|-0.117682533|0.015526845|-66.76765693|8.809217494|208.2071465|0.351032497|-0.041081545|-33.88588996|64.70432539|0.7742395870000001|-37.88089785|70.8721358|-23.30777912|75.57687443|0.4564697679999999|2431.842132|1736.664204|-13.22376193|5170.286136|0.019645498|-311.18185800000003|1234.267739|433.2550452|11.1459518|0.0|2.0|0.0|-8.02|4.86|5.06|78.87|2.0|0.0|4.0|-4.94|27.0|-5.94|0.0|3.7|1.14e-05|0.0041|3.6|9.53e-09|3.42e-06|3.4052|5.32|3.4052|586.27|977.87|460.4|0.7026600000000001|-1222.9606720000002|0.16177304|5.5005|0.4|6.3979
5_a4|0|0|0|0.0|0.0|7.535296702|1|1.343864516|2.166832955|-0.196773454|-0.001215982|5.4161004020000005|0.02257929|2|0.035994832|0.012532807|2.189593648|0.011630756|-0.050389825|10.92992834|-0.134215501|1|1|0.0111310589999999|-0.0471580309999999|-0.164263889|0.655087104|-0.165454845|0.820886786|1|0.943148502|-0.050732198|0.008047242|-27.26045038|4.324106888|13.96974087|0.056851498|-0.025201292|-19.68930579|46.53110402|0.807351587|-14.64813624|41.76764149|-13.54166762|31.58455727|0.413773331|2282.291204|1896.178084|-7.276482574|5059.243919|0.009538616|-330.3047347|771.5556899000001|518.5792364|5.125482045|1.0|0.0|0.23|-7.96|4.89|4.67|43.6|1.0|0.0|3.0|-4.57|26.0|-5.57|1.0|3.89|2.72e-05|0.00925|3.95|1.09e-08|3.71e-06|4.8582|3.71|4.0239|595.55|1013.0|421.24|0.60407|-1069.051141|0.02251645|3.1619|71.0|7.1487
19k_a38|1|0|0|3.218103741|0.0|7.412764017000001|2|1.297042875|0.0|0.0100827|-0.011877064|5.351858133|-0.17467835|2|0.0445691609999999|0.098947776|0.0|-0.011156837|0.016990252|10.95446448|-0.0184136539999999|1|1|-0.00835812|-0.060668296|-0.51857087|0.7581164340000001|0.04833864|0.908591797|0|0.658700057|-0.112748779|0.0232707939999999|-71.54314527|14.76615358|157.4834779|0.341299943|-0.044662847|-51.10918191|116.0039747|0.75964689|-45.3966925|94.38036132|-28.3401789|86.30929885|0.4769127179999999|3055.355167|2929.493496|-17.9828603|7091.215492|0.021802691|-329.5105352|2014.5803|686.8472757999999|13.8345897|0.0|4.0|0.13|-6.41|2.34|1.65|124.32|1.0|0.0|6.0|-3.87|33.0|-7.84|0.0|1.9|0.000134|0.0594|1.65|3.94e-07|0.000175|5.1869|4.13|3.5378|677.64|1172.22|502.43|0.38269|-1500.618667|0.04615409|12.5022|11.0|7.9666
14b_a23|0|1|1|0.0|0.0|7.423568444|0|1.197963628|3.2475997860000003|0.065240838|-0.006248709|5.351858133|-0.071396109|2|0.043538647|0.0519489729999999|0.716540473|0.007671236|-0.0644978|10.31321824|-0.047410593|2|2|0.0075222369999999|-0.073945564|-0.4557487779999999|0.616699629|-0.00399443|0.857184548|1|0.8462596590000001|-0.063267638|0.020454632|-41.01458464|13.26014776|40.76245006|0.153740341|-0.03508139|-34.64639496|84.36242964|0.774359705|-26.58857202|64.97993029|-22.74225338|54.274732400000005|0.450973737|2943.803333|2280.830615|-14.74314679|6622.129837|0.01779446|-355.71896410000005|1380.34805|599.5697147999999|11.53563485|1.0|1.0|0.05|-7.67|3.78|4.58|105.02|2.0|1.0|5.0|-5.58|31.0|-6.31|0.0|3.78|2.66e-06|0.00114|3.68|2.14e-08|9.18e-06|3706.0|3.72|3706.0|673.05|1142.37|525.66|0.58097|-1728.9300010000002|0.02188578|9.7544|4.0|8.3536
