molecula|SddssS|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
37_a18|0.0|0|0.0|0|2|2|1.251176176|0.0|-0.005351023|4.844187086|-0.018808538|-0.385273662|0.002300582|-0.034593342|10.94702064|-0.011713125|0|-0.0276034839999999|-0.1483628609999999|-0.44541772|0|0.7100921609999999|0.725028151|0.020848396|-0.020149364|0.761336899|0.699483099|0|0.831783747|-0.068500679|-0.074857954|0.009098426|-50.09028298|-54.7389628|6.653112344|0.168216253|-0.0286221589999999|-40.02719655|-36.62790634|65.15554136|-20.92960342|0.488368082|608.2316837999999|-1423.213033|1571.7484060000002|-15.30451633|0.2351233969999999|18.49074823|7035.839448000001|-1040.70711|0.0142451319999999|-387.3755475|1860.709332|1056.535856|0.0|1.0|1.0|4.31|0.3|-8.82|3.68|3.33|1.0|151.14|0.0|7.0|36.0|-6.14|480.6|0.0|-5.47|2.08e-06|0.000999|3.35e-06|0.0|1.51e-09|7.27e-07|-0.04925|3.2127|8.11|3.2127|-1532.997117|-1532.974371|794.5|385.91|385.91|0.69305|0.69305|499.0|2.2872|-0.18119|0.02274574|-1532.622404|3.0375|35.0|7.4559|7.4559
9_a15|0.0|0|0.0|0|0|0|1.419941378|0.0|-0.009923019|0.0|-0.042227775|-0.506073953|1.7800000000000002e-05|0.05688176|10.95880687|0.005692073|0|0.140072812|-0.203104439|-0.344978312|1|0.85357243|0.7059441040000001|0.088615068|0.010183805|0.742680335|0.8105478740000001|0|0.846156316|-0.073701648|-0.11668349|0.032464905|-41.10356167|-65.07462414|18.10574464|0.153843684|-0.028575549|-36.29225274|-22.92354152|85.14415759|-15.93664265|0.4517825079999999|471.903131|-780.8954896|1689.926339|-8.88789863|0.48742253|10.00547485|5375.400861|-435.5070329|0.03598612|-14.02896218|1523.4682269999998|532.0914339999999|1.0|1.0|1.0|3.16|0.19|-7.57|3.9|1.96|0.0|104.74|0.0|7.0|27.0|-5.52|366.41|1.0|-4.81|5.63e-06|0.00206|1.53e-05|0.0|2.69e-08|9.86e-06|-0.0258899999999999|4.3447|3.36|3.7487|-1223.705126|-1223.687392|588.55|330.74|285.37|0.6512399999999999|0.70552|0.0115|1.4625|-0.1824|0.01773342|-1223.522216|2188.0|107.0|6.9706|6.9706
16_a47|0.0|1|0.0|0|0|0|1.417579067|0.0|-0.0056780519999999|4.59511985|-0.1246612469999999|-0.23280014|-0.005688938|0.001426202|10.95023129|0.0506476009999999|1|-0.236994128|-0.02006804|-0.3379683979999999|2|0.591929006|0.812131575|-0.113476605|0.081171071|0.87782381|0.57616624|1|0.691860453|-0.093207587|-0.092995116|0.0186711289999999|-48.30620628|-48.19609034|9.676588112|0.308139547|-0.034261359|-24.97833451|-25.03540372|60.36423869|-17.75645434|0.473257697|358.566882|-674.7452647999999|833.8646097|-9.202544293|0.302070079|13.01476838|4952.972679|-349.69668310000003|0.0234786339999999|-205.1602001|966.7808252999998|357.35851410000004|1.0|1.0|1.0|2.93|0.06|-8.17|4.47|2.72|0.0|91.55|0.0|3.0|25.0|-6.04|337.33|1.0|-4.42|4.56e-05|0.0154|3.84e-05|0.0|6.8099999999999994e-09|2.3e-06|-0.05717|4.4393|2.95|4.0806|-1167.046301|-1167.0124560000002|534.69|303.84|279.29|0.59209|0.6743899999999999|0.0909|2.3795|-0.22568|0.03384512|-1166.951551|3.8601|1.0|9.0|9.0
3_a47|0.0|0|0.0|0|0|0|1.304465159|0.0|-0.008740449|0.0|-0.130414103|-0.367098851|-0.008828261|0.103847816|10.93671092|0.013073797|0|-0.021029826|-0.015388793|-0.457330633|2|0.900251233|0.720319618|0.104873188|0.022804181|0.780628097|0.815682427|1|0.854727481|-0.083129079|-0.0948001|0.008609292|-43.59237092|-49.71258151|4.514659074|0.145272519|-0.036461577|-26.06896797|-22.85956767|58.22383723|-19.12022366|0.403777634|448.2137648|-745.6887227000001|1280.146703|-10.02652614|0.2150305089999999|10.84023999|5022.029588|-391.0345195|0.016230658|-298.8724505|949.95886|418.022895|1.0|1.0|1.0|2.59|0.0|-8.42|4.32|2.88|0.0|101.55|0.0|3.0|25.0|-5.16|347.8|1.0|-5.35|2.86e-06|0.000995|4.49e-06|0.0|3.829999999999999e-09|1.33e-06|-0.05717|5.6998|4.12|3.7284|-1470.137664|-1470.101469|556.65|332.54|217.52|0.52977|0.69138|0.2182|4.0226|-0.2119|0.03619487|-1470.0192869999998|5.3274|316.0|6.5|6.5
9_a4|0.0|0|0.0|1|1|1|1.300485838|2.130445484|-0.00136737|5.4161004020000005|0.016639331|-0.064266379|0.010709527|-0.091393763|10.92992723|-0.0454860859999999|1|-0.030976753|-0.0475186259999999|-0.172904817|2|0.625717993|0.801082857|-0.151437311|-0.072130166|0.861113198|0.58669472|1|0.937102792|-0.052625548|-0.069566741|0.009037784|-28.63837014|-37.85762102|4.918284148|0.062897208|-0.025885299|-20.60179129|-15.58475436|43.71760622|-14.08655666|0.43745176|509.9632679|-605.7219363|2012.840082|-7.665782805|0.207109566|10.21134541|5387.230364999999|-329.6286606|0.010768243|-318.7769026|763.9415367|489.7528555|1.0|0.0|1.0|3.18|0.19|-8.16|5.14|3.15|0.0|105.09|0.0|2.0|26.0|-5.56|360.84|1.0|-5.15|1.73e-05|0.0062299999999999|7.06e-06|0.0|6.9e-09|2.49e-06|-0.05256|4.7284|3.87|4.0137|-1489.554198|-1489.533032|586.24|308.91|262.21|0.5182100000000001|0.6464|0.0584|4.4343|-0.22204|0.02116575|-1489.41872|5.4739|48.0|7.3188|7.3188
12v_a30|0.0|0|0.0|0|2|2|0.604983445|0.0|-0.006974714|5.351858133|-0.029548782|-0.369659818|0.002431329|0.020607357|10.31162873|-0.04950715|1|-0.173424818|-0.0493878409999999|-0.471153275|1|0.8149999040000001|0.83236194|-0.029852321|-0.080971844|0.889479916|0.711738503|0|0.8501212029999999|-0.077138874|-0.0971402169999999|0.015823709|-52.18846092|-65.72041011|10.70556236|0.1498787969999999|-0.037666615|-44.46327619|-35.30820865|75.73440678|-25.48342433|0.478535287|575.1512171|-1248.687792|2483.120571|-17.2408622|0.193930933|15.56114504|6952.110426|-844.8022477|0.014801518|-414.1432908000001|1549.107692|685.6665849999999|1.0|0.0|0.0|4.62|0.14|-7.8|5.11|3.79|0.0|137.3|0.0|5.0|31.0|-5.52|467.37|1.0|-6.04|2.64e-07|0.000123|9.14e-07|0.0|1.58e-08|7.39e-06|-0.0563|3.5507|5.08|3.5507|-2494.963646|-2494.92869|715.58|349.18|349.18|0.68405|0.68405|0.1601|2.9171|-0.20681|0.03495552|-2494.802821|4105.0|22.0|7.6596|7.6596
10_a27|0.0|0|0.0|2|0|0|1.400533489|3.383341915|-0.006285923|4.59511985|-0.044164147|-0.282866526|0.00991794|0.034318674|10.93783185|-0.000903965|1|-0.309727442|-0.2030237389999999|-0.487435299|2|0.639413469|0.804375252|0.129719095|-0.001453596|0.862408925|0.614205449|1|0.8526621529999999|-0.061299064|-0.087022238|0.017676458|-32.5969511|-46.27574168|9.399794974|0.147337847|-0.031079371|-24.60801194|-17.33405307|55.05868025|-16.5270506|0.477162521|453.4194305|-694.1361252|943.2258247|-8.788575695|0.254639309|12.9316403|4894.8090170000005|-369.1201792|0.01651645|-260.9504933|931.2754667000002|424.8821143|1.0|0.0|1.0|3.01|0.16|-6.24|2.81|2.25|0.0|97.39|0.0|3.0|25.0|-6.51|331.37|1.0|-3.92|0.000266|0.0882|0.0001189999999999|0.0|5.81e-07|0.000192|-0.0498|4.1495|4.66|4.1495|-1083.137871|-1083.1151289999998|573.31|298.79|298.79|0.63894|0.63894|0.4452|4.6684|-0.21785|0.0227416|-1083.008551|6.9456|69.0|7.1612|7.1612
6_a47|0.0|0|0.0|0|0|0|1.304328257|0.0|-0.008723045|0.0|-0.1738997619999999|-0.392537045|-0.010708889|0.051455447|10.93671042|0.0402365489999999|0|-0.302730533|-0.020576777|-0.459934519|2|0.701994505|0.786041178|-0.149904224|0.062425042|0.84654143|0.672308592|1|0.8419184120000001|-0.080118846|-0.096689626|0.009820713|-43.43026699|-52.41283988|5.323543706000001|0.158081588|-0.036834143|-28.411587800000003|-23.54237714|60.76103606|-19.96679614|0.4059072379999999|456.3812788|-838.6054381|1577.98246|-10.82346202|0.205609194|10.90843226|5766.962611999999|-454.5854048000001|0.0154005|-319.1626428|1055.658539|469.7495559|1.0|1.0|1.0|2.82|0.05|-9.06|5.24|3.48|0.0|106.47|0.0|3.0|27.0|-5.02|379.81|1.0|-5.79|9.53e-07|0.000362|1.63e-06|0.0|8.71e-10|3.310000000000001e-07|-0.05354|5.5188|4.69|3.7196|-1608.684886|-1608.652005|576.56|333.32|224.66|0.30468|0.69305|0.2119|3.2606|-0.20794|0.03288085|-1608.554019|4.2153|13.0|7.9|7.9
12p_a36|0.0|0|0.0|0|2|2|1.297044387|0.0|-0.008017607|5.351858133|-0.084341564|-0.432950771|-0.002526241|-0.084846674|10.96052769|-0.0433009009999999|1|0.2461794139999999|-0.101303149|-0.440709431|1|0.724208473|0.828371596|-0.035871448|-0.074349074|0.8839272779999999|0.698414933|0|0.748438833|-0.082569108|-0.108380023|0.020202133|-51.98017377|-68.22905781|12.71795723|0.251561167|-0.039016808|-42.95260501|-32.72335782|80.40682298|-24.56246081|0.475504684|471.1687161|-1228.123041|2308.958924|-15.4629378|0.240873847|14.3885803|5922.775161|-773.1468902|0.019344052|-326.2581567|1617.811526|595.8790650000001|1.0|0.0|0.0|4.72|0.14|-6.86|3.13|2.4|0.0|123.71|0.0|5.0|30.0|-6.76|399.42|0.0|-4.16|0.000129|0.0515|6.96e-05|0.0|1.4e-07|5.58e-05|-0.0552299999999999|5.3413|3.41|3.8372|-1332.182868|-1332.148901|660.71|323.11|232.12|0.30159|0.66559|0.1841|4.8805|-0.21131|0.03396697|-1332.006106|6.7199|9.0|8.0458|8.0458
14e_a23|0.0|1|-4.45581912|2|0|0|1.197957573|3.052208981|-0.008865361|5.351858133|-0.272389934|-0.4787294729999999|0.001027627|0.021081733|10.3132176|-0.009871698|2|0.072830644|-0.07256543|-0.5232404310000001|2|0.560094237|0.791790895|0.133270225|-0.014216155|0.8510270329999999|0.5415996160000001|1|0.925392058|-0.073376247|-0.089453046|0.018022127|-51.07141556|-62.2612068|12.5437807|0.074607942|-0.03935934|-43.33511299|-35.54678231|74.75779594|-27.39493099|0.49543439|644.0923882999999|-1369.74655|2428.874279|-19.06744972|0.203474128|15.89643482|7663.17288|-953.3724859|0.017954325|-412.7765217|1719.6510460000002|658.8108151|0.0|0.0|1.0|3.54|0.09|-8.23|4.42|3.82|1.0|125.29|0.0|6.0|34.0|-6.06|479.48|0.0|-5.79|4.1200000000000004e-07|0.000198|1.61e-06|0.0|5.94e-09|2.85e-06|-0.08122|3.7033|4.2|3.7033|-1966.96594|-1966.943431|706.39|334.8|334.8|0.63922|0.63922|0.3178|3.7696|-0.2342199999999999|0.02250947|-1966.785007|5.5469|3.0|8.5214|8.5214
