molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|ATSC1c|AATSC1are|MATS8i|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PNSA3|PNSA5|RPSA|TPSA_x|WNSA5|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12_a3|0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.605020506|0.0|0.167987916|4.727387819|2|-0.336455156|-0.006049098|-0.045382017|1|-0.0045709459999999|0.017902469|0.032450556|-0.604704476|-0.125395523|0.784451598|0.841871246|1|-0.092838926|-0.096133903|-44.07517037|-45.63945658|0.170600292|80.99228663|-21.667278|76.23910943|-1.345874639|52.16354015|-18.79271742|49.333524|0.463780604|2056.502939|393.75653|-638.9523922000001|1064.221958|0.169581355|5.6343192|10.50748861|80.50854774|-303.3418921|22.63041363|-313.7317211|330.4083896|6.524083564|1.0|1.0|1.0|1.0|1.0|1.0|3.2|0.0|-6.89|4.34|1.6|1.0|-5.68|22.0|304.37|0.0|3.23|2.07e-06|1.44e-05|4.03|0.0|0.0|1.3e-07|-0.06361|2.94|3263.0|-1272.152002|-1272.125792|515.23|847.25|379.97|0.5056|379.97|361.95|0.69784|0.69784|0.5056|-0.13153|2.3762|-0.19514|0.02620998|-1272.058487|3548.0|5.45|5.45
8_a10|0|0|0|0.0|0.0|1|7.535296702|1|1|1.3430438530000002|2.071128354|-0.075368755|5.4161004020000005|2|-0.296880569|0.0087730469999999|-0.15615298|1|0.009056935|-0.082893697|-0.132343104|-0.368590322|-0.167376069|0.864927472|0.616731847|1|-0.059655303|-0.086233061|-32.63117642|-47.16908772|0.125156018|68.45976606|-25.80127401|9.35593124|-1.465962037|56.7864899|-16.36478554|41.25082928|0.431797417|2612.274447|478.5356341|-801.8744912000001|1899.542278|0.277350551|6.112185271|10.75705296|151.7094758|-438.6216583|22.64553798|-243.5764486|583.7217118|9.617402178|0.0|0.0|1.0|1.0|1.0|0.0|3.42|0.22|-7.6|4.46|2.46|1.0|-4.52|29.0|384.43|0.0|3.55|3.05e-05|2.4100000000000003e-05|3.37|0.0|0.0|2.49e-08|-0.0623299999999999|4.58|3684.0|-1257.84172|-1257.819281|594.63|1047.58|336.55|0.1596|264.0|416.69|0.41583|0.68815|0.0916|-0.15556|1.2052|-0.21789|0.02243902|-1257.648047|526.0|6279.0|6279.0
6f_a40|0|0|0|0.0|0.0|1|8.421342866|1|2|0.604893424|1.750582483|0.134099184|6.401917197|0|-0.8287570679999999|-0.009302776|0.075227997|2|-0.008368734|0.048543494|0.092206207|-0.628934821|-0.268802228|0.896373207|0.742681934|1|-0.134203859|-0.130571562|-86.21963207|-83.88605319|0.344213487|221.1408856|-53.89282175|40.01876255|-2.350288117|92.77827871|-33.55442128|96.49789556|0.410805404|3021.330686|421.31181889999993|-1509.948957|3072.581297|0.137191276|6.993991456|11.87042702|88.13890599|-970.0707913999998|38.88975659|-466.1748926|593.503189|8.892225517|1.0|0.0|1.0|0.0|1.0|2.0|4.05|0.21|-3.67|3.66|1.1|1.0|-6.95|30.0|457.55|1.0|2.61|1.13e-07|2.3e-05|3.09|1.0|0.0|0.0002109999999999|-0.08982|6.96|2.57|-2426.972609|-2426.924155|668.95|1139.55|482.43|0.2362|346.89|507.64|0.66642|0.69911|0.0158|-0.1131799999999999|6.2384|-203.0|0.04845403|-2426.787111|42.0|7.3768|7.3768
21b_a23|0|1|1|0.0|0.0|2|7.525639975|0|0|1.197963051|3.351726269|0.094654108|5.4161004020000005|2|-0.326506055|0.01055698|-0.103470358|2|0.009872313|-0.069382957|-0.130528352|-0.481470603|-0.078097375|0.8339434929999999|0.668547062|1|-0.0596425779999999|-0.083105261|-41.81114831|-58.25915868|0.0692712809999999|48.56114386|-40.84133198|86.65837165|-1.745210489|67.68046598|-23.98906534|51.9633947|0.458461834|3074.083057|652.4673795|-1223.442332|2531.041828|0.187665282|8.773746105|16.20152864|131.5587155|-857.6679716|29.53101081|-437.9110924|712.6737861|9.421307298|0.0|0.0|1.0|1.0|1.0|1.0|3.59|0.08|-7.84|3.92|2.6|2.0|-6.1|33.0|450.52|0.0|3.57|8.02e-07|6.06e-06|3.7|0.0|0.0|1.43e-08|-0.08401|3.57|3.6237|-1761.498874|-1761.4722969999998|735.65|1247.38|342.15|0.2607|309.79|611.6|0.57848|0.70139|0.2333|-0.15033|9.5312|-0.23434|0.02657688|-1761.294175|85.0|7.0691|7.0691
13a_a6|1|0|0|3.417162147|0.0|0|7.412764017000001|1|1|1.430639975|0.0|-0.042110772|5.351858133|1|-0.602500119|-0.00460563|0.0015242189999999|1|-0.00194781|-0.10896749|-0.180339002|-0.488098052|-0.091892803|0.8299950709999999|0.8013954109999999|0|-0.094081761|-0.113446379|-61.52313164|-74.18628740000001|0.22549456|147.4582473|-48.51283287|554.4922449|-2.042034827|87.37044493|-26.70706346|82.36189896|0.467070451|2820.31296|506.474367|-1335.353173|2626.396685|0.240087608|8.038453162|15.08351934|157.0011174|-873.2309916000002|35.14492428|-339.9303794|627.4287311|13.18415753|1.0|1.0|1.0|1.0|1.0|2.0|3.53|0.12|-9.01|4.98|1.29|2.0|-5.51|31.0|409.44|0.0|3.52|3.11e-06|1.02e-05|3.8|0.0|0.0|9.77e-10|-0.05018|4.04|3651.0|-1350.085889|-1350.057702|695.29|1166.79|339.59|0.5352|206.87|571.9|0.4816|0.70072|0.2697|-0.14969|7.7145|-0.19987|0.02818646|-1349.895534|46.0|7.3372|7.3372
9g_a24|1|0|0|2.931798469|0.0|1|7.273092596000001|0|0|1.427608366|1.7647373919999998|-0.318471716|5.283203728999999|2|-0.0425444|0.0144065739999999|0.070915465|2|0.013119312|-0.0273623029999999|-0.049325609|-0.079421802|-0.045107345|0.859302479|0.657503038|0|-0.064835725|-0.065668047|-32.080056199999994|-32.49188065|0.132863247|65.73938109|-16.07665151|0.0|-0.788016565|49.25777584|-10.53790724|41.36311977|0.427531635|2123.257348|429.0504306|-389.9025677|1196.910121|0.518073552|6.124370267000001|10.69818114|256.3375151|-192.9198181|21.8662148|17.88521849|341.3207334|16.76589519|0.0|1.0|0.0|1.0|1.0|1.0|2.8|0.06|-6.43|2.91|0.64|0.0|-2.49|23.0|302.33|0.0|1.93|0.00323|0.0008179999999999|1.37|0.0|0.0|3.720000000000001e-07|-0.03585|0.75|4.2802|-984.5891383|-984.5565078|524.03|879.99|289.67|0.2444|236.07|400.47|0.4227399999999999|0.64993|0.1023|-0.17806|2.9691|-0.21391|0.032630457|-984.497752|68.0|7.1675|7.1675
12z_a36|1|0|0|3.435113772|0.0|0|7.412764017000001|2|2|1.297044126|0.0|-0.065211069|5.351858133|2|-0.421948174|-0.000143196|-0.010881947|1|0.001194592|-0.098598933|-0.175397741|-0.433580807|-0.0533649729999999|0.886776351|0.8212311840000001|0|-0.081592361|-0.102674964|-54.11489962|-68.09761735|0.165209595|109.572766|-45.16471514|15.59091678|-1.848149347|83.07227002|-24.03445318|69.61568586|0.4577848329999999|2841.692299|553.6621150000001|-1225.757112|2451.657399|0.287317638|8.016303367999999|14.78435842|190.5590792|-812.9648725|33.72393432|-282.1167226|642.3830552000001|14.97465267|1.0|0.0|0.0|1.0|0.0|2.0|4.76|0.13|-6.66|2.75|1.38|1.0|-3.99|31.0|406.44|0.0|1.66|0.000101|0.000113|2.4|0.0|0.0|2.21e-07|-0.05642|2.98|3.8969|-1325.195958|-1325.157504|686.33|1153.7|318.16|0.4423|318.16|539.36|0.69397|0.69397|0.4423|-0.1575|4814.0|-0.2139199999999999|0.03845474|-1325.010808|5.0|8301.0|8301.0
16b_a23|0|1|1|0.0|0.0|2|7.423568444|1|1|1.197960988|3.418247774|0.031073244|5.351858133|3|-0.3237716519999999|0.0116350769999999|-0.068280331|2|0.011266252|-0.123524943|-0.224300431|-0.401493392|-0.09063701|0.830577373|0.711576167|1|-0.050637391|-0.07920267|-37.52431601|-58.69232154|0.071420236|52.92522904|-43.49333918|100.0262487|-1.821661419|72.31582904|-23.2745413|51.31875369|0.4870072789999999|3370.826124|688.1144512|-1349.923395|2256.698672|0.261023|9.472884487|18.46592377|193.4284005|-1000.346801|31.49562341|-354.1828792|896.9989312000001|13.6235075|1.0|0.0|1.0|1.0|0.0|1.0|4.19|0.07|-7.33|3.02|3.14|2.0|-6.19|36.0|489.57|0.0|2.9|6.41e-07|2.16e-06|4.21|0.0|0.0|4.6200000000000003e-08|-0.07352|4.24|1.6041|-1877.655481|-1877.615701|772.84|1340.35|772.92|0.3456|772.92|607.92|0.95419|0.95419|0.3456|-0.13741|9.2317|-0.21093|0.03978022|-1877.335869|96.0|7.0191|7.0191
3a_a12|0|0|0|0.0|0.0|0|0.0|1|1|1.28383802|0.0|0.13714555|0.0|2|-0.322200517|-0.0025830939999999|-0.062973953|0|-0.001011111|-0.072889493|-0.1213636769999999|-0.5274624179999999|-0.032466697|0.759068438|0.8847197109999999|0|-0.07121814|-0.090803706|-34.84701355|-44.430225|0.128014506|62.63745781|-21.73969523|0.0|-1.362055589|52.21461165|-17.08854808|39.46272532|0.462077145|2045.857684|426.6622302|-666.453375|1050.730179|0.2189499039999999|5.924949067000001|11.01449587|107.1321197|-326.0954285|21.87893986|-275.0354486|381.0058252|7.784386645|1.0|1.0|1.0|0.0|1.0|1.0|3.84|0.05|-7.5|3.43|3.09|0.0|-3.6|23.0|298.34|0.0|2.98|0.00025|8.8e-05|3.15|0.0|0.0|3.13e-08|-0.06829|3.33|3.7304|-951.3711872|-951.3480023|528.84|875.71|332.36|0.3201|292.86|383.08|-0.34688|0.66895|128.0|-0.15328|1.3824|-0.22157|0.023184956|-951.264072|194.0|6.7122|6.7122
4l_a46|0|0|0|0.0|0.171853072|1|7.825245291|1|1|1.134637095|2.155247543|-0.058870177|5.587248657999999|1|-0.255755434|0.0066560469999999|-0.060895366|1|0.006162668|0.0071939419999999|0.010799648|-0.3888343979999999|-0.229089688|0.762625193|0.7936534740000001|0|-0.09094885|-0.085194597|-51.45056667|-48.19533497|0.107841373|61.00681586|-27.26452605|0.0|-1.533502748|51.66342604|-17.01011822|55.17245545|0.409308207|2165.620022|504.7020036|-867.5160294|2087.583804|0.116549199|5.80829255|9.833034117|65.93290984|-490.7614689|19.25417715|-433.8429998|579.2365607|3.468091068|1.0|1.0|1.0|1.0|1.0|1.0|3.92|0.36|-7.0|4.64|3.06|1.0|-5.28|26.0|347.45|0.0|4.08|5.25e-06|7.78e-06|4.49|0.0|0.0|9.980000000000001e-08|-0.01784|4.99|4.4542|-1092.745692|-1092.71063|612.39|1057.06|278.36|0.2504|229.55|526.77|0.3756|0.68584|0.1523|-0.18567|2.6588|-0.20351|0.03506136|-1092.53932|98.0|7.0088|7.0088
