molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|AATSC1c|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA5|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GRAVp|TASA|PNSA2|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
19e_a38|0.0|0|0|3.376977671|0.0|0|2|1.297043576|0.0|-0.007550899|0.021678225|-0.001197042|-0.104569193|10.94917392|0.000347207|0.045449529|-0.191751024|-0.436305701|1|0.723755855|0.839953955|0.700181525|0.776562593|-0.083623427|-0.10214405|0.552393659|-68.82539051|118.734325|150.553721|-0.03783113|9.619015829|16.39385667|-2.042881001|-37.96637911|70.62168376|2920.436229|523.2534216|-1376.50781|12.34352977|6531.762734|168.99691289999998|34.02454948|0.020114756|-335.8133169|13.55346651|1.0|4.96|17.0|-7.28|4.03|3.09|81.23|2.75|2.0|1.0|6.0|-4.94|32.0|-6.39|0.0|1.0|-4.72|0.0049|1.89e-05|3.55|0.0|0.0|-0.05139|5.2322|4.08|3.8587|-1409.547647|685.34|0.3948|236.96|532.67|0.58509|-1409.315831|0.3738|-0.15584|5.8426|-0.20723|0.03483011|-1409.37733|8.0952|0.01|8.0083|8.0083
4j_a46|0.0|0|0|0.0|0.19521727|1|1|1.134637093|2.194310043|-0.002284836|-0.0529855709999999|0.011968098|-0.1051618459999999|10.94638774|0.011684396|-0.078783783|-0.087688953|-0.226712003|1|0.72796254|0.7298040140000001|0.728293097|0.949893337|-0.05924408|-0.074417476|0.295221643|-43.95227197|70.56141095|29.59387777|-0.024805825|5.205103062|71.98911503|-1.339514565|-20.66606288|43.80358011|2260.870095|561.0237355|-791.1408955|10.49957018|5077.124695|131.7477027|18.85718615|0.0106831269999999|-327.122208|6.30964324|0.0|4.0|17.0|-7.69|5.18|5.33|39.94|3.28|2.0|1.0|4.0|-5.38|27.0|-5.09|1.0|1.0|-5.31|0.0015|4.86e-06|4.81|0.0|0.0|-0.01684|5.3949|4.93|4.4093|-1132.018764|646.67|0.2783|229.82|572.31|0.69413|-1131.761156|0.1418|-0.18387|2.9043|-0.20071|0.02491327|-1131.817578|3.8105|805.0|6.0942|6.0942
3k_a32|0.0|1|1|3.644417045|0.0|0|0|0.609420759|0.0|-0.005745086|-0.047167919|0.001221534|-0.0902541999999999|10.31100271|0.002509816|-0.084055305|-0.090775221|-0.5265375529999999|0|0.816196288|0.779649252|0.7681279190000001|0.8777482409999999|-0.0711378679999999|-0.090839907|0.31016741|-51.21653025|80.0971996|68.92687468|-0.029575784|3.930238317|0.0|-1.271758703|-22.61349991|47.07915023|2392.3436100000004|494.8840288|-717.0314235000001|11.6688363|5259.698672|123.7157466|21.36272325|0.012327787|-316.3794102|6.9505405620000005|1.0|3.47|19.0|-7.23|7.12|5.78|110.94|2.41|2.0|1.0|3.0|-7.04|25.0|-5.01|0.0|1.0|-5.61|3.3600000000000004e-05|2.47e-06|4.97|0.0|0.0|-0.05321|3.5363|3.81|3.5363|-1750.1383649999998|611.65|0.3082|350.6|452.36|0.70268|-1749.957584|0.3082|-0.14667|3.2233|-0.19988|0.02654958|-1750.0122420000002|5689.0|9.0|8.0605|8.0605
18c_a22|0.0|0|0|0.0|0.0|1|0|1.194229067|1.804590026|-0.003749104|-0.044828537|0.005449965|0.009519672|10.31286086|0.005597023|-0.081550274|-0.143402172|-0.305378181|2|0.7290394929999999|0.7669483559999999|0.6922232890000001|0.931073539|-0.057956428|-0.076388478|0.5003904610000001|-52.84635017|30.63947336|47.68404831|-0.028825841|9.49723261|15.22791009|-1.52776956|-27.73804808|53.82294919|3090.601885|644.1264387|-1056.927003|14.04085897|7101.057047|219.5183688|29.21094233|0.0215181079999999|-252.7737494|14.88645273|1.0|3.56|27.0|-9.46|5.36|4.98|124.4|1.47|1.0|1.0|6.0|-5.8|34.0|-6.63|0.0|1.0|-5.1|0.000739|7.98e-06|3.5|0.0|0.0|-0.07207|5655.0|3.5|3.7222|-1783.5397829999995|707.08|0.2996|219.25|583.88|0.60449|-1783.277296|0.0817|-0.15158|1.2938|-0.22365|0.02279458|-1783.340519|1.0733|26.0|7585.0|7585.0
12v_a30|0.0|0|0|0.0|0.0|0|2|0.604983445|0.0|-0.006974714|-0.099831334|0.002431329|0.020607357|10.31162873|0.001805829|-0.173424818|-0.0857954809999999|-0.471153275|1|0.8149999040000001|0.83236194|0.711738503|0.8501212029999999|-0.077138874|-0.0971402169999999|0.404950755|-65.72041011|82.09302037|101.4008026|-0.037666615|7.242869835|0.0|-1.845664126|-35.30820865|62.89402328|3001.758432|575.1512171|-1248.687792|15.56114504|6952.110426|131.2043645|31.6144427|0.014801518|-414.1432908000001|10.01399667|1.0|4.62|17.0|-7.8|5.11|3.92|81.65|3.79|2.0|1.0|5.0|-6.58|31.0|-5.52|0.0|1.0|-6.04|0.000123|9.14e-07|5.12|0.0|0.0|-0.0563|3.5507|5.08|3.5507|-2494.92869|715.58|0.1601|349.18|573.82|0.68405|-2494.739831|0.1601|-0.1505099999999999|2.9171|-0.20681|0.03495552|-2494.802821|4105.0|22.0|7.6596|7.6596
12c_a30|0.0|0|0|0.0|0.0|0|2|0.604984133|0.0|-0.006900253|-0.0983590219999999|0.00372838|0.019094532|10.31162888|0.003603419|-0.172653074|-0.090173435|-0.468696709|1|0.8264832879999999|0.824373792|0.7463962120000001|0.8439327120000001|-0.076777688|-0.096482247|0.39541773|-62.99109515|82.07537640000001|101.8928318|-0.037411484|6.768942632999999|0.0|-1.833162702|-32.72642202|60.4942895|2860.640481|550.9847369|-1196.830808|13.9883503|6403.739746|126.574178|30.29927658|0.014695647|-399.7292126|9.594458155|1.0|4.62|17.0|-7.22|4.47|3.27|81.65|3.31|2.0|1.0|5.0|-5.93|30.0|-5.75|0.0|1.0|-5.44|0.0005139999999999|3.61e-06|4.49|0.0|0.0|-0.0542299999999999|5.0582|4.45|3.5286|-2035.339256|695.96|0.2155|245.12|541.39|0.68457|-2035.141497|0.1568|-0.1496299999999999|3.7377|-0.2038599999999999|0.03433522|-2035.202565|4.7893|0.01|7.9914|7.9914
12g_a31|0.0|0|0|3.42813681|0.0|0|1|0.6101363000000001|0.0|-0.01500347|0.045747231|-0.008464411|-0.0733026079999999|10.31169877|-0.0054114869999999|0.074878295|-0.081426376|-0.57758443|0|0.837044054|0.819234772|0.7983388929999999|0.58271093|-0.1284353869999999|-0.131126805|0.325789284|-80.52794936|152.7424573|256.26669530000004|-0.039059048|11.67699967|548.1594997999999|-1.835775276|-48.43898314|97.88920296|2514.363249|357.8560168|-1127.391291|15.28679013|5398.678971|191.2078009|34.8320455|0.02515117|-231.70711040000003|15.44590447|1.0|3.61|16.0|-6.45|5.19|3.44|131.36|0.86|1.0|1.0|7.0|-4.92|27.0|-6.86|0.0|1.0|-3.79|0.00457|0.0001629999999999|2.52|0.0|0.0|-0.03324|3.8349|4.17|3.8349|-1578.800869|664.44|265.0|323.3|542.78|0.70068|-1578.605452|265.0|-0.15917|1.6279|-0.19241|0.04532186|-1578.66792|2.4038|0.11|6.9586|6.9586
21a_a23|0.0|1|1|0.0|0.0|2|0|1.197963603|3.43622302|-0.005708466|0.071115216|0.01269616|-0.133417036|10.31321782|0.01180744|0.130024255|-0.136106024|-0.484404194|2|0.725800261|0.7367638240000001|0.6906097959999999|0.926538469|-0.051521215|-0.082341001|0.224766417|-54.35891011|39.56172507|48.49696614|-0.03458322|5.039953753|82.08958626|-1.729161021|-22.45408125|41.64701536|2880.257677|611.67123|-1141.537112|15.66066298|6464.524241|104.2264415|27.11098744|0.011178565|-451.7153132|7.379733085|0.0|3.53|26.0|-7.78|3.88|4.33|105.02|3.24|2.0|1.0|5.0|-5.89|31.0|-6.07|0.0|0.0|-5.28|0.000552|5.29e-06|3.98|0.0|0.0|-0.07243|3.6993|3.75|3.6993|-1669.23053|701.01|0.3692|335.16|558.61|0.60824|-1668.989671|0.3692|-0.15024|5.3733|-0.2226699999999999|0.0203361|-1669.0502720000002|7.9309|102.0|6.9914|6.9914
3d_a32|0.0|1|1|3.503398526|0.0|0|0|0.609420786|0.0|-0.006420365|-0.0620110029999999|0.000655875|-0.113314811|10.31100276|0.002004382|-0.1131110759999999|-0.1395294259999999|-0.539652902|0|0.8315372|0.8444218509999999|0.77923808|0.892845502|-0.06869526|-0.093187219|0.2214902789999999|-50.45435743|62.43434632|58.01666174|-0.02867299|4.22710649|0.0|-1.118246623|-20.13777259|45.000975700000005|2213.978384|483.4133562|-605.4522892000001|10.75032687|4752.534658|151.30787800000002|21.54552351|0.0160633|-238.8142619|8.697152881000001|1.0|3.34|19.0|-7.29|6.97|5.07|110.94|1.94|1.0|1.0|4.0|-6.55|23.0|-5.18|0.0|1.0|-5.13|9.58e-05|7.36e-06|4.5|0.0|0.0|-0.05482|3.5105|3.42|3.5105|-1672.733979|569.29|0.5031|353.18|465.41|0.7035100000000001|-1672.585902|0.5031|-0.14189|3.2094|-0.19671|0.02457348|-1672.638515|5.1728|8.0|8.0915|8.0915
4g_a46|0.0|0|0|0.0|0.171759574|1|1|1.134637064|2.156712018|-0.001702489|-0.093447672|0.011488768|-0.055084605|10.96333695|0.010608122|-0.144064904|-0.121452903|-0.2455749539999999|2|0.662386484|0.74106323|0.635494818|0.946829733|-0.056893316|-0.070153728|0.318162858|-40.24987057|7.38470955|30.50581108|-0.024339048|2.638545451|72.82863401|-1.192613373|-18.72788427|37.24073329|2242.010126|543.2323468999999|-684.2477996|10.60062169|5176.321714|99.33639766|16.88825479|0.007803902|-375.0653627|4.477396402|1.0|3.9|17.0|-7.8|5.19|5.37|43.6|3.06|2.0|1.0|3.0|-5.38|26.0|-5.18|1.0|1.0|-5.38|0.00155|4.16e-06|4.73|0.0|0.0|-0.03985|4.4163|4.65|4.4163|-1493.132001|615.33|0.1294|280.74|530.39|0.6983199999999999|-1492.923098|0.1294|-0.18602|3.5526|-0.22587|0.02266493|-1492.979142|3.7113|2745.0|5.5615|5.5615
