molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|JGI4|MATS7i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
1h_a5|0|2.9516097130000003|0.0|0|6.605297921|0|0|0.0|-0.259241577|-0.001978474|4.59511985|0.026339869|-0.02598568|10.94466758|1|1|-0.043247682|-0.20140246|2|0.71274658|0.780175595|0.8436458929999999|0.8806402259999999|-0.067599619|-0.069496749|0.39793593|-35.25675213|-36.2462047|4.588992214|160.0744187|0.119359774|2.393400474|0.484419999|0.7450549759999999|-1.111947978|44.51475742|0.489507204|2107.271793|459.3001331|-7.561719827|0.2549450239999999|6.711386288|13.14687756|0.958891501|4334.547353|132.96722079999998|-302.4687931|19.45961351|0.01585373|778.3845404|1.0|0.0|1.0|1.0|2.07|-8.41|4.51|54.46|0.0|95.45|0.0|3.0|-4.25|3.0|-5.77|312.37|1.0|1.0|-4.45|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|3.43|0.0|0.0|1.21e-06|4.3651|-990.6032645|556.57|0.3333|266.52|430.83|0.1754|2.2396|-0.21921|0.031392033|28.0|7.5528|7.5528
46_a18|0|0.0|0.0|0|7.03438793|2|2|0.0|-0.001181461|-0.005378956|4.844187086|0.03531746|-0.046124025|10.94680484|0|0|-0.069691797|-0.448177615|0|0.7100921609999999|0.729629263|0.76616843|0.8265445990000001|-0.069742249|-0.076485888|0.30524999|-49.54738918|-54.33831169|6.376289807000001|0.946462387|0.173455401|4.5299444310000005|58.66827342|0.782232748|-1.988633091|63.70285871|0.4548138479999999|3052.94234|587.2068577|-14.76030741|0.217767252|8.980343774|16.47206875|0.8342358790000001|7150.333139|154.7096476|-1003.700904|26.56039822|0.013181412|1806.107079|1.0|0.0|1.0|1.0|0.0|-8.82|3.3|76.5|2.0|151.14|0.0|7.0|-5.68|3.0|-6.14|480.6|1.0|0.0|-5.47|2.08e-06|0.000999|3.35e-06|0.00161|4.36|0.0|0.0|7.27e-07|3225.0|-1532.968527|765.33|0.4249|384.45|635.89|0.4249|2656.0|-0.18219|0.0239301|186.0|6.7305|6.7305
7_a15|0|0.0|0.0|0|0.0|0|0|0.0|-0.2269896539999999|-0.010310394|0.0|0.035075075|0.145944639|10.95880715|0|0|0.213947987|-0.335491052|1|0.857287135|0.70084115|0.740089344|0.841400327|-0.074406877|-0.110819329|0.403524276|-41.29775265|-61.50761094|20.31436245|103.8062879|0.158599673|11.27499976|56.30310755|0.448664402|-1.2190126140000002|85.26222186|0.396557391|2330.667514|466.9990754|-8.163512395|0.551335598|6.01738192|9.971755103|0.657158418|5097.868552|306.0056033|-375.5215702|32.78250222|0.042799094|1507.995102|1.0|1.0|0.0|1.0|3.14|-7.19|4.64|61.84|2.0|99.77|0.0|7.0|-4.83|5.0|-5.72|352.38|1.0|1.0|-4.49|1.46e-05|0.00516|3.2e-05|0.0113|3.84|0.0|0.0|2.26e-05|3.7495|-1184.367098|580.73|0.3463|279.33|499.86|0.0169|1.1115|-0.18454|0.01827873|227.0|6644.0|6644.0
15_a15|0|0.0|0.0|0|0.0|1|1|0.0|-0.132759299|-0.006378587|0.0|0.029814815|-0.063032481|10.95980315|0|0|-0.098862691|-0.3597407929999999|2|0.843715005|0.724319314|0.7725348679999999|0.8972060479999999|-0.061884697|-0.091075463|0.7028760070000001|-41.11675625|-60.51136736|13.71976186|142.8140301|0.102793952|9.115534766|4.306196778|0.702544178|-1.821509261|73.99578515|0.435723718|3027.719888|596.1118717|-13.86355301|0.297455822|6.673906339|11.8273735|0.772181523|7039.747576999999|197.6323578|-804.0860746000001|29.700607300000005|0.0202953539999999|1722.635223|1.0|1.0|0.0|0.0|4.34|-8.9|6.69|59.51|2.0|138.24|0.0|6.0|-6.32|4.0|-5.26|448.52|0.0|0.0|-6.1|4.77e-07|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|0.0|5.7e-07|2582.0|-1450.725355|700.82|0.4459|335.38|573.46|0.0066|1.6365|-0.1475|0.02849263|109.0|6.9626|6.9626
4i_a46|0|0.0|0.19654443|1|7.825245291|1|1|2.184105962|-0.167244168|-0.002360192|5.587248657999999|0.049498645|-0.088884176|10.94638684|1|1|-0.133434195|-0.22302552|1|0.7204791309999999|0.749522825|0.786754478|0.940780437|-0.058565229|-0.075208437|0.263514985|-33.08099617|-42.48203383|8.847405392999999|67.51603424|0.0592195629999999|4.997521397|70.55661087|0.763831778|-1.278543436|49.04951810000001|0.406629719|2200.19132|531.4066842|-7.998762108999999|0.2361682219999999|6.218233741000001|10.47951666|0.685288314|4893.587424|133.40134070000002|-407.9368676|18.53900079|0.011626803|945.4890404|0.0|1.0|1.0|1.0|3.5|-7.3|5.07|39.94|1.0|105.43|0.0|3.0|-4.94|3.0|-5.31|347.45|1.0|1.0|-5.04|1.16e-05|0.00403|9.13e-06|0.00317|4.38|0.0|0.0|1.75e-05|4.4232|-1092.70435|611.74|0.2805|229.66|546.24|0.1421|2.8538|-0.20084|0.02614355|612.0|6.2132|6.2132
12e_a31|0|3.483599061|0.0|0|7.765993078999999|1|1|0.0|0.052663358|-0.011519192|5.733341277|0.037098765|0.0113193469999999|10.3116965|2|2|0.01824365|-0.543945776|0|0.7968154940000001|0.7761616020000001|0.82100963|0.721526766|-0.0939597569999999|-0.1099563869999999|0.2642991189999999|-68.32948993|-79.96257188|19.38343763|166.1479229|0.2784732339999999|14.09603901|595.9853231000001|0.725120432|-2.089171358|95.1187282|0.474858042|3040.353774|524.7092721|-19.38348182|0.274879568|10.24381236|19.50674899|0.904247004|6557.418968999999|199.8981394|-1104.858464|36.75829484|0.020841203|2095.222806|1.0|1.0|1.0|1.0|3.72|-9.31|5.4|117.37|3.0|129.38|0.0|9.0|-6.66|5.0|-5.93|460.55|0.0|1.0|-5.42|2.16e-07|9.96e-05|3.83e-06|0.00176|4.48|0.0|0.0|2.27e-07|3.8391|-1809.85374|781.61|0.3831|232.77|640.03|0.2627|2.6024|-0.19379|0.04614662|0.17|6.7696|6.7696
12i_a36|0|3.27619957|-4.787087299|0|7.412764017000001|2|2|0.0|0.043792895|-0.016027043|5.351858133|0.0438779959999999|0.048138468|10.96020192|1|1|0.135587069|-0.608318386|1|0.647732719|0.820041835|0.87043328|0.830964232|-0.0850745409999999|-0.117424873|0.332782117|-54.81607619|-75.66036485|12.71877085|108.3973956|0.169035768|8.195085212|0.52902639|0.7691298590000001|-2.46592234|90.11282843|0.460246812|3231.030388|535.4151566|-18.95842684|0.230870141|7.549683919|13.98728916|0.8526986440000001|7707.634338|148.7565508|-1023.755049|38.2555363|0.022430221|2065.79896|0.0|1.0|1.0|0.0|0.0|-7.14|4.04|78.43|2.0|130.43|0.0|7.0|-5.2|8.0|-6.4|465.43|0.0|0.0|-5.07|6.26e-06|0.00291|8.6e-06|4.0|3.86|0.0|0.0|3.37e-05|3.7496|-1645.171438|666.79|0.5402|237.08|504.47|0.1516|5.1836|-0.20475|0.03165678|12.0|7.9208|7.9208
8c_a12|0|0.0|0.0|0|0.0|1|1|0.0|0.1948786139999999|-0.0104125509999999|0.0|0.038787879|-0.106633503|10.95472932|0|0|-0.1876771789999999|-0.606245231|2|0.905486734|0.782864175|0.8425863029999999|0.840397446|-0.067004282|-0.101988384|0.239216075|-34.19075142|-52.04233846|10.00357546|83.24714315|0.159602554|5.104595615|0.0|0.764449832|-1.529825767|61.66383178|0.472503372|2190.852814|428.8355831|-9.958505349|0.235550168|5.670223821|10.74930819|0.8957467170000001|4610.945152|120.19586|-398.3402139|25.52931025|0.018855428|1021.17241|1.0|0.0|0.0|1.0|2.24|-7.14|1.59|63.06|0.0|98.07|0.0|3.0|-3.47|5.0|-6.44|314.34|1.0|1.0|-3.72|0.000339|107.0|0.0001899999999999|0.0598|2.5|0.0|0.0|2.28e-05|3.8341|-1022.750382|551.66|466.0|284.38|402.43|0.1355|1.7305|-0.2227699999999999|0.02263772|0.04|7.3979|7.3979
25b_a34|0|0.0|0.0|1|7.412764017000001|1|1|1.94553288|0.133975789|-0.015658012|5.351858133|0.04037037|-0.150946163|10.95957635|1|1|-0.2360985169999999|-0.623853334|1|0.832166825|0.7969500890000001|0.83883012|0.656573108|-0.1030760719999999|-0.137924163|0.5020264870000001|-64.37123451|-86.13394472|18.82143547|165.2408865|0.343426892|11.75402804|49.2835599|0.76274549|-2.206786613|98.0416108|0.419904835|2611.55928|410.0313565|-16.55102732|0.23725451|6.383564979|11.00434095|0.723855085|5786.015654|148.1659658|-860.6534206|34.74652105|0.019067452|1806.819095|1.0|1.0|1.0|1.0|3.39|-6.42|3.03|90.3|1.0|108.21|0.0|7.0|-3.82|5.0|-7.07|393.44|0.0|0.0|-3.69|0.00015|59.0|0.000202|0.0796|2.29|0.0|0.0|0.00015|4.2253|-1313.361559|668.48|0.2259|293.43|562.84|0.2259|7.0586|-0.21103|0.02655501|2.08|5.6819|5.6819
4b_a46|0|0.0|0.206072846|1|7.825245291|1|1|2.189591837|-0.155670183|-0.00113356|5.587248657999999|0.047736111|-0.082722572|10.96200942|1|1|-0.128843936|-0.16915334|2|0.6901151990000001|0.7306307590000001|0.768651645|0.935245062|-0.0524080009999999|-0.070236212|0.27128814|-28.58477842|-38.30877966|4.127907383|7.986637869|0.064754938|2.251475261|56.7922535|0.8104680259999999|-1.123779397|42.65239101|0.428987199|2105.172229|510.1086157|-6.822749952000001|0.189531974|5.76401157|10.09436488|0.751274223|4681.895329999999|103.3759991|-334.31474760000003|15.43427855|0.007963679|756.2796491|0.0|0.0|1.0|1.0|3.03|-7.2|4.77|43.6|1.0|101.7|0.0|2.0|-4.35|3.0|-5.67|332.44|1.0|1.0|-4.63|4.49e-05|0.0149|2.35e-05|0.00782|3.74|0.0|0.0|2.12e-05|4.5515|-1033.535029|588.79|0.1784|272.4|508.79|0.1784|3127.0|-0.21811|0.02176759|548.0|6.2612|6.2612
