molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC7i|AATSC1i|GATS1are|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|WPSA3|FNSA1|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50
12l_a30|0|0|0|0.0|-4.712037416|7.412764017000001|2|2|0.157020295|5.351858133|-0.274237737|2|0.044036281|-0.102468864|0.0|-0.876151158|-0.00695299|0.154540315|-0.02588969|-0.300262845|-0.226973911|0.613786308|-0.0395239879999999|0.883029843|0|0.834279405|-0.0905026719999999|-0.109810463|0.37422435|0.0154211289999999|-76.82494797|103.5499036|0.165720595|115.9404641|7.548024079|0.8218150790000001|88.64610824|74.10578426|0.462727396|3306.001879|583.6736326|-1690.148855|2394.793539|9.258542907|124.6606826|-1182.451965|-450.2927313999999|2056.604824|11.82116027|1.0|0.0|1.0|0.0|1.0|4.72|0.17|17.0|-7.18|4.43|4.78|90.88|2.82|0.0|133.96|0.0|1.0|7.0|-6.7|34.0|8.0|482.48|0.0|3.42|-5.92|9.63e-05|1.2e-06|0.000579|5.05|6.61e-08|-0.0545299999999999|5.0454|3.5245|-1987.998976|1223.54|0.2294|245.74|574.72|0.39486|0.68488|-1987.782294|0.1574|-0.20397|0.03406276|7.2154
4k_a46|0|0|0|0.0|0.173180233|7.825245291|1|1|-0.050636784|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|-0.1032662209999999|-0.158788415|0.012963356|0.78837943|-0.141706595|0.787615341|0|0.8789113709999999|-0.091943864|-0.086581945|0.260665072|0.007038271|-46.76051618|171.92614719999997|0.121088629|65.39662252|2.052909907|0.8732380740000001|50.48291318|53.45751583|0.417368922|2104.876032|474.67574630000007|-794.928775|1912.936687|5.726809252000001|68.46061366|-429.3190666|-403.1511415|910.3230822|3.722397006000001|1.0|1.0|1.0|1.0|1.0|3.8|0.33|17.0|-6.61|4.26|4.77|50.94|2.84|0.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|1.0|3.79|-4.83|5.0|1.4800000000000002e-05|0.0049299999999999|4.05|2.48e-07|-0.01712|5.4228|4.4485|-1053.396715|1001.96|0.2259|228.63|500.36|0.39943|0.68553|-1053.196897|0.1505|-0.20254|0.03653474|7.0969
20_a31|1|1|1|3.3852303|0.0|7.765993078999999|0|0|0.0469387759999999|5.733341277|-0.057200812|0|0.03995614|-0.013040402|2.114008068|-0.476400874|-0.003484915|-0.020082435|-0.078213611|-0.023477148|-0.1534110109999999|0.788133615|-0.131662689|0.912372776|1|0.7954270659999999|-0.085849869|-0.110195543|0.246878555|0.019334605|-69.0542431|64.42171513|0.2045729339999999|128.1960117|7.592555532|0.710707042|81.35171021|65.91404723|0.464597945|2576.1287230000003|498.4558574|-966.7594033|1758.762093|8.289864307|181.2859728|-605.8215871|-264.0799235|1360.278351|12.29746712|1.0|1.0|1.0|1.0|2.0|3.46|0.26|19.0|-7.65|6.49|4.38|140.04|1.1|0.0|110.47|1.0|1.0|7.0|-5.91|27.0|4.0|397.52|1.0|3.6|-4.44|0.000493|3.66e-05|0.0146|3.29|2.23e-08|-0.06065|3.5381|3.5381|-1880.734655|1113.19|0.2011|350.43|560.67|0.7036600000000001|0.7036600000000001|-1880.538664|0.2011|-0.20895|0.0336943|8.0862
12y_a36|1|0|0|3.479963309|0.0|7.412764017000001|2|2|-0.061103469|5.351858133|-0.065314765|2|0.041767677|0.036174187|0.0|-0.410155116|0.002782748|-0.049845887|-0.028440975|0.06152178|-0.1619981409999999|0.90500247|-0.0498101409999999|0.873588247|0|0.83704133|-0.076585128|-0.098532865|0.424572485|0.019404665|-66.24017399|114.430624|0.16295867|109.55137340000002|8.769742642|0.755735734|78.8341402|64.53055627|0.487285656|2793.629988|562.7133986|-1324.80348|2304.463084|7.589386902|164.2102614|-890.6187094000001|-343.8442493|1752.9983309999998|12.59396622|1.0|0.0|1.0|0.0|2.0|4.88|0.12|17.0|-7.01|3.62|2.42|69.2|2.38|0.0|133.84|0.0|1.0|6.0|-4.58|31.0|4.0|407.47|0.0|2.37|-4.55|0.0106|2.82e-05|0.0115|3.45|9.66e-08|-0.05002|3.8794|3.8794|-1310.315063|1183.75|0.4358|319.6|532.91|0.66796|0.66796|-1310.077567|0.4358|-0.20673|0.03583863|7.9208
10_a47|0|0|0|0.0|0.0|0.0|0|0|-0.003570214|0.0|-0.166367455|2|0.042276423|-0.169242585|1.329777427|-0.384667159|-0.008120645|0.0814897|0.007193585|-0.349569106|-0.045289209|0.7027461220000001|0.011239977|0.8077565520000001|1|0.841070966|-0.076311525|-0.0936757959999999|0.417511484|0.00951788|-50.08559665|103.41137940000002|0.158929034|84.97451737|2.720890925|0.801882632|57.59863288|45.89037038|0.411647394|2355.515804|449.6950454|-851.455143|1567.859561|6.277122171|105.9273263|-455.247149|-322.8149102|1061.820157|7.51303623|1.0|1.0|1.0|1.0|2.0|3.02|0.09|22.0|-8.85|5.12|5.92|58.04|3.21|0.0|106.43|0.0|1.0|3.0|-5.75|27.0|4.0|359.4|1.0|4.41|-5.5|0.000638|3.18e-06|0.00114|4.8|1.4199999999999999e-09|-0.0486399999999999|5.7693|3.7236|-1188.3744|997.16|231.0|214.9|426.55|0.53909|0.69212|-1188.1907199999998|0.2175|-0.20309|0.03158831|7.9
14f_a23|0|1|1|0.0|0.0|7.423568444|0|0|-0.002304087|5.351858133|-0.027380305|2|0.04255787|0.056215377|0.745818086|-0.373510774|0.010561248|-0.0555907109999999|-0.041351617|0.101910723|-0.199540201|0.756252127|-0.06885759|0.854683662|1|0.894162392|-0.059927056|-0.084419703|0.2096108239999999|0.027134452|-57.07376861|96.47955427|0.105837608|71.55380685|12.40242234|0.665778294|74.08536976|58.85981824|0.478733036|3014.916135|604.5178506|-1084.401604|2322.5224120000003|8.124287407|225.9578225|-733.1331894|-224.1560124|1628.77284|17.01160115|0.0|0.0|1.0|1.0|1.0|3.57|0.09|26.0|-7.51|3.42|4.03|114.25|2.72|1.0|126.78|0.0|1.0|6.0|-5.63|32.0|5.0|441.51|0.0|3.46|-5.02|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|3.11e-08|-0.07163|5.8184|3.5753|-1744.429532|1210.19|0.2462|213.09|572.35|0.60917|0.6733399999999999|-1744.182678|0.1699|-0.21743|0.02255331|8.6459
17b_a6|1|0|0|3.375166525|0.0|7.412764017000001|1|1|0.1012747369999999|5.351858133|-0.0265090529999999|1|0.042739018|0.139594234|0.0|-0.6869226490000001|-0.00460563|-0.0385646|-0.0791229359999999|0.231025646|-0.180339002|0.850080948|-0.138423611|0.8370824240000001|0|0.753949098|-0.095450984|-0.109195656|0.318652397|0.03122461|-71.65078895|155.8689396|0.246050902|161.4509401|13.44399246|0.7706671740000001|84.71888279|83.12058064|0.4548818979999999|2816.0632920000003|494.7179214|-1361.36499|2207.972178|8.974770742|150.48105900000002|-893.2853154999999|-355.2067434|1766.4758989999998|13.06809384|1.0|1.0|1.0|1.0|2.0|3.53|0.12|23.0|-9.01|4.98|4.32|95.85|1.7|0.0|116.79|0.0|1.0|5.0|-5.81|31.0|5.0|409.44|1.0|3.6|-5.17|0.000637|6.69e-06|0.00274|4.09|9.77e-10|-0.05736|3.5444|2.9964|-1350.078181|1168.62|0.3949|349.8|575.2|0.69615|0.7016100000000001|-1349.830814|0.0033|-0.18281|0.02458322|6.8153
18a_a22|0|0|0|0.0|0.0|6.842683282|0|0|-0.197348157|4.727387819|-0.018344659|2|0.038167849|0.033735832|1.6891461019999998|-0.19538364|0.007066388|-0.021976395|-0.015194063|0.059645624|-0.147724859|0.760537197|-0.027029438|0.7881113679999999|1|0.926535704|-0.050645213|-0.076119803|0.573315195|0.01713283|-51.6464295|29.59800426|0.073464296|49.84469832|7.887046626|0.710467198|64.80092090000001|45.98663929|0.487405342|2898.068989|628.6440468999999|-1032.92859|2213.859172|7.037677899|196.4447473|-700.830423|-285.5992506|1453.872315|13.15449139|1.0|1.0|1.0|1.0|1.0|3.49|0.08|27.0|-9.4|5.32|5.11|100.61|2.13|1.0|131.64|0.0|1.0|6.0|-5.59|32.0|4.0|436.53|1.0|3.9|-5.16|0.00113|6.98e-06|0.00305|3.78|3.95e-10|-0.0706799999999999|5.0214|3.4832|-1691.2957760000002|1211.84|0.3174|246.91|531.16|0.35107|0.68577|-1691.036502|0.0354|-0.21148|0.01932946|7.8861
3d_a32|1|1|1|3.503398526|0.0|7.765993078999999|0|0|0.0181036519999999|5.733341277|-0.034290847|0|0.041161616|-0.0620110029999999|2.230648962|-0.269655316|0.000655875|-0.113314811|-0.0602430179999999|-0.1131110759999999|-0.1395294259999999|0.8315372|-0.100251236|0.90169022|1|0.892845502|-0.06869526|-0.093187219|0.2214902789999999|0.014419776|-50.45435743|62.43434632|0.107154498|58.01666174|4.22710649|0.720540286|59.15151032|45.000975700000005|0.427813496|2213.978384|483.4133562|-605.4522892000001|1855.167124|6.15119195|151.30787800000002|-327.8100438|-238.8142619|840.275417|8.697152881000001|1.0|1.0|1.0|1.0|1.0|3.34|0.24|19.0|-7.29|6.97|5.07|110.94|1.94|0.0|97.86|0.0|1.0|4.0|-6.55|23.0|3.0|340.47|1.0|4.32|-5.13|9.58e-05|7.36e-06|0.00251|4.5|5.13e-08|-0.05482|3.5105|3.5105|-1672.733979|959.11|0.5031|353.18|465.41|0.7035100000000001|0.7035100000000001|-1672.585902|0.5031|-0.19671|0.02457348|8.0915
8f_a12|0|1|1|0.0|0.0|6.580639137|1|1|0.110310585|4.59511985|-0.062406088|2|0.038347953|-0.013400998|2.177023629|-0.3981937339999999|-0.002596875|0.028505422|-0.024023866|-0.023769395|-0.125424286|0.902669729|-0.042014638|0.80546986|1|0.869823177|-0.072634742|-0.098932601|0.285353468|0.013287637|-56.220383|83.13642146|0.130176823|73.97552223|4.290980116|0.8381234340000001|63.05721575|48.82707007|0.460344828|2541.921472|494.2940092|-955.746511|1448.568734|7.016225129|91.98952021|-543.1216218999999|-384.290491|1140.340995|6.836832748|1.0|1.0|1.0|1.0|1.0|4.09|0.1|21.0|-8.42|4.99|3.41|78.41|3.1|0.0|115.66|0.0|1.0|3.0|-5.7|27.0|4.0|369.44|1.0|3.82|-5.24|0.000735|5.72e-06|0.00211|4.34|3.79e-09|-0.06179|4.1744|3.6536|-1481.115891|1020.81|312.0|297.01|441.97|0.59107|0.65098|-1480.955408|0.2466|-0.2124|0.03056355|6.1898
