molecula|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50
8a_a12|0|0.0|0.0|0|1|1|1.283813597|0.0|-0.00771093|0.0|-0.052287869|3|-0.205012437|-0.050603335|10.95472846|0.000249868|-0.226106307|-0.5385001079999999|0.913877696|0.763500863|-0.146966854|0.8157289759999999|-0.05926895|0.010336879|-48.195997|5.354053791|46.32568673|55.59930083|0.0|0.791430726|-15.90061008|55.45388635|-17.52581709|0.46777503|2212.38965|2093.2274030000003|-9.077610683|0.208569274|9.607296424|0.878904705|108.02980890000002|22.14447395|-301.89687089999995|974.3568539|464.1781753|1.0|1.0|1.0|1.0|4.06|-7.89|3.87|2.5|50.17|2.89|0.0|1.0|4.0|-6.04|327.38|0.0|1.0|1.0|3.1|-4.21|0.0408|6.19e-05|0.0203|3.18|0.0|4.2e-06|-0.06246|3.9091|3.9091|-1046.0428949999998|556.3|952.71|0.2486|317.17|424.14|0.6309100000000001|0.2486|-0.15696|-0.2194199999999999|5.4032|6.7011
18_a20|0|3.463603867|0.0|0|0|0|1.400923654|0.0|-0.008841844|4.727387819|-0.12050413|2|0.163548857|-0.011236836|10.93301779|-0.004071701|0.003282792|-0.597167441|0.809917509|0.7602869659999999|-0.090732503|0.8162774979999999|-0.0927760219999999|0.0108136339999999|-63.36348363|7.195302872999999|318.5587088|158.7879106|82.70867776|0.8109110409999999|-41.07622672|72.31812218|-23.91074854|0.483668611|2809.844943|1822.210286|-15.91001426|0.1890889589999999|15.51556677|0.936740671|125.81822920000002|29.4862782|-413.7552685|1562.772745|712.1606951|1.0|1.0|1.0|2.0|3.48|-10.0|5.54|4.69|97.55|2.06|2.0|0.0|4.0|-6.13|419.48|0.0|0.0|1.0|3.78|-5.16|0.00107|6.91e-06|0.0029|3.85|0.0|4.17e-08|-0.05604|5.9778|3.5355|-1352.364724|703.24|1204.88|0.2991|207.41|531.11|0.31154|0.2011|-0.14685|-0.20289|8.0505|7.4685
9n_a24|0|2.961528903|0.0|0|0|0|1.388847168|0.0|-0.003323852|4.59511985|0.001099755|2|-0.141205159|-0.036651001|10.94875265|0.008809179|-0.200646773|-0.225226606|0.786587307|0.7584388259999999|-0.058520736|0.804201677|-0.052106597|0.017608478|-52.53031811|11.90027964|48.691073|64.50319929|24.72120326|0.652126509|-23.79925701|67.36550766|-18.18357165|0.4331595789999999|2542.730334|1361.307012|-12.28894317|0.347873491|14.52410167|0.764164944|235.1021924|27.88350328|-205.6223122|1449.942171|631.9206508|1.0|1.0|1.0|1.0|3.17|-8.64|4.41|4.14|66.93|1.42|1.0|1.0|5.0|-6.47|385.46|0.0|1.0|0.0|3.13|-4.29|0.0278|5.14e-05|0.0198|3.07|0.0|8.909999999999999e-07|-0.03818|4.9139|4.1028|-1239.1274939999998|686.19|1155.03|0.2522|252.31|587.05|0.44042|0.0334|-0.1658099999999999|-0.20399|4.8123|7.7212
14t_a23|1|0.0|0.0|2|0|0|1.197962538|3.410065804|-0.005383494|5.351858133|-0.024472753|2|0.073534004|-0.041339801|10.31321779|0.01180744|-0.136106024|-0.4515027279999999|0.725800261|0.7629258809999999|-0.152771194|0.820002545|-0.0553915009999999|0.017433037|-51.65035498|11.36130649|36.6149406|51.51331913|42.20767549|0.799945841|-23.52629623|61.0040156|-21.69314909|0.465981891|2878.4071670000003|2286.063655|-14.13766923|0.2000541589999999|14.13931199|0.872595673|130.3775455|27.11827225|-390.9561553|1355.9136119999998|666.0036144999999|0.0|0.0|1.0|1.0|3.52|-7.78|3.88|4.33|105.02|3.24|2.0|1.0|4.0|-6.1|425.51|0.0|0.0|0.0|3.78|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|7.03e-06|-0.06666|3.9855|3.2060000000000004|-1669.240512|692.08|1184.43|0.2061|311.09|534.86|0.5824199999999999|0.0003|-0.15625|-0.22291|8.3062|8.3979
10_a47|0|0.0|0.0|0|0|0|1.381868067|0.0|-0.008013899|0.0|-0.166367455|2|-0.169242585|0.0814897|10.93671036|-0.0065562469999999|-0.045289209|-0.45272733|0.7027461220000001|0.754096463|0.011239977|0.8077565520000001|-0.076311525|0.00951788|-50.08559665|5.088920549|103.41137940000002|84.97451737|0.0|0.801882632|-21.81529334|57.59863288|-18.9212254|0.411647394|2355.515804|1567.859561|-10.11660331|0.198117368|10.66897998|0.699661037|105.9273263|23.5960035|-322.8149102|1061.820157|498.0016816|1.0|1.0|1.0|2.0|3.02|-8.85|5.12|5.92|58.04|3.21|2.0|1.0|4.0|-5.08|359.4|1.0|0.0|1.0|4.41|-5.5|0.000638|3.18e-06|0.00114|4.8|0.0|5.110000000000001e-07|-0.0486399999999999|5.7693|3.7236|-1188.405988|579.86|997.16|231.0|214.9|426.55|0.53909|0.2175|-0.15445|-0.20309|2.8795|7.9
47f_a18|0|0.0|0.0|0|1|1|1.251175676|0.0|-0.005817448|4.844187086|-0.034211867|0|-0.048472184|0.033759227|10.94702253|0.00531392|-0.3927204379999999|-0.4138670829999999|0.765824398|0.750610215|-0.014370598|0.780474694|-0.063824969|0.0138461289999999|-72.03501774|11.75478965|111.1889928|137.3980967|58.84834254|0.726550657|-46.00060733|86.11217859|-24.61956302|0.483843526|3367.7324700000004|2343.062749|-20.90098811|0.273449343|20.44855806|0.937396993|232.14715330000004|33.88554232|-384.6642262|2676.957843|1347.416568|1.0|1.0|1.0|2.0|4.87|-9.22|3.22|3.6|88.97|2.79|3.0|1.0|4.0|-6.4|541.68|0.0|0.0|0.0|2.83|-5.52|0.000421|3.01e-06|0.00163|4.52|1.0|3.27e-07|-0.04439|3.0964|3.0964|-1743.375413|908.66|1602.99|0.5741|400.42|874.24|0.6984600000000001|0.5741|-0.12802|-0.1724099999999999|4.4861|8.0458
13_a4|0|0.0|0.0|1|1|1|1.399843898|2.050136054|-0.000990136|5.4161004020000005|-0.019846488|1|-0.059300584|-0.14818661|10.94205723|0.012019888|-0.025714912|-0.143303992|0.645708528|0.744134785|-0.157188841|0.7986239909999999|-0.050017793|0.008746805|-33.41617993|4.282589756|11.85953992|14.67530603|54.71349575|0.862539527|-11.99053523|37.12083496|-13.70920202|0.4289448289999999|1910.137758|1439.176684|-6.7122666220000005|0.137460473|9.917593683|0.751144285|67.30306705|15.89399858|-355.01146810000006|619.8659446|373.9073307|1.0|0.0|0.0|0.0|3.39|-6.2|4.18|4.15|30.71|2.9|1.0|1.0|2.0|-5.39|287.36|0.0|1.0|1.0|3.57|-4.42|0.0235|3.77e-05|0.0108|3.75|0.0|0.00018|-0.03168|4.4811|4.1733|-898.3562912999998|536.09|893.0|0.2133|276.68|429.36|0.53815|0.1282|-0.17204|-0.20372|3.7228|5.3979
47t_a18|0|0.0|0.0|0|1|1|1.25117758|0.0|-0.0128248239999999|4.844187086|-0.161517185|0|0.018018036|-0.011641394|10.94702032|-0.004985656|-0.104274108|-0.600890268|0.704602886|0.750103977|-0.074774521|0.796935152|-0.119202068|0.014067024|-69.13537385|9.415011332|280.622476|219.5070758|78.43695402|0.804531523|-53.39751484|80.00407742|-27.16032544|0.49779009|2872.533415|1326.524873|-18.17831387|0.195468477|17.48280476|0.991199259|130.8263901|33.75918118|-407.6438346000001|1890.514146|747.6927426|0.0|0.0|0.0|3.0|3.86|-7.51|2.6|2.93|110.56|1.64|2.0|1.0|4.0|-6.46|441.48|0.0|0.0|0.0|2.15|-4.77|0.00117|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|1.36e-05|-0.06822|3.1164|3.1164|-1470.873743|703.76|1218.95|0.5502|397.84|601.36|0.6895100000000001|0.5502|-0.12692|-0.19514|9.6938|6.1068
12_a47|1|2.903215905|0.0|0|0|0|1.304330736|0.0|-0.005522244|4.59511985|-0.078935336|2|0.001435849|-0.018573056|10.95005729|-0.004332024|-0.015039637|-0.326846977|0.6505449670000001|0.8288334490000001|0.050943962|0.90246604|-0.084846808|0.018014416|-47.83891561|9.382250925|63.89392714|112.4599133|0.0|0.680723821|-23.01490672|61.09751253|-17.76874008|0.4792593739999999|2266.78114|702.3796319|-9.25429818|0.319276179|13.52358352|0.920341815|166.28511369999998|26.10271529|-188.2488142|913.5950352|335.1175012|1.0|1.0|1.0|2.0|2.73|-8.11|4.19|4.98|66.49|2.6|0.0|1.0|4.0|-5.94|339.75|0.0|1.0|1.0|3.37|-4.56|0.0106|2.77e-05|0.00943|3.43|0.0|2.61e-06|-0.0623|4.2907|3.9538|-1488.101254|537.79|886.46|0.2306|288.96|400.09|0.66387|0.2241|-0.1633|-0.2256|3.5884|8.2
2_a47|0|0.0|0.0|0|0|0|1.381899691|0.0|-0.008527649|0.0|-0.13117284|2|-0.004557357|0.107297513|10.93671092|-0.006079384|-0.0274111779999999|-0.444853768|0.916092248|0.671819147|-0.0253134039999999|0.728066943|-0.083455669|0.008511123|-47.65477123|4.240150185|99.5619537|76.06154148|0.958043241|0.784978115|-20.71307621|55.81329383|-18.32875817|0.433425706|2105.761386|1242.745585|-9.131190896|0.215021885|9.369924133|0.764993595|107.1215986|23.34938746|-283.9460863|910.626111|392.6099255|1.0|1.0|1.0|2.0|2.58|-7.82|3.7|4.75|58.04|2.39|1.0|1.0|3.0|-5.0|313.35|0.0|1.0|1.0|3.58|-5.11|0.00109|7.75e-06|0.00243|4.52|0.0|4.73e-06|-0.05285|3.7181|3.7181|-1010.540464|536.13|902.07|0.2143|333.46|371.19|0.69102|0.2143|-0.15446|-0.20731|3.1004|6.2
9a_a40|0|0.0|0.0|1|0|0|0.604993021|1.865740741|-0.003680068|5.4161004020000005|-0.020455825|0|0.168990628|0.157704751|10.31197235|0.011966382|0.016958188|-0.449508498|0.624889926|0.690568477|-0.2990540869999999|0.749764251|-0.060029933|0.011033601|-35.24260989|5.334966331|109.9916614|30.17155594|51.49564873|0.868476591|-14.03449109|39.45618424|-15.54821024|0.493941591|1971.148912|336.39741360000005|-7.51786994|0.131523409|13.33684703|0.976056482|63.59419322|17.90285474|-356.33157|608.6970611|323.79254|1.0|0.0|1.0|0.0|3.26|-6.4|4.58|4.43|58.43|3.57|1.0|1.0|2.0|-4.85|291.37|0.0|1.0|1.0|4.08|-5.08|0.000944|8.33e-06|0.00243|4.54|0.0|0.000117|-0.06495|4.7066|3.3192|-1217.955997|515.96|847.69|0.4746|263.42|411.01|0.47831|0.3483|-0.13808|-0.20303|5.09|6.6696
16e_a32|1|3.343660084|0.0|0|0|0|0.609420752|0.0|-0.0154404319999999|5.733341277|-0.06951854|0|-0.04474426|-0.070351839|10.31100268|-0.002310082|-0.219947482|-0.698621582|0.804503712|0.86370575|-0.022651598|0.91471624|-0.087117996|0.024145309|-75.36830928|15.50894749|105.4021155|134.6906051|39.27920316|0.702226562|-35.94239328|90.34923861|-24.05371573|0.458956284|2710.157931|3376.1299740000004|-15.45011555|0.297773438|12.15001203|0.848279482|191.2650034|34.2534974|-259.78720209999994|1609.914378|573.3529948|1.0|0.0|1.0|2.0|3.64|-7.38|6.03|4.6|149.27|1.12|3.0|1.0|5.0|-6.15|413.52|1.0|0.0|1.0|3.77|-4.75|0.000107|1.7899999999999998e-05|0.0074099999999999|3.76|0.0|1.73e-05|-0.0505899999999999|3.6214|3.6214|-1955.993572|677.82|1130.95|0.2858|342.37|552.79|0.7022|0.2858|-0.14991|-0.2005|3.9389|8.1367
14r_a23|1|0.0|0.0|2|0|0|1.197963203|3.201732471|-0.006323791|5.351858133|-0.06921746|2|0.014148395|-0.079935667|10.31321824|0.0075222369999999|-0.17267308|-0.454010253|0.616699629|0.7837821840000001|-0.1050445769999999|0.846632079|-0.062618931|0.019185345|-55.30494931|12.35476415|47.26552456|86.14846171|55.62948521|0.7882228370000001|-25.96781003|66.31173073|-23.53402098|0.4661909429999999|2945.137191|2306.754114|-15.15517566|0.211777163|14.15357616|0.873329024|136.37788909999998|29.85706563|-371.2130393|1403.282085|599.5697147999999|0.0|0.0|0.0|1.0|3.47|-7.67|3.78|4.58|105.02|3.4|2.0|1.0|5.0|-6.31|429.47|0.0|0.0|0.0|3.7|-5.11|0.00114|7.73e-06|0.00332|3.68|0.0|9.18e-06|-0.06842|5.9406|3.1797|-1729.1556449999998|678.08|1145.51|0.2346|208.71|513.71|0.30482|0.0008|-0.15536|-0.22378|8.8722|8.2684
1b_a5|0|2.881451247|0.0|0|0|0|1.4258024619999998|0.0|-0.00279809|4.59511985|-0.061874543|2|-0.095857885|0.001241264|10.94890233|0.003708988|0.045204303|-0.231956531|0.567806811|0.759794937|-0.054153474|0.827319059|-0.07823203|0.010803163|-38.87394276|5.438378717999999|168.30518769999998|96.23685048|0.769931305|0.7324812509999999|-19.82538668|48.55415504|-15.75970652|0.474445758|2171.716467|919.9167129|-7.933533473|0.267518749|11.64312636|0.90275317|134.6705884|21.51550842|-234.0649914|796.0738116|357.34245360000006|1.0|1.0|1.0|1.0|2.75|-8.3|4.88|4.76|54.46|2.29|0.0|1.0|4.0|-5.99|316.33|0.0|1.0|1.0|3.38|-4.3|0.0336|4.970000000000001e-05|0.0157|3.16|0.0|1.58e-06|-0.04135|4789.0|4.6481|-1050.538976|536.59|892.61|0.3101|258.89|388.58|0.5153800000000001|87.0|-0.1892|-0.23055|4.3687|7.2291
12aa_a30|0|0.0|0.0|0|2|2|0.604983643|0.0|-0.008848121|5.351858133|-0.028524865|2|-0.014017531|0.059360681|10.31162784|0.005111479|-0.207153446|-0.394520145|0.8397577820000001|0.809127478|-0.012535889|0.855880335|-0.078042288|0.030906491|-70.79444906|21.58471858|55.0567406|130.84205079999998|0.0|0.630759573|-38.06478415|91.51563481|-23.59814969|0.4659424379999999|3115.249471|2455.130164|-16.48066156|0.369240427|16.21199661|0.872457337|257.8730361|37.41227352|-182.6418006|2132.499591|792.3440337000001|1.0|0.0|1.0|1.0|4.86|-6.83|3.94|2.63|100.11|2.2|2.0|1.0|6.0|-6.39|458.54|0.0|0.0|0.0|2.52|-5.0|0.00113|9.94e-06|0.00456|3.81|0.0|6.720000000000001e-05|-0.04966|5.1925|3.4642|-1804.818818|748.78|1275.73|0.1667|238.78|605.07|0.30341|0.1506|-0.1472099999999999|-0.19687|6.4878|8.1135
13b_a6|0|3.423777636|0.0|0|1|1|1.430640379|0.0|-0.011206134|5.351858133|-0.0265090529999999|1|0.060593678|-0.104663349|10.95129557|-0.00194781|-0.180339002|-0.490758329|0.850080948|0.7788169070000001|-0.11338525|0.8370824240000001|-0.093125205|0.032036214|-74.04643339|21.00828557|154.7847961|147.0772097|554.4007331|0.757233678|-40.04664055|87.39962829999999|-26.65671602|0.408780634|2821.72831|2587.000662|-17.48058934|0.2427663219999999|15.37022155|0.69141956|159.1980937|35.20276076|-337.3706117|1760.1380379999998|627.4287311|1.0|1.0|1.0|2.0|3.56|-9.01|4.98|4.32|95.85|1.29|2.0|1.0|5.0|-6.1|409.44|0.0|0.0|1.0|3.45|-4.99|0.0012699999999999|1.02e-05|0.00417|3.8|0.0|4e-07|-0.0525799999999999|4.8494|3.6322|-1350.0903970000002|694.33|1167.21|0.7846|255.67|574.07|0.58026|0.2461|-0.14898|-0.20156|13.5746|6.7595
15_a3|0|0.0|0.0|0|1|1|0.619596467|0.0|-0.006742751|4.727387819|-0.092127078|3|-0.182934001|0.126641951|10.33806279|-0.004459728|-0.039798975|-0.505519936|0.968837995|0.813015336|0.036380489|0.866559772|-0.092342351|0.007901554|-55.08588323|4.04445331|315.5421792|113.1667185|0.0|0.850327497|-24.19332693|60.30684851|-19.28005913|0.461565365|2116.88728|1433.713715|-9.868603355|0.149672503|9.975434973|0.85723565|76.61068671|22.67368656|-358.6340772|906.9474625|402.781061|1.0|1.0|1.0|1.0|4.12|-5.78|2.21|1.56|89.99|0.96|0.0|2.0|5.0|-7.35|321.4|0.0|0.0|0.0|1.2|-3.02|547.0|0.000951|306.0|1.28|0.0|0.000535|-0.06319|6.0077|3.7072|-1328.688126|553.81|916.07|0.4107|206.37|398.12|0.2843199999999999|0.0173|-0.1576|-0.22079|2.3271|7.6021
12_a3|0|0.0|0.0|0|0|0|0.605020506|0.0|-0.009093383|4.727387819|-0.118456941|2|-0.120694579|-0.045382017|10.31163031|-0.0045709459999999|0.032450556|-0.604704476|0.899733837|0.718481325|-0.125395523|0.784451598|-0.092838926|0.011076075|-45.63945658|5.258353635|239.2266101|80.99228663|76.23910943|0.830418645|-20.92463497|52.16354015|-18.79271742|0.463780604|2056.502939|1064.221958|-8.921820355|0.169581355|10.50748861|0.864908294|80.50854774|22.63041363|-313.7317211|769.4340634|330.4083896|1.0|1.0|1.0|1.0|3.2|-6.89|4.34|4.01|92.93|1.6|1.0|1.0|3.0|-5.3|304.37|0.0|0.0|1.0|3.23|-4.84|0.000629|1.44e-05|0.0044|4.03|0.0|3.9500000000000005e-05|-0.06361|3263.0|3263.0|-1272.152002|515.23|847.25|0.5056|379.97|361.95|0.69784|0.5056|-0.13153|-0.19514|3.1979|5.45
12g_a31|0|3.42813681|0.0|0|1|1|0.6101363000000001|0.0|-0.01500347|5.733341277|-0.1044685569999999|0|0.045747231|-0.0733026079999999|10.31169877|-0.0054114869999999|-0.081426376|-0.57758443|0.837044054|0.819234772|-0.1386819869999999|0.8639814490000001|-0.1284353869999999|0.030961426|-80.52794936|19.01411466|152.7424573|256.26669530000004|548.1594997999999|0.6886488690000001|-48.43898314|95.97385383|-23.98704875|0.470244801|2514.363249|1859.940155|-14.73099143|0.311351131|15.28679013|0.887664343|191.2078009|34.8320455|-231.70711040000003|1637.106139|524.0230338|1.0|1.0|1.0|2.0|3.61|-6.45|5.19|3.44|131.36|0.86|1.0|1.0|5.0|-6.86|384.45|0.0|0.0|1.0|2.9|-3.79|0.00457|0.0001629999999999|0.0627|2.52|0.0|0.000136|-0.03324|3.8349|3.8349|-1578.846191|664.44|1090.41|265.0|323.3|542.78|0.70068|265.0|-0.15917|-0.19241|2.4038|6.9586
12bc_a36|0|3.43846811|0.0|0|2|2|1.284647662|0.0|-0.007661816|5.351858133|-0.042515909|2|0.068351685|-0.079009683|10.95883416|-0.00097037|-0.1716508239999999|-0.442519304|0.884841888|0.836170906|-0.045186455|0.892249657|-0.077192869|0.01824287|-71.97763346|12.2593899|83.35308244|111.3483497|0.0|0.77146807|-34.8600941|83.97121855|-25.91194805|0.467645467|2927.476132|2623.395239|-17.41308622|0.22853193|15.54183457|0.878447423|153.57572439999998|33.5878425|-364.8584744|1679.392125|661.6709012|1.0|0.0|0.0|2.0|4.73|-7.76|3.99|3.19|69.2|2.99|2.0|1.0|4.0|-6.26|450.32|0.0|1.0|1.0|2.82|-5.18|0.00372|6.55e-06|0.00295|3.93|0.0|7.83e-06|-0.05828|5.2189|3.8696|-2152.134749|705.12|1188.37|0.7456|237.57|563.76|0.35775|0.3478|-0.15671|-0.21499|9.2445|8.0969
13e_a6|0|3.433539068|0.0|0|0|0|1.429020445|0.0|-0.006882528|4.727387819|-0.008507023|2|0.018376555|0.0266218529999999|10.95053349|-0.001446486|-0.223618825|-0.462344944|0.841211811|0.765593573|-0.067328767|0.827254552|-0.074242826|0.0183790889999999|-62.36320497|12.28502792|66.59852278|92.4587065|0.0|0.722530518|-33.17101912|75.42629799|-22.01054293|0.4442079679999999|2868.489025|3457.565879|-14.71237941|0.277469482|14.346067199999998|0.799234143|185.4673146|30.46313253|-297.4895642|1553.619759|676.2770877|1.0|1.0|1.0|2.0|3.51|-10.18|5.01|4.53|103.17|0.92|1.0|0.0|5.0|-6.52|417.47|0.0|0.0|1.0|3.31|-4.78|0.00323|1.65e-05|0.00688|3.27|0.0|2.75e-08|-0.07534|5.9885|3.2475|-1347.297639|713.3|1202.5|0.8312|207.04|567.24|0.38609|0.0104|-0.1327|-0.20804|13.2999|7.9208
12a_a40|0|0.0|0.0|1|0|0|0.604990853|1.784989449|-0.00431394|5.4161004020000005|-0.012791297|0|0.17758258|0.100414476|10.31197265|0.007890601|0.031326603|-0.4764003679999999|0.58630452|0.718281767|-0.375724138|0.7867243829999999|-0.064340227|0.011766311|-38.17175304|6.001293955|107.5277007|30.15370934|49.24750281|0.85136964|-16.73754566|43.65970865|-17.23885621|0.476055146|2185.594734|600.1247016|-8.792513441|0.14863036|14.43505064|0.908597808|75.8074911|20.24838026|-358.4254366|627.699788|323.26151960000004|1.0|0.0|0.0|0.0|3.2|-7.21|5.33|5.43|58.43|4.34|1.0|1.0|2.0|-4.56|346.23|0.0|1.0|1.0|4.78|-5.95|0.000134|1.13e-06|0.00039|5.43|1.0|2.13e-05|-0.08015|3.0966|3.0966|-2097.826771|530.55|875.15|0.3701|400.39|429.21|0.6998800000000001|0.3701|-0.12895|-0.2091|3.8054|5.7501
16i_a32|1|3.352437091|0.0|0|0|0|0.6094207429999999|0.0|-0.0146198339999999|5.733341277|-0.075706124|0|-0.056414399|-0.104899053|10.31100265|-0.001202032|-0.211019184|-0.700853898|0.801401734|0.836966894|0.009897928|0.8829894|-0.0857355019999999|0.022335011|-75.01027196|14.59730623|90.08098301|129.7354415|32.3175507|0.718964113|-36.62130242|88.80827938|-24.00328703|0.455596751|2770.767996|3450.514629|-15.6876273|0.281035887|12.57892808|0.836873682|183.6742715|33.38593207|-286.2130831|1669.296604|636.0251562999999|1.0|0.0|1.0|2.0|3.75|-7.4|6.25|4.85|149.27|1.34|3.0|1.0|5.0|-5.93|427.54|1.0|0.0|0.0|3.96|-5.09|3.96e-05|8.18e-06|0.0035|4.19|0.0|1.7100000000000002e-05|-0.05044|3.6176|3.6176|-1995.307733|692.96|1175.51|0.2857|342.72|573.38|0.70222|0.2857|-0.14976|-0.2002|4.0568|8.2596
47a_a18|0|0.0|0.0|0|1|1|0.403918489|0.0|-0.006027559|4.844187086|-0.18843247|0|0.043161338|-0.025401815|10.35082811|-0.000633273|-0.358939392|-0.369841706|0.842412605|0.766261502|0.089156939|0.7991211029999999|-0.082855697|0.014124484|-81.42570819|11.58086543|100.7293848|181.3725215|110.0917322|0.7936193709999999|-55.70051708|93.5899242|-29.70938001|0.483193636|3612.105567|2250.179086|-24.3591435|0.2063806289999999|19.74153879|0.934960691|169.2144153|37.435301|-481.4854016|2770.212274|1225.939287|1.0|1.0|1.0|3.0|4.97|-8.27|0.48|3.35|123.06|1.85|3.0|1.0|5.0|-6.49|547.67|0.0|0.0|0.0|2.02|-5.58|9.9e-05|2.62e-06|0.00143|4.44|1.0|2.95e-06|-0.05191|3.1947|3.1947|-2098.807018|874.47|1536.87|0.6094|388.09|813.01|0.69508|0.6094|-131.0|-0.18291|3.0133|9.0
12c_a36|0|3.447900368|0.0|0|2|2|1.29696741|0.0|-0.007667703|5.351858133|-0.04162109|2|0.085843909|-0.0621599059999999|10.95982545|0.0010871589999999|-0.177407665|-0.4423430339999999|0.8941919290000001|0.819222745|-0.097861598|0.8741648479999999|-0.073370864|0.019582215|-67.84435546|12.5779546|60.79111287|102.2992907|6.546878962999999|0.75500974|-30.27053327|80.22754474|-24.42396797|0.473610011|2785.47514|2365.641348|-15.68788659|0.24499026|12.86584957|0.899732176|157.3609748|32.34920911|-327.5932797|1617.460455|629.5017194000001|1.0|0.0|0.0|2.0|4.74|-7.18|3.35|2.54|69.2|2.51|1.0|1.0|4.0|-6.49|415.88|0.0|1.0|1.0|2.34|-4.59|0.0151|2.55e-05|0.0106|3.31|0.0|2.77e-05|-0.04992|3.8436|3.8436|-1692.540795|672.74|1137.55|0.3927|322.58|509.61|0.68913|0.3927|-0.15835|-0.2082699999999999|6.6973|8.0458
1_a6 (SB-431542)|0|3.3674017380000003|0.0|0|1|1|1.430935835|0.0|-0.015636898|5.351858133|-0.175408303|1|0.1008839219999999|-0.029658865|10.94959842|-0.008385698|-0.033765606|-0.567791164|0.838928085|0.7462411859999999|-0.083341531|0.805877431|-0.126408788|0.033020439|-72.69619778|19.58668728|160.410387|240.8019609|105.3125675|0.7531996609999999|-44.47680367|87.15852628|-27.46300805|0.472445176|2678.823231|1890.228713|-16.29019397|0.2468003389999999|14.26172029|0.895537592|146.3942108|36.46179023|-300.3801761|1640.78056|513.4628663999999|1.0|1.0|1.0|2.0|3.25|-7.69|4.04|3.63|103.12|1.54|1.0|1.0|5.0|-6.73|384.39|0.0|0.0|1.0|2.85|-4.25|0.0116|5.660000000000001e-05|0.0218|2.7|0.0|7.81e-06|-0.05971|3.8208|3295.0|-1292.588032|619.92|1049.69|0.5765|324.5|464.07|0.55256|0.3346|-0.13329|-193.0|8.8611|5.8119
18_a10|0|0.0|0.0|1|2|2|1.243178376|2.142254323|-0.00309846|5.733341277|0.0307177839999999|2|-0.092424959|-0.052165302|10.92966688|0.010573165|-0.143149563|-0.220292492|0.7155022459999999|0.785539083|-0.0507442929999999|0.832812971|-0.0575419659999999|0.019095409|-48.27152552|12.12013168|40.99617452|72.64119073|123.3621791|0.641615544|-23.18149476|61.38857307|-15.79795381|0.4670293179999999|2788.499133|2137.914113|-10.02718922|0.358384456|13.51828833|0.876275815|227.471785|24.62214943|-179.7708584|1354.218219|713.2632062000001|0.0|1.0|1.0|0.0|4.07|-7.88|4.65|4.66|62.06|2.14|1.0|1.0|5.0|-6.34|412.48|0.0|1.0|1.0|3.67|-4.77|0.0138|1.7100000000000002e-05|0.00705|3.49|0.0|5.44e-06|-0.0495699999999999|5.7687|3.7977|-1336.433782|687.19|1181.5|0.2962|214.93|504.61|0.37729|0.1637|-0.15735|-0.20692|5.9029|6.8861
