molecula|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50
4h_a46|0|0.0|0.090767245|1|1|1|0.3002050539999999|2.134072222|-0.005778576|5.587248657999999|-0.346835467|2|-0.057256598|-0.021951549|10.31928028|0.003087227|-0.0488847059999999|-0.516344924|0.739180305|0.7543177040000001|-0.134568896|0.7955809979999999|-0.083155747|0.010068754|-65.90523417|7.900037181|105.2773797|182.6222935|19.09455432|0.805506105|-51.19164773|74.99848132|-23.9655397|0.4866209529999999|3472.1185880000003|3180.526173|-18.803584|0.194493895|15.85230406|0.947878486|152.6017078|29.75215152|-479.405829|1963642.0|1021.999374|1.0|0.0|1.0|2.0|4.63|-9.2|3.46|6.18|124.17|2.27|2.0|1.0|6.0|-6.38|502.63|1.0|0.0|0.0|3.82|-5.69|0.000149|2.06e-06|0.00104|4.21|1.0|3.210000000000001e-07|-0.0389199999999999|4.2444|4.18|-1923.926093|792.61|1397.46|0.5451|292.11|682.14|0.55428|291.0|-0.1711599999999999|-0.21008|2.9086|6.6402
6d_a40|0|0.0|0.0|1|1|2|0.604893491|1.695192271|-0.015362927|6.401917197|-0.091548968|0|-0.104206961|0.086704068|10.30179973|-0.00448098|-0.0603134|-0.624951805|0.6224555620000001|0.8361555479999999|-0.289988439|0.8988141140000001|-0.115007564|0.017359149|-76.51205671|11.10859664|192.5638526|215.22657540000003|38.04267542|0.86005241|-47.09642482|85.47607798|-32.02830281|0.428134701|3063.227702|3212.360755|-20.49579149|0.13994759|12.08146906|0.7486635420000001|89.55631|37.23994308|-460.8148719|1601.317552|555.2010623|1.0|0.0|1.0|1.0|3.98|-4.31|4.8|3.63|173.43|2.01|2.0|2.0|6.0|-6.36|460.52|1.0|0.0|1.0|3.43|-5.15|2.85e-05|7.1e-06|0.00327|3.87|0.0|0.0226|-0.09462|2.9559|2.9559|-2470.82949|656.5|1111.69|0.3518|419.45|511.88|0.6624800000000001|0.3518|-0.11938|-214.0|10.9021|8.9208
7_a4|0|0.0|0.0|1|1|1|1.343865525|2.060422336|-0.001729561|5.4161004020000005|-0.003297033|2|-0.07290303|-0.125778587|10.92992954|0.008242591|-0.094000778|-0.174410426|0.527072036|0.8046449179999999|0.0707653759999999|0.87010589|-0.0650223009999999|0.01470626|-35.88407105|7.402610584|14.01468959|87.67070691|79.08210981|0.7179916670000001|-16.47508541|44.34066533|-13.45652664|0.437317462|2286.169166|1915.566579|-6.773539148999999|0.282008333|9.797542165|0.7772010559999999|141.9530115|18.74189807|-219.4585767|749.6759227000001|407.1471338|1.0|1.0|1.0|0.0|3.05|-7.46|4.42|4.67|43.6|2.82|0.0|1.0|4.0|-6.03|330.36|0.0|1.0|1.0|3.56|-4.41|0.0514|3.92e-05|13.0|3.22|0.0|1.15e-05|-0.05217|4.0379|4.0379|-1089.870249|538.92|915.46|0.0697|307.05|365.73|0.59702|0.0697|-0.16975|-0.2219199999999999|4926.0|6821.0
3a_a12|0|0.0|0.0|0|1|1|1.28383802|0.0|-0.007671441|0.0|-0.042445446|2|-0.1231529169999999|-0.062973953|10.95455336|-0.001011111|-0.1213636769999999|-0.5274624179999999|0.943290857|0.7038021990000001|-0.032466697|0.759068438|-0.07121814|0.009433302|-44.430225|4.615711776|71.11710277|62.63745781|0.0|0.781050096|-17.05063286|52.21461165|-17.08854808|0.462077145|2045.857684|1050.730179|-8.361421244|0.2189499039999999|11.01449587|0.859002624|107.1321197|21.87893986|-275.0354486|853.2786545|381.0058252|1.0|1.0|1.0|1.0|3.84|-7.5|3.43|2.49|37.28|3.09|0.0|1.0|3.0|-5.88|298.34|0.0|1.0|1.0|2.98|-4.06|0.0745|8.8e-05|0.0263|3.15|0.0|9.33e-06|-0.06829|4.2336|3.7304|-951.3711872|528.84|875.71|0.3201|292.86|383.08|-0.34688|128.0|-0.15328|-0.22157|1.9332|6.7122
47s_a18|0|0.0|0.0|0|1|1|1.251176205|0.0|-0.0054038509999999|4.844187086|-0.045792331|0|-0.026883417|0.0134295589999999|10.94702059|0.003686393|-0.252119673|-0.46304239|0.724028067|0.712629555|-0.0540701129999999|0.745196689|-0.070258863|0.008446541|-61.36410696|6.394119331000001|10.92659868|117.0051929|51.05656345|0.820470855|-40.26287221|69.29837549|-22.79238258|0.4740142|2992.734821|1529.863965|-17.25406952|0.179529145|18.65422248|0.901192009|135.90542109999998|27.77963709|-485.1995077|1944.574596|1093.725912|1.0|1.0|1.0|2.0|4.41|-9.42|4.06|3.93|76.5|3.33|3.0|1.0|3.0|-5.96|482.62|0.0|1.0|0.0|3.19|-5.45|0.000539|3.53e-06|0.0017|4.62|0.0|1.84e-07|-0.0491399999999999|3218.0|3218.0|-1534.196027|809.4|1435.42|0.5203|385.29|736.36|0.6926800000000001|0.5203|-0.13195|-0.18109|2.9991|6.2104
13m_a6|0|3.415695704|0.0|0|0|0|1.429020166|0.0|-0.010840005|4.727387819|-0.135152403|2|0.021526267|0.054340057|10.9505335|-0.00687003|-0.118693789|-0.568024162|0.870730542|0.7767360059999999|-0.031564227|0.832753533|-0.0989137669999999|0.01858251|-75.05944278|12.95736535|91.22689385|198.3000783|95.67846949|0.7362989999999999|-48.09294654|89.65257305|-26.40980394|0.48094941|2951.567781|2574.030011|-18.41524497|0.263701|16.2526769|0.926594475|183.8755989|35.8683143|-329.5370141|1936.888972|724.3873672999999|1.0|1.0|1.0|3.0|3.59|-9.67|4.19|3.76|122.47|0.81|1.0|1.0|5.0|-7.23|435.48|0.0|0.0|1.0|2.67|-4.28|0.00987|5.24e-05|0.0228|2.43|0.0|9.35e-08|-0.07137|3.9127|3.3359|-1423.762467|726.28|1231.54|275.0|316.88|546.69|0.66475|0.1924|-0.13817|-0.20954|6.5243|8.0
14b_a23|1|0.0|0.0|2|0|0|1.197963628|3.2475997860000003|-0.006248709|5.351858133|-0.071396109|2|0.0519489729999999|-0.0644978|10.31321824|0.0075222369999999|-0.17267308|-0.4557487779999999|0.616699629|0.793551289|-0.077808321|0.857184548|-0.063267638|0.020454632|-53.44429544|13.26014776|40.76245006|99.66542762|84.36242964|0.774359705|-26.58857202|64.97993029|-22.74225338|0.450973737|2943.803333|2280.830615|-14.74314679|0.225640295|14.26820636|0.821406493|146.2760938|29.36910744|-355.71896410000005|1380.34805|599.5697147999999|0.0|0.0|1.0|1.0|3.42|-7.67|3.78|4.58|105.02|3.4|2.0|1.0|5.0|-6.31|429.47|0.0|0.0|0.0|3.78|-5.11|0.00114|7.73e-06|0.00332|3.68|0.0|9.18e-06|-0.07803|3706.0|3706.0|-1729.161608|673.05|1142.37|0.3603|334.55|525.66|0.58097|0.3603|-0.15064|-0.2286699999999999|9.7544|8.3536
4e_a49|0|0.0|0.0|1|1|1|1.343847746|2.085628989|-0.006602016|5.4161004020000005|-0.074495823|2|-0.080255074|-0.053787795|10.92777282|0.000660956|-0.060391347|-0.403194204|0.7541604690000001|0.803344301|0.032396301|0.856023531|-0.09422276|0.017142176|-53.89448633|10.51443916|313.22432680000003|149.0098632|60.11195021|0.650328475|-35.44835874|68.38360061|-17.96482878|0.471635821|2675.626006|1647.641653|-11.01902676|0.349671525|15.01788083|0.892633982|214.47685|27.6242383|-184.4129453|1408.836153|620.5697596|0.0|1.0|1.0|2.0|3.35|-7.36|3.4|2.83|92.93|1.25|1.0|1.0|5.0|-7.52|399.45|0.0|0.0|1.0|2.42|-3.52|211.0|0.000305|122.0|1.71|0.0|1.74e-05|-0.06461|5.7301|3.7876|-1313.199448|660.22|1128.64|0.2273|216.37|504.63|0.4078199999999999|0.0789|-0.1585099999999999|-0.2231199999999999|4.8707|7.4685
34_a20|0|0.0|0.0|1|0|0|1.416932073|1.877209467|-0.0057643419999999|4.727387819|-0.104520106|2|0.199191385|-0.046356705|10.93244905|0.003149352|0.057022334|-0.4478820739999999|0.7071284179999999|0.74801464|-0.090732503|0.80310139|-0.0851907119999999|0.0130295999999999|-57.49912174|8.766605631000001|297.5548445|136.81360859999998|80.66541842|0.776414086|-38.56497154|67.53437417|-21.69778179|0.462785432|2825.042137|2319.742032|-14.59875162|0.223585914|14.7802149|0.8614536140000001|150.43359099999998|27.94614651|-371.9551262|1481.145765|712.1606951|1.0|1.0|1.0|1.0|3.43|-9.18|4.5|4.62|86.69|2.47|2.0|1.0|4.0|-6.28|419.48|0.0|0.0|1.0|3.63|-5.02|0.00305|9.51e-06|0.00399|3.63|0.0|2.780000000000001e-07|-0.05181|5.4132|3.8699|-1352.31921|711.19|1205.64|0.4388|229.04|544.93|0.38519|0.0766|-0.16103|-0.21284|5.4994|7.2147
4m_a46|0|0.0|0.16407746|1|1|1|1.134637002|2.12888511|-0.000686578|5.587248657999999|0.051308728|1|-0.302054595|-0.142061192|10.94319657|0.010359417|-0.029022201|-0.098201489|0.615482006|0.747676221|0.011235955|0.7975218959999999|-0.067320375|0.010905551|-35.43866734|5.74716122|6.161736337000001|26.89046601|35.77391986|0.733236381|-18.69640205|41.88525631|-11.81288911|0.463006576|2133.331634|1639.260563|-6.225322922999999|0.266763619|9.923886653|0.8622201970000001|140.5828543|16.11061509|-245.828396|724.9776792|486.9589609|1.0|0.0|1.0|0.0|3.59|-6.88|4.25|4.63|54.5|2.5|1.0|1.0|3.0|-5.68|328.41|0.0|1.0|1.0|3.59|-4.57|0.00981|2.68e-05|0.0088|3.69|0.0|4.31e-05|-0.04808|6.0419|4.3476|-1031.138426|558.63|975.72|0.2465|205.21|468.63|0.38389|0.1557|-0.18308|-0.23116|5.2326|5.8901
