molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|FPSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
34_a20|0.0|0|0|0.0|0.0|1|0|0|1.416932073|1.877209467|-0.0057643419999999|-0.104520106|-0.328567476|0.003085806|-0.046356705|10.93244905|-0.054458882|1|1|0.003149352|0.327535029|0.0346782989999999|0.057022334|-0.4478820739999999|0.7071284179999999|-0.101401966|0.0130295999999999|-57.49912174|8.766605631000001|0.203342854|136.81360859999998|-0.032248904|5.898367836|0.776414086|-38.56497154|-21.69778179|66.0848174|0.462785432|2825.042137|536.0086996|-1149.982435|-14.59875162|0.223585914|7.940146766|14.7802149|0.8614536140000001|150.43359099999998|-773.7338361000001|27.94614651|0.01491516|-371.9551262|1481.145765|10.03525243|1.0|1.0|3.43|2.92|-9.18|4.5|4.62|2.47|2.0|0.0|125.0|0.0|5.0|-5.14|32.0|419.48|0.0|1.0|-5.02|0.00305|0.0|0.0|2.780000000000001e-07|-0.05181|4.97|3.8699|-1352.2836220000002|711.19|320.38|0.4388|229.04|544.93|0.38519|0.68845|0.0766|3.8519|0.03558836|5.4994|61.0|7.2147|7.2147
6e_a40|0.0|0|0|0.0|0.0|1|1|2|0.604892975|1.75595616|-0.0148450439999999|-0.074872854|-0.69771706|-0.0026177839999999|0.103594243|10.30179954|-0.205140551|2|2|-0.002992481|-0.276969278|-0.020200684|-0.037027769|-0.6319354389999999|0.685858263|-0.011405885|0.015875595|-76.50178121|10.43262695|0.25379524|166.7812216|-0.04873174|6.85578763|0.866991176|-46.34235117|-32.02400144|80.95296505|0.441911406|3075.060648|490.3675161000001|-1377.032062|-21.04453212|0.133008824|6.972949117000001|12.49434084|0.791830204|87.40658058|-904.9148811|36.93694043|0.012858969|-482.3355765|1588.2884390000002|8.450255075|0.0|1.0|3.98|3.16|-4.63|5.02|3.72|2.12|2.0|2.0|125.15|1.0|5.0|-7.76|30.0|476.98|0.0|1.0|-5.58|8.31e-06|1.0|0.0|0.0112|-0.09682|8.35|2.9549|-2831.156883|671.95|419.59|0.3625|419.59|537.07|0.67187|0.67187|0.3625|8.3311|0.03482243|11.5248|18.0|7.7447|7.7447
8m_a46|0.0|0|0|0.0|0.2148468989999999|1|1|1|1.160371261|2.126524943|-0.00517896|-0.085284636|-0.248590088|0.0063680119999999|-0.120972269|10.94650201|-0.064176245|1|1|0.005865049|-0.206020062|0.010184776|0.015631887|-0.380393836|0.783187801|-0.084989948|0.007059399|-45.17474201|3.742817678|0.123789645|65.63194084|-0.032188531|1.984401749|0.8854896870000001|-25.62105988|-17.06601365|52.0671834|0.425802465|2045.330306|464.5573228999999|-767.9706141|-9.04821721|0.114510313|5.684332261000001|9.899611044|0.7415609409999999|60.71213839999999|-407.1697745|19.27296714|0.006689855|-408.7649869|867.2835213999999|3.546889545|1.0|1.0|3.24|2.92|-6.46|4.16|4.21|2.62|1.0|0.0|96.16|0.0|2.0|-4.48|24.0|319.4|1.0|1.0|-4.56|0.0105|0.0|0.0|0.000112|-0.01818|4.12|4.2881|-1014.091966|570.72|289.14|0.3905|233.66|489.57|0.43001|0.6997800000000001|0.1441|2.0174|0.03472717|3.1675|229.0|6.6402|6.6402
7d_a10|0.0|0|0|0.0|0.0|1|1|1|1.34384996|2.087763133|-0.00179944|-0.017919404|-0.0845736919999999|0.00870171|-0.071185424|10.929819300000002|-0.0325418129999999|1|1|0.008513576|-0.09209689|-0.041520889|-0.089622042|-0.2018053139999999|0.531023495|0.0658971929999999|0.010495008|-37.61597161|5.567989142999999|0.158947933|84.32774259|-0.024733154|2.9540236560000004|0.729585423|-16.69900016|-13.12185056|37.04365163|0.484115691|2348.343588|446.2091497|-564.2395741|-6.961625817000001|0.270414577|6.100927672|11.82615475|0.938419104|143.4649092|-299.34991010000005|17.98535187|0.014078094|-243.607074|773.3701306|7.468948447000001|1.0|0.0|3.21|3.21|-7.83|4.92|4.97|3.04|1.0|0.0|100.04|0.0|2.0|-4.22|26.0|344.38|1.0|1.0|-4.72|0.0206|0.0|0.0|5.04e-06|-0.05634|3.49|3.8856|-1129.175857|574.87|319.09|0.2593|212.18|417.68|0.32059|0.68393|0.0941|3.0178|0.02250617|3.4695|928.0|6.0325|6.0325
12be_a36|0.0|0|0|3.466734143|0.0|0|2|2|1.297042758|0.0|-0.009368126|-0.0419484829999999|-0.580823835|0.000482522|-0.08981965|10.95957887|0.00430921|1|1|0.002872872|0.19405344|-0.176729938|-0.289604649|-0.3825349939999999|0.884226781|0.132962547|0.033763464|-75.59805505|23.42501577|0.201984123|140.1361326|-0.031937334|16.25222352|0.5660743979999999|-37.57129686|-22.15805062|77.57811183|0.4564615729999999|3039.9167260000004|553.6616295|-1285.166936|-15.37320593|0.433925602|8.773114043|16.14074295|0.839796323|301.05661160000005|-891.645944|39.14335412|0.034632557|-91.68453892|2270.314539|24.02799032|0.0|2.0|4.96|0.0|-6.79|2.83|1.9|1.42|1.0|0.0|136.74|0.0|7.0|-4.11|33.0|441.49|0.0|0.0|-4.15|0.0342|1.0|0.0|7.11e-05|-0.0518799999999999|2.68|3.3487|-1461.968283|739.48|370.25|0.7034|237.59|594.44|0.40844|0.70465|0.0018|7.7861|0.03245204|10.3044|44.0|7.3565|7.3565
12ad_a36|0.0|0|0|3.428443248|0.0|0|2|2|1.297042846|0.0|-0.01083262|-0.073048351|-0.649957196|-0.001148437|-0.0072527669999999|10.95445455|0.010723827|1|1|0.000906224|0.077659878|-0.136151085|-0.227404687|-0.478461478|0.817851296|0.1563642469999999|0.030769062|-76.30379737|21.78471426|0.239732231|169.7321223|-0.0365657189999999|15.4237324|0.656407461|-41.30726219|-25.88878839|80.12771975|0.477102332|3041.082692|538.2749789|-1449.77215|-18.32944602|0.343592539|8.770308295|16.772513699999998|0.912420081|243.2659577|-1026.448977|39.44011905|0.028968808|-221.4751857|2208.646667|20.51012207|0.0|2.0|4.9|0.0|-6.62|2.7|1.67|1.89|1.0|0.0|135.03|0.0|7.0|-4.18|33.0|439.47|0.0|0.0|-4.08|0.0289|0.0|0.0|0.000106|-0.05406|4.5|3.8512|-1460.794632|737.53|321.93|0.6073|216.26|588.2|0.27316|0.67215|0.2532|5.3349|0.03648828|6.8996|17.0|7.7696|7.7696
8f_a12|0.0|1|1|0.0|0.0|0|1|1|0.609895166|0.0|-0.008295703|-0.062406088|-0.3981937339999999|-0.002596875|0.028505422|10.31134658|-0.024023866|1|1|-0.00094279|-0.023769395|-0.070713228|-0.125424286|-0.560548116|0.902669729|-0.13747286|0.013287637|-56.220383|7.550959323|0.130176823|73.97552223|-0.03822396|4.290980116|0.8381234340000001|-23.45595611|-21.72151161|48.82707007|0.460344828|2541.921472|494.2940092|-955.746511|-12.34367323|0.161876566|7.016225129|13.00131176|0.853035146|91.98952021|-543.1216218999999|25.9168408|0.012030968|-384.290491|1140.340995|6.836832748|1.0|1.0|4.09|3.26|-8.42|4.99|3.41|3.1|2.0|0.0|115.66|0.0|3.0|-5.7|27.0|369.44|1.0|1.0|-5.24|0.000735|0.0|0.0|1.4e-06|-0.06179|4.19|3.6536|-1481.115891|606.97|339.35|312.0|297.01|441.97|0.59107|0.65098|0.2466|0.9092|0.03056355|1.4701|646.0|6.1898|6.1898
12ab_a30|0.0|0|0|0.0|0.0|0|2|2|0.604983638|0.0|-0.008528077|-0.030346359|-0.520212725|0.003529389|0.038312857|10.31162784|0.01563558|1|1|0.005111479|0.03046828|-0.12254489|-0.207153446|-0.384942092|0.8397577820000001|0.078325164|0.031588146|-71.0035788|22.23130678|0.200246511|140.93076580000002|-0.031859359|15.64609074|0.603952976|-40.9825333|-22.42218278|80.46280277|0.461207954|3118.431712|562.8556061|-1278.064418|-15.78042667|0.3960470239999999|8.44310703|15.6704374|0.856003642|278.7324985|-899.4843201|37.1257096|0.030534507|-146.321375|2116.165447|21.48976996|0.0|1.0|4.87|0.0|-6.83|3.94|2.63|2.2|2.0|0.0|140.26|0.0|7.0|-5.61|33.0|458.54|0.0|0.0|-5.0|0.00113|0.0|0.0|6.720000000000001e-05|-49.0|3.34|3.4919|-1804.79081|753.75|355.06|0.1957|258.2|613.7|0.46561|0.68324|0.1511|6.9089|0.03368522|7.4968|17.0|7.7825|7.7825
13b_a30|0.0|0|0|0.0|0.0|0|2|2|0.604984129|0.0|-0.011016128|-0.118776867|-0.627919307|-0.003436924|0.042845487|10.31162842|-0.0463169629999999|1|1|-0.002215642|-0.062905093|0.003429114|0.006103754|-0.564815317|0.841060094|-0.045844862|0.018555474|-76.67161447|12.52854078|0.305898198|206.54056530000005|-0.042850934|8.459192992|0.800290866|-50.13056864|-28.93268471|86.77473353|0.454574838|3002.926824|468.6532296|-1533.432289|-19.53516918|0.1997091339999999|8.804739699999999|16.1428924|0.8334321|134.8423681|-1035.363967|36.15271139|0.017174033|-405.5090587|1916.093704|11.59580043|0.0|2.0|4.76|0.0|-6.19|3.04|1.72|2.06|1.0|0.0|135.37|0.0|6.0|-5.01|32.0|441.51|0.0|0.0|-4.3|0.00427|0.0|0.0|0.000288|-0.05434|4.54|3.5056|-1744.446479|721.48|353.68|0.2783|245.51|544.04|0.32563|0.6862699999999999|0.1415|3.8495|0.0455651|5.3762|26.0|7.5901|7.5901
12e_a31|0.0|0|0|3.483599061|0.0|0|1|1|0.610134116|0.0|-0.011519192|-0.044316064|-0.70267073|-0.002475146|-0.107630327|10.3116965|-0.015755876|2|2|-0.000231353|0.01824365|-0.08867626|-0.142921555|-0.543945776|0.7968154940000001|-0.039273975|0.02665413|-79.96257188|19.38343763|0.2784732339999999|202.5115275|-0.036652129|14.09603901|0.725120432|-49.6906263|-26.65419063|87.71292755|0.474858042|3040.353774|524.7092721|-1519.288866|-19.38348182|0.274879568|10.24381236|19.50674899|0.904247004|199.8981394|-1104.858464|36.75829484|0.020841203|-327.4245209|2095.222806|15.15615632|1.0|2.0|3.87|3.72|-9.31|6.69|5.4|2.21|3.0|0.0|129.38|0.0|9.0|-6.66|33.0|460.55|0.0|1.0|-5.42|9.96e-05|0.0|0.0|2.27e-07|-0.03445|6.33|3.8391|-1809.85374|781.61|322.95|0.3831|232.77|640.03|0.55114|0.7006600000000001|0.2627|2.6024|0.04614662|3.4818|0.17|6.7696|6.7696
