molecula|n9FaHRing|n9FaRing|SaaNH|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
18b_a25|0|0|0.0|0|0|1.194228955|1.824998189|-0.147813831|-0.003259453|4.727387819|0.0131826839999999|0.038137255|-0.018632104|-0.189048258|10.31286058|0.0009956189999999|1|1|0.00598031|-0.034703635|-0.061048368|-0.303383008|2|-0.026045966|0.6915652390000001|1|-0.063132226|-0.078644297|0.01278627|-44.30110081|8.972372556|80.36582704|44.73187305|-0.0305838929999999|-38.7252349|0.7847794690000001|-21.46130777|53.27347337|0.493622561|656.9874135|-1158.910619|2327.4502850000003|8.654596906|17.09119768|27.34692815|0.013724883|1476.7341199999998|809.2903831|1.0|1.0|1.0|1.0|3.58|27.0|-9.84|5.59|111.51|2.2|1.0|6.0|-6.54|34.0|4.0|-5.93|460.55|0.0|1.0|4.35|0.000132|1.95e-06|0.000899|0.0|1.4500000000000002e-10|6.690000000000001e-08|4.32|3.6826|728.12|223.65|0.36733|0.54166|-1767.2232149999998|2.8141|-0.22145|0.03002332|-1767.286778|51.0|7.2924|7.2924
1j_a5|0|0|2.9426852410000004|0|0|1.427567371|0.0|-0.2031633169999999|-0.003981454|4.59511985|-0.010620031|0.025987654|-0.115553003|-0.175183967|10.9487794|-0.032333695|1|1|0.006957291|-0.010807075|-0.0178558139999999|-0.2470489089999999|2|-0.084090414|0.717355058|0|-0.073803258|-0.074505844|0.019690225|-39.64241895|10.57633738|73.73338699|82.09385267|-0.027258236|-21.49609451|0.616489567|-14.64139152|50.21875634|0.469085779|455.0425806|-600.2970524|847.5275797|7.328149934|13.80288876|23.74961767|0.026739895|973.7343247|422.96706330000006|1.0|1.0|1.0|1.0|2.76|23.0|-8.14|4.21|63.69|1.57|1.0|4.0|-4.03|25.0|4.0|-6.15|328.37|0.0|1.0|3.19|0.0304|6.29e-05|0.0206|0.0|7.190000000000001e-09|2.36e-06|2.61|4.1205|572.47|279.68|0.66182|0.6449|-1065.671975|2.2503|-0.20645|0.03246499|-1065.723417|24.0|7.6198|7.6198
9_a27|0|0|2.627701427|0|0|1.391067068|1.830911754|0.164227115|-0.0073742819999999|4.727387819|-0.050617284|0.042847222|-0.152086653|-0.331842668|10.93740461|-0.0447599329999999|1|1|0.00651856|-0.101933162|-0.171520296|-0.541535578|2|0.017503266|0.654138816|1|-0.078270599|-0.088404481|0.019589991|-40.3551562|10.10030794|128.27738490000002|103.702486|-0.033677898|-23.50038785|0.7892801540000001|-17.36382286|50.45546414|0.466349763|411.8826346|-729.2805601|1463.168883|5.03925321|9.442988795|21.99956856|0.014524299|923.9818797|424.8821143|1.0|0.0|1.0|1.0|3.12|21.0|-7.06|3.04|76.46|2.66|1.0|3.0|-4.06|25.0|4.0|-6.33|331.37|0.0|1.0|2.99|0.0287|8.28e-05|0.0274|0.0|8.69e-08|2.88e-05|4.67|4.1673|549.64|223.71|0.35593|0.59444|-1082.965434|2.7456|-0.2187|0.02461151|-1083.017359|2.0|8699.0|8699.0
12aj_a36|0|0|3.482902101|2|2|1.29704406|0.0|-0.056210607|-0.00706023|5.351858133|-0.045035034|0.043848238|0.064171987|-0.402433117|10.95354213|-0.042227364|1|1|0.003962098|-0.104118159|-0.1763783589999999|-0.43462267|1|0.091113865|0.856274847|0|-0.073002742|-0.10279655|0.018305468|-46.79363201|11.73352271|82.34300699|110.89910559999998|-0.0368515929999999|-42.23511741|0.77492734|-23.62130319|58.52715472|0.47532973|530.0854761|-1251.929069|2275.825451|8.056502837|15.35536375|30.48195872|0.016684569|1615.543812|662.0530478999999|1.0|0.0|0.0|2.0|4.84|17.0|-6.97|2.19|69.2|2.24|1.0|5.0|-4.16|30.0|4.0|-6.55|395.46|0.0|0.0|2.14|0.0274|5.05e-05|0.02|0.0|1.08e-07|4.270000000000001e-05|3.48|3.6017|682.84|237.06|0.4112|0.70423|-1271.9998859999998|5.8554|-0.20093|0.03225532|-1272.060325|17.0|7.7696|7.7696
5_a4|0|0|0.0|1|1|1.343864516|2.166832955|-0.196773454|-0.001215982|5.4161004020000005|0.02257929|0.035994832|0.012532807|-0.0607990979999999|10.92992834|-0.134215501|1|1|0.0111310589999999|-0.0471580309999999|-0.076189222|-0.164263889|2|-0.165454845|0.650346601|1|-0.050732198|-0.0681917309999999|0.008047242|-27.26045038|4.324106888|13.96974087|30.54859623|-0.025201292|-19.68930579|0.807351587|-13.54166762|31.58455727|0.413773331|506.7916175|-622.9167106000001|1896.178084|5.758733969|9.823391314|16.77294978|0.009538616|771.5556899000001|518.5792364|1.0|1.0|1.0|0.0|3.27|21.0|-7.96|4.67|43.6|2.88|1.0|3.0|-4.57|26.0|3.0|-5.57|340.42|0.0|1.0|3.89|0.00925|1.4499999999999998e-05|0.0049299999999999|0.0|1.09e-08|3.71e-06|3.71|4.0239|595.55|255.2|0.60407|0.6019899999999999|-1069.051141|2.7859|-0.21857|0.02251645|-1069.102899|71.0|7.1487|7.1487
4g_a49|0|0|0.0|2|2|1.343847279|4.107873566|-0.087219006|-0.003686314|6.107022888|-0.008414823|0.036761229|-0.085731041|-0.328081947|10.92777048|0.08591712|2|2|0.007845545|-0.038698906|-0.066023903|-0.311927917|4|-0.027032199|0.626581708|2|-0.061465364|-0.0666753309999999|0.018944337|-61.24875669|18.87757641|151.0705543|139.3194688|-0.0250032489999999|-66.20622488|0.6273572239999999|-24.91513644|80.12633309|0.48934952|857.1564845|-1993.210915|4747.967275999999|9.28937554|18.19125978|39.71443299|0.023762615|3177.154639|1714.878736|0.0|0.0|0.0|1.0|4.83|42.0|-13.67|7.56|116.3|2.87|0.0|7.0|-7.47|51.0|7.0|-6.6|663.73|1.0|0.0|5.23|2.24e-05|3.72e-08|2.47e-05|1.0|2.13e-14|1.4199999999999998e-11|6.35|3.6269|985.89|287.56|0.33449|0.69238|-2147.217543|3.4099|-0.21545|0.05838924|-2147.295787|106.0|6.9747|6.9747
19_a3|0|0|2.917217813|0|0|1.4316666480000002|0.0|-0.206312209|-0.003417504|4.59511985|-0.030657|0.0386379929999999|-0.008897473|-0.129865138|10.96959256|0.036226415|1|1|0.006731579|-0.037291767|-0.066245471|-0.270506095|3|-0.0150769919999999|0.687139108|1|-0.067674689|-0.087730634|0.0116401719999999|-31.50932639|5.419662458|161.5312186|68.43484547|-0.032585664|-19.01853079|0.75798185|-15.17188084|36.92898885|0.476813896|397.1650228|-531.0158295|869.7868956|5.342307798999999|10.21110415|20.01615321|0.016552404|700.5653624|314.0966684|1.0|1.0|0.0|1.0|2.81|21.0|-7.21|3.39|67.35|1.18|1.0|2.0|-3.24|22.0|4.0|-6.5|287.32|0.0|1.0|2.45|166.0|0.000266|0.0764|0.0|6.18e-08|1.7800000000000002e-05|2.43|3945.0|499.93|314.28|0.67351|0.67351|-929.14689|2191.0|-0.2206|0.020989746|-929.193831|23.0|7.6383|7.6383
12_a4|0|0|0.0|1|1|0.295190368|2.070952433|-0.1494133309999999|-0.0021497879999999|5.4161004020000005|-0.271149771|0.0381179139999999|-0.0334644329999999|-0.113938738|10.31168324|0.028152112|1|1|0.009024784|-0.051501982|-0.085553511|-0.220286906|2|-0.036425699|0.531333552|1|-0.070256284|-0.074699711|0.01168879|-41.69390404|6.936764267999999|15.80191019|115.5823166|-0.025916226|-26.30835499|0.717772573|-15.38009964|48.6306683|0.470780296|477.8721263000001|-753.6248824|1962.933988|6.223583758999999|11.7599245|21.42753878|0.015603795|1049.9494|608.4548423|1.0|0.0|1.0|0.0|3.41|21.0|-7.84|4.98|86.12|2.17|1.0|4.0|-4.18|29.0|5.0|-6.84|404.48|0.0|1.0|3.3|0.0266|4.64e-05|0.0188|0.0|1.45e-08|5.85e-06|6.12|3.8083|640.67|255.16|0.63967|0.68825|-1617.57796|7.8701|-0.2312199999999999|0.03555871|-1617.634733|9.29|5032.0|5032.0
9s_a24|0|0|2.9568988810000003|1|1|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|0.023585859|-0.050919714|-0.190782186|10.96129902|0.013901071|1|1|0.007695726|-0.204128966|-0.359715589|-0.248704391|3|0.030228027|0.748077475|0|-0.049825449|-0.063587778|0.016792118|-30.93968263|10.42725806|33.24649431|72.43525688|-0.019465646|-24.51900941|0.445160769|-12.08741583|41.36694069|0.47085169|548.5261887|-592.2833757999999|969.5210193|9.124394347|17.24354813|27.15292246|0.03496522|1330.4932|604.8829955|0.0|1.0|1.0|1.0|3.43|29.0|-8.11|4.29|77.21|0.81|1.0|4.0|-3.36|30.0|4.0|-7.2|393.44|0.0|0.0|2.63|171.0|8.71e-05|0.0343|0.0|7.73e-09|3.04e-06|1.82|2.6707|654.28|403.51|0.69475|0.6907300000000001|-1270.738032|4.6141|-0.14462|0.03640642|-1270.796154|32.0|7.4949|7.4949
12h_a40|0|0|0.0|0|0|0.60499064|1.760542171|0.104392974|-0.008044548|5.4161004020000005|-0.107711573|0.041915709|0.208938531|-0.289603712|10.31197256|-0.21893421|2|2|-0.002126898|0.127299624|0.224167029|-0.556229094|0|0.116873629|0.6948809659999999|1|-0.0954337969999999|-0.091448888|0.0117142839999999|-50.45378559|6.193088525|208.6717565|84.86252967|-0.038796498|-25.56004046|0.844008584|-20.51086984|56.64687411|0.4958138139999999|443.8158546|-676.8587047999999|603.6697997|7.989299324|15.84593062|24.30173133|0.012453938|801.957134|350.9435025|1.0|0.0|1.0|1.0|3.19|20.0|-6.84|5.02|84.45|3.76|1.0|2.0|-6.25|23.0|2.0|-5.13|361.25|0.0|1.0|4.22|0.0002009999999999|2.61e-06|0.000942|0.0|1.44e-07|5.2e-05|4.14|2.6436|548.82|298.7|0.6503899999999999|0.7041|-2153.072091|2.5573|-0.18432|0.02044063|-2153.123274|823.0|6.0846|6.0846
