molecula|n9FaHRing|n9FaRing|SaaNH|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
27b_a34|0|0|0.0|1|1|1.4335271040000002|2.013418486|-0.056026127|-0.010183855|5.351858133|-0.016803292|0.042739018|-0.106245942|-0.549928192|10.95430634|-0.027175221|1|1|0.001228116|-0.194619338|-0.322091086|-0.463926296|1|0.00102838|0.770240631|0|-0.08757938|-0.109683855|0.031021066|-57.66200309|20.42417736|150.83624440000003|142.58786569999998|-0.037292511|-47.54648562|0.712312759|-24.553278|78.08618045|0.4072752529999999|515.8091561000001|-1227.6639|2431.595232|9.124440695|15.39406063|34.46979951|0.022820627|1723.489976|627.4287311|1.0|1.0|1.0|1.0|3.54|23.0|-8.19|4.11|84.99|1.83|1.0|5.0|-5.23|31.0|5.0|-6.14|409.44|0.0|1.0|3.46|0.00243|1.1e-05|0.00449|0.0|6.53e-09|2.67e-06|4.33|4.0935|691.97|257.4|0.47412|0.70001|-1349.811401|11.8546|-0.20649|0.03640275|-1349.873325|0.65|6.1871|6.1871
14r_a23|1|1|0.0|0|0|1.197963203|3.201732471|-0.009140243|-0.006323791|5.351858133|-0.06921746|0.045277778|0.014148395|-0.322513347|10.31321824|-0.064006338|2|2|0.0075222369999999|-0.073945564|-0.17267308|-0.454010253|2|0.03753491|0.5935522360000001|1|-0.062618931|-0.085881409|0.019185345|-40.32463891|12.35476415|47.26552456|86.14846171|-0.03654528|-35.61466281|0.7882228370000001|-23.53402098|52.67940305|0.4661909429999999|557.8203557999999|-1106.098986|2306.754114|7.555307147000001|14.15357616|29.85706563|0.017092103|1403.282085|599.5697147999999|0.0|0.0|1.0|1.0|3.47|26.0|-7.67|4.58|105.02|3.4|1.0|5.0|-5.58|31.0|5.0|-6.31|429.47|0.0|0.0|3.7|0.00114|7.73e-06|0.00332|0.0|2.14e-08|9.18e-06|3.72|3.1797|678.08|208.71|0.30482|0.68115|-1728.924789|6.2620000000000005|-0.22378|0.02296354|-1728.98403|5.0|8.2684|8.2684
19_a34|0|0|0.0|1|1|1.438829424|1.898101852|-0.068004837|-0.013066507|5.351858133|-0.169170251|0.044107744|-0.189862762|-0.5357267960000001|10.95957634|-0.014196676|1|1|-0.0042364759999999|-0.255220734|-0.401414514|-0.469568766|1|0.08178394|0.818710955|0|-0.112877411|-0.1255804019999999|0.039589023|-56.30608209|19.74799697|131.5318459|179.6256831|-0.039656969|-31.24772528|0.662289492|-19.78189027|76.05407906|0.467358389|319.1993829|-751.7118302|1537.244187|5.495780422|10.31797048|29.86894781|0.029554695|1135.020017|337.9440349|0.0|1.0|0.0|1.0|3.07|17.0|-5.03|2.31|69.4|1.08|2.0|3.0|-2.73|23.0|5.0|-7.01|309.32|0.0|1.0|2.1|574.0|0.000704|218.0|0.0|9.42e-06|0.00291|2.7|4.1721|538.96|297.18|0.6897300000000001|0.6897300000000001|-1046.458335|3.4272|-0.20251|0.03168624|-1046.509891|0.99|6.0044|6.0044
18_a47|1|1|2.969619451|0|0|1.414391819|0.0|-0.141396999|-0.004337918|4.59511985|-0.06345679|0.037919622|-0.026357805|-0.2342475789999999|10.93838451|-0.016728205|1|1|0.0015586929999999|-0.02470455|-0.053119347|-0.322800033|3|-0.059779939|0.630969651|1|-0.078937385|-0.084415066|0.014741763|-49.44908758|9.234746417|70.55642796|139.1786571|-0.0303894239999999|-33.12615721|0.7327484470000001|-19.03697822|58.68383399|0.432077184|487.2556678|-951.8489108|2184.962887|7.018342267|12.35791568|25.98023687|0.017318402|1299.011844|628.5247532999999|1.0|1.0|0.0|2.0|3.47|27.0|-10.36|6.0|79.38|2.63|0.0|4.0|-5.5|31.0|5.0|-5.87|410.45|1.0|1.0|4.16|0.00129|4.29e-06|0.00176|0.0|4.34e-11|1.78e-08|3.32|4.2222|652.12|290.58|0.4659|0.63359|-1353.979194|3.4464|-0.22313|0.04031146|-1354.037606|3.0|8.6|8.6
6_a47|0|0|0.0|0|0|1.304328257|0.0|0.011739916|-0.008723045|0.0|-0.1738997619999999|0.042276423|-0.14404966|-0.392537045|10.93671042|0.0402365489999999|0|0|-0.0094242819999999|-0.020576777|-0.04324355|-0.459934519|2|-0.149904224|0.672308592|1|-0.080118846|-0.096689626|0.009820713|-43.43026699|5.323543706000001|101.7290544|85.6917678|-0.036834143|-28.411587800000003|0.7943908059999999|-19.96679614|48.75381069|0.4059072379999999|456.3812788|-838.6054381|1577.98246|6.480620646|10.90843226|25.13472712|0.0154005|1055.658539|469.7495559|1.0|1.0|0.0|2.0|2.82|22.0|-9.06|6.27|58.04|3.48|1.0|3.0|-6.02|27.0|4.0|-5.02|379.81|1.0|1.0|4.59|0.000362|1.63e-06|0.000619|0.0|8.71e-10|3.310000000000001e-07|4.69|3.7196|576.56|224.66|0.30468|0.69305|-1608.50108|3.2606|-0.20794|0.03288085|-1608.554019|13.0|7.9|7.9
8a_a50|1|1|3.139870661|1|1|1.39826105|2.03117465|-0.0737162059999999|-0.00439531|5.777652323|-0.021959577|0.03904321|-0.0224366579999999|-0.188998337|10.94501357|-0.058014797|2|2|0.007801731|-0.065546446|-0.11385159|-0.352654037|1|-0.188882361|0.7135713840000001|1|-0.069208148|-0.08230347|0.018809422|-34.88425666|9.480859015|133.8183888|70.12485884|-0.031655181|-20.91041439|0.751415713|-15.95574341|44.36511568|0.46183401|433.9235497|-622.2739931|1503.563342|5.754657432|10.69309012|21.23424244|0.017017336|828.1354551|388.171611|1.0|1.0|0.0|1.0|3.34|20.0|-6.32|3.71|59.39|2.02|1.0|2.0|-3.86|24.0|3.0|-6.12|313.36|0.0|1.0|2.87|0.0433|7.48e-05|0.0234|0.0|4.82e-07|0.000151|2.69|4.1738|548.47|220.53|0.3462199999999999|0.60625|-1006.508913|3.5509|-0.20051|0.03479985|-1006.557694|47.0|7.3279|7.3279
13b_a6|0|0|3.423777636|1|1|1.430640379|0.0|-0.0411179|-0.011206134|5.351858133|-0.0265090529999999|0.042739018|0.060593678|-0.6051312529999999|10.95129557|-0.064811009|1|1|-0.00194781|-0.10896749|-0.180339002|-0.490758329|1|-0.029988734|0.8013954109999999|0|-0.093125205|-0.112915801|0.032036214|-61.06841733|21.00828557|154.7847961|147.0772097|-0.0406496879999999|-48.5571926|0.757233678|-26.65671602|82.07670290000002|0.408780634|508.6895893|-1332.835801|2587.000662|9.087172635|15.37022155|35.20276076|0.0203627189999999|1760.1380379999998|627.4287311|1.0|1.0|1.0|2.0|3.56|23.0|-9.01|4.32|95.85|1.29|1.0|5.0|-5.51|31.0|5.0|-6.1|409.44|0.0|1.0|3.45|0.0012699999999999|1.02e-05|0.00417|0.0|9.77e-10|4e-07|4.04|3.6322|694.33|255.67|0.58026|0.7006600000000001|-1349.837661|10.8032|-0.20156|0.02920955|-1349.898848|174.0|6.7595|6.7595
11b_a50|1|1|0.0|1|1|1.3979498330000002|4.071188272|-0.154649459|-0.002908227|5.82008293|-0.014702942|0.038040936|-0.007722567|-0.13377846|10.94500697|-0.133073229|2|2|0.012037198|-0.162848233|-0.277408878|-0.266743077|1|-0.146696566|0.667956827|1|-0.0445367309999999|-0.069841183|0.019455771|-23.23499995|10.1501574|7.949039772000001|35.832562100000004|-0.02494328|-19.0090431|0.642051995|-13.01301376|33.38515735|0.42907551|485.8716402|-546.5465781|1650.235214|5.697537591000001|9.979494111|20.26785036|0.021631609|851.2497152000001|439.9973344|0.0|0.0|1.0|0.0|3.44|20.0|-5.87|3.73|48.53|2.25|2.0|2.0|-3.58|25.0|3.0|-6.24|327.38|0.0|1.0|2.96|0.0862|6.97e-05|0.0228|0.0|1.35e-06|0.000441|3.05|3.9863|560.06|266.8|0.53885|0.64477|-1045.798634|2.7805|-0.19501|0.02113855|-1045.849774|1.7|5.7696|5.7696
10_a15|0|0|0.0|0|0|1.4356889780000002|0.0|-0.137104477|-0.006872984|0.0|-0.0435725659999999|0.037209302|-0.0869138469999999|-0.384887119|10.95972828|0.010152859|0|0|0.0034254209999999|-0.120626133|-0.184255041|-0.391156537|2|0.0107135269999999|0.7933685340000001|0|-0.052826735|-0.101494566|0.010485777|-30.73805622|6.101312009|6.497096666|38.90530741|-0.036384844|-34.36276159|0.8301726490000001|-21.17108692|36.83936823|0.449323734|542.9602292000001|-1122.067607|2305.991259|5.555044294|10.08767698|25.50202895|0.0116026369999999|1351.607534|673.7288405|1.0|1.0|1.0|1.0|3.58|24.0|-9.82|6.3|56.27|2.87|1.0|6.0|-6.22|30.0|4.0|-4.97|397.47|1.0|1.0|4.69|0.0002379999999999|1.47e-06|0.000584|0.0|1.51e-10|5.99e-08|5.16|3.6448|631.2|277.48|0.66799|0.70313|-1280.804272|1.6654|-0.18958|0.02738146|-1280.862627|7.0|8.1549|8.1549
12l_a36|0|0|3.426092687|2|2|1.297044247|0.0|-0.0944961519999999|-0.0076430169999999|5.351858133|-0.008712073|0.039061728|0.128666217|-0.4203659179999999|10.95423322|-0.0452558729999999|1|1|0.001194592|-0.098598933|-0.175397741|-0.428857427|1|-0.041707369|0.8212311840000001|0|-0.079972189|-0.107815735|0.0220227089999999|-52.05361632|14.33450402|39.27257375|101.6575135|-0.038052612|-45.67788557|0.7379583590000001|-24.7683114|66.38812034|0.4619814279999999|549.2389652|-1263.1838810000002|2385.788754|7.471134223|13.88638723|33.56329135|0.02088234|1711.727859|642.3830552000001|1.0|0.0|1.0|2.0|4.78|17.0|-6.66|1.76|92.99|1.38|1.0|5.0|-4.57|31.0|5.0|-6.68|406.44|0.0|0.0|1.77|0.0111|5.08e-05|0.0206|0.0|2.21e-07|8.97e-05|2.98|3.8619|686.83|321.05|0.6925|0.6925|-1324.954011|5392.0|-0.20973|0.03508404|-1325.0137550000002|0.02|7699.0|7699.0
24_a47|1|1|0.0|0|0|1.304328602|1.225600378|0.0453435129999999|-0.010774404|4.727387819|-0.1160443999999999|0.039520202|0.0251322929999999|-0.484848181|10.95005721|0.071506228|1|1|-0.004514441|-0.111494046|-0.2494728939999999|-0.540463145|2|-0.005097239|0.627160379|1|-0.075894947|-0.090995097|0.021522987|-42.71324947|12.11301576|41.72753688|121.5922303|-0.032498249|-28.82156035|0.611603578|-18.28983173|54.82626523|0.479188295|441.2021442|-768.1729327|1239.381181|7.024694045|13.48797266|29.90471672|0.032103375|1255.998102|457.1122177|0.0|1.0|1.0|2.0|3.14|21.0|-7.63|4.64|84.73|2.86|1.0|5.0|-4.61|28.0|5.0|-6.48|396.81|0.0|1.0|3.31|0.00975|3.05e-05|0.0121|0.0|2.32e-08|9.22e-06|4.46|3.9675|578.94|312.5|0.6835|0.6835|-1695.93106|2.6517|-0.2285|0.03414611|-1695.98597|3.0|8.5|8.5
14h_a23|1|1|0.0|0|0|1.197963488|3.309480899|0.043538466|-0.005921293|5.351858133|0.006191846|0.04255787|0.0316908439999999|-0.307907256|10.31321773|-0.034313725|2|2|0.009266617|-0.0686282459999999|-0.131709531|-0.4460845129999999|2|0.143102066|0.669357479|1|-0.063825076|-0.081058742|0.021982565|-43.02851162|14.81983413|41.34207782|51.620282|-0.033774476|-36.84086528|0.753100584|-22.76950546|57.84834575|0.48032488|622.5428245|-1092.936262|2371.16134|7.833334036|15.0735214|30.23434844|0.018981866|1451.248725|646.2584547|0.0|0.0|1.0|1.0|3.47|26.0|-7.47|3.89|128.81|2.39|1.0|5.0|-5.68|32.0|5.0|-6.62|436.49|0.0|0.0|3.23|0.0009109999999999|1.27e-05|0.00554|0.0|3.39e-08|1.4800000000000002e-05|3.29|3.6689|699.86|306.09|0.67365|0.69933|-1721.9314420000003|9.7146|-0.2374099999999999|0.02796857|-1721.99264|5.0|8.3468|8.3468
27_a47|1|1|0.0|1|1|1.216250059|2.041063341|-0.160399235|-0.003631596|4.727387819|0.006768957|0.0304347829999999|-0.067535989|-0.207000956|10.95005714|0.013336016|1|1|0.002350172|-0.077485193|-0.157688306|-0.280944221|2|0.0436226579999999|0.634406338|1|-0.0630454209999999|-0.079484997|0.016506051|-40.35526807|10.56549582|20.73428323|98.27436776|-0.028494622|-32.56705871|0.700732763|-18.2393594|50.9207639|0.475450742|541.8239522999999|-966.6860481|2181.236691|7.083168776|13.50334344|26.02898047|0.018969968|1379.535965|682.9868225|1.0|1.0|0.0|2.0|3.37|21.0|-8.82|5.07|67.66|3.11|1.0|5.0|-4.81|31.0|5.0|-6.34|436.91|0.0|1.0|3.91|0.00674|8.89e-06|0.0038799999999999|0.0|1.5e-09|6.55e-07|2.97|3.8125|673.27|251.19|0.40976|0.69381|-1777.830739|4.0365|-0.21594|0.02633483|-1777.891054|2512.0|5.6|5.6
9a_a31|0|0|3.348289714|1|1|0.6101356720000001|0.0|-0.009086485|-0.01391798|5.733341277|-0.093457477|0.036891534|-0.05057805|-0.723734943|10.31169772|-0.0007638889999999|2|2|-0.0033853629999999|-0.093527289|-0.15653721|-0.542342338|0|0.045292529|0.76226755|0|-0.100906991|-0.122626525|0.033245595|-64.75697831|21.33533299|163.6011874|197.8075471|-0.043430228|-50.50275387|0.737758755|-27.87131275|86.0923113|0.484502446|443.941629|-1337.8230119999998|1955.13855|7.812278516|15.15483138|37.77835579999999|0.0239033229999999|1813.361078|597.3075924999999|1.0|1.0|1.0|2.0|3.6|22.0|-8.13|4.02|117.37|1.58|1.0|6.0|-5.62|30.0|5.0|-6.39|418.47|0.0|1.0|3.47|0.00101|1.7100000000000002e-05|0.00715|0.0|7.35e-09|3.07e-06|5.27|3.7892|680.72|327.21|0.7028|0.7028|-1691.716118|5.0244|-0.20032|0.03885662|-1691.7777600000002|0.15|6.8239|6.8239
12m_a30|0|0|0.0|2|2|0.6049842529999999|0.0|0.096631895|-0.01047558|5.351858133|0.024086432|0.040839506|-0.1305457069999999|-0.57615692|10.31162838|-0.0547272029999999|1|1|0.0026474159999999|-0.084317059|-0.152855196|-0.5409445629999999|1|-0.036924662|0.770326886|0|-0.085422479|-0.103359773|0.027352277|-57.96147772|18.55926485|133.774348|147.06395700000002|-0.0405332439999999|-47.58675592|0.773732767|-27.50290965|76.52074257|0.44976016|531.4632661|-1402.648392|2370.879718|9.025816604|16.40342255|35.54574762|0.019500715|1812.833129|683.7405759|1.0|0.0|1.0|1.0|4.66|17.0|-6.42|2.48|114.67|2.06|1.0|6.0|-6.0|32.0|6.0|-6.22|439.49|0.0|0.0|2.36|0.000444|9.71e-06|0.00427|0.0|3.7600000000000003e-07|0.000165|3.88|3.5496|714.92|244.95|0.33392|0.68404|-1742.965888|3.6891|-0.20742|0.04041755|-1743.030004|31.0|7.5114|7.5114
47o_a18|0|0|0.0|1|1|1.251177005|0.0|0.052875948|-0.006476544|4.844187086|-0.055408687|0.037484277|-0.006238734|-0.4339284229999999|10.94702017|-0.038296569|0|0|0.000787517|-0.103458566|-0.156998637|-0.490807196|0|0.001673737|0.733228144|0|-0.077288013|-0.088436375|0.008692675|-56.13142962|6.313168526|77.37089184|140.2610102|-0.034545459|-46.6464782|0.872753077|-25.08909125|62.44459815|0.493146875|586.0020642999999|-1605.70184|1393.529823|9.808930716|19.35260972|28.74706708|0.008265369|1839.812293|931.8364349|1.0|1.0|0.0|3.0|4.17|18.0|-9.37|3.0|85.29|2.94|1.0|9.0|-5.66|34.0|3.0|-6.12|454.56|0.0|1.0|2.76|0.000996|8.38e-06|0.00381|0.0|4.26e-10|1.93e-07|7.62|3.22|783.22|385.04|0.69248|0.69248|-1455.162559|2.2316|-0.18223|0.02736851|-1455.231246|47.0|7.3279|7.3279
25_a12|0|0|0.0|0|0|1.404967476|0.0|0.00700113|-0.004103693|0.0|-0.045725323|0.038787879|-0.089297664|-0.180562493|10.93676625|-0.11195017|0|0|0.001783739|-0.0542354559999999|-0.0861945369999999|-0.4288076329999999|2|-0.2430098439999999|0.806844014|1|-0.054734834|-0.080147596|0.004952762|-28.517955|2.580489093|37.96125329|27.12578432|-0.03323193|-21.75703145|0.917298637|-17.31450713|31.09844409|0.448858246|493.8944271000001|-709.8947922|1907.027255|5.34703037|9.70173342|18.87554002|0.005118351|773.8971409|430.4348528|1.0|1.0|0.0|1.0|2.81|22.0|-8.78|5.35|37.81|3.2|1.0|3.0|-5.28|24.0|2.0|-4.82|311.38|0.0|1.0|4.29|0.00162|5.63e-06|0.00175|0.0|1.6399999999999995e-09|5.12e-07|4.73|3.4532|560.14|290.68|0.63284|0.69029|-974.458128|1.2494|-0.19655|0.024123749|-974.508059|22.0|7.6576|7.6576
12ax_a36|0|0|3.429529478|2|2|1.280791885|0.0|-0.0943348109999999|-0.007681676|5.351858133|-0.040458296|0.043383838|0.075802407|-0.414810497|10.958822|-0.034663063|1|1|-0.00097037|-0.101451485|-0.1716508239999999|-0.440372791|1|-0.0394369539999999|0.771220556|0|-0.073739612|-0.107815607|0.019128091|-49.32384393|12.79462904|36.17982162|102.4490387|-0.038813619|-48.23849712|0.7648530440000001|-25.96212292|62.11847297|0.488501696|566.4430628|-1298.106146|2471.295987|7.563197245|14.78635841|33.94393618|0.018645135|1697.196809|661.6709012|1.0|0.0|1.0|2.0|4.74|17.0|-7.76|3.19|69.2|2.99|1.0|5.0|-5.08|31.0|4.0|-6.26|450.32|0.0|1.0|2.82|0.00372|6.55e-06|0.00295|0.0|1.74e-08|7.83e-06|4.42|3.8889|699.67|236.74|0.39564|0.69348|-2151.910753|4.5001|-0.21324|0.03044421|-2151.971761|12.0|7.9208|7.9208
16h_a32|1|1|3.340888605|0|0|0.609420754|0.0|0.217139852|-0.015656019|5.733341277|-0.098975084|0.039958333|-0.069213021|-0.7828009570000001|10.31100268|-0.022634676|3|3|-0.002310082|-0.123297852|-0.219947482|-0.71364354|0|-0.003188883|0.7619492790000001|1|-0.081151869|-0.121464999|0.02096013|-51.56009529|13.31708433|70.02855767|127.5843068|-0.038765425|-49.03221545|0.7359051059999999|-24.62973479|64.87717961|0.459750275|507.7688359|-1157.597535|3282.554439|6.710057805|12.42028916|33.46862873|0.020432929|1573.02555|573.3529948|1.0|0.0|1.0|2.0|3.61|19.0|-7.0|4.6|149.27|1.12|1.0|7.0|-6.48|28.0|5.0|-6.22|413.52|1.0|1.0|3.74|0.000136|1.7800000000000002e-05|0.0073599999999999|0.0|9.89e-08|4.09e-05|4.54|3.6182|679.82|342.67|0.70219|0.70219|-1955.772465|3516.0|-0.2|0.02818755|-1955.832545|9.0|8.0655|8.0655
16_a4|0|0|0.0|1|1|1.398650725|1.843196334|-0.219944434|-0.00228637|5.4161004020000005|-0.095499301|0.04501634|0.007101649|-0.089168424|10.94592242|0.019290123|1|1|0.006466406|-0.018051608|-0.0513920109999999|-0.214481956|1|-0.0894138519999999|0.482473457|0|-0.073335635|-0.080093659|0.013727656|-36.11951685|6.761192037000001|13.51923899|103.5057102|-0.033372358|-19.42906425|0.832461695|-16.43666742|42.88070889|0.455802506|389.0176968|-591.7200271|1522.164774|5.548106463|10.19502391|19.74465314|0.0115138339999999|710.807513|322.8922084|1.0|0.0|0.0|0.0|3.26|17.0|-6.36|4.96|30.71|3.44|1.0|2.0|-3.92|23.0|4.0|-5.64|309.31|0.0|1.0|3.91|0.0371|3.68e-05|0.0114|0.0|4.33e-07|0.000134|4.05|4.2257|515.68|274.85|0.51149|0.54061|-1057.3808390000002|1863.0|-0.2134|0.01638524|-1057.429593|343.0|6.4647|6.4647
12m_a36|0|0|3.40403699|2|2|1.297043522|0.0|0.013543656|-0.011502861|5.351858133|-0.133854569|0.03912037|0.14264424|-0.667165917|10.95440733|-0.038386106|1|1|-0.004569485|-0.052743904|-0.090926893|-0.52644768|1|-0.075712087|0.849217847|0|-0.10031651|-0.121074678|0.022725561|-67.27772044|15.24099981|42.78660249|193.174369|-0.04260035|-54.45666327|0.7471181240000001|-28.57011677|82.51872026|0.465323422|477.48014630000006|-1542.786306|2637.948424|7.312794835|13.67704354|38.24042793|0.0222467879999999|2064.983108|689.2886595|0.0|0.0|0.0|3.0|4.83|17.0|-6.14|0.98|112.29|1.28|1.0|6.0|-4.1|32.0|5.0|-7.39|424.46|0.0|0.0|1.26|0.0338|0.000159|0.0676|0.0|7.19e-07|0.000305|3.88|3.8658|692.4|320.72|0.69382|0.69382|-1401.385923|6.5789|-0.20993|0.03861003|-1401.446557|0.03|7.5229|7.5229
13a_a5|0|0|2.931642415|0|0|1.393002748|0.0|-0.154076582|-0.006081807|4.59511985|-0.033436214|0.023989899|-0.007871499|-0.328417593|10.94530369|-0.025324157|1|1|0.003196482|-0.035005746|-0.0569177229999999|-0.367284642|2|-0.048584084|0.720100768|0|-0.08903048|-0.0839257009999999|0.016739606|-57.31787843|10.77696869|126.2663658|150.1663914|-0.0279752339999999|-34.78546088|0.598791539|-18.01047283|68.09484712|0.460877309|493.6342317|-918.5341141|1314.232685|8.571729592999999|15.89940424|30.07803494|0.02811638|1533.979782|620.5697596|1.0|1.0|1.0|2.0|3.07|23.0|-8.9|3.58|92.79|0.95|1.0|8.0|-3.77|30.0|5.0|-7.18|399.45|0.0|1.0|2.71|0.0675|0.000184|0.0734|0.0|1.26e-09|5.02e-07|3.81|4.2107|688.18|267.87|0.41806|0.50037|-1312.907813|3.3414|-0.22898|0.04138695|-1312.968936|91.0|7041.0|7041.0
47n_a18|0|0|0.0|1|1|1.251175627|0.0|0.0487694459999999|-0.007614955|4.844187086|-0.057061805|0.032169312|0.017491759|-0.609196374|10.94702025|-0.048404296|0|0|0.001705837|-0.172015161|-0.258092915|-0.529441732|0|-0.09714337|0.711628292|0|-0.079299822|-0.091185806|0.0106152389999999|-65.43887366|8.759783644|61.29571241|171.2889916|-0.031974244|-62.09468789|0.783921929|-26.38541222|74.19865731|0.482565384|653.9193397999999|-2031.676741|2052.393389|10.43689152|20.17045476|33.65821422|0.01357247|2591.682495|1306.125688|1.0|1.0|0.0|3.0|4.69|18.0|-9.76|3.31|105.6|2.72|1.0|13.0|-6.02|40.0|4.0|-6.68|539.67|0.0|0.0|2.76|0.000511|5.7e-06|0.00308|1.0|1.7500000000000002e-10|9.44e-08|9.78|3.2028|879.92|387.11|0.6914600000000001|0.6914600000000001|-1740.5852670000002|2.4754|-0.18391|0.02839695|-1740.663577|64.0|7.1938|7.1938
17_a47|1|1|3.011740664|0|0|1.4168589319999998|0.0|-0.181485377|-0.003764469|4.59511985|-0.019259259|0.031802469|-0.105849578|-0.2032813319999999|10.9385382|-0.006331624|1|1|0.004477366|-0.0184347939999999|-0.031505291|-0.3004189439999999|3|-0.034891905|0.7666613659999999|1|-0.07185129|-0.082994667|0.01291694|-43.82821253|7.87914003|68.64478326|90.10552332|-0.02987808|-30.88080199|0.7457517659999999|-18.22518223|51.70735256|0.46147021|519.8795281|-911.2591113|1573.836082|7.055517075|13.10144249|24.43867122|0.0159160889999999|1221.9335609999998|630.8611986000001|1.0|1.0|0.0|2.0|3.44|27.0|-10.1|5.44|79.38|2.26|0.0|4.0|-5.4|30.0|4.0|-5.83|392.46|0.0|1.0|3.85|0.00156|6.11e-06|0.0024|0.0|7.96e-11|3.12e-08|3.07|4.2784|656.78|289.79|0.6844100000000001|0.6844100000000001|-1254.737546|3.4454|-0.22479|0.04130125|-1254.795084|5.0|8.3|8.3
11_a1|0|0|3.3361517380000003|1|1|1.430935838|0.0|0.033732316|-0.018080197|5.351858133|-0.196819043|0.035620155|0.08043435|-0.867849442|10.94957487|-0.044235537|1|1|-0.009578125|-0.07452948|-0.117419838|-0.563650254|1|-0.069193862|0.7846345840000001|0|-0.131972845|-0.126108875|0.034974992|-77.81495049|20.62225192|274.39137789999995|238.4902806|-0.048723884|-43.84323456|0.751878145|-28.7289904|98.43720241|0.47723847|351.1382199|-1264.075578|1885.148133|7.43666407|14.2257294|38.20963621|0.02620284|1681.223993|495.0560271000001|1.0|1.0|1.0|2.0|3.25|23.0|-7.47|4.23|97.33|1.95|1.0|4.0|-5.07|29.0|6.0|-6.27|385.37|0.0|1.0|3.22|0.00327|2.17e-05|0.00838|0.0|3.35e-08|1.29e-05|5.26|3.1924|614.86|331.66|0.68162|0.69914|-1312.241032|5.0526|-0.19462|0.03413353|-1312.2963630000002|0.17|6.7696|6.7696
21c _a23|1|1|0.0|0|0|1.197962776|3.311482916|0.178300778|-0.009944003|5.4161004020000005|-0.135572353|0.043130342|0.0645437059999999|-0.576752175|10.3132171|-0.039311241|2|2|0.0035741379999999|-0.0201427689999999|-0.036896213|-0.596546056|2|0.149511954|0.7301130229999999|1|-0.08365474|-0.098699133|0.014036138|-59.46209153|9.976937758|323.3651097|148.8448086|-0.040210758|-49.86692499|0.834557275|-28.58195193|69.43902929|0.468609427|561.9588018|-1543.4254039999998|2628.628799|8.945789862|16.83467928|34.24804117|0.013451712|1849.394223|762.0576580000001|0.0|0.0|1.0|2.0|3.68|26.0|-7.33|3.42|148.11|2.49|1.0|6.0|-5.63|34.0|5.0|-7.13|468.53|1.0|0.0|3.0|0.0011|1.92e-05|9.0|0.0|4.69e-08|2.2e-05|4.47|3.6649|747.88|338.3|0.5885699999999999|0.5885699999999999|-1837.67081|6.0226|-0.22981|0.03257532|-1837.736174|67.0|7.1752|7.1752
14y_a23|1|1|0.0|0|0|1.197960595|3.3149940630000003|0.0600764409999999|-0.005875443|5.351858133|-0.022719307|0.046678487|0.041892637|-0.2996475999999999|10.31321795|-0.031435038|2|2|0.007229683|-0.069023218|-0.125978901|-0.4598871539999999|2|0.137426346|0.64069202|1|-0.057809342|-0.080613242|0.018804822|-39.9727336|13.00274534|39.66769923|51.68445972|-0.034303507|-38.54233552|0.78322549|-23.71943531|52.97547894|0.486730407|639.7735629|-1114.8134599999998|2336.815247|8.213390641|16.00209862|30.28429949|0.016527|1423.362076|665.6233736|0.0|0.0|1.0|1.0|3.41|26.0|-8.57|5.32|105.02|3.99|1.0|5.0|-6.77|32.0|4.0|-5.8|480.37|0.0|0.0|4.45|8.18e-05|7.37e-07|0.000354|0.0|2.6899999999999996e-09|1.29e-06|4.73|3.6413|713.1|340.49|0.61338|0.61338|-2548.8917260000003|4.8799|-0.2331599999999999|0.01307741|-2548.953933|4.0|8.4225|8.4225
