molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|SaasN|MATS2c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w MLOGP|Veber filter|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
2_a3|0.0|0|0.0|0|6.823286122000001|0.0|0.176032668|2|0.034166667|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|0.036301827|1|-0.0045709459999999|-0.18746945|0.032450556|-0.568019422|2|0.899733837|0.769486995|-0.192034735|0.065162907|0.8401405609999999|0.841871246|0.750206578|-0.104577702|-0.09392632|-44.07280196|228.178656|0.249793422|117.2099151|-20.68016573|2.628543258|0.727984269|-1.127115845|-23.02532673|53.05538527|54.67257594|352.0174726|-528.8736235|1314.679398|-7.298882022000001|0.272015731|4.88513521|9.016533738|0.845708123|127.637231|-248.1619888|21.36736636|0.019143348|-213.9529255|726.4904564|8.982583312000001|1.0|1.0|2.97|2.22|0.0|21.0|1.6|0.0|-4.75|22.0|304.37|0.0|3.06|5.33e-05|0.0162|0.0|3.9500000000000005e-05|-0.06423|5.4397|1.97|3.3354|-1272.114086|0.1824|227.92|0.37284|0.69543|-1272.001389|0.0962|0.02925101|5.4999|3981.0|5.4|5.4
16i_a32|0.0|1|0.0|0|7.765993078999999|0.0|0.175604846|0|0.0439583329999999|-0.056414399|2.078707411|-0.7748511779999999|-0.003511776|-0.104899053|0.006037736|3|-0.001202032|-0.098841478|-0.211019184|-0.700853898|0|0.801401734|0.836966894|0.134577711|0.009897928|0.8829894|0.761506727|0.801494708|-0.0857355019999999|-0.114771536|-75.01027196|90.08098301|0.198505292|129.7354415|-49.02383532|9.540239197|0.718964113|-1.836344582|-36.62130242|88.80827938|70.6307405|523.8261846|-1200.164351|3450.514629|-15.6876273|0.281035887|6.848009314|12.57892808|0.836873682|183.6742715|-784.3813651|33.38593207|0.021112022|-286.2130831|1669.296604|13.79800742|1.0|0.0|3.75|3.16|0.3|19.0|1.34|1.0|-7.03|29.0|427.54|1.0|3.96|8.18e-06|0.0035|0.0|1.7100000000000002e-05|-0.05044|3.6176|4.99|3.6176|-1995.279632|0.2857|342.72|0.70222|0.70222|-1995.055356|0.2857|0.02810109|4.0568|6.0|8.2596|8.2596
12b_a40|0.0|0|0.0|1|7.515889085|1.713497417|0.084915315|0|0.04020202|0.1744506639999999|0.747253086|-0.158107422|0.00779293|0.107454819|-0.1537981269999999|2|0.004452418|0.279216571|0.038336814|-0.513870527|0|0.58925219|0.7137941109999999|0.026452642|-0.227384615|0.7818091140000001|0.522580798|0.955647156|-0.065048707|-0.074921647|-42.67442006|80.72126798|0.044352844|25.26281742|-24.3068084|3.518538455|0.856829717|-1.048903063|-21.10373336|48.54667776|43.22826564|544.3244990000001|-597.4418808999999|860.5059425000001|-10.97726831|0.143170283|8.132984007000001|16.09989085|0.979579799|81.54797734|-340.29531769999994|22.49258909|0.010309671|-406.4913617|697.2702616|5.872257692000001|0.0|0.0|3.26|3.87|0.0|20.0|5.07|0.0|-7.71|24.0|415.12|1.0|5.79|7.82e-08|3.2500000000000004e-05|0.0|1.7e-06|-0.08279|3407.0|6.27|3407.0|-3016.9868100000003|306.0|363.91|0.69476|0.69476|-3016.927883|306.0|0.01251873|6.3131|0.04|7.3979|7.3979
4a_a49|0.0|0|0.0|1|7.535296702|2.085628989|-0.076526919|2|0.036555556|-0.080255074|1.713107022|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|0.018857363|1|0.000660956|-0.130491035|-0.060391347|-0.403194204|2|0.7541604690000001|0.803344301|0.0063958109999999|0.032396301|0.856023531|0.731643066|0.7570436159999999|-0.094228246|-0.087863033|-53.88810275|313.22432680000003|0.242956384|149.0098632|-33.05061877|6.448709504|0.650301539|-1.4936715669999998|-35.44496163|68.37721704|68.30645049|464.3095353|-916.0977468|1647.61849|-11.01687292|0.349698461|7.934892916|15.01791558|0.8926425020000001|214.47685|-561.8605190000001|27.62211044|0.023624093|-184.3656985|1408.727632|14.48911428|0.0|1.0|3.35|2.89|0.22|21.0|1.25|0.0|-3.28|30.0|399.45|0.0|2.42|0.000305|122.0|0.0|1.74e-05|-0.06461|4.7259|3.34|3.7876|-1313.158118|0.1935|262.35|0.35731|0.68042|-1312.924353|0.0789|0.04133192|4.8706|32.0|7.4949|7.4949
12ah_a36|0.0|1|0.0|0|7.412764017000001|0.0|-0.050415481|2|0.043848238|0.078459408|0.0|-0.41302559|0.0005016269999999|-0.083956827|-0.050147748|1|0.0010871589999999|0.133939811|-0.177407665|-0.444563583|1|0.8941919290000001|0.835013502|0.011674455|-0.0861053359999999|0.8910146309999999|0.8065052890000001|0.828405275|-0.0758457179999999|-0.1059368909999999|-68.45222166|82.70705743|0.171594725|110.8777131|-44.23111357|7.714903458999999|0.768906425|-1.906864035|-31.66734951|80.02464883|60.9481085|535.2826672|-1232.13999|2334.380591|-15.92320089|0.231093575|8.26712637|15.54445187|0.8802726820000001|149.3235124|-796.1600443|32.04915319|0.017909528|-347.5133554|1602.457659|11.57242717|1.0|0.0|4.73|0.0|0.14|17.0|2.51|0.0|-4.44|30.0|415.88|0.0|2.34|2.55e-05|0.0106|0.0|2.77e-05|-0.05637|5.2259|3.79|3.7792|-1692.512868|0.6729|237.25|0.40051|0.6970000000000001|-1692.3109559999998|0.0485|0.03300341|7.6265|11.0|7.9586|7.9586
4d_a46|0.0|0|0.173086735|1|7.825245291|2.146507937|-0.1397563859999999|2|0.047736111|-0.131948546|0.0|-0.085744171|0.0116902869999999|-0.111025108|-0.076521434|1|0.010756749|-0.206000242|-0.1271933999999999|-0.240143042|2|0.6535171|0.764741337|-0.213089038|-0.103199079|0.8075680409999999|0.623144956|0.936057958|-0.056384895|-0.070772596|-38.85529917|8.241078584|0.063942042|35.10521457|-21.33218735|2.607946825|0.813427965|-1.132361533|-16.99546444|43.60839351|35.70643728|513.9109507000001|-621.6847867|2233.65548|-7.419891252999999|0.186572035|5.757075209|10.30138878|0.7893441379999999|102.4310631|-341.3149976|16.6147308|0.0086574759999999|-344.15403910000003|764.2776167999999|4.753094337|1.0|0.0|3.78|3.5|0.35|17.0|2.84|0.0|-4.93|25.0|352.86|0.0|4.11|7.8e-06|0.00275|0.0|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|4.4265|-1453.817782|0.1313|280.09|0.69884|0.69884|-1453.635434|0.1313|0.02292966|3.7104|517.0|6.2865|6.2865
12w_a36|0.0|1|-4.750262163|0|7.412764017000001|0.0|0.081390556|2|0.041555556|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|-0.010726574|1|-0.007897954|0.115646674|-0.3344729369999999|-0.604676196|1|0.647732719|0.828393514|-0.098657593|-0.016393443|0.8792981679999999|0.624142499|0.828363244|-0.086826396|-0.111267166|-79.88912835|112.947763|0.171636756|123.23411609999998|-57.35989379|10.87965823|0.70536279|-2.225343322|-44.76031023|99.51883498|77.49366829|594.7596206000001|-1597.782567|2602.5207|-21.24440511|0.29463721|8.365472166|15.701847400000002|0.8769828040000001|211.5476713|-1147.197876|41.94801097|0.0273396629999999|-294.8983941|2265.1925920000003|19.62970663|1.0|0.0|4.82|0.0|0.17|17.0|2.04|0.0|-5.2|34.0|465.43|0.0|2.65|8.6e-06|4.0|0.0|3.37e-05|-0.05326|3.8881|4.86|3.8881|-1645.169951|0.4508|318.88|0.69466|0.69466|-1644.953222|0.4508|0.0328886|7.0746|23.0|7.6383|7.6383
14b_a23|0.0|0|0.0|2|7.423568444|3.2475997860000003|0.065240838|2|0.043538647|0.0519489729999999|0.716540473|-0.318684138|0.007671236|-0.0644978|-0.047410593|2|0.0075222369999999|0.121308009|-0.17267308|-0.4557487779999999|2|0.616699629|0.793551289|-0.00399443|-0.077808321|0.857184548|0.5935522360000001|0.8462596590000001|-0.063267638|-0.082441268|-53.44429544|40.76245006|0.153740341|99.66542762|-34.64639496|8.596171261|0.774359705|-1.64882535|-26.58857202|64.97993029|54.274732400000005|548.6057241000001|-1068.885909|2280.830615|-14.74314679|0.225640295|7.833620016|14.26820636|0.821406493|146.2760938|-692.9278992000001|29.36910744|0.01779446|-355.71896410000005|1380.34805|11.53563485|0.0|0.0|3.42|3.44|0.05|26.0|3.4|0.0|-5.58|31.0|429.47|0.0|3.78|7.73e-06|0.00332|0.0|9.18e-06|-0.07803|3706.0|3.72|3706.0|-1729.139722|0.3603|334.55|0.58097|0.58097|-1728.9300010000002|0.3603|0.02188578|9.7544|4.0|8.3536|8.3536
14g_a23|0.0|0|-4.794439428|2|7.423568444|3.0793867980000003|0.180361525|2|0.0422736629999999|0.058422864|0.653317181|-0.803522236|-0.002390707|-0.031968899|-0.030586527|2|-0.0004039459999999|0.179219801|-0.2952674819999999|-0.648987099|2|0.598213287|0.796412133|0.010202051|-0.044895912|0.854683662|0.575188253|0.907334473|-0.072819606|-0.096288005|-68.52397802|95.64648102|0.092665527|65.94601775|-48.76552945|9.289253982|0.780315815|-2.118336119|-36.87984398|83.15907597|64.87554405|645.7104105000001|-1507.527516|2531.8503170000004|-21.03611074|0.219684185|8.788027188|16.32997765|0.8582074559999999|156.3396622|-1072.841648|37.88128151|0.020564836|-398.9771038|1931.945357|14.63509796|0.0|0.0|3.61|3.79|0.09|26.0|3.04|0.0|-6.89|35.0|495.48|1.0|4.35|1e-06|0.0004969999999999|0.0|5.57e-06|-0.08011|3.7042|5.17|3.7042|-2042.161409|0.3478|334.71|0.56658|0.56658|-2041.934312|0.3478|0.0221162|10245.0|0.01|8.0|8.0
5e_a40|0.0|0|0.0|1|8.149890544|1.661964758|-0.091305805|0|0.044526749|-0.106497535|0.7768055559999999|-0.162528785|0.009890343|0.158430496|0.029272031|2|0.008306061|-0.184667138|0.010397494|-0.391074665|0|0.535506399|0.8092726020000001|-0.402340487|0.0451110059999999|0.877722972|0.5087199929999999|0.864422751|-0.076883794|-0.089724264|-42.66853738|170.7311133|0.135577249|64.47400829|-20.29110082|4.489363277|0.8223594679999999|-1.076691165|-17.38723451|48.81318333|46.00255248|411.0778166|-512.0224486000001|512.5703164|-8.116440327000001|0.177640532|6.533857846|12.51197289|0.914944155|84.47727896|-243.4932098|20.75420252|0.012921086|-306.597267|622.6260756|6.144645946|1.0|0.0|3.03|2.73|0.21|14.0|2.37|0.0|-4.78|20.0|303.77|0.0|3.33|5.56e-05|0.0169|0.0|0.00678|-0.07231|3.7138|4.99|3.7138|-1637.180703|0.5262|333.85|0.69675|0.69675|-1637.115238|0.5262|0.01659566|10282.0|25.0|7.6021|7.6021
