molecula|SddssS|NaaNH|n9FaHRing|SaaNH|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
12u_a36|0.0|1|0|3.508898495|2|2|1.270259304|0.0|-0.054501792|-0.006461999|5.351858133|-0.0407717229999999|0.042560386|0.033763276|-0.407105926|0.0042553209999999|-0.063855309|10.95266014|1|1|-0.099596099|-0.163978382|-0.438988314|1|0.901715152|-0.018047007|0.855176759|0.842227829|-0.07260571|-0.0969881059999999|0.3765068079999999|-50.53295452|12.27663887|86.1184622|109.8080843|-0.03452119|-46.98143813|5.944854912|-35.17050511|78.06218646|-24.02645378|-1417.5607730000002|2455.7556010000003|-16.72220679|0.946117173|6127.402572|30.82735404|0.015171583|1818.813889|1.0|0.0|1.0|1.0|1.0|2.0|5.05|0.24|17.0|3.85|3.01|2.0|0.0|138.33|6.0|4.0|-6.19|0.0|1.0|1.0|2.66|-4.86|1.39e-05|0.00589|3.8|0.0|0.0|4.2e-08|4.21|3675.0|-1350.8981130000002|-1350.865506|739.12|1254.5|0.4267|319.16|590.18|0.69258|0.0176|5.8702|-0.20409|0.03260752|7.7959|7.7959
21b_a23|0.0|0|1|0.0|0|0|1.197963051|3.351726269|0.094654108|-0.005936474|5.4161004020000005|-0.008526338|0.042455556|0.057405955|-0.326506055|0.01055698|-0.103470358|10.31321725|2|2|-0.069382957|-0.130528352|-0.481470603|2|0.7038407329999999|-0.078097375|0.8339434929999999|0.930728719|-0.0596425779999999|-0.083105261|0.224930782|-41.81114831|10.15224639|41.6766724|48.56114386|-0.034219814|-40.84133198|86.65837165|-29.31080756|67.68046598|-23.98906534|-1223.442332|2531.041828|-16.81701905|0.846591917|6919.229053|29.53101081|0.013439264|1506.081551|0.0|0.0|1.0|1.0|1.0|1.0|3.59|0.08|26.0|3.92|4.2|2.0|1.0|129.97|5.0|5.0|-6.42|0.0|0.0|0.0|3.57|-5.22|6.06e-06|0.00273|3.7|0.0|0.0|1.43e-08|3.57|3.6237|-1761.498874|-1761.4722969999998|735.65|1247.38|0.2607|309.79|611.6|0.57848|0.2333|9.5312|-0.23434|0.02657688|7.0691|7.0691
47j_a18|0.0|0|0|0.0|1|1|1.251176464|0.0|0.070097424|-0.007807275|4.844187086|-0.068902246|0.033563218|-0.048528478|-0.569931053|0.00031105|-0.006923502|10.94702285|0|0|-0.218974385|-0.331885553|-0.48833504|0|0.783538352|0.005740124|0.77844379|0.80651845|-0.073041469|-0.094744194|0.476575952|-56.816779|12.42035127|95.57657747|150.5035248|-0.033837212|-57.32800549|99.50526447|-44.19607713|86.31641604|-26.32095773|-1842.467041|2064.803327|-20.47428768|0.928170101|7316.123159000001|34.43235841|0.016220875|2410.265089|1.0|1.0|0.0|1.0|1.0|3.0|4.54|0.28|18.0|2.43|2.82|3.0|2.0|149.96|11.0|4.0|-6.46|0.0|0.0|0.0|2.39|-5.14|7.32e-06|0.00366|4.07|1.0|0.0|1.63e-09|8.09|3.1054|-1625.445572|-1625.413107|839.37|1459.55|0.5439|399.25|776.31|0.6983600000000001|0.5439|4.1619|-0.17273|0.03246539|7.4559|7.4559
14m_a23|0.0|0|1|0.0|0|0|1.197955072|3.1160758160000004|0.05521348|-0.008929306|5.351858133|-0.272389934|0.0431917209999999|0.028217372|-0.482182526|0.001027627|-0.034213923|10.3132176|2|2|-0.07256543|-0.226146643|-0.527662006|2|0.560094237|-0.072906704|0.8581143859999999|0.9258118|-0.072795329|-0.089285878|0.268552591|-50.63012925|12.51396625|47.23604193|51.59888942|-0.039285786|-43.19105542|0.0|-35.21393496|74.61692699|-27.32379205|-1366.189602|2263.262957|-19.00406438|0.911438824|7588.823133|34.33353583|0.017997351|1716.6767920000002|1.0|0.0|1.0|1.0|1.0|1.0|3.51|0.09|26.0|4.42|6.19|2.0|1.0|125.29|6.0|7.0|-6.06|1.0|0.0|0.0|4.41|-5.79|1.61e-06|0.000773|4.46|0.0|0.0|5.94e-09|4.2|3.6774|-1966.968005|-1966.945041|707.56|1209.21|0.3335|337.15|572.31|0.65552|0.3335|6.1522|-0.23555|0.02296475|8.5171|8.5171
11d_a31|0.0|1|0|3.39688681|1|1|0.610136352|0.0|0.064475882|-0.017317263|5.733341277|-0.116385886|0.0388738739999999|0.016799834|-0.848545873|-0.009496378|-0.092360393|10.31169874|2|2|-0.096447723|-0.153894316|-0.574318121|0|0.819298311|-0.13169885|0.868115289|0.585212816|-0.134031221|-0.134048091|0.197166451|-82.05480081|21.07078977|296.2476128|253.9354598|-0.040797245|-50.24081482|91.25756269|-50.23449218|98.8237718|-24.97634343|-1148.911798|2039.207676|-15.29068277|0.929231204|5420.356537|36.63453013|0.027374162|1685.188386|1.0|1.0|1.0|1.0|1.0|2.0|3.6|0.32|16.0|5.43|4.03|1.0|0.0|102.13|7.0|6.0|-6.4|0.0|0.0|1.0|3.34|-4.2|6.26e-05|0.0241|3.17|0.0|0.0|5.83e-07|4.87|3.8009|-1598.7152199999998|-1598.671315|650.64|1077.69|0.2642|326.2|551.86|703.0|0.2642|3.1919|-0.19226|0.04390452|7.5229|7.5229
17c_a50|0.0|0|1|0.0|2|2|1.347835869|4.349159921|-0.212075666|-0.002676029|5.82008293|0.024219848|0.031870748|0.021572081|-0.1766179239999999|0.01130519|-0.144763835|10.94500663|2|2|-0.233451925|-0.373205592|-0.2256811219999999|1|0.762883243|-0.212611846|0.816442883|0.89719894|-0.051905615|-0.073693343|0.446454378|-35.70979598|14.91199042|133.46240020000002|70.72462009999998|-0.021745577|-34.87982686|94.15397246|-24.567468100000003|66.7258111|-14.96042594|-912.5859825|2014.72331|-10.29240792|0.98033276|6438.380804|26.25785813|0.0232952879999999|1601.729346|0.0|1.0|1.0|1.0|1.0|0.0|4.12|0.35|20.0|3.59|3.53|1.0|0.0|134.28|6.0|5.0|-6.96|0.0|1.0|0.0|3.1|-4.43|3.75e-05|0.0165|2.86|0.0|0.0|1.6100000000000005e-07|2.74|4.0432|-1411.187392|-1411.157813|746.5|1289.05|0.1814|292.44|596.23|0.63122|0.1801|6.3989|-0.19818|0.02957871|7.1612|7.1612
16d_a32|0.0|1|1|3.311658163|0|0|0.609420775|0.0|0.170838661|-0.017249763|5.733341277|-0.087123461|0.0421759259999999|0.0115077539999999|-0.7589895790000001|-0.00839148|-0.134892903|10.31100273|3|3|-0.128753933|-0.239509216|-0.68301199|0|0.816581223|-0.0847953219999999|0.916850163|0.7554930740000001|-0.091212351|-0.11491796|0.41654798|-53.23914436|18.67986534|115.2070109|142.7146582|-0.036437402|-39.15098916|48.61700321|-31.07481011|86.50964771|-21.26791022|-871.9843187999999|3152.666302|-12.41372827|0.79521327|5768.495166|34.53986301|0.0332953229999999|1416.134383|1.0|0.0|1.0|1.0|1.0|2.0|3.35|0.18|19.0|5.26|3.82|1.0|0.0|102.33|6.0|5.0|-6.62|1.0|0.0|1.0|3.12|-4.18|6.659999999999999e-05|0.0257|2.86|0.0|0.0|2.55e-07|3.78|3.6271|-1877.360551|-1877.332369|621.59|1023.44|0.2915|341.83|489.97|0.70217|0.2915|3.2048|-0.20077|0.02818209|8.1135|8.1135
4o_a46|0.0|0|0|0.0|1|1|1.13463699|2.138144369|-0.24479566|-0.000627744|5.587248657999999|0.042766097|0.043320988|-0.2363624889999999|-0.032014955|0.010870588|-0.203025042|10.93828256|1|1|-0.018058762|-0.028735607|-0.096073163|1|0.626333846|-0.09492635|0.8176134690000001|0.950732618|-0.0648126359999999|-0.06570509|0.372146122|-35.54402423|5.332434441|5.821925821000001|27.01882145|-0.021901697|-19.76117845|31.19780621|-19.49276784|42.00638612|-12.01115223|-576.535307|1705.3950960000002|-6.587059484|0.855222204|4966.476822|15.99310518|0.0108913189999999|767.6690487000001|1.0|0.0|1.0|1.0|1.0|0.0|3.73|0.32|17.0|4.77|4.94|1.0|0.0|103.66|2.0|3.0|-5.51|0.0|1.0|1.0|3.92|-4.87|1.34e-05|0.0045899999999999|4.06|0.0|0.0|5.5e-08|3.76|4.3255|-1070.456878|-1070.428722|581.59|1022.29|0.1598|286.64|501.08|0.6843|0.1598|3.4494|-0.22909|0.02815574|6.7905|6.7905
13j_a6|0.0|1|0|3.409065702|1|1|1.430640326|0.0|0.0353600779999999|-0.015004989|5.351858133|-0.154502515|0.041728395|0.07522656|-0.855284356|-0.011017781|-0.0951246069999999|10.95129557|1|1|-0.045418125|-0.073507141|-0.562698347|1|0.8744720490000001|-0.079161042|0.8353837409999999|0.6229641429999999|-0.120219472|-0.129511589|0.205764388|-80.33128667|20.78979124|180.6709018|251.937353|-0.046428683|-57.82670518|114.6910805|-53.67779048|99.85109065|-31.02389141|-1644.266245|2634.320708|-20.73032827|0.765539515|6276.316063|39.56287079|0.0199201689999999|2096.832152|1.0|1.0|1.0|1.0|1.0|3.0|3.56|0.12|23.0|4.16|3.54|1.0|0.0|120.17|6.0|5.0|-6.81|0.0|0.0|1.0|2.82|-4.48|3.28e-05|14.0|2.95|0.0|0.0|3.18e-09|4.94|3.5599|-1426.5532050000002|-1426.520775|712.52|1196.6|0.2857|339.64|555.0|0.69993|0.0259|8.3187|-0.19491|0.03242949|6.5817|6.5817
14i_a23|0.0|0|1|0.0|0|0|1.197963212|3.2692375460000003|0.142566578|-0.010148243|5.351858133|-0.130330047|0.0432555559999999|0.040408197|-0.558153376|0.002243702|-0.018541856|10.31321758|2|2|-0.017918675|-0.033435987|-0.569707595|2|0.77007911|-0.04255066|0.864206467|0.777952733|-0.0889593869999999|-0.096562208|0.266320368|-60.8283953|14.65077903|324.811841|151.83084580000002|-0.039760909|-45.14777443|93.48624142|-41.59306642|79.20815775|-27.18760085|-1386.567643|2447.1741030000003|-18.59026006|0.915894552|7030.347905|34.94120504|0.019276934|1782.001457|0.0|0.0|1.0|1.0|0.0|2.0|3.56|0.04|26.0|2.57|3.12|1.0|1.0|128.38|6.0|5.0|-7.33|1.0|0.0|0.0|2.61|-4.39|4.03e-05|0.0183|2.46|0.0|0.0|1.11e-07|4.64|3.6931|-1798.64228|-1798.608335|715.68|1224.02|0.3639|335.72|580.74|0.55606|0.3639|5.9563|-0.23121|0.03394466|8.4622|8.4622
