molecula|SddssS|NaaNH|n9FaHRing|SaaNH|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
SB431542_a8|0.0|1|0|3.172627551|1|1|1.401734117|1.4114120369999998|-0.007805495|-0.014434378|5.4161004020000005|-0.1950388569999999|0.041909722|0.096884952|-0.721718925|-0.0075336219999999|-0.029382296|10.94951956|1|1|0.055198015|0.089375589|-0.494976661|1|0.76592324|-0.072891515|0.8220300859999999|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|-76.82006387|20.78806656|170.1252996|260.1744351|-0.048754953|-44.6389196|89.26670319|-45.98111161|89.64885355|-29.18257067|-1342.398251|1947.072021|-17.46740332|0.908729075|6203.505123|38.35632812|0.025179219|1764.391093|0.0|0.0|1.0|1.0|0.0|2.0|3.35|0.05|23.0|3.13|2.72|1.0|0.0|109.21|4.0|5.0|-7.04|0.0|0.0|0.0|2.58|-4.14|7.28e-05|0.0292|2.4|0.0|0.0|1.74e-07|||||||||||||||4.1019|4.1019
14c_a23|0.0|0|1|0.0|0|0|1.197962449|3.349976042|0.06596946|-0.005822256|5.351858133|-0.024758731|0.043538647|0.04174584|-0.296935034|0.010682694|-0.047853455|10.31321813|2|2|-0.071484865|-0.13187015|-0.4589840189999999|2|0.722187957|-0.077808321|0.857184548|0.922935039|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|-37.73933093|12.52192141|38.43627129|51.21382308|-0.034046252|-35.33439343|81.41541733|-25.07982076|64.05912299|-22.62557089|-1063.401832|2379.221378|-15.0359121|0.8505592829999999|6755.962581999999|28.88097191|0.016385474|1357.40568|0.0|0.0|1.0|0.0|1.0|1.0|3.4|0.05|26.0|4.0|4.67|2.0|1.0|125.29|5.0|4.0|-6.03|0.0|0.0|0.0|4.0|-5.55|2.83e-06|0.00126|4.21|0.0|0.0|1.02e-08|4.1|3.7031|-2089.523959|-2089.501598|693.64|1177.63|356.0|334.81|549.86|0.56781|356.0|7.2704|-0.23096|0.02236136|8.6253|8.6253
41_a18|0.0|0|0|0.0|2|2|1.251176562|0.0|0.115127295|-0.007587553|4.844187086|-0.059936864|0.038034188|-0.089781154|-0.500778516|-0.0034878|0.022493846|10.9470117|0|0|-0.005930813|-0.0091068809999999|-0.5421253970000001|0|0.759941674|0.037097204|0.774395455|0.7349388459999999|-0.1020290859999999|-0.089139464|0.3888308139999999|-69.94639412|6.547189171|347.42621339999994|181.7135945|-0.037381065|-41.89408289|93.99687836|-47.95199341|65.83786886|-25.62671923|-1588.856592|1491.296991|-17.56848637|0.950261611|6605.095612|28.37200951|0.006896617|1759.064589|1.0|1.0|0.0|1.0|1.0|3.0|4.07|0.25|18.0|3.26|2.7|2.0|1.0|141.34|6.0|3.0|-6.38|0.0|0.0|1.0|2.53|-5.02|9.49e-06|0.0042899999999999|3.78|0.0|0.0|4.18e-09|7.34|3.2123|-1454.374793|-1454.3467460000002|736.59|1294.52|482.0|385.97|576.83|0.69308|482.0|2.0934|-0.1814599999999999|0.0280471999999999|6433.0|6433.0
2_a27|0.0|0|0|0.0|0|0|1.402655014|3.250529415|0.09890645|-0.0065894809999999|4.59511985|-0.0609613559999999|0.0427777779999999|-0.196529806|-0.276758209|0.009338889|0.11675125|10.93783218|1|1|-0.21066171|-0.361571905|-0.475677812|2|0.639024713|0.027777778|0.8585302370000001|0.8468699609999999|-0.058444848|-0.081513931|0.408120957|-29.42169804|9.972342226|9.194894069|77.08713259|-0.029261411|-20.65736087|53.58106492|-14.81116546|52.43208086|-14.73047548|-574.4885436000001|1270.627585|-7.415462877|0.7934621359999999|4774.521748|22.03636323|0.022639983|859.4181658|0.0|0.0|1.0|0.0|1.0|0.0|2.9|0.11|21.0|2.43|2.49|0.0|0.0|92.58|2.0|4.0|-6.69|0.0|1.0|1.0|2.52|-3.7|0.0002009999999999|0.0638|2.18|0.0|0.0|1.45e-06|4.32|4.1624|-1043.821085|-1043.7984|538.57|906.48|0.3217|297.87|420.7|0.55857|0.3217|4.7049|-0.21702|0.02268519|7.8861|7.8861
13b_a5|0.0|1|0|2.948625157|1|1|1.338814635|0.0|-0.142746146|-0.004573365|5.209486153|0.011339656|0.02468599|-0.006314305|-0.251535058|0.0064510459999999|-0.104404004|10.94530329|1|1|-0.055701188|-0.091464693|-0.357011244|2|0.6700114770000001|-0.0330907489999999|0.8184221559999999|0.831557236|-0.0694958329999999|-0.074710354|0.468748106|-44.93506461|8.980592802|14.41650822|108.9128108|-0.02636836|-31.23446039|46.77748445|-29.05440446|62.24204745|-17.04942469|-869.5206594|1177.571784|-11.0239272|0.837970799|5678.380299|26.06641209|0.021552174|1329.387016|0.0|1.0|1.0|1.0|1.0|1.0|2.97|0.17|23.0|4.64|4.06|1.0|0.0|119.8|5.0|4.0|-6.58|0.0|1.0|1.0|3.26|-4.43|3.75e-05|0.0148|3.01|0.0|0.0|4.36e-09|4.66|4.1793|-1276.066049|-1276.030896|672.43|1138.73|0.5528|265.31|503.93|0.32779|0.3064|3.5881|-0.22451|0.035153|6.9586|6.9586
3_a27|0.0|0|0|0.0|0|0|1.402697639|3.127072625|0.124551908|-0.00648099|4.59511985|-0.096132106|0.040512821|-0.172132163|-0.27868256|0.009082086|0.042659548|10.93782973|1|1|-0.1984716939999999|-0.341338963|-0.479874452|2|0.640545265|0.038685745|0.8759548629999999|0.862115922|-0.06145119|-0.086153958|0.397733752|-31.82136336|9.960129259|10.71226495|71.40072181|-0.032307734|-23.10213938|57.97805043|-16.47810502|54.32114618|-16.72996312|-669.1985248999999|1043.697725|-8.663302268999999|0.803947133|4960.583812|22.79740761|0.018747239|911.8963045|1.0|0.0|1.0|0.0|1.0|0.0|3.03|0.05|21.0|2.8|2.94|0.0|0.0|97.71|3.0|4.0|-6.41|0.0|1.0|1.0|2.74|-3.99|0.000103|0.0339|2.67|0.0|0.0|1.29e-06|4.92|3962.0|-1081.905135|-1081.88481|547.92|931.06|0.2305|225.24|425.72|0.34864|0.2208|2.7811|-0.21969|0.02032437|8.3979|8.3979
13_a15|0.0|0|0|0.0|1|1|1.4356889940000002|0.0|-0.139434143|-0.006348913|0.0|-0.031457366|0.029206349|-0.006938727|-0.393632585|0.001806571|-0.031047852|10.95980212|0|0|-0.173728081|-0.272482143|-0.357554652|2|0.843715005|0.009456191|0.7784213259999999|0.8854875790000001|-0.068526782|-0.098053528|0.708462114|-43.2365883|10.21906987|142.67217639999998|72.25096855|-0.033811561|-39.03420883|0.0|-27.279882500000003|72.41636305|-21.33321476|-1237.326456|3581.589629|-13.46007201|0.931684902|7196.400881999999|28.24531009|0.01672103|1638.227985|1.0|1.0|1.0|0.0|0.0|1.0|4.13|0.07|24.0|4.33|6.69|2.0|0.0|138.24|6.0|4.0|-5.26|1.0|0.0|0.0|4.61|-6.1|7.970000000000001e-07|0.000357|5.32|0.0|0.0|1.27e-09|5.04|2.5721|-1450.756042|-1450.727602|674.36|1231.11|208.0|314.52|549.33|0.63827|0.0003|3.5479|-0.15229|0.02844037|8.2218|8.2218
8a_a50|0.0|1|1|3.139870661|1|1|1.39826105|2.03117465|-0.0737162059999999|-0.00439531|5.777652323|-0.021959577|0.03904321|-0.0224366579999999|-0.188998337|0.007671336|-0.150515325|10.94501357|2|2|-0.065546446|-0.11385159|-0.352654037|1|0.75162266|-0.095292123|0.8718949979999999|0.860876738|-0.069208148|-0.08230347|0.278028663|-34.88425666|9.480859015|133.8183888|70.12485884|-0.031655181|-20.91041439|0.0|-17.58335405|50.06249379|-15.95574341|-622.2739931|1503.563342|-8.042467074|0.858162757|4638.284496|21.23424244|0.017017336|828.1354551|1.0|1.0|0.0|1.0|1.0|1.0|3.34|0.11|20.0|3.63|3.71|0.0|0.0|94.75|2.0|3.0|-6.12|0.0|1.0|1.0|2.87|-4.13|7.48e-05|0.0234|2.95|0.0|0.0|4.82e-07|2.69|4.1738|-1006.671867|-1006.637067|548.47|912.7|0.18|220.53|396.63|0.3462199999999999|0.1217|3.5509|-0.20051|0.03479985|7.3279|7.3279
17e_a50|0.0|0|1|0.0|2|2|1.320916122|4.3906140030000005|-0.153175103|-0.0020746479999999|5.82008293|0.038322942|0.031870748|-0.011278897|-0.141076059|0.012036705|-0.086639125|10.94500663|2|2|-0.1949741189999999|-0.310566368|-0.229030473|1|0.7596299459999999|-0.202197068|0.7791604190000001|0.930108205|-0.046347299|-0.073011385|0.4239465089999999|-32.24487658|8.950665784|10.68364489|48.62532158|-0.02665495|-35.33972521|86.98647608|-22.43349867|57.93079973|-18.5444588|-1168.300905|1981.934841|-12.90180444|0.960006062|6301.28046|23.07468625|0.010255676|1453.705234|0.0|1.0|1.0|1.0|1.0|0.0|4.18|0.37|20.0|4.23|4.68|2.0|0.0|138.0|6.0|4.0|-6.08|0.0|1.0|0.0|4.03|-5.18|6.58e-06|0.00288|4.08|0.0|0.0|4.63e-08|3.8|4.0298|-1375.295877|-1375.268259|757.34|1312.91|0.1809|292.6|602.89|0.6322800000000001|0.1785|6.7175|-0.19805|0.02761851|6.8097|6.8097
14f_a23|0.0|0|1|0.0|0|0|1.197963246|3.366063739|-0.002304087|-0.006791105|5.351858133|-0.027380305|0.04255787|0.056215377|-0.373510774|0.010561248|-0.0555907109999999|10.3132176|2|2|-0.110069159|-0.199540201|-0.399688849|2|0.756252127|-0.06885759|0.854683662|0.894162392|-0.059927056|-0.084419703|0.2096108239999999|-40.51498423|18.34483401|96.47955427|71.55380685|-0.031450478|-38.58595734|96.60179161|-27.39103254|74.08536976|-21.26277654|-1084.401604|2322.5224120000003|-14.37516058|0.918402793|6768.918745|31.93672236|0.025162423|1628.77284|0.0|0.0|1.0|1.0|1.0|1.0|3.57|0.09|26.0|3.42|4.03|2.0|1.0|126.78|6.0|5.0|-6.47|0.0|0.0|0.0|3.46|-5.02|9.57e-06|0.0042299999999999|3.55|0.0|0.0|3.11e-08|3.23|3.5753|-1744.452086|-1744.429532|711.98|1210.19|0.2462|213.09|572.35|0.60917|0.1699|6.3534|-0.21743|0.02255331|8.6459|8.6459
47t_a18|0.0|0|0|0.0|1|1|1.25117758|0.0|0.1115820769999999|-0.0128248239999999|4.844187086|-0.161517185|0.03672956|0.018018036|-0.756664598|-0.006573438|-0.011641394|10.94702032|0|0|-0.068787175|-0.104274108|-0.600890268|0|0.704602886|-0.074774521|0.796935152|0.67203319|-0.119202068|-0.103295568|0.240001773|-79.78154029|9.415011332|280.622476|219.5070758|-0.040580402|-46.27207168|78.43695402|-53.39751484|80.00407742|-27.16032544|-1520.978225|1326.524873|-18.17831387|0.991199259|6603.597038|33.75918118|0.016238994|1890.514146|0.0|0.0|0.0|1.0|0.0|3.0|3.86|0.15|18.0|2.6|2.93|2.0|1.0|129.21|7.0|4.0|-6.46|0.0|0.0|0.0|2.15|-4.77|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|0.0|3.09e-08|9.4|3.1164|-1470.873743|-1470.836067|703.76|1218.95|0.5502|397.84|601.36|0.6895100000000001|0.5502|7.7656|-0.19514|0.03767603|6.1068|6.1068
25b_a34|0.0|0|0|0.0|1|1|1.290860233|1.94553288|0.133975789|-0.015658012|5.351858133|-0.0929479709999999|0.04037037|-0.150946163|-0.861190687|-0.00378755|-0.112970844|10.95957635|1|1|-0.278635968|-0.435821207|-0.623853334|1|0.832166825|-0.101529052|0.83883012|0.656573108|-0.1030760719999999|-0.137924163|0.5020264870000001|-64.37123451|18.82143547|165.2408865|214.470853|-0.042438204|-53.79083879|49.2835599|-40.19997818|98.0416108|-26.50275222|-1378.143115|2671.608537|-16.55102732|0.723855085|5786.015654|34.74652105|0.019067452|1806.819095|0.0|1.0|1.0|1.0|1.0|2.0|3.53|0.29|17.0|2.63|3.03|1.0|0.0|108.21|7.0|5.0|-7.07|0.0|0.0|0.0|2.58|-3.69|0.000202|0.0796|2.29|0.0|0.0|3.8100000000000004e-07|5.06|4.2253|-1313.388114|-1313.361559|668.48|1136.16|0.2259|293.43|562.84|0.6925600000000001|0.2259|7.0586|-0.21103|0.02655501|5.6819|5.6819
7_a47|0.0|0|0|0.0|0|0|1.304326965|0.0|0.00763426|-0.008206422|0.0|-0.143650735|0.04030303|-0.128433676|-0.3939082339999999|-0.0091074509999999|-0.085507035|10.93671034|0|0|-0.021071408|-0.04311702|-0.46105149|2|0.6995252890000001|-0.124285418|0.8755534909999999|0.8473227320000001|-0.081264417|-0.095957591|0.427432212|-45.82735481|5.027768049|103.5602725|86.09912617|-0.036250645|-30.51603217|0.0|-25.84337052|61.47335819|-20.44278719|-919.9254234|1968.695833|-11.52827882|0.681423344|5958.904826|25.02240371|0.0130514639999999|1126.008167|1.0|1.0|0.0|1.0|1.0|2.0|2.96|0.09|22.0|5.63|6.52|2.0|0.0|111.28|4.0|4.0|-4.8|1.0|0.0|1.0|4.89|-6.06|8.75e-07|0.000345|5.49|0.0|0.0|3.52e-10|5.08|3.7203|-1647.996662|-1647.963177|604.84|1043.33|0.2144|333.26|455.81|0.69314|0.2144|3406.0|-0.2073699999999999|0.03348545|7.6|7.6
12bg_a36|0.0|1|0|3.434779148|2|2|1.29692796|0.0|-0.040957653|-0.0076819|5.351858133|-0.044573523|0.044197531|0.057879142|-0.414822602|-0.001012333|-0.060117593|10.95885259|1|1|-0.101451485|-0.1716508239999999|-0.4459167329999999|1|0.884841888|-0.033696875|0.892249657|0.840610352|-0.075439837|-0.102664465|0.543472602|-51.74990566|13.44952052|107.3347739|109.3374477|-0.036959207|-48.31008346|14.85588272|-35.49918495|83.78068847|-25.35312333|-1267.656166|2915.548359|-17.39163005|0.860310096|6753.439903|33.900544700000005|0.01946912|1695.0272350000002|1.0|0.0|1.0|1.0|0.0|2.0|4.75|0.14|17.0|3.99|3.19|2.0|0.0|133.77|5.0|4.0|-6.26|0.0|1.0|1.0|2.82|-5.18|6.55e-06|0.00295|3.93|0.0|0.0|1.74e-08|4.42|3.8944|-2152.13793|-2152.104584|703.94|1186.75|0.4409|318.36|554.7|0.69395|0.4409|6.6844|-0.21166|0.03334656|7.8239|7.8239
13l_a6|0.0|1|0|3.433158672|1|1|1.4242139390000002|0.0|0.03093879|-0.0143011819999999|5.351858133|-0.132667824|0.0408037829999999|0.090187973|-0.858070925|-0.009326562|-0.037558466|10.95129637|1|1|-0.045794891|-0.073210645|-0.564860904|1|0.8694295409999999|-0.1470289659999999|0.84018367|0.643098986|-0.118071236|-0.126521431|0.210844002|-82.24617981|20.90615311|182.8275745|248.6104661|-0.0451862259999999|-61.3913735|118.3485042|-57.29112645|100.8610837|-31.47586631|-1762.648513|3127.831037|-21.92549054|0.7413520309999999|6462.086665999999|39.65857501|0.018273048|2220.880201|1.0|1.0|1.0|1.0|1.0|3.0|3.64|0.16|23.0|4.55|3.8|1.0|0.0|124.98|7.0|5.0|-6.59|0.0|0.0|1.0|3.07|-4.77|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|0.0|1.29e-09|5.41|3.5499|-1465.865882|-1465.834958|735.52|1249.13|0.3115|338.07|578.91|0.7002|0.0165|7.2582|-0.19447|0.03092407|6.4145|6.4145
13_a10|0.0|0|0|0.0|1|1|1.343837907|2.091672336|-0.059862024|-0.0057715859999999|5.4161004020000005|-0.055497169|0.038726287|-0.093280469|-0.259721373|0.00384732|-0.002128014|10.9296146|1|1|-0.017015286|-0.02811323|-0.345108701|2|0.761923976|-0.002671425|0.84680169|0.818027691|-0.094726989|-0.082327045|0.4676169839999999|-47.88975806|6.168030793|174.7319717|91.99711608|-0.030119651|-21.04167667|0.0|-24.21093442|51.21590298|-15.22715739|-624.3134531000001|1630.880014|-7.698174391|0.816739845|4941.066161|21.31179541|0.018979132|873.7836118999999|1.0|1.0|0.0|1.0|1.0|1.0|3.02|0.15|21.0|3.52|3.81|0.0|0.0|97.14|2.0|4.0|-6.34|0.0|1.0|1.0|2.91|-4.1|7.87e-05|0.0258|2.76|0.0|0.0|2.49e-07|2.48|3.8419|-1065.874094|-1065.839441|550.83|926.41|0.3905|212.63|376.77|0.34881|0.1514|3.6904|-0.20959|0.0346535|6.7959|6.7959
8a_a32|0.0|1|1|3.217128449|0|0|0.609420757|0.0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|0.04008547|-0.0281981579999999|-0.497414715|-0.003484915|-0.020716518|10.31100269|3|3|-0.0852122769999999|-0.1534110109999999|-0.591393096|0|0.788133615|-0.2166242669999999|0.8966299409999999|0.814553726|-0.083474428|-0.109412858|0.221908108|-52.34893512|11.48993376|73.64907732|116.298071|-0.035678106|-43.03057598|66.81560596|-32.82934751|79.73671389|-22.37464674|-1029.23375|3312.822051|-14.03170956|0.923166883|5659.295213|29.86932167|0.017733503|1373.988797|1.0|1.0|1.0|1.0|1.0|2.0|3.48|0.26|19.0|6.49|4.65|2.0|0.0|110.69|7.0|4.0|-5.76|1.0|0.0|1.0|4.07|-4.99|1.02e-05|0.00406|4.17|0.0|0.0|2.23e-08|4.98|3562.0|-1880.767206|-1880.732222|667.29|1110.23|0.4315|348.07|566.07|0.70316|0.4315|4.8933|-0.2061599999999999|0.03498398|7.3468|7.3468
12ah_a36|0.0|1|0|3.456839001|2|2|1.297013411|0.0|-0.050415481|-0.007648622|5.351858133|-0.043678703|0.043848238|0.078459408|-0.41302559|0.0005016269999999|-0.083956827|10.95983779|1|1|-0.103922055|-0.177407665|-0.444563583|1|0.8941919290000001|-0.0861053359999999|0.8910146309999999|0.828405275|-0.0758457179999999|-0.1059368909999999|0.271553945|-49.0084977|11.93961081|82.70705743|110.8777131|-0.038137281|-44.23111357|0.0|-31.66734951|80.02464883|-24.6427998|-1232.13999|2334.380591|-15.92320089|0.8802726820000001|6015.129321|32.04915319|0.017909528|1602.457659|1.0|0.0|0.0|1.0|0.0|2.0|4.73|0.14|17.0|3.35|2.54|1.0|0.0|128.76|5.0|4.0|-6.49|0.0|1.0|1.0|2.34|-4.59|2.55e-05|0.0106|3.31|0.0|0.0|6.65e-08|3.79|3.7792|-1692.545871|-1692.512868|682.21|1148.39|0.6729|237.25|532.36|0.40051|0.0485|5.4979|-0.2107099999999999|0.03300341|7.9586|7.9586
32_a47|0.0|0|1|0.0|1|1|1.216307925|1.998170616|-0.1746026239999999|-0.003573735|4.727387819|0.000921003|0.035568182|-0.013510009|-0.2037028839999999|0.001861676|-0.026022099|10.95005715|1|1|-0.077485193|-0.157688306|-0.2749014|2|0.6636125860000001|-0.078006445|0.858292442|0.851627782|-0.05770007|-0.0726950079999999|0.266433793|-41.57905445|13.90468487|28.55112477|106.9180086|-0.026060474|-37.74862456|44.50423685|-29.9621436|68.76811937|-18.77935151|-995.3056298|2255.632049|-13.53252578|0.794977846|6235.398576|29.28959351|0.022735861|1552.348456|1.0|1.0|0.0|1.0|1.0|2.0|3.35|0.26|21.0|4.18|5.07|2.0|0.0|125.17|5.0|5.0|-6.34|0.0|0.0|1.0|3.94|-5.05|8.89e-06|0.0038799999999999|3.7|0.0|0.0|1.5e-09|2.97|3.6829|-1778.127634|-1778.0970140000002|692.49|1184.76|0.2969|252.79|548.86|0.48011|0.2839|4.8234|-0.20778|0.03062031|7.0|7.0
4e_a49|0.0|0|0|0.0|1|1|1.343847746|2.085628989|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|0.036555556|-0.080255074|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|1|1|-0.037142108|-0.060391347|-0.403194204|2|0.7541604690000001|0.032396301|0.856023531|0.757062331|-0.09422276|-0.087866673|0.433385455|-57.79309816|10.51443916|313.22432680000003|149.0098632|-0.029288891|-33.05708028|60.11195021|-35.44835874|68.38360061|-17.96482878|-916.2062675|1647.641653|-11.01902676|0.892633982|5950.361470000001|27.6242383|0.023622273|1408.836153|0.0|1.0|1.0|1.0|1.0|2.0|3.35|0.22|21.0|3.4|2.83|1.0|0.0|114.08|6.0|5.0|-7.52|0.0|0.0|1.0|2.42|-3.52|0.000305|122.0|1.71|0.0|0.0|4.35e-08|3.34|3.7876|-1313.199448|-1313.158118|660.22|1128.64|0.2273|216.37|504.63|0.4078199999999999|0.0789|3.9718|-0.2231199999999999|0.04133034|7.4685|7.4685
12l_a36|0.0|1|0|3.426092687|2|2|1.297044247|0.0|-0.0944961519999999|-0.0076430169999999|5.351858133|-0.008712073|0.039061728|0.128666217|-0.4203659179999999|-0.000143196|-0.05158636|10.95423322|1|1|-0.098598933|-0.175397741|-0.428857427|1|0.8707354620000001|-0.079106537|0.8772535459999999|0.84381923|-0.079972189|-0.107815735|0.3827446779999999|-52.05361632|14.33450402|39.27257375|101.6575135|-0.038052612|-45.67788557|1.281955437|-33.88151556|83.76912404|-24.7683114|-1263.1838810000002|2385.788754|-16.12160667|0.8586718990000001|6121.6555530000005|33.56329135|0.02088234|1711.727859|1.0|0.0|1.0|1.0|0.0|2.0|4.78|0.13|17.0|2.75|1.76|1.0|0.0|128.47|5.0|5.0|-6.68|0.0|0.0|0.0|1.77|-4.29|5.08e-05|0.0206|2.95|0.0|0.0|2.21e-07|2.98|3.8619|-1325.194654|-1325.15957|686.83|1155.07|0.4524|321.05|530.75|0.6925|0.4524|5392.0|-0.20973|0.03508404|7699.0|7699.0
8b_a12|0.0|0|0|0.0|1|1|1.283836078|0.0|0.190292199|-0.012630509|0.0|-0.1676879319999999|0.03977208|0.028584223|-0.618894925|-0.010117477|-0.036536396|10.95438057|0|0|0.003898807|0.006468729|-0.659952678|1|0.89481633|-0.183648492|0.792160599|0.740926309|-0.1053827859999999|-0.116554734|0.4384536329999999|-60.97837482|6.513753986|319.0086845|149.9096134|-0.045608374|-39.02494133|76.80174559999999|-35.28434152|72.85978933|-26.39069094|-1213.971783|1437.536303|-15.27062922|0.926552694|5217.318476|29.68794201|0.009361504|1365.645333|0.0|1.0|1.0|1.0|1.0|2.0|4.11|0.1|18.0|3.11|1.9|1.0|0.0|110.58|4.0|4.0|-6.51|0.0|0.0|0.0|2.51|-4.01|9.74e-05|0.0346|2.76|0.0|0.0|3.56e-08|5.11|3.7446|-1159.405202|-1159.365835|611.93|1020.47|0.3179|293.37|460.08|0.53425|127.0|4.2554|-0.21184|0.03936706|6.58|6.58
6_a3|0.0|0|0|0.0|0|0|0.605016564|0.0|0.155665791|-0.008934536|4.727387819|-0.106234254|0.038650794|-0.025021661|-0.330577816|-0.007540435|0.05584062|10.3116226|1|1|0.020589494|0.036673175|-0.594308852|2|0.881253042|0.055002252|0.8632654590000001|0.783322023|-0.1042506469999999|-0.098669224|0.556539611|-52.01903278|5.449560482000001|236.2008316|108.118071|-0.037726468|-24.56680878|77.06094911|-25.95647951|56.71997588|-18.8247694|-640.0421597|1899.385061|-9.393191593|0.633675574|4992.54948|23.4484528|0.0150025189999999|797.2473951000001|1.0|1.0|1.0|1.0|1.0|1.0|3.05|0.0|21.0|4.96|4.66|1.0|0.0|95.5|2.0|3.0|-5.68|0.0|0.0|1.0|3.63|-4.87|1.34e-05|0.00455|3.79|0.0|0.0|3.28e-08|3.09|3.3963|-1731.735113|-1731.7043199999998|524.88|884.88|0.1997|212.74|366.93|0.3369|129.0|2.8131|-0.21179|0.03079258|5.7501|5.7501
30_a47|0.0|0|1|0.0|0|0|1.304327883|1.435022468|-0.069449687|-0.0092264759999999|4.727387819|-0.184735553|0.038387534|0.013114301|-0.415191425|-0.0098410169999999|-0.008774855|10.95005723|1|1|-0.035472095|-0.079370393|-0.4370608039999999|2|0.6850994429999999|0.074217097|0.913855507|0.67896733|-0.108232368|-0.107296835|0.384732322|-64.94243028|13.64937081|350.5257774|192.6285289|-0.0383202979999999|-38.63044093|76.90733636|-38.96726396|81.25550675|-22.9932445|-965.7162688|1558.731067|-13.79658605|0.879999675|5852.817155|33.84108731|0.028122734|1421.325667|1.0|1.0|1.0|1.0|1.0|2.0|3.03|0.05|21.0|2.71|3.93|1.0|0.0|104.25|5.0|5.0|-6.95|0.0|0.0|1.0|2.61|-4.1|7.94e-05|0.0315|2.5|0.0|0.0|5.74e-08|3.89|3.7159|-1696.12008|-1696.078047|615.85|1032.35|0.3566|333.66|478.04|0.6944899999999999|0.3566|2.7493|-0.20813|0.0420327|7.9|7.9
9a_a31|0.0|1|0|3.348289714|1|1|0.6101356720000001|0.0|-0.009086485|-0.01391798|5.733341277|-0.093457477|0.036891534|-0.05057805|-0.723734943|-0.006189303|0.03406986|10.31169772|2|2|-0.093527289|-0.15653721|-0.542342338|0|0.8058046320000001|-0.001313433|0.837697452|0.691768132|-0.100906991|-0.122626525|0.235442032|-64.75697831|21.33533299|163.6011874|197.8075471|-0.043430228|-50.50275387|95.14995868|-41.55773748|94.03540892|-27.87131275|-1337.8230119999998|1955.13855|-17.886392|0.939873412|6273.506211999999|37.77835579999999|0.0239033229999999|1813.361078|1.0|1.0|1.0|1.0|1.0|2.0|3.6|0.14|22.0|5.51|4.02|1.0|0.0|113.64|6.0|5.0|-6.39|0.0|0.0|1.0|3.47|-4.77|1.7100000000000002e-05|0.00715|3.47|0.0|0.0|7.35e-09|5.27|3.7892|-1691.9526239999998|-1691.9137670000002|680.72|1145.99|0.7028|327.21|540.01|0.7028|0.7028|5.0244|-0.20032|0.03885662|6.8239|6.8239
5_a4|0.0|0|0|0.0|1|1|1.343864516|2.166832955|-0.196773454|-0.001215982|5.4161004020000005|0.02257929|0.035994832|0.012532807|-0.0607990979999999|0.011630756|-0.050389825|10.92992834|1|1|-0.0471580309999999|-0.076189222|-0.164263889|2|0.655087104|-0.229773463|0.820886786|0.943148502|-0.050732198|-0.0681917309999999|0.431132276|-27.26045038|4.324106888|13.96974087|30.54859623|-0.025201292|-19.68930579|46.53110402|-14.64813624|41.76764149|-13.54166762|-622.9167106000001|1896.178084|-7.276482574|0.7058248159999999|5059.243919|16.77294978|0.009538616|771.5556899000001|1.0|1.0|1.0|1.0|1.0|0.0|3.27|0.23|21.0|4.89|4.67|1.0|0.0|104.89|3.0|3.0|-5.57|0.0|1.0|1.0|3.89|-4.84|1.4499999999999998e-05|0.0049299999999999|3.95|0.0|0.0|1.09e-08|3.71|4.0239|-1069.27374|-1069.251223|595.55|1013.0|0.1106|255.2|421.24|0.60407|67.0|2.7859|-0.21857|0.02251645|7.1487|7.1487
