molecula|TASA|SRW09|nAHRing|PPSA1|nFaHRing|SRW07|AATSC1s|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
12h_a36|536.6941285|7.412764017000001|2|219.1956304|0|5.351858133|-0.041228471|0.0464|35.0|2.92|-1347.481013|7.8539
19f_a38|479.6831205|7.412764017000001|2|169.6496169|0|5.351858133|-0.084341564|29.0|0.0272|3.41|-1332.190216|7.1397
11a_a5|638.3599998999999|6.605297921|0|185.1520983|0|4.59511985|0.052217882|2.39e-05|0.000167|4.83|-1339.8362619999998|7.0915
12bd_a36|549.5039111000001|7.412764017000001|2|143.6066496|0|5.351858133|-0.045630197|0.0117|0.0102|3.79|-1311.591775|7.7696
8c_a12|428.8355831|0.0|1|120.19586|0|0.0|-0.055163114|107.0|0.0598|2.76|-1022.77302|7.3979
8h_a8|354.18563860000006|7.05012252|0|48.02637252|0|4.844187086|-0.249095464|0.0023899999999999|0.00395|7.71|-1361.651799|4.9359
11f_a5|589.7388387999999|6.605297921|1|340.3683339|0|4.59511985|0.022233547|0.0477|0.0234|2.25|-1391.7602960000002|7.9208
EW7203_a60|573.0312689|7.412764017000001|2|150.7881632|0|5.351858133|0.0075638519999999|0.000768|0.0065|3.64|-1668.025575|8.0334
12ab_a30|562.8556061|7.412764017000001|2|278.7324985|0|5.351858133|-0.030346359|0.00113|0.00456|3.34|-1804.824495|7.7825
11b_a31|303.7286124|7.765993078999999|1|183.9081702|0|5.733341277|-0.172248605|0.00649|0.0637|4.07|-1520.085181|6.2757
16_a15|494.6488764|0.0|0|89.91997762|0|0.0|-0.463771194|0.000442|0.00274|8.26|-1770.509465|7.6778
4n_a46|496.2788787|7.825245291|1|75.1696593|0|5.587248657999999|-0.036492128|0.00129|0.00273|4.57|-1090.343872|5.2845
12u_a30|568.9563615000001|7.412764017000001|2|126.9521524|0|5.351858133|-0.027452346|0.000123|0.0004269999999999|5.08|-2494.962309|7.4647
2_a20 (SB-505124)|423.3785776|7.434257382|1|92.48561162|0|5.351858133|-0.076310057|0.0019199999999999|0.0040799999999999|4.57|-1089.371784|6.7721
1d_a5|484.3911442|6.605297921|0|123.9992274|0|4.59511985|-0.308010841|0.00589|0.00396|3.58|-1288.340378|5.03
25c_a34|455.6954382|7.412764017000001|2|308.52165519999994|0|5.351858133|-0.047513652|659.0|0.22|4.32|-1426.704645|5.7496
8b_a8|342.0904577|7.535296702|1|133.8974321|0|5.4161004020000005|-0.182065125|7.0|0.0153|6.41|-1407.0843|5.2941
43_a18|661.9512957999999|7.03438793|2|97.56464265|0|4.844187086|-0.01369899|0.00018|0.000554|8.79|-1611.621186|6.2041
7_a4|415.6938929|7.535296702|1|141.9530115|1|5.4161004020000005|-0.003297033|0.0514|13.0|2.91|-1089.870249|6821.0
4S4l_a46|487.3122681|7.825245291|1|66.47624804|0|5.587248657999999|-0.075241716|0.00182|0.0027|4.99|-1092.753999|6.5834
18c_a25|623.0528232|6.842683282|0|165.67090530000002|1|4.727387819|-0.008080236|0.000398|0.00113|4.75|-1714.597797|7.0555
12l_a36|549.2389652|7.412764017000001|2|170.5619816|0|5.351858133|-0.008712073|0.0111|0.0206|2.98|-1325.194654|7699.0
13b_a30|468.6532296|7.412764017000001|2|134.8423681|0|5.351858133|-0.118776867|0.00427|0.0221|4.54|-1744.492044|7.5901
18b_a25|656.9874135|6.842683282|0|151.02439719999998|1|4.727387819|0.0131826839999999|0.000132|0.000899|4.32|-1767.52411|7.2924
12i _a30|550.7287204|7.412764017000001|2|126.4796844|0|5.351858133|-0.030422458|0.0005139999999999|0.00156|4.45|-2035.373964|7.8013
47a_a18|638.5417107999999|7.03438793|1|169.2144153|0|4.844187086|-0.18843247|9.9e-05|0.00143|8.82|-2098.807018|9.0
5_a4|506.7916175|7.535296702|1|103.5177395|1|5.4161004020000005|0.02257929|0.00925|0.0049299999999999|3.71|-1069.27374|7.1487
12au_a36|502.8713191000001|7.412764017000001|2|204.2726719|0|5.351858133|-0.351827031|0.0668|0.0897|6.24|-1876.207937|7.3279
