molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|SaaaC|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
19a_a22|0.0|0|0|0|0.0|6.842683282|0|1.422917238|1.572240489|-0.000989685|-0.144269652|2|0.0389622639999999|1.545757986|0.016501913|-0.001355145|-0.035723406|-0.0611158559999999|-0.496053375|2|0.72808001|0.777600172|0.0271939039999999|1|-0.09370213|0.51561501|-67.26339083|18.53458775|373.8201781|0.255645265|-0.035138299|106.645364|0.684706189|-1.967744721|-50.18975739|-26.21905704|0.4347718229999999|-1468.267194|2607.322873|8.648671382|15.30120355|0.76919701|7095.27723|-1095.573288|38.29242013|0.025888799|-275.6435167|1.0|1.0|1.0|1.0|2.0|2.27|0.08|27.0|3.08|128.68|0.98|1.0|0.0|132.15|0.0|7.0|-4.38|35.0|6.0|-7.67|0.0|0.0|2.36|4.16e-05|0.0356|2.05|0.0|-0.06398|-1537.071348|740.07|1277.14|0.2218|567.03|0.34556|-0.21478|0.04718381|6.5658|7.3188|7.3188
12bf_a36|0.0|1|0|0|3.31325137|7.412764017000001|2|1.297043948|0.0|-0.024689509|-0.119979424|2|0.044197531|0.0|-0.0206090089999999|-0.004358975|-0.098027247|-0.250781298|-0.433281391|1|0.653741315|0.836170906|-0.033696875|0|-0.110255801|0.356652646|-58.26326838|14.01562806|87.14111344|0.320859336|-0.037486972|0.0|0.7054709690000001|-1.874348624|-37.52534442|-24.14405495|0.474826911|-1207.2027480000002|2522.341812|7.546900716000001|14.37031118|0.904134124|6271.550446|-777.5172959|34.22402339|0.02371294|-264.6734075|0.0|0.0|1.0|0.0|2.0|0.0|0.14|17.0|3.55|69.2|2.78|1.0|0.0|123.67|0.0|5.0|-3.99|31.0|6.0|-6.8|1.0|0.0|2.44|0.000102|0.0201|2.88|0.0|-0.0571299999999999|-1431.413697|670.85|1120.94|0.4518|517.66|0.40663|-0.2139|0.03299488|7.5932|8.2218|8.2218
22_a10|0.0|0|0|0|0.0|7.535296702|1|1.343837143|2.113627059|-0.067641834|-0.017163935|2|0.036101695|1.880539113|-0.020475007|0.008903905|-0.129989728|-0.208132084|-0.356699217|2|0.670763832|0.747363443|-0.033474297|1|-0.0649866779999999|0.775071808|-41.96631248|13.023146|75.58376652|0.130170086|-0.022372463|60.10354816|0.564323334|-1.3647202319999998|-32.68604442|-17.4251029|0.422182297|-1062.931277|2668.5420940000004|8.84228648|15.30289992|0.730649641|7414.102179|-827.8787647|30.87787063|0.026340252|-100.1982412|1.0|1.0|1.0|1.0|0.0|4.14|0.17|27.0|4.64|73.14|2.8|2.0|0.0|139.53|0.0|6.0|-5.34|36.0|5.0|-6.29|0.0|0.0|4.26|4.55e-06|0.0014|4.1|0.0|-0.05712|-1544.237634|770.92|1339.48|0.2624|602.93|0.4483899999999999|-0.2180699999999999|0.03366599|6.5841|5.9586|5.9586
7_a15|0.0|0|0|0|0.0|0.0|0|1.419941457|0.0|-0.2269896539999999|-0.038088878|1|0.035075075|0.0|0.0019353679999999|0.002150323|-0.211522056|-0.310081401|-0.335491052|1|0.857287135|0.70084115|0.00364345|0|-0.110819329|0.403524276|-41.29775265|20.31436245|103.8062879|0.158599673|-0.026500274|56.30310755|0.448664402|-1.2190126140000002|-22.92132733|-14.70834175|0.396557391|-676.5837204|1624.468817|6.01738192|9.971755103|0.657158418|5097.868552|-375.5215702|32.78250222|0.042799094|56.98518567|1.0|1.0|0.0|1.0|1.0|3.14|0.15|18.0|3.38|61.84|1.74|2.0|0.0|99.77|0.0|7.0|-4.83|26.0|5.0|-5.72|1.0|1.0|3.35|1.46e-05|0.0113|3.84|0.0|-0.0284899999999999|-1184.385377|580.73|1000.95|0.3463|499.86|0.64652|-0.18454|0.01827873|1631.0|6644.0|6644.0
EW7203_a60|0.0|0|0|0|0.0|7.412764017000001|2|0.604984431|0.0|0.025672274|0.0075638519999999|2|0.041767677|0.0|-0.051413084|0.0036417359999999|-0.049287858|-0.090115975|-0.458129101|1|0.80330079|0.822401103|-0.089945913|0|-0.096226348|0.345488097|-49.19385637|13.03554647|80.48638339|0.113924842|-0.036566012|0.0|0.766837077|-1.828300603|-31.81402579|-23.64750675|0.497298165|-1182.375337|1660.077477|8.310125852|16.53092404|0.989250745|6403.777228|-764.6507562999999|30.83771958|0.01793256|-345.1309687|0.0|1.0|1.0|1.0|2.0|3.21|0.13|17.0|3.87|117.47|2.17|2.0|0.0|133.97|0.0|5.0|-5.74|31.0|4.0|-6.35|0.0|0.0|3.09|1.81e-06|0.0065|3.59|0.0|-0.06188|-1668.025575|678.83|1166.44|0.2385|546.85|0.40883|-0.20654|0.03203878|2.5159|8.0334|8.0334
19h_a38|0.0|1|0|0|3.2723542610000003|7.412764017000001|2|1.297044177|0.0|-0.088176988|-0.082283951|2|0.042622739|0.0|-0.070688288|-0.000673716|-0.101303149|-0.217394466|-0.420225236|1|0.724208473|0.819222745|-0.121374121|0|-0.109986804|0.3263113569999999|-48.43313101|12.51014765|136.81322659999998|0.225371198|-0.03959525|0.0|0.75379331|-1.979762478|-28.533396600000003|-23.32673803|0.47459722|-1166.336902|1839.424968|6.820483788|12.98143834|0.903301693|6253.901215|-687.1237247|30.94580137|0.020207411|-299.0343596|1.0|1.0|1.0|1.0|3.0|2.43|0.14|17.0|3.13|81.23|2.4|1.0|0.0|125.69|0.0|5.0|-4.14|30.0|4.0|-6.77|0.0|1.0|2.66|7.209999999999999e-05|0.0272|2.78|0.0|-0.05708|-1332.187847|626.65|1092.17|0.2355|452.01|0.68472|-0.20379|0.03396934|9.0777|8.0348|8.0348
15_a3|0.0|0|0|0|0.0|6.823286122000001|1|0.619596467|0.0|0.079167398|-0.092127078|3|0.045993266|1.809035179|0.021805556|-0.004459728|-0.022386155|-0.039798975|-0.505519936|3|0.968837995|0.813015336|0.036380489|1|-0.107619999|0.451058529|-47.26593592|4.04445331|315.5421792|0.221091166|-0.037667|0.0|0.850327497|-1.50667999|-24.19332693|-19.28005913|0.461565365|-771.2023653|1433.713715|5.371119692000001|9.975434973|0.85723565|4617.470007|-394.7441342|22.67368656|0.010200078|-358.6340772|1.0|0.0|1.0|1.0|1.0|0.0|0.24|16.0|2.21|89.99|0.96|0.0|0.0|94.29|0.0|2.0|-2.77|23.0|5.0|-7.35|0.0|0.0|1.2|0.0017|306.0|1.28|0.0|-0.06319|-1328.688126|553.81|916.07|0.4107|398.12|0.2843199999999999|-0.22079|0.0228507|2.3271|7.6021|7.6021
13a_a6|0.0|1|0|0|3.417162147|7.412764017000001|1|1.430639975|0.0|-0.042110772|-0.0265090529999999|1|0.041767677|0.0|-0.0525259259999999|-0.00194781|-0.10896749|-0.180339002|-0.488098052|1|0.850080948|0.7722228729999999|-0.091892803|0|-0.113446379|0.22670695|-61.52313164|20.83876732|154.9639272|0.22549456|-0.040840697|554.4922449|0.759912392|-2.042034827|-40.23198232|-26.70706346|0.467070451|-1335.353173|2626.396685|8.038453162|15.08351934|0.8764206290000001|6019.922535|-873.2309916000002|35.14492428|0.02016134|-339.9303794|1.0|1.0|1.0|1.0|2.0|3.2|0.12|23.0|4.98|95.85|1.29|2.0|0.0|116.79|0.0|5.0|-5.51|31.0|5.0|-6.1|0.0|1.0|3.52|3.11e-06|0.00417|3.8|0.0|-0.05018|-1350.085889|695.29|1166.79|0.5352|571.9|0.4816|-0.19987|0.02818646|9.2157|7.3372|7.3372
5_a4|0.0|0|0|0|0.0|7.535296702|1|1.343864516|2.166832955|-0.196773454|0.02257929|2|0.035994832|2.189593648|-0.134215501|0.0111310589999999|-0.0471580309999999|-0.076189222|-0.164263889|2|0.655087104|0.767615203|-0.229773463|1|-0.0681917309999999|0.431132276|-27.26045038|4.324106888|13.96974087|0.056851498|-0.025201292|46.53110402|0.807351587|-1.159259431|-14.64813624|-13.54166762|0.413773331|-622.9167106000001|1896.178084|5.758733969|9.823391314|0.7058248159999999|5059.243919|-334.71819839999995|16.77294978|0.009538616|-330.3047347|1.0|1.0|1.0|1.0|0.0|3.08|0.23|21.0|4.89|43.6|2.88|1.0|0.0|104.89|0.0|3.0|-4.57|26.0|3.0|-5.57|1.0|1.0|3.89|2.72e-05|0.0049299999999999|3.95|0.0|-0.04892|-1069.27374|595.55|1013.0|0.1106|421.24|0.60407|-0.21857|0.02251645|3.1619|7.1487|7.1487
3l_a32|0.0|1|1|1|3.672194822|7.773594467000001|0|0.609420748|0.0|-0.003342759|0.0043645509999999|0|0.035643275|2.259257465|-0.107818594|0.002942329|-0.04980249|-0.087213805|-0.524711546|0|0.820540279|0.751853889|-0.184582641|1|-0.088417589|0.270668623|-40.30321333|7.120934925|61.72183119|0.114441512|-0.028831823|0.0|0.788236719|-1.326263838|-23.43792428|-16.76685351|0.453630671|-771.2752615|2415.340446|6.414825717|11.74082324|0.8302637909999999|5429.531532999999|-448.5272931|21.27134288|0.011493763|-335.2422712|0.0|1.0|1.0|1.0|1.0|3.54|0.35|19.0|7.34|110.94|2.64|2.0|0.0|110.16|0.0|3.0|-7.6|26.0|3.0|-4.71|0.0|1.0|5.04|2.52e-08|0.0003689999999999|5.51|0.0|-0.0529799999999999|-1789.475625|629.26|1062.47|0.2876|468.81|0.70282|-0.19962|0.02547484|5.7721|7.9208|7.9208
