molecula|NaaNH|n9FaHRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
5f_a40|0|0|0.0|1|1|0.60491326|1.656591081|-0.004886759|-0.008387329|0|0.769837491|-0.293556526|10.31198329|0.062183277|2|-0.155235986|0.100535344|0.18254908|-0.4644854879999999|0|0.811339477|-0.465573352|0.095322868|0.680674762|1|0.7414714309999999|-0.10969397|0.0528268609999999|-52.44868801|-50.68028366|222.1847349|0.258528569|-0.041135239|-23.41506245|0.814393685|-24.23209217|57.61052946|61.79838068|0.484099946|1932.388838|342.5710869|-608.163404|-8.780648419|5.780627322000001|11.20493646|0.938359946|3963.475837|85.75294257|23.33651|0.015000038|746.7683199|269.0442248|6.930245797|1.0|1.0|1.0|3.08|14.0|2.68|0.0|3.0|3.0|-6.47|284.34|1.0|2.23|-3.31|0.000108|0.0307|0.000491|0.14|2.2|0.0|0.0|0.0587|3.8036|3.5|-1232.983157|-1232.959261|487.57|793.54|405.03|0.2747|325.97|361.03|0.56507|0.69727|-0.13057|5.5961|-0.19284|112.0|6.9508|6.9508
5_a27|0|0|0.0|2|0|1.4026035369999998|3.2927747860000003|0.126882432|-0.0063562359999999|2|1.271687295|-0.286030638|10.93772408|-0.013448351|1|-0.250776983|-0.2030237389999999|-0.341622797|-0.4982037479999999|2|0.760083119|0.180356685|-0.020087122|0.614205449|1|0.8531787759999999|-0.085078576|0.333977277|-29.50048722|-44.83538435|10.48961936|0.146821224|-0.030385206|-23.6277072|0.741481472|-15.54640123|53.51978325|38.43699603|0.439066197|2273.906133|449.6149323|-672.5307653|-8.438466859|6.160679036|10.98289851|0.7827415529999999|4943.51602|136.2361487|21.59546513|0.016479312|907.0095354|424.8821143|8.684398894|0.0|0.0|1.0|3.07|21.0|2.8|0.0|2.0|4.0|-6.49|331.37|1.0|2.82|-4.01|0.000248|0.0821|9.78e-05|0.0324|2.58|0.0|0.0|0.0002|4.0989|4.9|-1083.143246|-1083.124207|566.68|955.22|302.48|0.2448|302.48|463.87|0.64548|0.64548|-0.16952|2.3781|-0.21506|3.0|8.5229|8.5229
12e_a40|0|0|0.0|1|0|0.604990524|1.6315143930000002|0.061944605|-0.015461694|0|0.665270062|-0.556620974|10.31197242|-0.192362496|2|0.292184471|0.103406816|0.172778196|-0.520457262|0|0.788800541|0.047011204|-0.279310345|0.8096582170000001|1|0.7798787840000001|-0.122830115|0.284429447|-71.78145688|-66.68049019|206.0119599|0.220121216|-0.048387621|-36.19867792|0.790818822|-38.96782748|78.14505956|79.97685498|0.491465612|2391.0322170000004|423.3709264|-866.8463724999999|-14.26008524|8.014314957|15.75963228|0.966435355|5478.52313|113.5576846|33.21629575|0.021118537|1096.13776|348.3847394|11.46456937|1.0|0.0|0.0|3.27|20.0|4.84|0.0|2.0|4.0|-5.26|378.23|1.0|3.98|-5.64|2.98e-07|0.000113|2.27e-06|0.00086|4.72|0.0|0.0|0.000346|4.3236|4.66|-2248.276958|-2248.244231|552.91|918.38|409.82|0.4494|286.76|445.12|0.6826|0.70157|-0.12616|2.5946|-0.19912|1.17|5.9318|5.9318
12o_a30|0|0|0.0|0|2|0.604984133|0.0|0.036331447|-0.0068750669999999|2|0.0|-0.364378536|10.31162888|-0.087019298|1|-0.157974241|-0.051371057|-0.090173435|-0.465857798|1|0.815003426|-0.054392357|-0.149451598|0.7463962120000001|0|0.844344883|-0.0975052409999999|0.402022325|-49.48891079|-62.74209511|75.15128057|0.1556551169999999|-0.037808155|-40.37291185|0.8131344979999999|-31.84483128|71.87393121|59.43716284|0.46964626|2860.371518|543.3140456|-1192.099807|-15.65480256|7.400912529|13.95467208|0.885533983|6542.77337|120.2431068|29.91948755|0.0141914589999999|1466.05489|652.8825454|9.131836103|1.0|1.0|0.0|4.63|17.0|3.27|0.0|5.0|4.0|-5.75|432.93|1.0|3.11|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|4.49|0.0|0.0|2.61e-05|5.1935|4.45|-2035.37262|-2035.338699|687.92|1162.63|356.1|0.1967|238.73|528.25|0.3493699999999999|0.6854399999999999|-0.1478799999999999|5559.0|-0.19873|16.0|7.8097|7.8097
11c_a5|1|0|2.930680267|0|0|1.427567332|0.0|-0.2117133739999999|-0.004590583|2|0.0|-0.224938556|10.94877953|-0.023856811|1|-0.138950411|-0.011677718|-0.018887528|-0.269653478|2|0.8020105409999999|0.030085871|-0.044126759|0.658307423|0|0.80472351|-0.0873419269999999|0.389427402|-47.99592739|-53.12487972|31.61751609|0.19527649|-0.0322785379999999|-32.31269264|0.707039635|-29.19305715|66.02857181|58.854300300000006|0.448016491|2497.685314|489.4652669|-903.1229552|-11.94164728|8.88462927|16.09582374|0.811648325|5202.741647999999|178.1902995|27.76804404|0.021214793|1277.330026|523.8031619|12.90369209|1.0|1.0|1.0|2.96|23.0|4.17|0.0|6.0|5.0|-6.59|370.4|1.0|3.0|-4.1|7.38e-05|0.0273|7.950000000000001e-05|0.0294|2.78|0.0|0.0|1.26e-06|4.5035|4.53|-1218.492067|-1218.454079|636.14|1071.71|294.59|0.5327|275.3|512.32|0.60118|0.6267699999999999|-0.1713299999999999|2.5278|-0.21448|25.0|7.6021|7.6021
12f_a30|0|0|0.0|0|2|0.60498366|0.0|0.156569208|-0.015345198|2|0.0|-0.874676289|10.31162828|-0.046588557|1|0.4304505939999999|-0.077457998|-0.226973911|-0.6394697460000001|1|0.8246767140000001|-0.043091382|-0.071123509|0.593245722|0|0.8357464459999999|-0.108935062|0.56363596|-63.81176255|-76.85198573|101.2862703|0.164253554|-0.0452183279999999|-54.21787616|0.815175332|-45.01820228|89.21786458|74.88972286|0.472521727|3305.792133|589.6060704|-1690.743686|-22.5055335|8.366190175|15.86072943|0.8958126809999999|7634.176316|130.3909181|39.1336968|0.01752821|2074.08593|696.6414817000001|12.36587885|1.0|1.0|0.0|4.73|17.0|4.78|0.0|7.0|8.0|-5.66|482.48|0.0|3.42|-5.92|1.99e-07|9.63e-05|1.2e-06|0.000579|5.05|0.0|0.0|3.19e-05|5.0587|5.52|-1988.032639|-1987.998635|729.87|1225.63|351.25|0.2166|245.09|574.31|0.32483|0.68471|-0.14958|3.6633|-0.20422|19.0|7.7144|7.7144
16_a3|0|0|0.0|0|0|0.605020428|0.0|0.183636734|-0.010031024|2|1.614080058|-0.371147877|10.31163046|-0.018884246|1|0.069124437|0.0032314229999999|0.008045619|-0.614173961|2|0.767641592|-0.142670655|-0.031683873|0.640070307|1|0.6974791290000001|-0.100138414|0.252612735|-53.7971544|-49.45999101|248.6415425|0.302520871|-0.041233465|-24.42909382|0.8296818009999999|-26.57128935|56.56724056|59.82469895|0.484889078|2184.788331|344.4962834|-692.4398741|-10.05903863|5.780331402000001|11.22152755|0.941329444|4733.033232|84.12292796|24.54661368|0.0143895839999999|834.5848652000001|328.71459869999995|7.107249553|1.0|1.0|1.0|3.13|21.0|4.57|0.0|2.0|4.0|-5.89|322.36|1.0|3.5|-4.49|1.05e-05|0.0033799999999999|3.2200000000000003e-05|0.0104|3.35|0.0|0.0|2.25e-05|3.2208|3.19|-1371.388717|-1371.360243|520.28|856.09|384.94|0.3866|384.94|368.22|0.6944100000000001|0.6944100000000001|-0.13195|2.8688|-0.2029|42.0|7.3768|7.3768
11_a15|0|0|0.0|0|1|1.435688956|0.0|-0.1758968389999999|-0.0064953419999999|3|0.0|-0.402711212|10.95979791|0.023543401|0|-0.056500144|-0.173728081|-0.272482143|-0.363940085|2|0.718800243|0.0234789439999999|0.0432314409999999|0.796300317|0|0.8945381259999999|-0.0974577669999999|0.632319408|-44.15161868|-66.78526188|143.8088883|0.105461874|-0.033606127|-45.76619542|0.739315684|-30.25595097|79.1792768|56.84224275|0.470042906|3022.859488|613.0036107000001|-1335.705238|-15.7814467|6.233494755|11.76226306|0.8869452090000001|7002.915718000001|178.640152|31.14961732|0.018086221|1806.677804|830.7967967000001|12.39401492|1.0|0.0|0.0|4.1|24.0|6.69|0.0|6.0|4.0|-5.26|448.52|0.0|4.62|-6.1|4.77e-07|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|0.0|5.7e-07|4.7106|5.04|-1450.740771|-1450.705737|739.57|1284.85|418.94|0.2657|263.2|568.22|0.58935|0.70577|-0.12134|812.0|-0.16011|739.0|6.1314|6.1314
12az_a36|1|0|3.465535084|0|2|1.297042831|0.0|-0.196183836|-0.009570959|2|0.0|-0.593399474|10.95957115|-0.012800556|1|0.129156742|-0.176729938|-0.289604649|-0.387734368|1|0.812921349|-0.061924322|-0.021825174|0.8350231859999999|0|0.819163613|-0.10786263|0.411597359|-50.28669997|-75.58351856|60.11023222|0.180836387|-0.033474609|-52.96429617|0.583865006|-35.23783652|99.82512582|74.65245915|0.462897841|3039.528467|574.0196415|-1360.503334|-16.43719536|8.449849817|15.73229538|0.861843195|6700.839465|291.60189260000004|40.17530387|0.034594361|2330.167624|766.4854363|24.24160725|1.0|1.0|1.0|4.96|17.0|1.9|0.0|7.0|6.0|-7.13|441.49|0.0|1.75|-4.15|7.75e-05|0.0342|7.13e-05|0.0315|2.62|0.0|0.0|7.11e-05|3.8863|2.68|-1461.990465|-1461.962459|737.12|1252.18|343.5|0.4383|319.03|576.54|0.69385|0.70333|-0.14879|6.3778|-0.19846|58.0|7.2366|7.2366
7c_a10|0|0|0.0|1|1|1.343178184|2.1219657030000003|-0.152261681|-0.00375251|2|1.798334646|-0.206388032|10.92926158|-0.066271289|1|-0.176560297|-0.12177839|-0.191576261|-0.215874011|2|0.7928588059999999|-0.087063341|-0.105104647|0.6952665379999999|1|0.906276489|-0.0876410609999999|0.487148112|-29.66615908|-51.2378943|87.99694927|0.093723511|-0.0223398779999999|-29.95538587|0.52630639|-17.34382833|67.01436709|45.70671102|0.4675549639999999|2616.8970870000003|529.8395322|-666.0926258|-7.635686595|6.703148323|12.58937144|0.8781281320000001|6034.895823|276.93712|24.81565867|0.0269852389999999|1265.598592|611.4957509|15.7764728|1.0|1.0|1.0|3.48|21.0|4.43|0.0|4.0|5.0|-6.2|386.45|1.0|3.59|-4.69|3.59e-05|0.0139|2.05e-05|0.00793|3.46|0.0|0.0|6.4e-06|5.4267|2.76|-1259.011598|-1258.985004|635.47|1102.43|323.24|0.4049|228.47|488.89|0.41348|0.68708|-0.16055|3.9465|-0.20059|3.81|5.4191|5.4191
