molecula|NaaNH|n9FaHRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
GW6604_a52|1|0|2.944144148|0|0|1.427583999|0.0|-0.277102285|-0.002149879|2|0.0|-0.085995143|10.94914378|-0.028376521|1|-0.131886693|0.039867344|0.067497086|-0.201462112|2|0.693399445|0.074868979|-0.057466653|0.689009112|0|0.87346455|-0.072069252|0.38374044|-35.51891876|-35.62691523|157.2481263|0.12653545|-0.029217264|-17.61190876|0.73529506|-17.55852148|44.37166117|39.97842884|0.4597869779999999|2044.612273|431.7909048|-534.4037285|-7.13996301|6.2973559020000005|11.6571716|0.851121611|4168.525878|130.8549791|19.64292268|0.01768964|726.7881391|359.1060668|8.744745933999999|1.0|1.0|1.0|2.68|23.0|4.2|0.0|3.0|3.0|-5.95|298.34|1.0|3.08|-4.16|0.000135|0.0402|6.929999999999999e-05|0.0207|3.06|0.0|0.0|2.78e-06||||||||||||||||107.0|6.9706|6.9706
galu_a46|0|0|0.0|1|1|1.343828866|2.082220175|0.048375705|-0.00642454|2|1.721297609|-0.327651527|10.92740177|-0.1121767259999999|1|-0.150645957|0.028964355|0.0481706809999999|-0.4671565689999999|2|0.81708619|0.044184467|-0.173285585|0.6848692759999999|1|0.7637964079999999|-0.089050651|0.5235416979999999|-50.93538037|-49.84028137|261.2602893|0.236203592|-0.03220981|-27.89483984|0.7832175929999999|-28.50774993|57.65745491|57.85086047|0.468241745|2501.785113|427.4851161|-847.2847833999999|-10.08962292|6.445819025|12.12170938|0.880553787|5641.451892|121.3297832|23.01702105|0.013967104|1081.799989|542.7276591|7.817173532999999|0.0|1.0|1.0|3.27|21.0|3.51|0.0|3.0|4.0|-6.86|369.42|1.0|2.84|-3.99|0.0001409999999999|52.0|0.000102|0.0375|2.39|0.0|0.0|2.75e-05||||||||||||||||51.0|7.2924|7.2924
3g_a32|1|1|3.542426304|0|0|0.60942078|0.0|0.015803466|-0.006258272|0|2.2144733530000003|-0.2816222539999999|10.31100273|-0.125170068|3|-0.105402305|-0.074808287|-0.133675401|-0.563371932|0|0.755211939|-0.1015732219999999|-0.1719626169999999|0.786074011|1|0.887695945|-0.098311343|0.273439311|-38.9071564|-54.47722347|42.56199385|0.112304055|-0.030429702|-30.18744099|0.8007401590000001|-21.55960626|60.55421302|45.55465473|0.447358137|2271.746759|491.89858160000006|-708.2039051|-9.343731735|5.917878616|10.70834299|0.809490137|5058.622432|110.4157723|21.05801434|0.01096673|884.4366022|475.3634141|6.076989555|1.0|1.0|1.0|3.43|19.0|5.42|0.0|3.0|3.0|-4.9|354.49|1.0|4.61|-5.59|8.12e-08|2.88e-05|2.58e-06|0.000915|5.02|0.0|0.0|1.8e-05|3.5456|4.13|-1712.060085|-1712.036238|593.24|998.86|349.68|0.2859|349.68|495.4|0.70275|0.70275|-0.14715|3.3082|-0.20065|14.0|7.8539|7.8539
10_a32|1|1|3.294952523|0|0|0.6094207629999999|0.0|0.153272514|-0.016404762|0|2.067772926|-0.771023817|10.31100271|-0.047619048|3|-0.03673326|-0.1260956869999999|-0.229450999|-0.690879647|0|0.8607827790000001|0.012125768|-0.079818594|0.764217655|1|0.7622839570000001|-0.1223816869999999|0.266552538|-54.55170955|-75.59866726|57.97512956|0.237716043|-0.038939628|-46.69945835|0.6946347429999999|-33.69815077|91.10767604|70.46302679|0.449853016|2649.882742|470.8845962|-1058.381342|-14.85891856|7.079344111|12.86809583|0.81769605|5842.926058|188.6328503|34.62844557|0.025106509|1523.651605|513.9156315|15.50900878|1.0|1.0|1.0|3.56|19.0|4.21|1.0|7.0|5.0|-6.44|399.49|1.0|3.42|-4.41|9.17e-07|0.000366|3.89e-05|0.0155|3.23|0.0|0.0|4.13e-05|3.6441|4.12|-1916.668776|-1916.631761|654.7|1086.09|340.24|0.2983|340.24|533.89|0.70228|0.70228|-0.15088|2.4919|-0.2052199999999999|7.0|8.1427|8.1427
4_a18 (SD-208)|0|0|0.0|0|2|1.304335262|0.0|0.055002235|-0.012457606|3|0.0|-0.498304229|10.95382003|-0.056245435|0|-0.047745689|-0.15379315|-0.3630339729999999|-0.564165402|1|0.83508768|-0.058455902|-0.098971722|0.721664823|0|0.77909674|-0.099573708|0.115284206|-40.10670787|-51.27494074|103.6318511|0.22090326|-0.034985357|-26.40375252|0.602029021|-20.652731600000003|69.63488061|51.01127638|0.454067432|2395.526727|401.1916387|-666.5742296|-9.276994128|6.239898178|11.42979655|0.831728055|5348.394288|204.9329964|29.9246699|0.035654206|1107.212786|363.2306414|18.35993987|0.0|1.0|1.0|2.77|22.0|4.44|0.0|3.0|6.0|-6.31|352.75|1.0|3.11|-4.38|5.12e-05|18.0|4.14e-05|0.0146|3.02|0.0|0.0|2.49e-06|5.1755|2.58|-1542.296276|-1542.276332|537.47|895.83|378.26|0.2761|239.56|396.17|0.4646|0.69028|-0.13588|3.4629|-0.2358|0.08|7.0969|7.0969
14m_a23|0|1|0.0|2|0|1.197955072|3.1160758160000004|0.05521348|-0.008929306|2|0.665608656|-0.482182526|10.3132176|-0.050626415|2|0.0879380709999999|-0.07256543|-0.226146643|-0.527662006|2|0.798384929|0.0266555739999999|-0.072906704|0.5415996160000001|1|0.9258118|-0.089285878|0.268552591|-50.63012925|-62.09952738|47.23604193|0.0741882|-0.039285786|-43.19105542|0.7958339090000001|-35.21393496|74.61692699|63.1440955|0.476833897|3255.247038|643.9145427|-1366.189602|-19.00406438|8.595073462|16.42895711|0.911438824|7588.823133|142.0002583|34.33353583|0.017997351|1716.6767920000002|658.8108151|12.51739962|1.0|1.0|1.0|3.51|26.0|6.19|0.0|6.0|7.0|-6.06|479.48|0.0|4.41|-5.79|4.1200000000000004e-07|0.000198|1.61e-06|0.000773|4.46|0.0|0.0|2.85e-06|3.6774|4.2|-1966.968005|-1966.945041|707.56|1209.21|337.15|0.3335|337.15|572.31|0.65552|0.65552|-0.15208|6.1522|-0.23555|3.0|8.5171|8.5171
15b_a50|0|1|0.0|2|1|1.353059441|4.112770601|-0.144363623|-0.0045393|1|2.018777006|-0.22696498|10.94501702|-0.124047802|2|-0.17223348|-0.131737048|-0.2185722769999999|-0.310946931|1|0.8259784720000001|0.000882622|-0.216393362|0.764606364|1|0.8209134840000001|-0.080700307|0.447220762|-47.20879251|-46.13641893|274.85729960000003|0.179086516|-0.028069672|-26.37622116|0.639017342|-26.98929785|60.03646705|58.69070955|0.478989976|2441.264256|469.3167805|-738.1827030000001|-9.174337796|6.89125222|13.22671714|0.919348867|5205.2135960000005|206.3740238|25.11269883|0.024313507|1155.184146|510.3677388|13.90004811|1.0|1.0|1.0|3.56|20.0|3.26|0.0|5.0|4.0|-6.98|357.41|1.0|2.37|-3.6|0.000654|0.2339999999999999|0.000249|0.0891|2.11|0.0|0.0|0.000687|4.0561|2.08|-1160.4989460000002|-1160.463663|613.37|1035.3|305.67|0.1796|305.67|475.99|0.65917|0.65917|-0.16737|6.9054|-0.20071|79.0|7.1024|7.1024
12a_a5|1|0|2.981252568|0|1|1.338814635|0.0|-0.256282289|-0.00166971|2|0.0|-0.09350376|10.94553751|-0.032601907|1|-0.006024869|-0.057691345|-0.093973419|-0.175245466|2|0.779533861|0.1121034509999999|-0.063558439|0.741588813|0|0.894590896|-0.067680123|0.337539208|-36.01436435|-41.59124655|13.74268646|0.105409104|-0.026030816|-25.55893402|0.746785093|-22.13179066|50.40529807|41.04680832|0.457755771|2524.410428|549.7500455|-831.8249311000001|-9.830359239|8.741980056000001|16.12184989|0.844187448|5294.775577|155.6073368|21.42066499|0.014342828|1113.8745800000002|650.3600841|8.814051518|0.0|1.0|1.0|3.06|23.0|4.26|0.0|5.0|4.0|-6.23|381.47|0.0|3.58|-4.59|5.37e-05|0.0205|2.56e-05|0.00977|3.38|0.0|0.0|5.660000000000001e-07|4.6865|2.91|-1202.02622|-1201.990542|667.31|1140.24|297.97|0.4794|264.55|508.81|0.50831|0.67169|-0.17152|2.5642|-0.21228|19.0|7.7212|7.7212
15a_a10|0|0|0.0|1|1|1.34383719|2.141907675|-0.214195114|-0.00244937|2|2.038992189|-0.144512841|10.92966696|-0.062038567|1|-0.19937094|-0.179723568|-0.285973309|-0.188634555|2|0.77630271|-0.0232534929999999|-0.1074837719999999|0.713078124|1|0.915137224|-0.076864276|0.754451037|-29.50952422|-49.47045259|42.41151044|0.084862776|-0.025155581|-31.83957238|0.676473201|-18.99256188|60.98047923|39.61363829|0.407638879|2656.305166|588.9895149|-890.4681466|-10.42022369|6.71451044|11.33516398|0.68815941|5929.563906|208.2243923|23.93343877|0.017883602|1316.339132|697.5493042|11.51002664|0.0|1.0|1.0|3.5|21.0|4.05|0.0|6.0|5.0|-6.52|399.49|1.0|3.33|-4.4|0.000108|0.0432|3.94e-05|0.0157|3.12|0.0|0.0|6.51e-06|5.7646|2.4|-1278.452284|-1278.4225210000002|687.57|1179.28|329.41|0.3558|215.08|563.27|0.47484|0.68863|-0.1559299999999999|4.7512|-0.20335|24.0|7.6198|7.6198
14t_a23|0|1|0.0|2|0|1.197962538|3.410065804|0.04919958|-0.005383494|2|0.758345646|-0.290708696|10.31321779|-0.093434862|2|0.134446672|-0.074441567|-0.136106024|-0.4515027279999999|2|0.7629258809999999|0.113493155|-0.152771194|0.6906097959999999|1|0.920956836|-0.079253435|0.361071229|-36.09926385|-51.65035498|36.6149406|0.079043164|-0.033286443|-33.66111722|0.799945841|-23.52629623|61.0040156|47.46057034|0.465981891|2878.4071670000003|600.1979272000001|-1084.657455|-14.13766923|7.55064865|14.13931199|0.872595673|6523.656379|130.3775455|27.11827225|0.014352462|1355.9136119999998|666.0036144999999|9.353660614|0.0|1.0|1.0|3.52|26.0|4.33|0.0|5.0|4.0|-6.1|425.51|0.0|3.78|-5.25|1.43e-06|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|0.0|7.03e-06|3.9855|3.79|-1669.240512|-1669.21916|692.08|1184.43|386.72|0.2061|311.09|534.86|0.5824199999999999|0.68886|-0.15625|5.8672|-0.22291|4.0|8.3979|8.3979
25c_a34|0|0|0.0|1|2|1.377881974|1.958290974|0.024837617|-0.014384932|2|0.0|-0.834326082|10.95957635|-0.041629027|1|-0.250299211|-0.3609280379999999|-0.563411433|-0.5404076879999999|1|0.80135608|0.118901861|-0.072907053|0.760055383|0|0.683231623|-0.113392997|0.478421157|-59.0359041|-75.6298008|183.6812574|0.316768377|-0.031498055|-50.44285726|0.537428437|-39.37521522|100.6665476|88.25954175|0.4356106729999999|2884.104654|455.6954382|-1134.447012|-14.01190479|7.484891117|13.26192888|0.77182656|6306.980593|308.52165519999994|39.09037289|0.037538004|2110.880136|648.0187526000001|25.03674677|0.0|1.0|1.0|3.64|17.0|1.98|0.0|6.0|6.0|-7.95|421.45|0.0|1.93|-3.28|0.00156|659.0|0.000523|0.22|1.3|0.0|0.0|0.0008289999999999|4.2095|4.32|-1426.704645|-1426.666471|704.43|1180.85|294.54|0.2239999999999999|294.54|561.29|0.69247|0.69247|-0.17424|7.12|-0.2069599999999999|1.78|5.7496|5.7496
12n_a30|0|0|0.0|0|2|0.604984682|0.0|0.0304762079999999|-0.007311044|2|0.0|-0.387485343|10.31162898|-0.087019298|1|-0.254279374|-0.0541804029999999|-0.120380857|-0.464204099|1|0.815003426|-0.015189554|-0.149451598|0.64876559|0|0.7781502140000001|-0.10528124|0.390449649|-52.4873066|-66.48079820000001|85.87072848|0.221849786|-0.038674741|-41.97990569|0.799403208|-33.14358793|76.16725916|63.2630417|0.4701566479999999|2848.910641|491.3700419|-1196.654368|-15.42118984|7.385790169|13.93957316|0.887350282|6353.890039|126.6686716|30.54968688|0.0153398069999999|1496.934657|618.6004214|9.686460958|1.0|1.0|0.0|4.66|17.0|3.18|0.0|5.0|5.0|-6.02|416.47|0.0|2.92|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|3.97|0.0|0.0|5.260000000000001e-05|5.1999|4.07|-1675.011418|-1674.978015|669.57|1131.65|355.67|0.1826|238.43|506.94|0.27009|0.6854|-148.0|5.3143|-0.19876|0.01|7983.0|7983.0
16h_a32|1|1|3.340888605|0|0|0.609420754|0.0|0.217139852|-0.015656019|0|2.075726759|-0.7828009570000001|10.31100268|-0.022634676|3|-0.1234671109999999|-0.123297852|-0.219947482|-0.71364354|0|0.832040698|-0.003188883|-0.03617945|0.7619492790000001|1|0.7991915079999999|-0.121464999|0.44308098|-51.56009529|-77.17316899|70.02855767|0.200808492|-0.038765425|-49.03221545|0.7359051059999999|-32.75886858|90.15529448|64.87717961|0.459750275|2709.44587|507.7688359|-1157.597535|-15.6485794|6.710057805|12.42028916|0.850995852|6151.056721|167.7935207|33.46862873|0.020432929|1573.02555|573.3529948|12.98212548|1.0|1.0|1.0|3.61|19.0|4.6|1.0|7.0|5.0|-6.22|413.52|1.0|3.74|-4.75|3.28e-07|0.000136|1.7800000000000002e-05|0.0073599999999999|3.66|0.0|0.0|4.09e-05|3.6182|4.54|-1955.99895|-1955.970762|679.82|1130.4|342.67|0.2914|342.67|556.05|0.70219|0.70219|-0.14972|3516.0|-0.2|9.0|8.0655|8.0655
12w_a36|1|0|3.3131307480000003|0|2|1.24014105|0.0|0.081390556|-0.015825416|2|0.0|-0.917874106|10.96020797|-0.010726574|1|0.115646674|-0.1187503719999999|-0.3344729369999999|-0.604676196|1|0.828393514|-0.098657593|-0.016393443|0.624142499|0|0.828363244|-0.111267166|0.532980165|-62.34080876|-79.88912835|112.947763|0.171636756|-0.041210062|-57.35989379|0.70536279|-44.76031023|99.51883498|77.49366829|0.4672300679999999|3230.870697|594.7596206000001|-1597.782567|-21.24440511|8.365472166|15.701847400000002|0.8769828040000001|7418.252264|211.5476713|41.94801097|0.0273396629999999|2265.1925920000003|672.4630346|19.62970663|1.0|1.0|0.0|4.82|17.0|4.04|0.0|7.0|8.0|-6.4|465.43|0.0|2.65|-5.07|6.26e-06|0.00291|8.6e-06|4.0|3.86|0.0|0.0|3.37e-05|3.8881|4.86|-1645.202839|-1645.169951|712.88|1198.72|318.88|0.4508|318.88|552.55|0.69466|0.69466|-0.15708|5043.0|-0.21034|23.0|7.6383|7.6383
15a_a22|0|0|0.0|1|0|1.4229176680000002|1.646649187|-0.136588366|-0.0050042229999999|2|1.614660505|-0.280236463|10.9464374|-0.015194063|1|0.036467904|-0.097476465|-0.165471815|-0.360663314|2|0.7392451729999999|-0.09744639|-0.027029438|0.655865336|1|0.86664032|-0.081705465|0.410151945|-41.92018177|-55.4621036|96.58317516|0.13335968|-0.031425179|-37.6479704|0.702735071|-28.45564196|70.12529157|56.35672103|0.444668211|2884.815511|588.2800507999999|-1109.242072|-14.47998862|8.157552588|14.6895113|0.800725296|6322.278103000001|201.7850124|30.3550786|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|3.42|27.0|4.31|0.0|6.0|5.0|-6.61|420.47|1.0|3.19|-4.68|2.25e-05|0.00945|2.1e-05|0.00881|3.18|0.0|0.0|2.56e-07|5.0577|4.98|-1368.35331|-1368.321775|696.57|1189.31|339.72|312.0|245.14|541.27|0.41078|0.69076|-0.15281|5.2588|-0.21285|143.0|6.8447|6.8447
15_a31|1|0|3.155574452|0|1|0.610137926|0.0|0.1893807519999999|-0.018913735|0|0.0|-0.775463115|10.31169996|-0.074455342|2|-0.052339921|-0.157560864|-0.272545088|-0.6215974160000001|0|0.8022000659999999|-0.0869591359999999|-0.116356616|0.782925607|0|0.567108776|-0.131697567|0.287991212|-61.76522754|-70.00513464|141.1489667|0.4328912239999999|-0.041588706|-37.21191643|0.641533577|-32.83191294|88.05886218|82.24348203|0.466164359|2351.566145|301.452236|-840.0616157|-11.75113151|6.148947296|11.51842782|0.873235738|5087.628096|190.5463457|34.45943505|0.03396368|1309.458532|363.593507|18.05372755|0.0|1.0|1.0|3.31|16.0|3.0|0.0|4.0|5.0|-6.84|342.37|1.0|2.27|-3.57|5.27e-05|18.0|0.000272|0.0931|2.18|0.0|0.0|0.000749|4569.0|3.9|-1460.900291|-1460.861851|556.68|925.93|271.36|348.0|271.36|452.98|0.5241899999999999|0.5241899999999999|-0.15202|5.5793|-0.19394|1.1|5.9586|5.9586
12ad_a36|1|0|3.428443248|0|2|1.297042846|0.0|-0.040810025|-0.01083262|2|0.0|-0.649957196|10.95445455|0.010723827|1|0.077659878|-0.136151085|-0.227404687|-0.478461478|1|0.832674224|0.1563642469999999|0.018207862|0.7767870459999999|0|0.760267769|-0.107772644|0.423689705|-58.34300549|-76.30379737|94.12528108|0.239732231|-0.0365657189999999|-54.02363038|0.656407461|-41.30726219|96.81391944|80.12771975|0.477102332|3041.082692|538.2749789|-1449.77215|-18.32944602|8.770308295|16.772513699999998|0.912420081|6569.653402|243.2659577|39.44011905|0.028968808|2208.646667|735.3783268|20.51012207|1.0|1.0|0.0|4.9|17.0|1.67|0.0|7.0|6.0|-7.18|439.47|0.0|1.76|-4.08|6.579999999999999e-05|0.0289|8.36e-05|0.0367|2.53|0.0|0.0|0.000106|5733.0|4.5|-1460.8311199999998|-1460.794632|737.53|1236.64|321.93|0.6073|216.26|588.2|0.27316|0.67215|-0.15638|5.3349|-0.21044|17.0|7.7696|7.7696
14f_a23|0|1|0.0|2|0|1.197963246|3.366063739|-0.002304087|-0.006791105|2|0.745818086|-0.373510774|10.3132176|-0.041351617|2|0.101910723|-0.110069159|-0.199540201|-0.399688849|2|0.796412133|0.070514687|-0.06885759|0.71381683|1|0.894162392|-0.084419703|0.2096108239999999|-40.51498423|-57.07376861|96.47955427|0.105837608|-0.031450478|-38.58595734|0.665778294|-27.39103254|74.08536976|58.85981824|0.478733036|3014.916135|604.5178506|-1084.401604|-14.37516058|8.124287407|15.58565565|0.918402793|6768.918745|225.9578225|31.93672236|0.025162423|1628.77284|683.7405759|17.01160115|0.0|1.0|1.0|3.57|26.0|4.03|0.0|6.0|5.0|-6.47|441.51|0.0|3.46|-5.02|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|0.0|1.3699999999999998e-05|5.8184|3.23|-1744.452086|-1744.429532|711.98|1210.19|346.78|0.2462|213.09|572.35|0.60917|0.6733399999999999|-0.1458|6.3534|-0.21743|2.0|8.6459|8.6459
17b_a6|1|0|3.375166525|0|1|1.425925343|0.0|0.1012747369999999|-0.01272079|1|0.0|-0.6869226490000001|10.949638|-0.0791229359999999|1|0.231025646|-0.10896749|-0.180339002|-0.563310199|1|0.7788169070000001|0.002947625|-0.138423611|0.8013954109999999|0|0.753949098|-0.109195656|0.318652397|-62.63196368|-71.65078895|155.8689396|0.246050902|-0.041494349|-47.0150166|0.7706671740000001|-41.0971443|84.71888279|83.12058064|0.4548818979999999|2816.0632920000003|494.7179214|-1361.36499|-17.86570631|8.974770742|16.46390151|0.834464855|5985.963521|150.48105900000002|35.32951798|0.019915748|1766.4758989999998|627.4287311|13.06809384|1.0|1.0|1.0|3.53|23.0|4.32|0.0|5.0|5.0|-5.89|409.44|1.0|3.6|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|4.09|0.0|0.0|4e-07|3.5444|4.04|-1350.102764|-1350.078181|690.98|1168.62|413.78|0.3949|349.8|575.2|0.69615|0.7016100000000001|-0.12545|5.3385|-0.18281|153.0|6.8153|6.8153
13m_a6|1|0|3.415695704|0|0|1.429020166|0.0|0.031719435|-0.010840005|2|1.617900191|-0.628720289|10.9505335|-0.018628955|1|0.037052986|-0.068956229|-0.118693789|-0.568024162|2|0.7767360059999999|0.156982046|-0.031564227|0.82642394|1|0.715612461|-0.107644789|0.429009107|-68.97140339|-75.05944278|91.22689385|0.2843875389999999|-0.0378750189999999|-52.33806464|0.7362989999999999|-48.09294654|89.65257305|81.92876874|0.48094941|2951.567781|498.9881336|-1426.129413|-18.41524497|8.435961541000001|16.2526769|0.926594475|6412.592679|183.8755989|35.8683143|0.020928405|1936.888972|724.3873672999999|14.59313027|1.0|1.0|1.0|3.59|27.0|3.76|0.0|6.0|5.0|-7.23|435.48|1.0|2.67|-4.28|2.27e-05|0.00987|5.24e-05|0.0228|2.43|0.0|0.0|9.35e-08|3.9127|4.27|-1423.762467|-1423.712909|726.28|1231.54|371.67|275.0|316.88|546.69|0.66475|0.64753|-0.13817|4.2913|-0.20954|0.01|8.0|8.0
12b_a50|0|1|0.0|2|1|1.397986833|4.058595679|-0.19841119|-0.002929899|1|2.112397566|-0.125985651|10.94501743|-0.115659308|2|-0.139522815|-0.168032508|-0.291865836|-0.246831987|1|0.804535572|0.009081884|-0.189976035|0.660148928|1|0.925916085|-0.066155918|0.24516882|-22.92589265|-33.25880166|8.07905572|0.074083915|-0.0237482779999999|-16.72031641|0.5731907470000001|-11.52561607|47.12729492|33.72918462|0.430791247|2224.116359|465.4891075000001|-465.6232233|-6.002164865|5.7232816060000005|10.05480253|0.756824707|4672.843578|214.5713436|20.82911679|0.027586169|812.3355548|388.171611|13.86849326|1.0|1.0|1.0|3.31|20.0|3.42|0.0|2.0|3.0|-6.44|313.36|1.0|2.59|-3.84|0.000685|215.0|0.000144|45.0|2.5|0.0|0.0|0.00101|4.7089|2.47|-1006.664619|-1006.641541|539.15|909.8|315.44|0.2425|263.3|401.64|0.6016199999999999|0.6581|-0.16451|4.0567|-0.19425|4.74|5.3242|5.3242
47c_a18|0|0|0.0|0|1|1.251176227|0.0|0.02368001|-0.007068829|0|0.0|-0.537230966|10.94702285|0.028947131|0|0.071793992|-0.212991596|-0.320309303|-0.455055055|0|0.758269842|-0.027873485|0.050944273|0.7601847759999999|0|0.8128616409999999|-0.094000037|0.246894346|-57.54296759|-75.57063623|67.68084951|0.1871383589999999|-0.0321917939999999|-60.75445536|0.7489981509999999|-46.26124419|88.76073429|70.29678191|0.489290189|3228.879782|653.4941186000001|-1889.265906|-20.80632033|9.566965871|18.73268473|0.958059115|7527.530240999999|201.7910841|34.55329606|0.016406766|2522.390613|1167.054827|13.19009806|1.0|1.0|1.0|4.61|18.0|2.87|1.0|12.0|4.0|-6.61|513.63|0.0|2.42|-5.09|1.84e-06|0.000947|8.12e-06|0.00417|3.98|1.0|1.0|3.42e-07|3.1096|7.72|-1664.753129|-1664.721977|850.89|1505.09|398.71|0.5869|398.71|790.07|0.6983199999999999|0.6983199999999999|-0.12841|3.3075|-0.17331|3.0|8.5229|8.5229
4R4l_a46|0|0|0.0|1|1|1.134637095|2.155247543|-0.058870177|-0.004736212|1|0.0|-0.255755434|10.94631401|-0.161358058|1|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.726535412|-0.001318857|-0.229089688|0.7936534740000001|0|0.896653672|-0.084697739|0.208818132|-49.12015477|-45.96797819|177.33836430000002|0.103346328|-0.02989332|-24.94818681|0.8782984840000001|-26.65896664|49.44228224|52.96512128|0.4568839389999999|2165.83681|486.6405745|-827.4236073|-8.805242402000001|5.669819400000001|10.43942503|0.8412270820000001|4923.057044|66.05102684|18.4720714|0.006401537|942.0756413|579.2365607|3.474304058|1.0|1.0|1.0|3.92|17.0|5.02|0.0|3.0|3.0|-5.23|347.45|1.0|4.09|-5.11|5.25e-06|0.00182|7.78e-06|0.0027|4.49|0.0|0.0|3.47e-05|4.6497|4.99|-1092.75416|-1092.728268|584.44|1038.78|301.29|0.1678|266.65|498.78|0.40548|0.67823|-0.17475|2.1973|-0.19602|137.0|6.8633|6.8633
19f_a38|1|0|3.3320764830000003|0|2|1.297044434|0.0|-0.036714749|-0.007831113|2|0.0|-0.4228801179999999|10.96083376|-0.054832432|1|-0.017421394|-0.101303149|-0.217394466|-0.4288343429999999|1|0.819222745|-0.075025988|-0.094149094|0.698414933|0|0.750875987|-0.111307609|0.488059925|-54.50401599|-71.10679028|125.7493111|0.249124013|-0.037844587|-45.42524686|0.734437553|-34.81887413|84.35196967|67.96791709|0.453960261|2776.145209|479.6831205|-1208.815435|-15.44458393|6.164440995|11.28936331|0.8313685409999999|6115.273372|169.6496169|32.91812709|0.020733452|1645.906354|595.8790650000001|13.24517938|1.0|1.0|1.0|4.82|17.0|2.55|0.0|5.0|4.0|-6.77|401.44|1.0|2.67|-4.17|7.209999999999999e-05|29.0|6.77e-05|0.0272|2.78|0.0|0.0|5.610000000000001e-05|5.3197|3.41|-1332.190216|-1332.160846|653.22|1105.62|360.19|0.3205|233.07|495.68|0.38086|0.7056100000000001|-0.14369|5.3152|-0.20104|73.0|7.1397|7.1397
9_a47|0|0|0.0|0|0|1.3818994059999998|0.0|0.00410268|-0.008501246|2|1.323246814|-0.382556052|10.93671087|0.045804989|0|-0.091848897|-0.021556658|-0.045757939|-0.4477815529999999|2|0.792070785|0.046690958|0.075092937|0.689770023|1|0.805149969|-0.0969292319999999|0.492394184|-44.13640712|-50.70744657|107.3271659|0.194850031|-0.036925422|-26.52703503|0.790651977|-23.08946904|58.96976407|49.12766732|0.482896681|2292.652212|421.2052248|-811.319145|-10.10553715|5.653392499|10.93281031|0.93384951|5212.504394|109.5180831|24.43189048|0.015793737|1026.1394|442.7664664|8.262317504|1.0|1.0|1.0|2.87|22.0|5.61|0.0|3.0|4.0|-5.26|345.37|1.0|4.09|-5.2|4.29e-06|0.00148|6.3e-06|0.00218|4.43|0.0|0.0|1.17e-06|5.7429|4.06|-1149.090086|-1149.055456|566.1|959.59|333.44|0.2294|215.89|406.35|0.3885099999999999|0.69084|-0.1545099999999999|2.2966|-0.20488|25.0|7.6|7.6
