molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
3_a3|0.0|0|0|0.0|0.0|0|7.285506549|0|0|-0.010040064|5.283203728999999|-0.114647585|0.034259259|-0.015653979|2.063441043|-0.3413621639999999|-0.007818326|0.0483259979999999|0.069435247|2|2|-0.006362643|-0.030486489|0.081380229|0.913546349|0.8083172479999999|-0.082619043|0.123113049|0.885339037|0.7538064790000001|-0.098797066|0.012617742|-48.91675544|-45.05306124|5.753894372|228.5396864|-0.035057023|-20.54492513|75.88125246|0.7000038270000001|-1.086767728|-22.30683222|-15.98657012|54.67064981|2092.406045|343.74795510000007|-495.58367360000005|1349.6286710000002|-7.290134722999999|8.592908408|0.709760196|4677.617255|136.8031103|-225.9941764|22.83783244|0.023287455|707.9728057|10.6194566|1.0|1.0|3.11|2.39|0.0|20.0|-6.15|5.0|4.07|0.0|88.36|2.0|-5.48|3.0|-5.88|310.4|0.0|1.0|3.23|-4.39|3.32e-06|0.00103|3.26|0.0|7.009999999999999e-07|0.000218|-0.0637|5.8458|1.92|-1592.873593|817.21|212.09|0.29441|0.69206|-1592.792349|0.0851|2.1507|-1592.839065|2.8045|1175.0|5.93|5.93
8_a47|0.0|0|0|0.0|0.0|0|7.252053952000001|0|1|-0.007835945|5.476463552|-0.099564745|0.0363475179999999|-0.087101663|1.335354131|-0.391797226|-0.008756|-0.153669322|-0.14203855|0|0|-0.007648516|-0.177626636|-0.003223628|0.686795267|0.7847248109999999|-0.035681436|-0.223459904|0.842571655|0.8497568740000001|-0.091482011|0.008687692|-44.09728708|-53.11155658|5.043798869|90.32612351|-0.035797309|-30.83488674|0.0|0.819702033|-1.646676195|-25.60148752|-20.78278301|49.14108595|2621.772106|493.3419136|-956.0080185|2217.264922|-12.06582525|11.08581716|0.707366287|6219.278078|104.6752861|-555.0279614|25.35407034|0.012935553|1166.287236|7.509972037000001|1.0|1.0|3.02|3.21|0.13|22.0|-9.25|5.67|6.77|0.0|113.97|4.0|-6.59|4.0|-4.79|405.85|1.0|1.0|5.03|-6.19|2.56e-07|0.000104|5.61|0.0|5.62e-10|2.28e-07|-0.05495|3.6696|4.91|-1686.0356350000002|1071.62|337.87|0.6877800000000001|0.6877800000000001|-1685.8518170000002|0.2249|3585.0|-1685.908004|4.6281|0.05|7.3|7.3
12w_a36|0.0|1|0|3.3131307480000003|-4.750262163|0|7.412764017000001|2|2|-0.015825416|5.351858133|-0.297354748|0.041555556|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|-0.010726574|1|1|-0.007897954|0.115646674|-0.3344729369999999|0.647732719|0.828393514|-0.098657593|-0.016393443|0.8792981679999999|0.828363244|-0.111267166|0.021104445|-62.34080876|-79.88912835|15.15285952|112.947763|-0.041210062|-57.35989379|0.780959767|0.70536279|-2.225343322|-44.76031023|-29.58856606|77.49366829|3230.870697|594.7596206000001|-1597.782567|2602.5207|-21.24440511|15.701847400000002|0.8769828040000001|7418.252264|211.5476713|-1147.197876|41.94801097|0.0273396629999999|2265.1925920000003|19.62970663|0.0|0.0|4.82|0.0|0.17|17.0|-7.14|3.31|4.04|0.0|130.43|7.0|-5.2|8.0|-6.4|465.43|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|3.86|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|-1645.169951|1198.72|318.88|0.69466|0.69466|-1644.953222|0.4508|5043.0|-1645.017691|7.0746|23.0|7.6383|7.6383
17_a4|0.0|0|0|0.0|-4.533317957|1|7.535296702|1|1|-0.006491052|5.4161004020000005|-0.319716072|0.043084795|-0.01849014|0.0|-0.25315101|0.001892883|-0.3948966229999999|-0.094767116|1|1|0.002155864|-0.073733221|-0.07155304|0.49887819|0.772721853|0.0147116789999999|-0.12969185|0.8347553529999999|0.888791225|-0.08932566|0.01061251|-45.75108579|-46.06264282|5.472562628|17.08736223|-0.042181562|-23.75316417|0.0|0.861696586|-1.5185362180000002|-23.59250328|-21.75180355|51.22364842|2351.601697|458.3237652|-783.0649279|1658.726841|-11.21677197|10.65499029|0.798764653|5322.773303|71.31904507|-403.8037909|25.24299609|0.012827738|908.7478594|6.61489113|0.0|0.0|3.31|2.94|0.11|17.0|-6.56|4.59|6.26|0.0|85.09|3.0|-4.36|6.0|-5.56|345.29|1.0|1.0|4.29|-4.81|4.39e-05|0.0152|4.01|0.0|2.74e-07|9.44e-05|-0.04186|4.3363|4.44|-1255.968357|873.5|285.92|0.47353|0.47353|-1255.881628|0.2045|4.8197|-1255.932407|6.3221|877.0|6057.0|6057.0
4S4k_a46|0.0|0|0|0.0|0.173180233|1|7.825245291|1|1|-0.0049602|5.587248657999999|-0.088084767|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|-0.1032662209999999|1|1|0.006050983|-0.158788415|0.012963356|0.78837943|0.7477594870000001|-0.003017362|-0.141706595|0.787615341|0.891734458|-0.0860536609999999|0.007749296|-47.49082053|-45.61628327|4.1078333030000005|172.7607401|-0.030477338|-24.18078772|0.0|0.8679099640000001|-1.46291223|-25.17446332|-16.15576699|51.59865384|2105.538282|472.7005375|-775.4768155|1729.18312|-8.564028983|10.26616763|0.858684076|4719.2906570000005|70.01975807|-411.0733912|18.61456563|0.007182108|893.4991504000001|3.807172093|1.0|1.0|3.8|3.03|0.33|17.0|-6.61|4.26|4.77|0.0|100.96|2.0|-4.82|3.0|-5.46|333.43|0.0|1.0|3.79|-4.83|1.5e-05|5.0|4.05|0.0|2.48e-07|8.28e-05|-0.02074|5.2854|4.52|-1053.415665|997.07|234.58|0.5716|0.67893|-1053.202208|0.0654|2.2655|-1053.255345|2.5693|197.0|6.7055|6.7055
3h_a32|0.0|1|1|3.579396967|0.0|0|7.765993078999999|0|0|-0.005281944|5.733341277|-0.008243901|0.037731481|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|-0.111111111|3|3|0.003284804|0.025035542|-0.122769653|0.84279263|0.7926338540000001|-0.169197453|-0.2|0.834881529|0.87880263|-0.0882883959999999|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|76.38838542|-0.027590124|-34.60714056|0.0|0.7734940029999999|-1.324325944|-28.15732254|-17.27367301|51.95714963|2398.020434|550.2022886|-829.1363044|2911.160989|-10.81473143|13.71739929|0.692036677|5187.525619|141.8112711|-519.1071084|22.33200639|0.011751781|1071.936307|7.357575822|1.0|1.0|3.65|3.88|0.35|19.0|-8.47|8.11|6.24|0.0|112.28|7.0|-8.23|3.0|-4.29|382.55|1.0|1.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|6.12|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|4.61|-1790.663897|1127.45|348.74|0.70257|0.70257|-1790.440663|0.2926|3.5952|-1790.5004850000005|5.8749|7.0|8.1549|8.1549
11d_a31|0.0|1|0|3.39688681|0.0|0|7.765993078999999|1|1|-0.017317263|5.733341277|-0.116385886|0.0388738739999999|0.016799834|0.0|-0.848545873|-0.009496378|-0.092360393|-0.078235092|2|2|-0.006496772|0.026806221|-0.153894316|0.819298311|0.822077662|-0.057505249|-0.13169885|0.868115289|0.585212816|-0.134048091|0.034417775|-82.05480081|-82.06512842|21.07078977|296.2476128|-0.040797245|-50.24081482|91.25756269|0.6817705409999999|-1.87667327|-50.23449218|-24.97634343|103.1255906|2532.447962|358.2711594|-1148.911798|2039.207676|-15.29068277|15.21323794|0.929231204|5420.356537|194.8221811|-703.3714074|36.63453013|0.027374162|1685.188386|16.75864338|1.0|1.0|3.6|2.83|0.32|16.0|-6.23|5.43|4.03|0.0|102.13|7.0|-5.48|6.0|-6.4|385.44|0.0|1.0|3.34|-4.2|3.33e-06|0.00128|3.17|0.0|5.83e-07|0.000225|-0.03404|3.8009|4.87|-1598.671315|1077.69|326.2|703.0|703.0|-1598.4848980000002|0.2642|3.1919|-1598.546288|4.6622|0.03|7.5229|7.5229
6a_a31|0.0|1|0|3.3855253210000003|0.0|0|7.703007682000001|1|1|-0.01694403|5.6869753560000005|-0.181987023|0.0357275129999999|0.08881108|0.0|-0.779425376|-0.013930701|-0.0225412779999999|-0.026103465|2|2|-0.010591881|0.1533239019999999|0.001117583|0.848282918|0.784022685|-0.07385392|-0.0436046509999999|0.848080284|0.57216168|-0.126430958|0.034212524|-77.60012959|-74.23718620000001|20.08876284|157.9971748|-0.045153913|-43.59027182|98.49408082|0.6927462990000001|-1.896464366|-45.56491046|-26.51328079|97.68889243|2713.694431|335.9594356|-1113.557793|1671.917893|-15.56795422|14.408653400000002|0.916923952|5908.282843|180.411907|-653.8540772999999|38.27271371|0.031153284|1607.453976|18.29245122|1.0|1.0|3.42|2.51|0.05|22.0|-6.96|4.68|3.69|0.0|104.73|4.0|-5.22|5.0|-6.69|390.42|0.0|1.0|2.96|-4.34|6.09e-06|0.00238|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|3.5428|4.03|-1613.295461|1028.95|349.96|0.70416|0.70416|-1613.1416|0.6404|7.7514|-1613.198178|11.2387|1.1|5.9586|5.9586
47f_a18|0.0|0|0|0.0|0.0|0|7.03438793|1|1|-0.005817448|4.844187086|-0.034211867|0.031179487|-0.048472184|0.0|-0.477030713|0.0036509859999999|0.033759227|-0.008224928|0|0|0.00531392|-0.071877686|-0.3927204379999999|0.765824398|0.750610215|-0.009917608|-0.014370598|0.780474694|0.838156881|-0.084851044|0.0138461289999999|-54.18475173|-72.03501774|11.75478965|111.1889928|-0.0289997239999999|-61.15474298|58.84834254|0.726550657|-2.290978185|-46.00060733|-24.61956302|65.93954138|3367.7324700000004|711.5604361000001|-1944.945479|2343.062749|-20.90098811|20.44855806|0.937396993|7870.103594|232.14715330000004|-1651.17806|33.88554232|0.016581683|2676.957843|14.07716085|1.0|1.0|4.87|0.0|0.34|18.0|-9.22|3.22|3.6|2.0|164.47|13.0|-6.11|4.0|-6.4|541.68|0.0|0.0|2.83|-5.52|7.76e-07|0.000421|4.52|1.0|6.04e-10|3.27e-07|-0.04439|3.0964|8.13|-1743.346389|1602.99|400.42|0.6984600000000001|0.6984600000000001|-1741.724929|0.5741|3.8532|-1741.802171|4.4861|9.0|8.0458|8.0458
3c_a12|0.0|0|0|0.0|0.0|0|6.555356892000001|1|1|-0.009252756|4.59511985|-0.058516436|0.039605735|-0.14679559|0.0|-0.379362977|-0.003879878|-0.008931246|-0.056537396|1|1|-0.001825446|-0.267255164|-0.211367878|0.923855679|0.826033688|-0.0461654159999999|-0.10295082|0.888353608|0.843855494|-0.099327724|0.013219706|-36.28720467|-50.25579322|6.688634392000001|73.9854678|-0.033980537|-25.42738988|0.0|0.7055242159999999|-1.291260406|-18.35985151|-17.19277136|42.97583906|2186.344105|426.9566009|-653.3253118|1139.340748|-8.698843907999999|10.88288188|0.746291708|4629.005722|148.9927848|-330.5560685|24.36878988|0.02155815|926.0140155|10.90754815|1.0|1.0|3.94|2.78|0.12|17.0|-6.78|4.01|2.25|0.0|98.16|3.0|-4.22|4.0|-6.18|319.38|0.0|1.0|2.76|-4.0|6.06e-05|0.0194|2.91|0.0|1.67e-07|5.3200000000000006e-05|-0.07463|3.9848|2.56|-1327.471862|894.36|311.14|0.43415|0.68067|-1327.351991|0.1193|1.6035|-1327.4004710000002|2.3061|0.02|7699.0|7699.0
