molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
19_a31|0.0|1|0|3.2411335510000003|0.0|0|7.401841579|0|0|-0.01001901|5.351858133|-0.086654127|0.0427124179999999|-0.044625452|0.0|-0.46087445|-0.005956522|-0.040386271|-0.081641954|2|2|-0.0038998559999999|-0.095997335|-0.1751017789999999|0.656654981|0.8558149140000001|0.019858798|-0.138769819|0.902130276|0.7312647940000001|-0.113333675|0.014675044|-53.25742146|-66.3863707|8.596058678|75.32978176|-0.036060715|-38.88650245|67.42915967|0.776211804|-1.586671445|-31.1960848|-21.12293613|61.85348014|2265.6917350000003|428.3459076|-929.4091898|1992.2502|-12.37297805|12.77501178|0.805382437|4917.329034|131.0862475|-544.4110343|27.21285095|0.0152483439999999|1197.365442|8.931875058|1.0|1.0|3.44|2.62|0.28|16.0|-7.39|5.8|4.33|0.0|97.25|7.0|-4.67|4.0|-6.41|358.43|0.0|1.0|3.47|-3.92|2.14e-05|0.0076799999999999|2.93|0.0|4.08e-08|1.46e-05|-0.04308|5.0344|5.24|-1489.4951640000002|1028.58|246.28|0.5385300000000001|0.7005600000000001|-1489.323855|0.2271|1.7076|-1489.382077|2.4209|1.8|5.7447|5.7447
8e_a46|0.0|0|0|0.0|0.252655541|1|7.727094485|1|1|-0.001015139|5.533389489|0.000950213|0.043238095|-0.126773923|0.0|-0.046696417|0.012911107|-0.184317354|-0.016857659|1|1|0.0123581919999999|-0.203086023|-0.135984209|0.669602597|0.789844634|-0.241393458|-0.024620704|0.837678812|0.921352352|-0.065982313|0.009576086|-27.16690715|-33.59778824|4.876083942|7.389496216|-0.023017086|-17.10778729|53.05984592|0.7492419109999999|-0.989734694|-13.83322216|-11.72015869|32.04299109|1982.950764|469.146955|-503.9668235|1415.320228|-5.967832774|9.911785304|0.8008066970000001|4239.252176|127.6844779|-256.61680930000006|15.64268965|0.011830243|672.6356549999999|6.023886838999999|1.0|1.0|3.21|2.93|0.32|17.0|-6.67|4.09|3.9|0.0|91.93|2.0|-3.59|3.0|-6.02|304.39|0.0|1.0|3.21|-4.04|0.0002569999999999|0.0782|3.01|0.0|2.16e-07|6.57e-05|-0.03175|4.5092|3.0|-954.9056294|933.3|274.96|0.6967|0.6967|-954.743261|0.2162|3.2194|-954.793305|3.7755|406.0|6.3915|6.3915
1b_a5|0.0|1|0|2.881451247|0.0|0|6.605297921|0|0|-0.00279809|4.59511985|-0.061874543|0.0248765429999999|-0.095857885|0.0|-0.111923619|0.003886035|0.001241264|-0.028797464|1|1|0.003708988|-0.220946861|0.045204303|0.567806811|0.759794937|0.122747292|-0.054153474|0.827319059|0.808828623|-0.077221824|0.010803163|-39.38248661|-38.87394276|5.438378717999999|168.30518769999998|-0.031306145|-19.56938257|0.769931305|0.7324812509999999|-1.158327367|-19.82538668|-15.75970652|44.82086533|2171.716467|407.1693177|-583.1091414|919.9167129|-7.933533473|11.64312636|0.90275317|4577.125071|134.6705884|-293.5407385|21.51550842|0.019229427|796.0738116|9.680212283|1.0|1.0|2.75|1.81|0.0|23.0|-8.3|4.88|4.76|0.0|90.44|3.0|-3.97|4.0|-5.99|316.33|0.0|1.0|3.38|-4.3|0.000106|0.0336|3.16|0.0|4.99e-09|1.58e-06|-0.04135|4789.0|3.1|-1050.506509|892.61|258.89|0.5153800000000001|0.43728|-1050.413506|87.0|2891.0|-1050.462425|4.3687|59.0|7.2291|7.2291
8a_a50|0.0|1|1|3.139870661|0.0|1|7.860570786|1|1|-0.00439531|5.777652323|-0.021959577|0.03904321|-0.0224366579999999|1.99158738|-0.188998337|0.007671336|-0.150515325|-0.058014797|2|2|0.007801731|-0.038971589|-0.11385159|0.75162266|0.804535572|-0.188882361|-0.095292123|0.8718949979999999|0.860876738|-0.08230347|0.018809422|-34.88425666|-41.48493288|9.480859015|133.8183888|-0.031655181|-20.91041439|0.0|0.751415713|-1.234552044|-17.58335405|-15.95574341|44.36511568|2206.356773|433.9235497|-622.2739931|1503.563342|-8.042467074|10.69309012|0.858162757|4638.284496|125.2985144|-313.6562159|21.23424244|0.017017336|828.1354551|8.577560914|1.0|1.0|3.34|2.01|0.11|20.0|-6.32|3.63|3.71|0.0|94.75|2.0|-3.86|3.0|-6.12|313.36|0.0|1.0|2.87|-4.13|0.000138|0.0433|2.95|0.0|4.82e-07|0.000151|-0.0280699999999999|5.622000000000001|2.69|-1006.637067|912.7|220.53|0.3462199999999999|0.60625|-1006.508913|0.1217|3.5509|-1006.557694|5.5319|47.0|7.3279|7.3279
13n_a6|0.0|1|0|3.425442623|0.0|0|6.842683282|0|0|-0.010884884|4.727387819|-0.135152403|0.04393617|0.058267173|1.628408574|-0.631323273|-0.0093684169999999|-0.06507689|-0.033224059|1|1|-0.00687003|0.100294804|-0.118693789|0.870730542|0.7767360059999999|-0.064779873|-0.056293641|0.832753533|0.70890216|-0.109392959|0.017758385|-68.88015714|-75.07706271|12.18768927|90.97854097|-0.038490115|-51.52585133|103.012404|0.748967057|-2.078466222|-47.27287681|-26.41600355|81.06784641|2952.259627|486.5239262|-1426.464192|2535.307313|-18.12946621|16.76075427|0.889160748|6386.381394|172.28545730000002|-978.9911754|35.2699138|0.019904118|1904.575345|13.66031867|1.0|1.0|3.55|1.9|0.08|27.0|-9.67|4.19|3.76|0.0|127.2|6.0|-4.64|5.0|-7.23|435.48|0.0|1.0|2.62|-4.28|2.27e-05|0.00987|2.43|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|4.27|-1423.714738|1232.6|257.31|0.55028|0.64027|-1423.451366|0.1945|7.1946|-1423.514154|10.1967|75.0|7.1249|7.1249
33_a47|0.0|0|1|0.0|0.0|1|6.823286122000001|0|0|-0.004263267|4.727387819|-0.085712613|0.034691358|-0.11544858|1.688794654|-0.183320497|0.002212256|-0.033554816|0.0741098479999999|1|1|0.003634698|-0.26447859|-0.338113214|0.63155995|0.82821379|0.065468525|0.1186944519999999|0.8913954909999999|0.8197001309999999|-0.083739854|0.022346992|-32.1568697|-44.81989209|11.96072985|30.94680001|-0.0272154529999999|-23.98884914|0.0|0.57681348|-1.088618103|-17.2112484|-14.56646493|44.11759955|2311.28828|438.726241|-582.6585971|787.797733|-7.79637597|12.94292541|0.854471925|4889.09585|226.5011607|-311.85503880000005|25.25333652|0.029580684|1010.133461|15.83240237|1.0|1.0|3.08|2.76|0.11|21.0|-7.08|2.96|4.04|0.0|94.28|3.0|-3.26|5.0|-6.78|334.35|0.0|1.0|2.69|-3.72|0.000546|183.0|2.19|0.0|8.339999999999999e-08|2.79e-05|-0.05462|4.1869|2.06|-1123.135036|934.34|296.13|0.67508|0.67508|-1122.992964|0.2566|4.5647|-1123.04547|6.2284|4.0|8.4|8.4
14_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|-0.006678826|0.0|-0.0455566929999999|0.037073171|-0.033982971|0.0|-0.374014235|0.001740635|-0.053931584|-0.015736888|0|0|0.0034254209999999|-0.051908601|-0.184255041|0.8310685940000001|0.719993769|-0.021648026|-0.028227917|0.7651878809999999|0.8870890459999999|-0.0917424269999999|0.014672137|-40.89540491|-58.79722871|9.403293601|92.51564418|-0.032888795|-37.68282812|2.923143027|0.770309725|-1.743106111|-26.20964538|-21.0782518|50.29869851|2612.691478|568.5306056|-1117.1473460000002|2731.841165|-13.50893838|10.18067005|0.685538423|5861.387612|147.2072638|-715.9737342999999|27.36334635|0.015286995|1450.257357|9.797353271|1.0|1.0|3.56|3.72|0.12|24.0|-9.82|5.32|6.3|0.0|119.95|6.0|-6.22|4.0|-4.97|397.47|1.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|5.29|0.0|1.51e-10|5.99e-08|-0.0338199999999999|4.4518|5.16|-1281.0669369999998|1177.14|278.5|0.65079|0.7055899999999999|-1280.809256|0.0054|3.3596|-1280.87015|5.0894|0.03|7.5229|7.5229
12bh_a36|0.0|1|0|3.50075137|0.0|0|7.412764017000001|2|2|-0.006687484|5.351858133|-0.047482048|0.044197531|0.001012669|0.0|-0.401249012|0.003676818|0.075747971|-0.035747988|1|1|0.0045625|0.0016901289999999|-0.169994208|0.902377067|0.78699829|-0.211972014|-0.0591586759999999|0.833398429|0.833491953|-0.09959401|0.017627098|-47.04367494|-66.28126709|11.73109101|83.08294358|-0.035569289|-44.11115058|0.0|0.783294222|-1.991880197|-31.30825225|-23.6718811|58.77476595|2773.193279|554.7010591|-1325.625342|2437.805332|-15.75398235|14.56834609|0.930697921|5957.443236|144.22085800000002|-882.2230117|30.2209316|0.015307571|1692.3721690000002|10.18741188|0.0|0.0|4.95|0.0|0.21|17.0|-7.34|3.76|2.5|0.0|133.68|5.0|-4.54|4.0|-6.38|409.49|0.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|3.41|0.0|4.55e-08|1.86e-05|-0.0525299999999999|3.8811|3.79|-1311.558898|1208.61|319.46|0.69377|0.7039|-1311.293683|11.0|5.8338|-1311.356102|7.7975|14.0|7.8539|7.8539
GW6604_a52|0.0|1|0|2.944144148|0.0|0|6.605297921|0|0|-0.002149879|4.59511985|-0.005328809|0.021346801|-0.0778992459999999|0.0|-0.085995143|0.007746755|-0.118272803|-0.028376521|1|1|0.0070554269999999|-0.131886693|0.067497086|0.709088617|0.693399445|0.074868979|-0.057466653|0.7550228990000001|0.87346455|-0.072069252|0.009021088|-35.51891876|-35.62691523|4.459510077|157.2481263|-0.029217264|-17.61190876|0.2386028039999999|0.73529506|-1.081038779|-17.55852148|-14.44334401|39.97842884|2044.612273|431.7909048|-534.4037285|799.8313017999999|-7.13996301|11.6571716|0.851121611|4168.525878|130.8549791|-264.17863140000003|19.64292268|0.01768964|726.7881391|8.744745933999999|1.0|1.0|2.68|1.76|0.0|23.0|-8.03|4.49|4.2|0.0|90.49|3.0|-3.87|3.0|-5.95|298.34|0.0|1.0|3.08|-4.16|0.000135|0.0402|3.06|0.0|9.31e-09|2.78e-06||||||||||||||107.0|6.9706|6.9706
12ap_a36|0.0|1|0|3.4417292610000003|0.0|0|7.412764017000001|2|2|-0.007719624|5.351858133|-0.010732275|0.042739018|0.066185994|0.0|-0.424579308|-0.000143196|-0.105824575|-0.042675894|1|1|0.001194592|0.117738331|-0.175397741|0.8707354620000001|0.832758813|-0.025198947|-0.074596774|0.893689741|0.830587483|-0.106173763|0.0217479329999999|-54.21070432|-69.6632787|14.26936622|82.56761031|-0.037473093|-45.7078307|0.0|0.737851886|-1.91112774|-35.56900768|-24.58703954|68.48007054|2843.18721|544.9693552|-1253.939017|2328.307856|-16.13217554|16.37284224|0.86772056|6003.481614|172.00197649999998|-822.7409526|33.32245946|0.020575639|1699.445432|13.50019441|0.0|0.0|4.78|0.0|0.13|17.0|-6.66|2.75|1.76|0.0|128.47|5.0|-3.99|5.0|-7.08|406.44|0.0|0.0|1.66|-3.95|0.000101|0.0412|2.4|0.0|2.21e-07|8.97e-05|-0.06084|4.9124|2.98|-1325.159466|1160.79|252.39|0.59563|0.6929|-1324.95298|0.3982|7.0249|-1325.0127220000002|9.6512|32.0|7.4949|7.4949
2_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0|-0.008422099|4.727387819|-0.09743592|0.034166667|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|0.036301827|1|1|-0.0045709459999999|-0.18746945|0.032450556|0.899733837|0.769486995|-0.192034735|0.065162907|0.8401405609999999|0.750206578|-0.09392632|0.011938463|-49.07072207|-44.07280196|5.601853871|228.178656|-0.033150466|-20.68016573|74.89956423|0.727984269|-1.127115845|-23.02532673|-15.55510657|54.67257594|2056.399995|352.0174726|-528.8736235|1314.679398|-7.298882022000001|9.016533738|0.845708123|4446.904467|127.637231|-248.1619888|21.36736636|0.019143348|726.4904564|8.982583312000001|1.0|1.0|2.97|2.22|0.0|21.0|-6.89|4.34|4.01|0.0|90.49|2.0|-4.75|3.0|-5.93|304.37|0.0|1.0|3.06|-4.27|1.7800000000000002e-05|0.0054|3.13|0.0|1.3e-07|3.9500000000000005e-05|-0.06423|5.4397|1.97|-1272.114086|841.85|227.92|0.37284|0.69543|-1272.001389|0.0962|4.0121|-1272.04778|5.4999|3981.0|5.4|5.4
4k_a46|0.0|0|0|0.0|0.173180233|1|7.825245291|1|1|-0.0049602|5.587248657999999|-0.088084767|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|-0.1032662209999999|1|1|0.006050983|-0.158788415|0.012963356|0.78837943|0.7477594870000001|-0.003017362|-0.141706595|0.787615341|0.8789113709999999|-0.086581945|0.007038271|-49.65634024|-46.76051618|3.801175594|171.92614719999997|-0.0306644389999999|-25.25406274|0.0|0.8732380740000001|-1.471893066|-26.8180173|-16.56101615|53.45751583|2104.876032|474.67574630000007|-794.928775|1912.936687|-8.94414722|9.829220349|0.7163519709999999|4685.0322320000005|68.46061366|-429.3190666|18.96506421|0.006892404|910.3230822|3.722397006000001|1.0|1.0|3.8|3.03|0.33|17.0|-6.61|4.26|4.77|0.0|100.96|2.0|-4.82|3.0|-5.46|333.43|0.0|1.0|3.79|-4.83|1.5e-05|5.0|4.05|0.0|2.48e-07|8.28e-05|-0.01712|5.4228|4.52|-1053.396715|1001.96|228.63|0.39943|0.68553|-1053.196897|0.1505|4.0015|-1053.249847|5.7714|0.08|7.0969|7.0969
12ab_a36|0.0|1|0|3.458948649|0.0|0|7.412764017000001|2|2|-0.007034881|5.351858133|0.000258844|0.039951691|0.035377607|0.0|-0.408023082|0.000939229|-0.032623802|-0.029080933|1|1|0.002112069|0.0618552579999999|-0.169341326|0.86559137|0.831136366|-0.0852411419999999|-0.051707317|0.888163057|0.8410557559999999|-0.095025338|0.024102201|-54.63243106|-65.54680623|16.62527454|116.6804416|-0.033434841|-45.21303385|15.55386871|0.679025324|-1.805481415|-37.68448987|-23.06276515|71.2577056|2902.39241|580.1454645|-1245.389318|2390.849902|-15.90828969|15.18764075|0.941700118|6314.697413|221.4026852|-859.0476432|33.96451406|0.024384271|1834.083759|16.81984117|0.0|0.0|4.86|0.0|0.17|17.0|-7.05|3.14|1.95|0.0|133.27|6.0|-3.92|5.0|-7.21|420.47|0.0|0.0|1.8|-3.91|0.0001199999999999|0.0503|2.33|0.0|8.95e-08|3.76e-05|-0.0523799999999999|3.8845|3.23|-1364.468283|1201.64|319.17|0.69294|0.69294|-1364.236757|0.4451|3.6976|-1364.300531|5.3228|11.0|7.9586|7.9586
4c_a49|0.0|0|0|0.0|0.0|1|7.535296702|1|1|-0.0057600559999999|5.4161004020000005|-0.044371138|0.03583878|-0.099764463|1.78683516|-0.339843311|0.001379959|-0.102999091|0.006194124|1|1|0.00202792|-0.163476035|-0.001647802|0.7745214140000001|0.7796063109999999|-0.052237757|0.010868461|0.826523164|0.76159824|-0.086290519|0.012079228|-56.5385923|-55.59622798|7.782541015|82.02101639|-0.029809452|-35.82016427|59.70585149|0.724053828|-1.639519861|-36.42732137|-19.20596967|64.32113331|2719.702873|490.6910965|-1056.328332|1683.872161|-12.37423857|16.089682800000002|0.898629005|6046.668361|177.78970959999998|-680.5831211|26.5256103|0.0173567219999999|1458.908567|11.182784300000002|1.0|1.0|3.49|2.97|0.25|21.0|-7.97|3.55|3.19|0.0|120.43|7.0|-3.5|5.0|-7.53|412.49|0.0|1.0|2.6|-3.58|0.000314|0.13|1.81|0.0|1.07e-08|4.4e-06|-0.0623299999999999|5.74|3.04|-1332.607539|1199.04|216.0|0.4164199999999999|0.67789|-1332.336755|0.0821|3.4931|-1332.398001|4.9358|255.0|6.5935|6.5935
21b_a23|0.0|0|1|0.0|0.0|2|7.525639975|0|0|-0.005936474|5.4161004020000005|-0.008526338|0.042455556|0.057405955|0.745297595|-0.326506055|0.01055698|-0.103470358|-0.0490623259999999|2|2|0.009872313|0.107996329|-0.130528352|0.7038407329999999|0.7717839409999999|0.131951284|-0.078097375|0.8339434929999999|0.930728719|-0.083105261|0.014481931|-41.81114831|-58.25915868|10.15224639|41.6766724|-0.034219814|-40.84133198|86.65837165|0.812334718|-1.745210489|-29.31080756|-23.98906534|51.9633947|3074.083057|652.4673795|-1223.442332|2531.041828|-16.81701905|16.20152864|0.846591917|6919.229053|131.5587155|-857.6679716|29.53101081|0.013439264|1506.081551|9.421307298|0.0|1.0|3.59|3.42|0.08|26.0|-7.84|3.92|4.2|1.0|129.97|5.0|-6.1|5.0|-6.42|450.52|0.0|0.0|3.57|-5.22|8.02e-07|0.000361|3.7|0.0|1.43e-08|6.45e-06|-0.08401|4.0023|3.57|-1761.4722969999998|1247.38|309.79|0.57848|0.70139|-1761.230923|0.2333|9.5312|-1761.294175|13.2567|85.0|7.0691|7.0691
34_a47|0.0|0|1|0.0|0.0|1|6.842683282|0|0|-0.004157676|4.727387819|-0.064842466|0.03522792|-0.094313757|1.741433543|-0.191253079|0.003530307|-0.043634386|0.078153957|1|1|0.0047106|-0.208989427|-0.317014709|0.62974551|0.833786184|0.046668352|0.128336294|0.89234354|0.8260556609999999|-0.090141168|0.019723558|-34.3104683|-49.91779281|10.92238452|31.17423189|-0.029348287|-27.64315244|0.0|0.653993216|-1.261976347|-19.00022922|-16.25230464|45.23285281|2371.236125|457.4477611|-698.8490993|918.6458674|-9.000096143|12.96364153|0.834499257|5105.274301|191.6093987|-387.0041342|24.85087647|0.023023142|1068.587688|12.74960652|1.0|1.0|3.19|3.0|0.16|21.0|-7.47|3.34|4.52|0.0|99.09|4.0|-3.57|5.0|-6.66|348.38|0.0|1.0|3.02|-3.9|0.000267|0.0929|2.49|0.0|3.36e-08|1.17e-05|-0.0545|4.2077|2.41|-1162.450678|980.02|294.66|0.6602399999999999|0.69314|-1162.283641|0.1718|4.4605|-1162.33788|6.2235|2.0|8.7|8.7
4S4l_a46|0.0|0|0|0.0|0.171853072|1|7.825245291|1|1|-0.004736212|5.587248657999999|-0.075241716|0.049498645|-0.067419714|0.0|-0.255755434|0.0066560469999999|-0.060895366|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.010799648|0.7940662409999999|0.726535412|-0.001318857|-0.229089688|0.762625193|0.894782107|-0.084663086|0.007140583|-49.45536962|-46.10883478|3.888872426|178.19783940000002|-0.029881089|-25.11158939|0.0|0.877939134|-1.523935543|-26.93416438|-16.27370639|53.34424204|2166.052483|487.3122681|-829.959026|1744.8220399999998|-8.862913904|10.68377935|0.884798257|4920.211524|66.47624804|-452.0086091|18.5362581|0.006420439|945.3491632|3.496670823|1.0|1.0|3.92|3.19|0.36|17.0|-7.0|4.64|5.02|0.0|105.77|3.0|-5.28|3.0|-5.23|347.45|0.0|1.0|4.08|-5.11|5.25e-06|0.00182|4.49|0.0|9.980000000000001e-08|3.47e-05|-0.02015|5.2929|4.99|-1092.727031|1040.96|234.25|0.57885|0.6763600000000001|-1092.489558|0.0614|2.5083|-1092.543641|2.8473|261.0|6.5834|6.5834
9g_a24|0.0|1|0|2.931798469|0.0|1|7.273092596000001|0|0|-0.00106361|5.283203728999999|0.001126633|0.0279797979999999|-0.162313932|0.0|-0.0425444|0.0144065739999999|0.070915465|-0.02471184|2|2|0.013119312|-0.292600863|-0.049325609|0.683676657|0.7931626959999999|0.13372961|-0.045107345|0.859302479|0.8671367529999999|-0.065668047|0.01876163|-32.080056199999994|-32.49188065|9.283063574|174.88817269999998|-0.021297745|-16.07665151|0.0|0.4819264479999999|-0.788016565|-15.87288497|-10.53790724|41.36311977|2123.257348|429.0504306|-389.9025677|1196.910121|-5.214049137|10.69818114|0.746821416|4355.725609|256.3375151|-192.9198181|21.8662148|0.033884884|809.0499476|16.76589519|1.0|1.0|2.8|1.78|0.06|22.0|-6.43|2.91|2.93|0.0|87.53|3.0|-2.49|4.0|-7.17|302.33|0.0|0.0|1.93|-3.09|0.00323|977.0|1.37|0.0|3.720000000000001e-07|0.000113|-0.03585|5.2521|0.75|-984.5565078|879.99|236.07|0.4227399999999999|0.64993|-984.447764|0.1023|2.9691|-984.497752|4.4131|68.0|7.1675|7.1675
12m_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.01047558|5.351858133|0.024086432|0.040839506|-0.1305457069999999|0.0|-0.57615692|0.001371944|0.0488832779999999|-0.0547272029999999|1|1|0.0026474159999999|-0.236661357|-0.152855196|0.817497287|0.832758813|-0.036924662|-0.0974968869999999|0.893689741|0.783260049|-0.103359773|0.027352277|-57.96147772|-70.1324196|18.55926485|133.774348|-0.0405332439999999|-47.58675592|237.0982213|0.773732767|-2.067195455|-39.32844052|-27.50290965|76.52074257|3058.3084710000003|531.4632661|-1402.648392|2370.879718|-18.66147291|16.40342255|0.8173893040000001|6658.711303|153.52847759999997|-951.7351184|35.54574762|0.019500715|1812.833129|13.2317657|0.0|0.0|4.66|0.0|0.13|17.0|-6.42|3.4|2.48|1.0|133.52|6.0|-6.0|6.0|-6.22|439.49|0.0|0.0|2.36|-5.01|1.01e-06|0.000444|3.89|0.0|3.7600000000000003e-07|0.000165|-57.0|5.0617|3.88|-1743.174906|1204.39|244.95|0.33392|0.68404|-1742.965888|0.1615|3.6891|-1743.030004|5.1279|31.0|7.5114|7.5114
12o_a36|0.0|1|0|3.444418304|0.0|0|7.412764017000001|2|2|-0.0100574069999999|5.351858133|-0.079716275|0.040770975|0.03842353|0.0|-0.613501857|-0.00233752|-0.059733192|-0.010904454|1|1|-0.000472698|0.065221584|-0.213993335|0.859938421|0.799869816|0.141570244|-0.01854899|0.848816593|0.7592112809999999|-0.10624773|0.023402195|-59.0895896|-76.51720886|16.85373064|55.47133795|-0.03541591|-55.10596064|112.1259723|0.666462845|-2.018706878|-42.554984000000005|-25.50573629|75.94332024|3009.981519|546.7667677000001|-1453.826968|2778.220342|-18.36865355|13.80895167|0.885724665|6622.134304|240.2059039|-1047.013252|38.27030489|0.026586303|2181.407379|19.1468529|0.0|0.0|4.97|0.0|0.17|17.0|-6.93|2.38|1.65|0.0|138.06|7.0|-3.54|5.0|-7.66|438.48|0.0|0.0|1.47|-3.64|0.000292|128.0|1.85|0.0|1.1800000000000001e-07|5.18e-05|-0.05456|5.1927|4.5|-1440.926241|1240.51|238.77|0.36719|0.67273|-1440.671057|0.2888|4.9237|-1440.734965|6.6471|0.04|7.3979|7.3979
9g_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|-0.0054957819999999|5.4161004020000005|-0.0220464379999999|0.043730159|0.07954859|0.895670535|-0.225327061|0.011921308|0.139758613|-0.145879501|2|2|0.0115573539999999|0.133954053|-0.062672355|0.694156166|0.764275277|-0.384131901|-0.242405063|0.821935848|0.90454157|-0.079033043|0.021367335|-33.47455057|-41.63731423|11.25704374|65.74631496|-0.031197254|-21.93596333|64.08637519|0.740240206|-1.185495647|-17.63553984|-16.43578193|44.73159432|2169.234651|476.5434822|-624.5597134|349.4421673|-8.658932892000001|15.62271835|0.909806709|4435.743087|136.8503571|-329.0394499|22.20330888|0.018087202|843.7257374|9.528957565|1.0|1.0|2.8|1.78|0.06|22.0|-6.43|2.91|2.93|0.0|87.53|3.0|-2.49|4.0|-7.17|302.33|0.0|0.0|1.93|-3.09|0.00323|977.0|1.37|0.0|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.83|-1332.476347|923.42|402.84|0.70233|0.70233|-1332.31775|0.3563|3.4787|-1332.369643|5063.0|3548.0|5.45|5.45
47a_a18|0.0|0|0|0.0|0.0|0|7.03438793|1|1|-0.006027559|4.844187086|-0.18843247|0.033641026|0.043161338|0.0|-0.464122017|-0.005483379|-0.025401815|0.052572636|0|0|-0.000633273|0.066507683|-0.358939392|0.842412605|0.766261502|-0.008965701|0.089156939|0.7991211029999999|0.778790861|-0.099310031|0.014124484|-67.93456546|-81.42570819|11.58086543|100.7293848|-0.036234741|-66.76209701|110.0917322|0.7936193709999999|-2.681370849|-55.70051708|-29.70938001|79.51543089|3612.105567|638.5417107999999|-2198.494121|2250.179086|-24.3591435|19.74153879|0.934960691|8405.670404|169.2144153|-1802.576619|37.435301|0.014835962|2770.212274|12.16421601|1.0|1.0|4.97|0.0|0.28|18.0|-8.27|0.48|3.35|1.0|158.24|12.0|-6.74|5.0|-6.49|547.67|0.0|0.0|2.02|-5.58|1.8100000000000002e-07|9.9e-05|4.44|0.0|5.4e-09|2.95e-06|-0.05191|3.1947|8.82|-2098.773074|1536.87|388.09|0.69508|0.69508|2098.280307|0.6094|2.6271|-2098.359766|3.0133|1.0|9.0|9.0
9_a1|0.0|1|0|3.358585365|0.0|0|6.86171134|0|0|-0.00614716|4.727387819|-0.1075163359999999|0.037578348|-0.110185988|0.0|-0.282769361|-0.00314411|-0.079063236|0.016589221|1|1|-0.0018191779999999|-0.232860777|-0.093062585|0.582499378|0.737794643|-0.053460262|0.02778394|0.7964939409999999|0.755276458|-0.085722429|0.011266799|-46.63553015|-49.42275468|6.495805626|63.73880199|-0.031896718|-28.49439431|0.0|0.7816897429999999|-1.371558857|-26.88743664|-18.38986221|53.13133578|2387.143654|435.4501351|-790.7640749|1739.0376789999998|-10.60256533|13.91191974|0.826725116|5063.330971|125.865476|-455.910309|23.52578164|0.014186995|1011.608611|8.17942725|1.0|1.0|2.78|2.66|0.05|23.0|-8.98|5.86|5.57|0.0|102.84|4.0|-4.68|4.0|-5.81|357.38|0.0|1.0|4.12|-4.79|2.07e-05|0.00739|3.76|0.0|1.04e-09|3.7100000000000003e-07|-0.07602|3343.0|5.6|-1187.193365|1007.04|370.88|0.70296|0.70296|-1187.011122|0.5409|4.1623|-1187.065335|6.4447|6.0|5.2218|5.2218
