molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
10_a27|0.0|0|0|0.0|0.0|2|0|0|1.400533489|3.383341915|4.59511985|-0.044164147|2|0.040512821|-0.184068581|1.296293777|0.00991794|0.034318674|-0.000903965|1|0.010329671|-0.2030237389999999|-0.341622797|2|0.639413469|0.129719095|-0.001453596|0.8526621529999999|-0.061299064|0.346344305|0.017676458|-32.5969511|-46.27574168|9.399794974|0.147337847|-0.031079371|-24.60801194|49.19800605|0.7453606909999999|-1.305333567|-17.33405307|55.05868025|-16.5270506|-8.788575695|0.254639309|6.761146212000001|0.912640238|4894.8090170000005|135.40932969999997|-369.1201792|22.1732254|0.01651645|424.8821143|8.782938574|0.0|0.0|3.01|3.15|21.0|-6.24|2.81|2.97|65.6|2.25|0.0|97.39|1.0|25.0|4.0|331.37|0.0|1.0|2.74|0.0394|2.55|0.0|5.81e-07|0.000192|-0.0498|4.1495|4.66|4.1495|-1083.137871|573.31|958.95|298.79|0.4452|298.79|0.63894|-0.16805|0.0227416|-1083.008551|69.0|7.1612|7.1612
4_a47|0.0|0|0|0.0|0.0|0|0|0|1.304464196|0.0|0.0|-0.121159855|2|0.038479532|-0.158636969|1.42341819|-0.007295208|0.0687047279999999|0.011775922|0|-0.006506051|-0.017555555|-0.027355932|2|0.893350891|-0.095209424|0.019305509|0.874200878|-0.07804769|0.444849947|0.007772995|-42.46254967|-50.35610033|4.22896799|0.1257991219999999|-0.03525955|-27.39669054|0.0|0.806604393|-1.48090111|-23.10213311|57.78603076|-19.18327632|-10.43683449|0.193395607|6.468023748999999|0.67265584|5254.939281|105.2186243|-438.3470487|23.78275706|0.013656479|471.7712484|7.429930428|1.0|2.0|2.75|3.01|22.0|-8.79|4.83|5.71|58.04|3.1|0.0|106.52|1.0|26.0|3.0|361.82|0.0|1.0|4.32|0.0008359999999999|4.96|0.0|1.61e-09|5.81e-07|-0.05606|5.7708|4.44|3.73|-1509.453558|576.9|988.42|332.4|0.2304|214.85|0.45947|-0.1547|0.03342033|-1509.3147789999998|32.0|7.5|7.5
14aa_a23|0.0|1|1|0.0|0.0|2|0|0|1.19796312|3.4143268310000003|5.351858133|-0.026892547|2|0.046678487|0.031136154|0.758549568|0.013012022|-0.029037128|-0.044957534|2|0.012103325|-0.074579388|-0.13397874|2|0.725358161|0.055269665|-0.070471939|0.924108042|-0.052155763|0.204831806|0.018016316|-35.51947393|-51.83122853|12.26959478|0.075891958|-0.03159178|-35.2984572|83.27171526|0.796659447|-1.6743643259999998|-24.18971469|61.21989213|-21.51484958|-14.65218978|0.203340553|8.000512184|0.972590939|6651.23042|138.4803717|-776.5660584|27.00633206|0.013786041|733.3886349999999|9.388663605|0.0|1.0|3.63|3.68|26.0|-8.16|4.4|4.63|105.02|3.45|1.0|130.22|1.0|32.0|4.0|439.54|0.0|0.0|4.1|0.00123|4.31|0.0|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|4.1|3.5934|-1708.5626|715.57|1231.11|345.03|0.4157|345.03|0.6805899999999999|-0.1449|0.02033777|-1708.338059|4.0|8451.0|8451.0
6_a27|0.0|0|0|2.6137160880000003|0.0|1|0|0|1.404458667|1.7996617540000002|4.727387819|-0.072298665|2|0.042942943|-0.237047381|1.221528093|0.00526746|0.075248207|0.081320966|1|0.0058042269999999|-0.1044763|-0.179319226|2|0.678057835|-0.1322552659999999|0.1272522519999999|0.785047616|-0.0786267609999999|0.344065059|0.020552125|-38.92545695|-44.56839492|10.17466399|0.214952384|-0.034625042|-22.06430895|61.10118428|0.774820398|-1.35037664|-19.27068071|52.66373343|-17.14169035|-8.486272674|0.2251796019999999|5.010042219|0.896201262|4761.820508|111.4788253|-330.96463430000006|22.12343713|0.01635203|373.9912084|8.095338503999999|0.0|1.0|3.0|2.49|21.0|-6.67|3.48|2.79|76.46|2.42|0.0|92.65|1.0|24.0|4.0|317.34|0.0|1.0|2.71|0.0485|2.37|0.0|2.16e-07|6.86e-05|-0.04793|5.5447|4.27|4.1391|-1043.831559|526.9|896.68|299.55|0.1915|223.61|0.3366099999999999|-0.17007|0.02494141|-1043.728133|1.0|9.0|9.0
12e_a36|0.0|0|0|3.490984269|0.0|0|2|2|1.29704412|0.0|5.351858133|-0.043085717|2|0.040899471|0.144415507|0.0|0.002951176|-0.0586405829999999|-0.084051264|1|0.003962098|-0.104118159|-0.1763783589999999|1|0.90414347|-0.010494913|-0.144846626|0.838086387|-0.07049439|0.4347714629999999|0.019063245|-44.83739063|-64.2330904|12.12502373|0.161913613|-0.036203518|-40.85494129999999|5.735288795|0.7610764190000001|-1.918786459|-28.51846223|75.50154216|-23.02695694|-14.64611103|0.238923581|6.767371321000001|0.875194483|5929.071389|151.9654247|-776.2438847|30.25577504|0.017716522|662.0530478999999|11.26845175|0.0|2.0|4.85|0.0|17.0|-6.97|3.24|2.19|69.2|2.24|0.0|128.72|1.0|30.0|4.0|395.46|0.0|0.0|2.14|0.02|3.04|0.0|1.08e-07|4.270000000000001e-05|-0.04962|3.8364|3.48|3.6699|-1272.2668210000002|673.57|1142.19|337.84|0.4537|323.18|0.6814600000000001|-0.15189|0.03037051|-1272.0579810000002|14.0|7.8539|7.8539
3_a27|0.0|0|0|0.0|0.0|2|0|0|1.402697639|3.127072625|4.59511985|-0.096132106|2|0.040512821|-0.172132163|1.177265999|0.009082086|0.042659548|0.024154412|1|0.00955169|-0.1984716939999999|-0.341338963|2|0.640545265|0.136381755|0.038685745|0.862115922|-0.06145119|0.397733752|0.019234305|-31.82136336|-44.61323499|9.960129259|0.137884078|-0.032307734|-23.10213938|57.97805043|0.733853752|-1.292309364|-16.47810502|54.32114618|-16.72996312|-8.663302268999999|0.266146248|6.457886343999999|0.803947133|4960.583812|137.8189165|-346.53209080000005|22.79740761|0.018747239|401.7540197|9.707911187|0.0|0.0|3.03|3.11|21.0|-5.89|2.8|2.94|65.6|2.18|0.0|97.71|2.0|25.0|4.0|329.36|0.0|1.0|2.74|0.0339|2.67|0.0|1.29e-06|0.000423|-0.05512|5.5045|4.92|3962.0|-1081.905135|547.92|931.06|312.93|0.2305|225.24|0.34864|-0.16457|0.02032437|-1081.794829|4.0|8.3979|8.3979
14_a15|0.0|0|0|0.0|0.0|0|0|0|1.43568901|0.0|0.0|-0.0455566929999999|2|0.037073171|-0.033982971|0.0|0.001740635|-0.053931584|-0.015736888|0|0.0034254209999999|-0.120626133|-0.184255041|2|0.8310685940000001|-0.021648026|-0.028227917|0.8870890459999999|-0.063809873|0.7461324029999999|0.014672137|-40.89540491|-58.79722871|9.403293601|0.112910954|-0.032888795|-37.68282812|2.923143027|0.770309725|-1.743106111|-26.20964538|68.59458198|-21.0782518|-13.50893838|0.229690275|6.040010666000001|0.685538423|5861.387612|147.2072638|-715.9737342999999|27.36334635|0.015286995|673.7288405|9.797353271|1.0|1.0|3.56|3.72|24.0|-9.82|5.32|6.3|56.27|2.87|0.0|119.95|1.0|30.0|4.0|397.47|1.0|1.0|4.7|0.000584|5.29|0.0|1.51e-10|5.99e-08|-0.0338199999999999|4.4518|5.16|3.6209|-1281.105795|689.8|1177.14|342.41|0.3131|278.5|0.65079|-0.14997|0.03885834|-1280.87015|0.03|7.5229|7.5229
1d_a5|0.0|0|0|2.79978458|-4.455320158|0|0|0|1.217311475|0.0|4.59511985|-0.308010841|2|0.030074074|-0.118028278|0.0|-0.0012491689999999|-0.2261588939999999|-0.010183824|1|-0.000700145|0.001493879|0.004923698|2|0.525406088|-0.058872605|-0.015804188|0.8965037640000001|-0.088396743|0.6271150670000001|0.007937625|-47.76176205|-46.58221594|4.288788702|0.1034962359999999|-0.036640804|-25.16889922|0.0|0.770504115|-1.465632167|-25.80622135|56.83734591|-19.79744178|-10.69678217|0.229495885|6.116537519|0.89062437|5717.438103|123.9992274|-427.8712868|25.69414151|0.018980039|403.396385|10.25512997|1.0|1.0|2.92|2.19|23.0|-8.88|5.48|6.37|54.46|2.73|0.0|95.49|1.0|27.0|6.0|366.34|1.0|1.0|4.15|0.00396|3.95|0.0|1.3300000000000002e-09|4.86e-07|-0.04528|4.8725|3.58|4.6112|-1288.340378|567.04|951.63|268.88|0.2805|254.46|0.41781|-0.18991|0.03392008|-1288.253849|9333.0|5.03|5.03
13m_a6|0.0|0|0|3.415695704|0.0|0|0|0|1.429020166|0.0|4.727387819|-0.135152403|2|0.0446875|0.021526267|1.617900191|-0.0093684169999999|0.054340057|-0.018628955|1|-0.00687003|-0.068956229|-0.118693789|2|0.870730542|0.156982046|-0.031564227|0.715612461|-0.0989137669999999|0.429009107|0.01858251|-68.97140339|-75.05944278|12.95736535|0.2843875389999999|-0.0378750189999999|-52.33806464|95.67846949|0.7362989999999999|-2.045251|-48.09294654|89.65257305|-26.40980394|-18.41524497|0.263701|8.435961541000001|0.926594475|6412.592679|183.8755989|-994.4232282|35.8683143|0.020928405|724.3873672999999|14.59313027|1.0|3.0|3.59|2.18|27.0|-9.67|4.19|3.76|122.47|0.81|0.0|127.2|1.0|33.0|5.0|435.48|0.0|1.0|2.67|0.0228|2.43|0.0|2.1499999999999998e-10|9.35e-08|-0.07137|3.9127|4.27|3.3359|-1423.762467|726.28|1231.54|371.67|275.0|316.88|0.66475|-0.13817|0.04955777|-1423.511471|0.01|8.0|8.0
16f_a32|0.0|1|1|3.354832924|0.0|0|0|0|0.609420741|0.0|5.733341277|-0.054907428|0|0.039958333|0.008658653|2.082564316|-0.003511776|-0.081644236|-0.000291262|3|-0.001202032|-0.120440534|-0.211019184|0|0.801401734|0.085125293|-0.000510986|0.8072754790000001|-0.08168632|0.522247991|0.024434011|-56.53102601|-76.92280867|16.90955989|0.192724521|-0.035568666|-53.23443736|47.24868477|0.69473708|-1.778433296|-39.12230215|92.82839829|-24.61529877|-17.03501995|0.30526292|8.79158776|0.625108901|6235.040893|211.2572338|-851.7509977|35.43109972|0.022983292|636.0251562999999|15.90558963|1.0|2.0|3.76|3.4|19.0|-7.77|6.42|4.99|149.27|1.34|0.0|116.75|1.0|29.0|5.0|427.54|1.0|1.0|4.05|0.00457|4.11|0.0|1.7e-08|7.26e-06|-0.04997|3.6272|4.99|3.6272|-1995.307736|722.06|1191.55|341.82|0.2931|341.82|0.70204|-0.15003|0.02889673|-1995.117771|9.0|8041.0|8041.0
