molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
4g_a46|0.0|0|0|0.0|0.171759574|1|1|1|1.134637064|2.156712018|5.587248657999999|-0.010706405|2|0.046415344|-0.093447672|0.0|0.011488768|-0.055084605|-0.138341481|1|0.010608122|-0.078780402|-0.121452903|2|0.662386484|-0.200628401|-0.193115055|0.946829733|-0.056893316|0.318162858|0.00801562|-32.64186634|-40.24987057|4.598866947|0.053170267|-0.024339048|-23.0928866|72.82863401|0.826861093|-1.192613373|-18.72788427|44.72726697|-13.96424081|-8.0118178|0.1731389069999999|5.8466355000000005|0.8131148579999999|5176.321714|99.33639766|-392.5790722|16.88825479|0.007803902|568.1534007|4.477396402|0.0|0.0|3.9|3.61|17.0|-7.8|5.19|5.37|43.6|3.06|1.0|106.55|1.0|26.0|3.0|366.89|0.0|1.0|4.39|0.00153|4.73|0.0|1.57e-08|5.75e-06|-0.03985|4.4163|4.65|4.4163|-1493.154666|615.33|1064.92|280.74|0.1294|280.74|0.6983199999999999|-0.18602|0.02266493|-1492.979142|2745.0|5.5615|5.5615
5e_a40|0.0|0|0|0.0|0.0|1|0|1|0.604912776|1.661964758|6.167516491000001|0.0601021459999999|0|0.044526749|-0.106497535|0.7768055559999999|0.009890343|0.158430496|0.029272031|2|0.008306061|0.005996234|0.010397494|0|0.535506399|-0.402340487|0.0451110059999999|0.864422751|-0.076883794|0.0499188609999999|0.019851304|-36.56222854|-42.66853738|9.440323938|0.135577249|-0.035889706|-20.29110082|51.7148695|0.8223594679999999|-1.076691165|-17.38723451|48.81318333|-17.06741495|-8.116440327000001|0.177640532|6.533857846|0.914944155|4158.984115|84.47727896|-243.4932098|20.75420252|0.012921086|264.9899736|6.144645946|0.0|0.0|3.03|2.73|14.0|-4.65|4.3|3.74|75.5|2.37|1.0|79.16|2.0|20.0|3.0|303.77|0.0|1.0|3.33|0.0169|3.51|0.0|2.23e-05|0.00678|-0.07231|3.7138|4.99|3.7138|-1637.197299|493.19|802.38|333.85|0.5262|333.85|0.69675|-0.14786|0.01659566|-1637.162552|25.0|7.6021|7.6021
16i_a32|0.0|1|1|3.352437091|0.0|0|0|0|0.6094207429999999|0.0|5.733341277|-0.075706124|0|0.0439583329999999|-0.056414399|2.078707411|-0.003511776|-0.104899053|0.006037736|3|-0.001202032|-0.120440534|-0.211019184|0|0.801401734|0.134577711|0.009897928|0.801494708|-0.0857355019999999|0.5368697929999999|0.022335011|-56.03343427|-75.01027196|14.59730623|0.198505292|-0.036726892|-49.02383532|32.3175507|0.718964113|-1.836344582|-36.62130242|88.80827938|-24.00328703|-15.6876273|0.281035887|6.848009314|0.836873682|6355.471589|183.6742715|-784.3813651|33.38593207|0.021112022|636.0251562999999|13.79800742|0.0|2.0|3.75|3.16|19.0|-7.4|6.25|4.85|149.27|1.34|0.0|116.75|1.0|29.0|5.0|427.54|1.0|0.0|3.96|0.0035|4.19|0.0|4.01e-08|1.7100000000000002e-05|-0.05044|3.6176|4.99|3.6176|-1995.307733|692.96|1175.51|342.72|0.2857|342.72|0.70222|-0.14976|0.02810109|-1995.11813|6.0|8.2596|8.2596
16_a31|0.0|0|0|3.096824452|0.0|0|1|1|0.61013894|0.0|5.733341277|-0.186617888|0|0.042528736|-0.050076586|0.0|-0.017017891|-0.00795845|0.06214876|2|-0.0125582419999999|-0.053194463|-0.09530799|0|0.951830892|-0.038841601|0.0980869569999999|0.546450126|-0.142079397|0.29485045|0.0374314139999999|-66.9420327|-70.82239128|17.63615984|0.4535498739999999|-0.050105055|-33.36862997|467.7901274|0.73080436|-1.653466811|-31.54036284|83.86629191|-23.60746376|-11.12287666|0.26919564|5.521618837|0.747554032|4387.049328|126.8340354|-367.0549296|32.30339751|0.027684692|280.39844320000003|13.04390063|1.0|2.0|3.2|1.93|16.0|-4.94|3.8|2.83|114.29|0.78|0.0|80.57|2.0|21.0|4.0|300.34|0.0|1.0|2.33|0.0762|2.32|0.0|1.16e-05|0.00347|-0.0318899999999999|3.6596|1.7|3.6596|-1308.242314|503.18|818.1|338.79|0.2534|338.79|0.70108|-0.15231|0.03948619|-1308.161433|0.09|7.0458|7.0458
8j_a46|0.0|0|0|0.0|0.214753401|1|1|1|1.160371125|2.1279894180000003|5.533389489|-0.008523199|2|0.043903904|-0.129276363|0.0|0.011852046|-0.174853546|-0.053618988|1|0.0108603019999999|-0.084266433|-0.133413527|2|0.645146311|-0.223292257|-0.074207717|0.934648421|-0.054707287|0.308052557|0.008672342|-29.38737046|-37.04976799|4.658562801|0.065351579|-0.02566383|-19.90219786|64.83187221|0.822112519|-1.103544698|-15.7861518|41.80044861|-13.78596018|-7.405468973|0.177887481|5.617748211|0.747636856|4759.107832|95.55665364|-318.43516580000005|16.76894569|0.008843828|453.1959065|4.750680627|0.0|0.0|3.23|3.25|17.0|-7.26|4.71|4.55|43.6|2.62|1.0|96.94|1.0|24.0|3.0|338.83|0.0|1.0|3.82|0.00497|3.97|0.0|5.46e-08|1.85e-05|-0.04068|4.9636|3.78|4.4107|-1414.53151|576.48|978.4|281.1|0.1728|249.79|0.50703|-0.18531|0.02408052|-1414.402087|1228.0|5.9108|5.9108
12p_a30|0.0|0|0|0.0|0.0|0|2|2|0.604984421|0.0|5.351858133|-0.031328052|2|0.040899471|-0.062956958|0.0|0.005613018|0.000321545|-0.128484994|1|0.005965451|-0.053644471|-0.09353607|1|0.8414737059999999|-0.051402518|-0.2210072669999999|0.843381594|-0.074356395|0.371591982|0.015107947|-47.54197452|-60.65858419|9.659715461|0.156618406|-0.0364888379999999|-38.78387161|0.0|0.8199554720000001|-1.897419563|-30.39737673|68.98315679|-23.33022469|-14.91687369|0.180044528|7.392482526|0.886732486|6166.812731|115.116829|-775.6774321|28.4530386|0.0130197619999999|686.039456|8.3245726|0.0|1.0|4.76|0.0|17.0|-7.01|4.35|2.93|81.65|3.04|0.0|132.24|1.0|30.0|4.0|412.51|0.0|1.0|2.91|0.00291|4.23|0.0|9.75e-08|4.02e-05|-0.05169|5.1922|4.14|3.4955|-1615.094336|685.08|1167.16|354.69|0.1768|238.79|0.33929|-0.14823|0.03198743|-1614.890598|17.0|7.7721|7.7721
12l_a30|0.0|0|0|0.0|-4.712037416|0|2|2|0.60498366|0.0|5.351858133|-0.274237737|2|0.044036281|-0.102468864|0.0|-0.00695299|0.154540315|-0.02588969|1|-0.004395528|-0.077457998|-0.226973911|1|0.613786308|-0.045411075|-0.0395239879999999|0.834279405|-0.0905026719999999|0.37422435|0.0154211289999999|-63.31694493|-76.82494797|10.78883933|0.165720595|-0.045581702|-53.74781658|1.697908189|0.8218150790000001|-2.415830189|-44.29742723|88.64610824|-31.88960104|-22.31041443|0.178184921|9.258542907|0.861252543|7576.362669|124.6606826|-1182.451965|38.8038646|0.016896687|696.6414817000001|11.82116027|0.0|1.0|4.72|0.0|17.0|-7.18|4.43|4.78|90.88|2.82|0.0|133.96|1.0|34.0|8.0|482.48|0.0|0.0|3.42|0.000579|5.05|0.0|6.61e-08|3.19e-05|-0.0545299999999999|5.0454|5.52|3.5245|-1988.033039|729.17|1223.54|351.78|0.2294|245.74|0.39486|-0.14944|0.03406276|-1987.848331|61.0|7.2154|7.2154
8a_a50|0.0|1|1|3.139870661|0.0|1|1|1|1.39826105|2.03117465|5.777652323|-0.021959577|1|0.03904321|-0.0224366579999999|1.99158738|0.007671336|-0.150515325|-0.058014797|2|0.007801731|-0.065546446|-0.11385159|1|0.75162266|-0.188882361|-0.095292123|0.860876738|-0.069208148|0.278028663|0.018809422|-34.88425666|-41.48493288|9.480859015|0.139123262|-0.031655181|-20.91041439|0.0|0.751415713|-1.234552044|-17.58335405|50.06249379|-15.95574341|-8.042467074|0.248584287|5.754657432|0.858162757|4638.284496|125.2985144|-313.6562159|21.23424244|0.017017336|388.171611|8.577560914|1.0|1.0|3.34|2.01|20.0|-6.32|3.63|3.71|59.39|2.02|0.0|94.75|1.0|24.0|3.0|313.36|0.0|1.0|2.87|0.0234|2.95|0.0|4.82e-07|0.000151|-0.0280699999999999|5.622000000000001|2.69|4.1738|-1006.671867|548.47|912.7|297.06|0.18|220.53|0.3462199999999999|-0.17244|0.03479985|-1006.557694|47.0|7.3279|7.3279
11_a47|0.0|0|0|0.0|0.0|0|0|0|1.381898438|0.0|0.0|-0.156077888|3|0.033931624|-0.0586047379999999|1.311097861|-0.007419345|0.081235787|0.046339015|0|-0.00580273|-0.038723054|-0.079543257|3|0.702719047|-0.058523885|0.07716247|0.796863393|-0.08164597|0.572646116|0.008462682|-50.01659041|-59.10798423|5.184267117|0.203136607|-0.035945973|-36.20974614|1.882633323|0.816608795|-1.833244617|-30.64032829|66.9895812|-22.02062158|-13.48990542|0.183391205|5.966142027|0.8820228529999999|6736.717611|112.34605729999998|-687.9851765999999|26.96593732|0.0128657439999999|670.2339441|7.881596968999999|1.0|2.0|3.28|3.15|28.0|-10.55|5.58|6.68|70.93|3.0|0.0|124.7|0.0|32.0|5.0|422.45|1.0|1.0|4.69|0.000394|5.06|0.0|2.81e-11|1.19e-08|-0.05094|3.7253|4.84|3.7253|-1396.184699|654.49|1146.42|332.82|0.2321|332.82|0.6915399999999999|-0.1546|0.03959805|-1395.980918|0.04|7.4|7.4
4o_a46|0.0|0|0|0.0|0.160026534|1|1|1|1.13463699|2.138144369|5.587248657999999|0.042766097|1|0.043320988|-0.2363624889999999|0.0|0.010870588|-0.203025042|-0.06855792|1|0.010144781|-0.018058762|-0.028735607|1|0.626333846|-0.121466731|-0.09492635|0.950732618|-0.0648126359999999|0.372146122|0.00972341|-35.54402423|-36.03345669|5.332434441|0.049267382|-0.021901697|-19.76117845|31.19780621|0.7510206490000001|-1.051281434|-19.49276784|42.00638612|-12.01115223|-6.587059484|0.248979351|5.527567399|0.855222204|4966.476822|136.5432529|-316.1788552|15.99310518|0.0108913189999999|544.7877262000001|5.972929428|0.0|0.0|3.73|3.12|17.0|-7.26|4.77|4.94|54.5|2.72|0.0|103.66|1.0|26.0|3.0|342.44|0.0|1.0|3.92|0.0045899999999999|4.06|0.0|5.5e-08|1.88e-05|-0.04627|4.3255|3.76|4.3255|-1070.456878|581.59|1022.29|286.64|0.1598|286.64|0.6843|-0.18282|0.02815574|-1070.276387|162.0|6.7905|6.7905
12j_a30|0.0|0|0|0.0|0.0|0|2|2|0.604984421|0.0|5.351858133|-0.033312179|2|0.043848238|-0.02473642|0.0|0.005613018|0.0074730759999999|-0.075816941|1|0.005965451|-0.053644471|-0.09353607|1|0.8414737059999999|0.0060012969999999|-0.130412856|0.842199041|-0.073909106|0.328405591|0.015613498|-47.76354083|-60.832977500000005|10.09017681|0.157800959|-0.036204884|-39.31313154|0.0|0.8134611009999999|-1.882653966|-30.8670468|69.55167701|-23.39729904|-15.12043521|0.1865388989999999|8.067697897|0.91079856|6105.3402670000005|120.550211|-786.2626307999999|28.76265258|0.01349128|686.039456|8.71869951|0.0|1.0|4.76|0.0|17.0|-7.01|4.35|2.93|81.65|3.04|0.0|132.24|1.0|30.0|4.0|412.51|0.0|1.0|2.91|0.00291|4.23|0.0|9.75e-08|4.02e-05|-0.05106|5.1971|4.14|3.4788|-1615.096172|695.8|1175.75|356.4|0.2163|238.56|0.3087|-0.14772|0.03201935|-1614.894278|9.0|8058.0|8058.0
34_a47|0.0|1|1|0.0|0.0|1|0|0|1.40499556|1.883479676|4.727387819|-0.064842466|3|0.03522792|-0.094313757|1.741433543|0.003530307|-0.043634386|0.078153957|1|0.0047106|-0.1430639269999999|-0.317014709|3|0.62974551|0.046668352|0.128336294|0.8260556609999999|-0.061957581|0.437215023|0.019723558|-34.3104683|-49.91779281|10.92238452|0.1739443389999999|-0.029348287|-27.64315244|0.0|0.653993216|-1.261976347|-19.00022922|62.66739933|-16.25230464|-9.000096143|0.346006784|7.066583143|0.834499257|5105.274301|191.6093987|-387.0041342|24.85087647|0.023023142|439.9906467|12.74960652|1.0|1.0|3.19|3.0|21.0|-7.47|3.34|4.52|68.52|1.75|0.0|99.09|1.0|26.0|5.0|348.38|0.0|1.0|3.02|0.0436|2.49|0.0|3.36e-08|1.17e-05|-0.0545|4.2077|2.41|3.8892|-1162.4815230000002|585.79|980.02|318.79|0.2309|294.66|0.6602399999999999|-0.16086|0.03084502|-1162.33788|2.0|8.7|8.7
12ay_a36|0.0|0|0|3.50559949|0.0|0|2|2|1.2970434|0.0|5.351858133|-0.043778345|2|0.043383838|0.1012005419999999|0.0|0.003676818|0.012286423|-0.06756661|1|0.0045625|-0.101854847|-0.169994208|1|0.902377067|-0.109624825|-0.111814717|0.829406408|-0.074251203|0.419950383|0.018016934|-48.12939044|-64.13591431|11.67851857|0.170593592|-0.035337546|-41.57269314|8.677627506|0.778164805|-1.978902589|-31.1973159|74.29343346|-22.90568368|-14.84739041|0.221835195|6.466730436000001|0.828201506|6204.216872999999|143.79285900000002|-831.4538627999999|29.43551742|0.015670425|729.1873176|10.15751916|0.0|2.0|4.96|0.0|17.0|-7.34|3.76|2.5|69.2|2.45|0.0|133.68|1.0|31.0|4.0|409.49|0.0|1.0|2.42|0.0102|3.41|0.0|4.55e-08|1.86e-05|-0.0526|3.9348|3.79|3.6561|-1311.576473|674.33|1184.45|339.12|0.2939|315.09|0.6727|-0.15056|0.02880431|-1311.343228|18.0|7.7447|7.7447
4R4l_a46|0.0|0|0|0.0|0.171853072|1|1|1|1.134637095|2.155247543|5.587248657999999|-0.075241716|1|0.049498645|-0.067419714|0.0|0.0066560469999999|-0.060895366|-0.161358058|1|0.006162668|0.0071939419999999|0.010799648|1|0.7940662409999999|-0.001318857|-0.229089688|0.896653672|-0.090505744|0.208818132|0.007084496|-49.12015477|-45.96797819|3.844966512|0.103346328|-0.02989332|-24.94818681|0.0|0.8782984840000001|-1.524559305|-26.65896664|49.44228224|-16.223992300000003|-8.805242402000001|0.121701516|5.669819400000001|0.8412270820000001|4923.057044|66.05102684|-449.0673625|18.4720714|0.006401537|579.2365607|3.474304058|1.0|1.0|3.92|3.24|17.0|-7.0|4.64|5.02|50.94|3.06|0.0|105.77|1.0|26.0|3.0|347.45|0.0|1.0|4.09|0.0027|4.49|0.0|9.980000000000001e-08|3.47e-05|-0.0212699999999999|4.6497|4.99|4.1152|-1092.75416|584.44|1038.78|301.29|0.1678|266.65|0.40548|-0.17475|0.02589231|-1092.544322|137.0|6.8633|6.8633
15_a15|0.0|0|0|0.0|0.0|0|1|1|1.435688991|0.0|0.0|-0.031457366|3|0.029814815|-0.063032481|0.0|0.001806571|0.000676845|0.0020555079999999|0|0.003766915|-0.173728081|-0.272482143|2|0.843715005|0.007958332|0.003774415|0.8972060479999999|-0.061884697|0.7028760070000001|0.020649569|-41.11675625|-60.51136736|13.71976186|0.102793952|-0.031405332|-40.20430373|4.306196778|0.702544178|-1.821509261|-27.31834743|73.99578515|-20.86598874|-13.86355301|0.297455822|6.673906339|0.772181523|7039.747576999999|197.6323578|-804.0860746000001|29.700607300000005|0.0202953539999999|830.7967967000001|13.48441779|1.0|1.0|4.04|4.34|24.0|-8.9|4.33|6.69|59.51|2.52|0.0|138.24|1.0|34.0|4.0|448.52|1.0|0.0|4.64|0.000357|5.32|0.0|1.27e-09|5.7e-07|-0.03786|3.6968|5.04|2582.0|-1450.7538470000002|700.82|1265.55|480.19|0.4459|335.38|0.67524|-0.10964|0.02849263|-1450.462493|109.0|6.9626|6.9626
8g_a12|0.0|1|1|2.897921027|0.0|0|1|1|1.28383574|0.0|4.59511985|-0.029907264|2|0.038347953|-0.038463841|1.714060666|0.005898773|-0.094550033|-0.040257632|1|0.005405355|0.068559367|0.122649613|1|0.804158158|-0.04981165|-0.070405398|0.8576253690000001|-0.076856227|0.274352085|0.008910823|-42.39297373|-57.6443411|4.915102972|0.142374631|-0.042752517|-31.79592789|0.0|0.90166696|-1.881110729|-23.38345638|61.99654413|-23.58177591|-13.00742505|0.09833304|6.882798206|0.864880588|5327.736626|54.23932676|-572.326702|26.15353224|0.007890315|480.0590283|4.352203029|1.0|2.0|4.07|2.51|21.0|-8.0|3.31|2.07|78.85|2.89|0.0|109.93|1.0|27.0|5.0|353.38|0.0|0.0|2.77|0.0163|3.06|0.0|9.98e-09|3.53e-06|-0.06432|4.2057|3.68|3731.0|-1154.321531|590.93|989.66|332.31|0.3786|294.8|462.0|-0.1520099999999999|0.03954539|-1154.173831|3715.0|5.43|5.43
22_a20|0.0|0|0|0.0|0.0|1|0|0|1.4170330269999998|1.915285809|4.727387819|0.023539095|2|0.0388043479999999|0.09301076|2.041494094|0.009265667|-0.066832578|-0.038668966|1|0.008780074|-0.036258691|-0.060582944|2|0.616352201|-0.044184455|-0.067650395|0.946515026|-0.059893667|0.425968568|0.0122876139999999|-39.00017609|-44.14650378|8.001165067999999|0.053484974|-0.027118811|-28.7463017|54.71081293|0.77063827|-1.3559405430000002|-25.39523478|52.90592556|-17.65860151|-11.49852068|0.22936173|7.408914181|0.913422548|5924.626340999999|149.350479|-574.9260339|22.91425458|0.01345209|664.4562602999999|8.759421782|1.0|0.0|3.36|3.41|27.0|-9.69|5.33|5.39|67.39|2.61|0.0|121.62|1.0|31.0|4.0|401.46|0.0|1.0|4.24|0.0012|4.47|0.0|2.04e-10|8.199999999999999e-08|-0.0568|5.5591|4.07|3.9732|-1275.84854|694.15|1181.95|312.05|0.2636|223.03|0.38233|-0.16176|0.03226475|-1275.657902|231.0|6.6364|6.6364
12be_a36|0.0|0|0|3.466734143|0.0|0|2|2|1.297042758|0.0|5.351858133|-0.0419484829999999|2|0.043854875|0.118420241|0.0|0.000482522|-0.08981965|0.00430921|1|0.002872872|-0.176729938|-0.289604649|1|0.884226781|0.132962547|0.00734728|0.798015877|-0.0780531429999999|0.330453338|0.033763464|-54.15309606|-75.59805505|23.42501577|0.201984123|-0.031937334|-52.44976141|0.0|0.5660743979999999|-1.852365352|-37.57129686|99.62604537|-22.15805062|-15.37320593|0.433925602|8.773114043|0.839796323|6592.168374|301.05661160000005|-891.645944|39.14335412|0.034632557|766.4854363|24.02799032|0.0|2.0|4.96|0.0|17.0|-6.79|2.83|1.9|87.66|1.42|0.0|136.74|1.0|33.0|6.0|441.49|0.0|0.0|1.75|0.0315|2.62|1.0|1.6100000000000005e-07|7.11e-05|-0.0518799999999999|5.2184|2.68|3.3487|-1462.0007349999998|739.48|1256.67|370.25|0.7034|237.59|0.40844|-0.13781|0.03245204|-1461.747501|44.0|7.3565|7.3565
47t_a18|0.0|0|0|0.0|0.0|0|1|1|1.25117758|0.0|4.844187086|-0.161517185|0|0.03672956|0.018018036|0.0|-0.006573438|-0.011641394|-0.04785474|0|-0.004985656|-0.068787175|-0.104274108|0|0.704602886|0.005590928|-0.074774521|0.67203319|-0.119202068|0.240001773|0.014067024|-79.78154029|-69.13537385|9.415011332|0.32796681|-0.040580402|-46.27207168|78.43695402|0.804531523|-2.272502492|-53.39751484|80.00407742|-27.16032544|-18.17831387|0.195468477|8.780037801|0.991199259|6603.597038|130.8263901|-1017.985577|33.75918118|0.016238994|747.6927426|10.86870356|0.0|3.0|3.86|0.0|18.0|-7.51|2.6|2.93|110.56|1.64|1.0|129.21|1.0|33.0|4.0|441.48|0.0|0.0|2.15|0.0075299999999999|3.57|0.0|3.09e-08|1.36e-05|-0.06822|3.1164|9.4|3.1164|-1470.873743|703.76|1218.95|397.84|0.5502|397.84|0.6895100000000001|-0.12692|0.03767603|-1470.593659|782.0|6.1068|6.1068
12q_a36|0.0|0|0|3.453150038|0.0|0|2|2|1.29701394|0.0|5.351858133|-0.043678703|2|0.042804233|0.068040097|0.0|0.0005016269999999|-0.0651906459999999|-0.0433009009999999|1|0.0010871589999999|-0.103922055|-0.177407665|1|0.8941919290000001|-0.017640538|-0.074349074|0.82911927|-0.07607684|0.324924033|0.018562763|-49.18227989|-68.5549152|12.00048565|0.17088073|-0.038175515|-44.31949385|0.0|0.768692389|-1.908775752|-31.79544084|80.15866795|-24.67976947|-15.95501778|0.231307611|7.546533709|0.947876484|6040.52496|149.536123|-797.7508892000001|32.10617123|0.017949083|629.5017194000001|11.60375275|0.0|2.0|4.74|0.0|17.0|-7.18|3.35|2.54|69.2|2.51|0.0|128.76|1.0|30.0|4.0|415.88|0.0|1.0|2.34|0.0106|3.31|0.0|6.65e-08|2.77e-05|-0.05602|5.2375|3.79|3.8653|-1692.544456|683.51|1148.35|320.77|0.4239|236.72|0.39919|-0.1566|0.03415678|-1692.370918|6.0|8.2218|8.2218
3h_a32|0.0|1|1|3.579396967|0.0|0|0|0|0.609420752|0.0|5.733341277|-0.008243901|0|0.037731481|0.014517903|2.243113495|0.002101838|-0.003152613|-0.111111111|3|0.003284804|-0.071193103|-0.122769653|0|0.84279263|-0.169197453|-0.2|0.87880263|-0.07183387|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|0.12119737|-0.027590124|-34.60714056|0.0|0.7734940029999999|-1.324325944|-28.15732254|62.63332945|-17.27367301|-10.81473143|0.226505997|8.107034244|0.692036677|5187.525619|141.8112711|-519.1071084|22.33200639|0.011751781|593.0848817000001|7.357575822|1.0|1.0|3.65|3.88|19.0|-8.47|8.11|6.24|110.94|2.64|0.0|112.28|1.0|26.0|3.0|382.55|1.0|1.0|5.4|0.000273|6.12|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|4.61|3.5552|-1790.6908030000002|676.22|1127.45|348.74|0.2926|348.74|0.70257|-0.1474099999999999|0.02690554|-1790.5004850000005|7.0|8.1549|8.1549
12f_a30|0.0|0|0|0.0|-4.734662095|0|2|2|0.60498366|0.0|5.351858133|-0.274237737|2|0.041555556|0.1468972409999999|0.0|-0.00695299|-0.008663584|-0.046588557|1|-0.004395528|-0.077457998|-0.226973911|1|0.613786308|-0.043091382|-0.071123509|0.8357464459999999|-0.090450992|0.56363596|0.01570263|-63.81176255|-76.85198573|11.07796031|0.164253554|-0.0452183279999999|-54.21787616|1.45550709|0.815175332|-2.396571368|-45.01820228|89.21786458|-31.90082427|-22.5055335|0.184824668|8.366190175|0.8958126809999999|7634.176316|130.3909181|-1192.793275|39.1336968|0.01752821|696.6414817000001|12.36587885|0.0|1.0|4.73|0.0|17.0|-7.18|4.43|4.78|90.88|2.82|0.0|133.96|1.0|34.0|8.0|482.48|0.0|0.0|3.42|0.000579|5.05|0.0|6.61e-08|3.19e-05|-0.05464|5.0587|5.52|3.5298|-1988.032639|729.87|1225.63|351.25|0.2166|245.09|0.32483|-0.14958|0.03400408|-1987.848015|19.0|7.7144|7.7144
16h_a32|0.0|1|1|3.340888605|0.0|0|0|0|0.609420754|0.0|5.733341277|-0.098975084|0|0.039958333|-0.069213021|2.075726759|-0.0048042729999999|0.061727488|-0.022634676|3|-0.002310082|-0.123297852|-0.219947482|0|0.804503712|-0.003188883|-0.03617945|0.7991915079999999|-0.081151869|0.44308098|0.02096013|-51.56009529|-77.17316899|13.31708433|0.200808492|-0.038765425|-49.03221545|35.90298920000001|0.7359051059999999|-1.821974989|-32.75886858|90.15529448|-24.62973479|-15.6485794|0.2640948939999999|6.710057805|0.850995852|6151.056721|167.7935207|-735.4832318|33.46862873|0.020432929|573.3529948|12.98212548|0.0|2.0|3.61|3.45|19.0|-7.0|5.86|4.6|149.27|1.12|0.0|111.95|1.0|28.0|5.0|413.52|1.0|1.0|3.74|0.0073599999999999|3.66|0.0|9.89e-08|4.09e-05|-0.05028|3.6182|4.54|3.6182|-1955.99895|679.82|1130.4|342.67|0.2914|342.67|0.70219|-0.14972|0.02818755|-1955.832545|9.0|8.0655|8.0655
12_a1|0.0|0|0|3.3894574360000003|0.0|0|1|1|1.430936075|0.0|5.351858133|-0.02164054|1|0.036382114|0.076867966|0.0|-0.0038943009999999|-0.0811332759999999|-0.051772288|1|-0.001416381|-0.104622651|-0.173618873|1|0.8016064479999999|-0.045776997|-0.093957115|0.765121385|-0.0964711209999999|0.210514881|0.033770552|-55.99493147|-60.78517756|19.60151089|0.234878615|-0.039894864|-35.28166588|477.1158679|0.724666653|-1.675584287|-32.50125347|74.99749378|-23.15625812|-13.44063462|0.275333347|7.679719277999999|0.867391557|5468.378562|159.81230209999998|-564.5066541|31.95435864|0.024485753|473.040639|14.21231622|1.0|1.0|3.29|2.72|23.0|-8.2|4.87|4.41|83.82|1.67|0.0|103.47|1.0|28.0|5.0|366.37|0.0|1.0|3.44|0.00649|3.54|0.0|6.28e-09|2.3e-06|-0.07042|3734.0|3.67|3.1744|-1216.12881|607.42|1018.84|390.57|0.5867|332.04|0.69114|-0.12874|0.0296752|-1215.975876|2.95|5.5302|5.5302
14b_a25|0.0|0|0|0.0|0.0|1|0|0|1.420015222|1.616664856|4.727387819|-0.0166120069999999|2|0.038137255|0.001683506|1.929508048|0.004725325|-0.012989126|0.0009956189999999|1|0.004892038|-0.043923908|-0.074541111|2|0.6524261960000001|-0.085205646|0.001715854|0.859628015|-0.076156512|0.329662946|0.016003559|-52.75064158|-58.29440389|11.08504021|0.140371985|-0.032728922|-40.37825712|57.85340824|0.772789587|-1.767361771|-36.53830946|69.2012501|-22.67004596|-15.70265555|0.227210413|8.690235527|0.963240883|6760.594953|157.3797801|-847.9433995999999|29.33534086|0.015746299|760.3735147000001|10.90684621|1.0|1.0|3.51|3.21|27.0|-9.65|4.48|4.79|96.49|1.8|0.0|130.97|1.0|34.0|5.0|444.49|0.0|1.0|3.63|0.00261|3.88|0.0|2.23e-10|9.93e-08|-0.0584|5.4239|5.61|4069.0|-1444.544749|716.14|1257.11|304.7|0.3614|228.59|0.34735|-0.16309|0.03876374|-1444.330251|22.0|7.6576|7.6576
