molecula|SddssS|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Heavy atom count|Egan filter|BBB|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|pIC50
5f_a40|0.0|0|0|1|8.149890544|0|1|0.60491326|1.656591081|-0.004886759|-0.008387329|-0.0468504759999999|0.042936508|0.769837491|-0.293556526|0.000663516|0.166865076|0.062183277|2|2|0.000706205|-0.155235986|0.18254908|0|0.811339477|-0.465573352|875.0|1|0.7414714309999999|-0.113521559|-0.10969397|0.0528268609999999|0.020236763|-50.68028366|9.349692674|222.1847349|0.258528569|119.4441339|4.319700326|63.48466425|0.814393685|-1.316327637|57.61052946|-19.00510637|61.79838068|0.484099946|342.5710869|-608.163404|0.185606315|3963.475837|85.75294257|-280.9807494|23.33651|0.015000038|-290.5093357|269.0442248|6.930245797|0.0|0.0|1.0|1.0|3.08|0.21|14.0|2.68|1.29|0.0|78.56|0.0|20.0|0.0|0.0|0.000491|2.2|0.0|0.0|-0.06227|3.0611|-1232.983157|405.03|0.2747|325.97|0.56507|0.69727|-1232.851443|-1232.898044|7.6183|6.9508
21_a4|0.0|0|0|1|7.535296702|1|1|1.399863887|2.026698554|-0.164057585|-0.003068098|-0.014982235|0.042924837|0.0|-0.131928225|0.012362563|-0.2897937889999999|-0.104638158|1|1|0.012094249|0.030586117|-0.099702401|1|0.777866961|0.090847781|0.833191212|0|0.932146735|-0.0571545999999999|-0.076470465|0.239652988|0.020173071|-38.7880598|10.23237244|63.37635587|0.067853265|34.4171635|5.190159022|66.03320922|0.7231676229999999|-1.147056976|47.69702403|-14.54552243|39.22285963|0.401240904|472.812128|-581.8208971|0.276832377|4277.396118|140.4174905|-295.1166014|20.11362507|0.017563978|-226.3943104|387.240586|8.908964226|1.0|1.0|1.0|1.0|3.37|0.16|17.0|3.85|2.32|0.0|91.59|0.0|23.0|0.0|1.0|6.51e-05|3.36|0.0|0.0|-0.02956|4.0245|-973.5683008|308.08|0.2016|240.17|0.5260600000000001|0.66476|-973.400097|-973.449892|2.9409|6.9172
43_a18|0.0|0|0|0|7.03438793|2|2|1.251175234|0.0|0.032999679|-0.005099385|-0.01369899|0.033734062|0.0|-0.397752066|0.002712865|0.031746165|-0.032429984|0|0|0.003801459|-0.079184068|-0.2093696189999999|0|0.713379703|-0.023109314|0.7458234990000001|0|0.852344887|-0.070166168|-0.0822489459999999|0.3439906129999999|0.006890688|-63.87648583|5.35147222|0.66443384|0.147655113|114.6724699|4.156080507|21.60709738|0.8743733490000001|-2.302970476|69.46280937|-24.16948112|59.84418608|0.481954273|661.9512957999999|-1788.541603|0.125626651|7428.282915000001|97.56464265|-1389.023915|27.64206062|0.007193089|-581.4944803999999|1228.492038|5.5863235410000005|1.0|0.0|1.0|1.0|4.54|0.34|18.0|4.08|3.7|3.0|160.76|0.0|38.0|0.0|0.0|1.09e-06|5.1|0.0|1.0|-0.04949|3.2233|-1611.621186|384.65|0.5429|384.65|0.6926800000000001|0.6926800000000001|-1611.126246|-1611.198355|3.6943|6.2041
5_a18 (BIBF0775)|0.0|0|0|0|7.03438793|2|2|1.251175715|0.0|0.0160123|-0.005220163|-0.015946718|0.035478927|0.0|-0.391512249|0.002526619|0.0002403959999999|-0.022817602|0|0|0.0036739159999999|-0.054916741|-0.216531385|0|0.7395978390000001|-0.001626287|0.774859029|0|0.8432358679999999|-0.068989967|-0.078246932|0.420002762|0.008501088|-59.08151918|6.418873637000001|10.36586529|0.156764132|118.3671077|4.846666751|50.25564119|0.8159410579999999|-2.112667176|67.25977848|-22.46761997|58.5107823|0.483962172|636.6978809999999|-1595.201018|0.184058942|7221.114573000001|138.97646310000002|-1204.480438|27.535837|0.010831199|-477.1120625|1140.896548|8.178259299999999|1.0|0.0|1.0|1.0|4.42|0.32|18.0|3.69|3.52|3.0|155.95|0.0|37.0|0.0|1.0|1.91e-06|4.73|0.0|0.0|-0.04938|3.2027|-1572.313227|378.13|0.4825|378.13|0.69298|0.69298|-1571.843719|-1571.914419|2.8009|7.4685
11a_a50|0.0|0|1|2|7.927685046000001|1|1|1.397733996|4.088412042|-0.156121881|-0.002914262|-0.014702942|0.038040936|2.114272566|-0.134056065|0.011959339|-0.108592708|-0.129547471|2|2|0.012037198|-0.0739260509999999|-0.277408878|1|0.792574879|-0.158172459|0.8535780190000001|1|0.917127112|-0.048213112|-0.071180382|0.2931724189999999|0.01848869|-37.63057389|9.774322692|7.53108119|0.0828728879999999|43.81199235|5.167341939|67.28055926|0.6543614329999999|-1.067705728|48.67321197|-13.43949068|35.26290548|0.463749257|484.8529701000001|-564.4586084|0.345638567|4858.670497|182.7270002|-298.409489|20.53832944|0.020887781|-163.21096210000002|439.9973344|11.04263807|0.0|1.0|1.0|1.0|3.44|0.15|20.0|3.73|2.25|0.0|99.65|0.0|25.0|0.0|1.0|6.97e-05|2.9|0.0|0.0|-0.03284|4.0636|-1045.978598|305.11|0.1761|305.11|0.65485|0.65485|-1045.794689|-1045.84627|7.5619|7.2291
EW7203_a60|0.0|0|0|0|7.412764017000001|2|2|0.604984431|0.0|0.025672274|-0.00698487|0.0075638519999999|0.041767677|0.0|-0.377182982|0.003099827|0.03824498|-0.051413084|1|1|0.0036417359999999|-0.1696249719999999|-0.090115975|1|0.822401103|0.002441966|0.8839272779999999|0|0.8860751579999999|-0.076068195|-0.096226348|0.345488097|0.020156795|-62.23028092|13.03554647|80.48638339|0.113924842|73.67602619|8.430183|0.0|0.766837077|-1.828300603|73.82739839|-23.64750675|62.22940284|0.497298165|573.0312689|-1182.375337|0.233162923|6403.777228|150.7881632|-764.6507562999999|30.83771958|0.01793256|-345.1309687|666.0036144999999|11.59711747|0.0|1.0|1.0|1.0|4.75|0.13|17.0|2.6|2.17|2.0|133.97|0.0|31.0|0.0|0.0|1.53e-05|3.59|0.0|0.0|-0.06188|3.5192|-1668.025575|352.3|0.2385|247.15|0.40883|0.69857|-1667.78681|-1667.848192|2.5159|8.0334
3c_a49|0.0|0|0|1|7.535296702|1|1|1.343850149|2.108416128|0.034009672|-0.004876919|-0.016347266|0.036335697|1.879769411|-0.248722888|0.006218639|-0.05815918|0.0127926339999999|1|1|0.006470561|-0.0780996759999999|-0.101919761|2|0.802792677|0.005559828|0.8605470759999999|1|0.7963363840000001|-0.071786669|-0.074135885|0.501887054|0.0148240689999999|-42.3959176|8.477406111|89.34479838|0.203663616|116.4686425|4.8479546860000005|77.29181095|0.637222556|-1.186174159|54.85343388|-14.4326528|49.52988301|0.4791465279999999|455.3990518|-678.3346816000001|0.362777444|5544.351498|207.4607002|-387.9176903|22.64931248|0.021783913|-156.9462939|542.7276591|12.45751629|1.0|1.0|1.0|1.0|3.18|0.18|21.0|3.87|1.84|1.0|109.43|0.0|28.0|0.0|1.0|0.000137|2.29|0.0|0.0|-0.0606|3842.0|-1198.668772|322.71|0.4321|240.36|0.32539|0.6692100000000001|-1198.430306|-1198.484646|3.7789|7.0605
12p_a36|0.0|1|0|0|7.412764017000001|2|2|1.297044387|0.0|-0.0494658159999999|-0.008017607|-0.084341564|0.042804233|0.0|-0.432950771|-0.002526241|-0.084846674|-0.0433009009999999|1|1|-0.000673716|0.2461794139999999|-0.217394466|1|0.828371596|-0.035871448|0.8839272779999999|0|0.748438833|-0.082569108|-0.108380023|0.315548061|0.020202133|-68.22905781|12.71795723|83.24921731|0.251561167|158.3666517|8.006403882999999|0.0|0.759126153|-1.950840419|80.40682298|-24.56246081|64.698131|0.475504684|471.1687161|-1228.123041|0.240873847|5922.775161|151.63860559999998|-773.1468902|32.35623052|0.019344052|-326.2581567|595.8790650000001|12.17776516|0.0|0.0|1.0|0.0|4.72|0.14|17.0|2.44|2.4|1.0|123.71|0.0|30.0|0.0|1.0|6.96e-05|2.78|0.0|0.0|-0.0552299999999999|3.8372|-1332.182868|323.11|0.3015|232.12|0.30159|0.66559|-1331.947748|-1332.006106|6.7199|8.0458
9i_a40|0.0|0|0|1|7.515889085|0|0|0.604992808|1.841293462|0.074116257|-0.0071562119999999|-0.105556952|0.045555556|0.891973262|-0.279092262|0.004532692|0.201624407|-0.1788455119999999|2|2|0.004019925|0.333430103|0.187399127|0|0.762774506|-0.154977678|0.824009442|1|0.830980762|-0.092881258|-0.088485615|0.006324687|0.011010661|-44.58600513|5.548036224|213.7117392|0.169019238|85.16517222|2.795536563|62.68854553|0.8590224540000001|-1.327284222|49.81256531|-18.57750214|52.34891159|0.477626156|418.7133986|-668.7900768999999|0.140977546|4201.058793|71.03556427|-336.98898810000003|21.62632891|0.010372658|-361.8074422|351.4600612|5.226560183|1.0|1.0|1.0|1.0|3.25|0.06|20.0|4.02|2.99|1.0|91.11|0.0|22.0|0.0|0.0|1.97e-05|3.85|0.0|0.0|-0.05989|2.8936|-1273.334714|428.48|0.5012|284.3|0.56118|0.70339|-1273.167389|-1273.217301|2.7887|5.9031
14r_a23|0.0|0|1|2|7.423568444|0|0|1.197963203|3.201732471|-0.009140243|-0.006323791|-0.06921746|0.045277778|0.7087588690000001|-0.322513347|0.007671236|-0.079935667|-0.064006338|2|2|0.0075222369999999|0.033038452|-0.17267308|2|0.7837821840000001|0.03753491|0.846632079|1|0.8662226190000001|-0.062618931|-0.085881409|0.375360556|0.019185345|-55.30494931|12.35476415|47.26552456|0.133777381|86.14846171|7.956082857|55.62948521|0.7882228370000001|-1.717628177|66.31173073|-23.53402098|52.67940305|0.4661909429999999|557.8203557999999|-1106.098986|0.211777163|6744.848704999999|136.37788909999998|-712.2932561000001|29.85706563|0.017092103|-371.2130393|599.5697147999999|11.00678143|0.0|1.0|1.0|0.0|3.47|0.05|26.0|4.58|3.4|2.0|120.24|0.0|31.0|0.0|0.0|7.73e-06|3.68|0.0|0.0|-0.06842|3.1797|-1729.1556449999998|389.92|0.2346|208.71|0.30482|0.68115|-1728.924789|-1728.98403|8.8722|8.2684
