molecula|SddssS|NaaNH|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
4b_a49|0.0|0|0.0|1|1|1.343847828|2.075628989|-0.109946885|-0.077626337|0.036555556|-0.064060521|1.645329244|0.001769804|-0.033486358|10.92776533|0.02907541|1|-0.10158752|-0.089371493|2|0.720824193|0.005818676|0.049923437|0.852400617|0.6967593559999999|1|0.7581492670000001|-0.091725536|-0.090284437|0.438784865|-55.5653235|14.84890147|41.97072627|148.84640819999998|-0.030696709|64.87087098|0.645330839|-1.534835437|-34.74338731|71.2971749|-18.89220999|71.30114509|2708.998101|-944.6104994|1701.832352|7.588962922|14.53457293|6025.790417|-581.3580885|29.27523192|1463.761596|600.3287567000001|15.73185141|1.0|1.0|1.0|1.0|3.37|3.1|0.22|21.0|-7.05|3.71|3.26|90.13|0.0|0.0|6.0|6.0|-7.12|400.43|0.0|0.0|1.0|2.8|-3.88|0.000155|62.0|0.000132|0.0527|2.28|0.0|0.0|0.2856|267.08|509.78|0.4151899999999999|0.68242|1.8265|-0.22366|0.03702033|2.2306|7.1024|7.1024
16e_a32|0.0|1|0.0|0|0|0.609420752|0.0|0.180914799|-0.06951854|0.040982906|-0.04474426|2.080236877|-0.0048042729999999|-0.070351839|10.31100268|-0.01320745|3|-0.079817994|-0.219947482|0|0.804503712|0.096017785|-0.022651598|0.91471624|0.7619492790000001|1|0.7903051590000001|-0.087117996|-0.117338144|0.504569498|-75.36830928|15.50894749|105.4021155|134.6906051|-0.037448344|39.27920316|0.702226562|-1.760072163|-35.94239328|90.34923861|-24.05371573|71.46633549|2710.157931|-1130.524639|3376.1299740000004|6.573687662|12.15001203|6142.277629|-726.1554308999999|34.2534974|1609.914378|573.3529948|14.98092934|1.0|0.0|1.0|2.0|3.64|3.36|0.26|19.0|-7.38|6.03|4.6|149.27|0.0|1.0|8.0|5.0|-6.15|413.52|1.0|0.0|1.0|3.77|-4.75|2.58e-07|0.000107|1.7899999999999998e-05|0.0074099999999999|3.76|0.0|0.0|0.2858|342.37|552.79|0.7022|0.7022|3.2372|-0.2005|0.02792775|3.9389|8.1367|8.1367
35_a18|0.0|0|0.0|2|2|1.251175948|0.0|0.068150325|-0.020425504|0.03531746|-0.069149293|0.0|-7.44e-05|0.027469086|10.94702087|-0.0098863069999999|0|-0.104482176|-0.117857059|0|0.737701788|-0.032017257|-0.017913121|0.774007861|0.7277482059999999|0|0.800765945|-0.081822342|-0.084219749|0.3888901179999999|-62.06945887|6.525195505|118.7214377|146.8343246|-0.033440195|74.92670772|0.874573807|-2.273933228|-44.44264921|67.9315105|-24.64522632|66.82777970000001|3038.429834|-1675.875389|1761.858479|9.184536969|17.18442554|6995.248058|-1235.110287|28.17969862|1916.219506|1056.535856|5.862051629|1.0|1.0|1.0|3.0|4.3|0.0|0.3|18.0|-9.55|4.13|3.35|85.29|1.0|0.0|8.0|3.0|-6.0|480.6|0.0|0.0|1.0|3.07|-5.53|8.629999999999999e-07|0.000415|2.96e-06|0.0014199999999999|4.55|0.0|0.0|0.4981|385.69|657.07|0.69279|0.69279|2.0432|-0.18079|0.02600607|2.7788|7.6198|7.6198
9h_a24|0.0|1|0.0|0|0|1.428198245|1.726213624|-0.203768024|2.01e-05|0.023854167|0.078066659|0.0|0.013595277|-0.209618231|10.96661419|-0.002471577|2|0.144624936|-0.047269812|2|0.687815726|0.183289617|-0.004960317|0.859720539|0.656172477|0|0.883775278|-0.060337884|-0.0687348109999999|0.4016070679999999|-32.48899638|8.724425117000001|167.2085719|54.93613103|-0.026280957|1.773520599|0.572371258|-0.8935525440000001|-13.48059881|47.51520531|-12.42226332|37.24443236|2062.34011|-422.3569529|768.1954692|5.805547147|11.11300329|4170.098082|-199.6361567|21.70315707|737.9073405|295.8603625|15.02620893|1.0|0.0|1.0|1.0|2.84|1.96|0.0|22.0|-6.05|2.42|2.72|72.28|0.0|0.0|3.0|4.0|-6.85|288.31|0.0|1.0|1.0|1.97|-3.24|0.00147|423.0|0.000575|166.0|1.7|0.0|0.0|0.3844|239.63|363.48|0.54606|0.61928|5.6654|-0.22593|0.0305020989999999|7.7741|7.1135|7.1135
2_a33|0.0|1|0.0|0|0|0.609420748|0.0|0.047294725|-0.064926835|0.039958333|-0.049900189|2.112255684|-0.002514803|0.070526947|10.31100266|-0.05997501|3|-0.0881938509999999|-0.148024156|0|0.787714775|-0.0212158239999999|-0.096644295|0.8799816220000001|0.753434785|1|0.8195154109999999|-0.0804186|-0.104047115|0.411881091|-63.57699532|11.27469555|103.5201191|110.28338390000002|-0.031851158|44.34034244|0.702597735|-1.56070672|-30.02592687|75.44970552|-19.46234551|60.41371259|2632.195388|-953.6549298|3245.244678|6.152818143999999|11.60906093|6067.635829|-582.7217333|27.70055258|1357.327077|618.9134881|11.8727102|1.0|0.0|1.0|2.0|3.57|3.51|0.3|19.0|-7.67|6.7|4.63|140.04|0.0|1.0|7.0|4.0|-6.17|411.54|1.0|0.0|1.0|3.98|-4.78|4.44e-07|0.000183|1.6800000000000002e-05|0.0069|3.72|0.0|0.0|0.2911|341.74|525.38|0.70205|0.70205|4.2519|-0.19979|0.02972182|5539.0|8.2596|8.2596
11b_a31|0.0|1|0.0|1|1|0.610137403|0.0|0.078614731|-0.172248605|0.043380952|-0.078907688|0.0|-0.014385937|-0.1488994619999999|10.31169957|-0.046362952|2|-0.129901143|-0.16780872|0|0.833717183|0.067031897|-0.074254978|0.889561759|0.7943850720000001|0|0.545458754|-0.143839236|-0.148709304|0.26165445|-82.80602396|21.02499452|286.7721447|253.1028809|-0.044612791|87.78853803|0.669723835|-1.784511651|-44.59898223|100.3071755|-24.84180719|101.1192111|2410.572158|-993.6722875|1756.711832|6.83089364|12.96936635|5202.545866|-553.3080237|37.09261324|1483.70453|397.3137532|17.50115151|1.0|0.0|1.0|2.0|3.41|2.29|0.24|16.0|-5.45|4.67|3.25|125.57|0.0|0.0|5.0|6.0|-6.73|357.38|0.0|0.0|1.0|2.69|-3.75|1.82e-05|0.00649|0.000178|0.0637|2.46|0.0|0.0|0.2634|322.57|479.66|0.70073|0.70073|3.2104|-0.1951|0.04215313|4.7518|6.2757|6.2757
4d_a46|0.0|0|0.173086735|1|1|1.134637067|2.146507937|-0.1397563859999999|-0.017469934|0.047736111|-0.131948546|0.0|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|-0.206000242|-0.1271933999999999|2|0.6535171|-0.213089038|-0.103199079|0.8075680409999999|0.623144956|0|0.936057958|-0.056384895|-0.070772596|0.290035518|-38.85529917|4.750218646|8.241078584|35.10521457|-0.024616555|74.62074724|0.813427965|-1.132361533|-16.99546444|43.60839351|-13.51488667|35.70643728|2181.291783|-621.6847867|2233.65548|5.757075209|10.30138878|4993.774007|-341.3149976|16.6147308|764.2776167999999|509.0572545|4.753094337|1.0|0.0|1.0|0.0|3.78|3.5|0.35|17.0|-7.41|4.81|5.11|43.6|1.0|0.0|2.0|3.0|-5.4|352.86|0.0|1.0|1.0|4.11|-5.11|1.18e-05|0.00416|7.8e-06|0.00275|4.3|0.0|0.0|0.1313|280.09|503.76|0.69884|0.69884|3.5318|-0.22603|0.02292966|3.7104|6.2865|6.2865
12o_a36|0.0|1|0.0|2|2|1.297042837|0.0|0.01340619|-0.079716275|0.040770975|0.03842353|0.0|-0.00233752|-0.059733192|10.96036596|-0.010904454|1|0.065221584|-0.213993335|1|0.859938421|0.141570244|-0.01854899|0.848816593|0.817582774|0|0.7592112809999999|-0.082048664|-0.10624773|0.514457955|-76.51720886|16.85373064|55.47133795|173.4105814|-0.03541591|112.1259723|0.666462845|-2.018706878|-42.554984000000005|95.66406176|-25.50573629|75.94332024|3009.981519|-1453.826968|2778.220342|7.322888607|13.80895167|6622.134304|-1047.013252|38.27030489|2181.407379|757.7532208|19.1468529|0.0|0.0|0.0|3.0|4.97|0.0|0.17|17.0|-6.93|2.38|1.65|98.3|0.0|0.0|7.0|5.0|-7.66|438.48|0.0|0.0|0.0|1.47|-3.64|0.000292|128.0|0.000227|0.0997|1.85|0.0|0.0|0.4075|238.77|560.88|0.36719|0.67273|4.9237|-0.21151|0.04371335|6.6471|7.3979|7.3979
15b_a10|0.0|0|0.0|1|1|1.3438370730000002|2.145379897|-0.197213588|0.024214591|0.033219955|-0.111812184|2.0455289690000003|0.011484257|-0.082365722|10.92966694|-0.058911857|1|-0.175869992|-0.27395395|2|0.744213612|-0.058258414|-0.104250125|0.83320417|0.7199249390000001|1|0.921918974|-0.046334564|-0.07358373|0.697099355|-50.44100799|10.94939968|43.96642219|53.52386591|-0.024105015|118.6253241|0.670236374|-1.398090862|-21.77253505|62.53159836|-16.52377848|42.7113409|2716.468606|-958.3791518|2603.829652|6.6940006620000005|11.42472965|6105.426726|-656.9605906|24.65365821|1429.912176|766.4127559|12.09059037|0.0|1.0|1.0|0.0|3.61|3.89|0.32|21.0|-8.18|4.34|4.44|56.07|0.0|0.0|7.0|5.0|-6.34|413.51|0.0|1.0|0.0|3.66|-4.64|4.46e-05|0.0185|2.28e-05|0.00943|3.49|0.0|0.0|0.3575|215.17|587.53|0.46711|0.68906|4.7752|-0.20313|0.02977516|6.1384|7.0706|7.0706
13j_a6|0.0|1|0.0|1|1|1.430640326|0.0|0.0353600779999999|-0.154502515|0.041728395|0.07522656|0.0|-0.011017781|-0.0951246069999999|10.95129557|-0.047513534|1|0.121750719|-0.073507141|1|0.8744720490000001|-0.063948098|-0.079161042|0.8353837409999999|0.830577798|0|0.6229641429999999|-0.120219472|-0.129511589|0.205764388|-86.54032868|20.78979124|180.6709018|251.937353|-0.046428683|114.6910805|0.7841668409999999|-2.460720196|-53.67779048|99.85109065|-31.02389141|101.1210779|2907.3053210000003|-1644.266245|2634.320708|8.741405506|15.43329684|6276.316063|-1098.707398|39.56287079|2096.832152|673.8038326000001|13.31076198|1.0|1.0|1.0|3.0|3.56|2.26|0.12|23.0|-8.5|4.16|3.54|115.15|0.0|0.0|6.0|5.0|-6.81|427.46|0.0|0.0|1.0|2.82|-4.48|9.32e-06|0.00398|3.28e-05|14.0|2.95|0.0|0.0|0.2857|339.64|555.0|0.69993|0.7045100000000001|8.3187|-0.19491|0.03242949|10.9731|6.5817|6.5817
