molecula|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
5b_a40|0|0|0.0|1|8.149890544|0|0.064329005|0.044946237|0.7222376540000001|0.008515162|0.179058252|0.020344828|2|0.006372485|-0.164084255|0.013573521|-0.389789991|0.537115914|-0.400500595|0.029485257|0.88618123|0.503365018|1|-0.077031845|-0.091267779|0.313503463|-38.64461938|-45.78637031|9.59023102|0.118735598|59.56617021|-0.036507111|-22.96968039|4.811137897|49.25022097|-1.095213344|52.08187888|-18.31454812|48.2348504|2126.9310920000003|-549.4364437|-9.187872156|6.521443259|12.47657231|0.913161214|85.77656597|22.09185326|0.012549086|-330.1175669|662.7555978999999|285.9136384|1.0|0.0|1.0|0.0|0.0|2.82|0.21|14.0|-5.25|4.93|75.5|1.0|0.0|2.0|-5.43|21.0|-5.42|0.0|0.0|1.0|3.83|-4.84|1.44e-05|0.00488|0.0|0.0|5.65e-06|0.00191|3.9759|3.9759|-2096.767375|515.23|311.84|-2096.707754|-0.15999|-0.23068|0.01471235|9.3069|64.0|7.1938|7.1938
14x_a23|0|1|0.0|2|7.423568444|0|-0.111315218|0.04314059|0.6753138120000001|0.003379755|-0.075184011|-0.0229244|2|0.003906274|0.160327487|-0.206574435|-0.443633823|0.5788469970000001|-0.035031888|-0.035965909|0.8668730109999999|0.558482531|1|-0.0708831479999999|-0.084244058|0.229141189|-46.97594633|-55.83053941|14.64350681|0.223171139|147.90081730000003|-0.034056109|-37.00022522|9.704599953|87.28077098|-1.6006371069999998|70.40248829|-22.56979253|61.61945314|3071.48868|-1060.780249|-14.95753786|7.777802167999999|14.62325432|0.880126802|184.0971574|31.25095356|0.0219879679999999|-294.5294492|1468.794817|597.2903597999999|0.0|0.0|1.0|1.0|0.0|3.42|0.05|26.0|-7.93|4.2|105.02|2.0|0.0|1.0|-5.68|32.0|-6.35|0.0|0.0|0.0|4.06|-5.27|5.41e-06|0.00242|0.0|0.0|1.17e-08|5.23e-06|4.0641|3.6941|-1828.371718|675.21|335.63|-1828.168422|-0.15259|-0.23475|0.02165405|8.1916|3.0|8.4949|8.4949
19_a15|0|0|0.0|0|0.0|0|-0.558905888|0.040555556|0.0|-0.012350591|-0.04003124|-0.032407407|0|-0.00534669|0.060683674|-0.045543362|-0.571686169|0.7981860159999999|0.042424078|-0.048611111|0.770451673|0.7358168620000001|0|-0.0946599869999999|-0.112106433|0.355677322|-54.70558911|-64.78818183|3.04716388|0.308930877|178.5363184|-0.042351319|-37.44217335|1.761006946|15.76831619|-1.905809364|68.10965742|-24.47553536|57.75275299|2625.952212|-1101.399091|-14.14482104|6.10227122|10.26331993|0.681885245|44.99916039|26.54223128|0.005747326|-487.9183964|1194.400408|490.1808545|1.0|1.0|1.0|0.0|1.0|2.17|0.11|18.0|-7.14|2.36|102.69|1.0|0.0|1.0|-5.12|26.0|-6.22|0.0|0.0|1.0|2.88|-4.39|4.1200000000000005e-05|0.0152|0.0|0.0|7.28e-08|2.69e-05|4.1742|4.1742|-1523.361214|601.23|297.03|-1523.196562|-0.17018|-0.20742|0.04315771|9326.0|72.0|7.1427|7.1427
4_a27|0|0|0.0|2|6.823286122000001|0|-0.058641975|0.0456410259999999|1.274166982|0.00991794|0.13397347|-0.01660383|1|0.010329671|-0.459570857|-0.341622797|-0.480852615|0.639413469|-0.07759915|-0.024800302|0.842039655|0.614205449|1|-0.057748369|-0.078787867|0.3485918529999999|-29.89961815|-40.79296366|10.43112657|0.1473956619999999|76.31512503|-0.0281385239999999|-21.12083948|5.40078803|58.27512057|-1.181818|51.33640873|-14.56891559|40.33074472|2273.715366|-611.8944548999999|-7.543156957000001|6.01592535|10.82331334|0.799110312|164.3952417|21.34684457|0.020363697|-188.9664429|896.5674718|424.8821143|0.0|0.0|1.0|0.0|1.0|3.08|0.16|21.0|-6.22|2.94|65.6|0.0|0.0|1.0|-3.57|25.0|-6.51|0.0|1.0|1.0|2.8|-3.99|0.000102|0.0339|0.0|0.0|6.04e-07|0.0002|5.5485|4.1288|-1083.119531|555.75|300.29|-1082.963712|-0.17034|-0.21533|0.01877181|3.9202|4.0|8.3979|8.3979
12ax_a36|1|0|0.0|0|7.412764017000001|2|-0.040458296|0.043383838|0.0|-0.001012333|-0.057017299|-0.034663063|1|-0.00097037|0.128253871|-0.1716508239999999|-0.440372791|0.884841888|-0.0394369539999999|-0.056676035|0.892249657|0.771220556|0|-0.073739612|-0.107815607|0.375647684|-49.32384393|-72.11700812|12.79462904|0.153162279|102.4490387|-0.038813619|-48.23849712|8.558226304|1.236876307|-1.940680931|84.58859134|-25.96212292|62.11847297|2926.929456|-1298.106146|-17.36585896|7.563197245|14.78635841|0.955040697|157.28794140000002|33.94393618|0.018645135|-354.3162187|1697.196809|661.6709012|1.0|0.0|1.0|1.0|0.0|0.0|0.14|17.0|-7.76|3.99|69.2|2.0|0.0|1.0|-5.08|31.0|-6.26|0.0|1.0|1.0|2.82|-5.18|6.55e-06|0.00295|0.0|0.0|1.74e-08|7.83e-06|5.2372|3.8889|-2152.100515|699.67|318.82|-2151.910753|-0.15728|-0.21324|0.03044421|6.0402|12.0|7.9208|7.9208
12e_a31|1|0|0.0|0|7.765993078999999|1|-0.044316064|0.037098765|0.0|-0.002475146|-0.107630327|-0.015755876|2|-0.000231353|0.01824365|-0.142921555|-0.543945776|0.7968154940000001|-0.039273975|-0.028502695|0.82100963|0.76012894|0|-0.0939597569999999|-0.1099563869999999|0.2642991189999999|-68.32948993|-79.96257188|19.38343763|0.2784732339999999|202.5115275|-0.036652129|-58.15044546|14.09603901|595.9853231000001|-2.089171358|95.1187282|-26.65419063|87.71292755|3040.353774|-1519.288866|-19.38348182|10.24381236|19.50674899|0.904247004|199.8981394|36.75829484|0.020841203|-327.4245209|2095.222806|798.7285626|1.0|1.0|1.0|1.0|1.0|3.72|0.24|22.0|-9.31|6.69|117.37|3.0|0.0|1.0|-6.66|33.0|-5.93|0.0|0.0|1.0|4.5|-5.42|3.83e-06|0.00176|0.0|0.0|4.93e-10|2.27e-07|5.3264|3.8391|-1809.85374|781.61|322.95|-1809.581226|-0.15934|-0.19379|0.04614662|3.4818|0.17|6.7696|6.7696
9n_a24|1|0|0.0|0|6.605297921|0|0.001099755|0.024179894|0.0|0.008307337|-0.036651001|-0.03088354|1|0.008809179|-0.22754075|-0.200646773|-0.225226606|0.786587307|0.048359202|-0.058520736|0.804201677|0.755793189|0|-0.052106597|-0.0777274979999999|0.331008994|-35.21502941|-52.53031811|11.90027964|0.095443402|64.50319929|-0.026905672|-35.50139138|8.042526681|24.72120326|-1.399094961|67.36550766|-18.18357165|47.11530904|2542.730334|-945.545726|-12.28894317|8.232847909|14.52410167|0.764164944|235.1021924|27.88350328|0.021951174|-205.6223122|1449.942171|631.9206508|1.0|1.0|1.0|1.0|1.0|2.6|0.17|23.0|-8.64|4.41|66.93|1.0|0.0|1.0|-4.14|29.0|-6.47|0.0|1.0|0.0|3.13|-4.29|5.14e-05|0.0198|0.0|0.0|2.31e-09|8.909999999999999e-07|4.9139|4.1028|-1239.095611|686.19|302.2|-1238.856882|-0.1658099999999999|-0.20399|0.03188309|4.8123|19.0|7.7212|7.7212
6f_a40|0|0|0.0|1|8.421342866|1|-0.156988665|0.038309179|0.737582436|-0.009302776|0.075227997|-0.190617284|2|-0.008368734|-0.233222505|0.092206207|-0.628934821|0.7710013309999999|-0.032826285|-0.268802228|0.896373207|0.742681934|1|-0.134203859|-0.130571562|0.363785804|-86.21963207|-83.88605319|10.2782635|0.344213487|221.1408856|-0.052228625|-53.89282175|6.6032981820000005|40.01876255|-2.350288117|92.77827871|-33.55442128|96.49789556|3021.330686|-1509.948957|-21.5571287|6.993991456|11.87042702|0.69723213|88.13890599|38.88975659|0.013841059|-466.1748926|1750.039046|593.503189|1.0|0.0|1.0|0.0|1.0|2.53|0.21|14.0|-3.67|3.66|199.45|1.0|1.0|3.0|-6.95|30.0|-6.9|1.0|0.0|0.0|2.61|-4.64|2.3e-05|0.0105|1.0|0.0|0.0002109999999999|0.0967|3.5741|2.57|-2426.924155|668.95|482.43|-2426.725129|-0.1131799999999999|-203.0|0.04845403|8.7269|42.0|7.3768|7.3768
12_a47|1|1|0.0|0|6.605297921|0|-0.078935336|0.036632997|1.555521837|-0.0047488359999999|-0.018573056|0.0295267039999999|1|-0.004332024|0.003417588|-0.015039637|-0.326846977|0.6505449670000001|0.055943216|0.050943962|0.90246604|0.618808977|1|-0.084846808|-0.091853238|0.266995634|-44.18983348|-47.83891561|9.382250925|0.2159289589999999|112.4599133|-0.034116917|-24.91541818|4.886454935|0.0|-1.1940921|61.09751253|-17.76874008|53.5720844|2266.78114|-621.9059029|-9.25429818|7.042279354|13.52358352|0.920341815|166.28511369999998|26.10271529|0.025457205|-188.2488142|913.5950352|335.1175012|1.0|1.0|0.0|1.0|1.0|1.67|0.0|21.0|-8.11|4.19|66.49|0.0|0.0|1.0|-4.51|24.0|-5.94|0.0|1.0|1.0|3.37|-4.56|2.77e-05|0.00943|0.0|0.0|7.69e-09|2.61e-06|4.2907|3.9538|-1488.064043|537.79|313.58|-1487.974738|-0.1633|-0.2256|0.03721125|3.5884|6.0|8.2|8.2
12g_a40|0|0|0.0|1|7.515889085|0|-0.129331216|0.036630824|0.726175674|-0.001011175|0.075327376|-0.211162861|2|-0.003205145|0.280045216|0.106286677|-0.512657141|0.777835705|0.020185301|-0.326139923|0.8396782220000001|0.6941475490000001|1|-0.0951493559999999|-0.099521372|0.289122732|-49.94706785|-52.24208444|6.670206427999999|0.129798543|68.1355805|-0.0435406|-27.42361099|3.501413627|0.0|-1.393299206|59.29860462|-22.85591194|56.61727428|2287.970776|-731.3891821000001|-11.99782981|7.692740528|14.39849078|0.871698484|77.67373972|26.82520454|0.013442698|-369.5858437|858.4065454|335.7078145|1.0|0.0|1.0|0.0|0.0|3.2|0.0|20.0|-6.63|4.83|78.66|2.0|0.0|1.0|-6.46|23.0|-4.91|0.0|0.0|1.0|4.4|-5.79|1.62e-06|0.000586|0.0|0.0|2.37e-07|8.57e-05|4.0224|3.1577|-2173.0224510000003|540.25|392.64|-2172.9382|-0.13191|-0.20615|0.02230594|2.7075|724.0|6.1403|6.1403
