molecula|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
14a_a10|0|0|0.0|1|7.535296702|2|0.0437538159999999|0.035660377|2.070512208|0.011509975|-0.045759336|-0.00421565|1|0.012272222|0.042968756|-0.344811314|-0.168193178|0.76857495|-0.011977878|-0.007680215|0.770129205|0.740051323|1|-0.044416218|-0.070610745|0.43555903|-32.23041637|-51.23835032|9.840503082|0.088450549|64.18371923|-0.018970051|-37.18086445|7.140714112|134.15514270000003|-1.270993412|67.14248252|-13.76552695|42.07091945|3075.550631|-922.2903058|-9.988888957|10.0292632|18.88856367|0.8833450959999999|332.3339934|25.39690722|0.0219172279999999|-60.97724212|1701.592784|1003.968547|0.0|1.0|1.0|1.0|1.0|4.4|0.39|21.0|-8.18|4.16|59.31|1.0|0.0|1.0|-4.21|35.0|-6.82|0.0|1.0|0.0|3.43|-4.8|1.58e-05|0.00743|0.0|0.0|6.55e-09|3.07e-06|5.5808|3802.0|-1489.803158|800.01|326.1|-1489.42155|0.2422099999999999|0.19621|-0.14757681|4.8004|74.0|7.1308|7.1308
4R4k_a46|0|0|0.173180233|1|7.825245291|1|-0.088084767|0.0510113959999999|0.0|0.006550513|-0.1149361969999999|-0.1032662209999999|1|0.006050983|-0.158788415|0.012963356|-0.3860697829999999|0.78837943|-0.003017362|-0.141706595|0.787615341|0.784722915|0|-0.089699228|-0.085931818|0.237621572|-47.73036108|-45.72566346|4.194771739|0.109374836|58.20005971|-0.030434186|-24.33134018|2.232103603|0.0|-1.4608409080000002|49.58292992|-16.19450581|51.92513282|2105.035168|-777.3362788|-8.617349646000001|5.522208638|10.33328154|0.871222588|70.94107067|18.68565706|0.007248925|-390.2334878|896.9115391|519.5743695|1.0|1.0|0.0|1.0|1.0|3.12|0.33|17.0|-6.61|4.26|50.94|1.0|0.0|1.0|-4.82|25.0|-5.46|0.0|1.0|1.0|3.81|-4.83|1.4800000000000002e-05|0.0049299999999999|0.0|0.0|2.48e-07|8.28e-05|5.2965|4.1392|-1053.413412|565.94|299.53|-1053.202129|-0.17484|-0.19529|0.0257622|1.9753|97.0|7.0132|7.0132
18a_a25|0|0|0.0|1|6.842683282|0|-0.019008377|0.038167849|2.050257213|0.007643634|-0.018419483|-0.019985937|1|0.007325341|0.106305991|-0.06333068|-0.2936794219999999|0.761417363|-0.039007784|-0.035531959|0.792935475|0.7291583840000001|1|-0.055926422|-0.078181889|0.341320954|-37.07961488|-51.83514755|6.317215793|0.068371614|45.33086513|-0.03097773|-34.36707071|4.188358905|0.0|-1.641819678|59.45091020000001|-20.53845469|43.39683067|2857.88027|-1088.538099|-13.61714122|7.39539242|14.59524518|0.973559258|121.2825364|25.136651|0.011486699|-420.4420243|1332.242503|759.4953883|1.0|1.0|1.0|1.0|1.0|3.43|0.08|27.0|-9.78|5.89|87.72|2.0|0.0|1.0|-6.33|32.0|-5.58|0.0|0.0|1.0|4.53|-5.77|1.71e-06|0.000744|0.0|0.0|1.67e-10|7.28e-08|5.4965|3.1711|-1675.2501519999998|694.17|390.98|-1674.982248|-0.15732|-0.21323|0.02456497|4.3839|94.0|7.0269|7.0269
3d_a49|0|0|0.0|1|7.535296702|1|-0.3456333889999999|0.036335697|1.775376197|-0.00918253|-0.068390038|0.017871379|1|-0.004253844|-0.149675594|-0.129666234|-0.202380888|0.914407252|0.01450704|0.029549308|0.863438637|0.846953747|1|-0.099295364|-0.094384452|0.464410121|-57.52001036|-54.67520803|5.561916586000001|0.266928348|154.6267696|-0.036147237|-31.67236018|3.221917789|0.0|-1.698920144|65.59130031|-20.93944137|63.08192694|2809.9605100000003|-984.1537446|-12.12984007|6.612715522999999|12.87442833|0.946920034|140.9844521|27.67490257|0.018844179|-297.31302830000004|1300.720421|549.3593871|1.0|0.0|0.0|1.0|1.0|0.0|0.15|21.0|-6.15|0.72|121.39|1.0|0.0|1.0|-5.19|28.0|-6.58|0.0|0.0|1.0|1.85|-4.44|3.6200000000000006e-05|0.0142|0.0|0.0|7.1e-07|0.000278|5.1844|3.8907|-1594.552258|615.3|318.67|-1594.380348|-0.16147|-0.21913|0.04373784|2.3278|2.34|5.6308|5.6308
5a_a50|0|1|0.0|2|7.927685046000001|1|-0.017108794|0.038040936|2.475383677|0.012640587|-0.256097122|-0.130929632|2|0.01228899|0.028229556|-0.168135655|-0.161169418|0.699970832|-0.132977171|-0.203436041|0.847812674|0.6759066159999999|1|-0.038932964|-0.065209836|0.2814514|-20.77548565|-34.7974024|5.435098605|0.030107124|16.06582337|-0.022747617|-18.56865899|2.900288114|60.04351409|-0.978147545|44.17662122|-12.13862875|26.21058426|2246.106104|-521.9610361|-6.477439183|5.892775027000001|10.76914508|0.8275167520000001|178.61652859999998|18.24602704|0.017576522|-176.38892919999998|784.5791628|462.1867149|1.0|0.0|1.0|1.0|1.0|3.28|0.14|20.0|-6.24|3.66|35.64|0.0|0.0|1.0|-3.89|25.0|-5.83|0.0|1.0|1.0|3.47|-4.5|3.14e-05|0.0102|0.0|0.0|5.7e-07|0.000186|5.6146|4.0159|-1029.905844|582.98|308.73|-1029.734933|-0.16659|-0.19146|0.02452028|5649.0|4.1|5.3872|5.3872
7_a47|0|0|0.0|0|0.0|0|-0.143650735|0.04030303|1.303301032|-0.0091074509999999|-0.085507035|-0.0781924059999999|0|-0.00794321|-0.262805289|-0.04311702|-0.46105149|0.6995252890000001|-0.04402021|-0.124285418|0.8755534909999999|0.671549194|1|-0.081264417|-0.095957591|0.427432212|-45.82735481|-54.113260200000006|5.027768049|0.152677268|86.09912617|-0.036250645|-30.51603217|2.8353037860000003|0.0|-1.631279045|61.47335819|-20.44278719|50.85512286|2491.885862|-919.9254234|-11.52827882|6.485224033|10.90440708|0.681423344|103.2106353|25.02240371|0.0130514639999999|-357.5076454|1126.008167|526.6144628999999|1.0|1.0|0.0|1.0|1.0|3.14|0.09|22.0|-9.45|5.63|58.04|2.0|0.0|1.0|-6.47|28.0|-4.8|1.0|0.0|1.0|4.89|-6.06|8.75e-07|0.000345|0.0|0.0|3.52e-10|1.3900000000000001e-07|3.7203|3.7203|-1647.963177|604.84|333.26|-1647.7863539999998|-0.1544|-0.2073699999999999|0.03348545|4.4255|25.0|7.6|7.6
47o_a18|0|0|0.0|0|7.03438793|1|-0.055408687|0.037484277|0.0|-0.00046896|0.011121222|-0.038296569|0|0.000787517|-0.009467295|-0.156998637|-0.490807196|0.7452092359999999|0.001673737|-0.066242713|0.781148177|0.733228144|0|-0.077288013|-0.088436375|0.261785105|-56.13142962|-64.2280736|6.313168526|0.193127002|140.2610102|-0.034545459|-46.6464782|4.585021184|82.54478365|-2.210909375|70.23090572|-25.08909125|62.44459815|2857.120021|-1605.70184|-18.22128055|9.808930716|19.35260972|0.972958142|92.41474142|28.74706708|0.008265369|-541.4335917000001|1839.812293|931.8364349|1.0|1.0|0.0|1.0|1.0|0.0|0.25|18.0|-9.37|3.69|85.29|3.0|0.0|1.0|-5.66|34.0|-6.12|0.0|0.0|1.0|2.76|-5.08|8.38e-06|0.00381|0.0|0.0|4.26e-10|1.93e-07|3.22|3.22|-1455.547304|783.22|385.04|-1455.162559|-0.13203|-0.18223|0.02736851|2.8284|47.0|7.3279|7.3279
14y_a23|0|1|0.0|2|7.423568444|0|-0.022719307|0.046678487|0.731397292|0.009174505|-0.051539811|-0.031435038|2|0.007229683|0.07646106|-0.125978901|-0.4598871539999999|0.719722236|0.137426346|-0.049318182|0.8668730109999999|0.64069202|1|-0.057809342|-0.080613242|0.2271539169999999|-39.9727336|-55.74067298|13.00274534|0.074747068|51.68445972|-0.034303507|-38.54233552|8.990852582999999|82.29531392|-1.612264842|67.16839951|-23.71943531|52.97547894|3096.562257|-1114.8134599999998|-16.40099384|8.213390641|16.00209862|0.948293868|149.890474|30.28429949|0.016527|-391.6770747|1423.362076|665.6233736|0.0|0.0|1.0|0.0|1.0|3.49|0.05|26.0|-8.57|4.64|105.02|2.0|0.0|1.0|-6.77|32.0|-5.8|0.0|0.0|0.0|4.45|-6.13|7.37e-07|0.000354|0.0|0.0|2.6899999999999996e-09|1.29e-06|3.6413|3.6413|-2549.091817|713.1|340.49|-2548.8917260000003|-0.14942|-0.2331599999999999|0.01307741|6.5205|4.0|8.4225|8.4225
21_a4|0|0|0.0|1|7.535296702|1|-0.014982235|0.042924837|0.0|0.012362563|-0.2897937889999999|-0.104638158|1|0.012094249|0.030586117|-0.099702401|-0.228430899|0.6952936|0.090847781|-0.174578783|0.833191212|0.674434042|0|-0.0571545999999999|-0.076470465|0.239652988|-28.99048719|-38.7880598|10.23237244|0.067853265|34.4171635|-0.028676424|-19.67444009|5.190159022|66.03320922|-1.147056976|47.69702403|-14.54552243|39.22285963|2045.488184|-581.8208971|-7.377915035|5.961506745|9.956436217|0.670120767|140.4174905|20.11362507|0.017563978|-226.3943104|804.5450027|387.240586|1.0|1.0|1.0|1.0|1.0|2.92|0.16|17.0|-5.94|3.7|39.94|0.0|0.0|2.0|-3.88|23.0|-5.76|0.0|1.0|1.0|3.23|-4.19|6.51e-05|0.0197|0.0|0.0|1.16e-06|0.000352|5.1623|4.0245|-973.5481197|549.71|308.08|-973.400097|-0.16632|-0.19588|0.020181098|2.9409|121.0|6.9172|6.9172
19_a34|0|0|0.0|1|7.412764017000001|1|-0.169170251|0.044107744|0.0|-0.00802652|-0.143343425|-0.014196676|1|-0.0042364759999999|-0.29861864|-0.401414514|-0.469568766|0.866604574|0.08178394|-0.0235903339999999|0.8582665429999999|0.818710955|0|-0.112877411|-0.1255804019999999|0.308793959|-56.30608209|-62.64265252|19.74799697|0.360097548|179.6256831|-0.039656969|-31.24772528|9.850795895|470.4453529|-1.506964829|77.38527508|-19.78189027|76.05407906|2127.363207|-751.7118302|-9.86770272|5.495780422|10.31797048|0.877434994|168.4584665|29.86894781|0.029554695|-161.90813300000002|1135.020017|337.9440349|0.0|1.0|0.0|1.0|1.0|2.77|0.18|17.0|-5.03|2.69|69.4|0.0|0.0|2.0|-2.73|23.0|-7.01|0.0|1.0|1.0|2.1|-3.15|0.000704|218.0|0.0|0.0|9.42e-06|0.00291|4.1721|4.1721|-1046.5747720000002|538.96|297.18|-1046.458335|-0.1735|-0.20251|0.03168624|5.0441|0.99|6.0044|6.0044
LY364947_a10|1|0|0.0|0|6.605297921|0|-0.00390904|0.0273958329999999|2.084955541|0.007575|0.010202602|-0.006198347|1|0.006909045|0.1625645369999999|0.072909639|-0.204644982|0.706034038|-0.072740964|-0.012096774|0.7792035190000001|0.681525895|1|-0.076999385|-0.075303751|0.449473391|-34.01613475|-33.26705198|4.275500834|0.156895451|69.31194102|-0.029665114|-14.69643595|1.88879448|0.0|-0.978948758|41.53157099|-13.10520229|38.29163558|1896.845282|-432.4716757000001|-5.78950507|4.702575386|9.161732895|0.948237326|122.1566022|18.1140017|0.018707677|-197.4583104|597.7620559999999|287.99188260000005|1.0|1.0|0.0|1.0|1.0|1.88|0.0|21.0|-7.2|3.97|54.46|0.0|0.0|1.0|-3.54|21.0|-6.02|0.0|1.0|1.0|2.8|-3.86|0.000137|0.0374|0.0|0.0|6.31e-08|1.7199999999999998e-05|||||||||||59.0|7.2291|7.2291
12am_a36|1|0|-4.723487246|0|7.412764017000001|2|-0.297354748|0.044036281|0.0|-0.011700732|-0.050505733|-0.037654321|1|-0.007897954|0.345949079|-0.3344729369999999|-0.6080522279999999|0.647732719|-0.0147665219999999|-0.05754717|0.885733922|0.624142499|0|-0.091472759|-0.118101664|0.305015372|-63.19394154|-81.59051640000001|12.15249658|0.185013456|127.81651770000002|-0.045928425|-56.3667958|8.395550408|1.038361162|-2.480134939|95.53118838|-31.72964526|75.34643812|3230.6292780000003|-1713.4008440000002|-21.92042059|8.772646622|17.01968794|0.940085891|146.228847|40.24894481|0.020179019|-398.3921535|2173.44302|672.4630346|1.0|0.0|1.0|1.0|0.0|0.0|0.17|17.0|-7.14|3.31|78.43|2.0|0.0|1.0|-5.2|34.0|-6.4|0.0|0.0|0.0|2.65|-5.07|8.6e-06|4.0|1.0|0.0|7.24e-08|3.37e-05|5.2317|3.8606|-1645.169789|714.21|321.15|-1644.952145|-0.15658|-0.21356|0.03550681|8.0872|0.06|7.2218|7.2218
16_a47|1|1|0.0|0|6.605297921|0|-0.1246612469999999|0.042285714|1.491023983|-0.005688938|0.001426202|0.0506476009999999|1|-0.004153659|-0.236994128|-0.0574194159999999|-0.3379683979999999|0.591929006|-0.113476605|0.081171071|0.87782381|0.57616624|1|-0.093207587|-0.092995116|0.421094692|-48.30620628|-48.19609034|9.676588112|0.308139547|159.6978638|-0.034261359|-24.97833451|5.0150344780000005|0.0|-1.301931629|60.36423869|-17.75645434|57.9827944|2315.178558|-674.7452647999999|-9.202544293|6.855429069|13.01476838|0.898461533|156.55227280000005|25.44160067|0.0234786339999999|-205.1602001|966.7808252999998|357.35851410000004|1.0|1.0|0.0|1.0|1.0|1.95|0.06|21.0|-8.17|4.47|66.49|0.0|0.0|1.0|-4.34|25.0|-6.04|0.0|0.0|1.0|3.52|-4.42|3.84e-05|13.0|0.0|0.0|6.8099999999999994e-09|2.3e-06|4.4393|4.0806|-1167.0124560000002|534.69|303.84|-1166.901251|-0.16851|-0.22568|0.03384512|3.8601|1.0|9.0|9.0
14g_a23|0|1|-4.794439428|2|7.423568444|0|-0.301504331|0.0422736629999999|0.653317181|-0.002390707|-0.031968899|-0.030586527|2|-0.0004039459999999|0.179219801|-0.2952674819999999|-0.648987099|0.598213287|0.010202051|-0.044895912|0.854683662|0.575188253|1|-0.072819606|-0.096288005|0.297855753|-51.82254036|-68.52397802|13.05300369|0.092665527|65.94601775|-0.041536002|-48.76552945|9.289253982|1.5679977319999998|-2.118336119|83.15907597|-29.55936307|64.87554405|3400.464046|-1507.527516|-21.03611074|8.788027188|16.32997765|0.8582074559999999|156.3396622|37.88128151|0.020564836|-398.9771038|1931.945357|676.4530574|0.0|0.0|1.0|0.0|1.0|3.79|0.09|26.0|-7.95|3.97|114.25|2.0|0.0|1.0|-6.89|35.0|-5.94|1.0|0.0|0.0|4.35|-6.0|1e-06|0.0004969999999999|0.0|0.0|1.12e-08|5.57e-06|3.7042|3.7042|-2042.161409|730.13|334.71|-2041.934312|-0.1519|-0.23201|0.0221162|10245.0|0.01|8.0|8.0
1b_a5|1|0|0.0|0|6.605297921|0|-0.061874543|0.0248765429999999|0.0|0.003886035|0.001241264|-0.028797464|1|0.003708988|-0.220946861|0.045204303|-0.231956531|0.567806811|0.122747292|-0.054153474|0.827319059|0.558485747|0|-0.07823203|-0.077221824|0.341795323|-39.38248661|-38.87394276|5.438378717999999|0.191171377|96.23685048|-0.031306145|-19.56938257|2.737713392|0.769931305|-1.158327367|48.55415504|-15.75970652|44.82086533|2171.716467|-583.1091414|-7.933533473|6.11909445|11.64312636|0.90275317|134.6705884|21.51550842|0.019229427|-234.0649914|796.0738116|357.34245360000006|1.0|1.0|0.0|1.0|1.0|1.81|0.0|23.0|-8.3|4.88|54.46|0.0|0.0|1.0|-3.97|24.0|-5.99|0.0|1.0|1.0|3.38|-4.3|4.970000000000001e-05|0.0157|0.0|0.0|4.99e-09|1.58e-06|4789.0|4.6481|-1050.506509|536.59|266.74|-1050.413506|-0.1892|-0.23055|0.03246637|4.3687|59.0|7.2291|7.2291
13n_a6|1|0|0.0|0|6.842683282|0|-0.135152403|0.04393617|1.628408574|-0.0093684169999999|-0.06507689|-0.033224059|1|-0.00687003|0.100294804|-0.118693789|-0.57091314|0.870730542|-0.064779873|-0.056293641|0.832753533|0.82642394|1|-0.100363599|-0.109392959|0.307384948|-68.88015714|-75.07706271|12.18768927|0.29109784|199.7822434|-0.038490115|-51.52585133|8.36448634|103.012404|-2.078466222|88.73738138|-26.41600355|81.06784641|2952.259627|-1426.464192|-18.12946621|8.872063579|16.76075427|0.889160748|172.28545730000002|35.2699138|0.019904118|-341.7352549|1904.575345|724.3873672999999|1.0|1.0|1.0|1.0|1.0|1.9|0.08|27.0|-9.67|4.19|122.47|1.0|0.0|1.0|-4.64|33.0|-7.23|0.0|0.0|1.0|2.62|-4.28|5.24e-05|0.0228|0.0|0.0|2.1499999999999998e-10|9.35e-08|4.8185|3.3510000000000004|-1423.714738|727.69|369.99|-1423.451366|-0.13863|-0.20994|0.05026727|10.1967|75.0|7.1249|7.1249
8g_a8|1|0|0.0|1|7.535296702|1|-0.222784884|0.0438779959999999|0.0|-0.009140059|-0.025002199|-0.03728368|1|-0.007047583|0.001970629|0.162134281|-0.508072694|0.6784762320000001|0.121495775|-0.0571942009999999|0.790058057|0.656457444|0|-0.136742629|-0.129695841|0.298992226|-83.78686741|-79.46906035|19.06725815|0.466064505|285.5736014|-0.052430233|-48.6934008|11.68315869|67.54104396|-2.464220973|90.27531534|-32.12579035|102.8541256|2889.141422|-1509.912147|-19.68456628|7.440878437999999|14.28792131|0.920192814|102.2893227|38.56355928|0.017636126|-408.1554248|1812.487286|551.1746801|0.0|0.0|1.0|1.0|0.0|2.96|0.04|23.0|-7.4|4.11|99.34|2.0|0.0|1.0|-5.3|31.0|-6.34|0.0|0.0|0.0|3.5|-4.94|1.16e-05|0.00483|0.0|0.0|4.01e-08|1.67e-05|3.7495|3.7495|-1450.913472|635.27|330.67|-1450.728709|-0.15542|-0.21391|0.04147516|7.5762|4.2|5.3768|5.3768
8f_a12|0|1|0.0|0|6.580639137|1|-0.062406088|0.038347953|2.177023629|-0.002596875|0.028505422|-0.024023866|1|-0.00094279|-0.023769395|-0.125424286|-0.560548116|0.902669729|-0.13747286|-0.042014638|0.80546986|0.8409290840000001|1|-0.072634742|-0.098932601|0.285353468|-41.27611074|-56.220383|7.550959323|0.130176823|73.97552223|-0.03822396|-31.9483307|4.290980116|0.0|-1.6818542230000002|63.05721575|-21.72151161|48.82707007|2541.921472|-955.746511|-12.34367323|7.016225129|13.00131176|0.853035146|91.98952021|25.9168408|0.012030968|-384.290491|1140.340995|524.0516742|1.0|1.0|1.0|1.0|1.0|3.26|0.1|21.0|-8.42|4.99|78.41|2.0|0.0|1.0|-5.7|27.0|-5.47|0.0|1.0|1.0|3.82|-5.24|5.72e-06|0.00211|0.0|0.0|3.79e-09|1.4e-06|4.1744|3.6536|-1481.115891|606.97|339.35|-1480.955408|-0.15061|-0.2124|0.03056355|1.4701|646.0|6.1898|6.1898
14c_a23|0|1|0.0|2|7.423568444|0|-0.024758731|0.043538647|0.743546646|0.010682694|-0.047853455|-0.047410593|2|0.009263715|0.077009731|-0.13187015|-0.4589840189999999|0.722187957|0.1114214519999999|-0.077808321|0.857184548|0.659570836|1|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|-37.73933093|-53.17009158|12.52192141|0.077064961|51.21382308|-0.034046252|-35.33439343|8.321492112|81.41541733|-1.600173862|64.05912299|-22.62557089|50.26125234|2955.304496|-1063.401832|-15.0359121|7.832948614|14.49533577|0.8505592829999999|143.9373772|28.88097191|0.016385474|-376.6791777|1357.40568|633.3278634|0.0|0.0|1.0|0.0|1.0|3.6|0.05|26.0|-7.99|4.0|105.02|2.0|0.0|1.0|-6.13|31.0|-6.03|0.0|0.0|0.0|4.0|-5.55|2.83e-06|0.00126|0.0|0.0|1.02e-08|4.55e-06|3.7031|3.7031|-2089.501598|693.64|334.81|-2089.293299|-0.15143|-0.23096|0.02236136|10.369000000000002|2.0|8.6253|8.6253
11g_a5|1|0|0.0|1|7.139660336|0|0.009272269|0.020943152|0.0|0.00599982|-0.137618073|-0.007175378|2|0.006964153|-0.14133011|-0.233590516|-0.267507083|0.777565622|-0.075382189|-0.01453517|0.8737292720000001|0.73551511|0|-0.067247149|-0.076326887|0.396049407|-44.19305139|-50.16001519|15.25675|0.1620562619999999|106.4990972|-0.025442296|-32.96383785|10.02633335|0.0|-1.297557078|71.21847290000001|-16.72000506|59.4498014|2823.738452|-852.7202582999998|-10.98794595|9.342496899|18.16867625|0.944734523|299.94631180000005|30.75897687|0.03204398|-57.28097817|1568.70782|648.1198739|1.0|1.0|1.0|1.0|1.0|2.34|0.08|28.0|-9.04|4.17|81.51|1.0|0.0|1.0|-4.12|31.0|-6.84|0.0|0.0|0.0|2.96|-4.31|4.88e-05|0.0199|0.0|0.0|9.229999999999999e-10|3.770000000000001e-07|4.5106|4.2083|-1330.144218|693.48|294.62|-1329.927772|-0.1714|-0.2146199999999999|0.04557484|4314.0|0.03|7.5229|7.5229
5f_a40|0|0|0.0|1|8.149890544|0|-0.0468504759999999|0.042936508|0.769837491|0.000663516|0.166865076|0.062183277|2|0.000706205|-0.155235986|0.18254908|-0.4644854879999999|0.7039183109999999|-0.465573352|0.095322868|875.0|0.680674762|1|-0.113521559|-0.10969397|0.0528268609999999|-52.44868801|-50.68028366|9.349692674|0.258528569|119.4441339|-0.041135239|-23.41506245|4.319700326|63.48466425|-1.316327637|57.61052946|-19.00510637|61.79838068|1932.388838|-608.163404|-8.780648419|5.780627322000001|11.20493646|0.938359946|85.75294257|23.33651|0.015000038|-290.5093357|746.7683199|269.0442248|1.0|0.0|0.0|1.0|1.0|2.05|0.21|14.0|-3.69|2.94|101.52|0.0|0.0|3.0|-3.97|20.0|-6.47|0.0|0.0|1.0|2.23|-3.31|0.000491|0.14|0.0|0.0|0.000207|0.0587|3.8036|3.0611|-1232.959261|487.57|405.03|-1232.851443|-0.13057|-0.19284|0.02389588|7.6183|112.0|6.9508|6.9508
12ad_a36|1|0|0.0|0|7.412764017000001|2|-0.073048351|0.040787037|0.0|-0.001148437|-0.0072527669999999|0.010723827|1|0.000906224|0.077659878|-0.227404687|-0.478461478|0.817851296|0.1563642469999999|0.018207862|0.8846605|0.7767870459999999|0|-0.082404548|-0.107772644|0.423689705|-58.34300549|-76.30379737|21.78471426|0.239732231|169.7321223|-0.0365657189999999|-54.02363038|15.4237324|81.68309557|-2.047680239|96.81391944|-25.88878839|80.12771975|3041.082692|-1449.77215|-18.32944602|8.770308295|16.772513699999998|0.912420081|243.2659577|39.44011905|0.028968808|-221.4751857|2208.646667|735.3783268|1.0|0.0|0.0|1.0|0.0|0.0|0.17|17.0|-6.62|2.7|95.5|1.0|0.0|1.0|-4.18|33.0|-7.18|0.0|0.0|0.0|1.76|-4.08|8.36e-05|0.0367|0.0|0.0|2.42e-07|0.000106|5733.0|3.8512|-1460.794632|737.53|321.93|-1460.5468529999998|-0.15638|-0.21044|0.03648828|6.8996|17.0|7.7696|7.7696
25c_a34|0|0|0.0|1|7.412764017000001|2|-0.047513652|0.037424242|0.0|-0.002827527|-0.056443595|-0.041629027|1|0.001433865|-0.250299211|-0.563411433|-0.5404076879999999|0.809687672|0.118901861|-0.072907053|0.844690266|0.760055383|0|-0.088513496|-0.113392997|0.478421157|-59.0359041|-75.6298008|29.22363765|0.316768377|211.2752099|-0.031498055|-50.44285726|19.49130854|93.28638171|-1.7008949569999998|100.6665476|-21.008278|88.25954175|2884.104654|-1134.447012|-14.01190479|7.484891117|13.26192888|0.77182656|308.52165519999994|39.09037289|0.037538004|-49.9273377|2110.880136|648.0187526000001|0.0|1.0|1.0|1.0|1.0|3.17|0.32|17.0|-5.71|2.18|90.74|1.0|0.0|2.0|-2.81|31.0|-7.95|0.0|0.0|0.0|1.93|-3.28|0.000523|0.22|0.0|0.0|1.97e-06|0.0008289999999999|4.2095|4.2095|-1426.666471|704.43|294.54|-1426.421463|-0.17424|-0.2069599999999999|0.03817361|9.8087|1.78|5.7496|5.7496
5_a47|0|0|0.0|0|0.0|0|-0.188550227|0.037492877|1.284688504|-0.012670377|-0.002627182|0.045246333|0|-0.011237954|0.0083528919999999|-0.0428873159999999|-0.454659897|0.7063295709999999|0.065981732|0.0743193|0.861595935|0.675164258|1|-0.087763105|-0.1001981959999999|0.526509524|-46.33853208|-52.90420509|5.246458665|0.192042245|101.3974575|-0.038537768|-27.93318665|2.770107005|0.0|-1.502972943|62.14504725|-20.34777119|51.58499074|2368.870941|-793.5630764|-10.74353333|5.861037845|11.13432113|0.8997183470000001|115.3294396|26.03444329|0.017501741|-297.3367046|1015.343288|416.1194472|1.0|1.0|0.0|1.0|1.0|2.79|0.0|22.0|-8.68|4.73|58.04|2.0|0.0|1.0|-5.65|26.0|-5.19|1.0|0.0|1.0|4.29|-5.5|3.18e-06|0.00116|0.0|0.0|2.07e-09|7.590000000000001e-07|3.7083|3.7083|-1569.333281|561.61|334.35|-1569.20723|-0.15419|-0.20954|0.03591467|3.8816|0.02|7.7|7.7
4l_a46|0|0|0.171853072|1|7.825245291|1|-0.075241716|0.049498645|0.0|0.0066560469999999|-0.060895366|-0.161358058|1|0.006162668|-0.1012114369999999|0.010799648|-0.3888343979999999|0.7940662409999999|-0.001318857|-0.229089688|0.762625193|0.7936534740000001|0|-0.09094885|-0.085194597|0.291762764|-51.45056667|-48.19533497|3.721888783|0.107841373|61.00681586|-0.030068681|-27.26452605|2.10550531|0.0|-1.533502748|51.66342604|-17.01011822|55.17245545|2165.620022|-867.5160294|-9.6227739|5.80829255|9.833034117|0.692930243|65.93290984|19.25417715|0.006130523|-433.8429998|981.9630347|579.2365607|1.0|1.0|1.0|1.0|1.0|3.19|0.36|17.0|-7.0|4.64|50.94|1.0|0.0|1.0|-5.28|26.0|-5.23|0.0|1.0|1.0|4.08|-5.11|7.78e-06|0.0027|0.0|0.0|9.980000000000001e-08|3.47e-05|5.4011|4.4542|-1092.71063|612.39|278.36|-1092.484863|-0.18567|-0.20351|0.03506136|3.7624|98.0|7.0088|7.0088
