molecula|molar_refractivity|WNSA4|heavy_atom_count|n5aHRing|HOMO-LUMO Energy Difference (Hartree)|BCUTs-1l|FPSA5|Mor01p|PPSA3|pIC50|Solubility [Log S (ESOL)] (mol/l)|Log S (ESOL)|Log Po/w XLOGP3|CYP3A4 inhibitor|ATSC1c|Synthetic Accessibility|MATS7i|Log S (SILICOS-IT)|pIC50
12az_a36|136.74|-16.43719536|33.0|1|-0.14879|1.297042831|0.034594361|766.4854363|24.36575918|7.2366|7.13e-05|-4.15|2.62|1.0|-0.593399474|4.96|0.078817323|-6.79|7.2366
7a_a8|105.83|-14.71059634|29.0|1|-0.12889|1.4000287219999998|0.0265990589999999|488.0169522|20.79408196|4.6068|2.29e-05|-4.64|3.24|1.0|-0.482688615|3.34|-0.017706371|-7.27|4.6068
12ae_a36|142.02|-20.22131065|34.0|1|-0.1566|0.299253957|0.025570256|805.2286932|17.78605328|7.8239|0.0001889999999999|-3.72|1.64|0.0|-0.611759277|5.03|0.087069205|-6.87|7.8239
17b_a6|116.79|-17.86570631|31.0|1|-0.12545|1.425925343|0.019915748|627.4287311|20.48861696|6.8153|6.69e-06|-5.17|4.09|1.0|-0.6869226490000001|3.53|0.139594234|-9.01|6.8153
14b_a50|128.39|-10.98912227|33.0|2|-0.16874|1.267593742|0.021820402|825.4425942|14.70317076|5.1818|1.6800000000000002e-05|-4.78|3.51|1.0|-0.255822608|4.64|-0.068176984|-6.86|5.1818
12bg_a36|133.77|-17.39163005|31.0|1|-0.15743|1.29692796|0.01946912|661.6709012|13.44952052|7.8239|6.55e-06|-5.18|3.93|0.0|-0.414822602|4.75|0.057879142|-7.76|7.8239
13c_a5|120.88|-10.8855893|31.0|1|-0.17324|1.377702625|0.0302745689999999|656.208474|15.25960958|6.9101|0.000109|-3.96|2.15|1.0|-0.284610951|3.13|-0.010689086|-8.09|6.9101
13a_a6|116.79|-17.46461983|31.0|1|-0.14969|1.430639975|0.02016134|627.4287311|20.83876732|7.3372|1.02e-05|-4.99|3.8|1.0|-0.602500119|3.53|0.031837397|-9.01|7.3372
12bb_a36|123.67|-16.01935076|31.0|1|-0.15507|1.29704416|0.022984922|593.6088758|14.16769093|8.0|4.81e-05|-4.32|2.88|0.0|-0.444923056|4.72|0.096309833|-7.12|8.0
14e_a25|134.35|-20.76384175|35.0|1|-0.15787|1.4200152069999998|0.015154859|811.3237836|10.99497534|7.1249|1.86e-05|-4.73|3.04|1.0|-0.524066339|3.62|0.0065927719999999|-9.14|7.1249
11c_a31|97.32|-14.56188764|26.0|2|-0.15994|0.6101368770000001|0.029155542|449.7512005|20.06220362|6.8861|0.000105|-3.98|2.82|1.0|-0.847114804|3.51|-0.031640011|-5.84|6.8861
8a_a8|109.21|-17.59585557|30.0|1|-0.13015|1.400027874|0.025786572|529.053307|20.58762475|4.9454|7.28e-05|-4.14|2.4|0.0|-0.732911106|3.37|0.027531877|-6.76|4.9454
2_a20 (SB-505124)|97.55|-11.58380004|25.0|1|-0.14928|1.183764955|0.011470204|477.95809620000006|15.71798823|6.7721|1.22e-05|-4.91|4.27|1.0|-0.498602014|3.4|0.013612077|-7.22|6.7721
8a_a32|110.69|-14.03170956|27.0|3|-0.1445|0.609420757|0.017733503|557.1050635|11.48993376|7.3468|1.02e-05|-4.99|4.17|1.0|-0.497414715|3.48|-0.0281981579999999|-7.65|7.3468
galu_a46|108.18|-10.08962292|28.0|1||1.343828866|0.013967104|542.7276591|6.915480101|7.2924|0.000102|-3.99|2.39|1.0|-0.327651527|3.27|-0.090581301|-7.13|7.2924
12z_a30|140.26|-16.464854199999998|33.0|1|-146.0|0.604983642|0.029109145|792.3440337000001|21.47520633|7.3615|9.94e-06|-5.0|3.81|1.0|-0.537984876|4.86|0.034848862|-6.83|7.3615
4a_a46|96.74|-5.968291366|24.0|1|-0.19067|1.13463711|0.011380391|480.9500663|4.858713991|6.7423|4.89e-05|-4.31|3.34|1.0|-0.051075084|3.76|-0.137420119|-6.82|6.7423
9a_a36|120.94|-14.91993116|29.0|1|-0.15925|1.297044807|0.019513779|578.2841135|14.47407729|7.8861|0.000102|-3.99|2.66|0.0|-0.41624054|4.69|0.095192109|-6.28|7.8861
12b_a36 (EW-7197)||-15.31305729||1|-0.15571|1.2970445309999998|0.020730147|595.8790650000001|13.41367899|8.1549|||||-0.439429998||0.027495626||8.1549
4_a47|106.52|-10.43683449|26.0|0|-0.1547|1.304464196|0.013656479|471.7712484|4.22896799|7.5|2.31e-06|-5.64|4.96|1.0|-0.3692130839999999|2.75|-0.158636969|-8.79|7.5
8m_a46|96.16|-9.04821721|24.0|1|-0.17897|1.160371261|0.006689855|463.1469765|3.742817678|6.6402|2.78e-05|-4.56|3.72|1.0|-0.248590088|3.24|-0.134230003|-6.46|6.6402
12x_a36|135.47|-16.61514211|31.0|1|-0.1517099999999999|0.629399587|0.016274369|725.9470896|11.85578416|8.1549|3.09e-05|-4.51|3.19|1.0|-0.40650598|4.87|0.021670322|-7.05|8.1549
25c_a34|116.0|-14.01190479|31.0|1|-0.17424|1.377881974|0.037538004|648.0187526000001|29.22363765|5.7496|0.000523|-3.28|1.3|1.0|-0.834326082|3.64|-0.16034464|-5.71|5.7496
9_a3|92.69|-8.445224386|22.0|1|-0.15834|0.605017128|0.008976383|349.6957191|3.469130065|4.96|1.25e-05|-4.9|4.14|1.0|-0.298197887|3.1|-0.126542538|-7.26|4.96
12_a1|103.47|-13.44063462|28.0|1|-0.12874|1.430936075|0.024485753|473.040639|19.60151089|5.5302|1.77e-05|-4.75|3.54|1.0|-0.516204114|3.29|0.076867966|-8.2|5.5302
12l_a30|133.96|-22.31041443|34.0|1|-0.14944|0.60498366|0.016896687|696.6414817000001|10.78883933|7.2154|1.2e-06|-5.92|5.05|0.0|-0.876151158|4.72|-0.102468864|-7.18|7.2154
6b_a31|109.69|-17.0020813|29.0|2|-0.13345|0.610136262|0.024142162|536.6368656000001|20.12924648|7.2676|2.18e-05|-4.66|3.2|1.0|-0.787472195|3.55|0.11647286|-7.33|7.2676
12av_a36|138.06|-17.07826447|33.0|1|-0.14122|1.297042752|0.025779468|757.7532208|15.09249582|7.4089|0.000227|-3.64|1.85|0.0|-0.605432791|4.96|0.06882889|-6.93|7.4089
15a_a50|110.43|-10.49734522|28.0|2|-0.16693|1.3530592819999998|0.018747341|569.5267957000001|10.77967103|7.3872|0.0001189999999999|-3.92|2.51|1.0|-0.234757789|3.7|-0.0446629609999999|-6.09|7.3872
3h_a32|112.28|-10.81473143|26.0|3|-0.1474099999999999|0.609420752|0.011751781|593.0848817000001|6.98327435|8.1549|7.140000000000001e-07|-6.15|6.12|1.0|-0.269379119|3.65|0.014517903|-8.47|8.1549
19i_a38|125.65|-15.31261014|31.0|1|-0.14872|1.297043925|0.022159015|593.6088758|13.83587388|7.9031|4.67e-05|-4.33|2.88|1.0|-0.4561702689999999|4.8|0.08414367|-7.12|7.9031
7_a27|102.36|-9.469994277|26.0|1|-0.16734|1.40247849|0.014441323|479.0078184|8.475438874|9.0|5.2e-05|-4.28|3.02|1.0|-0.288487667|3.24|-0.133453335|-6.61|9.0
47d_a18|159.67|-19.1002979|39.0|0|-0.12844|1.251175994|0.018506261|1255.618298|12.45251265|8.0969|5.23e-06|-5.28|4.16|1.0|-0.480899596|4.73|0.069914568|-8.83|8.0969
14n_a23|126.78|-14.76259199|32.0|2|-0.1382|1.197963531|0.0242495529999999|683.7405759|18.26553926|9.2441|9.57e-06|-5.02|3.55|1.0|-0.376950283|3.53|0.079559363|-7.51|9.2441
17g_a50|133.03|-11.54365807|32.0|2|-0.16699|1.320916184|0.013645282|829.3813984|9.710172008|6.6091|1.39e-05|-4.86|3.68|1.0|-0.13328325|4.04|-0.05611228|-6.96|6.6091
13p_a6|132.01|-18.9628865|34.0|1|-0.12251|1.424099253|0.018322293|794.5462391|12.27472016|7.0362|2.79e-05|-4.55|2.86|1.0|-0.634109842|3.64|0.072850973|-10.06|7.0362
12s_a30|127.19|-16.8513047|31.0|1|-0.14985|0.604984545|0.017398791|616.2856203|12.51292194|8.129|6.71e-06|-5.17|4.07|0.0|-0.403952011|4.63|-0.0601024909999999|-7.16|8.129
47k_a18|154.86|-18.87222501|38.0|0|-0.1277599999999999|1.25117623|0.018313855|1167.054827|11.91029894|7.5376|4.65e-06|-5.33|4.26|1.0|-0.5135996820000001|4.66|-0.017736343|-8.44|7.5376
20b_a10|129.73|-13.79433873|34.0|1|-0.16388|1.343837209|0.0171045989999999|769.1246171|8.331370518|5.9586|8.13e-06|-5.09|3.52|1.0|-0.447804373|3.54|-0.030238422|-8.93|5.9586
18_a20|125.07|-15.91001426|32.0|1|-0.14685|1.400923654|0.013457694|712.1606951|7.195302872999999|7.4685|6.91e-06|-5.16|3.85|1.0|-0.5039851160000001|3.48|0.163548857|-10.0|7.4685
1e_a5|95.45|-7.526878708|24.0|1|-0.18105|1.427503886|0.0157106539999999|409.0289917|4.461204261000001|6.719|3.5600000000000005e-05|-4.45|3.43|1.0|-0.084933308|2.83|-0.080321049|-8.41|6.719
22_a4|87.12|-8.422332951|22.0|1|-0.16754|1.399866564|0.011296354|338.71903330000004|5.1432274630000006|7.3279|0.000104|-3.98|3.03|0.0|-0.257448045|3.3|0.004808337|-5.24|7.3279
10_a47|106.43|-10.11660331|27.0|0|-0.15445|1.381868067|0.014051737|498.0016816|5.088920549|7.9|3.18e-06|-5.5|4.8|1.0|-0.384667159|3.02|-0.169242585|-8.85|7.9
6e_a40|125.15|-21.04453212|30.0|2|-0.1195799999999999|0.604892975|0.012858969|587.7345677999999|10.43262695|7.7447|2.6e-06|-5.58|4.4|1.0|-0.69771706|3.98|-0.15110197|-4.63|7.7447
7s_a46|91.19|-7.988379237|23.0|1|-0.17923|1.160371307|0.01122216|409.9543818|4.458665639|5.7022|5.76e-05|-4.24|3.32|1.0|-0.240797051|3.08|-0.210750635|-6.08|5.7022
