molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|MATS1c|n6aHRing|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
5g_a40|0|0|0|0.0|0.0|8.149890544|0|0.604913142|0.0094595959999999|-0.016033575|0|0.044946237|-0.0602779129999999|0.64025463|-0.012794054|0.122088541|10.31198315|-0.091116241|-0.012008571|0.07917206|-0.4748772539999999|0|0.006643696|0.882781953|0.7733200179999999|1|-0.153687065|0.245639795|0.024937196|11.83520323|216.425542|0.32227256|152.9506864|-0.049288357|-1.577227413|-34.61732609|-23.39227384|84.77514603|0.488538966|-11.10198254|6.193485364|12.10939827|0.955183157|120.8573152|31.38430965|0.025660198|-232.8857705|1004.297909|12.1783403|0.0|1.0|0.0|2.0|3.13|0.21|-2.89|2.5|115.96|0.0|0.0|3.0|-4.24|-6.6|301.32|0.0|1.0|5.78e-05|0.0174|0.000426|128.0|2.17|0.0|0.0013|-0.0540299999999999|3.48|3.48|489.04|356.27|261.0|356.27|0.6563|261.0|-0.14505|4.9132|0.04070345|-1327.982732|123.0|6.9101|6.9101
14z_a23|0|1|1|0.0|0.0|7.423568444|0|1.197960872|0.08752343|-0.005892861|2|0.04314059|0.038811869|0.729326158|0.009174505|-0.0438568409999999|10.31321795|-0.0229244|0.007229683|-0.069023218|-0.46459002|2|0.10796308|0.8668730109999999|0.64069202|1|-0.0582387179999999|0.228957475|0.018337664|12.77192721|40.18308023|0.074698898|52.02674091|-0.03393829|-1.595099623|-28.25118461|-23.63754572|53.33438253|0.474697407|-16.46322104|7.834464959|14.91419434|0.903664694|149.3235124|30.08835522|0.01612263|-397.8390333|1414.152695|11.22918692|0.0|0.0|1.0|1.0|3.42|0.05|-8.57|5.32|105.02|2.0|0.0|5.0|-6.77|-5.8|480.37|0.0|0.0|1.7e-07|8.18e-05|7.37e-07|0.000354|4.83|0.0|2.6899999999999996e-09|-0.08503|4032.0|3.6632|715.41|338.46|0.3201|307.5|0.66217|0.2917|-0.15195|5.9301|0.01238131|-2548.957384|5.0|8.2941|8.2941
9_a3|0|0|0|0.0|0.0|6.823286122000001|0|0.605017128|0.187952252|-0.007847313|1|0.034166667|-0.126542538|2.4071976040000003|-0.004918099|0.065373003|10.31162238|0.023606557|-0.003863265|0.083014843|-0.614170287|1|-0.260349706|0.7327715159999999|0.865283439|0|-0.095161413|0.506753484|0.007377805|3.469130065|223.4501605|0.15350225|72.17854599|-0.038196575|-1.336880133|-21.04009269|-17.96047462|48.21513485|0.413418346|-8.445224386|5.004834198999999|8.532203772|0.704792493|53.19989715|20.25176593|0.008976383|-363.8118546|708.8118076000001|4.220799781|1.0|1.0|1.0|1.0|3.1|0.0|-7.26|4.62|80.04|1.0|0.0|2.0|-5.53|-5.21|303.38|0.0|1.0|2.96e-06|0.000899|1.25e-05|0.00379|4.14|0.0|5.5e-08|-0.03999|5.8185|3.7356|512.44|331.9|0.2069|213.09|0.3639699999999999|0.1127|-0.15834|2.0863|0.0242342|-1256.002529|10965.0|4.96|4.96
1f_a5|1|0|0|2.824395738|-4.398485453999999|6.605297921|0|1.218960329|-0.139907335|-0.00645569|2|0.029105691|-0.118028278|0.0|-0.0012491689999999|-0.174016111|10.94527671|-0.000625|-0.000700145|0.001493879|-0.401165734|2|-0.060528915|0.834250802|0.513260607|0|-0.091412569|0.45528118|0.008403353|4.687041957|201.7057715|0.111926552|62.42799372|-0.035639589|-1.425583552|-28.43795894|-19.87828616|55.67318607|0.4670794829999999|-11.0872845|7.117418022000001|13.35549635|0.8764524309999999|135.2439659|26.24118632|0.01983997|-287.2706403|1049.647453|11.06591332|1.0|1.0|1.0|1.0|2.9|0.05|-8.88|6.37|54.46|2.0|0.0|4.0|-4.79|-5.73|366.34|0.0|1.0|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|0.00396|3.95|0.0|1.3300000000000002e-09|-0.05346|4.7485|4.5758|577.11|270.96|0.6959|261.1|0.47267|0.0228|-0.18224|3.7852|0.03370206|-1288.263745|0.24|6.6198|6.6198
8k_a46|0|0|0|0.0|0.1337610719999999|7.727094485|1|0.300205953|0.1436554669999999|-0.006208399|2|0.038616352|-0.061030265|0.0|-0.002099764|-0.114070359|10.31928125|-0.038125|0.002202734|-0.030019362|-0.510222233|2|0.095179795|0.8341090329999999|0.687020939|0|-0.08638304|0.400181795|0.009441365|6.774333772|104.0919365|0.261823161|187.86239430000003|-0.033099828|-1.985989657|-44.4725532|-23.74966689|68.75557551|0.4938768979999999|-17.04077386|8.070811215|15.94634031|0.975803904|124.4394929|28.73282642|0.0112621819999999|-468.6373459|1723.969585|8.080799245|0.0|1.0|1.0|2.0|3.94|0.24|-8.66|5.37|124.17|1.0|0.0|5.0|-5.74|-6.75|474.58|0.0|0.0|1.82e-06|0.000866|7.47e-06|0.00355|3.45|0.0|2.17e-09|-0.0398699999999999|5.0379|4.1034|742.04|302.15|0.1354|246.1|0.41618|0.1166|-0.16967|3.4118|0.04718819|-1845.037411|147.0|6.8327|6.8327
14f_a23|0|1|1|0.0|0.0|7.423568444|0|1.197963246|-0.002304087|-0.006791105|2|0.04255787|0.056215377|0.745818086|0.010561248|-0.0555907109999999|10.3132176|-0.041351617|0.010508236|-0.110069159|-0.399688849|2|0.070514687|0.854683662|0.71381683|1|-0.059927056|0.2096108239999999|0.027134452|18.34483401|96.47955427|0.105837608|71.55380685|-0.031450478|-1.603974359|-27.39103254|-21.26277654|58.85981824|0.478733036|-14.37516058|8.124287407|15.58565565|0.918402793|225.9578225|31.93672236|0.025162423|-224.1560124|1628.77284|17.01160115|0.0|1.0|1.0|1.0|3.57|0.09|-7.51|4.03|114.25|2.0|0.0|6.0|-5.63|-6.47|441.51|0.0|0.0|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|3.11e-08|-0.07163|5.8184|3.5753|711.98|346.78|0.2462|213.09|0.60917|0.1699|-0.1458|6.3534|0.02255331|-1744.2443850000002|2.0|8.6459|8.6459
8_a4|0|0|0|0.0|0.0|7.535296702|1|1.304250488|-0.208165266|-0.001277205|2|0.038726287|-0.072752231|1.987684188|0.010647563|-0.011835327|10.9295757|0.05775266|0.009595591|-0.048133994|-0.150276481|2|-0.07377839|0.879500982|0.576540652|1|-0.05397993|0.546157592|0.0103751219999999|5.362918401|11.02158946|0.074867554|38.69916707|-0.024598141|-0.983925625|-14.42275611|-12.71482105|33.26523662|0.428884426|-6.572312789|5.695730546|9.972991122|0.750959081|141.55141369999998|17.50981094|0.0148422489999999|-233.7988862|700.3924376|7.671983829|1.0|1.0|1.0|0.0|2.99|0.15|-7.78|4.76|43.6|1.0|0.0|2.0|-4.35|-5.76|346.81|1.0|1.0|4.49e-05|0.0156|1.46e-05|0.00506|3.74|0.0|1.65e-08|-0.05864|5.3544|3.9863|561.6|311.03|0.1687|231.56|0.30471|0.0642|-0.16821|4.5781|0.0252645|-1450.121028|54.0|7.2676|7.2676
10_a15|0|0|0|0.0|0.0|0.0|0|1.4356889780000002|-0.137104477|-0.006872984|2|0.037209302|-0.0869138469999999|0.0|0.001740635|-0.077096984|10.95972828|0.010152859|0.0034254209999999|-0.120626133|-0.391156537|2|0.0107135269999999|0.7585998270000001|0.7933685340000001|0|-0.052826735|0.640780603|0.010485777|6.101312009|6.497096666|0.066863055|38.90530741|-0.036384844|-1.928396745|-17.88541558|-21.17108692|36.83936823|0.449323734|-12.31872585|5.555044294|10.08767698|0.815948972|98.81668286|25.50202895|0.0116026369999999|-384.2321709|1351.607534|6.751174337|1.0|1.0|1.0|1.0|3.58|0.12|-9.82|6.3|56.27|2.0|0.0|6.0|-6.22|-4.97|397.47|0.0|1.0|5.99e-07|0.0002379999999999|1.47e-06|0.000584|5.29|0.0|1.51e-10|-0.03581|4.4682|3.6448|631.2|340.17|0.1412|277.48|0.66799|0.0042|-0.15377|1.6654|0.02738146|-1280.862627|7.0|8.1549|8.1549
7f_a8|1|0|0|2.961566988|0.0|7.05012252|0|1.394802504|-0.139912829|-0.005338193|0|0.044814815|0.034392285|0.0|0.00112124|-0.087673259|10.94343485|0.0260356679999999|0.00084936|0.052081992|-0.381574707|0|-0.048917705|0.7677336090000001|0.507325475|0|-0.091890536|0.3155671539999999|0.0138113419999999|7.858266077000001|53.09327646|0.229770733|130.7330978|-0.040738044|-1.670259798|-29.74763659|-23.17880348|60.14140162|0.4513917389999999|-13.18808857|7.704280774|14.04331892|0.822794279|67.75191165|26.31197491|0.010262531|-433.4681077|1078.790971|5.839092213|0.0|0.0|0.0|1.0|3.14|0.0|-8.46|5.49|61.58|2.0|0.0|3.0|-5.68|-5.27|373.35|0.0|1.0|2.09e-06|0.00078|3.16e-06|0.00118|4.66|0.0|3.5e-09|-0.07492|3.8187|3.4810000000000003|584.99|356.17|0.3536|324.68|0.7024199999999999|0.1502|-0.14506|8.7098|0.02809022|-1285.071664|35.65|4.4479|4.4479
1_a3|0|0|0|0.0|0.0|6.823286122000001|1|0.6195934120000001|0.079857077|-0.006053652|2|0.034166667|-0.004409693|2.194605012|-0.006610844|0.038572075|10.33805862|0.032569462|-0.005006707|0.05038525|-0.486774367|2|-0.126299711|0.8457792829999999|0.943582278|1|-0.098872259|0.521474118|0.008036786|3.693677623|289.8942564|0.2237487219999999|102.8341051|-0.034105115|-1.295994381|-20.88467272|-15.67458788|49.13501083|0.4490711529999999|-7.203984013|4.984064981|9.046658216|0.8151164259999999|95.55665364|19.78900457|0.014174378|-268.4830832|751.9821735|6.514493077999999|1.0|1.0|1.0|1.0|3.83|0.18|-5.77|1.85|77.1|0.0|0.0|2.0|-3.07|-6.87|306.38|0.0|0.0|0.0008529999999999|261.0|0.000503|154.0|1.83|0.0|1.69e-06|-53.0|5.8805|3.8645|496.09|320.83|0.1775|210.84|0.30619|0.0096|-0.1658599999999999|2.2332|0.02599563|-1273.22339|724.0|6.1403|6.1403
