molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|MATS7i|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
7b_a8|0.0|0|0|0.0|1|1|1|1.395658671|-0.119760914|-0.009659873|1|-0.024156447|-0.4829936279999999|-0.0254956129999999|1|0.003191529|-0.039357491|-0.021509048|-0.035044152|-0.415894017|1|0.7812177770000001|0.048462902|-0.040994467|0.677544268|0|0.7223476129999999|0.282366236|0.033167971|-60.75943432|-59.93853201|19.86678613|0.277652387|-0.041332642|-35.90168309|75.93423425|0.753935657|-1.901301524|73.70461365|80.62622045|0.4787988|-14.82895606|0.246064343|7.698000901|0.918644854|147.3863936|-682.1319788|32.83731114|0.022982731|1510.516312|0.0|1.0|1.0|0.09|23.0|-7.65|4.48|2.0|0.0|110.8|0.0|3.0|-5.25|30.0|5.0|0.0|0.0|1.0|3.5|-4.94|5.64e-06|0.00224|0.0|2.25e-08|8.94e-06|5.51|3.26|-1330.595067|1067.73|380.32|0.2517|-1330.392289|-1330.448193|12.7344|13.53|4.8687
13_a10|0.0|0|0|0.0|1|1|1|1.343837907|-0.059862024|-0.0057715859999999|2|-0.093280469|-0.259721373|-0.001592366|1|0.003791547|-0.154121136|-0.017015286|-0.02811323|-0.345108701|2|0.78472614|0.00746881|-0.002671425|0.736686715|1|0.818027691|0.4676169839999999|0.0122005|-47.88975806|-41.62089688|6.168030793|0.181972309|-0.030119651|-21.04167667|0.0|0.7144943490000001|-1.234905671|51.21590298|54.05778885|0.449563457|-7.698174391|0.285505651|5.069505473|0.816739845|144.338975|-315.62515|21.31179541|0.018979132|873.7836118999999|1.0|0.0|1.0|0.15|21.0|-6.6|3.52|0.0|0.0|97.14|0.0|2.0|-3.76|25.0|4.0|0.0|1.0|1.0|2.91|-4.1|0.000176|0.0576|0.0|2.49e-07|8.170000000000001e-05|2.48|3.8419|-1065.839441|926.41|322.72|0.3905|-1065.68351|-1065.732389|5.3726|0.16|6.7959
5a_a50|0.0|1|1|0.0|2|1|1|1.3972442980000002|-0.203248487|-0.00148647|1|0.017227585|-0.06986407|-0.130929632|2|0.01228899|0.028229556|-0.102607753|-0.168135655|-0.161169418|1|0.788709546|-0.132977171|-0.203436041|0.6759066159999999|1|0.969892876|0.2814514|0.010185297|-20.77548565|-34.7974024|5.435098605|0.030107124|-0.022747617|-18.56865899|60.04351409|0.66527517|-0.978147545|44.17662122|26.21058426|0.4528093929999999|-6.477439183|0.33472483|5.892775027000001|0.8275167520000001|178.61652859999998|-278.5298849|18.24602704|0.017576522|784.5791628|1.0|1.0|0.0|0.14|20.0|-6.24|3.66|0.0|0.0|101.86|0.0|2.0|-3.89|25.0|2.0|0.0|1.0|1.0|3.47|-4.5|0.000129|42.0|0.0|5.7e-07|0.000186|3.39|4.0159|-1029.905844|976.41|308.73|0.2735|-1029.734933|-1029.786489|5649.0|4.1|5.3872
7g_a8|0.0|0|0|0.0|1|1|1|1.39137419|-0.092384028|-0.01002363|0|-0.030968098|-0.481134236|-0.027717137|1|0.0002620309999999|-0.065174707|0.021974492|0.046246982|-0.418049442|0|0.7363841520000001|0.098510683|-0.044866536|0.606087461|0|0.699376143|0.306360885|0.031841955|-64.55562181|-67.26263865|19.08352484|0.300623857|-0.045912914|-40.31185423|56.75323443|0.806738465|-2.020168201|78.41805331|83.63914665|0.470618047|-16.4912131|0.193261535|7.588498875|0.8889952590000001|115.825531|-725.6133762000001|34.10836993|0.018613449|1500.768277|1.0|1.0|1.0|0.04|23.0|-7.91|4.94|2.0|0.0|108.0|0.0|3.0|-5.78|30.0|5.0|0.0|0.0|1.0|4.14|-5.44|1.67e-06|0.000667|0.0|1.23e-08|4.92e-06|6.26|3.7874|-1374.4533210000002|1053.9|327.36|0.5165|-1374.291597|-1374.3479960000002|12.9547|21.03|4.6772
11f_a5|0.0|0|0|0.0|0|1|1|1.370797007|-0.251797205|-0.0037371509999999|3|-0.083432989|-0.227966183|-0.0080939669999999|1|0.008309782|-0.1323098|-0.128153787|-0.203228986|-0.230681941|2|0.756843253|-0.008110526|-0.016518403|0.750555185|0|0.847356138|0.368815548|0.0221464629999999|-47.57801621|-51.92819555|15.41338844|0.152643862|-0.022252743|-36.14073513|13.29510896|0.5109475960000001|-1.268406334|73.05195434|62.99140465|0.463183664|-10.77881574|0.489052404|9.683662007|0.8628345190000001|340.3683339|-614.3924972|30.31104695|0.030351311|1727.7296760000002|0.0|1.0|1.0|0.24|23.0|-8.67|4.61|1.0|0.0|126.79|0.0|7.0|-3.95|32.0|6.0|0.0|1.0|0.0|2.95|-4.26|0.000112|0.0477|0.0|2.12e-09|9.06e-07|2.25|4.1356|-1391.722248|1239.35|299.8|0.5834|-1391.444853|-1391.50739|2.9697|12.0|7.9208
LY580276_a4|0.0|0|0|0.0|1|1|1|1.344599701|-0.156842923|-0.001543874|1|0.0295482979999999|-0.063298854|0.011772853|1|0.009622161|0.064209689|-0.019747846|-0.042912895|-0.191806286|1|0.7921620090000001|0.035666446|0.019144144|0.518109998|0|0.8685269959999999|0.243350596|0.008729943|-27.6229776|-34.22831819|4.207217677|0.131473004|-0.028035586|-16.49563923|82.46094409|0.8478469959999999|-1.065352257|38.23432817|31.83019528|0.437093506|-6.511436537000001|0.152153004|5.456603642999999|0.7764939829999999|73.32703409|-247.4345884|15.93586849|0.008312438|605.5630025|1.0|0.0|0.0|0.22|17.0|-6.56|4.49|0.0|0.0|84.74|0.0|2.0|-3.67|22.0|3.0|0.0|1.0|1.0|3.69|-4.21|0.000213|0.0624|0.0|2.75e-07|8.08e-05|3.64|4.4918|-959.4723321|865.23|276.03|0.1905|-959.356125|-959.404416|3.2891|175.0|6757.0
2_a47|0.0|0|0|0.0|0|0|0|1.381899691|-0.002024001|-0.008527649|2|-0.004557357|-0.3581612489999999|-0.013580367|0|-0.006079384|-0.007299676|-0.017113434|-0.0274111779999999|-0.444853768|2|0.671819147|0.115527282|-0.0253134039999999|0.875463345|1|0.847324011|0.482748996|0.008511123|-41.57671973|-47.65477123|4.240150185|0.152675989|-0.036790752|-23.74109633|0.958043241|0.784978115|-1.4348393119999998|55.81329383|45.81686991|0.433425706|-9.131190896|0.215021885|5.308758149|0.764993595|107.1215986|-356.116445|23.34938746|0.016376351|910.626111|1.0|0.0|2.0|0.0|22.0|-7.82|3.7|1.0|0.0|96.54|0.0|3.0|-5.46|24.0|3.0|0.0|1.0|1.0|3.58|-5.11|3.46e-06|0.00109|0.0|1.51e-08|4.73e-06|3.49|3.7181|-1010.505024|902.07|333.46|0.2143|-1010.364507|-1010.412694|3.1004|631.0|6.2
20_a4|0.0|0|0|0.0|1|1|1|1.399905568|-0.203359312|-0.003103385|1|-0.061689675|-0.124135414|-0.059498265|1|0.012025268|-0.098992154|-0.064248765|-0.103098674|-0.211751813|1|0.7797803109999999|0.246357638|-0.105783279|0.665774148|0|0.918147288|0.210083785|0.022933651|-29.16642156|-34.74640079|11.03865532|0.081852712|-0.0273144939999999|-16.72448692|68.49419443|0.6435852470000001|-1.010636274|46.45917085|40.20507689|0.421704107|-6.32818424|0.356414753|5.543543957000001|0.729218575|171.5531319|-234.1428169|20.4281979|0.024334176|755.8433223999999|1.0|1.0|0.0|0.11|17.0|-5.55|3.2|0.0|0.0|86.62|0.0|3.0|-3.46|22.0|3.0|0.0|1.0|1.0|2.97|-3.87|0.000346|0.1|0.0|2.79e-06|0.000806|2.73|4.0419|-934.2266312|861.05|306.74|0.2364|-934.103809|-934.150871|5.5779|646.0|6.1898
5_a47|0.0|0|0|0.0|0|0|0|1.304329328|0.019688132|-0.009295857|2|0.003858593|-0.390426|0.045246333|0|-0.011237954|0.0083528919999999|-0.019811664|-0.0428873159999999|-0.454659897|2|0.795032176|0.065981732|0.0743193|0.675164258|1|0.807957755|0.526509524|0.009936558|-46.33853208|-52.90420509|5.246458665|0.192042245|-0.038537768|-27.93318665|0.0|0.781571204|-1.502972943|62.14504725|51.58499074|0.4736061789999999|-10.74353333|0.218428796|5.861037845|0.8997183470000001|115.3294396|-418.9977997|26.03444329|0.017501741|1015.343288|1.0|0.0|2.0|0.0|22.0|-8.68|4.73|2.0|0.0|101.51|0.0|3.0|-5.65|26.0|4.0|1.0|0.0|1.0|4.29|-5.5|2.25e-06|0.000824|0.0|2.07e-09|7.590000000000001e-07|4.37|3.7083|-1569.333281|951.68|334.35|0.2108|-1569.20723|-1569.258939|3.8816|0.02|7.7
12m_a30|0.0|0|0|0.0|0|2|2|0.6049842529999999|0.096631895|-0.01047558|2|-0.1305457069999999|-0.57615692|-0.0547272029999999|1|0.0026474159999999|-0.236661357|-0.084317059|-0.152855196|-0.5409445629999999|1|0.832758813|-0.036924662|-0.0974968869999999|0.770326886|0|0.783260049|0.415971907|0.027352277|-57.96147772|-70.1324196|18.55926485|0.216739951|-0.0405332439999999|-47.58675592|237.0982213|0.773732767|-2.067195455|83.3641853|76.52074257|0.44976016|-18.66147291|0.226267233|9.025816604|0.8173893040000001|153.52847759999997|-951.7351184|35.54574762|0.019500715|1812.833129|1.0|1.0|1.0|0.13|17.0|-6.42|3.4|2.0|1.0|133.52|0.0|6.0|-6.0|32.0|6.0|0.0|0.0|0.0|2.36|-5.01|1.01e-06|0.000444|0.0|3.7600000000000003e-07|0.000165|3.88|3.5496|-1743.174906|1204.39|349.29|255.0|-1742.965888|-1743.030004|5.1279|31.0|7.5114
