molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|MATS7i|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
17_a20|0.0|0|0|0.0|0|0|0|1.4012598180000002|-0.064380628|-0.005457467|3|0.065447136|-0.28924577|-0.072863159|1|0.000922796|0.1134578219999999|-0.116922879|-0.202695123|-0.456415963|3|0.7494736590000001|-0.131511077|-0.127696675|0.71987165|1|0.912053544|0.3874475579999999|0.015032258|-41.75129828|-53.38406095|9.857999796|0.0879464559999999|-0.0315649079999999|-35.00871763|10.50834496|0.75430388|-1.5466805119999998|64.39681425|51.60929807|0.455285305|-13.57480888|0.24569612|8.198616089|0.83582343|161.12498630000002|-665.1656349|27.44244402|0.016793117|1344.679757|0.0|1.0|1.0|0.08|27.0|-10.14|5.8|2.0|0.0|119.48|0.0|4.0|-5.36|31.0|5.0|0.0|0.0|1.0|3.74|-5.08|4.4e-06|0.0017699999999999|0.0|7.19e-11|2.9e-08|4.11|3.3926|-1291.918735|1157.26|365.45|0.2977|-1291.692325|-1291.752049|5.3075|2.25|5.6478
14ae_a23|0.0|1|1|0.0|2|0|0|1.1979624290000002|-0.033049777|-0.007539122|2|0.026913008|-0.4448081789999999|0.0289586779999999|2|0.009675528|0.047563299|-0.143336826|-0.253318853|-0.363230717|2|0.7830067820000001|0.107765697|0.0469453379999999|0.7317531540000001|1|0.872362051|0.202342743|0.03467374|-46.69131269|-62.38566188|24.84237243|0.127637949|-0.0269140239999999|-44.69687612|110.5716332|0.53040766|-1.480271319|87.09501229|71.53368511|0.479058976|-13.81539807|0.46959234|8.123993885|0.919603093|336.444465|-759.846894|36.35475577|0.034488074|1999.511567|0.0|1.0|1.0|0.12|26.0|-7.6|3.48|2.0|1.0|133.27|0.0|7.0|-5.8|34.0|6.0|0.0|0.0|0.0|3.44|-5.08|1.6e-06|0.000753|0.0|2.49e-08|1.17e-05|2.99|3.6036|-1858.952529|1285.52|344.06|0.3205|-1858.675325|-1858.7404850000005|9.5944|2.0|8.6038
6b_a31|0.0|0|0|0.0|0|1|1|0.610136262|0.052690797|-0.016070861|0|0.11647286|-0.787472195|-0.053655833|2|-0.008439437|0.1978523089999999|-0.002840672|-0.004825446|-0.57983695|0|0.78240875|-0.068433069|-0.084489161|0.795570315|0|0.627853074|0.146652651|0.032992761|-73.70779766|-78.37648097|20.12924648|0.372146926|-0.045675611|-47.81835367|101.4993391|0.7459204140000001|-2.055402513|93.1058799|93.83704414|0.4807018779999999|-17.0020813|0.254079586|7.513612533|0.925676135|155.0167518|-765.0936586|37.35947255|0.024142162|1681.1762649999998|1.0|1.0|2.0|0.1|22.0|-7.33|5.19|1.0|0.0|109.69|0.0|4.0|-5.63|29.0|5.0|0.0|0.0|1.0|3.3|-4.66|2.34e-06|0.000947|0.0|4.67e-08|1.89e-05|4.61|3.2949|-1652.635711|1077.19|376.29|0.4967|-1652.44739|-1652.505041|8.8379|54.0|7.2676
4b_a49|0.0|0|0|0.0|1|1|1|1.343847828|-0.109946885|-0.0074627159999999|2|-0.064060521|-0.402986655|0.02907541|1|0.002557204|-0.10158752|-0.0563571629999999|-0.089371493|-0.390006034|2|0.798826417|0.005818676|0.049923437|0.6967593559999999|1|0.7581492670000001|0.438784865|0.0241270029999999|-56.45224362|-55.5653235|14.84890147|0.241850733|-0.030696709|-34.19753462|64.87087098|0.645330839|-1.534835437|71.2971749|71.30114509|0.477868186|-11.62716177|0.354669161|7.588962922|0.915225186|218.2802175|-581.3580885|29.27523192|0.02556165|1463.761596|1.0|1.0|1.0|0.22|21.0|-7.05|3.71|1.0|0.0|112.36|0.0|6.0|-3.81|30.0|6.0|0.0|0.0|1.0|2.8|-3.88|0.000155|62.0|0.0|8.91e-08|3.570000000000001e-05|3.56|3.7413|-1333.026419|1121.45|331.39|0.2856|-1332.800229|-1332.8586269999998|2.2306|79.0|7.1024
1l_a5|0.0|0|0|0.0|0|0|0|1.270375394|-0.244609612|-0.00183668|2|-0.111303801|-0.089997343|-0.05139414|1|0.007613233|-0.179824092|0.0271820189999999|0.043915678|-0.21108114|2|0.7656671279999999|-0.174469948|-0.091849662|0.71872376|0|0.890289002|0.357062421|0.0078543119999999|-38.79937717|-38.27406105|4.43679678|0.109710998|-0.026512937|-21.62050954|0.0|0.769406114|-1.219595099|45.64819758|43.23617395|0.47265823|-8.460199385|0.230593886|7.401206343999999|0.896303416|130.25942849999998|-389.1691717|19.46541135|0.013054186|895.4089219|1.0|0.0|1.0|0.14|23.0|-8.83|5.56|1.0|0.0|105.07|0.0|4.0|-5.04|26.0|3.0|0.0|1.0|1.0|4.06|-4.98|9.06e-06|0.00308|0.0|1.4800000000000003e-09|5.02e-07|3.89|4.3664|-1069.229786|1033.47|283.95|0.4921|-1069.047151|-1069.101032|3.3694|32.0|7.4949
28_a20|0.0|0|0|0.0|1|0|0|1.417203216|-0.013841559|-0.006492092|3|0.091462964|-0.363557127|-0.039965901|1|0.002695258|0.155263557|-0.016955137|-0.028782305|-0.447096101|3|0.755701837|-0.104458316|-0.06654421|0.690655217|1|0.7817507370000001|0.3962228229999999|0.014682607|-57.59898971|-60.85602167|9.799649234|0.218249263|-0.035068957|-40.6172876|88.39175809|0.773641727|-1.823585765|71.98460956|67.39863895|0.468838001|-15.62203369|0.226358273|7.587188177000001|0.8826648009999999|151.0788711|-812.3457521|30.25452396|0.016673728|1573.2352460000002|0.0|1.0|1.0|0.08|27.0|-8.8|3.93|1.0|0.0|122.8|0.0|5.0|-4.42|32.0|5.0|0.0|0.0|1.0|3.04|-4.43|3.77e-05|0.0159|0.0|1.57e-09|6.590000000000001e-07|4.64|3.5798|-1368.32781|1198.32|346.35|0.2354|-1368.085242|-1368.146882|4.7428|255.0|6.5935
14s_a23|0.0|1|1|0.0|2|0|0|1.197958333|0.020458621|-0.005854379|2|0.049317519|-0.298573309|-0.064006338|2|0.009263715|0.0909774219999999|-0.071484865|-0.13187015|-0.457212212|2|0.7837821840000001|0.096014944|-0.1050445769999999|0.659570836|1|0.92763624|0.2387634619999999|0.019970955|-35.30692476|-51.64162341|12.81151517|0.07236376|-0.034255504|-33.12848261|82.55990607|0.7748161659999999|-1.610008704|62.75905983|48.11843993|0.470919749|-14.09722664|0.2251838339999999|7.548546899|0.890072438|144.457092|-662.5696522999999|28.36177131|0.017330177|1333.003252|0.0|1.0|1.0|0.05|26.0|-7.99|4.0|2.0|1.0|125.29|0.0|5.0|-6.13|31.0|4.0|0.0|0.0|0.0|4.01|-5.55|7.49e-07|0.000334|0.0|1.02e-08|4.55e-06|4.1|3.6828|-2089.500101|1164.32|336.66|0.3669|-2089.2914530000003|-2089.352478|6.4428|3.0|8.5482
4j_a46|0.0|0|0|0.19521727|1|1|1|1.134637093|-0.175292207|-0.002284836|1|-0.0529855709999999|-0.130235627|-0.176133068|1|0.011684396|-0.078783783|-0.0589746909999999|-0.087688953|-0.226712003|1|0.7298040140000001|-0.061823242|-0.258222236|0.728293097|0|0.949893337|0.295221643|0.01492164|-34.99059698|-43.95227197|8.812983129|0.0501066629999999|-0.024805825|-25.95898597|71.98911503|0.776932317|-1.339514565|50.26191521|43.80358011|0.402450715|-8.652995323999999|0.223067683|6.274010655|0.673502127|131.7477027|-467.2617475|18.85718615|0.0106831269999999|1018.288052|0.0|1.0|0.0|0.39|17.0|-7.69|5.18|2.0|0.0|110.24|0.0|4.0|-5.38|27.0|3.0|0.0|1.0|1.0|4.5|-5.31|4.16e-06|0.0015|0.0|2.03e-08|7.33e-06|4.93|4.4093|-1132.018764|1112.13|281.19|0.2783|-1131.761156|-1131.817578|3.8105|805.0|6.0942
3g_a32|0.0|1|1|-0.047725143|0|0|0|0.60942078|0.015803466|-0.006258272|0|-0.058985916|-0.2816222539999999|-0.125170068|3|0.002565215|-0.105402305|-0.074808287|-0.133675401|-0.563371932|0|0.755211939|-0.1015732219999999|-0.1719626169999999|0.786074011|1|0.887695945|0.273439311|0.0119962889999999|-38.9071564|-54.47722347|6.647498326|0.112304055|-0.030429702|-30.18744099|0.0|0.8007401590000001|-1.278047464|60.55421302|45.55465473|0.447358137|-9.343731735|0.199259841|5.917878616|0.809490137|110.4157723|-392.4367329|21.05801434|0.01096673|884.4366022|1.0|1.0|1.0|0.28|19.0|-7.29|7.02|2.0|0.0|102.55|0.0|3.0|-7.09|24.0|3.0|0.0|0.0|1.0|4.61|-5.59|8.12e-08|2.88e-05|0.0|5.08e-08|1.8e-05|4.13|3.5456|-1712.036238|998.86|349.68|0.2859|-1711.865318|-1711.919273|5.5816|14.0|7.8539
16_a3|0.0|0|0|0.0|0|0|0|0.605020428|0.183636734|-0.010031024|2|0.027762972|-0.371147877|-0.018884246|1|-0.008409607|0.069124437|0.0032314229999999|0.008045619|-0.614173961|2|0.767641592|-0.142670655|-0.031683873|0.640070307|1|0.6974791290000001|0.252612735|0.012203576|-53.7971544|-49.45999101|6.027544549|0.302520871|-0.041233465|-24.42909382|82.16042286|0.8296818009999999|-1.401937796|56.56724056|59.82469895|0.484889078|-10.05903863|0.1703181989999999|5.780331402000001|0.941329444|84.12292796|-342.00731349999995|24.54661368|0.0143895839999999|834.5848652000001|1.0|1.0|1.0|0.0|21.0|-7.16|4.74|0.0|0.0|90.44|0.0|2.0|-4.98|23.0|4.0|0.0|0.0|1.0|3.5|-4.49|1.05e-05|0.0033799999999999|0.0|6.97e-08|2.25e-05|3.19|3.2208|-1371.360243|856.09|384.94|0.3866|-1371.250459|-1371.297964|3613.0|42.0|7.3768
5_a27|0.0|0|0|0.0|2|0|0|1.4026035369999998|0.126882432|-0.0063562359999999|2|-0.149034787|-0.286030638|-0.013448351|1|0.010329671|-0.250776983|-0.2030237389999999|-0.341622797|-0.4982037479999999|2|0.760083119|0.180356685|-0.020087122|0.614205449|1|0.8531787759999999|0.333977277|0.01695771|-29.50048722|-44.83538435|8.936508815|0.146821224|-0.030385206|-23.6277072|56.35994804|0.741481472|-1.276178645|53.51978325|38.43699603|0.439066197|-8.438466859|0.258518528|6.160679036|0.7827415529999999|136.2361487|-354.41560810000004|21.59546513|0.016479312|907.0095354|0.0|1.0|0.0|0.16|21.0|-6.22|2.94|0.0|0.0|97.55|0.0|2.0|-3.61|25.0|4.0|0.0|1.0|1.0|2.82|-4.01|0.000248|0.0821|0.0|6.04e-07|0.0002|4.9|4.0989|-1083.124207|955.22|302.48|0.2448|-1082.967639|-1083.019748|3.5632|3.0|8.5229
8d_a8|0.0|0|0|0.0|1|0|0|1.395657339|-0.12349902|-0.0111144189999999|1|0.071729931|-0.633521883|-0.117111249|1|-0.001038264|0.111668404|0.016471091|0.025642021|-0.4385133129999999|1|0.757805416|0.0780635059999999|-0.179357354|0.734212688|0|0.6932924890000001|0.377028311|0.028038295|-69.95878302|-67.26951954|18.28507531|0.306707511|-0.03820405|-43.86958028|92.49576602|0.675359878|-2.063018716|86.29065071|88.24385833|0.483207744|-16.2479927|0.324640122|7.507839835|0.935013517|211.7129122|-877.3916055999999|36.89090464|0.029166961|1992.108851|0.0|1.0|2.0|0.12|23.0|-7.62|3.93|1.0|0.0|121.1|0.0|6.0|-4.91|32.0|5.0|0.0|0.0|0.0|3.0|-4.47|1.24e-05|0.00533|0.0|2.38e-08|1.03e-05|6.22|3.2963|-1447.559429|1185.65|376.13|0.3|-1447.2928029999998|-1447.354662|7.5674|18.61|4.7303
3b_a49|0.0|0|0|0.0|1|1|1|1.343850026|-0.003115526|-0.0057605869999999|2|-0.090939066|-0.322592863|0.00361222|1|0.001356445|-0.151131362|0.000511959|0.000850823|-0.405529602|2|0.794997634|0.021506499|0.006213385|0.749565191|1|0.749104358|0.482434361|0.013576151|-54.04959517|-51.77986692|8.304484449|0.250895642|-0.0276739079999999|-31.67356498|81.60358988|0.656865946|-1.439043207|64.91785551|62.35407961|0.477583842|-10.35481932|0.3431340539999999|7.236413572000001|0.914182753|209.89391040000004|-538.4506046|25.77091035|0.021477952|1340.087338|1.0|1.0|2.0|0.22|21.0|-7.58|3.16|1.0|0.0|116.94|0.0|6.0|-3.53|30.0|5.0|0.0|0.0|1.0|2.38|-3.59|0.000293|0.1169999999999999|0.0|2.64e-08|1.05e-05|3.4|3.8418|-1293.291817|1132.92|322.72|0.1978|-1293.048179|-1293.106236|3.1637|25.0|7.6021
1_a1 (SKF-104365)|0.0|0|0|0.0|1|1|1|0.626769342|0.011230812|-0.006055958|1|-0.091086986|-0.218014497|0.11172918|1|0.002250781|-0.221214316|-0.123703409|-0.300426726|-0.505981356|1|0.7926983559999999|-0.015406451|0.194988905|0.551667506|0|0.8131557509999999|0.2405471019999999|0.0133681239999999|-31.45099608|-37.55389489|6.18316314|0.186844249|-0.029524467|-17.369816|63.42504103|0.709744919|-0.9743074|46.32985169|37.63415922|0.416807085|-6.316296726|0.290255081|5.2735884010000005|0.71469847|134.2517831|-208.4377919|19.24066156|0.018973797|634.9418316000001|1.0|1.0|0.0|0.12|17.0|-6.0|3.93|0.0|0.0|81.72|0.0|2.0|-3.8|21.0|3.0|0.0|1.0|1.0|3.27|-4.02|0.000159|0.0472|0.0|9.93e-07|0.000295|3.45|3.8901|-1279.060907|809.96|318.72|0.2178|-1278.971649|-1279.017667|6.9338|1.6|5.7959
4m_a46|0.0|0|0|0.16407746|1|1|1|1.134637002|-0.245599013|-0.000686578|1|-0.302054595|-0.0329557579999999|0.007901235|1|0.010359417|-0.487230027|-0.017992096|-0.029022201|-0.098201489|1|0.747676221|-0.099662698|0.011235955|0.626578283|0|0.948973877|0.373463876|0.010905551|-35.4774406|-35.43866734|5.74716122|0.051026123|-0.0224155999999999|-18.67596877|35.77391986|0.733236381|-1.008702005|41.88525631|41.22460182|0.463006576|-6.225322922999999|0.266763619|5.329061873000001|0.8622201970000001|140.5828543|-280.1395315|16.11061509|0.012232753|724.9776792|1.0|1.0|0.0|0.29|17.0|-6.88|4.25|1.0|0.0|98.69|0.0|2.0|-4.52|25.0|3.0|0.0|1.0|1.0|3.59|-4.57|2.99e-05|0.00981|0.0|1.31e-07|4.31e-05|3.45|4.3476|-1031.109224|975.72|285.18|0.2465|-1030.929791|-1030.980844|5.2326|1288.0|5.8901
12v_a36|0.0|0|0|0.0|0|2|2|1.297043692|-0.077763989|-0.008411281|2|0.073329354|-0.487854327|-0.023932402|1|0.003077071|0.123026459|-0.1430106119999999|-0.239932418|-0.401336708|1|0.828393514|0.024751559|-0.041914045|0.84179881|0|0.802291339|0.334379501|0.027145269|-51.4172081|-69.20675352|17.85767346|0.197708661|-0.033118671|-45.52806671|0.462992841|0.6276553979999999|-1.788408258|88.07013157|69.27488156|0.461799225|-14.33290989|0.372344602|8.456596706000001|0.8580426609999999|244.9490697|-773.9771341000001|34.71221847|0.02867403|1874.459798|1.0|0.0|2.0|0.17|17.0|-6.69|2.77|1.0|0.0|130.24|0.0|6.0|-3.95|31.0|5.0|0.0|0.0|0.0|1.81|-4.07|0.000113|0.0464|0.0|2.03e-07|8.340000000000001e-05|2.65|3.7035|-1347.442792|1150.38|334.77|0.4247|-1347.2000369999998|-1347.260743|7.9237|14.0|7.8539
1_a6 (SB-431542)|0.0|0|0|0.0|0|1|1|1.430935835|0.043282217|-0.015636898|1|0.1008839219999999|-0.766207981|-0.0492229479999999|1|-0.008385698|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.7462411859999999|-0.08530265|-0.083341531|0.795744863|0|0.5940412860000001|0.210050443|0.033020439|-74.98172333|-72.69619778|19.58668728|0.405958714|-0.0462988229999999|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|87.15852628|94.56841061|0.472445176|-16.29019397|0.2468003389999999|7.523839331|0.895537592|146.3942108|-733.0587287000001|36.46179023|0.02438148|1640.78056|1.0|1.0|2.0|0.05|23.0|-7.69|4.04|1.0|0.0|106.85|0.0|4.0|-4.52|29.0|5.0|0.0|0.0|1.0|2.85|-4.25|3.03e-05|0.0116|0.0|2.03e-08|7.81e-06|4.57|3295.0|-1292.553086|1049.69|376.28|0.5765|-1292.358966|-1292.41452|8.8611|1542.0|5.8119
12ba_a36|0.0|0|0|0.0|0|2|2|1.297043659|-0.090865777|-0.0075620109999999|2|0.087201747|-0.423472625|-0.011949092|1|-0.000621302|0.159880159|-0.091676619|-0.168084618|-0.410941182|1|0.8256014690000001|0.041478447|-0.0202572689999999|0.796093405|0|0.849738126|0.330220757|0.0246090489999999|-56.0578808|-73.03464847|16.57882744|0.150261874|-0.037526591|-49.20258616|16.1479891|0.7068957840000001|-1.951382748|89.06670390000001|72.63670824|0.49229954|-17.03166444|0.293104216|7.409667253999999|0.969665341|197.4608731|-885.6465508|35.76372225|0.023797439|1859.713557|1.0|1.0|2.0|0.12|17.0|-6.72|2.79|1.0|0.0|133.18|0.0|5.0|-4.77|33.0|6.0|0.0|0.0|0.0|1.57|-4.25|1.6800000000000002e-05|0.0072599999999999|0.0|1.91e-07|8.240000000000001e-05|2.79|3.0114|-1417.426327|1187.56|411.71|0.7436|-1417.187763|-1417.249741|4.5448|21.0|7.6778
41_a47|0.0|1|1|0.0|1|0|0|1.420292383|-0.225923786|-0.004083905|3|-0.080388467|-0.187859623|0.075316535|1|0.0047106|-0.178132441|-0.1430639269999999|-0.317014709|-0.276217719|3|0.8417952740000001|0.08640454|0.123676975|0.609110565|1|0.823168463|0.245948366|0.018348892|-34.50740631|-50.81597048|10.36256127|0.1768315369999999|-0.02929561|-28.69838714|0.0|0.653147815|-1.259711209|63.84353454|44.86996758|0.447046066|-9.34366093|0.346852185|7.168742909|0.8084689140000001|195.8852341|-401.77742|25.33076615|0.023067788|1089.222944|1.0|1.0|1.0|0.16|21.0|-7.47|3.34|0.0|0.0|99.09|0.0|4.0|-3.57|26.0|5.0|0.0|1.0|1.0|3.06|-3.9|0.000267|0.0929|0.0|3.36e-08|1.17e-05|2.41|3.7144|-1162.462261|995.43|333.8|0.2849|-1162.288187|-1162.342476|6.8546|0.01|8.0
15c_a22|0.0|0|0|0.0|1|0|0|1.42291727|-0.134137693|-0.005236206|2|-0.026986769|-0.298463715|0.006275578|1|0.004362505|-0.047249795|-0.0917078119999999|-0.160566657|-0.364626967|2|0.773044788|-0.096749121|0.010828071|0.639264982|1|0.8665852140000001|0.615901609|0.024561528|-48.58045253|-57.66130245|17.68362419|0.133414786|-0.0302219629999999|-41.51455167|78.22334636|0.661775114|-1.60176404|75.52188549|66.26407672|0.462157867|-15.66586856|0.338224886|8.626398368|0.859281634|243.5126145|-830.2910335|32.87972244|0.0248073129999999|1742.625289|0.0|1.0|1.0|0.08|27.0|-9.28|3.9|1.0|0.0|128.77|0.0|6.0|-4.86|34.0|6.0|0.0|0.0|0.0|2.98|-4.62|1.39e-05|0.00618|0.0|5.269999999999997e-10|2.35e-07|4.79|3674.0|-1460.571156|1241.07|337.46|0.5082|-1460.324493|-1460.387718|9.0393|737.0|6.1325
9_a10|0.0|0|0|0.0|1|1|1|1.377786667|-0.096384071|-0.004530817|2|-0.048732912|-0.285441469|-0.1048161059999999|1|0.007847998|-0.079150788|-0.1475423119999999|-0.239634564|-0.362724972|2|0.791322552|-0.000865755|-0.169389445|0.692424727|1|0.8694452140000001|0.6816795959999999|0.013842683|-40.90513782|-59.80726117|9.815155744|0.130554786|-0.028592687|-42.40634438|59.95939417|0.73129178|-1.686968561|71.07688871|50.72029356|0.45291714|-14.37503199|0.26870822|8.765421221|0.827876677|190.5275895|-848.1268877|27.72306267|0.015893979|1635.660698|1.0|1.0|1.0|0.23|21.0|-7.93|3.69|1.0|0.0|130.71|0.0|7.0|-4.23|33.0|5.0|0.0|1.0|0.0|3.07|-4.44|5.920000000000001e-05|0.0259|0.0|1.17e-08|5.14e-06|4.51|3.7309|-1410.005954|1278.57|332.32|0.4138|-1409.69933|-1409.764013|4942.0|193.0|6.7144
14w_a23|0.0|1|1|0.0|2|0|0|1.197963556|0.013971812|-0.006481882|2|0.045196333|-0.330575965|-0.031435038|2|0.003906274|0.126238077|-0.073958723|-0.206574435|-0.427696371|2|0.802520527|0.059273664|-0.049318182|0.558482531|1|0.7880718659999999|0.228641034|0.022440155|-46.76570273|-58.53311596|14.84036772|0.211928134|-0.035779855|-38.70975831|90.15900589|0.743451788|-1.681653166|72.23920014|61.60607046|0.4972095239999999|-15.648625699999998|0.256548212|7.833745658|0.988900044|169.6632599|-735.4854078|31.82765022|0.020725002|1495.89956|0.0|1.0|1.0|0.05|26.0|-7.93|4.2|2.0|1.0|120.2|0.0|5.0|-5.68|32.0|6.0|0.0|0.0|0.0|4.05|-5.27|2.09e-06|0.0009369999999999|0.0|1.17e-08|5.23e-06|3.97|3.6632|-1828.363862|1150.31|338.46|0.3855|-1828.161957|-1828.222578|9.8981|2.0|8.6737
13f_a6|0.0|0|0|0.0|0|0|0|1.429020649|-0.088329567|-0.006930367|2|0.04505613|-0.381170169|-0.049928822|1|-0.001446486|0.079490516|-0.126749697|-0.223618825|-0.466314952|2|0.77199166|-0.028317736|-0.088948538|0.790249345|1|0.863222493|0.176745407|0.018554018|-49.2635105|-62.41821579999999|12.46087045|0.136777507|-0.032802223|-41.92004677|0.0|0.720711855|-1.672913351|75.61173794|61.72438096|0.401838426|-14.79531062|0.279288145|9.050440345|0.6717890999999999|187.5697972|-754.5608419|30.56694343|0.0196449239999999|1558.914115|1.0|1.0|2.0|0.08|27.0|-10.18|5.01|1.0|0.0|123.82|0.0|5.0|-5.11|32.0|5.0|0.0|0.0|1.0|3.19|-4.78|7.74e-06|0.00323|0.0|6.59e-11|2.75e-08|3.36|3139.0|-1347.266914|1202.78|394.98|901.0|-1347.018087|-1347.0794119999998|13.9612|42.0|7.3768
GW6604_a52|0.0|0|0|0.0|0|0|0|1.427583999|-0.277102285|-0.002149879|2|-0.0778992459999999|-0.085995143|-0.028376521|1|0.0070554269999999|-0.131886693|0.039867344|0.067497086|-0.201462112|2|0.693399445|0.074868979|-0.057466653|0.689009112|0|0.87346455|0.38374044|0.009021088|-35.51891876|-35.62691523|4.459510077|0.12653545|-0.029217264|-17.61190876|0.2386028039999999|0.73529506|-1.081038779|44.37166117|39.97842884|0.4597869779999999|-7.13996301|0.26470494|6.2973559020000005|0.851121611|130.8549791|-264.17863140000003|19.64292268|0.01768964|726.7881391|1.0|0.0|1.0|0.0|23.0|-8.03|4.49|0.0|0.0|90.49|0.0|3.0|-3.87|23.0|3.0|0.0|1.0|1.0|3.08|-4.16|0.000135|0.0402|0.0|9.31e-09|2.78e-06||||||||||107.0|6.9706
8k_a46|-3.737070812|0|0|0.1337610719999999|1|1|1|0.300205953|0.1436554669999999|-0.006208399|2|-0.061030265|-0.397337564|-0.038125|1|0.002202734|-0.1017929319999999|-0.030019362|-0.050069565|-0.510222233|2|0.786206898|0.095179795|-0.051289238|0.687020939|0|0.7381768390000001|0.400181795|0.009441365|-61.98124174|-61.95565276|6.774333772|0.261823161|-0.033099828|-44.45419269|19.34993627|0.8265691140000001|-1.985989657|70.036452|68.75557551|0.4938768979999999|-17.04077386|0.173430886|8.070811215|0.975803904|124.4394929|-1022.446432|28.73282642|0.0112621819999999|1723.969585|1.0|1.0|2.0|0.24|23.0|-8.66|2.94|1.0|0.0|132.47|0.0|5.0|-5.74|34.0|6.0|0.0|0.0|0.0|3.29|-5.13|1.82e-06|0.000866|0.0|2.17e-09|1.03e-06|7.63|4.1034|-1845.257085|1302.56|302.15|0.1354|-1844.970617|-1845.037411|3.8107|147.0|6.8327
13m_a6|0.0|0|0|0.0|0|0|0|1.429020166|0.031719435|-0.010840005|2|0.021526267|-0.628720289|-0.018628955|1|-0.00687003|0.037052986|-0.068956229|-0.118693789|-0.568024162|2|0.7767360059999999|0.156982046|-0.031564227|0.82642394|1|0.715612461|0.429009107|0.01858251|-68.97140339|-75.05944278|12.95736535|0.2843875389999999|-0.0378750189999999|-52.33806464|95.67846949|0.7362989999999999|-2.045251|89.65257305|81.92876874|0.48094941|-18.41524497|0.263701|8.435961541000001|0.926594475|183.8755989|-994.4232282|35.8683143|0.020928405|1936.888972|1.0|1.0|3.0|0.08|27.0|-9.67|4.19|1.0|0.0|127.2|0.0|6.0|-4.64|33.0|5.0|0.0|0.0|1.0|2.67|-4.28|2.27e-05|0.00987|0.0|2.1499999999999998e-10|9.35e-08|4.27|3.3359|-1423.712909|1231.54|371.67|275.0|-1423.448957|-1423.511471|6.5243|0.01|8.0
4e_a46|-3.742323661|0|0|0.092094405|1|1|1|0.300205548|0.1369980459999999|-0.005995748|2|-0.08224348|-0.4017151029999999|-0.05803828|1|0.002688298|-0.135489528|-0.030065705|-0.049530834|-0.514537262|2|0.77019676|0.075271624|-0.076733489|0.69063113|0|0.753715041|0.68427144|0.010671173|-63.39469142|-64.33855433|8.098142567|0.246284959|-0.030951758|-48.825259|20.27041189|0.7951078540000001|-1.949960781|73.87174786|71.49283399|0.4753010039999999|-17.82509456|0.204892146|7.906917146|0.905854609|155.48860530000002|-1122.980957|29.54149986|0.0125621839999999|1861.114491|1.0|0.0|2.0|0.27|23.0|-8.81|3.05|2.0|0.0|137.28|0.0|5.0|-6.08|35.0|6.0|1.0|0.0|0.0|3.5|-5.41|8.29e-07|0.000405|0.0|1.56e-09|7.64e-07|8.03|4.1773|-1884.564974|1343.97|296.81|0.4814|-1884.255802|-1884.324182|3.2466|154.0|6.8125
9_a3|0.0|0|0|0.0|0|0|0|0.605017128|0.187952252|-0.007847313|1|-0.126542538|-0.298197887|0.023606557|1|-0.003863265|-0.216450234|0.083014843|0.141996379|-0.614170287|1|0.6729843740000001|-0.260349706|0.042154567|0.865283439|0|0.84649775|0.506753484|0.007377805|-44.74600478|-39.28853824|3.469130065|0.15350225|-0.038196575|-18.47392835|72.50764604|0.886859678|-1.336880133|43.50933802|48.21513485|0.413418346|-8.445224386|0.1131403219999999|5.004834198999999|0.704792493|53.19989715|-295.5828535|20.25176593|0.008976383|708.8118076000001|1.0|1.0|1.0|0.0|21.0|-7.26|4.9|1.0|0.0|92.69|0.0|2.0|-5.53|22.0|2.0|0.0|0.0|1.0|3.7|-4.9|2.96e-06|0.000899|0.0|5.5e-08|1.67e-05|3.28|3.7356|-1256.0634710000002|857.36|331.9|0.2069|-1255.9558029999998|-1256.002529|2.6661|10965.0|4.96
