molecula|NaaNH|n9FaRing|SssssC|NaasN|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|PPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
22_a20|0|0|0.0|1|0|0|-0.238401323|-0.00147607|4.727387819|0.023539095|-0.079707783|-0.066832578|10.93106272|-0.038668966|1|0.008780074|0.155407313|-0.036258691|-0.060582944|-0.177976478|2|0.616352201|0.7478675859999999|-0.044184455|0.809440795|0.607038752|1|-0.059893667|-0.067797027|0.425968568|0.0122876139999999|-39.00017609|-44.14650378|8.001165067999999|9.022387025|34.8271111|-0.027118811|-28.7463017|5.21001405|0.77063827|-1.3559405430000002|52.90592556|0.477376285|616.3298149|2396.806062|-11.49852068|7.408914181|149.350479|664.4562602999999|8.759421782|1.0|1.0|0.0|3.36|3.41|0.08|27.0|-9.69|67.39|2.61|2.0|0.0|1.0|-5.6|31.0|4.0|-5.58|0.0|0.0|1.0|-5.53|2.48e-06|2.98e-06|0.0012|0.0|8.199999999999999e-08|-0.0568|5.5591|4.07|-1275.84854|-1275.816275|694.15|1181.95|312.05|0.2636|223.03|0.38233|0.66063|0.0015|-0.16176|-0.21856|0.03226475|-1275.657902|6141.0|231.0|6.6364|6.6364
47u_a18|0|0|0.0|0|1|1|0.039883149|-0.010219187|4.844187086|-0.0872206669999999|-0.633589579|0.031337464|10.94702032|-0.033209663|0|0.00082284|0.0121925089999999|-0.126628013|-0.1904128389999999|-0.539738821|0|0.664796402|0.7517870059999999|-0.0112778039999999|0.7960273840000001|0.646724968|0|-0.090364489|-0.092271172|0.33777918|0.02068926|-62.99873374|-64.32800179|14.42377665|86.37253771|180.5187465|-0.0344062|-44.84707106|10.0557163|0.721837463|-2.029965788|79.06741651|0.483819806|516.6437614|1415.590236|-16.72263667|9.18142206|193.9244919|818.9389171|14.73941472|0.0|1.0|2.0|3.98|0.0|0.19|18.0|-8.2|99.56|2.95|3.0|1.0|1.0|-5.69|34.0|4.0|-6.31|0.0|0.0|0.0|-4.98|2.05e-06|1.04e-05|0.00472|0.0|2.89e-06|-0.06392|3.1186|9.34|-1510.182477|-1510.153552|738.53|1282.66|397.57|0.5849|397.57|0.69143|0.69143|0.5849|-0.12717|-0.19109|0.02892505|-1509.839543|5.8058|1.97|5.7055|5.7055
12at_a36|1|0|0.0|0|2|2|-0.04229234|-0.010886502|5.351858133|-0.073048351|-0.653190113|-0.076129505|10.95446888|-0.037590959|1|0.000906224|0.091520225|-0.136151085|-0.227404687|-0.48127276|1|0.817851296|0.8384626709999999|-0.08859337|0.890810337|0.7767870459999999|0|-0.084721769|-0.110637955|0.301423347|0.029516069|-58.66704838|-76.61315774|20.43891035|95.16663336|171.8311073|-0.037537878|-53.05210062|14.1532755|0.6744421970000001|-2.102121151|95.60375457|0.49342323|520.6361161|2388.600265|-17.99981985|8.837213274|225.4381077|735.3783268|18.99059683|1.0|1.0|2.0|4.9|0.0|0.17|17.0|-6.62|95.5|1.89|1.0|0.0|1.0|-4.18|33.0|6.0|-7.18|0.0|0.0|0.0|-4.08|6.579999999999999e-05|8.36e-05|0.0367|0.0|0.000106|-0.05703|4.7133|4.5|-1460.833958|-1460.797444|733.29|1238.61|322.81|0.4765|263.05|0.42968|0.6802600000000001|0.2076|-0.15607|-0.2131|0.03651452|-1460.61293|8.9532|78.0|7.1079|7.1079
12ab_a36|1|0|0.0|0|2|2|-0.064515677|-0.007034881|5.351858133|0.000258844|-0.408023082|-0.032623802|10.9540584|-0.029080933|1|0.002112069|0.0618552579999999|-0.096853381|-0.169341326|-0.4186639029999999|1|0.86559137|0.831136366|-0.0852411419999999|0.888163057|0.8196353679999999|0|-0.079202413|-0.095025338|0.452078227|0.024102201|-54.63243106|-65.54680623|16.62527454|116.6804416|109.6369437|-0.033434841|-45.21303385|11.46782191|0.679025324|-1.805481415|82.3666474|0.484987413|580.1454645|2390.849902|-15.90828969|7.821826146|221.4026852|708.5476357999999|16.81984117|1.0|1.0|2.0|4.86|0.0|0.17|17.0|-7.05|92.99|1.59|1.0|0.0|1.0|-3.92|32.0|5.0|-7.21|0.0|0.0|0.0|-3.91|0.0001199999999999|0.000122|0.0515|0.0|3.76e-05|-0.0523799999999999|3.8845|3.23|-1364.509957|-1364.468283|712.73|1201.64|319.17|0.4451|319.17|0.69294|0.69294|0.4451|-0.15699|-0.2093699999999999|0.04167456|-1364.300531|5.3228|11.0|7.9586|7.9586
6_a47|0|0|0.0|0|0|0|0.011739916|-0.008723045|0.0|-0.1738997619999999|-0.392537045|0.051455447|10.93671042|0.0402365489999999|0|-0.0094242819999999|-0.302730533|-0.020576777|-0.04324355|-0.459934519|2|0.701994505|0.786041178|-0.149904224|0.84654143|0.672308592|1|-0.080118846|-0.096689626|0.446564415|0.009820713|-43.43026699|-52.41283988|5.323543706000001|101.7290544|85.6917678|-0.036834143|-28.411587800000003|2.885749555|0.7943908059999999|-1.547034008|60.76103606|0.4059072379999999|456.3812788|1577.98246|-10.82346202|6.480620646|111.4552019|469.7495559|8.348196185|1.0|1.0|2.0|2.82|2.91|0.05|22.0|-9.06|58.04|3.48|2.0|0.0|1.0|-6.02|27.0|4.0|-5.02|1.0|0.0|1.0|-5.79|9.53e-07|1.63e-06|0.000619|0.0|3.310000000000001e-07|-0.05354|5.5188|4.69|-1608.684886|-1608.652005|576.56|990.85|333.32|0.2536|224.66|0.30468|0.69305|0.2119|-0.1544|-0.20794|0.03288085|-1608.554019|4.2153|13.0|7.9|7.9
12q_a30|0|0|-4.76444841|0|2|2|0.144208934|-0.015322396|5.351858133|-0.27228842|-0.873376576|0.004165554|10.31162828|-0.021542639|1|-0.004395528|-0.0483777279999999|-0.077457998|-0.226973911|-0.636798458|1|0.613786308|0.816138015|0.01661722|0.867367115|0.593245722|0|-0.087348134|-0.115589613|0.596557166|0.014790072|-59.52322773|-78.7683329|10.07866809|82.72757145|105.1162273|-0.045799658|-53.67653794|6.868090132000001|0.820640722|-2.427381881|90.06607753|0.473741611|576.3319634|2844.418547|-21.2680622|7.346842839|122.2240555|696.6414817000001|11.29774462|1.0|1.0|1.0|4.73|0.0|0.17|17.0|-7.18|90.88|2.82|2.0|0.0|1.0|-6.7|34.0|8.0|-5.66|0.0|0.0|0.0|-5.92|1.99e-07|1.2e-06|0.000579|0.0|3.19e-05|-0.05105|5.0573|5.52|-1988.033527|-1987.999444|713.16|1214.92|355.93|0.1817|245.16|0.34138|0.68516|0.1515|-0.14792|-0.19897|0.03408298|-1987.847256|6.821000000000001|36.0|7.4449|7.4449
10_a3|0|0|0.0|0|0|0|0.190318474|-0.010609861|4.727387819|-0.1152010919999999|-0.381954986|0.018484177|10.31162304|0.043342516|1|-0.005959152|0.033279122|-0.0495219879999999|-0.0947326669999999|-0.616256033|3|0.8947911009999999|0.743072638|-0.140523767|0.8136572320000001|0.834020779|1|-0.1007256719999999|-0.0989320009999999|0.518341632|0.014615264|-46.64544572|-45.8148076|6.768239856|248.0820067|116.9745968|-0.0359752729999999|-21.21655855|3.134330682|0.7066293240000001|-1.187184014|56.68388955|0.41220272|346.1193167|1361.86525|-7.715112198|5.031169383|135.8581743|311.6695405|10.86908195|0.0|1.0|1.0|3.02|1.78|0.0|21.0|-6.51|105.82|1.2|0.0|0.0|1.0|-4.3|22.0|4.0|-6.44|0.0|0.0|1.0|-3.84|5.07e-05|0.000145|0.0443|0.0|9.35e-05|-0.06238|5375.0|1.64|-1288.190838|-1288.150029|498.67|830.63|362.35|0.2124|230.67|0.41894|0.68995|0.0463|-0.15011|-0.21249|0.04080931|-1288.097561|9.3381|7943.0|5.1|5.1
19_a4|0|0|0.0|1|1|1|-0.121320311|-0.0023503029999999|5.4161004020000005|-0.3929802189999999|-0.105763614|-0.211341677|10.30966825|-0.136621315|1|0.009687676|-0.086166959|-0.0255403279999999|-0.042058265|-0.245630631|1|0.55269662|0.774746438|0.152550043|0.834377354|0.514505012|0|-0.070677568|-0.0759826109999999|0.285282038|0.013022539|-38.9063534|-41.82665583|7.168604362000001|15.411502800000004|98.66465411|-0.028945757|-23.02459887|3.946149569|0.764880253|-1.215721775|49.73882261|0.460486754|451.8120313999999|1697.595595|-8.771275759|5.9448291|129.4279389|450.6848883|7.912166787999999|1.0|0.0|0.0|3.46|2.52|0.16|17.0|-6.09|73.23|2.16|1.0|0.0|1.0|-3.81|25.0|4.0|-6.58|0.0|1.0|1.0|-3.97|0.000156|0.000106|0.0373|0.0|0.0002839999999999|-0.05294|4.1858|6.67|-1446.939719|-1446.909868|583.39|983.4|296.2|0.3806|296.2|0.67535|0.67535|0.3806|-0.17004|-0.22298|0.02985188|-1446.813896|7.1079|19.5|4.71|4.71
9d_a31|1|0|0.0|0|1|1|0.036844743|-0.012442213|5.733341277|-0.043220149|-0.696763933|-0.0938310919999999|10.31169788|-0.021171445|2|0.000127275|-0.091744753|-0.134504227|-0.214049412|-0.550392027|0|0.8066174070000001|0.8343242820000001|-0.030275712|0.873955169|0.771222772|0|-0.098210975|-0.11958484|0.3655337879999999|0.029032453|-66.96024848|-81.53295088|19.79432796|154.8767865|208.401866|-0.033844766|-55.58917047|13.49577391|0.6636195229999999|-1.793772606|97.84665015|0.457506946|473.3981899|1932.363213|-15.732784099999998|9.436176796|229.34422830000003|647.1500428999999|16.31369927|1.0|1.0|2.0|3.8|3.35|0.38|16.0|-7.63|117.37|1.31|2.0|0.0|1.0|-5.61|29.0|5.0|-6.36|0.0|0.0|1.0|-4.39|2.48e-06|4.06e-05|0.0167|0.0|9.69e-06|-0.03457|3.8478|5.0|-1657.471475|-1657.428165|727.27|1202.79|322.22|0.2611|322.22|0.7006899999999999|0.7006899999999999|0.2611|-0.15969|-0.19426|0.04331056|-1657.245966|3.5077|0.6|6.2218|6.2218
14c_a22|0|0|0.0|1|0|0|-0.134137693|-0.005236206|4.727387819|-0.018518519|-0.298463715|-0.023927419|10.9464374|0.006275578|1|0.004362505|-0.047249795|-0.0917078119999999|-0.160566657|-0.364626967|2|0.667111824|0.773044788|-0.096749121|0.8353837409999999|0.639264982|1|-0.067475189|-0.080077573|0.6160012029999999|0.024569649|-48.57709197|-57.64986681|17.68831053|36.22825261|96.05497587|-0.030217952|-41.50359456|12.73426132|0.66168729|-1.60155147|75.5139152|0.462147828|623.8702703|2092.7515510000003|-15.66173379|8.626337592|243.5598613|731.8178649|17.86404838|0.0|1.0|1.0|3.49|2.85|0.08|27.0|-9.28|109.38|1.08|1.0|0.0|1.0|-4.86|34.0|6.0|-6.96|0.0|0.0|0.0|-4.62|1.39e-05|2.4e-05|0.0107|0.0|2.35e-07|-0.07399|5.7361|4.79|-1460.602657|-1460.571156|715.52|1241.55|337.45|0.5079|216.15|0.3078|0.69113|0.0694|-0.15408|-0.22807|0.03150011|-1460.38772|9.04|153.0|6.8153|6.8153
14p_a23|0|1|0.0|2|0|0|0.044380583|-0.005975594|5.351858133|0.006191846|-0.310730878|-0.060144819|10.31321773|-0.053921569|2|0.009266617|0.080581604|-0.0686282459999999|-0.131709531|-0.4510651779999999|2|0.708395022|0.799506006|0.099883916|0.8683808959999999|0.669357479|1|-0.063033628|-0.080784473|0.223758613|0.0221104079999999|-42.52653933|-54.50240143|14.91710363|40.58186569|51.64167457|-0.033660197|-36.77082544|10.06403753|0.751638299|-1.615689464|67.36602512|0.464933687|623.0226425|2170.5738260000003|-15.32117727|9.014073839|167.5607773|646.2584547|12.86362369|0.0|1.0|1.0|3.48|3.28|0.04|26.0|-7.47|128.81|2.39|1.0|1.0|1.0|-5.68|32.0|5.0|-6.62|0.0|0.0|0.0|-4.9|2.09e-06|1.27e-05|0.00554|0.0|1.4800000000000002e-05|-0.09046|3.5752|3.29|-1722.181612|-1722.152257|699.61|1191.08|346.79|0.3802|346.79|0.6816|0.6816|0.3802|-0.14774|-0.2382|0.02935511|-1721.994023|9986.0|3.0|8.5302|8.5302
12bh_a36|1|0|0.0|0|2|2|-0.052761366|-0.006687484|5.351858133|-0.047482048|-0.401249012|0.075747971|10.94728093|-0.035747988|1|0.0045625|0.0016901289999999|-0.101854847|-0.169994208|-0.43574839|1|0.902377067|0.78699829|-0.211972014|0.833398429|0.857993338|0|-0.070687668|-0.09959401|0.317612728|0.017627098|-47.04367494|-66.28126709|11.73109101|83.08294358|110.81353529999998|-0.035569289|-44.11115058|7.807212275|0.783294222|-1.991880197|76.46867897|0.482052584|554.7010591|2437.805332|-15.75398235|7.545637217999999|144.22085800000002|729.1873176|10.18741188|1.0|1.0|2.0|4.95|0.0|0.21|17.0|-7.34|69.2|2.45|1.0|0.0|1.0|-4.54|31.0|4.0|-6.38|0.0|1.0|1.0|-4.6|2.8600000000000004e-05|2.5e-05|0.0102|0.0|1.86e-05|-0.0525299999999999|3.8811|3.79|-1311.589612|-1311.558898|715.94|1208.61|341.97|0.4386|319.46|0.69377|0.7039|11.0|-0.14915|-0.20168|0.03071385|-1311.356102|7.7975|14.0|7.8539|7.8539
1b_a5|1|0|0.0|0|0|0|-0.250420203|-0.00279809|4.59511985|-0.061874543|-0.111923619|0.001241264|10.94890233|-0.028797464|1|0.003708988|-0.220946861|0.019611905|0.045204303|-0.231956531|2|0.567806811|0.759794937|0.122747292|0.827319059|0.558485747|0|-0.07823203|-0.077221824|0.341795323|0.010803163|-39.38248661|-38.87394276|5.438378717999999|168.30518769999998|96.23685048|-0.031306145|-19.56938257|2.737713392|0.7324812509999999|-1.158327367|48.55415504|0.474445758|407.1693177|919.9167129|-7.933533473|6.11909445|134.6705884|357.34245360000006|9.680212283|1.0|1.0|1.0|2.75|1.81|0.0|23.0|-8.3|54.46|2.29|0.0|0.0|1.0|-3.97|24.0|4.0|-5.99|0.0|1.0|1.0|-4.3|0.000106|4.970000000000001e-05|0.0157|0.0|1.58e-06|-0.04135|4789.0|3.1|-1050.538976|-1050.506509|536.59|892.61|266.74|0.3101|258.89|0.5153800000000001|0.43728|87.0|-0.1892|-0.23055|0.03246637|-1050.462425|4.3687|59.0|7.2291|7.2291
4p_a46|0|0|0.122217892|1|1|1|-0.060700883|-0.004413243|5.587248657999999|-0.038295755|-0.233901882|-0.205494852|10.93681929|-0.120823841|1|0.004453195|-0.251219946|0.066453878|0.101602982|-0.369670745|0|0.7471162309999999|0.747019097|-0.078703563|0.7911509609999999|0.751334374|0|-0.0997229069999999|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|-47.22779946|4.195717966|175.10295019999998|53.32991189|-0.029978645|-26.78464688|2.379548177|0.87420565|-1.498932241|51.05047787|0.423511708|513.8073925|2219.4587530000003|-9.642472876|5.828038618|71.34266847|585.8536976|3.822678404|1.0|1.0|1.0|3.89|3.2|0.3|17.0|-7.05|61.84|3.2|2.0|0.0|1.0|-5.8|27.0|3.0|-5.09|0.0|1.0|1.0|-5.4|1.59e-06|4.03e-06|0.00144|0.0|3.2e-05|-0.0393|5.4796|4.89|-1129.65844|-1129.618646|598.19|1058.54|310.28|0.2363|226.26|0.43709|0.70138|0.0763|-0.16819|-0.20749|0.03979459|-1129.4459470000002|5.3996|341.0|6.4672|6.4672
14t_a23|0|1|0.0|2|0|0|0.04919958|-0.005383494|5.351858133|-0.024472753|-0.290708696|-0.041339801|10.31321779|-0.093434862|2|0.01180744|0.134446672|-0.074441567|-0.136106024|-0.4515027279999999|2|0.725800261|0.7629258809999999|0.113493155|0.820002545|0.6906097959999999|1|-0.0553915009999999|-0.079253435|0.361071229|0.017433037|-36.09926385|-51.65035498|11.36130649|36.6149406|51.51331913|-0.033286443|-33.66111722|7.404291213|0.799945841|-1.6643221380000002|61.0040156|0.465981891|600.1979272000001|2286.063655|-14.13766923|7.55064865|130.3775455|666.0036144999999|9.353660614|0.0|1.0|1.0|3.52|3.49|0.09|26.0|-7.78|105.02|3.24|2.0|1.0|1.0|-5.85|31.0|4.0|-6.1|0.0|0.0|0.0|-5.25|1.43e-06|5.61e-06|0.0023899999999999|0.0|7.03e-06|-0.06666|3.9855|3.79|-1669.240512|-1669.21916|692.08|1184.43|386.72|0.2061|311.09|0.5824199999999999|0.68886|0.0003|-0.15625|-0.22291|0.02135191|-1669.040656|8.3062|4.0|8.3979|8.3979
12q_a36|1|0|0.0|0|2|2|-0.0543475329999999|-0.00761082|5.351858133|-0.043678703|-0.410984299|-0.0651906459999999|10.9598352|-0.0433009009999999|1|0.0010871589999999|0.1161527719999999|-0.103922055|-0.177407665|-0.441747876|1|0.8941919290000001|0.828371596|-0.017640538|0.8839272779999999|0.8065052890000001|0|-0.07607684|-0.1060430969999999|0.324924033|0.018562763|-49.18227989|-68.5549152|12.00048565|82.68142965|110.4712541|-0.038175515|-44.31949385|7.758093617|0.768692389|-1.908775752|80.15866795|0.486620426|536.0103834|2380.245597|-15.95501778|7.546533709|149.536123|629.5017194000001|11.60375275|1.0|1.0|2.0|4.74|0.0|0.14|17.0|-7.18|69.2|2.51|1.0|0.0|1.0|-4.44|30.0|4.0|-6.49|0.0|1.0|1.0|-4.59|3.64e-05|2.55e-05|0.0106|0.0|2.77e-05|-0.05602|5.2375|3.79|-1692.544456|-1692.5102989999998|683.51|1148.35|320.77|0.4239|236.72|0.39919|0.6863199999999999|0.3419|-0.1566|-0.2126199999999999|0.03415678|-1692.370918|6.4226|6.0|8.2218|8.2218
14ae_a23|0|1|0.0|2|0|0|-0.033049777|-0.007539122|5.351858133|-0.029948314|-0.4448081789999999|-0.0174992419999999|10.31321689|0.0289586779999999|2|0.009675528|0.047563299|-0.143336826|-0.253318853|-0.363230717|2|0.7763406840000001|0.7830067820000001|0.107765697|0.8356326820000001|0.7317531540000001|1|-0.065169397|-0.087074783|0.202342743|0.03467374|-46.69131269|-62.38566188|24.84237243|111.4422142|91.4475768|-0.0269140239999999|-44.69687612|17.79858399|0.53040766|-1.480271319|87.09501229|0.479058976|625.0131414|2575.36078|-13.81539807|8.123993885|336.444465|770.8206617000001|24.70935041|0.0|1.0|1.0|3.74|3.76|0.12|26.0|-7.6|123.48|2.42|2.0|1.0|1.0|-5.8|34.0|6.0|-6.68|0.0|0.0|0.0|-5.08|1.6e-06|8.22e-06|0.0038799999999999|0.0|1.17e-05|-0.07122|3.6036|2.99|-1858.967022|-1858.952529|751.57|1285.52|344.06|0.3205|344.06|0.58144|0.58144|0.3205|-0.14537|-0.21659|0.01449323|-1858.7404850000005|9.5944|2.0|8.6038|8.6038
12w_a36|1|0|-4.750262163|0|2|2|0.081390556|-0.015825416|5.351858133|-0.297354748|-0.917874106|-0.041402825|10.96020797|-0.010726574|1|-0.007897954|0.115646674|-0.1187503719999999|-0.3344729369999999|-0.604676196|1|0.647732719|0.828393514|-0.098657593|0.8792981679999999|0.624142499|0|-0.086826396|-0.111267166|0.532980165|0.021104445|-62.34080876|-79.88912835|15.15285952|112.947763|123.23411609999998|-0.041210062|-57.35989379|10.87965823|0.70536279|-2.225343322|99.51883498|0.4672300679999999|594.7596206000001|2602.5207|-21.24440511|8.365472166|211.5476713|672.4630346|19.62970663|1.0|1.0|2.0|4.82|0.0|0.17|17.0|-7.14|78.43|2.04|2.0|0.0|1.0|-5.2|34.0|8.0|-6.4|0.0|0.0|0.0|-5.07|6.26e-06|8.6e-06|4.0|0.0|3.37e-05|-0.05326|3.8881|4.86|-1645.202839|-1645.169951|712.88|1198.72|318.88|0.4508|318.88|0.69466|0.69466|0.4508|-0.15708|-0.21034|0.0328886|-1645.017691|7.0746|23.0|7.6383|7.6383
6b_a31|1|0|0.0|0|1|1|0.052690797|-0.016070861|5.733341277|-0.178758575|-0.787472195|-0.032090772|10.31169819|-0.053655833|2|-0.008439437|0.1978523089999999|-0.002840672|-0.004825446|-0.57983695|0|0.838789705|0.78240875|-0.068433069|0.841537966|0.795570315|0|-0.12081047|-0.1284626569999999|0.146652651|0.032992761|-73.70779766|-78.37648097|20.12924648|159.79549319999998|227.0509355|-0.045675611|-47.81835367|12.28107483|0.7459204140000001|-2.055402513|93.1058799|0.4807018779999999|383.0600707|2063.736075|-17.0020813|7.513612533|155.0167518|536.6368656000001|14.72939894|1.0|1.0|2.0|3.55|2.73|0.1|22.0|-7.33|131.36|1.36|1.0|0.0|1.0|-5.63|29.0|5.0|-6.5|0.0|0.0|1.0|-4.66|2.34e-06|2.18e-05|0.00883|0.0|1.89e-05|-0.05835|3.2949|4.61|-1652.671944|-1652.635711|637.06|1077.19|376.29|0.4967|376.29|0.7013199999999999|0.7013199999999999|0.4967|-0.13345|-0.1918|0.03623358|-1652.505041|8.8379|54.0|7.2676|7.2676
8e_a46|0|0|0.252655541|1|1|1|-0.205882192|-0.001015139|5.533389489|0.000950213|-0.046696417|-0.184317354|10.96411233|-0.016857659|1|0.0123581919999999|-0.203086023|-0.08488645|-0.135984209|-0.132524216|2|0.669602597|0.789844634|-0.241393458|0.837678812|0.668786636|0|-0.053352779|-0.065982313|0.281227001|0.009576086|-27.16690715|-33.59778824|4.876083942|7.389496216|40.04689925|-0.023017086|-17.10778729|2.482871976|0.7492419109999999|-0.989734694|39.62167507|0.444693313|469.146955|1415.320228|-5.967832774|5.504080656|127.6844779|426.71841|6.023886838999999|0.0|1.0|0.0|3.21|2.93|0.32|17.0|-6.67|43.6|2.13|0.0|0.0|1.0|-3.59|23.0|3.0|-6.02|0.0|1.0|1.0|-4.04|0.0002569999999999|9.15e-05|0.0279|0.0|6.57e-05|-0.03175|4.5092|3.0|-954.9296396|-954.9056294|552.99|933.3|274.96|0.2162|274.96|0.6967|0.6967|0.2162|-0.18835|-0.2201|0.024010215|-954.793305|3.7755|406.0|6.3915|6.3915
31_a47|0|1|0.0|1|0|0|-0.075563891|-0.00869363|4.727387819|-0.171198936|-0.417294247|0.074881792|10.9497221|0.001073537|1|-0.006265667|-0.188419195|-0.035190699|-0.076351692|-0.441642572|2|0.677766155|0.856640117|-0.1978980839999999|0.917597019|0.6463892179999999|1|-0.10715233|-0.1056956209999999|0.486720182|0.021401336|-66.4670426|-65.56344002|13.27533898|355.5321928|188.5600536|-0.037580665|-40.66927863|8.234748813|0.70664003|-1.691129939|80.58054906|0.4741051329999999|431.7441681|1322.82831|-14.46018796|8.214180216|181.972428|513.2159236|15.01710904|1.0|1.0|2.0|3.18|2.38|0.1|21.0|-7.62|98.72|2.0|1.0|0.0|1.0|-4.59|29.0|5.0|-6.78|0.0|0.0|1.0|-4.39|2.56e-05|4.03e-05|0.0166|0.0|9.95e-06|-0.0532|3.9744|4.2|-1735.435432|-1735.400941|642.11|1079.4|340.91|0.3264|311.96|0.68276|0.69894|83.0|-0.15143|-0.20463|0.03449081|-1735.284957|8.6244|16.0|7.8|7.8
A8301_a51|0|0|0.0|1|0|0|0.0245770529999999|-0.00449765|4.727387819|-0.028789626|-0.242873103|-0.012770742|10.31321735|-0.1227504419999999|1|0.007083041|0.135886548|-0.0357324579999999|-0.0618359079999999|-0.4354420879999999|2|0.7595189840000001|0.6959300979999999|-0.013846396|0.750630149|0.7234449559999999|1|-0.055295165|-0.0780376929999999|0.339244706|0.008152073|-35.90764428|-50.67621589|5.293803823|36.55933899|42.37868986|-0.032775831|-32.90818536|3.437697042|0.854959635|-1.6387915469999998|56.90163721|0.4799553379999999|607.0025787000001|2461.663545|-13.82143785|6.890532887999999|94.18649643|690.8826121000001|6.225421319|1.0|1.0|1.0|3.49|3.5|0.04|27.0|-9.38|87.72|3.35|2.0|1.0|1.0|-6.6|31.0|3.0|-5.31|0.0|0.0|1.0|-5.93|2.5e-07|1.17e-06|0.000495|0.0|1.74e-07|||||||||||||||||||12.0|7.9208|7.9208
18a_a30|0|0|0.0|0|2|2|0.045071414|-0.006673169|5.351858133|-0.02919335|-0.353677943|-0.01286191|10.31163887|-0.094932667|1|0.005458948|-0.073280844|-0.053309522|-0.094526372|-0.452377064|1|0.8421237309999999|0.7885597609999999|0.003991162|0.842671963|0.7961424690000001|0|-0.072474599|-0.095397479|0.294303776|0.017060045|-45.11907802|-59.38972262|10.62073502|79.18861306|87.66676984|-0.036990859|-36.97308547|6.611941026|0.7904991659999999|-1.812552105|69.35818061|0.445995681|534.88346|2814.429655|-14.33650253|7.050626413|130.4247923|620.9195447000001|9.968457988|1.0|1.0|1.0|4.75|0.0|0.14|17.0|-6.64|81.65|2.82|2.0|0.0|1.0|-5.28|29.0|4.0|-5.98|0.0|0.0|0.0|-4.85|5.23e-06|1.4e-05|0.0056|0.0|9.21e-05|-0.05605|3.4712|3.82|-1575.786909|-1575.755101|665.12|1120.46|357.18|0.3781|357.18|0.69033|0.69033|0.3781|-0.1418|-0.19785|0.03180853|-1575.604922|5.2813|25.0|7.6108|7.6108
9i_a40|0|0|0.0|1|0|0|0.074116257|-0.0071562119999999|5.4161004020000005|-0.105556952|-0.279092262|0.201624407|10.31197226|-0.1788455119999999|2|0.004019925|0.333430103|0.105172175|0.187399127|-0.542471361|0|0.831946443|0.762774506|-0.154977678|0.824009442|0.7947633409999999|1|-0.092881258|-0.088485615|0.006324687|0.011010661|-46.80087537|-44.58600513|5.548036224|213.7117392|85.16517222|-0.036869006|-22.46593254|2.795536563|0.8590224540000001|-1.327284222|49.81256531|0.477626156|418.7133986|335.9672843|-9.360805225|7.700852478|71.03556427|351.4600612|5.226560183|1.0|1.0|1.0|3.25|2.9|0.06|20.0|-6.03|84.45|2.99|1.0|1.0|1.0|-5.32|22.0|2.0|-5.44|0.0|0.0|1.0|-4.71|4.79e-06|1.97e-05|0.00603|0.0|0.000285|-0.05989|4.3611|3.2|-1273.334714|-1273.31399|534.44|883.84|428.48|0.5012|284.3|0.56118|0.70339|0.3362|-0.11967|-0.17956|0.02072395|-1273.217301|2.7887|1.25|5.9031|5.9031
