molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|SRW07|AATSC1s|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|FNSA5|PBF|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (water)|pIC50|pIC50
12f_a40|0.0|0|0|0|0.0|7.515889085|0|0|0.604990261|-0.006206277|5.4161004020000005|-0.015621373|-0.235838511|0.008525796|0.108909202|10.31197207|-0.172869148|2|2|0.006841832|0.115814835|-0.054891771|0|0.679527138|0.777316288|-0.160218113|0.841769186|-0.082198664|3.43e-05|-45.41519509|62.72992556|0.090006088|49.72883796|-0.032879466|-25.09213464|61.55859085|0.7314440520000001|-18.16607804|0.490421149|2383.68369|502.7764322|-635.8127312999999|628.5604981|-10.03685385|0.268555948|8.404802652999999|0.962404834|5326.217734000001|24.83590915|0.0201199619999999|869.2568204|0.0|1.0|0.0|0.0|3.24|0.06|-7.32|5.44|67.66|3.99|2.0|0.0|98.25|0.0|1.0|3.0|24.0|3.0|-4.76|376.26|0.0|4.76|2.66e-07|0.0001|0.0003819999999999|5.4|0.0|0.0|4.81e-08|1.8100000000000003e-05|-0.07761|4.77|436.97|286.25|487.85|0.6679999999999999|0.7029|-2212.222254|0.3858|-0.11765|4.8562|6.4202|6.4202
12aa_a36|0.0|1|0|0|3.4172704080000003|7.412764017000001|2|2|1.297043479|-0.011588438|5.351858133|-0.135770278|-0.672129428|-0.006653538|0.010538281|10.95446449|-0.013898809|1|1|-0.004569485|0.0620143779999999|-0.090926893|1|0.892815402|0.833911317|0.156337925|0.888163057|-0.117270578|0.4679233379999999|-80.19356964|132.3194611|0.3110547589999999|212.7097172|-0.04126187|-54.83906299|109.0001157|0.731335741|-28.21625599|0.44829258|2928.7759760000004|471.12395210000005|-1523.677823|2418.848273|-19.29522587|0.2686642589999999|8.05947774|0.812554922|6438.603019|38.58180913|0.023386634|2083.417693|0.0|0.0|1.0|0.0|4.83|0.13|-6.14|0.98|112.29|1.28|1.0|0.0|131.85|0.0|1.0|6.0|32.0|5.0|-7.79|424.46|0.0|1.15|0.000304|129.0|152.0|1.55|0.0|0.0|7.19e-07|0.000305|-0.05111|3.88|318.73|318.73|520.19|0.6931|0.6931|-1401.389257|0.4446|-0.15718|4.7433|8.0458|8.0458
12l_a30|0.0|0|0|0|0.0|7.412764017000001|2|2|0.60498366|-0.015371073|5.351858133|-0.274237737|-0.876151158|-0.00695299|0.154540315|10.31162828|-0.02588969|1|1|-0.004395528|-0.300262845|-0.226973911|1|0.613786308|0.830875659|-0.045411075|0.883029843|-0.109810463|0.37422435|-76.82494797|103.5499036|0.165720595|115.9404641|-0.045581702|-53.74781658|1.697908189|0.8218150790000001|-31.88960104|0.462727396|3306.001879|583.6736326|-1690.148855|2394.793539|-22.31041443|0.178184921|9.258542907|0.861252543|7576.362669|38.8038646|0.016896687|2056.604824|0.0|1.0|1.0|0.0|4.72|0.17|-7.18|4.78|90.88|2.82|2.0|0.0|133.96|0.0|1.0|7.0|34.0|8.0|-5.66|482.48|0.0|3.42|1.99e-07|9.63e-05|0.000579|5.05|0.0|0.0|6.61e-08|3.19e-05|-0.0545299999999999|5.52|351.78|245.74|574.72|0.39486|0.68488|-1987.782294|0.1574|-0.14944|2.9851|7.2154|7.2154
16i_a32|0.0|1|1|1|3.352437091|7.765993078999999|0|0|0.6094207429999999|-0.0146198339999999|5.733341277|-0.075706124|-0.7748511779999999|-0.003511776|-0.104899053|10.31100265|0.006037736|3|3|-0.001202032|-0.098841478|-0.211019184|0|0.801401734|0.836966894|0.134577711|0.8829894|-0.114771536|0.5368697929999999|-75.01027196|90.08098301|0.198505292|129.7354415|-0.036726892|-49.02383532|32.3175507|0.718964113|-24.00328703|0.455596751|2770.767996|523.8261846|-1200.164351|3450.514629|-15.6876273|0.281035887|6.848009314|0.836873682|6355.471589|33.38593207|0.021112022|1669.296604|0.0|1.0|1.0|1.0|3.75|0.3|-7.4|4.85|149.27|1.34|3.0|0.0|116.75|1.0|1.0|8.0|29.0|5.0|-5.93|427.54|1.0|3.96|9.25e-08|3.96e-05|0.0035|4.19|0.0|0.0|4.01e-08|1.7100000000000002e-05|-0.05044|4.99|342.72|342.72|573.38|0.70222|0.70222|-1995.055356|0.2857|-0.14976|4.0568|8.2596|8.2596
14e_a25|0.0|0|0|0|0.0|6.842683282|0|0|1.4200152069999998|-0.008591251|4.727387819|-0.138693649|-0.524066339|-0.00131452|0.002856489|10.93106299|0.011176663|1|1|-0.0005394919999999|0.010976703|0.025802692|2|0.717460414|0.776960216|-0.144369439|0.8322445820000001|-0.1004553119999999|0.448918026|-73.51338088|372.1805977|0.275949567|201.94039730000003|-0.038772226|-53.79722636|97.78313402|0.806446896|-28.3735856|0.491527882|3126.080106|529.8614286999999|-1617.294379|2620.6698690000003|-20.76384175|0.1935531039999999|8.459867391|0.966676175|6952.485076999999|35.18345194|0.015154859|2005.4567600000005|1.0|1.0|1.0|1.0|3.62|0.07|-9.14|4.02|115.79|1.69|1.0|0.0|134.35|0.0|1.0|7.0|35.0|5.0|-6.96|462.5|0.0|3.02|7.29e-06|0.00337|0.0085799999999999|3.04|0.0|0.0|7.31e-10|3.38e-07|-0.0538|6.51|312.99|212.19|596.96|0.31019|0.69958|-1520.701142|0.0007|-0.15787|7.2625|7.1249|7.1249
12x_a30|0.0|0|0|0|0.0|7.412764017000001|2|2|0.604984021|-0.006008579|5.351858133|-0.0335688279999999|-0.3545061539999999|0.00604028|0.027312213|10.31162819|-0.1066694919999999|1|1|0.006346396|-0.104089964|-0.0922059569999999|1|0.842068099|0.782514704|-0.062251445|0.829606585|-0.091725339|0.398925866|-60.57208434|74.51844582|0.151155723|99.81775209|-0.035022402|-39.99960559|0.0|0.824674971|-23.12752311|0.4490846539999999|2845.417984|560.5459455|-1272.013771|2374.777496|-15.27257668|0.175325029|7.794822643|0.815160907|6359.545311|28.04441012|0.012044556|1542.442557|0.0|1.0|1.0|0.0|4.86|0.21|-7.38|3.23|81.65|3.25|2.0|0.0|137.21|0.0|1.0|5.0|31.0|4.0|-5.64|426.54|0.0|3.19|9.14e-07|0.00039|0.00148|4.6|0.0|0.0|4.12e-08|1.76e-05|-0.05093|4.45|355.95|355.95|558.65|0.68589|0.68589|-1654.1207|0.1517|-0.14783|4.8197|7.6556|7.6556
14g_a23|0.0|0|1|1|0.0|7.423568444|0|0|1.197957711|-0.014609495|5.351858133|-0.301504331|-0.803522236|-0.002390707|-0.031968899|10.3132174|-0.030586527|2|2|-0.0004039459999999|0.179219801|-0.2952674819999999|2|0.598213287|0.796412133|0.010202051|0.854683662|-0.096288005|0.297855753|-68.52397802|95.64648102|0.092665527|65.94601775|-0.041536002|-48.76552945|1.5679977319999998|0.780315815|-29.55936307|0.461846955|3400.464046|645.7104105000001|-1507.527516|2531.8503170000004|-21.03611074|0.219684185|8.788027188|0.8582074559999999|8005.353973|37.88128151|0.020564836|1931.945357|0.0|1.0|0.0|1.0|3.61|0.09|-7.95|6.18|114.25|3.04|2.0|1.0|126.97|0.0|1.0|7.0|35.0|8.0|-5.94|495.48|1.0|4.35|1.29e-07|6.38e-05|0.0004969999999999|4.76|0.0|0.0|1.12e-08|5.57e-06|-0.08011|5.17|334.71|334.71|583.38|0.56658|0.56658|-2041.934312|0.3478|-0.1519|10245.0|8.0|8.0
16b_a32|-3.3094926630000003|1|1|1|3.2902303|7.765993078999999|0|0|0.2980105389999999|-0.008469352|5.733341277|-0.3723824429999999|-0.423467596|-0.008277865|-0.018753196|10.31100078|-0.0657820279999999|3|3|-0.00180101|-0.023602065|-0.222700615|0|0.745820612|0.852956281|0.056127969|0.907055332|-0.1083060409999999|0.559199331|-69.39772428|53.96132589|0.253462496|162.40756509999997|-0.0345657579999999|-44.4669946|9.827907321|0.7476362679999999|-22.14820988|0.414997448|3037.795494|478.3482386|-1040.965864|3264.235184|-14.19159402|0.252363732|6.466656381|0.709394251|6612.089615999999|29.62431176|0.017136832|1392.342653|0.0|1.0|1.0|1.0|3.71|0.28|-7.6|4.88|165.49|0.41|1.0|0.0|114.43|1.0|1.0|7.0|28.0|6.0|-6.72|433.57|1.0|3.26|5.19e-07|0.000225|0.0123|3.14|0.0|0.0|2.54e-08|1.1e-05|-0.05946|6.37|342.39|342.39|567.01|0.70233|0.70233|-2315.757928|0.2849|-0.14995|7.0093|7.7696|7.7696
19h_a38|0.0|1|0|0|3.2723542610000003|7.412764017000001|2|2|1.297044177|-0.007781653|5.351858133|-0.082283951|-0.420209249|-0.002526241|-0.043452674|10.96083376|-0.070688288|1|1|-0.000673716|0.303981987|-0.217394466|1|0.724208473|0.819222745|-0.054149342|0.8741648479999999|-0.109986804|0.3263113569999999|-64.79649453|136.81322659999998|0.225371198|132.7728693|-0.03959525|-38.17354026|0.0|0.75379331|-23.32673803|0.47459722|2774.611523|456.3568442|-1166.336902|1839.424968|-13.74247449|0.24620669|6.820483788|0.903301693|6253.901215|30.94580137|0.020207411|1547.290068|1.0|1.0|1.0|1.0|4.8|0.14|-6.86|2.55|81.23|2.4|1.0|0.0|125.69|0.0|1.0|5.0|30.0|4.0|-6.77|401.44|0.0|2.66|7.209999999999999e-05|29.0|0.0272|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|-0.05708|3.41|350.65|331.65|452.01|0.68472|0.69012|-1331.941646|88.0|-0.1467099999999999|9.0777|8.0348|8.0348
7_a1|0.0|0|0|0|0.0|7.860570786|2|2|1.348826331|-0.010040172|5.777652323|0.001018628|-0.421687222|0.0021597079999999|-0.07233584|10.9513015|-0.024096172|1|1|0.004950534|-0.077833285|-0.391298966|1|0.7795049279999999|0.801577133|-0.048198584|0.862051935|-0.098295453|0.289201649|-47.35863598|111.9204437|0.289040847|139.2595474|-0.031040669|-22.81733634|404.7836105|0.603382856|-14.95535873|0.452829665|2150.215999|342.53930230000003|-568.3036318|1466.924404|-7.205474633|0.396617144|5.07667644|0.827584457|4519.238270000001|24.78585294|0.029820838|941.8624118|1.0|0.0|1.0|1.0|3.09|0.22|-5.64|3.29|49.17|1.6|0.0|0.0|85.88|0.0|2.0|2.0|23.0|4.0|-6.4|305.33|0.0|2.72|0.000696|213.0|0.0595|2.48|0.0|0.0|2.29e-06|0.000698|-0.02433|2.76|306.1|306.1|365.53|0.69902|0.69902|-1009.350293|0.2961|-0.16734|6.5936|6.3372|6.3372
3_a4|0.0|0|0|0|0.0|7.535296702|1|1|1.343866299|-0.001141383|5.4161004020000005|0.03287721|-0.0502208409999999|0.011825591|-0.010537082|10.92992985|0.050638298|1|1|0.011276682|-0.129930078|-0.08121207|2|0.637819558|0.773786787|-0.0862461019999999|0.8367373309999999|-0.06572153|0.462670692|-31.92506825|12.23442244|0.080195284|38.95587796|-0.024645574|-15.5080075|40.30885999|0.7196876640000001|-11.97190059|0.430553837|2159.04913|446.8068266|-478.8760237|1602.411021|-5.815502811|0.280312336|4.832514477|0.7560922609999999|4677.30755|16.63485592|0.015358792|665.3942366|1.0|0.0|1.0|1.0|2.99|0.15|-7.19|4.11|43.6|2.44|0.0|0.0|95.12|0.0|1.0|2.0|24.0|3.0|-5.99|312.37|0.0|3.31|0.000198|0.0617|0.0173|3.12|0.0|0.0|6.49e-08|2.03e-05|-0.04964|2.66|305.09|252.57|350.36|0.58445|0.58615|-990.467184|0.0871|-0.17005|3205.0|6983.0|6983.0
14f_a23|0.0|0|1|1|0.0|7.423568444|0|0|1.197963246|-0.006791105|5.351858133|-0.027380305|-0.373510774|0.010561248|-0.0555907109999999|10.3132176|-0.041351617|2|2|0.010508236|0.101910723|-0.199540201|2|0.756252127|0.796412133|0.070514687|0.854683662|-0.084419703|0.2096108239999999|-57.07376861|96.47955427|0.105837608|71.55380685|-0.031450478|-38.58595734|96.60179161|0.665778294|-21.26277654|0.478733036|3014.916135|604.5178506|-1084.401604|2322.5224120000003|-14.37516058|0.334221706|8.124287407|0.918402793|6768.918745|31.93672236|0.025162423|1628.77284|0.0|1.0|1.0|1.0|3.57|0.09|-7.51|4.03|114.25|2.72|2.0|1.0|126.78|0.0|1.0|6.0|32.0|5.0|-6.47|441.51|0.0|3.46|2.32e-06|0.0010199999999999|0.0042299999999999|3.55|0.0|0.0|3.11e-08|1.3699999999999998e-05|-0.07163|3.23|346.78|213.09|572.35|0.60917|0.6733399999999999|-1744.182678|0.1699|-0.1458|9.1089|8.6459|8.6459
14v_a23|0.0|0|1|1|0.0|7.423568444|0|0|1.1979575059999998|-0.014768546|5.351858133|-0.299484129|-0.8122700340000001|-0.002390707|0.017156562|10.3132174|-0.015149431|2|2|-0.0004039459999999|0.170475376|-0.2952674819999999|2|0.598213287|0.787538583|0.132882353|0.845160857|-0.09479984|0.31419322|-62.61276875|78.86310829|0.083394725|55.07999434|-0.042752869|-41.35406587|0.912757854|0.788328659|-28.23713101|0.457213347|3399.4261450000004|605.3933675|-1440.093681|2679.111279|-18.64987284|0.211671341|7.743452839|0.84234449|8458.789829000001|35.81898321|0.020908947|1826.768144|0.0|1.0|0.0|1.0|3.62|0.09|-7.95|6.18|114.25|3.04|2.0|1.0|126.97|0.0|1.0|7.0|35.0|8.0|-5.94|495.48|1.0|4.28|1.29e-07|6.38e-05|0.0004969999999999|4.76|0.0|0.0|1.12e-08|5.57e-06|-0.07843|5.17|335.64|335.64|533.44|0.6017100000000001|0.6017100000000001|-2041.93452|348.0|-0.1524299999999999|6.3758|8.4001|8.4001
13p_a6|0.0|1|0|0|3.449535594|6.842683282|0|0|1.424099253|-0.010395243|4.727387819|-0.1144898999999999|-0.634109842|-0.008008339|-0.014153926|10.95053423|-0.072853186|1|1|-0.005708558|0.123575608|-0.116250572|2|0.865935935|0.784414352|-0.059663359|0.837659336|-0.107371897|0.196002517|-76.17631587|80.30786544|0.273479442|194.0233618|-0.03767435|-54.04422654|107.5669533|0.76005742|-26.72853188|0.412828992|3016.078786|515.4389679999999|-1523.526317|3833.042283|-18.9628865|0.23994258|8.760340755|0.703081362|6590.216479|35.16646396|0.018322293|2004.488446|1.0|1.0|1.0|1.0|3.64|0.12|-10.06|4.01|122.47|1.01|1.0|0.0|132.01|0.0|0.0|7.0|34.0|5.0|-7.01|449.51|0.0|2.96|8.11e-06|0.00365|0.0125|2.86|0.0|0.0|8.73e-11|3.92e-08|-0.0746|4.73|415.53|258.45|573.39|0.47508|0.7056600000000001|-1462.740542|0.0029|-0.12251|12163.0|7.0362|7.0362
