molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|RASA|PBF|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GRAVp|TASA|FPSA1|WNSA2|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12ab_a36|0.0|1|0|3.458948649|0.0|0|7.412764017000001|2|2|0.0|-0.064515677|-0.007034881|5.351858133|2|0.039951691|0.035377607|0.0|0.000939229|-0.032623802|10.9540584|-0.029080933|0.002112069|-0.169341326|-0.4186639029999999|1|0.86559137|0.831136366|-0.0852411419999999|0|0.8410557559999999|0.452078227|-54.63243106|-65.54680623|116.6804416|0.158944244|-0.033434841|-45.21303385|11.46782191|15.55386871|0.679025324|-1.805481415|-23.06276515|71.2577056|2902.39241|580.1454645|0.320974676|-859.0476432|0.024384271|1834.083759|1.0|0.0|0.0|0.0|2.0|0.0|17.0|92.99|0.0|0.0|1.0|32.0|0.0|1.8|0.0503|2.33|3.76e-05|3.8845|-1364.509957|712.73|1201.64|319.17|0.4451|319.17|0.69294|0.69294|-1364.236757|0.4451|-0.15699|3.6976|-0.2093699999999999|0.04167456|-1364.300531|11.0|7.9586|7.9586
7d_a10|0.0|0|0|0.0|0.0|1|7.535296702|1|1|2.087763133|-0.117302383|-0.00179944|5.4161004020000005|2|0.041369509|-0.042667459|1.591760572|0.00870171|-0.071185424|10.929819300000002|-0.0325418129999999|0.008513576|-0.089622042|-0.2018053139999999|2|0.531023495|0.809056885|0.0658971929999999|1|0.841052067|0.421731106|-31.47566249|-37.61597161|12.32220006|0.158947933|-0.024733154|-19.95666068|2.9540236560000004|89.87999909999999|0.729585423|-1.063525614|-13.12185056|37.04365163|2348.343588|446.2091497|0.270414577|-299.34991010000005|0.014078094|773.3701306|1.0|1.0|1.0|1.0|0.0|3.21|21.0|43.6|0.0|0.0|1.0|26.0|0.0|3.95|0.0206|3.62|5.04e-06|5.8433|-1129.198363|574.87|970.29|319.09|0.2593|212.18|0.32059|0.68393|-1129.003694|0.0941|-0.1633099999999999|3.0178|-0.21965|0.02250617|-1129.0552810000002|928.0|6.0325|6.0325
14j_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|3.278390512|0.074424082|-0.006327927|5.351858133|2|0.046283951|0.037350515|0.722606603|0.007671236|-0.026319216|10.31321824|-0.055708465|0.0075222369999999|-0.17267308|-0.463194548|2|0.616699629|0.800643488|0.143567854|1|0.8454521620000001|0.226990358|-40.35191855|-53.34139172|40.38957571|0.154547838|-0.034989992|-34.60325668|8.620784882999999|83.17168000000001|0.7739671709999999|-1.644529644|-22.69846456|53.64097592|2943.385528|548.455847|0.226032829|-692.0651337|0.017787992|1378.388999|0.0|0.0|1.0|1.0|1.0|3.41|26.0|105.02|1.0|0.0|1.0|31.0|0.0|3.77|0.00114|3.68|9.18e-06|3.6671|-1729.15999|670.6|1142.37|338.1|0.3886|338.1|0.65128|0.65128|-1728.9293280000002|0.3886|-0.14816|5.8037|-0.2239699999999999|0.02207124|-1728.988797|4.0|8.3883|8.3883
8a_a12|0.0|0|0|0.0|0.0|0|0.0|1|1|0.0|0.082323047|-0.00771093|0.0|3|0.0420317459999999|-0.205012437|0.0|-0.001510006|-0.050603335|10.95472846|-0.084035283|0.000249868|-0.226106307|-0.5385001079999999|2|0.913877696|0.763500863|-0.1261547959999999|0|0.892656426|0.221703535|-30.69873711|-48.195997|46.32568673|0.107343574|-0.033836466|-24.96342938|2.773166902|0.0|0.791430726|-1.4888045019999998|-17.52581709|36.0527909|2212.38965|462.3571879|0.208569274|-399.41487|0.014012546|974.3568539|1.0|1.0|1.0|1.0|1.0|3.06|18.0|50.17|0.0|0.0|1.0|25.0|0.0|3.1|0.0408|3.18|4.2e-06|3.9091|-1046.0428949999998|556.3|952.71|317.17|0.2486|317.17|0.6309100000000001|0.6309100000000001|-1045.851982|0.2486|-0.15696|3.6588|-0.2194199999999999|0.02180654|-1045.902509|199.0|6.7011|6.7011
12f_a30|0.0|0|0|0.0|-4.734662095|0|7.412764017000001|2|2|0.0|0.156569208|-0.015345198|5.351858133|2|0.041555556|0.1468972409999999|0.0|-0.00695299|-0.008663584|10.31162828|-0.046588557|-0.004395528|-0.226973911|-0.6394697460000001|1|0.613786308|0.8246767140000001|-0.043091382|0|0.8357464459999999|0.56363596|-63.81176255|-76.85198573|101.2862703|0.164253554|-0.0452183279999999|-54.21787616|7.815328055|1.45550709|0.815175332|-2.396571368|-31.90082427|74.88972286|3305.792133|589.6060704|0.184824668|-1192.793275|0.01752821|2074.08593|1.0|0.0|1.0|0.0|1.0|0.0|17.0|90.88|0.0|0.0|1.0|34.0|0.0|3.42|9.63e-05|5.05|3.19e-05|5.0587|-1988.032639|729.87|1225.63|351.25|0.2166|245.09|0.32483|0.68471|-1987.782125|0.1596|-0.14958|3.6633|-0.20422|0.03400408|-1987.848015|19.0|7.7144|7.7144
1d_a5|0.0|1|0|2.79978458|-4.455320158|0|6.605297921|0|0|0.0|-0.133500214|-0.006252818|4.59511985|2|0.030074074|-0.118028278|0.0|-0.0012491689999999|-0.2261588939999999|10.94437658|-0.010183824|-0.000700145|0.004923698|-0.38633065|2|0.525406088|0.7595197290000001|-0.058872605|0|0.8965037640000001|0.6271150670000001|-47.76176205|-46.58221594|204.4506579|0.1034962359999999|-0.036640804|-25.16889922|2.317281143|0.0|0.770504115|-1.465632167|-19.79744178|52.05055075|2481.822293|484.3911442|0.229495885|-427.8712868|0.018980039|1027.76566|1.0|1.0|0.0|1.0|1.0|2.19|23.0|54.46|0.0|0.0|1.0|27.0|1.0|4.15|0.00589|3.95|4.86e-07|4.8725|-1288.340378|567.04|951.63|268.88|0.2805|254.46|0.41781|0.5764600000000001|-1288.201219|0.0982|-0.18991|3.7798|-0.23519|0.03392008|-1288.253849|9333.0|5.03|5.03
12y_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|0.048343649|-0.005996863|5.351858133|2|0.044197531|-0.089502772|0.0|0.00604028|0.061944378|10.31162818|-0.058184644|0.006346396|-0.0922059569999999|-0.4579359229999999|1|0.842068099|0.768409873|-0.05346283|0|0.8489185109999999|0.374181804|-47.598277|-61.25585229|85.17057711|0.151081489|-0.034840345|-41.1215369|6.751850651|0.0|0.820108145|-1.91621895|-23.38859815|57.65603256|2847.362782|569.8856940000001|0.179891855|-863.552275|0.012362508|1568.540572|1.0|0.0|1.0|0.0|1.0|0.0|17.0|81.65|0.0|0.0|1.0|31.0|0.0|3.19|0.00039|4.6|1.76e-05|5.1973|-1654.41361|728.75|1227.82|357.11|0.2173|238.56|0.30617|0.6864399999999999|-1654.125015|0.1489|-0.1475|4.7043|-0.19815|0.0311422|-1654.190369|22.0|7.6576|7.6576
3_a3|0.0|0|0|0.0|0.0|0|7.285506549|0|0|0.0|0.159413311|-0.010040064|5.283203728999999|1|0.034259259|-0.015653979|2.063441043|-0.007818326|0.0483259979999999|10.31154314|0.069435247|-0.006362643|0.081380229|-0.599804962|1|0.913546349|0.8083172479999999|-0.082619043|1|0.7538064790000001|0.583866845|-48.91675544|-45.05306124|228.5396864|0.246193521|-0.035057023|-20.54492513|2.623868963|75.88125246|0.7000038270000001|-1.086767728|-15.98657012|54.67064981|2092.406045|343.74795510000007|0.299996173|-225.9941764|0.023287455|707.9728057|1.0|1.0|1.0|1.0|1.0|2.39|20.0|121.17|0.0|0.0|1.0|21.0|0.0|3.23|0.00103|3.26|0.000218|5.8458|-1592.904586|491.26|817.21|370.38|0.2383|212.09|0.29441|0.69206|-1592.792349|0.0851|-0.14599|2.1507|-0.20969|0.03099295|-1592.839065|1175.0|5.93|5.93
9g_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|1.849105962|-0.058811055|-0.0054957819999999|5.4161004020000005|0|0.043730159|0.07954859|0.895670535|0.011921308|0.139758613|10.31197177|-0.145879501|0.0115573539999999|-0.062672355|-0.383703998|0|0.694156166|0.764275277|-0.384131901|1|0.90454157|0.002717414|-33.47455057|-41.63731423|65.74631496|0.09545843|-0.031197254|-21.93596333|5.930596229|64.08637519|0.740240206|-1.185495647|-16.43578193|44.73159432|2169.234651|476.5434822|0.259759794|-329.0394499|0.018087202|843.7257374|0.0|1.0|0.0|1.0|1.0|1.78|22.0|72.28|0.0|0.0|1.0|23.0|0.0|1.93|977.0|1.37|0.000113|3.0778|-1332.487689|559.04|923.42|402.84|0.3563|402.84|0.70233|0.70233|-1332.31775|0.3563|-0.12765|3.4787|-0.19005|0.01134289|-1332.369643|3548.0|5.45|5.45
13j_a6|0.0|1|0|3.409065702|0.0|0|7.412764017000001|1|1|0.0|0.0353600779999999|-0.015004989|5.351858133|1|0.041728395|0.07522656|0.0|-0.011017781|-0.0951246069999999|10.95129557|-0.047513534|-0.007703306|-0.073507141|-0.562698347|1|0.8744720490000001|0.783333463|-0.063948098|0|0.6229641429999999|0.205764388|-80.33128667|-86.54032868|180.6709018|0.377035857|-0.046428683|-57.82670518|13.89184843|114.6910805|0.7841668409999999|-2.460720196|-31.02389141|101.1210779|2907.3053210000003|416.2679342|0.215833159|-1098.707398|0.0199201689999999|2096.832152|1.0|1.0|1.0|1.0|3.0|2.26|23.0|115.15|0.0|0.0|1.0|32.0|0.0|2.82|0.00398|2.95|1.36e-06|3.6504|-1426.5532050000002|712.52|1196.6|348.28|0.2857|339.64|0.69993|0.7045100000000001|-1426.272674|0.0259|-0.14602|8.3187|-0.19491|0.03242949|-1426.335207|262.0|6.5817|6.5817
