molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aHRing|MATS1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
3a_a12|0|0|0|0.0|0.0|1|1|0.0|0.13714555|-0.042445446|2|0.032544803|-0.1231529169999999|-0.322200517|-0.0025830939999999|-0.0161799839999999|0|-0.072889493|-0.5274624179999999|0.943290857|-0.021522321|-0.032466697|0.759068438|0.8847197109999999|0|-0.090803706|0.241900756|-34.84701355|4.615711776|71.11710277|0.128014506|62.63745781|-0.034924502|-21.73969523|2.258466332|0.0|0.781050096|-1.362055589|-17.05063286|39.46272532|0.462077145|2045.857684|426.6622302|-666.453375|1050.730179|-8.361421244|0.2189499039999999|5.924949067000001|11.01449587|0.015909241|-275.0354486|853.2786545|1.0|1.0|3.84|18.0|3.43|2.49|37.28|3.09|0.0|0.0|97.52|1.0|23.0|3.0|1.0|1.0|2.98|-4.06|0.0745|0.0263|3.15|0.0|3.13e-08|9.33e-06|-0.06829|4.2336|3.7304|-951.3480023|528.84|875.71|0.3201|292.86|383.08|-0.34688|0.66895|-951.217594|-0.22157|0.023184956|-951.264072|6.7122
3b_a12|0|0|0|0.0|0.0|1|1|0.0|0.156777705|-0.043495794|2|0.0375|-0.1215705419999999|-0.332497127|-0.004028952|-0.003968827|0|-0.071149325|-0.547002361|0.914614654|-0.008328578|-0.007397776|0.82914101|0.802482465|0|-0.088443201|0.073824142|-33.57216667|5.401901357000001|41.13468455|0.096795301|50.46508298|-0.034016616|-24.04018959|2.816328871|0.0|0.7688221909999999|-1.326648015|-17.50314491|38.97406803|0.390744506|2186.64676|470.8937285|-691.6596323|1935.211747|-9.246226764|0.2311778089999999|6.6333156660000006|10.88757628|0.0166212889999999|-280.3056362|899.6353646|1.0|1.0|3.82|18.0|4.05|3.14|37.28|3.99|1.0|0.0|102.53|1.0|24.0|3.0|1.0|1.0|3.59|-4.64|0.0184|0.00759|3.78|0.0|7.91e-09|2.63e-06|-0.07091|4.2092|3.7741|-1410.947421|548.05|915.37|0.5013|294.55|426.66|0.53738|0.6654800000000001|-1410.826913|-0.2232|0.02444371|-1410.8759220000002|7.3098
18c_a30|0|0|0|0.0|7.412764017000001|2|2|0.0|0.12157783|-0.118776867|2|0.042560386|0.011887112|-0.625122815|-0.003436924|-0.0351777|1|0.003429114|-0.562807327|0.841060094|0.034468997|-0.058608635|0.885516463|0.802578397|0|-0.1115683|0.42531141|-71.31647561|13.07260474|384.391404|0.282947974|191.0545887|-0.042101245|-50.86775696|8.826997739|103.215593|0.7859920029999999|-2.2313660090000003|-48.15493021|84.38908035|0.448899917|3002.59061|484.1740985|-1506.682341|3094.729399|-19.19537998|0.214007997|7.646050338999999|13.8741593|0.018410634|-386.2200097|1916.918155|0.0|0.0|4.85|17.0|3.04|1.72|124.74|2.06|1.0|0.0|135.37|1.0|32.0|5.0|0.0|0.0|1.91|-4.3|0.00427|0.0221|2.74|0.0|6.520000000000001e-07|0.000288|-0.05575|3.4848|3.4848|-1744.455795|711.56|1209.11|0.3879|355.78|543.46|0.69123|0.69123|-1744.2261030000002|-198.0|0.04503016|-1744.28923|7.9208
28_a20|0|0|0|0.0|6.842683282|0|0|1.837209467|-0.013841559|-0.114439513|3|0.0396875|0.091462964|-0.363557127|0.002234763|-0.039965901|1|-0.016955137|-0.447096101|0.715067047|-0.104458316|-0.06654421|0.812553182|0.690655217|1|-0.091179288|0.3962228229999999|-57.59898971|9.799649234|318.7453661|0.218249263|145.66665480000003|-0.035068957|-40.6172876|6.540604536|88.39175809|0.773641727|-1.823585765|-38.44343857|67.39863895|0.468838001|2865.917291|521.7658603|-1217.120433|2449.815677|-15.62203369|0.226358273|7.587188177000001|14.28413212|0.016673728|-365.2747728|1573.2352460000002|1.0|1.0|3.45|27.0|3.93|4.01|99.58|1.73|1.0|0.0|122.8|1.0|32.0|5.0|0.0|1.0|3.04|-4.43|0.0159|0.0156|2.68|0.0|1.57e-09|6.590000000000001e-07|-0.06242|4.7905|3.5798|-1368.32781|704.42|1198.32|0.2354|258.81|531.85|0.50352|0.4701899999999999|-1368.085242|-0.21814|0.03534166|-1368.146882|6.5935
14a_a10|0|0|0|0.0|7.535296702|2|2|2.156210368|-0.2090476269999999|0.0437538159999999|3|0.035660377|0.027446544|-0.147427016|0.011509975|-0.00421565|1|-0.220250238|-0.168193178|0.76857495|-0.011977878|-0.007680215|0.770129205|0.740051323|1|-0.070610745|0.43555903|-32.23041637|9.840503082|67.52851799|0.088450549|64.18371923|-0.018970051|-37.18086445|7.140714112|134.15514270000003|0.542015878|-1.270993412|-23.38784787|42.07091945|0.469029865|3075.550631|661.4615097|-922.2903058|1774.8853399999998|-9.988888957|0.457984122|10.0292632|18.88856367|0.0219172279999999|-60.97724212|1701.592784|1.0|1.0|3.98|21.0|4.16|3.36|59.31|1.94|1.0|0.0|146.76|1.0|35.0|6.0|1.0|0.0|3.43|-4.8|0.0288|0.00743|3.29|0.0|6.55e-09|3.07e-06|-46.0|5.5808|3802.0|-1489.803158|800.01|1380.89|0.2835|222.16|645.26|0.34245|0.7047100000000001|-1489.42155|0.19621|-0.14757681|-1489.487381|7.1308
19g_a38|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.077355838|-0.117921811|2|0.042419753|-0.037579797|-0.458841138|-0.006877664|-0.046735135|1|-0.098027247|-0.438254637|0.653741315|-0.063110203|-0.076414544|0.892249657|0.632625562|0|-0.114243258|0.5322242429999999|-54.62049927|14.52522351|137.56612280000002|0.279993731|177.181631|-0.038842708|-45.74791999|9.191644336|18.41027014|0.719941993|-1.942135378|-34.56416368|69.14572278|0.455443492|2897.384301|455.6240763999999|-1228.994351|2506.378649|-15.5542928|0.280058007|6.327835378|11.62016299|0.0228937029999999|-278.3610963|1707.074131|1.0|1.0|4.82|17.0|3.55|3.11|81.23|2.78|1.0|0.0|125.65|1.0|31.0|5.0|0.0|1.0|2.97|-4.33|0.0238|0.0196|2.88|0.0|7.599999999999999e-08|3.19e-05|-0.05479|5.2766|3.6887|-1431.386981|638.82|1104.29|0.2285|234.97|475.84|0.3937|0.69982|-1431.186566|-0.20748|0.03244515|-1431.244906|7.3778
27a_a34|0|0|0|0.0|7.412764017000001|1|1|1.963136117|0.0257175079999999|-0.456594848|1|0.0408037829999999|-0.082271189|-0.7320090459999999|-0.012495918|-0.008138446|1|-0.158932197|-0.53047808|0.8186389829999999|-0.07177581|-0.012251785|0.832753533|0.749941528|0|-0.123191967|0.4305370679999999|-74.78290605|18.62986903|176.4623026|0.3990357329999999|279.75296960000003|-0.043345322|-60.54917431|13.06088842|22.69787432|0.764921711|-2.340647376|-52.42823715|93.41277507|0.436895447|3394.470264|421.319507|-1640.9634529999998|2252.433058|-21.30433911|0.235078289|8.960143164|15.91204178|0.020552444|-371.4586403|2145.269808|1.0|1.0|3.66|23.0|2.01|3.97|129.74|1.06|1.0|0.0|122.61|1.0|33.0|7.0|0.0|0.0|2.44|-4.47|0.00504|0.0159|2.59|0.0|2.44e-08|1.13e-05|-0.03924|5.0012|4.1228|-1861.695683|737.7|1247.85|0.2896|247.91|598.18|0.40378|0.69818|-1861.468024|-0.20615|0.04629882|-1861.534743|6.6198
12v_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.077763989|-0.04314418|2|0.041767677|0.073329354|-0.487854327|0.00127667|-0.023932402|1|-0.1430106119999999|-0.401336708|0.8913597320000001|0.024751559|-0.041914045|0.8792981679999999|0.84179881|0|-0.105200486|0.334379501|-51.4172081|17.85767346|113.7463918|0.197708661|130.0637965|-0.033118671|-45.52806671|11.74777471|0.462992841|0.6276553979999999|-1.788408258|-33.82511043|69.27488156|0.461799225|2846.057239|527.7920397|-1176.51481|2328.221818|-14.33290989|0.372344602|8.456596706000001|15.71271745|0.02867403|-167.9576969|1874.459798|0.0|0.0|4.82|17.0|2.77|1.89|78.43|1.72|1.0|0.0|130.24|1.0|31.0|5.0|0.0|0.0|1.81|-4.07|0.0464|35.0|2.65|0.0|2.03e-07|8.340000000000001e-05|-0.05219|3.8847|3.7035|-1347.442792|671.56|1150.38|0.4247|319.16|502.83|0.69298|0.7016100000000001|-1347.2000369999998|-0.20404|0.03275089|-1347.260743|7.8539
9a_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.109305298|-0.046964839|2|0.040166667|0.095192109|-0.41624054|0.0034852859999999|-0.06502499|1|-0.12019672|-0.398235589|0.839235677|-0.019008343|-0.1177413269999999|0.842671963|0.79302567|0|-0.10869601|0.204819754|-45.04449811|14.47407729|49.52042402|0.1734403769999999|106.0201967|-0.039929147|-40.61536816|8.847677483|0.0|0.7638345870000001|-1.956528182|-27.53468726|59.5185754|0.453098452|2682.572663|505.25728260000005|-1195.981615|2167.77208|-14.91993116|0.236165413|7.546661564|13.79893984|0.019513779|-322.5522826|1565.759963|0.0|0.0|4.69|17.0|3.04|2.04|66.4|2.02|1.0|0.0|120.94|1.0|29.0|5.0|1.0|0.0|1.95|-3.99|0.0753|0.0391|2.66|0.0|5.26e-07|0.0002009999999999|-0.05044|3.8677|3.8677|-1252.77514|648.41|1092.66|0.4811|320.56|495.18|0.68682|0.68682|-1252.578886|-0.20969|0.02701893|-1252.636005|7.8861
12e_a30|0|0|0|0.0|7.412764017000001|2|2|0.0|-0.0026669809999999|-0.029595542|2|0.041767677|-0.010682095|-0.444243861|0.0043261129999999|-0.055954785|1|-0.089279071|-0.417089226|0.838579475|0.002248768|-0.097868612|0.876441789|0.7933543279999999|0|-0.098059338|0.407218612|-52.50202674|16.08914569|106.2790684|0.183296295|121.5880081|-0.035153347|-43.14823836|10.6725953|0.0|0.7071208529999999|-1.863127413|-34.82676424|68.59117243|0.46715936|2920.484542|541.7533217|-1235.889416|2392.685958|-15.46823639|0.292879147|8.069355055|15.14403079|0.022696477|-274.7836441|1747.776792|0.0|1.0|4.72|17.0|3.89|2.63|90.88|2.51|2.0|0.0|133.77|1.0|31.0|5.0|0.0|0.0|2.57|-4.93|0.00154|0.0050799999999999|3.84|0.0|1.84e-07|7.87e-05|-0.05044|5.0412|3.4747|-1690.2687170000002|709.98|1201.05|0.2055|245.94|562.76|0.3304|0.68605|-1690.030824|-0.19804|0.03344515|-1690.092998|7.9431
